DesiredFlux,1,HitTime,1714657055.3047934,DesiredPos,0.57110118865966797 0.31693524122238159  0.2198527455329895
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714657054.747885,-0.45419391471597115   1.1197883583484638 0.034806623270474027  -1.2817720556665337  -1.9306100241596877  -1.8435925792253429 -0.89235341585370953,-5.3978407412056671e-05  2.4577534643004041e-05  0.00069613245144771029   0.0021592512576599941   2.105102210751777e-05  -1.702989982727476e-05  7.2963153047188747e-06, 0.25675169754028321   65.205521427154537  -2.7133154678344726  -16.661095142364502  -1.7422619438171387   1.7521963119506836 -0.24964625549316405,-0.24024459973659096  0.45195859376373332 -0.26298653677045275 -0.51488357861485434  0.30199925161641311  0.17231123445850652  0.93460283702053559,  0.56984627246856689 -0.033256616443395615   0.21881696581840515,  -0.70758974552154541 -0.0093461824581027031 -0.0038486742414534092      0.706551194190979, 0.00058899540454149246 -1.0838751904884703e-06  0.00048874173080548644,0.00011494048521853983     1.0924621820449829  9.486324415775016e-05,  0.24297678470611572  0.026671221479773521   0.06849931925535202  0.026671221479773521   0.23115512728691101 -0.019863467663526535   0.06849931925535202 -0.019863467663526535   0.19124104082584381,  -0.99830112508136892   -0.32642290691153875    -1.0295868152239152    0.66774153541704351    0.48801596429903782  -0.001987545296344706 7.3511081666310929e-06,0.0007005882216617465
IIWA_7,1714657054.7528834,-0.45419409448488413   1.1197883583484638 0.034808840384039447  -1.2817597119344821  -1.9306099283411118  -1.8435926391119528 -0.89235341585370953,-5.0373482448760724e-05  1.9662027714403234e-05  0.00064559050377495863   0.0022211502881924663  2.0673560724515224e-05 -1.6019384257552267e-05  5.8370522437751004e-06, 0.24330920028686523   65.212242675781255  -2.7071528434753418  -16.653171768188475  -1.7457834434509276   1.7508613052368165 -0.25198251724243165,-0.23809176265114371  0.45824006016627644 -0.26380023303629674 -0.52016620712529849  0.29913988030261085  0.17197439149933785  0.93534050997241847, 0.56984972953796387 -0.03325774148106575  0.21881954371929169,  -0.70759069919586182 -0.0093503575772047043 -0.0038529559969902039    0.70655018091201782, 0.00060968700563535094 -4.5950197090860456e-05  0.00049376743845641613,0.00011438287765486166     1.0924620628356934 9.4406248535960913e-05,  0.24297520518302917  0.026671536266803741   0.06849999725818634  0.026671536266803741   0.23115479946136475 -0.019863283261656761   0.06849999725818634 -0.019863283261656761    0.1912425309419632,  -0.99831570500441558   -0.32642138851635139    -1.0295890381701867    0.66775573598132354    0.48801836187983838 -0.0019924149192718232 7.3503452213685705e-06,0.00071938266046345234
IIWA_7,1714657054.7578802, -0.4541942143671871   1.1197884782307668  0.03481123726651783  -1.2817466491267786   -1.930609736529427  -1.8435927589942558 -0.89235329608048963,-4.5094078077950611e-05  2.0524914290464618e-05  0.00061234770215531757   0.0022994325386949052  2.4211315969919428e-05 -1.7610799524983846e-05   9.460570590925895e-06, 0.23927645111083984   65.224340923309327  -2.7194780921936035  -16.638205394744872  -1.7422619438171387   1.7535313186645507 -0.25198251724243165,  30.81149016233099  3.8010385008805971  18.442301298988777 -8.1669783026775367 0.12350197887294832  0.1847222320378448 0.93606564823520677,  0.56985318660736084 -0.033258724957704544   0.21882210671901703,  -0.70759165287017822 -0.0093547115102410316 -0.0038570908363908529    0.70654910802841187,  0.0006257473723962903 -7.6062875450588763e-05  0.00049786298768594861,0.00011383740638848394     1.0924619436264038  9.395884262630716e-05, 0.24297361075878143 0.026671882718801498  0.06850067526102066 0.026671882718801498  0.23115448653697968 -0.01986309140920639  0.06850067526102066 -0.01986309140920639  0.19124405086040497,  -0.99833134845273008   -0.32641939675670528    -1.0295915301163916    0.66776953497615921    0.48802147343529612 -0.0019964891837531695 7.3496586594501423e-06,0.00073526729829609394
IIWA_7,1714657054.7628822,-0.45416718990721539   1.1197956087734258 0.034844733080106709   -1.281760431010134  -1.9306102159713725  -1.8435927589942558 -0.89235311631157666,  0.0010449031364061991  0.00030164163779217786   0.0018297107052793848   0.0012882706967385306  1.9137495682004031e-07 -1.4088639619987078e-05  1.4759212991856098e-05,0.010753997802734375   65.147718688964844  -3.1807945442199705  -16.296619930267333  -1.7581086921691895   1.7592050971984863 -0.25265002059936525, 30.812766875529157  3.8032717612059623  18.442585448464325 -8.1695216913934008 0.12295575727488214  0.1839386197679882 0.93755176033673382,  0.56986033916473389 -0.033260677009820938   0.21882735192775726,  -0.70759397745132446 -0.0093637248501181602 -0.0038654932286590338     0.7065466046333313, 0.00065973080927506089 -0.00011891252506757155  0.00050778820877894759,0.00011321708734612912     1.0924618244171143 9.3471775471698493e-05,   0.2429703027009964  0.026672644540667534  0.068502061069011688  0.026672644540667534   0.23115381598472595 -0.019862702116370201  0.068502061069011688 -0.019862702116370201   0.19124719500541687,   -0.9983656409229269   -0.32641505311037378    -1.0295982606329801    0.66779773329805892     0.4880285264210471 -0.0020051194811188111 7.3481167817135429e-06,0.00076979544246569276
IIWA_7,1714657054.7678843,-0.45374139043808642    1.119858346269635 0.035394629276960202  -1.2819516992430322  -1.9306119417529368  -1.8435895231538226 -0.89235173804688295,   0.017867901274283456   0.0027508131586025325    0.023459616438363227  -0.0066201127585358722 -6.8878162607393493e-05  0.00011816270563032365  6.6937958141793688e-05, -8.8518844413757325   62.093583312988279  -9.3821553993225102  -12.951195278167724  -1.6859179496765135   2.0298777084350585 -0.27968390655517578, 30.812766875529157  3.8032717612059623  18.442585448464325 -8.1695216913934008 0.12295575727488214  0.1839386197679882 0.93755176033673382,  0.56986033916473389 -0.033260677009820938   0.21882735192775726,  -0.70759397745132446 -0.0093637248501181602 -0.0038654932286590338     0.7065466046333313, 0.00065973080927506089 -0.00011891252506757155  0.00050778820877894759,0.00011259924212936312     1.0924617052078247 9.2987938842270523e-05,   0.2429703027009964  0.026672644540667534  0.068502061069011688  0.026672644540667534   0.23115381598472595 -0.019862702116370201  0.068502061069011688 -0.019862702116370201   0.19124719500541687,   -0.9983656409229269   -0.32641505311037378    -1.0295982606329801    0.66779773329805892     0.4880285264210471 -0.0020051194811188111 7.3481167817135429e-06,0.00076979544246569276
IIWA_7,1714657054.7728815, -0.4533115761662625   1.1198603236185944 0.036055918822577582  -1.2820888586693773  -1.9306069562199286  -1.8435823926111636 -0.89234730392883521,  0.031486891892383767  0.0022797444852603772    0.04521927497538579  -0.010782467260631425 0.00014431879024232654 0.00037975187086406506 0.00023091508842286925, -17.672851139068605   62.257581779479978  -13.769943943023682  -13.195939502716064  -1.4121213531494141   1.8346329765319824 -0.20892855072021485,  30.78111539868279   3.791715442673314  18.419781120494537 -8.1537677944547031 0.12889000267726464 0.19278566571920755 0.93519128257962481,  0.56985872983932495 -0.033231459558010101   0.21882781386375427,  -0.70758116245269775 -0.0093765556812286377 -0.0038485706318169832    0.70655941963195801,0.00046334590297192335  0.0010735747637227178 0.00042506432509981096,0.00011198313586646691     1.0924615859985352 9.2505419161170721e-05,  0.24296878278255463  0.026670698076486588  0.068503394722938538  0.026670698076486588   0.23115772008895874 -0.019858511164784431  0.068503394722938538 -0.019858511164784431   0.19124527275562286,   -0.9982588814052562   -0.32631752722700469     -1.029408110990282    0.66770494197143648     0.4880538228562159 -0.0018835548738493912 7.3715709092425641e-06,0.0011388568673282862
IIWA_7,1714657054.7779093,-0.45306020708423944   1.1198791988090393 0.036797622449985197  -1.2823810340947273  -1.9306046553523757  -1.8435898228050387 -0.89234586577753161,  0.035244276794829263  0.0025788032060025364   0.065843565076613236  -0.020312990822504463 0.00020748973431102203 6.5937416889476136e-06 0.00024225812288233668, -21.412553874969483   61.869093608856204  -14.549956111907958  -12.603447189331055  -1.5987608337402344   1.9851549835205078 -0.21827359771728516, 29.869587485159688    3.85817741383917  17.573932051027562 -7.9737865386227611 0.15686010071189455 0.47768706188588272 0.93758907707063532,  0.56986784934997559 -0.032277218997478485   0.21897679567337036,  -0.70717090368270874 -0.0099058477208018303 -0.0034062496852129698    0.70696508884429932,0.0007155677885748446  0.035158254206180573 0.0058987978845834732,0.00011132918007206172     1.0924631357192993 9.1998452262487262e-05,  0.24287715554237366  0.026613038033246994   0.06856401264667511  0.026613038033246994   0.23128260672092438 -0.019713301211595535   0.06856401264667511 -0.019713301211595535   0.19122368097305298,  -0.99502237983095654    -0.3230317371363256    -1.0231685923987044    0.66478541691417092     0.4888966291769492  0.0020358650507645848 8.1303506149765781e-06,0.032637454569339752
IIWA_7,1714657054.7828469,-0.45298716320063115   1.1198814758092146  0.03769494137882988  -1.2827913139870644  -1.9306002450798887  -1.8435971332256937 -0.89234508681526981,   0.031117176780195113   0.0021541225718139968    0.088567609215077905    -0.03266158835148783  0.00034240268692832423 -0.00028714183285079965  0.00022496498877806336, -19.835748947143554   61.202345745086667  -11.988065128326415   -12.24425422668457  -1.3011941146850585   1.8139403724670411 -0.23529493331909179, 29.607800029649564  3.8694179916632128  17.240636427105589 -7.8782903769929211 0.17414681158035372 0.60867957625572233 0.92531572694605713,  0.56983953714370728 -0.031837299466133118   0.21906623244285583,  -0.70690655708312988  -0.010115726850926876 -0.0032058232463896275    0.70722734928131104,-0.00058672856539487839    0.045717719942331314   0.0083096865564584732,0.00011154304957017303     1.0924874544143677 9.2014321126043797e-05,  0.24284383654594421  0.026572715491056442  0.068592093884944916  0.026572715491056442    0.2313472181558609 -0.019643409177660942  0.068592093884944916 -0.019643409177660942   0.19120238721370697,  -0.99295880846561602   -0.32155022770208319    -1.0198829959477962    0.66336948050960132    0.48910991481765365   0.003929196639163024 8.5202671584738709e-06,0.042534388601779938
IIWA_7,1714657054.7878804,-0.45296583124109785   1.1198837528093901 0.038933271245409316  -1.2832879403353195  -1.9305908494489266  -1.8435934180742146 -0.89234490704635683,   0.025747019805488072    0.001814378064472047     0.12038728203523978   -0.045994324611393925  0.00064974738802822034 -8.1107407115748958e-05  0.00018716274754156608, -16.844793308258058   61.201001495361325  -11.181641712188721  -12.293555221557616  -1.4165232276916504   1.8052628288269044 -0.24030120849609374, 29.607800029649564  3.8694179916632128  17.240636427105589 -7.8782903769929211 0.17414681158035372 0.60867957625572233 0.92531572694605713,  0.56983953714370728 -0.031837299466133118   0.21906623244285583,  -0.70690655708312988  -0.010115726850926876 -0.0032058232463896275    0.70722734928131104,-0.00058672856539487839    0.045717719942331314   0.0083096865564584732,0.00011113054642919451     1.0925130844116211 8.7139153038151562e-05,  0.24284383654594421  0.026572715491056442  0.068592093884944916  0.026572715491056442    0.2313472181558609 -0.019643409177660942  0.068592093884944916 -0.019643409177660942   0.19120238721370697,  -0.99295880846561602   -0.32155022770208319    -1.0198829959477962    0.66336948050960132    0.48910991481765365   0.003929196639163024 8.5202671584738709e-06,0.042534388601779938
IIWA_7,1714657054.7928851,-0.45290543074075718   1.1198817154647376 0.040470907298164022  -1.2839115993823498   -1.930591520528024  -1.8435837108801643 -0.89234478727313693,  0.023013635858017412  0.0013700086654760768    0.15781526773838006  -0.061741821570328051  0.0004929547465264588 0.00032340183632167301 0.00015452112682915869, -16.117554206848144   60.695563598632809  -11.728354530334473  -12.333172092437744   -1.534493465423584   1.8092678489685059 -0.24096871185302735, 29.460914459358055  3.8840590172298408  16.929148521682819 -7.7837684337717352 0.18646899124283534 0.73875878161440878 0.90460997093167772,  0.56978493928909302 -0.031430374830961227    0.2191758006811142,  -0.70658266544342041   -0.01027667336165905 -0.0030339490622282028    0.70754939317703247,-0.002682193648070097  0.052842177450656891  0.011053822934627533, 0.0001038710615830496     1.0925389528274536 7.3771952884271741e-05,  0.24282003939151764  0.026519883424043655  0.068619623780250549  0.026519883424043655    0.2314145565032959 -0.019574627280235291  0.068619623780250549 -0.019574627280235291   0.19117280840873718,   -0.9904072026687416   -0.32020036491875459    -1.0163630057968831    0.66198547517615225    0.48910334204332884   0.005750110759983329 8.9189926555377497e-06,0.049473028630018234
