DesiredFlux,1.05,HitTime,1714657287.2298367,DesiredPos, 0.5479854941368103  0.2986915111541748 0.21986296772956848
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714657286.6717393,-0.48243869548347068    1.132026768615487 0.020233446247734523  -1.2837693466489153  -1.9548869958986341  -1.8888749131214653 -0.90863853943400663,-0.00014566081276926678  1.5224661708637227e-05 -0.00053776832422065823 -1.8442806584348151e-05  -0.0021685069015189356  -0.0014568442385360892   6.603429602583907e-06,  0.1277037239074707   65.162505435943601        -1.8030078125  -16.128468322753907 -0.97809652328491214   1.9467735404968263 -0.28001765823364255,-0.60159153953874434   -1.191816854679979 -0.56462797611804405  -1.1035251560358723 -0.33398657811456145 -0.46128324490721523  0.45437524935083773,  0.55497968196868896 -0.053342979401350021   0.21399849653244019, -0.70213949680328369 -0.010262841358780861 0.0036675028968602419    0.7119559645652771,-0.00041963186231441796 -0.00023010688892100006 -8.7782238551881164e-05,-0.0041175400838255882     1.1464701890945435  0.0034480909816920757,  0.24667572975158691  0.029567142948508263  0.065727412700653076  0.029567142948508263   0.22972095012664795 -0.023694988340139389  0.065727412700653076 -0.023694988340139389   0.18833485245704651,  -1.1205998113545945  -0.41662392861052666   -1.1892403192881318   0.75057323180693913    0.5292588629357553  0.037607190677135804 1.647012037864215e-05,0.00044561814866028726
IIWA_7,1714657286.6767392,-0.48243965421464541   1.1320265888465739 0.020231049474339222  -1.2837693466489153  -1.9549071294932863  -1.8888850397399515 -0.90863841955170366,-0.00015487789720450236  4.9889728433535082e-06  -0.0005260855951885635 -1.4754245267478522e-05  -0.0025401493073006925  -0.0015705401302771069  1.0078035801009154e-05, 0.10619572830200195   65.158472686767581   -1.816213436126709  -16.137272071838378 -0.98513952255249027   1.9464397888183593 -0.27968390655517578,-0.60149231523247393  -1.2020705351195151 -0.55981775875811846   -1.099919521850997 -0.32915937390097777 -0.46354178450790423  0.45367211958933407,  0.55497479438781738 -0.053344793617725372   0.21399755775928497, -0.70214086771011353 -0.010266533121466637 0.0036759593058377504   0.71195453405380249,-0.00053161487448960543 -0.00025661601102910936 -0.00010825161007232964,-0.0041137300431728363     1.1464701890945435  0.0034470155369490385,  0.24667558073997498  0.029568476602435112   0.06572674959897995  0.029568476602435112   0.22972117364406586 -0.023695433512330055   0.06572674959897995 -0.023695433512330055   0.18833453953266144,   -1.1206481319927519   -0.41663177595641088     -1.189272570917943    0.75058007707973218    0.52928810394625714   0.037641046794156807 1.6475143027605554e-05,0.00054964754963293672
IIWA_7,1714657286.6817634,-0.48244061294582014    1.132026768615487 0.020227873629599061  -1.2837693466489153  -1.9549282216227637  -1.8888964846274383 -0.90863841955170366,-0.00016225156475269082  1.1181934798239081e-05 -0.00054790226575728517 -1.1803396213982818e-05  -0.0028758046249377184  -0.0017142276036950202  8.0624286408073238e-06, 0.10619572830200195   65.167882434844969  -1.8003666877746582  -16.137272071838378 -0.97281427383422847   1.9464397888183593 -0.28101891326904299,  31.01104892229835  3.3641045246473715   18.17178535946103 -8.0823827317531798 0.19915238219364267  1.2781006445409575  0.4528854062305453,  0.55496948957443237 -0.053346399217844009   0.21399606764316559, -0.70214307308197021 -0.010270684026181698 0.0036856413353234529   0.71195226907730103, -0.0006367756868712604 -0.00026957920636050403 -0.00014569408085662872,-0.0041106673888862133     1.1464701890945435   0.003446703078225255,  0.24667534232139587  0.029569929465651512  0.065726019442081451  0.029569929465651512   0.22972148656845093 -0.023695845156908035  0.065726019442081451 -0.023695845156908035   0.18833422660827637,   -1.1207002144226763    -0.4166381389039131      -1.18930519478333    0.75058519792747802     0.5293207857759441   0.037678004408014942 1.6480434794630128e-05,0.00064720003865659237
IIWA_7,1714657286.686769,-0.48244103247933912    1.132026768615487 0.020225177204987808  -1.2837694664221353  -1.9549475881452096  -1.8889087085862701 -0.90863841955170366,-0.00014658259256137256  8.9455478385912657e-06 -0.00054617879705592238  -1.423364577153296e-05   -0.003075304597787795  -0.0018603404362290219  6.4499429126458597e-06, 0.10619572830200195   65.159816936492916  -1.8285386848449707  -16.145195446014405 -0.98601989746093743    1.948776050567627 -0.28035140991210938, 31.009589545502049  3.3625167527039146  18.172305229035235 -8.0804354149427819 0.20249569088013922  1.2791777451973836  0.4522300756540063,  0.55496436357498169 -0.053347833454608917   0.21399480104446411, -0.70214509963989258 -0.010275023989379406 0.0036949908826500177   0.71195012331008911,-0.00071443122578784823  -0.0002730553678702563 -0.00016777950804680586,-0.0041106683202087879     1.1464704275131226   0.003446703776717186,  0.24667498469352722  0.029571289196610451  0.065725378692150116  0.029571289196610451   0.22972185909748077 -0.023696158081293106  0.065725378692150116 -0.023696158081293106   0.18833395838737488,   -1.1207480805648373   -0.41664306124289396    -1.1893324782059622    0.75058942109595961    0.52935236982687428     0.0377147568002556 1.6485722120762603e-05,0.00071712478529661894
IIWA_7,1714657286.6917632,-0.48241340882601852   1.1320363560363174 0.020252860744918316  -1.2837955321509322  -1.9549660917768734  -1.8889022970101799 -0.90863841955170366,0.00098768005877476056 0.00039065327148479848 0.00067039855957554692 -0.0010540160684944764 -0.0032003889447814317 -0.0012318093053723959  5.159954330116688e-06,-0.10350722885131836   65.010605216979982  -2.3347542572021482  -15.814174480438233  -1.0177133941650391   1.8723469161987305   -0.279350154876709, 31.008232125523019  3.3606582946676355  18.173142688710126 -8.0783462300491866 0.20581068702820721  1.2803467145579526 0.45153320372746858,  0.55495882034301758 -0.053349517285823822   0.21399328112602234, -0.70214718580245972 -0.010279497131705284 0.0037050549872219563   0.71194803714752197,-0.00079467735486105084 -0.00028583765379153192 -0.00019450015679467469,-0.0041015380993485451     1.1464706659317017  0.0034454939886927605,  0.24667470157146454   0.02957276813685894  0.065724648535251617   0.02957276813685894   0.22972221672534943 -0.023696552962064743  0.065724648535251617 -0.023696552962064743   0.18833361566066742,   -1.1208005221092776   -0.41664946354202925    -1.1893640333102695    0.75059489691842174    0.52938630895482675   0.037754143356494296 1.6491456200640187e-05,0.0007936969050206244
IIWA_7,1714657286.6967392,-0.48196855439753172   1.1321146130002353 0.020755598908964466  -1.2839875793460924  -1.9549671464793403  -1.8887983338552909 -0.90863782035835483,  0.018584321186491653  0.0034428011739056083   0.020645845409506466 -0.0085251006612033532 -0.0026024992545018773  0.0031730787512588721 2.8095697417171957e-05, -8.9540474205017091   61.561260421752927  -8.5352347373962409  -12.678279056549073  -1.0670143890380859    2.055910339355469 -0.29136521530151366, 31.006448459144508  3.3599048074594431  18.172974374625472 -8.0769239274584947 0.20808480956341655  1.2817954177175834 0.45102728249490942,  0.55495345592498779 -0.053350739181041718   0.21399232745170593, -0.70214849710464478 -0.010284219868481159 0.0037148238625377417   0.71194654703140259,-0.00084936281200498343 -0.00027745414990931749 -0.00019420201715547591,-0.0040969639085233212     1.1464706659317017  0.0034449233207851648,  0.24667438864707947  0.029574226588010788  0.065723985433578491  0.029574226588010788   0.22972258925437927 -0.023696906864643097  0.065723985433578491 -0.023696906864643097   0.18833330273628235,   -1.1208520547842937   -0.41665466788831651    -1.1893941760172666    0.75059974249480632    0.52941985715548867   0.037795119186334603 1.6497645916047077e-05,0.00083744025323539972
IIWA_7,1714657286.7017395,-0.48151968516634991   1.1320974156166168 0.021317838837869606  -1.2841395992692703  -1.9549622569394409  -1.8886624328113366 -0.90863596278261527,  0.032822226196465895  0.0020663455943847006   0.039006273483810749  -0.012900877456079731 -0.0018864178076250667  0.0079745047591804584 9.6779587516182964e-05, -17.605638652801513   62.123156806945801   -12.80153154373169  -12.653628559112549 -0.77296916961669926   1.7355087280273438  -0.2466424903869629, 30.975445566210091  3.3423060130579905  18.154453351715485 -8.0605959084254053 0.21634892780592938  1.2851943755217852 0.44732576738171609, 0.55494678020477295 -0.05332188680768013   0.2139848917722702,   -0.702140212059021 -0.010292675346136093 0.0037413176614791155   0.71195447444915771, -0.0009466941119171679  0.00093205284792929888 -0.00045271671842783689,-0.0040969648398458958     1.1464709043502808  0.0034449237864464521,  0.24667409062385559  0.029572416096925735  0.065724298357963562  0.029572416096925735   0.22972771525382996 -0.023692954331636429  0.065724298357963562 -0.023692954331636429   0.18832935392856598,   -1.1207334517866485   -0.41654503886068284    -1.1891953762486196    0.75047501972758113    0.52945254887593052   0.037925261845650482 1.6520495194072282e-05,0.0012854146771132946
IIWA_7,1714657286.7067411,-0.48125501362110046   1.1320916632295686 0.021964148113434043  -1.2844327334257952  -1.9549688720863718  -1.8885647013545419 -0.90863626243383122,   0.03684464276715075   0.001422980993577668   0.057057389809626081  -0.022046068225858861 -0.0017737401233360328   0.010288862079132485 6.5437621374888965e-05, -21.677371070861817   61.355590213775635  -13.875588932037353  -12.474032077789307  -1.0714162635803222   1.9037195739746093 -0.24297122192382811, 30.516170977476715  3.2824792042138884  17.787298702648364 -7.9418613180245199 0.24857756279272103  1.3736017697176559 0.43723173253930286,  0.55496335029602051 -0.052873805165290833   0.21399129927158356, -0.70197856426239014 -0.010493034496903419 0.0039622336626052856   0.71210974454879761,-0.00010118808131664991    0.018668489530682564 -0.00010350369848310947,-0.0040871822275221348     1.1464731693267822  0.0034435288980603218,  0.24663865566253662  0.029544157907366753  0.065752461552619934  0.029544157907366753    0.2297946959733963 -0.023625815287232399  0.065752461552619934 -0.023625815287232399   0.18830592930316925,   -1.1190085855963261   -0.41477636656139794     -1.186116724485764    0.74880274330446639    0.52975286187706416   0.039608726723372456 1.6838076710712357e-05,0.017097484320402145
IIWA_7,1714657286.7117383, -0.4811932948517591   1.1320753646905148 0.022800946659635037  -1.2848536792433574  -1.9549663794071341  -1.8883628870787215 -0.90863608266491824,  0.031944464987374868 0.00048644323271348415    0.07911785369574062  -0.034474687283172489 -0.0013192849291613583   0.016303660696123767 5.9540853619026554e-05, -21.024065704345702   61.219820991516116  -11.602460918426514  -11.722191905975341 -0.65411855697631838    1.424452163696289 -0.27234136962890626, 30.135782250211907  3.3503008618326677  17.428875627234437 -7.9127631646880676 0.24079524156069698  1.4626487422495087 0.44872655295090708,  0.55501121282577515 -0.052414406090974808   0.21405969560146332, -0.70183002948760986 -0.010746689513325691 0.0041337506845593452   0.71225136518478394,0.0018127728253602982  0.033311523497104645 0.0026587673928588629,-0.0040832124650478363     1.1465013027191162  0.0034478446468710899,  0.24658295512199402  0.029518282040953636   0.06579001247882843  0.029518282040953636   0.22986163198947906 -0.023552477359771729   0.06579001247882843 -0.023552477359771729   0.18830195069313049,   -1.1173757588611721   -0.41290071375321702    -1.1829563205170146     0.7471083506427334    0.53005284070639647   0.041259151180028653 1.7148405362377162e-05,0.030648615211248398
IIWA_7,1714657286.7167373,-0.48122217677838725   1.1320684738033788 0.023958443019988375  -1.2853522230539618   -1.954963215648799  -1.8880695731532837 -0.90863578301370229,   0.024400294924774149   0.0001135191007302699     0.10959413737072603   -0.047521502250715386 -0.00092887760992550121    0.024775485574408763  5.9618731533278659e-05,  -17.28973996734619   60.948282546997071  -11.120015468597412  -11.831358394622802 -0.76064392089843746   1.7241611709594726 -0.28368892669677737, 29.910437687710186  3.3594985303296627  17.147352520699929 -7.8383905068353723 0.25480650975752289  1.5567341858828276 0.43915226697749216,  0.55500912666320801 -0.052008848637342453   0.21412168443202972, -0.70162481069564819 -0.010924516245722771 0.0042999121360480785   0.71244984865188599,0.0013435223372653127  0.042870618402957916 0.0046164877712726593,-0.0040973220020532608     1.1465293169021606  0.0034477803856134415, 0.24654817581176758 0.029482357203960419 0.065820232033729553 0.029482357203960419  0.22992904484272003 -0.02348644845187664 0.065820232033729553 -0.02348644845187664  0.18828074634075165,   -1.1153603792557476   -0.41130093462093953    -1.1797752583477816    0.74553617604244948    0.53016981529907525   0.042829688830181567 1.7457220558014797e-05,0.039505958557128906
