DesiredFlux,1.12,HitTime,1714657585.4798474,DesiredPos,0.54505610466003418  0.3035622239112854 0.21988135576248169
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714657584.9355121,-0.48124878181392311   1.1195209303829101 0.018186540681623467  -1.2999506268475434  -1.9567043796725336  -1.8842229365314769   -0.913242698911229, 1.6650473025336801e-05 -1.5521356089843033e-05   3.983842964713335e-06  7.9613549103027379e-06  -0.0041568950643367554 -6.0003025870145579e-05  3.8831006219146039e-06, 0.36294742584228518   64.685296783447271  -1.7994863128662109  -16.071243953704833  -0.8064234161376953   1.9210746612548828 -0.27634638977050779,    0.157856664933616  -0.23031077583383588 -0.099927622993630658   -1.6822778078240426    -0.488799492306984  -0.37847707996148949     0.462430454592208,  0.55231350660324097 -0.051827691495418549   0.21644437313079834,  -0.70380991697311401 -0.0098868440836668015  0.0033645373769104481    0.71031159162521362, -0.0007642062846571207 -5.4576430557062849e-05 -0.00057594256941229105,-0.0039525912143290043     1.2230589389801025  0.0018674447201192379,  0.24707615375518799  0.029428781941533089  0.065338097512722015  0.029428781941533089   0.23006018996238708 -0.023634109646081924  0.065338097512722015 -0.023634109646081924   0.18816597759723663,   -1.1120734862846149   -0.41349576742355509    -1.1901862734360336    0.72726771810049939    0.52511174481839618   0.034762565301882375 1.5309884915382099e-05,0.00087771716061979532
IIWA_7,1714657584.9404919, -0.4812476433138354   1.1195208105006071 0.018186540681623467  -1.2999506867341535  -1.9567235543832948  -1.8842232361826927 -0.91324257902892603, 5.8860381928473747e-05 -1.7212376990816457e-05  3.1870743717706681e-06  3.9736195236279455e-06  -0.0040925044819167169 -5.9988469329732984e-05  7.9017726164737126e-06, 0.43015991210937499   64.673198535919184  -1.7880414390563966  -16.075645828247069 -0.81082529067993159   1.9224096679687499 -0.27734764480590818, 0.17404693058677959 -0.18887022000344042 -0.10405463520993169  -1.7087587447701769  -0.5046197187761291 -0.37188411146756006  0.46228557992876729,   0.5523102879524231 -0.051827412098646164   0.21644197404384613,  -0.70381361246109009 -0.0098901409655809402  0.0033716801553964615    0.71030783653259277,-0.00073941273149102926  -3.246972119086422e-05 -0.00055669521680101752,-0.0039495471864938736     1.2230591773986816  0.0018683046801015735,  0.24707560241222382  0.029429471120238304  0.065337739884853363  0.029429471120238304   0.23006072640419006 -0.023633943870663643  0.065337739884853363 -0.023633943870663643   0.18816587328910828,   -1.1120941663644857   -0.41349045219263303    -1.1901872234378885    0.72726122622235323    0.52513253091657219   0.034784849432867304 1.5312337175998891e-05,0.0008480747346766293
IIWA_7,1714657584.9454885, -0.4812465647003577   1.1195209303829101 0.018186720450536421  -1.2999507467298463  -1.9567417703846979  -1.8842234159516058 -0.91324239926001305, 9.0232844650809947e-05 -8.9746094737111362e-06  9.7404160155604725e-06  7.7906790457457201e-07  -0.0040026436416557608 -5.5181531987342666e-05  1.3512174612294352e-05,  0.4825856513977051    64.69067378234864  -1.7704339408874512  -16.073885078430177 -0.81170566558837887   1.9214084129333495 -0.27734764480590818, 32.960742419302257  3.6429377796104023  19.886679471084509 -8.7465856715183605 0.30240380317475662  1.0719428689810657 0.46186450661061534,   0.5523037314414978 -0.051826175302267075   0.21643701195716858,  -0.70382142066955566 -0.0098973233252763748  0.0033868048340082169    0.71029996871948242,-0.00070896220859140158  2.3532813429483213e-05 -0.00053526600822806358,-0.003946774173527956    1.2230592966079712 0.0018691254081204534,  0.24707497656345367  0.029430180788040161  0.065337389707565308  0.029430180788040161   0.23006133735179901 -0.023633722215890884  0.065337389707565308 -0.023633722215890884   0.18816579878330231,  -1.1121151109989569  -0.41348344817038196   -1.1901864539707319   0.72725314296917531   0.52515448755574567  0.034808941977715335 1.531503546203794e-05,0.00081375968875363469
IIWA_7,1714657584.9504864,-0.48121744311820663   1.1195289597701339 0.018217280183991137  -1.2999774115429092   -1.956757685518548  -1.8842086154504658 -0.91324257902892603, 0.0012370495617634646 0.00031399580137197325  0.0012301816710011103 -0.0010659692681925146 -0.0038387202673298352 0.00054787482001012052  3.618983170720101e-06, 0.33202968215942386   64.608674549102787  -2.1982961463928223  -15.755189361572265 -0.86100666046142582   1.8630018692016601  -0.2770138931274414, 32.960742419302257  3.6429377796104023  19.886679471084509 -8.7465856715183605 0.30240380317475662  1.0719428689810657 0.46186450661061534,   0.5523037314414978 -0.051826175302267075   0.21643701195716858,  -0.70382142066955566 -0.0098973233252763748  0.0033868048340082169    0.71029996871948242,-0.00070896220859140158  2.3532813429483213e-05 -0.00053526600822806358,-0.0039440062828361988     1.2230597734451294  0.0018699475331231952,  0.24707438051700592  0.029430894181132317  0.065337032079696655  0.029430894181132317   0.23006194829940796 -0.023633513599634171  0.065337032079696655 -0.023633513599634171   0.18816569447517395,   -1.1121361764798721   -0.41347677075709299    -1.1901861965109006    0.72724518152700313    0.52517640010396605   0.034832911412152612 1.5317689339156004e-05,0.00081375951413065195
IIWA_7,1714657584.9554873,-0.48078924665751621   1.1195991873468278  0.01872631015090765  -1.3001792858144225  -1.9567541381368432  -1.8841347327179856 -0.91324156041114124,  0.018117498077027654   0.003060299708855524   0.021345344013461418 -0.0089277462750861156 -0.0029290809456707866  0.0033936091552166049 4.3639897928058805e-05, -8.3518235435485835   61.332737968444825   -8.515866489410401  -12.591121940612792 -0.90678615570068355   2.1393482589721682 -0.29236647033691404, 32.959498819009653  3.6432732288769656  19.886441886529159 -8.7468051607577308  0.3030886102221646  1.0719427467166527 0.46161711230918528,  0.55230063199996948 -0.051825538277626038    0.2164345383644104,  -0.70382499694824219 -0.0099005885422229767  0.0033941168803721666    0.71029627323150635,-0.00069240684388205409  4.4187479943502694e-05 -0.00052741146646440029,-0.0039412509649991989     1.2230600118637085  0.0018708071438595653,  0.24707382917404175  0.029431546106934547  0.065336689352989197  0.029431546106934547   0.23006252944469452 -0.023633303120732307  0.065336689352989197 -0.023633303120732307   0.18816556036472321,   -1.1121551124420037   -0.41347012881853829    -1.1901848109703295    0.72723737027313717     0.5251970563753261   0.034855844128323099 1.5320252622075259e-05,0.00079807458678260446
IIWA_7,1714657584.9604869, -0.4803322882615837   1.1195866638458634 0.019292385004511733  -1.3003531770038728  -1.9567487691549983  -1.8840504236067204 -0.91323940318418584,  0.032772334298922776  0.0019472997285052743    0.03971926935493246  -0.014097844598077489 -0.0021285054827410786  0.0060872517747822402 0.00012120099655850896, -17.371739200592042   61.674177398681643  -12.989931774139404  -12.297957096099854 -0.68581205368041986   1.7331724662780761 -0.24630873870849609, 32.928841479994318  3.6289035759229047  19.866590049336136 -8.7323041716788463 0.30925485671182151  1.0756991848889621 0.45843026039473866,   0.5522957444190979 -0.051794867962598801   0.21642719209194183,  -0.70381796360015869 -0.0099087301641702652  0.0034181331284344196    0.71030306816101074, -0.000748522172216326  0.0012621937785297632 -0.0007157005020417273,-0.0039383862167596817     1.2230603694915771  0.0018716687336564064,  0.24707315862178802  0.029429182410240173   0.06533735990524292  0.029429182410240173   0.23006778955459595 -0.023628858849406242   0.06533735990524292 -0.023628858849406242   0.18816192448139191,   -1.1120148902739047   -0.41335094822603224    -1.1899626839113608    0.72710452417723559    0.52522071019822647   0.034973652063285954 1.5340991588175257e-05,0.0014950914774090052
IIWA_7,1714657584.9654872,-0.48003579849140576   1.1195864840769503 0.019923294585587357  -1.3006706989732848  -1.9567523165367029  -1.8840291516428802 -0.91323880399083701,  0.038077458246255511  0.0015506490262806633    0.05701179872697093  -0.023979154454943509 -0.0018446996543770629   0.005720679973432341 0.00012092853119988579, -21.456914115905761   60.881070060729982  -14.051663913726806  -11.987184753417969 -0.85132253646850586   2.0886180038452147 -0.24797749710083009, 32.478247564010118   3.581071414182698  19.492731741945509 -8.6110054570373169  0.3386448220834215   1.179628816837804 0.44867399718466144, 0.55230498313903809 -0.05135306715965271  0.21644297242164612, -0.70364630222320557 -0.010112099349498749 0.0036410272587090731   0.71046912670135498,-0.00023598226835019886    0.018681380897760391  6.1444843595381826e-05,-0.0039357692003250122     1.2230626344680786  0.0018725690897554159,  0.24703827500343323  0.029402434825897217  0.065365172922611237  0.029402434825897217   0.23013409972190857 -0.023562906309962273  0.065365172922611237 -0.023562906309962273   0.18813803791999817,   -1.1103627121933357   -0.41162919135295795    -1.1869565488646927    0.72549366355900702     0.5255463798601312   0.036693141137078555 1.5671128394956213e-05,0.01710810698568821
IIWA_7,1714657584.970484,-0.47993201510542982   1.1195743201138117 0.020732769020600676   -1.301110280325769  -1.9567474269968035  -1.8840136919526984 -0.91323826468409808,  0.034613302036042085 0.00075396069548361636    0.07798841638210946  -0.036766577663324036 -0.0012801781275252153  0.0051949315860177151 0.00011831509451725478, -20.316990348815917   60.663301605224611  -11.893865013122559  -11.521466426849365 -0.60393718719482425   1.7732226676940919 -0.26433132934570314, 32.084612229525654  3.6404532821729925  19.123945301999168 -8.5625307368639003 0.33618315486922701  1.2899923260308794 0.45738532444941893,  0.55233794450759888 -0.050884604454040527   0.21651484072208405, -0.70347905158996582 -0.010374510660767555 0.0038374580908566713   0.71062994003295898,0.0011085828300565481  0.033683367073535919 0.0029290211386978626,-0.0039325314573943615     1.2230921983718872  0.0018762822728604078,  0.24698463082313538  0.029378805309534073  0.065401539206504822  0.029378805309534073   0.23020264506340027 -0.023489883169531822  0.065401539206504822 -0.023489883169531822   0.18812999129295349,   -1.1088081053856058   -0.40975831333778245    -1.1838322708017657    0.72380920319492503     0.5259197392755155   0.038489532916408109 1.6014000792097249e-05,0.030976312234997749
IIWA_7,1714657584.9754877,-0.47989953780054251   1.1195712641513744 0.021852814651280108  -1.3016687452165854   -1.956746851736282  -1.8839999101784262 -0.91323826468409808,   0.02898973382432618 0.00048093005889384961    0.10719255833286487  -0.051751857763313064 -0.0010011320811625557  0.0047072162397040892 9.4652075613803821e-05, -16.613582355499268   60.426713653564455  -11.165794963836669  -11.532030925750732 -0.64619518280029298   1.7989215469360351 -0.26967135620117189, 31.696961050776629  3.6458757969142757  18.547546397959881 -8.3663808431967723 0.36912296771165526  1.5354614902835755 0.42347586982067209,  0.55226814746856689 -0.050069712102413177   0.21666997671127319, -0.70295470952987671 -0.010712331160902977 0.0042146123014390469   0.71114146709442139,-0.0019633108749985695   0.050767563283443451  0.0075803129002451897,-0.0039384970441460609     1.2231230735778809  0.0018681595101952553,  0.24692918360233307  0.029302110895514488  0.065458431839942932  0.029302110895514488   0.23034501075744629 -0.023359153419733047  0.065458431839942932 -0.023359153419733047   0.18806776404380798,   -1.1045448218371945   -0.40668031506552182    -1.1773109091892664    0.72072490077790263    0.52617327975923445    0.04201624859945241 1.6731836360861507e-05,0.047034256160259247
IIWA_7,1714657584.9804878,-0.47981534868066333   1.1195629351129348 0.023278158510706144  -1.3023738970679668  -1.9567505909296714  -1.8839734250251932 -0.91323826468409808,  0.026559351854627922 5.1582509530521015e-05    0.14276780104333336  -0.069607560265907448 -0.0009504734005045519  0.0048251791210833662 7.5721660491043059e-05, -15.172546649932862   59.570426578521726  -11.399974689483642  -11.561083297729493 -0.83635616302490234   1.8409742584228515 -0.27134011459350588, 31.529425491676431  3.6662308311360592  18.158751945428328 -8.2520768490921803 0.37884185895878764  1.6932980382984111 0.39904255315666926,    0.552204430103302 -0.049594081938266754   0.21679510176181793, -0.70254802703857422 -0.010888004675507545 0.0044046561233699322   0.71153944730758667,-0.004156509879976511  0.059629682451486588  0.011104853823781013,-0.0039561628364026546     1.2231540679931641  0.0018289996078237891,  0.24689985811710358   0.02923947386443615  0.065497078001499176   0.02923947386443615   0.23043808341026306 -0.023275760933756828  0.065497078001499176 -0.023275760933756828   0.18802204728126526,   -1.1045448218371945   -0.40668031506552182    -1.1773109091892664    0.72072490077790263    0.52617327975923445    0.04201624859945241 1.6731836360861507e-05,0.055666111409664154
