RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714649283.0989718,0.42404741048812866 0.80586147308349609 0.27767908573150635,-0.00056171312462538481   0.0038702916353940964       0.311117023229599     0.95036357641220093,0.42404741048812866 0.80586147308349609 0.27767908573150635,-0.00056171312462538481   0.0038702916353940964       0.311117023229599     0.95036357641220093
1714649283.1039717,0.42566892504692078 0.81063830852508545 0.27761170268058777,-0.00075348454993218184   0.0033420405816286802     0.30219292640686035     0.95324063301086426,0.42566892504692078 0.81063830852508545 0.27761170268058777,-0.00075348454993218184   0.0033420405816286802     0.30219292640686035     0.95324063301086426
1714649283.1089711,0.42743685841560364 0.81555289030075073 0.27761566638946533,-0.00096140202367678285   0.0032335380092263222     0.29301849007606506     0.95610082149505615,0.42743685841560364 0.81555289030075073 0.27761566638946533,-0.00096140202367678285   0.0032335380092263222     0.29301849007606506     0.95610082149505615
1714649283.1189706,0.43028581142425537  0.8231579065322876 0.27759444713592529,-0.00056884193327277899   0.0027527674101293087     0.27899312973022461     0.96028900146484375,0.43028581142425537  0.8231579065322876 0.27759444713592529,-0.00056884193327277899   0.0027527674101293087     0.27899312973022461     0.96028900146484375
1714649283.123971,0.43234989047050476 0.82829016447067261 0.27757275104522705,-0.00043061075848527253   0.0029175134841352701     0.26929014921188354      0.9630545973777771,0.43234989047050476 0.82829016447067261 0.27757275104522705,-0.00043061075848527253   0.0029175134841352701     0.26929014921188354      0.9630545973777771
1714649283.1289713,0.43443939089775085  0.8335222601890564 0.27760863304138184,-0.00019017695740330964   0.0032815998420119286     0.25939559936523438     0.96576553583145142,0.43443939089775085  0.8335222601890564 0.27760863304138184,-0.00019017695740330964   0.0032815998420119286     0.25939559936523438     0.96576553583145142
1714649283.1339722,0.43669864535331726 0.83878600597381592 0.27762442827224731,-0.00014853065658826381    0.003099505789577961     0.24959002435207367     0.96834665536880493,0.43669864535331726 0.83878600597381592 0.27762442827224731,-0.00014853065658826381    0.003099505789577961     0.24959002435207367     0.96834665536880493
1714649283.1439719,0.44028595089912415 0.84678661823272705 0.27762478590011597,-0.00071168353315442801   0.0023136758245527744     0.23524224758148193     0.97193378210067749,0.44028595089912415 0.84678661823272705 0.27762478590011597,-0.00071168353315442801   0.0023136758245527744     0.23524224758148193     0.97193378210067749
1714649283.1489732,0.44278845191001892 0.85215872526168823 0.27764290571212769,-0.00028450175886973739   0.0023071968462318182     0.22524280846118927     0.97429990768432617,0.44278845191001892 0.85215872526168823 0.27764290571212769,-0.00028450175886973739   0.0023071968462318182     0.22524280846118927     0.97429990768432617
1714649283.1539717,0.44533631205558777 0.85755425691604614 0.27766668796539307,-0.00073075696127489209   0.0016588387079536915     0.21561473608016968     0.97647684812545776,0.44533631205558777 0.85755425691604614 0.27766668796539307,-0.00073075696127489209   0.0016588387079536915     0.21561473608016968     0.97647684812545776
1714649283.1590028,0.44795802235603333 0.86294519901275635 0.27763551473617554,-0.00074385566404089332   0.0018797897500917315     0.20558817684650421     0.97863650321960449,0.44795802235603333 0.86294519901275635 0.27763551473617554,-0.00074385566404089332   0.0018797897500917315     0.20558817684650421     0.97863650321960449
1714649283.168972,0.45215862989425659  0.8709406852722168 0.27763524651527405,-0.00086011894745752215   0.0014231158420443535     0.19098201394081116     0.98159211874008179,0.45215862989425659  0.8709406852722168 0.27763524651527405,-0.00086011894745752215   0.0014231158420443535     0.19098201394081116     0.98159211874008179
