RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1715006294.3081694,0.56743884086608887 0.42452904582023621 0.28072810173034668,-0.0034317735116928816 0.00043504138011485338  -0.012188863940536976    0.99991971254348755,0.56743884086608887 0.42452904582023621 0.28072810173034668,-0.0034317735116928816 0.00043504138011485338  -0.012188863940536976    0.99991971254348755
1715006294.3131683,0.56745350360870361 0.42452061176300049 0.28072246909141541,-0.0034452234394848347 0.00042540024151094258  -0.012225942686200142    0.99991923570632935,0.56745350360870361 0.42452061176300049 0.28072246909141541,-0.0034452234394848347 0.00042540024151094258  -0.012225942686200142    0.99991923570632935
1715006294.3181689,0.56782716512680054 0.42419588565826416 0.28025010228157043,-0.0035560762044042349  0.0008563368464820087  -0.012543473392724991    0.99991464614868164,0.56782716512680054 0.42419588565826416 0.28025010228157043,-0.0035560762044042349  0.0008563368464820087  -0.012543473392724991    0.99991464614868164
1715006294.3231673,0.56771022081375122  0.4241563081741333 0.28058761358261108,-0.0033736573532223701 0.00067277502967044711  -0.012479638680815697     0.9999161958694458,0.56771022081375122  0.4241563081741333 0.28058761358261108,-0.0033736573532223701 0.00067277502967044711  -0.012479638680815697     0.9999161958694458
1715006294.3281667,0.56745094060897827 0.42452827095985413 0.28069391846656799,-0.0034873930271714926 0.00039644003845751286  -0.012228664010763168    0.99991905689239502,0.56745094060897827 0.42452827095985413 0.28069391846656799,-0.0034873930271714926 0.00039644003845751286  -0.012228664010763168    0.99991905689239502
1715006294.3331971,0.56743532419204712 0.42456889152526855 0.28069120645523071,-0.0035226114559918642 0.00048431023606099188  -0.012179736979305744    0.99991947412490845,0.56743532419204712 0.42456889152526855 0.28069120645523071,-0.0035226114559918642 0.00048431023606099188  -0.012179736979305744    0.99991947412490845
1715006294.3381977,0.56767189502716064 0.42427161335945129 0.28052309155464172,-0.0034301436971873045  0.0006920563755556941  -0.012405684217810631    0.99991691112518311,0.56767189502716064 0.42427161335945129 0.28052309155464172,-0.0034301436971873045  0.0006920563755556941  -0.012405684217810631    0.99991691112518311
1715006294.3431671,0.56765586137771606 0.42434737086296082 0.28054323792457581,-0.0034247718285769224 0.00068687339080497622  -0.012410608120262623    0.99991691112518311,0.56765586137771606 0.42434737086296082 0.28054323792457581,-0.0034247718285769224 0.00068687339080497622  -0.012410608120262623    0.99991691112518311
1715006294.3481684,0.56765443086624146  0.4243893027305603 0.28054314851760864,-0.0033850232139229774 0.00067050574580207467  -0.012308278121054173    0.99991828203201294,0.56765443086624146  0.4243893027305603 0.28054314851760864,-0.0033850232139229774 0.00067050574580207467  -0.012308278121054173    0.99991828203201294
1715006294.3531971,0.56765198707580566 0.42441058158874512 0.28055340051651001,-0.0033613662235438824 0.00065530149731785059  -0.012315044179558754    0.99991828203201294,0.56765198707580566 0.42441058158874512 0.28055340051651001,-0.0033613662235438824 0.00065530149731785059  -0.012315044179558754    0.99991828203201294
1715006294.3581989, 0.5676921010017395 0.42438635230064392 0.28055727481842041,-0.0033714079763740301 0.00067728990688920021  -0.012370328418910503    0.99991756677627563, 0.5676921010017395 0.42438635230064392 0.28055727481842041,-0.0033714079763740301 0.00067728990688920021  -0.012370328418910503    0.99991756677627563
1715006294.363167,0.56774765253067017 0.42433544993400574 0.28055673837661743,-0.0033569049555808306 0.00065739412093535066  -0.012465197592973709     0.9999164342880249,0.56774765253067017 0.42433544993400574 0.28055673837661743,-0.0033569049555808306 0.00065739412093535066  -0.012465197592973709     0.9999164342880249
1715006294.3681672,0.56777739524841309 0.42435345053672791 0.28051099181175232,-0.0033480352722108364 0.00067805295111611485  -0.012494906783103943    0.99991607666015625,0.56777739524841309 0.42435345053672791 0.28051099181175232,-0.0033480352722108364 0.00067805295111611485  -0.012494906783103943    0.99991607666015625
1715006294.3731661,0.56773734092712402 0.42439621686935425 0.28055369853973389,-0.0033221910707652569 0.00067024229792878032  -0.012455460615456104      0.999916672706604,0.56773734092712402 0.42439621686935425 0.28055369853973389,-0.0033221910707652569 0.00067024229792878032  -0.012455460615456104      0.999916672706604
1715006294.3781981,0.56773966550827026 0.42440113425254822 0.28058034181594849,-0.0032769849058240652 0.00065142917446792126  -0.012493978254497051    0.99991637468338013,0.56773966550827026 0.42440113425254822 0.28058034181594849,-0.0032769849058240652 0.00065142917446792126  -0.012493978254497051    0.99991637468338013
1715006294.3831863,0.56771576404571533 0.42442569136619568 0.28056091070175171,-0.0032736235298216343 0.00063306681113317609   -0.01243653055280447    0.99991708993911743,0.56771576404571533 0.42442569136619568 0.28056091070175171,-0.0032736235298216343 0.00063306681113317609   -0.01243653055280447    0.99991708993911743
1715006294.3881736,0.56768590211868286  0.4244425892829895 0.28056704998016357, -0.003292939392849803 0.00067461904836818576   -0.01244148425757885    0.99991697072982788,0.56768590211868286  0.4244425892829895 0.28056704998016357, -0.003292939392849803 0.00067461904836818576   -0.01244148425757885    0.99991697072982788
1715006294.3931689,0.56738114356994629 0.42480772733688354 0.28073155879974365,-0.0033831612672656775 0.00045104534365236759  -0.012111498042941093    0.99992084503173828,0.56738114356994629 0.42480772733688354 0.28073155879974365,-0.0033831612672656775 0.00045104534365236759  -0.012111498042941093    0.99992084503173828
1715006294.3981714,0.56764733791351318 0.42439547181129456 0.28059980273246765,-0.0032323230989277363  0.0006483096512965858  -0.012392399832606316    0.99991780519485474,0.56764733791351318 0.42439547181129456 0.28059980273246765,-0.0032323230989277363  0.0006483096512965858  -0.012392399832606316    0.99991780519485474
1715006294.403172,0.56766796112060547 0.42439833283424377 0.28059214353561401,-0.0031940105836838484 0.00065628404263406992    -0.0123941320925951    0.99991786479949951,0.56766796112060547 0.42439833283424377 0.28059214353561401,-0.0031940105836838484 0.00065628404263406992    -0.0123941320925951    0.99991786479949951
