DesiredFlux,1.008,HitTime,1715011940.9684365,DesiredPos,0.52625566720962524 -0.3111196756362915 0.21872776746749878
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715011940.42609, 0.56715260478008378    1.077928479416153 -0.16025047879667212  -1.4724742702163014  -1.0521091979599644   1.7189267395561387  -0.6006211293825312, 0.00074652983685252088 -1.9878420885187006e-06  -0.0027198274767739616 -4.1595379167066115e-06 -5.8208173179219562e-07 -2.8778471024280415e-06 -1.2870366555639564e-05,-2.5462786102294923  66.992847434997557  6.1687619895935057 -13.728822444915771  1.3496147346496581 -2.1847384872436524 0.38815320205688475,    2.540633848919243    1.4649296279850799  0.052666182273787387 -0.085357220557233396  -0.81404416540037561  -0.12646817516692355   0.54312200883158401, 0.52761852741241455 0.032842565327882767  0.22391977906227112, 0.50638812780380249 -0.50904417037963867  0.48360386490821838  0.50057202577590942, 0.00020050791499670595 -0.00058915931731462479  0.00063833006424829364,-0.00043044157791882753     -1.1035170555114746   -0.001640334608964622,  0.24724072217941284 -0.016589267179369926  0.066197171807289124 -0.016589267179369926   0.23690152168273926  0.023655785247683525  0.066197171807289124  0.023655785247683525   0.18112543225288391,    0.5910805471183167   -0.45696144540663397    0.90704409097597249     0.4510848021750391   -0.10323436658410401   0.027640288776886734 3.5527136788005009e-12,0.00081433594459667802
IIWA_14,1715011940.4310968, 0.56715560085591099    1.077928599298456 -0.16026144437311318  -1.4724742702163014  -1.0521090061482796   1.7189267395561387 -0.60062088972700833, 0.00071706690257044604  3.2050184481270692e-06   -0.002614485039061698 -3.3276303333652892e-06  7.2068020048734903e-06 -2.3022776819424332e-06  -7.100723296638088e-07,-2.5565666046142579  66.992847434997557  6.1701062393188479 -13.742264942169189  1.3531362342834472 -2.1830697288513186 0.39015571212768557,-39.401495042195499  5.9143196667809423 -28.493630681384559 -14.323955536011935 -1.9374459311147152 0.55661352048513923 0.54298686649921668,0.52761930227279663 0.03284033015370369 0.22392234206199646, 0.50638437271118164 -0.50904399156570435  0.48360666632652283  0.50057333707809448, 0.00019230828911531717 -0.00056074187159538269  0.00061279814690351486,-0.00043100820039398968     -1.1035172939300537  -0.0016422726912423968,  0.24723993241786957 -0.016588879749178886  0.066197715699672699 -0.016588879749178886   0.23690198361873627  0.023655105382204056  0.066197715699672699  0.023655105382204056   0.18112574517726898, 0.59106446873880003 -0.45694879395874466  0.90701509907908928  0.45107434214219921 -0.10323026521863454 0.027626318284568185                    0,0.00077880494063720107
IIWA_14,1715011940.4360723, 0.56715338374234558   1.0779305766474154 -0.16029853556496118  -1.4724900294486161  -1.0521114030089413   1.7189296157496627  -0.6006211293825312,  0.0003477086923795947  8.1145170185152534e-05  -0.0030735079413019587 -0.00063249897600021695 -9.1262073185848015e-05  0.00011357428324416228 -1.0040667205832681e-05,-2.3945306930541994  66.928547470092781  6.4053499412536619 -13.494922992706298  1.3795474815368651 -2.1950847892761232 0.39149071884155273,-39.402068655977708   5.914007125463228 -28.494055154098657 -14.324076019707809 -1.9374351100639631  0.5563361323696151 0.54278560933434772, 0.52762001752853394 0.032838057726621628  0.22392472624778748, 0.50638043880462646 -0.50904399156570435  0.48360949754714966  0.50057458877563477, 0.00018296245252713561 -0.00053949886932969093  0.00058588810497894883,-0.00043149586417712271     -1.1035174131393433  -0.0016440547769889235,  0.24723918735980988 -0.016588492318987846  0.066198244690895081 -0.016588492318987846   0.23690244555473328  0.023654419928789139  0.066198244690895081  0.023654419928789139   0.18112601339817047,  0.5910483323221527 -0.45693590743756118   0.9069858834109823  0.45106370076641866 -0.10322651000471694 0.027612201050963847                    0,0.00074645498534664512
IIWA_14,1715011940.4410679, 0.56698770181811531   1.0779600578764754 -0.16076412275963245  -1.4728647761827118  -1.0521485060908449   1.7189725192151692 -0.60062136903805419, -0.0063491100153073845   0.0012441652985477646   -0.021082294139892314   -0.015495868544630795  -0.0015571329346895702     0.00180699804685554 -1.7618754683954882e-05, 6.3451205368041999  64.011901062011717  12.851027374267579 -7.2441617698669436  1.3663418579101563 -2.6563296089172361 0.39516198730468749,-39.402647143478895  5.9137373511085443  -28.49450505910319  -14.32420960349476 -1.9373717176371397 0.55606919435663094 0.54261246837973376, 0.52762079238891602 0.032835885882377625   0.2239270806312561, 0.50637680292129517 -0.50904387235641479  0.48361217975616455  0.50057584047317505, 0.00017600711726117879 -0.00051844242261722684  0.00056268769549205899,-0.00043198792263865471     -1.1035176515579224  -0.0016457200981676579,  0.24723845720291138 -0.016588121652603149  0.066198751330375671 -0.016588121652603149    0.2369028776884079  0.023653771728277206  0.066198751330375671  0.023653771728277206   0.18112629652023315, 0.59103299474028148 -0.45692371820660327  0.90695825731490487  0.45105362274799887 -0.10322275288032756 0.027598850758536742                    0,0.00071714067598804832
IIWA_14,1715011940.4460721, 0.56691897227933485   1.0779411227994207 -0.16129005045895137  -1.4731799013787288   -1.052180623814273   1.7189460341710194 -0.60062292707166076, -0.0078284695634640786  0.00023792915664824494   -0.037902943284670559   -0.025001702676382721  -0.0025304152848776122  0.00038619667149181408 -7.6416348010147211e-05, 12.474193191528322  62.813349716186529  16.063784217834474 -6.5518731613159176  1.1550518798828124   -2.79350154876709 0.35077301406860351,-39.384643622210035  5.9087875087236386 -28.479100100758181  -14.31393051408789 -1.9386825498903939 0.55013076081139478 0.54376141659600785,  0.5276179313659668 0.032820764929056168  0.22393128275871277, 0.50636452436447144 -0.50904035568237305  0.48361474275588989  0.50058931112289429,2.8115875466028228e-05 -0.0010195845970883965 0.00061833014478906989,-0.0004324637702666223    -1.1035177707672119 -0.0016474095173180103,  0.24723806977272034 -0.016586525365710258  0.066199541091918945 -0.016586525365710258   0.23690482974052429  0.023651132360100746  0.066199541091918945  0.023651132360100746   0.18112485110759735,   0.59096638893407771   -0.45686167903280506    0.90684920220240883     0.4509953486602214    -0.1032217419005832   0.027532252354411924 1.7763568394002505e-12,0.0010895150480791926
IIWA_14,1715011940.451066, 0.56691897227933485   1.0779411227994207 -0.16129005045895137  -1.4731799013787288   -1.052180623814273   1.7189460341710194 -0.60062292707166076, -0.0078284695634640786  0.00023792915664824494   -0.037902943284670559   -0.025001702676382721  -0.0025304152848776122  0.00038619667149181408 -7.6416348010147211e-05, 12.474193191528322  62.813349716186529  16.063784217834474 -6.5518731613159176  1.1550518798828124   -2.79350154876709 0.35077301406860351,-38.935897947088925  5.8105423452670273 -28.079152528406961  -14.07384833737658 -1.9718938222174329 0.41502342496060318 0.56996076984533528, 0.52754044532775879 0.032497595995664597  0.22399404644966125, 0.50613695383071899 -0.50897449254989624  0.48362517356872559  0.50087630748748779,-0.0030832325574010611  -0.013740288093686104  0.0030081688892096281,-0.0004329048388171941    -1.1035178899765015 -0.0016489815898239613,  0.24723842740058899 -0.016555501148104668  0.066210873425006866 -0.016555501148104668   0.23694390058517456  0.023597603663802147  0.066210873425006866  0.023597603663802147   0.18108847737312317,    0.58966670983995328    -0.45556167907712108     0.90469217032573823     0.44975534675462114     -0.1032951425257167     0.02621929905544107 -1.7763568394002505e-12,0.013153068721294403
IIWA_14,1715011940.4560425,  0.5668953633196262   1.0779387259169422 -0.16192275762007347  -1.4736308078454798  -1.0522012366763378    1.718973298286514 -0.60062136903805419,-0.0072071340391174302 9.4468026178804436e-05   -0.05563064107262037  -0.038037620811148393  -0.002848846710493444  0.0013995219569768586 1.1882658548655365e-06, 14.457204109191895   63.49750134277344  16.030177974700926  -7.076130554199219  1.3399306106567384 -2.6276269645690919 0.35077301406860351,-38.654762959842714  5.7786457530456428  -27.77203155782485  -13.94105997612437 -1.9820292495316247 0.32351246730168398 0.57848893336010943, 0.52749669551849365 0.032219409942626953  0.22408553957939148, 0.50592559576034546 -0.50892776250839233  0.48367637395858765  0.50108778476715088,-0.0042241970077157021  -0.022116200998425484  0.0060723605565726757,-0.00043336430098861456     -1.1035187244415283  -0.0016505422536283731,  0.24722588062286377 -0.016524774953722954  0.066228300333023071 -0.016524774953722954    0.2369801253080368  0.023544704541563988  0.066228300333023071  0.023544704541563988   0.18106748163700104, 0.58839275238575794 -0.45435543318461669  0.90254867643668746  0.44860858237782963 -0.10327483321681541 0.025122194622362315                    0,0.021301267668604851
IIWA_14,1715011940.4610662,  0.5668775068560491   1.0779327337652878 -0.16378378780250868  -1.4751476512454402  -1.0522282732227146   1.7189863010985245 -0.60062184845818312, -0.0052784080220047939  -0.0001734739242089077    -0.10359059350066921   -0.079809948051804816  -0.0028541022201624511   0.0013788954371972023 -1.4580953978624292e-05, 13.680460533142091  61.920866203308108  13.064763080596924 -6.9524595794677735  0.8733319091796875 -2.2741839370727539 0.37814065170288086,-38.373808039307384   5.715592587662301  -27.45140313874214 -13.769343337010042 -2.0028115106446474 0.20697277789718296 0.60151418202494811, 0.52740597724914551 0.031901068985462189  0.22418750822544098,0.50567036867141724 -0.5088304877281189 0.48373889923095703 0.50138378143310547,-0.0070199551992118359   -0.03041924349963665  0.0089489920064806938,-0.00043274922063574195      -1.103534460067749  -0.0016529959393665195,  0.24722224473953247 -0.016485512256622314  0.066243462264537811 -0.016485512256622314   0.23702399432659149  0.023485124111175537  0.066243462264537811  0.023485124111175537   0.18103089928627014,  0.5867776714136852 -0.45302308093564392  0.90001096720015994  0.44729439491497658 -0.10318254966712459 0.023688888812323228                    0,0.029663663357496262
IIWA_14,1715011940.4660909,    0.56685569558547    1.077921228991191 -0.16508845054355634   -1.476158460645228  -1.0522520498431145   1.7189744966732117 -0.60062190834479301, -0.0050951772407677306 -0.00059897010323619324    -0.13505898444244147    -0.10428033443295646  -0.0032343465921249007  0.00063093933724619653 -1.4060227578631895e-05, 13.760192489624025  61.208422592163089  14.160326606750488   -6.02223876953125   1.282706241607666 -2.5285027160644531 0.37246687316894533, -38.029695718780751   5.6140014914397387  -27.071331576514265   -13.53828437520076  -2.0385924739530745 0.066334501704610083  0.64069829578596904, 0.52726513147354126 0.031493883579969406  0.22430002689361572, 0.50536572933197021 -0.50868463516235352    0.483803391456604  0.50177657604217529,-0.011273142881691456 -0.040610283613204956  0.011683771386742592,-0.00041153564234264195     -1.1035491228103638  -0.0016868760576471686,  0.24722665548324585 -0.016431722790002823   0.06625860184431076 -0.016431722790002823   0.23708109557628632  0.023407459259033203   0.06625860184431076  0.023407459259033203   0.18097490072250366, 0.58458141934902841 -0.45130540258586649  0.89665203506594793  0.44555819224179061 -0.10304451211151644 0.021873930282190202                    0,0.039947159588336945
IIWA_14,1715011940.4710674,    0.56685569558547    1.077921228991191 -0.16508845054355634   -1.476158460645228  -1.0522520498431145   1.7189744966732117 -0.60062190834479301, -0.0050951772407677306 -0.00059897010323619324    -0.13505898444244147    -0.10428033443295646  -0.0032343465921249007  0.00063093933724619653 -1.4060227578631895e-05, 13.760192489624025  61.208422592163089  14.160326606750488   -6.02223876953125   1.282706241607666 -2.5285027160644531 0.37246687316894533,  -37.57726494344773   5.4867018714259039  -26.576344259635533  -13.240957932284068  -2.0801162104996438 -0.11852277289374558  0.68978317893976882, 0.52707850933074951 0.030957365408539772  0.22444990277290344,  0.5049663782119751 -0.50848829746246338  0.48388957977294922  0.50229424238204956,-0.016521904617547989 -0.053926818072795868  0.015386231243610382,-0.00040372076909989119     -1.1035666465759277  -0.0017429447034373879,  0.24723349511623383 -0.016360662877559662  0.066277921199798584 -0.016360662877559662   0.23715576529502869  0.023305684328079224  0.066277921199798584  0.023305684328079224   0.18090067803859711,   0.58168696806237818   -0.44905482172818978    0.89224908175733475    0.44327711481173537   -0.10285113021879511   0.019488573282266941 8.8817841970012523e-13,0.053396712988615036
