DesiredFlux,1.15,HitTime,1715012533.1484563,DesiredPos,  0.5407528281211853 -0.27305221557617188  0.21917930245399475
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715012532.5832946,  0.57303086704673289    1.2273293398110359 -0.093947514799426868   -1.2404768135456066   -1.0901402248264802    1.8912796076935767  -0.63316710839437496, -3.925321228514229e-05 -3.1992330570739633e-05 -2.0105098146644069e-05  0.00069547893930657851  3.0771410666357531e-06   0.0016471972803192994  -0.0004814037155518163,-1.2499913177490236  71.079753204345707  4.3352053642272947 -15.742508533477784  1.7228936958312988 -2.2381387557983397 0.44489098739624022,0.059003580292257773  -4.4569352587715425 -0.54500643751791156 -0.77676893940733049  0.60360507548486497  0.25209478932613083 -0.16285947617483201, 0.55405813455581665 0.088948577642440796  0.20106323063373566, 0.48061820864677429 -0.49595719575881958  0.50446945428848267   0.5182114839553833,-3.2428448321297765e-05  0.00023848794808145612  0.00050955667393282056,-0.025176344439387321   -1.2546615600585938  0.034282226115465164,  0.24402081966400146 -0.024809082970023155  0.066077403724193573 -0.024809082970023155   0.22909124195575714  0.038931392133235931  0.066077403724193573  0.038931392133235931    0.1859157532453537,    0.94533730161927565    -0.80761309596244502      1.4901749143376719     0.91863870872899156   -0.064634058204227074   -0.083939110075093026 -1.7763568394002505e-12,0.00051623315084725618
IIWA_14,1715012532.5882928,  0.57303194566021065    1.2273296993488618 -0.093946496181642164   -1.2404778321633911   -1.0901402248264802    1.8912797275758797  -0.63316830689015569, 1.1741969282137566e-05 -1.1212351418360944e-05  2.4660632870836799e-05  0.00051563844006266189  2.4617128533086025e-06   0.0013225531163743817 -0.00043306280367064648,-1.3220072784423829  71.259793106079101  4.3244513664245607  -15.85273701095581  1.7264151954650879 -2.2368037490844728 0.44422348403930662, -46.867136709196799   5.5357495266274173  -25.883486412745057  -14.307964224257654  0.36911767814417235  -3.1178706270430694 -0.16238667932442857, 0.55405807495117188 0.088946714997291565   0.2010633647441864, 0.48061740398406982 -0.49595674872398376  0.50446891784667969  0.51821315288543701,-2.9832295695086941e-05  0.00011625066690612584  0.00041309473454020917,-0.025176474824547768   -1.2546613216400146  0.034280542284250259, 0.24402077496051788 -0.02480895072221756 0.066077515482902527 -0.02480895072221756  0.22909155488014221 0.038931123912334442 0.066077515482902527 0.038931123912334442  0.18591552972793579,    0.94532964169857792    -0.80760309590655055      1.4901622888103816      0.9186281661754947   -0.064635099578325139   -0.083945578923660946 -6.2172489379008766e-12,0.00039406525320373476
IIWA_14,1715012532.593293,  0.57303128647116874    1.2273302386556006 -0.093946675950555128   -1.2404798096214338   -1.0901401290079042    1.8912797275758797  -0.63316950527685334,-1.6973986250578122e-05  1.2602388418216499e-05  1.2537749778109169e-05  0.00033341243034430121  5.8021133211478897e-06   0.0010580424930995054 -0.00039438571084267441,-1.2808553009033203  71.519564964294432  4.3782213554382325  -15.91188399887085  1.7352189445495605 -2.2361362457275389 0.44655974578857421, -46.868031321717304   5.5337805415323267  -25.885220354118076  -14.307343654500464  0.36867633482612094  -3.1164779596524159 -0.16188100794816734, 0.55405747890472412 0.088947422802448273  0.20106285810470581, 0.48061844706535339 -0.49595573544502258  0.50446856021881104  0.51821357011795044,-4.5705561205977574e-05  0.00012137219891883433  0.00031023030169308186,-0.02517637237906456  -1.2546613216400146 0.034278977662324905,  0.24402107298374176 -0.024808881804347038  0.066077351570129395 -0.024808881804347038   0.22909149527549744  0.038931254297494888  0.066077351570129395  0.038931254297494888   0.18591535091400146,  0.94532758727083888  -0.80760763787068868    1.4901652524130782   0.91863108884204792 -0.064633425180815607  -0.08394408562040212                     0,0.00030802236869931221
IIWA_14,1715012532.5982978,   0.5730245753529456    1.2273353319626903 -0.093961596333998115   -1.2404971267782721    -1.090140416638165    1.8912641481124779  -0.63317076365924396,-0.00028202391792630545  0.00021381419432029569 -0.00058678513789700451 -0.00042595632925581013 -6.8635197718899422e-06  0.00022325545840741565 -0.00036584386429906545,-1.1831193542480469  71.553000946044932  4.6282518043518071 -15.749229782104493  1.7413815689086913 -2.1977548027038574 0.44455723571777345,-46.866423578388456  5.5317288980047774 -25.885217103298558 -14.305983819722156 0.36813102397220726 -3.1157211549697941 -0.1613746979734387, 0.55405694246292114 0.088946610689163208  0.20106236636638641, 0.48061865568161011 -0.49595478177070618  0.50446784496307373  0.51821500062942505,-5.8136651205131784e-05   6.463730096584186e-05  0.00022824990446679294,-0.025175809860229492   -1.2546613216400146  0.034278560429811478,  0.24402129650115967 -0.024808738380670547  0.066077284514904022 -0.024808738380670547   0.22909165918827057  0.038931168615818024  0.066077284514904022  0.038931168615818024    0.1859150230884552,   0.94532075536513105   -0.80760387627165642     1.4901589779130475    0.91862565805467256  -0.064633369475153302  -0.083947219529534323 3.5527136788005009e-12,0.00022374249238055199
IIWA_14,1715012532.6032956,  0.57288094446390048    1.2274231163517455 -0.094357794800847078   -1.2408260338576442    -1.090141566984675    1.8909345219574538  -0.63317256123929044, -0.0059708546961458843   0.0036824269176647219   -0.016317366784276109   -0.013497048238291244 -5.1504676219439737e-05   -0.013006441834237124  -0.0003645782932984882, 6.9701161956787114  65.040700500488285   9.919218723297119 -9.6880077705383307  1.7607498168945312 -1.4027583045959473 0.44088596725463869, -46.850794615476261   5.5230480466667178  -25.876152060101724  -14.297502505155794  0.36595683026995807  -3.1147105307423808 -0.15911743710815004,0.55405610799789429 0.08893459290266037 0.20105789601802826, 0.48061802983283997 -0.49594962596893311  0.50446653366088867  0.51822173595428467,-8.1565100117586553e-05 -0.00042915556696243584  3.9805395317671355e-06,-0.025175485759973526   -1.2546615600585938  0.034278023988008499,  0.24402229487895966 -0.024806564673781395  0.066077552735805511 -0.024806564673781395   0.22909413278102875   0.03892887756228447  0.066077552735805511   0.03892887756228447   0.18591228127479553,  0.94521739313968567  -0.80753053089832605    1.4900330602776179   0.91853945583952878 -0.064626122756372695 -0.083967419102215501                     0,0.00040018410072661936
IIWA_14,1715012532.608295,  0.57282887300199958    1.2274220977339607 -0.094830991958306285   -1.2411164115938647   -1.0901605500582843    1.8903300975296111  -0.63317537754620468, -0.0068595422329524392   0.0029051968227402948   -0.031981779725789167   -0.022412748039450047 -0.00080052668534586272   -0.034582130581097617 -0.00040431491120810443, 11.715453605651856  64.685764694213873  11.776971843719483 -9.4554525680541985   1.100468635559082 -2.0822767219543459 0.41418583297729494, -46.501147990142947   5.3856969773520031  -25.629965106263143  -14.136356916695854  0.33096039317217607  -3.1168106456754741 -0.12509059103106762, 0.55405837297439575 0.088662393391132355  0.20099487900733948, 0.48056122660636902 -0.49586901068687439   0.5044664740562439  0.51835161447525024,2.4294788090628572e-05  -0.011231914162635803 -0.0025154405739158392,-0.025174440816044807   -1.2546614408493042  0.034279089421033859,  0.24403013288974762 -0.024762110784649849  0.066090598702430725 -0.024762110784649849   0.22915028035640717  0.038875166326761246  0.066090598702430725  0.038875166326761246   0.18586252629756927,    0.94306121102327722    -0.80584358892110686      1.4871962132518846     0.91663893143589803   -0.064483953279292905   -0.084472095546850312 -8.8817841970012523e-13,0.01054372638463974
IIWA_14,1715012532.6132946,  0.57280658231129156    1.2274282096588351 -0.095491861970404726   -1.2415868523310196   -1.0901574821185251    1.8893892160553012  -0.63317747477746711, -0.0063792614146830195    0.002568634453169441   -0.052020224264568982   -0.036747827917758623 -0.00051770375791160565   -0.065300963437275261 -0.00040734117946377682, 14.071404319763184  63.505217338562012  12.596964176177979 -9.6557457771301269   1.832940559387207 -1.0750141563415527  0.4048407859802246, -46.314887614828422   5.3409777877222675  -25.457889970192646  -14.090293821105952  0.32830526356010564  -3.0531676889836419 -0.11455863131377261, 0.55412393808364868 0.088427737355232239  0.20095004141330719, 0.48058423399925232 -0.49582308530807495  0.50451183319091797  0.51833009719848633, 0.0026359632611274719  -0.018374728038907051 -0.0038011977449059486,-0.025173565372824669   -1.2546625137329102  0.034280210733413696,  0.24402342736721039 -0.024712936952710152  0.066109754145145416 -0.024712936952710152   0.22920094430446625  0.038812905550003052  0.066109754145145416  0.038812905550003052   0.18583346903324127,    0.94077257909930267     -0.8041356541577116      1.4840858531695034     0.91473436026845434   -0.064191480571018644   -0.084377097588905769 -8.8817841970012523e-13,0.017356760799884796
IIWA_14,1715012532.6182933,  0.57280208819755074    1.2274170643134812 -0.096376837058114673   -1.2422657586846912   -1.0901570026765797    1.8881470511549399  -0.63318101016003325, -0.0052831736813790595   0.0016090937483772393   -0.077015182920053049   -0.056554516481071966 -0.00039498532851016903    -0.10192736676427346  -0.0004672882462167969, 15.077055770874024  62.913657661437995  11.794447090148926 -9.3747975845336917  1.2668594932556152 -1.5295839424133302 0.43888345718383787,  -46.102234236037553    5.2508660117298334   -25.267020458248592   -14.017476017780703   0.31156499926703307   -2.9506432943402916 -0.087807375862773901, 0.55420047044754028 0.088114693760871887  0.20085379481315613, 0.48066797852516174 -0.49573683738708496  0.50456494092941284   0.5182831883430481,  0.005160769447684288  -0.027227537706494331 -0.0068788640201091766,-0.025177046656608582   -1.2546881437301636  0.034295562654733658,  0.24402500689029694 -0.024637108668684959  0.066131368279457092 -0.024637108668684959   0.22927215695381165  0.038723975419998169  0.066131368279457092  0.038723975419998169   0.18578454852104187,   0.9373032128463521  -0.80177132137659868    1.4795472900468454   0.91201188205758399 -0.063720675523626369 -0.084071108367389513                     0,0.026154685765504837
IIWA_14,1715012532.6232941,  0.57280244773537659    1.2274174238513071 -0.097505151840623902   -1.2431252073503432   -1.0901709043986048    1.8864722557849232    -0.633181489471079, -0.0042121574320694577   0.0013016565117400223    -0.10674473763641162    -0.07962155981093387 -0.00087205714381170373    -0.14853370821208639 -0.00039300303880313324,  14.372328155517579   62.653885803222657   12.465227703094483  -8.1501860847473147   1.2932707405090331 -0.85607305526733402  0.44155347061157224,  -45.840445970120228    5.1346350303254304   -25.025237386840065   -13.915991998313045   0.29107756211542196    -2.832976971343538 -0.049546322283068524, 0.55428820848464966 0.087702780961990356  0.20073281228542328, 0.48078176379203796 -0.49560385942459106  0.50464081764221191  0.51823097467422485,0.0076176519505679607 -0.038270588964223862 -0.010318064130842686,-0.025258081033825874   -1.2547036409378052   0.03451971709728241,    0.244031623005867 -0.024534124881029129  0.066157802939414978 -0.024534124881029129   0.22936758399009705  0.038606565445661545  0.066157802939414978  0.038606565445661545   0.18571598827838898,     0.9326082251899237    -0.79867518298204487      1.4734988162805607     0.90838828371708757   -0.063046797453836234   -0.083690300649585936 -8.8817841970012523e-13,0.036970533430576324
IIWA_14,1715012532.6282957,  0.57279531708363451    1.2274113119264327 -0.098845707277738823   -1.2441263095560806   -1.0901618923910119    1.8844555504144409  -0.63318190889551496, -0.0036549520153384089  0.00079684821441481269    -0.13901800759372612    -0.10374133607824544 -0.00033716541133553481    -0.19949518138895966 -0.00033117940848091074, 14.055972328186035  62.085474113464358    12.2985407371521 -8.2752013092041015  1.3901119804382325 -1.6196968955993651 0.43120716857910157,   -45.534715776038475     4.9815791731993269    -24.750639925829844    -13.800994051601643    0.26844183398072791    -2.6664491061190305 -0.0030099331130933812, 0.55441385507583618 0.087179422378540039  0.20055733621120453, 0.48096022009849548 -0.49543237686157227  0.50474077463150024  0.51813197135925293, 0.011084191501140594 -0.051571816205978394 -0.015229851938784122,-0.025493469089269638   -1.2547250986099243   0.03475605696439743,  0.24404184520244598 -0.024398595094680786  0.066190876066684723 -0.024398595094680786   0.22948840260505676  0.038453910499811172  0.066190876066684723  0.038453910499811172   0.18562802672386169,    0.92647947643698103    -0.79468699950080435      1.4656576605300842     0.90371877701045378    -0.06214180453856244   -0.083036791274082589 -6.2172489379008766e-12,0.050287902355194092
