DesiredFlux,0.781,HitTime,1715010580.3379321,DesiredPos,0.55078262090682983 0.30821496248245239 0.22044059634208679
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715010579.752512,-0.48120228297015766   1.0581255065202013  0.01660791862571186   -1.370390964740642  -1.9533582881867511  -1.8313980311550009 -0.92206087132800596,-9.6479400029945945e-05  2.6021933922111031e-06 -4.5675024202395771e-06   0.0011563985021434419 -0.00033029868884396486 -6.3008123400952438e-05  6.0607207830588945e-05, 0.28632519149780272   63.238884078979495  -1.8382228088378907    -15.9532737159729  -1.0353208923339843   1.8720131645202636 -0.22795239639282228,-0.26794699387184062   3.1899727671493978 -0.13199005406163214  -1.0579700013486399 -0.13603004437515318 -0.35611877818988263  0.52702980581057557,  0.54756462574005127 -0.045783244073390961   0.22721236944198608,   -0.7169756293296814  0.0018889702623710036 -0.0091393329203128815    0.69703578948974609, 0.00024835017393343151 -0.00024142081383615732  0.00015233992598950863, 0.0011333426227793097    0.85319578647613525 -0.0023811073042452335,  0.24784442782402039  0.026638386771082878   0.06488538533449173  0.026638386771082878   0.23111315071582794 -0.022520348429679871   0.06488538533449173 -0.022520348429679871   0.18878224492073059,   -0.99752664776442401    -0.39098500099310485     -1.1326047451190036     0.62002381741077528     0.45753420941174738   -0.057533742579884972 -5.2506736736290804e-06,0.00034635799238458276
IIWA_7,1715010579.7575154,-0.48120186354572175   1.0581255664068112  0.01660791862571186  -1.3703855118957267  -1.9533597263380547  -1.8313982708105239 -0.92206039190787703,-6.0406542587773096e-05  4.4772191095013434e-06 -3.6540019361916619e-06    0.001143232598329825 -0.00032176500321921315 -5.9992719640050686e-05  6.7662571421643961e-05, 0.31321018600463868   63.250982326507568  -1.8311798095703125  -15.955914840698242  -1.0502872657775879   1.8730144195556639 -0.22861989974975586, 23.994712997675556  3.3995195933256483  16.400056631715337 -7.2744428629102638 0.19543293033779144 -1.7837737327510801 0.52723579987316371,  0.54756587743759155 -0.045783940702676773   0.22721303999423981,   -0.7169768214225769  0.0018869149498641491 -0.0091402586549520493    0.69703453779220581, 0.00024779039085842669 -0.00022097726468928158  0.00014888851728755981,0.0011329007102176547   0.85319578647613525 -0.002381517319008708,  0.24784378707408905  0.026638699695467949  0.064885608851909637  0.026638699695467949    0.2311130166053772 -0.022520309314131737  0.064885608851909637 -0.022520309314131737   0.18878290057182312,   -0.99753958176407309    -0.39098452898755909     -1.1326108354552389     0.62002898550694852     0.45753835164497048   -0.057534455655705585 -5.2513415838006949e-06,0.00033307526609860361
IIWA_7,1715010579.7625115,-0.48120132423898287   1.0581255664068112 0.016608038508014858    -1.37038053847094  -1.9533617395753469  -1.8313984505794367 -0.92206027213465713,-2.6752964515092778e-05  3.5817752876010749e-06   1.872090570960145e-06   0.0011135230701306404 -0.00033794149426372307 -5.5184932226715045e-05  5.8920985933220982e-05, 0.34681642913818361   63.267113323211667  -1.8241368103027344  -15.958555965423583  -1.0414835166931151   1.8730144195556639 -0.22962115478515624, 23.994113123173822  3.3995854092220932  16.399795483624477 -7.2744708113390653 0.19558395894080366 -1.7837993771205098 0.52740272549975065,  0.54756706953048706 -0.045784492045640945   0.22721372544765472,  -0.71697783470153809  0.0018849798943847418 -0.0091411173343658447    0.69703346490859985, 0.00024760531960055232 -0.00019891634292434901  0.00014662249304819852, 0.0011324642691761255    0.85319572687149048 -0.0023818474728614092,   0.2478431761264801   0.02663898840546608  0.064885839819908142   0.02663898840546608   0.23111289739608765 -0.022520255297422409  0.064885839819908142 -0.022520255297422409   0.18878352642059326,    -0.9975514430280441    -0.39098366229861625      -1.132615924240632      0.6200336173307619     0.45754219882798708   -0.057534989750251953 -5.2519419924124122e-06,0.00032021774677559733
IIWA_7,1715010579.7675102,-0.48117226254344181   1.0581260458269401 0.016638358585946662  -1.3704006719346924  -1.9533624108289771   -1.831415887618578 -0.92206009236574415,  0.0011410654500305689  2.2042225387253654e-05   0.0012143007897289168   8.547990600838828e-05  -0.0002972033406204012 -0.00074162951143156523  5.4327545265692173e-05, 0.20298170852661132   63.292654067993162  -2.2652046394348142  -15.666271495819091   -1.087263011932373   1.9354259834289551 -0.22995490646362304, 23.993423782239979  3.3994433237449191  16.399545886266893 -7.2742790849157588  0.1959690051417104 -1.7837835190737978  0.5275538458428507,  0.54756814241409302 -0.045784872025251389   0.22721430659294128,  -0.71697896718978882  0.0018828773172572255 -0.0091417226940393448    0.69703233242034912, 0.00023921526735648513 -0.00017433773609809577  0.00014026905409991741, 0.0011320275953039527     0.8531956672668457 -0.0023821769282221794,  0.24784256517887115  0.026639277115464211  0.064886048436164856  0.026639277115464211   0.23111282289028168 -0.022520178928971291  0.064886048436164856 -0.022520178928971291   0.18878410756587982,   -0.99756290814845272    -0.39098220082056656     -1.1326200360883831     0.62003722984638188     0.45754667321151743   -0.057534296147743191 -5.2523763116596456e-06,0.0002998375566676259
IIWA_7,1715010579.7725101,-0.48071764092521158   1.0581246675622464 0.017120483975194445  -1.3705765404731021  -1.9533597263380547  -1.8315740194666303 -0.92205799513448172,    0.01909771708923378  -3.749680743850589e-05    0.020256456201694462  -0.0069663576115802355 -0.00013038303559854568  -0.0069185775312395068  0.00012735128670984697, -8.3612332916259771   61.610997661590574  -8.5264309883117679   -12.85259328842163 -0.90678615570068355   2.4927912864685058 -0.32607538986206053, 23.959847909109055  3.3968664982081469  16.371113445323942 -7.2595577239968003 0.19972296067130413 -1.7678714298258751 0.52607993829541111,  0.54756331443786621 -0.045755118131637573   0.22721956670284271, -0.71696293354034424 0.0018655176972970366 -0.009120013564825058   0.69704914093017578,-1.1609498642428662e-06   0.0010506912367418408  0.00032248752540908754, 0.0011315988376736641    0.85319572687149048 -0.0023824370000511408, 0.24784082174301147  0.02663891576230526 0.064887240529060364  0.02663891576230526  0.23111684620380402 -0.02251649834215641 0.064887240529060364 -0.02251649834215641  0.18878203630447388,   -0.99751450469653946    -0.39088373963469536     -1.1324766129581221     0.61994596859094031     0.45759946697021547   -0.057373954051698206 -5.2218620538724281e-06,0.0010060614440590143
IIWA_7,1715010579.7775369,-0.48021741941686369   1.0581029761739702 0.017613574831800195  -1.3707051312054843  -1.9533573294773929  -1.8317691826199207 -0.92204858748256424,   0.035287034005302489  -0.0008976529770001986    0.035928799225585561   -0.010716715384554185 -8.4320020098695012e-06   -0.013341388156606749  0.00047818710606712853, -16.979218280792235   61.366344211578372  -12.960879402160645  -13.422195854187011 -0.85044216156005858   1.9020508155822753  -0.1818946647644043, 23.473665364717021  3.4439035025537765  15.935342894436948 -7.1425073863610704 0.21726426227351708 -1.5727414349393758 0.52941570135760951, 0.54754626750946045 -0.04530828446149826  0.22731088101863861,  -0.71676176786422729  0.0015726540004834533 -0.0088579198345541954    0.69726008176803589,-0.00069034082116559148    0.018711917102336884   0.0039122328162193298, 0.0011311975540593266    0.85319560766220093 -0.0023827161639928818,   0.2477976381778717  0.026632227003574371  0.064914427697658539  0.026632227003574371     0.231175497174263 -0.022455161437392235  0.064914427697658539 -0.022455161437392235   0.18876868486404419,   -0.99675637477414369    -0.38929408228671747     -1.1301546907143134     0.61858768872724568     0.45832907434739667   -0.055185743363495021 -4.8117154705096254e-06,0.017509842291474342
IIWA_7,1715010579.7825122,-0.47986412441552112   1.0581071107498852 0.018161253915088261  -1.3709736376754327  -1.9533592468961092  -1.8321405737403633 -0.92204559140673703,   0.042361427257944728 -0.00055273934500130488    0.050650202711991096   -0.019313631105577739 -8.3442350257747141e-05   -0.025528755342989359  0.00050239271794213212, -20.624823535919191   61.257459983825683   -14.23742301940918  -12.294435596466064 -0.97281427383422847   2.7874940185546877 -0.17388462448120118, 23.046231010374964   3.524367461156253  15.543639714003435 -7.0678076595927486 0.22064877046843068 -1.3881540493400071 0.54180330431689938,  0.54754149913787842 -0.044840279966592789    0.2274288535118103,  -0.71655791997909546   0.001233885413967073 -0.0085906609892845154    0.69747364521026611,-0.000764628523029387  0.033684577792882919 0.0078527852892875671, 0.0011308322427794337    0.85319691896438599 -0.0023829462006688118,  0.24774384498596191  0.026630796492099762  0.064945824444293976  0.026630796492099762   0.23123513162136078 -0.022390583530068398  0.064945824444293976 -0.022390583530068398    0.1887635737657547,   -0.99618680621649247    -0.38761497973105463     -1.1278528605638272     0.61721308238027461     0.45916892203656801   -0.052850440813934085 -4.3791450465846538e-06,0.031667236238718033
IIWA_7,1715010579.7875116,-0.47968100556123261   1.0580949466776635 0.018849028613938501  -1.3713215398275527   -1.953355124428416  -1.8326391174418846 -0.92204157671312514,  0.041213895977896223 -0.0009287543648694354   0.068031150123602488  -0.029366990969261965 9.8144827522313627e-05  -0.040364752335241408 0.00056250191882917678, -19.613947742462159   60.346058670043945  -12.349899215698242  -12.404482460021972 -0.78529441833496094   2.1810672187805178  -0.2146023292541504, 23.046231010374964   3.524367461156253  15.543639714003435 -7.0678076595927486 0.22064877046843068 -1.3881540493400071 0.54180330431689938,  0.54754149913787842 -0.044840279966592789    0.2274288535118103,  -0.71655791997909546   0.001233885413967073 -0.0085906609892845154    0.69747364521026611,-0.000764628523029387  0.033684577792882919 0.0078527852892875671, 0.0011336855823174119    0.85321521759033203 -0.0023872286546975374,  0.24774384498596191  0.026630796492099762  0.064945824444293976  0.026630796492099762   0.23123513162136078 -0.022390583530068398  0.064945824444293976 -0.022390583530068398    0.1887635737657547,   -0.99618680621649247    -0.38761497973105463     -1.1278528605638272     0.61721308238027461     0.45916892203656801   -0.052850440813934085 -4.3791450465846538e-06,0.031667236238718033
IIWA_7,1715010579.7925122,-0.47955319379111216   1.0580827827145247 0.019765162737535071  -1.3717695699916967   -1.953355028435307  -1.8333347417590458 -0.92203810132625219,   0.03808358758713478 -0.0012295620174453447   0.091070285042744781  -0.041414799341172592 8.2355586378538926e-05   -0.06011677455464081 0.00058901700998146645, -16.024800975799561   60.346058670043945  -11.247669830322266  -12.157977485656739 -0.76240467071533202   2.1910797691345216 -0.25932505416870116,  22.549255264123158   3.5979663474115289   14.891915773278882  -6.8002158669317696   0.2582988678676692 -0.93720230275267857  0.51648677762105688,  0.54735565185546875 -0.044013507664203644   0.22772344946861267,  -0.71588897705078125 0.00065868714591488242  -0.007982403039932251    0.69816815853118896,-0.0073749362491071224   0.051157187670469284   0.015834348276257515,0.0011546931928023696   0.85323363542556763 -0.002451237291097641, 0.24768353998661041 0.026622062548995018 0.064989291131496429 0.026622062548995018  0.23135599493980408 -0.02228529192507267 0.064989291131496429 -0.02228529192507267   0.1887064129114151,   -0.99481667444401012    -0.38501948708891121     -1.1236395840201752     0.61499134403497635     0.46077407251399194   -0.047533102821795126 -3.2920919323942144e-06,0.049478296190500259
IIWA_7,1715010579.7975249,-0.47935815052012481   1.0580767306762604   0.0209484850620794  -1.3723168895371589  -1.9533600139683154  -1.8341529647660177 -0.92203330756129542,   0.038268600909201811  -0.0012257311445288668       0.120189121015969   -0.055024621291424713 -0.00013353685123429197   -0.080822339922592065   0.0006629642062558744, -14.883532958984375   59.331150127410886  -11.111211719512939  -12.461706829071044 -0.99218252182006839   2.2087686080932616 -0.24530748367309571, 22.321236254520226  3.6792403886288514  14.471066238053284 -6.6433862767575951 0.26642988722852023 -0.6312596487659291 0.49874262950510861,  0.54720103740692139 -0.043550178408622742   0.22795587778091431,  -0.71538102626800537 0.00031236134236678481 -0.0076193246059119701    0.69869297742843628,-0.012124048545956612  0.059414301067590714  0.021989839151501656, 0.0011746491072699428    0.85325193405151367 -0.0025326879695057869,  0.24765141308307648  0.026614567264914513   0.06501566618680954  0.026614567264914513   0.23143073916435242 -0.022225702181458473   0.06501566618680954 -0.022225702181458473   0.18866550922393799,   -0.99389249279280278    -0.38366549368085145      -1.121091809609176     0.61386839064780929     0.46171636159897389   -0.044061285666252559 -2.5482522758579762e-06,0.05903751403093338
