DesiredFlux,0.852,HitTime,1715010848.2179658,DesiredPos, 0.5473446249961853 0.31324446201324463 0.22007608413696289
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715010847.6386921,-0.48069043680540996   1.0689964567724406 0.016600967742882715  -1.3645712452895111  -1.9488755169916867  -1.8388630647470885 -0.92605287653229462, 1.1519116441722088e-05  1.2640011550157973e-07 -2.4970918868396153e-06  1.0368748527649495e-05 -5.2161024202837919e-05 -3.1015717456733184e-05   4.885159509402614e-06, 0.57130613327026369   63.302063816070557        -1.8030078125  -15.845867977142333  -1.0247563934326172   1.8863644866943359 -0.23863245010375977, -0.3926434447749465   2.1222295836989269 -0.28054232003959517 -0.61483185672042262 -0.23912924924217213   -0.204126377268908  0.56788592232118751,  0.54783469438552856 -0.045720912516117096   0.22460253536701202,  -0.71318280696868896  0.0010549265425652266 -0.0088329287245869637    0.70092165470123291,-8.6997097241692245e-06  8.0732661444926634e-06  3.5164789551345166e-06,-0.00011000112863257527     0.93073898553848267  -0.0010157515062019229,  0.24855726957321167  0.026588147506117821  0.064741842448711395  0.026588147506117821   0.23104341328144073 -0.022718770429491997  0.064741842448711395 -0.022718770429491997   0.18795682489871979,  -0.99626220901516405   -0.39418474247909785    -1.1329324888862402    0.63066891377161483    0.46024514033593533  -0.045677947947631026 -1.176095665300636e-06,1.1331327186780982e-05
IIWA_7,1715010847.6436667,-0.48069073634754284   1.0689964567724406 0.016600967742882715   -1.364571065520598  -1.9488759004405234  -1.8388631246336984 -0.92605275675907472, -2.766392161643525e-06  1.0112009240126379e-07 -1.9976735094716922e-06  1.5485755345675871e-05   -5.70667728295796e-05 -2.7208038361119011e-05  8.6990564034279039e-06,  0.5350113906860352   63.304752315521242  -1.8056489372253417   -15.84410722732544  -1.0247563934326172   1.8853632316589355 -0.23963370513916016,-0.39239427940260801    2.121977106934017 -0.28031393606445504 -0.61476293512781754 -0.23904192440083374 -0.20421636056223819  0.56785558787327206,  0.54783457517623901 -0.045720972120761871   0.22460246086120605,  -0.71318280696868896  0.0010549313155934215 -0.0088328011333942413    0.70092165470123291,-1.0375710189691745e-05  4.1135053834295832e-06 -3.0021686825421057e-07,-0.00010998604557244107     0.93073898553848267  -0.0010157224023714662,  0.24855728447437286  0.026588156819343567  0.064741827547550201  0.026588156819343567   0.23104341328144073 -0.022718779742717743  0.064741827547550201 -0.022718779742717743   0.18795680999755859,   -0.99626251961826284    -0.39418497267007524     -1.1329327734284078     0.63066912048803658     0.46024543230238635   -0.045677600657434425 -1.1760574736285889e-06,1.0220829608442727e-05
IIWA_7,1715010847.6486645,-0.48069103599875879   1.0689964567724406 0.016600967742882715  -1.3645711255162911  -1.9488760922522081  -1.8388631246336984 -0.92605269676338164,-1.4199162367372232e-05  8.0896073921011043e-08 -1.5981388075773538e-06   9.988776553331128e-06 -5.3325885653970933e-05 -2.1766430688895211e-05  9.3590728459518926e-06, 0.49737239837646485   63.308785064697268   -1.816213436126709  -15.843226852416992  -1.0221152687072754   1.8853632316589355 -0.24030120849609374,  26.034079868345419   3.3986348533515987   17.235563694729265  -7.5836736215051799 -0.15831690501729717   -1.236946141603718  0.56784338731874584,  0.54783457517623901 -0.045721162110567093   0.22460244596004486,  -0.71318286657333374  0.0010549461003392935 -0.0088327685371041298    0.70092153549194336,-9.9110329756513238e-06 -4.2910933188977651e-06 -7.4964094665119774e-07,-0.0001099751316360198    0.93073904514312744 -0.0010157686192542315,  0.24855726957321167  0.026588175445795059  0.064741820096969604  0.026588175445795059   0.23104339838027954 -0.022718796506524086  0.064741820096969604 -0.022718796506524086   0.18795682489871979,   -0.99626334951175011    -0.39418553618197905     -1.1329336406644686     0.63066978299630705      0.4602456381546105   -0.045677806371990926 -1.1761365215079422e-06,9.9102062449674122e-06
IIWA_7,1715010847.653693,-0.48069187484763054   1.0689964567724406 0.016600847969662796  -1.3645711255162911  -1.9488762838893601  -1.8388632445160014 -0.92605287653229462,-4.4913284764044683e-05  6.4716859136808832e-08 -6.0694398428003642e-06  7.9910212426649031e-06 -5.0326194600178764e-05 -2.2208436670058197e-05  2.9650175764613193e-07, 0.47989715194702148   63.319539062499999  -1.8294190597534179  -15.835303478240967   -1.021234893798828   1.8860307350158692 -0.23929995346069335,   26.03426225451895   3.3985823878436658   17.235666605973563   -7.583668180876983 -0.15831292732626651  -1.2370052704539845  0.56781799567675695,  0.54783451557159424 -0.045721318572759628   0.22460241615772247,  -0.71318292617797852  0.0010550597216933966 -0.0088327620178461075    0.70092153549194336,-1.0493074114492629e-05 -9.6536141427350231e-06 -2.0206982753734337e-06,-0.0001099462024285458    0.93073910474777222 -0.0010157315991818905,  0.24855728447437286  0.026588175445795059  0.064741805195808411  0.026588175445795059   0.23104338347911835 -0.022718815132975578  0.064741805195808411 -0.022718815132975578   0.18795682489871979,   -0.99626340283442971    -0.39418610544217358     -1.1329341405179605     0.63067020754381531     0.46024549522538649   -0.045678186122444231 -1.1762146812088758e-06,1.3182413567847107e-05
IIWA_7,1715010847.658689, -0.4806653298077877   1.0689990933104421 0.016631467589727472  -1.3645971911360051  -1.9488762838893601  -1.8388757680169661 -0.92605269676338164,  0.0010258709659023714  0.00010551329354638971   0.0012199292507127908  -0.0010362319715645229 -4.0260955680143011e-05  -0.0005187067879240735  7.4279579252322874e-06, 0.25675169754028321   63.289965568542478  -2.3101037597656249  -15.511325511932373  -1.0511676406860351   1.9327559700012207 -0.24030120849609374,  26.034804803860272   3.3986111875322673     17.2359469270624  -7.5837644886662137 -0.15835161083041813  -1.2371028255207115  0.56782679403106129,  0.54783439636230469 -0.045721817761659622   0.22460238635540009,  -0.71318298578262329  0.0010552731109783053 -0.0088330255821347237    0.70092147588729858,-1.2286690434848424e-05 -2.7771386157837696e-05 -2.6736645395430969e-06,-0.00010994578769896179     0.93073904514312744  -0.0010157246142625809,  0.24855732917785645  0.026588177308440208  0.064741775393486023  0.026588177308440208   0.23104333877563477 -0.022718878462910652  0.064741775393486023 -0.022718878462910652   0.18795680999755859,    -0.9962639177736321    -0.39418801331425612     -1.1329362477425775     0.63067186030085765     0.46024485636486645   -0.045679692439293262 -1.1764251794943448e-06,2.7906389732379466e-05
IIWA_7,1715010847.663666,-0.48023971010757172   1.0690168300007992 0.017123539937631608  -1.3647864221333339  -1.9488759004405234  -1.8389790120962031 -0.92605197768772984,   0.017845484781361276  0.00079387824912092141    0.020658837316735661  -0.0083982254704042317 -1.6870811076805151e-05   -0.004544728599819586  3.4705392412206469e-05, -8.2684800605773923   61.246705986022953  -8.7341994667053218  -12.505725574493407 -0.91206840515136722   2.3929995346069335   -0.320401611328125,  26.003192888328524   3.3928649215980253   17.209737806081748  -7.5682389606580021 -0.15383688830599496  -1.2232607843544137  0.56560926289603142,  0.54782849550247192 -0.045692514628171921   0.22460493445396423,  -0.71316665410995483  0.0010425667278468609 -0.0088109849020838737    0.70093840360641479,-0.00024590062093921006   0.0011499581160023808    9.99849071376957e-05,-0.00010993152682203799     0.93073898553848267  -0.0010157095966860652,  0.24855659902095795  0.026587147265672684  0.064742617309093475  0.026587147265672684   0.23104751110076904 -0.022715248167514801  0.064742617309093475 -0.022715248167514801   0.18795379996299744,    -0.9961893043737291     -0.3940915054361227     -1.1327783906640576     0.63057457799153838     0.46028664174446732   -0.045530228661050387 -1.1483027861913797e-06,0.001080353045836091
IIWA_7,1715010847.6686664,-0.47981379075613978   1.0690078418824007 0.017651205330387054  -1.3649314911736827  -1.9488738872032312  -1.8390707514013434 -0.92604616541407148,  0.031313161882366457  0.0002755778633589265   0.037633685563606384  -0.012521341990276708 6.7032842826908435e-05  -0.007305355085466929 0.00026025526026447206, -16.104111709594726   60.952315296173097  -12.814737167358398  -12.913339157104492 -0.80466266632080075    1.906055835723877 -0.20926230239868163,  25.538796875380079   3.4137412865114269   16.794168770924742  -7.4476488696377645 -0.12928851382375275  -1.0509042553595054   0.5639532597340442,  0.54781311750411987 -0.045256935060024261   0.22467686235904694,  -0.71297097206115723 0.00078040373045951128 -0.0085608474910259247    0.70114082098007202,-0.00081802060594782233    0.018341276794672012   0.0029590562917292118,-0.00010990384907927364     0.93074047565460205  -0.0010156944626942277, 0.24851794540882111 0.026575630530714989 0.064768977463245392 0.026575630530714989  0.23110640048980713 -0.02265377901494503 0.064768977463245392 -0.02265377901494503  0.18793667852878571,   -0.99524891583957498    -0.39251546955387795     -1.1303360368613014     0.62919656336291041     0.46091922701840815   -0.043480976146703654 -7.7151796062935318e-07,0.017022809013724327
IIWA_7,1715010847.6736655,-0.47951945810383417   1.0690131148493203 0.018287807411901134  -1.3652158168716391  -1.9488759004405234  -1.8392098282900378  -0.9260460455317685,    0.03682383559811743  0.00043138096746894283    0.055571031711448317   -0.021390101510474709 -2.6903217426825801e-05   -0.011407359616150008   0.0002129995003305197, -19.626045989990235   60.761431835174562   -13.89583755493164   -12.05409324645996 -0.96577127456665035   2.3933332862854004 -0.18723469161987305,  25.157374020079406   3.4782941380494674   16.425795303309442  -7.3825609569851878 -0.12439297309241955 -0.90098460968940652    0.572588536116307,   0.5478166937828064 -0.044816508889198303   0.22477415204048157,  -0.71277940273284912 0.00048971478827297688 -0.0083336057141423225    0.70133858919143677,-0.00052982190391048789    0.032286521047353745   0.0062633915804326534,-0.00010863004717975855     0.93076056241989136  -0.0010167374275624752,  0.24846886098384857   0.02656528539955616  0.064800605177879333   0.02656528539955616    0.2311653345823288 -0.022589059546589851  0.064800605177879333 -0.022589059546589851    0.1879291832447052,   -0.99435253196400453    -0.39088645165819003     -1.1278347729222205     0.62782772552161248     0.46156145249298675   -0.041436129267324873 -3.9615688507410596e-07,0.030108673498034477
IIWA_7,1715010847.6786385,-0.47936054729352012   1.0690067632689231 0.019101955729568215    -1.36559290049252  -1.9488721614216669  -1.8393552568682126  -0.9260452665695067,  0.035815500891055951 9.1041558087542147e-05   0.077022758075841885  -0.032195426043618094 0.00012803818031974142   -0.01494303081991156 0.00020155809073660975, -19.495653766632081   59.773408287048341  -12.352540340423584   -12.05761474609375 -0.73863454818725582   2.0562440910339355 -0.22795239639282228,  24.881548551187088   3.4900862989184018   16.102282042409264  -7.2719389822462546 -0.10101592478886659 -0.74487259843661413  0.56198995770283788,  0.54777425527572632 -0.044388849288225174   0.22487083077430725,  -0.71252149343490601  0.0002467833983246237 -0.0080905873328447342    0.70160359144210815,-0.0021487062331289053   0.042927388101816177   0.008887873962521553,-0.00010689037299016491     0.93078064918518066  -0.0010497048497200012,  0.24843460321426392  0.026545431464910507   0.06482754647731781  0.026545431464910507   0.23122873902320862 -0.022526191547513008   0.06482754647731781 -0.022526191547513008   0.18790479004383087,  -0.99306311897429111   -0.38937727024102031     -1.125120233646193    0.62647418809991251    0.46208603102648738  -0.039291317244227741 2.2178703318331827e-08,0.040174640715122223
IIWA_7,1715010847.6836898,-0.47926647121067761   1.0690061640755741 0.020170828742911488  -1.3660686741922876  -1.9488719696099821  -1.8396077644503233 -0.92604388841389607,  0.032415444026545129 4.8865512512514227e-05     0.1043731269944044  -0.044787288825598071 0.00011010301164610038  -0.022054727940357483  0.0002163726970145604, -17.023578521728517   59.672589557647704  -11.514423427581788  -11.946687507629395 -0.74127567291259766   2.1383470039367674 -0.24964625549316405,   24.683215224915639     3.515126811759965    15.772067710569134   -7.1660291222084957 -0.085508314091702509  -0.58542252402422057   0.54626324217509536,  0.54771322011947632 -0.043960131704807281   0.22499413788318634,  -0.71219921112060547 2.1907375412411056e-05 -0.0078647565096616745    0.70193338394165039,-0.0041918330825865269   0.051477491855621338   0.012060096487402916,-0.00011010781599907205     0.93080216646194458  -0.0010958021739497781,   0.2484024316072464  0.026514308527112007  0.064857363700866699  0.026514308527112007   0.23129826784133911 -0.022459087893366814  0.064857363700866699 -0.022459087893366814   0.18787418305873871,  -0.99130143147441174   -0.38788014071666765    -1.1219807782190117    0.62510310920060874     0.4624648507114415  -0.037070668110317229 4.7928505608751948e-07,0.048545822501182556
