DesiredFlux,0.951,HitTime,1715011443.7079422,DesiredPos,0.55609440803527832  0.3131527304649353  0.2203635573387146
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715011443.1474824,-0.46327520086255713   1.1054691869457487 0.016638358585946662  -1.3098915414286942  -1.9536400612970428  -1.8666457338158728 -0.90952429348397834, 0.00011198110525058865 -2.5978952962887464e-06  1.5875228175863011e-06   0.0026224386413496001  4.1527410337539975e-06 -7.7038528334585294e-08   0.0023807812712077396,-0.12904797363281251   64.487692073822018  -1.9333032989501953  -16.161042194366456  -1.1277602577209473   1.8306279563903809 -0.25031375885009766,0.068807249787024294  0.17050902335662366  0.87313583551699891 -0.47259320111350972  0.84545288420269737  0.49445375385155826  0.53888196420344392,  0.55493491888046265 -0.041749957948923111   0.21904328465461731, -0.70917528867721558 -0.011518624611198902 0.0048137949779629707    0.7049216628074646, 0.00074173702159896493 -0.00031488778768107295  0.00043182726949453354,0.00010979906801367179     1.0388630628585815 0.00012450685608200729,  0.24574512243270874  0.028972746804356575  0.065932422876358032  0.028972746804356575   0.23097461462020874 -0.022141726687550545  0.065932422876358032 -0.022141726687550545   0.18911957740783691,   -1.0861569110280911   -0.37120478753749353    -1.1437557132678577    0.67361603512239299     0.5217792914118391   0.032122751631113999 1.2486411904433226e-05,0.00083690136671066284
IIWA_7,1715011443.1525195,-0.46327448178690533   1.1054689472902257 0.016638358585946662   -1.309880755621166  -1.9536404447458795  -1.8666457338158728 -0.90951182986962376, 0.00011834791027249156 -1.1664537156319732e-05  1.2700182540690409e-06   0.0025293832142086448 -1.2015760640306064e-05 -6.1630822667668235e-08   0.0024031695911496042,-0.11560547637939453   64.470216827392576  -1.9324229240417481  -16.153999195098876  -1.1242387580871582   1.8296267013549805 -0.25164876556396482, 27.671428968035187  3.3876922094854618  17.875785136991723 -7.6126840215945482 0.81479350435117026 0.62278108479426864 0.53838971138651881,  0.55493807792663574 -0.041750993579626083   0.21904513239860535, -0.70917713642120361 -0.011517821811139584 0.0048150825314223766   0.70491981506347656, 0.00071774178650230169 -0.00029337898013181984  0.00041966780554503202,0.00010924739035544917     1.0388628244400024 0.00012406351743265986,  0.24574379622936249  0.028973214328289032  0.065932974219322205  0.028973214328289032   0.23097425699234009 -0.022141603752970695  0.065932974219322205 -0.022141603752970695   0.18912091851234436,   -1.0861778099346964   -0.37120317309558004    -1.1437639421485457    0.67362731710840507     0.5217835462456577    0.03211783810908031 1.2484052902550502e-05,0.00080710393376648426
IIWA_7,1715011443.1575015,-0.46327346306003758   1.1054689472902257 0.016638358585946662  -1.3098699099270281  -1.9536402531087276  -1.8666457338158728 -0.90950140359992149, 0.00013542740292807131 -9.3316297250557863e-06  1.0160146032552327e-06   0.0024573343368827312 -1.9471224352428373e-06  -4.930465813413459e-08   0.0023395864610104172,-0.11157272720336914   64.452741580963135  -1.9306621742248535  -16.160161819458008  -1.1242387580871582   1.8299604530334472 -0.24730999374389648, 27.671428968035187  3.3876922094854618  17.875785136991723 -7.6126840215945482 0.81479350435117026 0.62278108479426864 0.53838971138651881,  0.55493807792663574 -0.041750993579626083   0.21904513239860535, -0.70917713642120361 -0.011517821811139584 0.0048150825314223766   0.70491981506347656, 0.00071774178650230169 -0.00029337898013181984  0.00041966780554503202,0.00010870079859159887     1.0388627052307129  0.0001236105163116008,  0.24574379622936249  0.028973214328289032  0.065932974219322205  0.028973214328289032   0.23097425699234009 -0.022141603752970695  0.065932974219322205 -0.022141603752970695   0.18912091851234436,   -1.0861778099346964   -0.37120317309558004    -1.1437639421485457    0.67362731710840507     0.5217835462456577    0.03211783810908031 1.2484052902550502e-05,0.00080710393376648426
IIWA_7,1715011443.1625319,-0.46324488078462533   1.1054757184041419  0.01666837901266251  -1.3098853695081267  -1.9536402531087276  -1.8666445953157851 -0.90949097733021933,  0.0012516329388323683  0.00026337925286900785   0.0012016298803165567     0.00134748422556182 -1.5576979481942699e-06  4.5500559783917443e-05   0.0022887199568946267,-0.29842343902587892   64.341168853759768  -2.3946197509765623  -15.815935230255127   -1.156812629699707   1.8282916946411132 -0.25265002059936525, 27.671231307474233  3.3867141483297578  17.876123957875745 -7.6116485448996229 0.81556254316097843 0.62275502490992185 0.53799558809089743,  0.55494099855422974 -0.041752073913812637   0.21904692053794861, -0.70917904376983643 -0.011517140083014965  0.004816331434994936   0.70491790771484375, 0.0006909045041538775 -0.0002778905036393553 0.00040725059807300568,0.00010818686860147864     1.0388625860214233 0.00012318887456785887,  0.24574251472949982  0.028973681852221489  0.065933495759963989  0.028973681852221489   0.23097392916679382 -0.022141493856906891  0.065933495759963989 -0.022141493856906891   0.18912222981452942,  -1.0861984664218838   -0.3712018251631477   -1.1437723086453744   0.67363826872401944   0.52178789940970915   0.03211319735818563 1.248177916579607e-05,0.00077699264511466026
IIWA_7,1715011443.1674843,-0.46278870124187155   1.1055322239840908 0.017163267667480893  -1.3100663912402359  -1.9536406365575643  -1.8666389028153467 -0.90947797440912581,    0.01924848806121739    0.002470926600249254    0.020756850096988542  -0.0061628819039189452 -1.6584111825864679e-05  0.00026410046536149415   0.0023510928092564604, -9.3613550872802733   61.339459217071536  -8.5325936126708974  -12.710852928161621  -1.0502872657775879   2.0909542655944824 -0.30838655090332029,  27.63989556250641  3.3734753110803233  17.854268870263571 -7.5944765461068009 0.82214239106205966 0.63111805601559146 0.53508787126265345,  0.55494242906570435 -0.041724272072315216   0.21904817223548889, -0.70916891098022461 -0.011525467969477177 0.0048377611674368382   0.70492780208587646,0.00047636157250963151 0.00094143854221329093 0.00029659343999810517,0.00010767416097223759     1.0388624668121338 0.00012276796041987836,  0.24573978781700134  0.028972413390874863  0.065935350954532623  0.028972413390874863   0.23097775876522064 -0.022137356922030449  0.065935350954532623 -0.022137356922030449   0.18912129104137421,   -1.0861147181033814   -0.37109861980777481    -1.1435942486546224    0.67355165997273758    0.52181661185635164    0.03222620788978503 1.2502797019919853e-05,0.0010032947175204754
IIWA_7,1715011443.1724827,-0.46230831354606028   1.1055232358656921 0.017706632405941107  -1.3101925252035298  -1.9536350759385674  -1.8666195483138559 -0.90946299413907283,  0.034614298281424649  0.0016172165442527109   0.038340069615999402 -0.0099756640548896297 0.00020915747041186088 0.00098546043192200734  0.0024800850495242787, -18.201141281127931   61.631161407470707  -13.204743251800537  -13.099098262786866 -0.82931316375732422   1.7632101173400878 -0.22027610778808593, 27.163718067068874  3.3407244257126236   17.46324890950822 -7.4650290023279364 0.85578218725859678 0.76216437687978444 0.52775566836232346,  0.55493992567062378 -0.041272420436143875   0.21908238530158997, -0.70899021625518799 -0.011756883002817631  0.005083870142698288   0.70510196685791016,0.00027410479378886521   0.018826648592948914  0.0016076341271400452,0.00010719746205722913     1.0388623476028442 0.00012236775364726782,  0.24570167064666748   0.02895037829875946   0.06596219539642334   0.02895037829875946   0.23104201257228851 -0.022071685642004013   0.06596219539642334 -0.022071685642004013   0.18910084664821625,   -1.0846837491049754   -0.36946268915460934    -1.1407303432866556    0.67207140463487747    0.52225540539740933   0.034093780934441043 1.2881410604848043e-05,0.017298480495810509
IIWA_7,1715011443.1775079,-0.46201440042727371   1.1055298870973054 0.018325857225840785  -1.3104611516648643  -1.9536400612970428  -1.8666134962755916 -0.90944717502014816,   0.039447963376602543   0.0015598224999322794    0.055441048488786622   -0.018725589697292509 -3.2088362685447398e-05   0.0010304498761101969   0.0026168327966064595, -21.667961322784425   61.196968746185306  -14.238303394317628  -12.564710693359375  -1.0934256362915038   2.0625853729248047 -0.20826104736328124, 26.756753447540479  3.4079939279050335  17.089396468556213 -7.4155330612103256 0.85507988894238696 0.88730520793674716 0.53958224718992065,  0.55496633052825928 -0.040801316499710083   0.21916662156581879, -0.70881921052932739 -0.012044441886246204 0.0052964501082897186   0.70526748895645142,0.0012534363195300102  0.033904377371072769 0.0046607693657279015,0.00010671555355656892     1.0388638973236084 0.00012197010801173747, 0.24564477801322937 0.028931217268109322 0.065997451543807983 0.028931217268109322  0.23110707104206085 -0.02199971117079258 0.065997451543807983 -0.02199971117079258  0.18909698724746704,   -1.0833537783057068   -0.36770540964337073     -1.137769328394711    0.67056586610547697    0.52273153911475134    0.03599651283359151 1.3265495368841584e-05,0.031348254531621933
IIWA_7,1715011443.182513,-0.46190774084777353   1.1055188616342544 0.019116097041666343  -1.3108345201342664  -1.9536319120056995  -1.8666125375444167 -0.90942662202287672,  0.035824753881289195 0.00080683947790645221   0.075962431424051624  -0.029915210533916319 0.00030030096358346896 0.00086270914788390783  0.0029155861281427321, -19.995714664459229   60.718415843963626  -12.097231616973877  -12.116599864959717 -0.78617479324340822   1.8459805335998536 -0.26032630920410155, 26.756753447540479  3.4079939279050335  17.089396468556213 -7.4155330612103256 0.85507988894238696 0.88730520793674716 0.53958224718992065,  0.55496633052825928 -0.040801316499710083   0.21916662156581879, -0.70881921052932739 -0.012044441886246204 0.0052964501082897186   0.70526748895645142,0.0012534363195300102  0.033904377371072769 0.0046607693657279015,0.00010694949014578015     1.0388884544372559 0.00012212008005008101, 0.24564477801322937 0.028931217268109322 0.065997451543807983 0.028931217268109322  0.23110707104206085 -0.02199971117079258 0.065997451543807983 -0.02199971117079258  0.18909698724746704,   -1.0833537783057068   -0.36770540964337073     -1.137769328394711    0.67056586610547697    0.52273153911475134    0.03599651283359151 1.3265495368841584e-05,0.031348254531621933
IIWA_7,1715011443.1875107,-0.46186004361731037   1.1055169441719048 0.020195096782578921  -1.3112854864876275  -1.9536327748964817  -1.8666063057372395 -0.90940415167233879,  0.030567692323557827 0.00056877308834254309    0.10392993477574444  -0.041970822561579885 0.00020572513958035042 0.00093943960539439176  0.0032312829240313326, -16.273487174987793   60.754710586547851  -11.109450969696045  -12.263622474670409 -0.89358053207397459   1.8780206947326661 -0.26333007431030275, 26.513080104559833  3.4051100866675474  16.806043398365102 -7.3220827333036729 0.87766866843173963  1.0004942976447895 0.52793893898240363, 0.55494564771652222 -0.04038744792342186  0.21923552453517914, -0.70860123634338379 -0.012243949808180332 0.0055021438747644424   0.70548146963119507,0.0001500136568211019  0.043674517422914505 0.0064941598102450371,0.00010568655125098303     1.0389131307601929 0.00011728429672075436,  0.24561025202274323  0.028901079669594765  0.066025137901306152  0.028901079669594765   0.23117157816886902 -0.021935435011982918  0.066025137901306152 -0.021935435011982918    0.1890752911567688,    -1.081620150046092   -0.36621982330764524    -1.1347892777529012    0.66917949611688954    0.52300153110795833   0.037758822979405693 1.3638821627637299e-05,0.040417592972517014
IIWA_7,1715011443.1924818,-0.46175332415120024   1.1055164647517759 0.021588143106030647  -1.3118642047244993  -1.9536359386548168  -1.8665928235051001 -0.90937592882566942,  0.028722932503251378 0.00043584166551686169    0.13886580075866459  -0.056725387524132809 3.8029778260694792e-05   0.001290840969890409   0.003713940205999783, -15.462904590606689   60.390418910980223  -11.276722202301025  -12.472271327972411   -1.087263011932373   1.8409742584228515 -0.27033885955810549, 26.381434310705938   3.421831388058342  16.527579852181276 -7.2359292505301038 0.88837084213450379  1.1181152595210628  0.5097376747261233,  0.55490344762802124 -0.040005173534154892   0.21933206915855408, -0.70831799507141113 -0.012399062514305115 0.0056701176799833775   0.70576179027557373,-0.0015954917762428522   0.050224140286445618  0.0090739205479621887,9.8391770734451711e-05     1.0389376878738403 0.00010439763718750328,   0.2455831915140152  0.028858290985226631  0.066054053604602814  0.028858290985226631   0.23123855888843536 -0.021871332079172134  0.066054053604602814 -0.021871332079172134   0.18904678523540497,   -1.0793922544207746   -0.36487049561717555    -1.1315282646666702    0.66787506844878664    0.52305794238538539   0.039455431257273688 1.4021284577836468e-05,0.046739030629396439
