DesiredFlux,0.57,HitTime,1715009834.2966349,DesiredPos, 0.5536840558052063 0.31273168325424194  0.2200147807598114
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715009833.5671492,-0.46492452980620863   1.1355941128507343 0.034933476309419773  -1.2697833966704002  -1.9306820254490507  -1.8763609853968886 -0.88465948353013679,-0.00049130214232095504  0.00052607326762631017 -0.00015526901743939252  -0.0013687190427442925 -0.00099902892322770967 -0.00040033014199785934 -6.5230033964520226e-05, 0.20163745880126954   65.377585391998295  -2.5927041053771971  -15.977924213409423  -1.3540166091918946   1.8503193054199218 -0.13683818817138671,-0.26001624833286452  0.31374633357351328  -1.6111708247555241  -2.4492177845468155  -1.7976494859971293 -0.31797191494351951  0.35572030884683042,  0.56610751152038574 -0.040189307183027267   0.21835342049598694,   -0.6979527473449707 -0.0089631257578730583  0.0034942717757076025     0.7160792350769043,-0.00071498547913506627 -1.7231735910172574e-05 -0.00063359743217006326,-0.0056978254579007626    0.62251728773117065 0.00075905665289610624,  0.24400259554386139  0.028100060299038887  0.068047724664211273  0.028100060299038887   0.23045565187931061 -0.021355709061026573  0.068047724664211273 -0.021355709061026573   0.19009080529212952,  -1.0581834815868163  -0.36066082072583328   -1.0911615349717962   0.72110700640681813   0.51171007340400365  0.038951677231224835 1.668947557931233e-05,0.00087483797688037157
IIWA_7,1715009833.5721219,-0.46492776553755877   1.1355957906575609 0.034933116771593858  -1.2697897482507974  -1.9306868191703741  -1.8763620640103662 -0.88465960341243977,-0.00052247096786226161  0.00048797088716437815 -0.00013859672698807946  -0.0013490384500830462 -0.00099097199152010191 -0.00036340865270409798  -5.697931929055821e-05, 0.19491621017456054   65.393716388702387  -2.5953452301025388  -15.979684963226319  -1.3548969841003418   1.8479830436706544 -0.13917444992065431, -0.2567311930656182  0.31357485256108469   -1.608991721961025  -2.4499071511142936   -1.797550701356887 -0.31877843905512582  0.35545758463004562,  0.56610453128814697 -0.040190886706113815    0.2183506190776825,  -0.69795280694961548 -0.0089600281789898872  0.0034972403664141893    0.71607917547225952,-0.00069104199064895511 -7.6901516877114773e-05 -0.00061887007905170321,-0.0056949146091938019    0.62251746654510498 0.00076013192301616073,  0.24400371313095093  0.028099926188588142  0.068047128617763519  0.028099926188588142   0.23045578598976135 -0.021356044337153435  0.068047128617763519 -0.021356044337153435   0.19008974730968475,   -1.0581772191198269   -0.36066871516560184     -1.091165947629591    0.72110545791304048    0.51170976514658406    0.03895258436426019 1.6689428505856085e-05,0.00085227034287527204
IIWA_7,1715009833.577122,-0.46493088138660588   1.1355976482333003 0.034932397695942037  -1.2697965193647136  -1.9306918045288497   -1.876362723090325 -0.88465978318135274,-0.00054261073617414444  0.00046467973930950702 -0.00013964040766331688  -0.0013500753167154896 -0.00099219193223989933 -0.00031709012051653036 -5.2774211951561953e-05,0.22583395385742189  65.385650890350348 -2.5918237304687501 -15.980565338134765 -1.3531362342834472  1.8486505470275878 -0.1388406982421875,  16.960197394231429   1.4444250295001422   8.8473892997413834   -3.980028805342001 -0.29178945058787165   1.5603114868300734  0.35514759002839486,  0.56610137224197388 -0.040192365646362305   0.21834796667098999,  -0.69795262813568115 -0.0089571559801697731  0.0035004809033125639    0.71607935428619385,-0.00067844433942809701 -0.00012077468272764236  -0.0006010953220538795,-0.0056921187788248062    0.62251746654510498 0.00076119397999718785,  0.24400481581687927  0.028099823743104935  0.068046525120735168  0.028099823743104935   0.23045593500137329 -0.021356374025344849  0.068046525120735168 -0.021356374025344849    0.1900886744260788,   -1.0581719973510317   -0.36067646706428036    -1.0911705687535189     0.7211038406556014    0.51171042381970011   0.038955593012701684 1.6689766901833991e-05,0.00083725358126685023
IIWA_7,1715009833.5821528,-0.46493261908004241   1.1355990263889111 0.034931858389203173  -1.2698039495585887  -1.9306969816990098  -1.8763631426238438 -0.88465996295026572,-0.00050359632640059842  0.00042687001587731914 -0.00013328459568522408  -0.0013772680083746962  -0.0010008403521971627 -0.00027045343716578283 -4.9410126080364949e-05, 0.25944019699096682   65.395060638427736  -2.5803788566589354  -15.997292461395263   -1.359298858642578   1.8479830436706544 -0.13917444992065431,  16.960953780946166   1.4450168187557504   8.8475378755652585  -3.9803610257394562 -0.29194661934506161   1.5600675146745302   0.3543753042616079,  0.56609529256820679 -0.040194381028413773   0.21834267675876617,  -0.69795191287994385 -0.0089514842256903648    0.00350736896507442    0.71608006954193115,-0.00065440934849902987  -0.0001497944031143561 -0.00057656562421470881,-0.0056893876753747463    0.62251746654510498 0.00076229457044973969,  0.24400696158409119  0.028099531307816505  0.068045392632484436  0.028099531307816505   0.23045636713504791 -0.021356895565986633  0.068045392632484436 -0.021356895565986633    0.1900864839553833,   -1.0581571211591978   -0.36068853806447976    -1.0911733575165172    0.72109730342795331    0.51171154442020139   0.038963748443698876 1.6690822057796595e-05,0.00081024871906265616
IIWA_7,1715009833.5871491,-0.46490565461576372     1.13560274154039 0.034961159849350283  -1.2698180310931599   -1.930697844589792  -1.8763435483577471 -0.88466008283256869, 0.00067570151002709165  0.00049010207185786435   0.0010654307293362338  -0.0016650757895507672 -0.00083518791304415497  0.00056740789413806971  -4.432339298323399e-05, 0.09678598022460938   65.386995140075683  -2.9985569381713866   -15.93390546798706   -1.418283977508545   1.7795639495849609 -0.13950820159912108,   16.96095933223603   1.4449737894790335   8.8475576081673886  -3.9803152238890718 -0.29191546611882901    1.560078728143296   0.3543753042616079,  0.56609529256820679 -0.040194381028413773   0.21834267675876617,  -0.69795191287994385 -0.0089514842256903648    0.00350736896507442    0.71608006954193115,-0.00065440934849902987  -0.0001497944031143561 -0.00057656562421470881,-0.0056864731013774872    0.62251764535903931 0.00076331256423145533,  0.24400696158409119  0.028099531307816505  0.068045392632484436  0.028099531307816505   0.23045636713504791 -0.021356895565986633  0.068045392632484436 -0.021356895565986633    0.1900864839553833,   -1.0581571211591978   -0.36068853806447976    -1.0911733575165172    0.72109730342795331    0.51171154442020139   0.038963748443698876 1.6690822057796595e-05,0.00081024871906265616
IIWA_7,1715009833.5921226, -0.4644854876513802   1.1356240734999232 0.035346872159887112  -1.2698808283668959  -1.9306638094476476   -1.876218552894541 -0.88466068202591752,   0.017347239783362358   0.0012453600388160498    0.016280837004942136  -0.0038439515810776595  0.00069325535534048321   0.0054537448435545048 -5.9426448339665798e-05, -7.482093971252441  64.295464363098148 -7.6724673271179196 -15.425048770904541  -1.564426212310791  1.7124798622131348 -0.1271593894958496,  16.931750825477266    1.444212791357387   8.8252280844764961   -3.977091199208612 -0.29150981913587642   1.5614339349202357  0.35375764486182504,  0.56609374284744263 -0.040167100727558136   0.21833790838718414,  -0.69794589281082153 -0.0089571932330727577  0.0035228703636676073    0.71608585119247437,-0.00045455046347342432   0.0009961235336959362 -0.00053844269132241607, -0.005680878646671772    0.62251758575439453 0.00076535635162144899,  0.24400632083415985  0.028096709400415421  0.068046286702156067  0.028096709400415421   0.23046049475669861 -0.021352730691432953  0.068046286702156067 -0.021352730691432953   0.19008399546146393,   -1.0580129136954497   -0.36058753352552486    -1.0909669916419062      0.720982980464413    0.51171691249418672   0.039045243593882617 1.6704711391923865e-05,0.0011171773076057434
IIWA_7,1715009833.5971458,-0.46402619225957925   1.1356267699245346 0.035613700932092041  -1.2699253497526188   -1.930644059476365  -1.8760830112793296 -0.88466188041261518,   0.032249607498727934   0.0011041450155076526    0.023697820492150856  -0.0048560166937810538   0.0013446031355773161   0.0097846604832973298 -9.5476626577889852e-05,-14.214096595764159  64.650346290588374 -9.9394327163696286 -15.070257682800293 -1.1180761337280274  1.8166103858947753 -0.1385069465637207,  16.931761696200361   1.4441707129302099   8.8252508221600507  -3.9770453340143339 -0.29147794069889621   1.5614464934680621  0.35375764486182504,  0.56609374284744263 -0.040167100727558136   0.21833790838718414,  -0.69794589281082153 -0.0089571932330727577  0.0035228703636676073    0.71608585119247437,-0.00045455046347342432   0.0009961235336959362 -0.00053844269132241607,-0.0056808874942362309    0.62251859903335571 0.00076535757398232818,  0.24400632083415985  0.028096709400415421  0.068046286702156067  0.028096709400415421   0.23046049475669861 -0.021352730691432953  0.068046286702156067 -0.021352730691432953   0.19008399546146393,   -1.0580129136954497   -0.36058753352552486    -1.0909669916419062      0.720982980464413    0.51171691249418672   0.039045243593882617 1.6704711391923865e-05,0.0011171773076057434
IIWA_7,1715009833.602123, -0.4636263386369443   1.1356373159674567 0.035845535743711403  -1.2699823946393065  -1.9306361978152824  -1.8759412379660239 -0.88466259948826698,   0.041793830904380311   0.0013051577292883206    0.028231648858495176  -0.0061666088225317967   0.0013901489517648715    0.013498660918869141 -0.00010514432733433253, -17.417443691253663   64.230940376281737  -10.567140026092529  -15.028880062103271  -1.4975177192687987   1.4004220428466796 -0.13617068481445313,  16.533124061156222   1.4782731028185809    8.505854096931948  -3.9440133737854239 -0.29586946709317491   1.6241349767593449  0.36357581945399575, 0.56614136695861816 -0.03978869691491127  0.21837525069713593,  -0.69784563779830933 -0.0091575058177113533  0.0036617354489862919    0.71618032455444336,0.0015355764189735055  0.015933644026517868 0.0010641341796144843,-0.0056797033175826073    0.62251865863800049 0.00076747604180127382,  0.24396367371082306  0.028074756264686584  0.068073615431785583  0.028074756264686584   0.23050807416439056 -0.021294126287102699  0.068073615431785583 -0.021294126287102699   0.19008329510688782,   -1.0567486179668961   -0.35915358680860265    -1.0885015276445031     0.7197122979381021    0.51197355609033934   0.040296657146221548 1.6928485280232053e-05,0.014688474126160145
IIWA_7,1715009833.6070824,-0.46330372325135938    1.135640132274371 0.036096665170211567  -1.2700912114457621  -1.9306280485239389  -1.8757167734616695 -0.88466301891270283,   0.046339680146901187   0.0011567784600044113    0.032630496146802718  -0.0092859593162486591   0.0014380908151526059    0.019777508909267948 -0.00010089243930142925, -17.156659244537355    64.45408583068847  -9.1497364234924312  -14.383565254211426 -0.98337877273559571   1.5072225799560546 -0.17555338287353517,  16.221596815453744   1.4918138784375161   8.2992417839712562  -3.9196139449069358 -0.29027074593312063   1.6644745458183754  0.37238723460495249,  0.56618845462799072 -0.039431575685739517   0.21839800477027893,   -0.6977916955947876 -0.0093482201918959618  0.0038049023132771254    0.71622961759567261,0.0030994690023362637  0.027033455669879913 0.0017635454423725605,-0.0056798020377755165    0.62252938747406006 0.00076748931314796209,  0.24392341077327728   0.02805965393781662  0.068096697330474854   0.02805965393781662   0.23055021464824677 -0.021240927278995514  0.068096697330474854 -0.021240927278995514   0.19008500874042511,   -1.0557928768415437   -0.35780156340337044    -1.0863877287139445    0.71849338621721159    0.51228476079945295   0.041425259941441084 1.7120994399988376e-05,0.02496534027159214
IIWA_7,1715009833.6121256,-0.46297990947907686   1.1356460645394153 0.036434260825849406  -1.2702292098300618  -1.9306123252017735  -1.8753833722685564 -0.88466367810174473,   0.050024295008821822   0.0011627133697757735    0.039608223142955729   -0.012948702824988176    0.001779405538737004     0.02915805485193804 -0.00010708151311743159, -14.450684547424316    63.89622219467163  -9.3460600280761721  -14.463679370880127  -1.3240838623046876   1.3743894119262696 -0.14718449020385743,  16.01906283399558  1.4773332703971043  8.1744933512395406 -3.8917049168626194  -0.275013832641123  1.6870569692922928 0.37466868051912577,  0.56622540950775146 -0.039117731153964996   0.21840491890907288,  -0.69774925708770752 -0.0095018269494175911  0.0039361775852739811    0.71626824140548706,0.0039430363103747368  0.034182898700237274 0.0016892284620553255,-0.0057241111062467098    0.62253862619400024 0.00075336097506806254,   0.2438914030790329  0.028044313192367554  0.068115569651126862  0.028044313192367554   0.23058788478374481 -0.021194150671362877  0.068115569651126862 -0.021194150671362877   0.19008336961269379,  -1.0548699453645227  -0.35661579465617876   -1.0844845501116751   0.71739310163554393   0.51253205831347515  0.042383173094684423 1.728323262284448e-05,0.031541742384433746
