RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1715012714.8515756,0.48019459843635559 0.69323265552520752 0.27823743224143982,-0.0050779352895915508  0.0022184897679835558    0.10535923391580582    0.99441879987716675,0.48019459843635559 0.69323265552520752 0.27823743224143982,-0.0050779352895915508  0.0022184897679835558    0.10535923391580582    0.99441879987716675
1715012714.8665771,0.48168653249740601 0.70567071437835693 0.27816906571388245,-0.005207553505897522 0.0022324712481349707  0.093169480562210083   0.99563413858413696,0.48168653249740601 0.70567071437835693 0.27816906571388245,-0.005207553505897522 0.0022324712481349707  0.093169480562210083   0.99563413858413696
1715012714.8715761, 0.4822600781917572 0.71089386940002441 0.27806559205055237,-0.0048139314167201519  0.0021393427159637213   0.088459871709346771    0.99606579542160034, 0.4822600781917572 0.71089386940002441 0.27806559205055237,-0.0048139314167201519  0.0021393427159637213   0.088459871709346771    0.99606579542160034
1715012714.8765802,0.48302596807479858  0.7161896824836731  0.2775912880897522,-0.0046734041534364223  0.0020393936429172754   0.083659328520298004    0.99648135900497437,0.48302596807479858  0.7161896824836731  0.2775912880897522,-0.0046734041534364223  0.0020393936429172754   0.083659328520298004    0.99648135900497437
1715012714.8865798,0.48385700583457947 0.72450029850006104 0.27754509449005127,-0.0047126496210694313  0.0022837037686258554   0.076191537082195282    0.99707943201065063,0.48385700583457947 0.72450029850006104 0.27754509449005127,-0.0047126496210694313  0.0022837037686258554   0.076191537082195282    0.99707943201065063
1715012714.8915803,0.48446205258369446 0.73008114099502563 0.27752038836479187,-0.0050317812711000443  0.0019994571339339018   0.071379281580448151    0.99743455648422241,0.48446205258369446 0.73008114099502563 0.27752038836479187,-0.0050317812711000443  0.0019994571339339018   0.071379281580448151    0.99743455648422241
1715012714.8965795,0.48504480719566345 0.73592817783355713 0.27753525972366333,-0.0044367439113557339  0.0025755194947123528   0.066337130963802338     0.9977840781211853,0.48504480719566345 0.73592817783355713 0.27753525972366333,-0.0044367439113557339  0.0025755194947123528   0.066337130963802338     0.9977840781211853
1715012714.9015806,0.48563912510871887 0.74183356761932373 0.27758234739303589,-0.0043962053023278713  0.0022105553653091192   0.061552733182907104    0.99809169769287109,0.48563912510871887 0.74183356761932373 0.27758234739303589,-0.0043962053023278713  0.0022105553653091192   0.061552733182907104    0.99809169769287109
1715012714.9115806,0.48659032583236694 0.75083768367767334 0.27747687697410583,-0.0047918418422341347  0.0021434563677757978     0.0539405457675457    0.99853032827377319,0.48659032583236694 0.75083768367767334 0.27747687697410583,-0.0047918418422341347  0.0021434563677757978     0.0539405457675457    0.99853032827377319
1715012714.9165809,0.48713770508766174 0.75697773694992065 0.27750280499458313,-0.0044053788296878338  0.0022952102590352297   0.048944678157567978    0.99878913164138794,0.48713770508766174 0.75697773694992065 0.27750280499458313,-0.0044053788296878338  0.0022952102590352297   0.048944678157567978    0.99878913164138794
1715012714.9215791,0.48767128586769104 0.76330125331878662 0.27746689319610596,-0.0042633963748812675  0.0025055299047380686   0.043978292495012283    0.99902021884918213,0.48767128586769104 0.76330125331878662 0.27746689319610596,-0.0042633963748812675  0.0025055299047380686   0.043978292495012283    0.99902021884918213
1715012714.9265811,0.48824119567871094 0.76961988210678101 0.27743867039680481,-0.0040158303454518318  0.0022059308830648661   0.039029885083436966    0.99922752380371094,0.48824119567871094 0.76961988210678101 0.27743867039680481,-0.0040158303454518318  0.0022059308830648661   0.039029885083436966    0.99922752380371094
1715012714.9365811,0.48908215761184692 0.77919745445251465 0.27737948298454285,-0.004323264118283987 0.0022450597025454044  0.031896550208330154   0.99947929382324219,0.48908215761184692 0.77919745445251465 0.27737948298454285,-0.004323264118283987 0.0022450597025454044  0.031896550208330154   0.99947929382324219
1715012714.9415789,0.48963922262191772 0.78563874959945679 0.27740046381950378,-0.0040422556921839714  0.0025024320930242538   0.026908036321401596    0.99962663650512695,0.48963922262191772 0.78563874959945679 0.27740046381950378,-0.0040422556921839714  0.0025024320930242538   0.026908036321401596    0.99962663650512695
