DesiredFlux,0.735,HitTime,1715178420.5626547,DesiredPos, 0.54162460565567017 -0.26629948616027832     0.19925557076931
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715178419.9573557, 0.59482016534862525   1.1582928340489169 -0.11208270309480121    -1.39373239983613  -1.0826345527917396   1.7766195172239116 -0.58678719932719414, 7.0250053550824219e-06 -2.5195805881406165e-05  1.7165195281961391e-05  2.4185397760181075e-05  2.2340623714491027e-06  1.7954600618573985e-05  2.0615095859460867e-06,-2.0781748657226564  69.999513793945312  4.6363173027038576 -14.378095062255859 0.98161802291870115  -2.247817554473877 0.20692604064941406, 0.26220973600930819  -2.0066994828593754 -0.33327305422524306    2.986143104340059  0.19891656378893152  0.15498138970551933  0.90124058614514069, 0.53410375118255615 0.072321094572544098  0.19874899089336395,0.51177704334259033 -0.4866536557674408 0.50396734476089478 0.49726191163063049,1.0593649903967162e-06 1.8814203940564767e-05 9.8267519206274301e-06, 0.0025064616929739714   -0.80352842807769775 0.00016898948524612933,  0.25251179933547974 -0.016952307894825935  0.062319133430719376 -0.016952307894825935   0.23310324549674988  0.032423954457044601  0.062319133430719376  0.032423954457044601   0.17830589413642883,   0.62370087176155664   -0.67234019870632267     1.1546965000945875    0.67125248825128381 -0.0090905055536438795   0.040552775210755954                      0,1.9439741663518362e-05
IIWA_14,1715178419.9623547, 0.59482016534862525   1.1582928340489169 -0.11208270309480121  -1.3937322200672171  -1.0826343609800548   1.7766195172239116 -0.58678737909610701, 5.6200042840659376e-06 -2.0156644705124933e-05  1.3732156225569112e-05   2.653907472281935e-05  9.4597172874665296e-06  1.4363680494859189e-05 -5.5415488459176207e-06,-2.0781748657226564  70.022661781311044  4.6322845535278319 -14.386160560607911 0.97369464874267575 -2.2461487960815432 0.20425602722167968,-31.605127665897392  4.2245776931990733 -20.027697771137763 -10.141210247985166  1.5434602990404638 0.91686367667657886 0.90120738024825298,0.53410381078720093 0.07232116162776947 0.19874908030033112, 0.51177692413330078 -0.48665371537208557  0.50396746397018433  0.49726182222366333,2.1298187675711233e-06 1.7674763512331992e-05 1.1629682376224082e-05,0.0025065338704735041  -0.80352842807769775 0.0001688427000772208,  0.25251176953315735 -0.016952322795987129  0.062319144606590271 -0.016952322795987129   0.23310323059558868  0.032423965632915497  0.062319144606590271  0.032423965632915497   0.17830592393875122,     0.6237015113290667    -0.67234059461451778      1.1546971887845814     0.67125293942105202  -0.0090905266141305674    0.040552838314056316 -1.7763568394002505e-12,1.9450959371170029e-05
IIWA_14,1715178419.9673567, 0.59481297481027318   1.1582956503558313 -0.11209804290268006  -1.3937473202195731  -1.0826317723077084   1.7766228129509547 -0.58678719932719414,-0.00028312553065576299   9.652696080965481e-05 -0.00060260659017355488  -0.0005827748344642375  0.00011111466768924751  0.00014332002611793312  2.7575174379403937e-06,-1.9572909317016602  69.948073822021485  4.8648397560119632 -14.140162860870362 0.95520677566528323 -2.2554938430786131 0.20592478561401367,-31.605093520073694  4.2246628170127325 -20.027650797127126 -10.141270211876916  1.5434807871367506 0.91689219413074374 0.90118975337039242,  0.5341038703918457 0.072321213781833649  0.19874919950962067, 0.51177698373794556 -0.48665383458137512  0.50396746397018433  0.49726167321205139, 5.398412213253323e-06 1.6404914276790805e-05  1.424405854777433e-05,  0.002506408141925931   -0.80352842807769775 0.00016882832278497517, 0.25251173973083496 -0.01695234514772892 0.062319166958332062 -0.01695234514772892  0.23310321569442749 0.032423973083496094 0.062319166958332062 0.032423973083496094   0.1783059686422348,    0.62370240099784979    -0.67234079885025722      1.1546978516765449     0.67125325643857536    -0.00909067769239158    0.040553309206714516 -8.8817841970012523e-13,2.0477218640735373e-05
IIWA_14,1715178419.9723794, 0.59466652761431371   1.1583355578545935  -0.1124847738310016  -1.3940714336430715  -1.0825698379029378   1.7766907635274733 -0.58678707944489106,-0.0060843882629032049  0.0016735215191381002  -0.015951322405000145   -0.01343075680750588  0.0025662679249728432  0.0028326790816403241 7.0013060737352361e-06, 6.9032442321777348  66.023203964233403  10.696195064544678 -7.9431716270446779 0.36095371246337893 -2.8859507637023927 0.25265002059936525,-31.605018744667646  4.2245856130565862 -20.027636828242471 -10.141216608435382  1.5434208314697779 0.91692075112600513 0.90122154407561983, 0.53410392999649048 0.072321251034736633  0.19874919950962067,0.51177698373794556 -0.4866538941860199 0.50396734476089478 0.49726170301437378,4.9733507694327272e-06  1.446559872420039e-05 1.1239836567256134e-05,  0.002506408141925931   -0.80352842807769775 0.00016882334602996707,  0.25251170992851257 -0.016952361911535263  0.062319174408912659 -0.016952361911535263   0.23310321569442749  0.032423973083496094  0.062319174408912659  0.032423973083496094   0.17830599844455719,    0.62370303437475627    -0.67234082923750549      1.1546981432033476     0.67125341741647304  -0.0090910311794090148    0.040553444558000251 -3.5527136788005009e-12,1.7363176084472798e-05
IIWA_14,1715178419.9773543, 0.59461643350137228   1.1583180009331493 -0.11291135237147541  -1.3942976358408623  -1.0825174907662816   1.7766930405276489 -0.58678492232701873,-0.0068712751279799448 0.00063654035754134516  -0.029824199542952734    -0.0197926933576364  0.0041468998062282759  0.0023572232723331091 9.1885759752013884e-05, 11.342513809204101  65.825160072326668  13.087615325927734 -8.5185105094909677 0.25618909835815429 -2.4680936622619627 0.22194486618041992,-31.587379267218743   4.218756385095892 -20.013723365729589 -10.131094043192064  1.5407298761026782 0.91206185851186405 0.90281517355905361, 0.53410041332244873 0.072309046983718872  0.19874989986419678, 0.51176875829696655 -0.48665118217468262  0.50396621227264404   0.4972740113735199, -0.0001355378917651251 -0.00047660409472882748  3.6849818570772186e-05,0.0025063636712729931  -0.80352836847305298 0.0001687919138930738,  0.25251206755638123 -0.016951430588960648  0.062319446355104446 -0.016951430588960648   0.23310506343841553  0.032422084361314774  0.062319446355104446  0.032422084361314774    0.1783040463924408,   0.62365890982629679   -0.67228394316387607     1.1546180533565931    0.67119557527206553 -0.0090994180572678829   0.040498946009215331 1.7763568394002505e-12,0.0004544922849163413
IIWA_14,1715178419.9823546, 0.59458833053700588   1.1583205175888476 -0.11350127584031106  -1.3946571625402993    -1.08245162553097   1.7767190462607527 -0.58678402348245395,-0.0066211386770397311 0.00060989851396433257  -0.047456298387787907  -0.030215222663587189  0.0059521292574466938   0.002926007942020528 0.00010946239039274713, 13.644452552795411  66.334415794372561  13.700593200683594 -9.6140740356445313  0.7632850456237793 -2.7571226158142088 0.22161111450195312,-31.197732117789677  4.1110846657019131 -19.686368063112798 -9.9202918350660863  1.4860693684989974 0.80202107702710679 0.93230274032530402, 0.53403323888778687 0.072033815085887909  0.19878609478473663, 0.5115697979927063 -0.4866008460521698 0.50395411252975464  0.4975401759147644,-0.0027988078072667122  -0.011388950049877167  0.0014798248885199428, 0.0025063198991119862   -0.80352842807769775 0.00016875057190191001,  0.25251322984695435 -0.016931449994444847  0.062329735606908798 -0.016931449994444847   0.23314738273620605  0.032377872616052628  0.062329735606908798  0.032377872616052628   0.17826588451862335,   0.62269789693303323   -0.67097971850849092     1.1527695615907163    0.66988362045794503 -0.0092846840074045645   0.039268697696215327 4.4408920985006262e-12,0.010812445543706417
IIWA_14,1715178419.987354, 0.59456957522886389   1.1583192593155398 -0.11428426512209153  -1.3952121520442424  -1.0823401242990416   1.7767156307604897   -0.586783663944628,-0.0060471232673115181 0.00043758787886069464  -0.069284609981449197  -0.046371758288596576   0.009221752683092525  0.0022041863430940301 0.00010195142535242848,  14.17428426361084   66.02834796142578  12.918239860534667 -9.3398470916748053 0.38032196044921873 -2.5765629577636719 0.23028865814208985,-30.986264463133608  4.0929939249565734 -19.448998942964273 -9.8306430549529757  1.4667464191238631 0.73570248857807641 0.93703645461968721,0.53400993347167969 0.07182108610868454 0.19885782897472382,  0.5113903284072876 -0.48658046126365662  0.50398927927017212  0.49770891666412354,-0.0031759666744619608  -0.017618492245674133  0.0040572942234575748, 0.0025062800850719213   -0.80352908372879028 0.00016874921857379377,  0.25249898433685303 -0.016914766281843185  0.062347766011953354 -0.016914766281843185     0.233183354139328  0.032337270677089691  0.062347766011953354  0.032337270677089691   0.17824795842170715,   0.62189279648539042   -0.66988374411813822     1.1510828008916008    0.66879839392708362 -0.0093619065610894836    0.03833737498570855                      0,0.016790365800261497
IIWA_14,1715178419.9923544, 0.59454842303824362   1.1583164430086257 -0.11529291740400706  -1.3959175435511468  -1.0822054215327019   1.7767131141047914 -0.58678330440680215,-0.0056837862386598581 0.00023741802652368276  -0.095773779261780614  -0.065313066907053546   0.012765512800059818  0.0016626828465439677  9.594265331573266e-05, 13.675316535949708  65.398208305358892  12.903453113555909 -8.2738570594787593 0.25354797363281251 -2.5732254409790039 0.23496118164062499,-30.725380022198955  4.0396464312795253  -19.15041028517301 -9.6898391461990911  1.4362341983920157  0.6422432661040427  0.9549175025118517, 0.53395569324493408 0.071537457406520844  0.19894443452358246, 0.51114940643310547 -0.48651376366615295  0.50404441356658936  0.49796572327613831,-0.0047187763266265392  -0.025435777381062508  0.0067193047143518925, 0.0025087546091526747   -0.80354142189025879 0.00016860336472745985, 0.25248807668685913 -0.01688733696937561 0.062367450445890427 -0.01688733696937561  0.23323427140712738 0.032283253967761993 0.062367450445890427 0.032283253967761993  0.17821395397186279,    0.62061369132315747    -0.66844654688669181      1.1487060151820216     0.66733066196533741  -0.0093786741279799912    0.036991543927555881 -8.8817841970012523e-13,0.024447377771139145
IIWA_14,1715178419.9973571, 0.59451936134270245   1.1583166826641487 -0.11653052830401775  -1.3967278569441151  -1.0820522153092313   1.7767058036841363 -0.58678312463788918,-0.0057094968125749705 0.00019952064213823496   -0.12612345940985215  -0.084662989244371656   0.016340659178871543  0.0010377294510332165 8.3944879171701513e-05, 14.346608169555665  65.369916320800783  13.808133178710937 -7.7939599075317387 0.42434070587158201 -2.6426457901000977 0.23395992660522461,-30.388700144881032  3.9452836584049544 -18.781532830454054 -9.4876616536850928  1.3846903797302867 0.52548675167429448 0.98871358695023881, 0.53386002779006958 0.071156330406665802  0.19904312491416931, 0.51085132360458374 -0.48640686273574829   0.5041007399559021   0.4983188807964325,-0.0076181972399353981  -0.035586126148700714  0.0093435496091842651, 0.0025550343561917543   -0.80355191230773926 0.00015801202971488237,  0.25248152017593384 -0.016846779733896255  0.062389209866523743 -0.016846779733896255   0.23330383002758026  0.032208986580371857  0.062389209866523743  0.032208986580371857   0.17816056311130524,    0.61875441919223562    -0.66649465709733846      1.1453922199606836     0.66529027263317886  -0.0093882771983189173     0.03522481235140873 -2.6645352591003757e-12,0.034365687519311905
IIWA_14,1715178420.0023568,   0.594502763152433   1.1583162632397126 -0.11795766974349027  -1.3976534584971558  -1.0818702467578196   1.7767023282972634 -0.58678174648227854,-0.0052315250608378026 0.00014283953626774296   -0.15798442510678257   -0.10475445351712845   0.020351269399566291 0.00069116808590844825 0.00012228212776263381, 15.774067390441896   65.57310420989991   14.08773712158203 -8.4217245292663581 0.26763397216796875 -2.5405177764892577 0.21093106079101562,-29.976536135438643   3.834504029619946 -18.326153121950931 -9.2438872270463204   1.324985965201575  0.3789345382283949  1.0279596033626548, 0.53374069929122925 0.070669114589691162  0.19917377829551697, 0.51046663522720337 -0.48626914620399475  0.50417852401733398  0.49876862764358521, -0.01089680939912796 -0.047944631427526474  0.012737010605633259, 0.0025700253900140524   -0.80356681346893311 0.00013424169446807355,  0.25247210264205933 -0.016794692724943161  0.062417645007371902 -0.016794692724943161   0.23339268565177917  0.032113835215568542  0.062417645007371902  0.032113835215568542   0.17809320986270905,   0.61637212462795077   -0.66400129776411632     1.1411509264966924    0.66268699600602332 -0.0093872232325153959   0.032962562232619064 3.5527136788005009e-12,0.046453576534986496
