DesiredFlux,0.41,HitTime,1715179261.5330858,DesiredPos,0.55819660425186157 0.31323271989822388  0.2204115092754364
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715179260.559247,-0.46518302953997381   1.1421029851563262 0.026190564780733398  -1.2565499361268209  -1.9617778294531343  -1.8939100851481261 -0.89705638529212117, 0.00017031108744344268   9.713766662975043e-06  3.5140912913326916e-05   0.0028210657351033556 -6.7739360711145702e-06 -2.8609505086208708e-06  0.00024250463882668095,-0.051081489562988282    65.708270824432375   -1.9966902923583985    -16.63908576965332   -1.3108782386779785    1.7925802650451661   -0.3287454032897949,-0.07424011775396161  -1.3264414771664099  0.27902765142264552 -0.65425815781447538   1.2370867234522436  0.67036379285241221   0.6678367197977626,   0.5604357123374939 -0.044919967651367188   0.21415676176548004,-0.70315617322921753 -0.02144366130232811 0.012058486230671406  0.71060967445373535, 0.00077043229248374701 -0.00027042004512622952  0.00048122988664545119,-0.00036080263089388609     0.44779786467552185   0.0010134698823094368,  0.24302233755588531  0.030726272612810135  0.067192003130912781  0.030726272612810135   0.23048225045204163 -0.022120997309684753  0.067192003130912781 -0.022120997309684753   0.19015616178512573,   -1.1567445038416224   -0.37358769445106077    -1.1511979282108342    0.74727823307618735    0.56548803259914848   0.088249279456498186 2.5068051634491439e-05,0.00086777139222249389
IIWA_7,1715179260.5641997,-0.46518446758219439   1.1421031049295463 0.026189366394035747  -1.2565334578188543  -1.9617776376414495  -1.8939093660724744 -0.89705524679203352, 7.8727181131528647e-05  1.2561942130726741e-05 -1.9822737575356901e-05   0.0029159849067460094  2.2533185334155902e-06  2.6474265660683049e-05  0.00023954371456732864,0.014786746978759766   65.745909816741943  -1.9350640487670898  -16.699831638336182  -1.3284857368469238   1.7758926811218261 -0.32574163818359375,-0.075495338613068286   -1.3332399990094295   0.28106918720655027  -0.65379047021970504    1.2380720694786587   0.66627648458722855   0.66811210902982132,  0.56043916940689087 -0.044921301305294037   0.21415841579437256, -0.70315855741500854 -0.021446976810693741  0.012054963037371635   0.71060729026794434, 0.00075568060856312513 -0.00026962556876242161  0.00045116266119293869,-0.00036180185270495713     0.44779783487319946   0.0010125614935532212,  0.24302087724208832    0.0307267215102911  0.067192576825618744    0.0307267215102911   0.23048177361488342 -0.022120872512459755  0.067192576825618744 -0.022120872512459755   0.19015763700008392,   -1.1567660913955891   -0.37358651161323309    -1.1512060471243757    0.74729274433593673    0.56549139527550807   0.088240710300446779 2.5066188236166909e-05,0.00084278936265036464
IIWA_7,1715179260.5692458,-0.46518374861562561   1.1421033446941522 0.026190205242907487  -1.2565187172043242  -1.9617773500111888  -1.8939091264169514 -0.89705416817855577,9.1740407656427792e-05 1.9640137942465452e-05 1.7695764809306261e-05  0.0029224125066010698 1.3307865255540727e-05 3.0765633447835175e-05 0.00023477951076411434,-0.0067212486267089842     65.744565567016608    -1.9597145462036132    -16.696310138702394     -1.332007236480713     1.7735564193725586   -0.32707664489746091, 10.578064562560035  1.6273812292944736  5.9584511572450625 -3.3385254155734763  1.1101857938514725  1.8159487666110667 0.66891179896441844,  0.56044352054595947 -0.044924698770046234   0.21416065096855164, -0.70316177606582642 -0.021450569853186607  0.012049398384988308   0.71060413122177124, 0.00077838543802499771 -0.00035159572144038975  0.00045028675231151283,-0.00036231393460184336      0.4477977454662323   0.0010120914084836841,  0.24301914870738983  0.030727362260222435   0.06719323992729187  0.030727362260222435   0.23048095405101776 -0.022120948880910873   0.06719323992729187 -0.022120948880910873   0.19015955924987793,   -1.1567984349714067   -0.37359146773852103    -1.1512262448185595    0.74731769714286855    0.56549422370899549   0.088224400224490296 2.5062822039956245e-05,0.00088403560221195221
IIWA_7,1715179260.5742254,-0.46518362873332264   1.1421032248118492 0.026190205242907487  -1.2565031976275325  -1.9617773500111888  -1.8939092462992544 -0.89705356898520694,7.8187618244084266e-05 1.0916818235030334e-05  1.415661184744501e-05  0.0029587130769484302 1.0646292204432582e-05 1.9817214639326112e-05 0.00021179134256437009,-0.022852245330810546    65.755319564819331   -1.9544322967529297   -16.676061515808104   -1.3328876113891601     1.776226432800293  -0.32640914154052736, 10.577680301496116  1.6282796527788839  5.9578578308461925 -3.3392916316422032  1.1100757853941614  1.8157448911749527  0.6695636456349614,   0.5604475736618042 -0.044925965368747711   0.21416303515434265, -0.70316386222839355 -0.021455062553286552  0.012045236304402351   0.71060198545455933, 0.00078499811934307218 -0.00033207007800228894  0.00045561540173366666,-0.00036284999805502594     0.44779756665229797   0.0010117588099092245,  0.24301736056804657  0.030727896839380264  0.067193970084190369  0.030727896839380264   0.23048046231269836 -0.022120753303170204  0.067193970084190369 -0.022120753303170204   0.19016130268573761,   -1.1568234594454552   -0.37358920003605078    -1.1512337933465844    0.74733480265543051    0.56549892874624419   0.088217680567659329 2.5061480002364078e-05,0.00088489649351686239
IIWA_7,1715179260.5792441,-0.46516025942913691   1.1421094566190264 0.026212196282399538  -1.2564963666270064  -1.9617778294531343  -1.8938968425715097 -0.89705284990955514,  0.0009973222620243661  0.00025800574167528971  0.00089096686915999493   0.0026402104826035292 -1.0660644055569435e-05  0.00051200288149914116  0.00019819610012351672,-0.23255520248413086   65.661222084045406  -2.2933766365051271  -16.535201530456543   -1.332007236480713   1.7311699562072753 -0.32640914154052736, 10.577680301496116  1.6282796527788839  5.9578578308461925 -3.3392916316422032  1.1100757853941614  1.8157448911749527  0.6695636456349614,   0.5604475736618042 -0.044925965368747711   0.21416303515434265, -0.70316386222839355 -0.021455062553286552  0.012045236304402351   0.71060198545455933, 0.00078499811934307218 -0.00033207007800228894  0.00045561540173366666,-0.00036351638846099377     0.44779756665229797   0.0010112924501299858,  0.24301736056804657  0.030727896839380264  0.067193970084190369  0.030727896839380264   0.23048046231269836 -0.022120753303170204  0.067193970084190369 -0.022120753303170204   0.19016130268573761,   -1.1568234594454552   -0.37358920003605078    -1.1512337933465844    0.74733480265543051    0.56549892874624419   0.088217680567659329 2.5061480002364078e-05,0.00088489649351686239
IIWA_7,1715179260.5842471,-0.46487419603774421   1.1421534985846205 0.026409097129126372  -1.2565498162445179  -1.9617804179509479  -1.8938049236065395 -0.89705135187164153,   0.012240393465327456   0.0019680832171019851   0.0085888073644013688 -2.5816314378180726e-05 -0.00011206842779042461   0.0040863609040066523  0.00021847839664302802, -5.9052890434265137   64.148941143035884  -5.3500383186340335  -15.224323291778564   -1.213156623840332    1.631378204345703 -0.32373912811279298, 10.304321803861473  1.5781957021306061  5.7808999712964662 -3.2783059699873838  1.1331792054365475  1.8416306802374813 0.66714409101093919,    0.560477614402771 -0.044671200215816498   0.21415497362613678, -0.70311355590820312 -0.021580182015895844  0.012158101424574852   0.71064603328704834,  0.0014976462116464972   0.0098899016156792641 -0.00012377683015074581,-0.0003641203511506319    0.44779753684997559  0.0010107629932463169,  0.24299108982086182  0.030713316053152084  0.067210555076599121  0.030713316053152084   0.23051470518112183 -0.022082297131419182  0.067210555076599121 -0.022082297131419182   0.19015604257583618,  -1.1559302683217254  -0.37260173078212944   -1.1495537546135637   0.74644835533543841   0.56566303463601031  0.089031015220619736 2.522766440193891e-05,0.0091589149087667465
IIWA_7,1715179260.5892491,-0.46461341930380368   1.1421535585803135 0.026502154594184205  -1.2565510147402985  -1.9617735149992235  -1.8937013798760864 -0.89705033325385686,   0.020223384129883469   0.0015768664014047978    0.010593344493834419 -6.8592882727297125e-05  0.00018646332674575317   0.0074108379413281474  0.00021552742870146427, -9.5051898078918455   64.626149795532228  -6.7040549278259274  -15.561506881713868  -1.1312817573547362   1.6967935333251953 -0.31372657775878904, 10.304321803861473  1.5781957021306059  5.7808999712964662 -3.2783059699873838  1.1331792054365475  1.8416306802374811 0.66714409101093919,    0.560477614402771 -0.044671200215816498   0.21415497362613678, -0.70311355590820312 -0.021580182015895844  0.012158101424574852   0.71064603328704834,  0.0014976462116464972   0.0098899016156792641 -0.00012377683015074581,-0.00036412489134818316     0.44780310988426208   0.0010107755661010742,  0.24299108982086182  0.030713316053152084  0.067210555076599121  0.030713316053152084   0.23051470518112183 -0.022082297131419182  0.067210555076599121 -0.022082297131419182   0.19015604257583618,  -1.1559302683217254  -0.37260173078212944   -1.1495537546135637   0.74644835533543841   0.56566303463601031  0.089031015220619736 2.522766440193891e-05,0.0091589149087667465
IIWA_7,1715179260.5941978,-0.46440705091854939   1.1421614081986244 0.026601683631025358   -1.256564077548002  -1.9617821437325123  -1.8936050266839854 -0.89704907487146612,   0.024433442714078185   0.0015754778535601059    0.012455837068713642 -0.00057738661432276989 -0.00019597867015433987    0.009782798037102327  0.00022275723859053822,-10.970422008514404  64.600609050750734 -6.8334700393676755 -15.959436340332031 -1.3848297309875488  1.5122288551330567 -0.3097215576171875, 10.156965954171538  1.5812235984287533  5.7010968802711233 -3.2746103467930361  1.1351530109528181  1.8471137842708711 0.67333311348995162,  0.56051170825958252 -0.044492710381746292   0.21415512263774872, -0.70311117172241211 -0.021675117313861847  0.012224994599819183   0.71064436435699463,  0.0025592315942049026    0.015052467584609985 -9.3112743343226612e-05,-0.00037005869671702385     0.44780310988426208   0.0010150264715775847,  0.24296861886978149  0.030706591904163361  0.067222326993942261  0.030706591904163361   0.23053574562072754 -0.022055754438042641  0.067222326993942261 -0.022055754438042641   0.19015902280807495,   -1.1554654714505119   -0.37189412831128976    -1.1485146365997068    0.74580840022164807    0.56579310331006383    0.08950550131103796 2.5318241725358348e-05,0.013979640789330006
IIWA_7,1715179260.5992424,-0.46424772068379944   1.1421654228922362 0.026737464901759683  -1.2565850498606264  -1.9617738026294842  -1.8934195708338286 -0.89704823602259443,   0.02591996356126074   0.001420970027319115   0.015395920484343927 -0.0013008017964311483 0.00017686118499866225   0.015244472435955257 0.00021175974574035703, -10.154462425231934   64.966244976043697  -6.1159644889831544  -16.083569202423096  -1.0811003875732421   1.2909514923095704 -0.31839910125732424,  10.07006178235517  1.5719094785974645  5.6528394956387134 -3.2648116859823633  1.1445433890509371  1.8500360632067399 0.67479023218306444,  0.56053608655929565 -0.044340677559375763   0.21414968371391296, -0.70310556888580322 -0.021750617772340775  0.012286152690649033   0.71064656972885132,  0.0030192360281944275     0.01812424510717392 -0.00029161400743760169,-0.00037006157799623907     0.44780659675598145   0.0010150342714041471,  0.24295082688331604  0.030698979273438454   0.06723206490278244  0.030698979273438454    0.2305549681186676 -0.022032575681805611   0.06723206490278244 -0.022032575681805611   0.19015942513942719,   -1.1549858563695281    -0.3712899513228507    -1.1475585175562131    0.74525118249724187    0.56588875612195721   0.089915774036164464 2.5397230096757539e-05,0.016824709251523018
IIWA_7,1715179260.6042461,-0.46406645929616741   1.1421757892753286 0.026945091560321571  -1.2566027865509835  -1.9617783087205469   -1.893126197021781  -0.8970470375268137,    0.02798642635428962   0.0015514313455502933    0.020621802729950664  -0.0017501090514287284 -3.8754694510196019e-05    0.023930530430669686  0.00021734762782147905, -8.3249385490417485   65.126210693359369  -6.6706006813049319  -16.176888942718506   -1.425326976776123    1.552612808227539 -0.32607538986206053, 10.028782545869484   1.566070719597803  5.6188076753619605 -3.2728838067594741  1.1464165010546821  1.8270741699597626 0.67678481149915892,  0.56057512760162354 -0.044201094657182693   0.21413840353488922, -0.70311075448989868 -0.021797258406877518  0.012305105105042458   0.71063971519470215,  0.003972980659455061   0.020084058865904808 -0.0006835106760263443,-0.00037630670703947544     0.44780972599983215   0.0010169392917305231,  0.24293452501296997  0.030683513730764389  0.067243561148643494  0.030683513730764389   0.23057280480861664 -0.022008087486028671  0.067243561148643494 -0.022008087486028671   0.19016136229038239,   -1.1542250463447701   -0.37070349832468708     -1.146440451831765    0.74469513688768529    0.56582705387331345   0.090086849620085729 2.5428969152585523e-05,0.018754908815026283
