DesiredFlux,0.753,HitTime,1715785419.1905773,DesiredPos,0.54603570699691772   -0.29058837890625 0.19931556284427643
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715785418.6200371, 0.56418279397645998    1.072234714268486 -0.13831760949234462  -1.4693273326009604  -1.0696024271038518   1.6694384221076854 -0.58117858203058104,  0.0016644505216000798  -9.789971133076812e-07 -4.9970442596279505e-07   1.037950753334343e-06  -6.301237544867209e-07   0.0001882845550002476 -1.4530193856589393e-05,-2.2942227478027344  66.810235534667967   4.995231979370117 -14.650977756500245  1.2606968688964844 -2.4367210044860839 0.52899641036987299,   2.4330532314115003    4.9918060060047456  -0.48921592595417618 -0.054280127600707585  -0.30380399294865201    1.0342199372050285  -0.51666113986192763, 0.53723311424255371 0.040590554475784302   0.2147638201713562, 0.52641808986663818 -0.51439785957336426  0.48733627796173096  0.46987465023994446,-8.9495559222996235e-05  0.00089118228061124682  3.4916341974167153e-05,0.0081163551658391953  -0.82386904954910278 -0.014245535247027874,  0.24802641570568085 -0.015611849725246429  0.065715573728084564 -0.015611849725246429   0.23582996428012848  0.023792747408151627  0.065715573728084564  0.023792747408151627   0.18161135911941528,  0.56127270529060524  -0.46191190711653007   0.90366490501025964   0.44550701729750841 -0.077245882412313449   0.15333723103694297                     0,0.00081907963613048196
IIWA_14,1715785418.6250546, 0.56419130278381269   1.0722348340417061 -0.13831772937464762  -1.4693273326009604  -1.0696023312852758   1.6694391410742542 -0.58117870191288401,  0.0016719127113881788  4.0077311097005605e-06 -5.1950556608224886e-06   8.303606026674744e-07  3.3286440349116307e-06   0.0001793863067491825 -1.6419447204213544e-05,-2.3225147323608399  66.815379531860358    4.98985498046875 -14.646945007324218  1.2642183685302735 -2.4317147293090819 0.53033141708374021, -31.941231545844374   7.2000104100802398  -25.111609663914045  -13.182054383706602 -0.52740492560219465   4.3724966860779348 -0.51657351744504632, 0.53723263740539551 0.040594995021820068  0.21476404368877411, 0.52641993761062622 -0.51439547538757324  0.48733830451965332   0.4698731005191803,-9.0971276222262532e-05  0.00089054921409115195  3.6849836760666221e-05,0.0081172557547688484  -0.82386887073516846 -0.014246492646634579,  0.24802666902542114 -0.015611776150763035   0.06571536511182785 -0.015611776150763035   0.23582969605922699  0.023793339729309082   0.06571536511182785  0.023793339729309082   0.18161134421825409,  0.56127132164540683  -0.46193040826469911   0.90367802627167038   0.44552159508093325 -0.077234506396628433   0.15334455626891952                     0,0.0008187111234292388
IIWA_14,1715785418.630033, 0.56419981159116539   1.0722347741550959 -0.13831772937464762  -1.4693273326009604  -1.0696025230969606   1.6694399201455989 -0.58117870191288401,  0.0016778824632186582  8.1072048314620382e-07 -4.1560445286579907e-06  6.6428848213397952e-07 -5.0095521623779429e-06  0.00017467189919013532 -1.3135557763370836e-05,-2.3405187225341799  66.846243515014649  4.9858222312927243 -14.653666255950927  1.2580557441711426 -2.4343847427368166 0.52933016204833983, -31.941790500138136   7.2000094800533088  -25.111643506647027  -13.182233062314026 -0.52707918137166698   4.3728468046308446 -0.51648354537972563,  0.5372321605682373 0.040599498897790909  0.21476413309574127,0.52642184495925903  -0.514393150806427 0.48734033107757568 0.46987137198448181,-9.1171867097727954e-05  0.00089261413086205721  3.3288109989371151e-05,0.0081177800893783569  -0.82386887073516846 -0.014247012324631214,  0.24802693724632263 -0.015611686743795872  0.065715163946151733 -0.015611686743795872    0.2358294278383255  0.023793913424015045  0.065715163946151733  0.023793913424015045   0.18161134421825409,    0.5612693599479357   -0.46194864346560394     0.9036902363153132    0.44553590027440748  -0.077223097402878693    0.15335253196102627 4.4408920985006262e-12,0.00082047830801457167
IIWA_14,1715785418.6350775, 0.56420035089790421   1.0722357328862708 -0.13833294930022347  -1.4693427324045323  -1.0696028107272213   1.6694564583401756 -0.58117882168610402,  0.0013638782401278319  3.8997823382267227e-05 -0.00061212185865688429 -0.00061546071209040234  -1.551285215871061e-05  0.00080126530242004713 -1.5299375011043375e-05,-2.1861988067626954  66.825667526245127  5.2250986824035648 -14.430520801544189  1.2721417427062989 -2.4821112327575685 0.53066516876220704, -31.942427034427485   7.2001324835418687  -25.111706352950943   -13.18252522974165  -0.5266539287656804   4.3731860960589604 -0.51644247792351805, 0.53723180294036865 0.040604058653116226  0.21476434171199799, 0.52642381191253662 -0.51439082622528076  0.48734244704246521  0.46986955404281616,-8.8975451944861561e-05  0.00089646829292178154  3.4713957575149834e-05,0.0081183323636651039  -0.82386887073516846 -0.014247404411435127,  0.24802720546722412 -0.015611601993441582   0.06571495532989502 -0.015611601993441582   0.23582915961742401  0.023794509470462799   0.06571495532989502  0.023794509470462799   0.18161135911941528,    0.56126761644037515    -0.46196733986203498     0.90370320378774238     0.44555057939810183   -0.077211323307402324     0.15336077671523896 -1.7763568394002505e-12,0.00082382839173078537
IIWA_14,1715785418.6400433, 0.56403874355389583   1.0722469981139278 -0.13871590529953912  -1.4696637897565106  -1.0696052075878832   1.6698381558480173 -0.58118049949293049, -0.0053731911682331499  0.00048180736498306927   -0.015807937459551443   -0.013334662648804054 -0.00010828470820481732    0.015908912555602908 -7.9351773067723816e-05,    6.2551005859375  64.516012786865232  11.661366367340088 -8.0036628646850581  1.0467657661437988 -4.1178282089233402 0.55169152450561521,  -31.92272113378602   7.1957581504685919  -25.093857935118038  -13.171080970508944 -0.52813105582027442   4.3646980912519666 -0.51520929883337718, 0.53722596168518066 0.040595449507236481  0.21476858854293823,0.52641338109970093 -0.5143856406211853 0.48734486103057861 0.46988445520401001,-0.00030321304802782834  0.00037274064379744232  0.00019753666128963232,0.0081190140917897224  -0.82386869192123413 -0.014248035848140717,  0.24802775681018829 -0.015610897913575172  0.065714925527572632 -0.015610897913575172     0.235830157995224  0.023793693631887436  0.065714925527572632  0.023793693631887436    0.1816098690032959,    0.56123748859882028    -0.46194791058518092      0.9036619223090625     0.44552922091334324   -0.077208279287255266     0.15329500879079916 -8.8817841970012523e-13,0.00047473129234276712
IIWA_14,1715785418.6451011, 0.56396725770389422   1.0722290217680477 -0.13912714392305098  -1.4699070694556167  -1.0696122063581837   1.6703512605042388 -0.58118361545106079, -0.0071579869346507959 -0.00033360794321664295   -0.029095894908115615   -0.020398918083286904 -0.00036657857858044777    0.033251316293340424 -0.00018811974366599125, 10.586346221923829  63.687829238891602  13.917017406463623 -8.1945463256835946  0.9050254058837891 -3.2407287979125976 0.45924230957031248, -31.464144663809755   7.1147062336952072   -24.66915875304089  -12.919791300563174 -0.56454009593152721   4.1592548457098886 -0.49515666294499083,0.53711342811584473  0.0402991883456707 0.21488246321678162, 0.52611100673675537 -0.51432788372039795  0.48737016320228577   0.4702599048614502,-0.0047476515173912048  -0.011548245325684547  0.0047155823558568954,0.0081196306273341179  -0.82386857271194458  -0.01424842607229948,  0.24802795052528381 -0.015597990714013577  0.065722241997718811 -0.015597990714013577   0.23585937917232513  0.023761693388223648  0.065722241997718811  0.023761693388223648   0.18158191442489624,   0.56063481947710159   -0.46109659932014324    0.90244431017616478    0.44474214845457993  -0.077395920886402791    0.15156833179386098 8.8817841970012523e-13,0.012196228839457035
IIWA_14,1715785418.6501091, 0.56390601835468179   1.0722297407346164 -0.13969094177647967  -1.4703325693826128  -1.0696053992250349   1.6712641587874022 -0.58118463406884546, -0.0081759635162177366 -0.00023812769182432995   -0.045828630063640241    -0.03333913154647522 -2.0977536915884568e-05    0.063116984361209633 -0.00019124050631983485, 14.125416290283203  64.518584785461428  15.043498676300048 -8.0386133575439445  1.1911472511291503 -3.9145734367370606 0.48126992034912108, -31.166487155319579   7.0989249522872644  -24.324771728051601  -12.760477933317491 -0.57541525194344678   3.9681096163960303 -0.49080769593973084, 0.53701221942901611 0.040055770426988602  0.21505190432071686, 0.52576905488967896 -0.51426994800567627  0.48744699358940125  0.47062590718269348,-0.0078509170562028885   -0.01896454393863678   0.010554658249020576,0.0081201652064919472  -0.82386893033981323 -0.014248978346586227,   0.2480173259973526 -0.015591749921441078  0.065733321011066437 -0.015591749921441078   0.23588339984416962  0.023740585893392563  0.065733321011066437  0.023740585893392563   0.18156857788562775,   0.56029681618863236   -0.46054150750762801    0.90163802752574185     0.4442594114291154  -0.077502497772385937    0.14976194737847948 3.5527136788005009e-12,0.021090185269713402
IIWA_14,1715785418.6550763, 0.56386982589831547   1.0722291415412675 -0.14041454928478722  -1.4709480192735067  -1.0696135485163785   1.6724719290296099 -0.58118511348897439, -0.0079884690676271519 -0.00021446988741698347   -0.065607204383214185   -0.051289300872936351 -0.00034275368327341637    0.098804397177277736 -0.00017216921021304067, 15.884663330078126  64.330828887939461  14.848582466125489   -7.60845344543457 0.90590578079223627  -3.783742778778076 0.51564634323120118,-30.763004323523269  7.0390213924158376 -23.855371012424573 -12.493346266848487 -0.6039748336157994  3.6676372466525455 -0.4684498824172727, 0.53680944442749023 0.039718702435493469  0.21529912948608398, 0.52524673938751221 -0.51413840055465698  0.48755696415901184  0.47123852372169495,-0.014403377659618855 -0.028622794896364212  0.018345361575484276,0.0081293638795614243  -0.82387739419937134 -0.014259578660130501,  0.24801620841026306 -0.015584350563585758  0.065741054713726044 -0.015584350563585758   0.23591651022434235  0.023719698190689087  0.065741054713726044  0.023719698190689087   0.18153682351112366,  0.55987422165948431  -0.45996076655363538   0.90074895638370123   0.44373248934537202 -0.077616328729490647   0.14687197639151606                     0,0.033738728612661362
IIWA_14,1715785418.6600351, 0.56386101754882989   1.0722258459233074 -0.14132121586985635  -1.4717373003581575  -1.0696125898070203   1.6741516979334963 -0.58118553291341024,  -0.006743109233524858 -0.00030340062833703724   -0.088752426909336657   -0.072602684084381752 -0.00023585457229380731      0.1462342738972752 -0.00015451234560439576, 14.927879852294923  62.833925704956059  14.137474361419677 -7.1218350448608403 0.81258604049682615  -3.335180522918701 0.51865010833740233,  -30.29630577751659   6.9493440099688248  -23.299228129151931  -12.156905599535765 -0.63768130852773708    3.296742617951137 -0.43228176659697931, 0.53652381896972656 0.039295826107263565  0.21561810374259949,0.52457982301712036 -0.5139312744140625 0.48770764470100403 0.47205072641372681,-0.022962827235460281 -0.039748538285493851  0.027462845668196678,0.0083220908418297768  -0.82387810945510864 -0.014519738033413887,  0.24802307784557343 -0.015571935102343559  0.065746799111366272 -0.015571935102343559   0.23595915734767914  0.023696145042777061  0.065746799111366272  0.023696145042777061   0.18148811161518097,   0.55922636759930811   -0.45930813935513015    0.89962731968729059    0.44309682960008701  -0.077667152710958476    0.14309379293475644 8.8817841970012523e-13,0.048879094421863556
IIWA_14,1715785418.6651025, 0.56384328085847268   1.0722173371159547  -0.1424429991939723  -1.4726849529463835  -1.0696122063581837    1.676251573806073 -0.58118583245554312, -0.0061039550011081373 -0.00058307279677774471    -0.11587327449210708   -0.095988250796542746  -0.0001733457043677366     0.20098245402089066 -0.00013559156179853779, 13.346100715637208  63.060261581420903  14.167047855377197 -6.9040665893554687 0.91999177932739251 -3.8304680137634279 0.52232137680053714, -29.751494419351658   6.8504767340379615  -22.622600643752534   -11.74411782199029 -0.67830651790142338   2.8156378798787225 -0.38726378085599289, 0.53613543510437012 0.038780771195888519  0.21604789793491364, 0.52369767427444458 -0.51364988088607788  0.48791065812110901  0.47312545776367188,-0.033930003643035889 -0.052276428788900375  0.039212197065353394,0.0085316644981503487  -0.82387953996658325 -0.014878637157380581,  0.24803417921066284 -0.015560740604996681  0.065751723945140839 -0.015560740604996681   0.23601087927818298  0.023674953728914261  0.065751723945140839  0.023674953728914261   0.18142572045326233,    0.55857993467167688    -0.45868378664337683      0.8985181254592689     0.44248078970010596   -0.077716799320448615     0.13810228090793686 -1.7763568394002505e-12,0.067280396819114685
