DesiredFlux,0.501,HitTime,1715786243.1733158,DesiredPos,  0.538413405418396   0.305492103099823 0.21990424394607544
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715786242.35483,-0.48259383125569577   1.1390112348519335 0.018754592884186981  -1.2987004924465682  -1.9673703398042124  -1.9032704239166658 -0.91228971325130737,-0.00017610655181378568 -3.3911053755001104e-06 -9.9392347449179751e-05 -4.0523956976852334e-05 -3.7700005962663109e-06  2.6996311839732798e-05 -3.1295017016043418e-05, -0.2554074478149414   64.821066005706783  -1.9174565505981445  -15.324686031341553  -1.1083920097351074   1.7281661911010742 -0.20692604064941406, -0.1815450099417763  -3.8432836434861311  0.33612890346450397   0.1317160900998704  0.48583807594791262 -0.11061597265138171 -0.54516447209664487,  0.54587966203689575 -0.051561623811721802   0.20883949100971222,  -0.69731181859970093 -0.0093126650899648666   0.016986854374408722    0.71650606393814087,-2.6519708626437932e-05 -0.00013436266453936696 -2.5590601580915973e-05,-0.0032369764521718025    0.54721575975418091  0.0047968192957341671,  0.24883054196834564  0.029891069978475571  0.064249537885189056  0.029891069978475571   0.23077018558979034 -0.024162488058209419  0.064249537885189056 -0.024162488058209419   0.18535606563091278,   -1.1226138882571846   -0.42115361005468088    -1.1927517513772301    0.73818570193928679    0.55176621527763814   0.089823836685987146 2.6214116211065175e-05,0.00012755114585161209
IIWA_7,1715786242.359776,-0.48259419079352167   1.1390111149696303 0.018753514379792328   -1.298700672215481  -1.9673702439856364  -1.9032703041434458 -0.91228983313361034,-0.00015526675448703886 -7.5081764282239022e-06 -0.00012265405374544877 -3.9609922096156361e-05   8.167425614879586e-07  2.6387978272132945e-05 -2.9831305731776765e-05,-0.25137469863891604   64.823754505157467  -1.9130546760559082  -15.321164531707764  -1.1057508850097657   1.7295011978149415 -0.20692604064941406,-0.17587272214569169  -3.8452316254692223  0.34063391001286314  0.12975381179966744  0.48581441188942448 -0.11239231052358065 -0.54516834304083361,   0.5458795428276062 -0.051562178879976273   0.20883934199810028,  -0.69731199741363525 -0.0093122301623225212   0.016986565664410591    0.71650588512420654,-2.4971181119326502e-05 -0.00012967472139280289 -2.6122133931494318e-05,-0.0032368875108659267    0.54721575975418091  0.0047968346625566483,    0.248830646276474  0.029891062527894974  0.064249485731124878  0.029891062527894974   0.23077011108398438 -0.024162573739886284  0.064249485731124878 -0.024162573739886284   0.18535605072975159,   -1.1226143617859563   -0.42115592329672324    -1.1927546939807243    0.73818739458442195    0.55176529213962766   0.089821344442242435 2.6213633930183278e-05,0.00012323993723839521
IIWA_7,1715786242.3647797,-0.48259461021795752   1.1390111149696303  0.01875261553522755   -1.298700791988701  -1.9673702439856364  -1.9032703041434458 -0.91229001290252332,-0.00014099038102359431 -6.0065411425791219e-06 -0.00013407702558749504 -3.6478866477271794e-05  6.5339404919036692e-07  2.1110382617706357e-05 -3.1055801104536799e-05,-0.23389945220947267   64.843918251037593  -1.9077724266052245  -15.322925281524657  -1.1066312599182129   1.7281661911010742 -0.20859479904174805,  13.396775431801366  0.45050918293794434   7.6103734844803359  -2.7166262542027728  0.66756680030326332   2.2200489703056787 -0.54517225585571616,  0.54587942361831665 -0.051562674343585968   0.20883916318416595,  -0.69731223583221436 -0.0093118445947766304   0.016986344009637833    0.71650570631027222,-2.4064926037681289e-05 -0.00012358403182588518 -2.8398388167261146e-05,-0.003236901480704546   0.54721575975418091 0.0047969836741685867,  0.24883073568344116  0.029891064390540123  0.064249426126480103  0.029891064390540123    0.2307700514793396 -0.024162653833627701  0.064249426126480103 -0.024162653833627701   0.18535603582859039,   -1.1226150515222244   -0.42115799360242789    -1.1927576272654505    0.73818878895615114    0.55176457578376414   0.089819023949999632 2.6213176518297132e-05,0.00011816099868156016
IIWA_7,1715786242.3697982,-0.48259437056243465   1.1390111149696303 0.018751896459575729   -1.298700911871004  -1.9673703398042124  -1.9032701842611428 -0.91229001290252332,-0.00010320608390402761 -4.8052329140632979e-06 -0.00013602464654284934  -3.397838530075947e-05 -3.3100277991487138e-06  2.1683598213107115e-05 -2.4844640883629441e-05,-0.21507995605468749   64.865426246643068  -1.8936864280700683  -15.328207530975341  -1.1048705101013183   1.7305024528503419 -0.20859479904174805,  13.396650889496684  0.45047131304318522   7.6105538966085087  -2.7166211611515214  0.66754253695241106   2.2199892739679634 -0.54518126351088314,  0.54587936401367188 -0.051563214510679245   0.20883898437023163,  -0.69731253385543823 -0.0093113752081990242   0.016986129805445671    0.71650540828704834,-2.3341781343333423e-05 -0.00012034856626996771  -2.984655111504253e-05,-0.0032368670217692852    0.54721570014953613  0.0047970740124583244,  0.24883085489273071  0.029891083016991615  0.064249351620674133  0.029891083016991615   0.23076996207237244 -0.024162756279110909  0.064249351620674133 -0.024162756279110909   0.18535600602626801,   -1.1226166236433244   -0.42116038621653473    -1.1927618929465922    0.73819026857080416    0.55176389668698533   0.089816330065772831 2.6212631176747436e-05,0.00011550976341823116
IIWA_7,1715786242.3747993,-0.48256836482933069   1.1390199833148089 0.018776643919372071  -1.2987122968718809  -1.9673697645436909  -1.9032432197968641 -0.91229013278482629, 0.00095766445703525935  0.00035088962081509509  0.00088107867461939798 -0.00048258274331820978  2.0362398618297539e-05   0.0010959254497202766 -2.4671004825845583e-05,-0.37235717391967771   64.737722522735595  -2.2643242645263673  -15.195270919799805  -1.1180761337280274    1.625036922454834 -0.20659228897094725, 13.396529427943062 0.45041016954586366  7.6106474197199399 -2.7165867326363222 0.66754586655051951  2.2199595098326999 -0.5451882059210158,  0.54587924480438232 -0.051563724875450134   0.20883879065513611,  -0.69731277227401733 -0.0093109812587499619   0.016985954716801643    0.71650516986846924,-2.3583621441503055e-05 -0.00011677233123918995  -3.135644510621205e-05,-0.0032368379179388285    0.54721575975418091   0.004797185305505991,  0.24883095920085907  0.029891099780797958  0.064249277114868164  0.029891099780797958   0.23076988756656647 -0.024162851274013519  0.064249277114868164 -0.024162851274013519   0.18535597622394562,   -1.1226180548620235   -0.42116266199343499    -1.1927657080388343    0.73819180161027731    0.55176338687523696   0.089814145104227805 2.6212197745678623e-05,0.00011277737212367356
IIWA_7,1715786242.3798294, -0.4822183055593382   1.1390769084282766 0.018996434541072655  -1.2988183572580323  -1.9673698605367997  -1.9029772897601409 -0.91229043232695917,   0.014768502365327667   0.0025577162353586824   0.0094964878077188914  -0.0046284816407086496  1.2450194542831793e-05    0.011513941828702216 -3.1718489175697667e-05,  -6.883902843475342    62.76705242538452  -5.5217114257812501  -13.718882198333739    -1.02387601852417   1.3106428413391114 -0.20025100708007812, 13.395944786508394 0.45031607449683492  7.6104858979478696 -2.7164781019649826 0.66759849286241468  2.2199750328783803 -0.5452136921186107,  0.54587912559509277 -0.051563818007707596   0.20883861184120178,  -0.69731301069259644 -0.0093107987195253372   0.016986086964607239    0.71650493144989014,-2.1865931557840668e-05 -9.7080184787046164e-05 -3.2596617529634386e-05,-0.0032368376851081848    0.54721570014953613  0.0047971848398447037,  0.24883101880550385    0.0298911202698946  0.064249232411384583    0.0298911202698946   0.23076985776424408 -0.024162888526916504  0.064249232411384583 -0.024162888526916504   0.18535596132278442,   -1.1226190554065596   -0.42116318402296571    -1.1927674682956635     0.7381917804929472    0.55176351984709271   0.089813468179933409 2.6212020109994683e-05,9.5865769253578037e-05
IIWA_7,1715786242.3848238,-0.48182905797531839   1.1390489851237402 0.019132455576412973  -1.2988764208715875  -1.9673609441732502  -1.9024835997101863 -0.91229193036487277,   0.027384705253054691  0.00092924080683169132    0.013038031659787815  -0.0060253298547750696  0.00036661469761401611    0.028958755461145257 -8.5296307884772762e-05, -12.014904045104981   63.413636543273924  -7.7261701965332028  -13.933693675994872 -0.81170566558837887   1.3837344589233398 -0.21059730911254881,   13.37169676471145  0.43842415216309216   7.5958616875300722  -2.7089713761806098  0.67139016767460213   2.2169298325562021 -0.54669878451903386,  0.54588216543197632 -0.051538940519094467   0.20883223414421082,  -0.69730997085571289 -0.0093153081834316254   0.016995569691061974    0.71650761365890503, 0.00010327577911084518    0.000917311932425946 -0.00028129620477557182,-0.0032368197571486235    0.54721570014953613  0.0047974348999559879,   0.2488299161195755  0.029888283461332321  0.064250610768795013  0.029888283461332321   0.23077347874641418 -0.024158796295523643  0.064250610768795013 -0.024158796295523643   0.18535417318344116,    -1.122477187364801   -0.42105802525060909     -1.192565530399925    0.73808610489312088    0.55175602840051852   0.089861296563853443 2.6221067983556168e-05,0.00088346342090517282
IIWA_7,1715786242.3898008,-0.48149607631572433   1.1390321472779477 0.019258769308619854  -1.2989650442185976  -1.9673701481670605  -1.9017493861632635  -0.9122925295582216,   0.035227030586205993  6.9878813763797664e-05    0.015482974616105507  -0.0083651977642239458 -7.4867994317346016e-05    0.052535546245829165 -9.2204780260896814e-05, -14.899663955688476   63.013050125122071  -8.3424326324462896  -14.737475967407226  -1.2554146194458007   0.8737618942260742 -0.20091851043701173,  13.087425751577412  0.34057805521240753   7.4381934253253634  -2.6412507558260896   0.7073764494826299   2.1966883514538247 -0.55663868133998884,  0.54591900110244751 -0.051253378391265869   0.20878037810325623,  -0.69729405641555786 -0.0093971332535147667   0.017113795503973961    0.71651923656463623, 0.0015539231244474649    0.01215705182403326 -0.0022985558025538921,-0.0032367950771003962    0.54721641540527344  0.0047975527122616768,  0.24881105124950409  0.029864819720387459   0.06426645815372467  0.029864819720387459   0.23081251978874207 -0.024114033207297325   0.06426645815372467 -0.024114033207297325   0.18534107506275177,   -1.1212160752789302   -0.41985837369917789    -1.1905352249454992    0.73689531828069477    0.55178952501577783   0.090479732063108997 2.6334289415785861e-05,0.011415687389671803
IIWA_7,1715786242.3948021,-0.48125453420097153   1.1390172868901978 0.019411987618495462  -1.2991231160709569  -1.9673606565429895    -1.90074798430631 -0.91229294909174052,   0.037843309059076874 -0.00053851245898468901    0.018515112087908722   -0.013015032305750202  0.00031977056738349038    0.082084511274804178 -9.0545164965716903e-05, -14.020524635314942   63.285932819366458  -7.7393758201599123  -14.187241649627685 -0.64707555770874026   1.2392199821472167 -0.23329242324829103,  12.882056238697141  0.30375344460837311    7.359292837325623  -2.6586136056674907  0.71942041637251219   2.1118191336068035 -0.55137972222405818, 0.54600733518600464 -0.05098390206694603  0.20872204005718231, -0.69738876819610596 -0.009459199383854866  0.017151769250631332   0.71642529964447021, 0.0047672870568931103   0.020506734028458595 -0.0041716159321367741,-0.0032401522621512413    0.54722410440444946   0.004803340882062912,  0.24878303706645966  0.029838025569915771  0.064286082983016968  0.029838025569915771   0.23084338009357452 -0.024067169055342674  0.064286082983016968 -0.024067169055342674   0.18534688651561737,   -1.1199102324539467   -0.41862163477368597    -1.1885484227081022    0.73563928872122375    0.55163284691062131   0.090518491128399603 2.6325684743255806e-05,0.019648589193820953
IIWA_7,1715786242.3997562,-0.48103246657909554   1.1390116542763693 0.019650114123902107  -1.2992898766086649  -1.9673645873735308   -1.899456444368659  -0.9122940275961352,   0.039157352122301009 -0.00065611452032637895    0.024337149886592791   -0.017082447352921474     9.8583232255283e-05     0.11732920652588195 -0.00011557630775978872, -11.067207988739014   62.658168197631838  -7.8203703117370607  -14.102725658416748  -1.2395678710937499   1.2011722908020019 -0.20992980575561523,  12.771931910019006  0.20893029825886983   7.3670887441518165  -2.6771516716446615  0.74996541206913903   1.9596547848540644 -0.55622816285997045, 0.54611271619796753 -0.05074102059006691  0.20860514044761658,  -0.69755250215530396 -0.0094373114407062531   0.017137454822659492    0.71626657247543335, 0.0080206934362649918   0.026122234761714935 -0.0080130761489272118,-0.0032744160853326321    0.54722964763641357  0.0048529342748224735,  0.24876444041728973  0.029795754700899124  0.064303115010261536  0.029795754700899124   0.23087103664875031 -0.024019034579396248  0.064303115010261536 -0.024019034579396248   0.18535058200359344,   -1.1180557619301368   -0.41742054075744051    -1.1862855395365912     0.7343102773713639    0.55116470668181705   0.089984684874977461 2.6200839720047497e-05,0.026069078594446182
