DesiredFlux,0.77,HitTime,1714565903.1800835,DesiredPos, 0.5672261118888855 0.29684406518936157 0.21918380260467529
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714565902.5993693,-0.48405111300418713   1.1323995380006233 0.018111159911229829  -1.2572619188696454   -1.962067464049976  -1.9055275329018131  -0.8886353700733679,-6.8630425804145712e-05  7.5130013974915677e-06 -0.00055961796023936122  6.1584973012666162e-06  -0.0022260123248947833 -1.1677033878123287e-06  0.00068794457644009814, 0.41671741485595704   65.771450561523437  -1.7783573150634766  -16.462130413055419 -0.95696752548217767   1.8052628288269044 -0.24964625549316405, 0.32115933391324059  0.95680928853148572 -0.25446883645435864  -2.3287123448845617 -0.42821688015571679  0.23433418956537883  0.46417259698925939,  0.55799961090087891 -0.058709967881441116   0.21960040926933289,  -0.7040412425994873 -0.014839006587862968  0.008349158801138401   0.70995497703552246,-0.00040241851820610464 -0.00019656798394862562  -0.0003928185033146292,  0.0052988417446613312      1.1071646213531494 -0.00024309082073159516,  0.24372017383575439  0.031919941306114197   0.06648668646812439  0.031919941306114197   0.22866474092006683 -0.024122282862663269   0.06648668646812439 -0.024122282862663269    0.1911342442035675,   -1.2208845029473281   -0.42928380410600653    -1.2509126888593514    0.79853812380648037    0.56201059910421236   0.056312153198234682 1.8195363438167078e-05,0.00041430280543863773
IIWA_7,1714565902.604346,-0.48405147254201303   1.1323996577738433 0.018107444759750804  -1.2572619788653385  -1.9620788730927634  -1.9055275329018131 -0.88863303307749952,-6.9285853679326893e-05  1.0801329918339959e-05 -0.00059630042735249402  2.5269701178037246e-06  -0.0022371715714119269   -9.34162710249863e-07  0.00064383549588725578, 0.38848817062377927   65.810433803558354  -1.7924433135986328  -16.455967788696288 -0.95696752548217767   1.8082665939331055 -0.24931250381469727,  32.976823038698093   3.2157866348012458   11.618454588092664  -7.6950239321843839   4.7900886781221921  -1.3061829094652895 -0.80349822672455429, 0.55799734592437744 -0.05871158093214035  0.21959802508354187,  -0.7040446400642395 -0.014838255941867828 0.0083543490618467331   0.70995151996612549,-0.00041308638174086809 -0.00022168240684550256 -0.00040949828689917922,  0.0053012529388070107       1.107164740562439 -0.00024203440989367664,  0.24372020363807678  0.031920440495014191  0.066486217081546783  0.031920440495014191   0.22866480052471161 -0.024122497066855431  0.066486217081546783 -0.024122497066855431   0.19113408029079437,   -1.2209026777698639   -0.42928795612340309    -1.2509260587725279    0.79853897742498958    0.56202150353001912   0.056317948562423226 1.8194850959218911e-05,0.0004329061193857342
IIWA_7,1714565902.609375,-0.48405189196644888   1.1323996577738433 0.018103370179528944  -1.2572620986385583  -1.9620905697658115  -1.9055275329018131 -0.88863195457310484,-7.2205660377424745e-05  8.6410639346719682e-06 -0.00064002355075639067 -2.7693526972219416e-06  -0.0022576041790544504 -7.4733016819989044e-07  0.00055820857249701988, 0.36160317611694337   65.814466552734373  -1.7880414390563966  -16.461250038146972 -0.96401052474975579   1.8096016006469726 -0.24730999374389648,  32.976573307934878   3.2151155155822289   11.620385781258312   -7.694701566870326   4.7919337009377561  -1.3068414463514855 -0.80422835718181096,  0.55799287557601929 -0.058714497834444046   0.21959342062473297, -0.70405161380767822 -0.014837418682873249 0.0083644799888134003   0.70994448661804199,-0.00042569293873384595 -0.00024699352798052132 -0.00042843175469897687,  0.0053037996403872967       1.107164740562439 -0.00024082632444333285,  0.24372020363807678  0.031921476125717163  0.066485278308391571  0.031921476125717163   0.22866496443748474 -0.024122897535562515  0.066485278308391571 -0.024122897535562515   0.19113379716873169,   -1.2209406608310047   -0.42929499907717883    -1.2509531435656029     0.7985393798648488    0.56204414179461537   0.056330447809394002 1.8194007189720196e-05,0.0004537983622867614
IIWA_7,1714565902.6143265,-0.48402552669551901   1.1324044515388001 0.018130154874894677  -1.2572836103670046  -1.9620873100143674  -1.9055447901720415 -0.88864357922950465, 0.00099684630889255196  0.00019866344941843887  0.00055936897402417509 -0.00086268462001109223  -0.0016756932854792867 -0.00069088867327007854 -1.8419397994834125e-05, 0.15862146759033202   65.755319564819331  -2.2511186408996582  -16.188333816528321  -1.1717790031433106   1.8793557014465332 -0.21660483932495117,  32.976573307934878   3.2151155155822289   11.620385781258312   -7.694701566870326   4.7919337009377561  -1.3068414463514855 -0.80422835718181096,  0.55799287557601929 -0.058714497834444046   0.21959342062473297, -0.70405161380767822 -0.014837418682873249 0.0083644799888134003   0.70994448661804199,-0.00042569293873384595 -0.00024699352798052132 -0.00042843175469897687,  0.0053064208477735519      1.1071649789810181 -0.00023960224643815309,  0.24372020363807678  0.031921476125717163  0.066485278308391571  0.031921476125717163   0.22866496443748474 -0.024122897535562515  0.066485278308391571 -0.024122897535562515   0.19113379716873169,   -1.2209406608310047   -0.42929499907717883    -1.2509531435656029     0.7985393798648488    0.56204414179461537   0.056330447809394002 1.8194007189720196e-05,0.0004537983622867614
IIWA_7,1714565902.6193461,-0.48361021338270221   1.1324272215405538 0.018558231344199014  -1.2574628344099841  -1.9619048621955433  -1.9056739202111626 -0.88873669669025557,  0.017410009559786072  0.0010697308296810737   0.017570553951392856 -0.0078591094151861211  0.0059573581245825555 -0.0057179125034589658 -0.0037394339484323998, -7.7993369064331057   63.990319675445555  -7.8142076873779294  -13.789312191009522   -1.541536464691162   2.1650471382141112 -0.29203271865844727,   32.97658075920269   3.2150704651838748   11.620406757667533  -7.6946588015549002   4.7919634942146008  -1.3068334558526034 -0.80422835718181096,  0.55799287557601929 -0.058714497834444046   0.21959342062473297, -0.70405161380767822 -0.014837418682873249 0.0083644799888134003   0.70994448661804199,-0.00042569293873384595 -0.00024699352798052132 -0.00042843175469897687,  0.0053091105073690414      1.1071650981903076 -0.00023829331621527672,  0.24372020363807678  0.031921476125717163  0.066485278308391571  0.031921476125717163   0.22866496443748474 -0.024122897535562515  0.066485278308391571 -0.024122897535562515   0.19113379716873169,   -1.2209406608310047   -0.42929499907717883    -1.2509531435656029     0.7985393798648488    0.56204414179461537   0.056330447809394002 1.8194007189720196e-05,0.0004537983622867614
IIWA_7,1714565902.6243427,-0.48316224310516825   1.1324060693499336 0.018853702496592264  -1.2576274378298198  -1.9615824386216432  -1.9057865718332341 -0.88880674449803665,   0.03184681874918726 9.6970389386569038e-06   0.025875289256844257  -0.012871424325577183   0.017662829455670454 -0.0090803948856281562 -0.0057934594699891907,-15.184644897460938  63.781960968017579 -9.8373092269897455 -14.049903163909912 -1.5529813385009765  1.7441862716674805 -0.1491870002746582,  32.514346042701156   3.2857850124496966   11.208567653903554  -7.6224418069929918   4.7334083610624784  -1.1281156523257923 -0.77840301945208012,  0.55800533294677734 -0.058289147913455963   0.21968185901641846, -0.70380312204360962 -0.015101752243936062 0.0085234604775905609   0.71018338203430176,0.0003438926360104233  0.016695354133844376  0.003333753440529108,  0.0053144269622862339      1.1071650981903076 -0.00023576620151288807,  0.24368566274642944  0.031904049217700958  0.066514715552330017  0.031904049217700958   0.22872695326805115 -0.024067392572760582  0.066514715552330017 -0.024067392572760582   0.19111309945583344,   -1.2196113453519786   -0.42772166151561208    -1.2484335401268254    0.79707867532263776    0.56239228184207235    0.05823613192479371 1.8608618645998831e-05,0.011841636151075363
IIWA_7,1714565902.6293442,-0.48279774287186172   1.1324049308498458 0.019163974041042423  -1.2579363911052692  -1.9609780501257663  -1.9059490780218071 -0.88896170050134871,   0.040057464331611031 -3.7782372359499231e-05     0.03311109318348178   -0.022655270478439418      0.0383058033996104   -0.013764563451424636   -0.010833007708473622,  -18.158125289916992    63.382718799591068   -11.086561222076416   -13.305105991363526   -1.9702790451049805    2.2094361114501955 -0.029370147705078124, 32.197051920176818  3.3810691894421265  10.927038154319757  -7.607987542038857  4.6452113223147542 -1.0002522736183601 -0.7500364783141118,  0.55805069208145142 -0.057918690145015717   0.21978698670864105, -0.70359146595001221 -0.015306626446545124  0.008608352392911911   0.71038764715194702,0.0020754935685545206   0.02817239984869957 0.0068739983253180981,  0.0053144269622862339      1.1071650981903076 -0.00023576620151288807,  0.24365797638893127  0.031889468431472778  0.066541947424411774  0.031889468431472778   0.22877208888530731 -0.024022109806537628  0.066541947424411774 -0.024022109806537628   0.19110220670700073,   -1.2185720655111254   -0.42638913996118077    -1.2465003149761955    0.79583222561119271    0.56258256526664496   0.059640386398385203 1.8922766464868346e-05,0.020216329023241997
IIWA_7,1714565902.6343687,-0.48251569417408091   1.1323963621558832 0.019540398581964772  -1.2583682426126626  -1.9601028182949725  -1.9061686888745948 -0.88920593893162969,   0.043327919376521321 -0.00037297365639144681    0.041545856183679376   -0.035398276678484844    0.065653915951442501   -0.019796084872645912   -0.018435943378018307, -18.757660667419433   62.785871921539304  -9.0819475555419924  -12.992572898864745   -1.312638988494873   1.8950420303344726 -0.14418072509765625, 32.197051920176818  3.3810691894421265  10.927038154319757  -7.607987542038857  4.6452113223147542 -1.0002522736183601 -0.7500364783141118,  0.55805069208145142 -0.057918690145015717   0.21978698670864105, -0.70359146595001221 -0.015306626446545124  0.008608352392911911   0.71038764715194702,0.0020754935685545206   0.02817239984869957 0.0068739983253180981,  0.0053148660808801651      1.1072564125061035 -0.00023578567197546363,  0.24365797638893127  0.031889468431472778  0.066541947424411774  0.031889468431472778   0.22877208888530731 -0.024022109806537628  0.066541947424411774 -0.024022109806537628   0.19110220670700073,   -1.2185720655111254   -0.42638913996118077    -1.2465003149761955    0.79583222561119271    0.56258256526664496   0.059640386398385203 1.8922766464868346e-05,0.020216329023241997
IIWA_7,1714565902.6393428,-0.48227696836624234   1.1323818611968761 0.020081306551336647  -1.2589340179241337  -1.9589535790218604  -1.9065086214170179  -0.8895259177792133,   0.044211367814759817 -0.00087841728539813095     0.05487300372181849   -0.050949633801634787    0.098492703685636285   -0.029434169595042699   -0.027547908605759164, -15.043498676300048   61.523621429443359  -10.091737575531006  -12.842028789520263  -1.8258975601196288   2.0328814735412597 -0.15519453048706056,  31.995762762374156   3.4643660286219924   10.676199523084762  -7.5887501571726119   4.5073202429570856 -0.86582409373010494 -0.71839775618493729,  0.55809247493743896 -0.057568211108446121    0.2199094295501709, -0.70327472686767578 -0.015435073524713516 0.0085921576246619225   0.71069866418838501,0.0033145884517580271   0.03655054047703743  0.010400676168501377,  0.0053028063848614693      1.1073230504989624 -0.00028642878169193864, 0.24366128444671631 0.031859166920185089 0.066566705703735352 0.031859166920185089    0.228811115026474 -0.02398565411567688 0.066566705703735352 -0.02398565411567688  0.19107270240783691,   -1.2169988740700077   -0.42530591934397677    -1.2446006548731958    0.79467975087954557    0.56240590404232904   0.060774894722115391 1.9227683445421917e-05,0.026523791253566742
IIWA_7,1714565902.6443658,-0.48195866732548531   1.1323459685008088 0.020733248331646505  -1.2596213132028551  -1.9575684902653336  -1.9069213581875266 -0.88998569259114313,  0.048101135882089044 -0.0021384416710103736   0.069976074189849108  -0.068251518190162064    0.13419771320957963  -0.040056806496381422  -0.040429319361800331, -13.586331974029541   61.234607738494873  -9.9482364654541016  -12.415046958923339  -1.9333032989501953   2.0756016883850097 -0.15352577209472656,  31.872041262901888   3.5861361073764839   10.409181019529271  -7.5883897760582579    4.312157166951387 -0.71214422402589816 -0.67479876372220615,  0.55814027786254883 -0.057224757969379425   0.22007638216018677, -0.70284658670425415  -0.01552276685833931 0.0084640299901366234   0.71112167835235596,0.0045417891815304756  0.042962502688169479  0.015004620887339115,  0.0052517801523208618      1.1073232889175415 -0.00034524744842201471,  0.24368526041507721  0.031814411282539368  0.066593445837497711  0.031814411282539368   0.22884629666805267 -0.023953899741172791  0.066593445837497711 -0.023953899741172791   0.19103166460990906,   -1.2149162577896888   -0.42438911149478287    -1.2426248391417261      0.793599679076884    0.56189642821546926   0.061724672526963786 1.9539246665090104e-05,0.031798150390386581
