DesiredFlux,0.79,HitTime,1714565979.240083,DesiredPos,0.56841003894805908  0.2925143837928772 0.21907371282577515
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714565978.6755731,-0.48500146212610745   1.1395713775495762 0.020494882170716943   -1.274730245001267  -1.9558238746784706  -1.8933204013348133 -0.90469752707814122, 2.7032953647265629e-05  3.4130283285590795e-06 -0.00060112979577375163  9.2557413058106804e-05 -5.6088288081470999e-06 -2.8598805790245302e-05  3.7897461802759037e-06, 0.51350339508056642   65.298274658203127  -1.8126919364929199  -16.199778690338135  -1.1392051315307616   1.8840282249450684 -0.22995490646362304,  0.22624506213010659   -2.0421685946579182   0.24306646416200703  -0.64618444723500679 -0.010092834041008067  -0.37951983912311582   0.32652033336093861,  0.55559611320495605 -0.055522020906209946   0.21223162114620209,  -0.70126789808273315 -0.0096070310100913048  0.0049703125841915607    0.71281576156616211,-4.0357168472837657e-05 -0.00023715828137937933 -0.00011505572911119089, 0.012757891789078712    1.1369972229003906 0.0068116164766252041,   0.2466328889131546  0.029791506007313728   0.06577688455581665  0.029791506007313728   0.22942720353603363 -0.023954128846526146   0.06577688455581665 -0.023954128846526146    0.1882978081703186,   -1.1319961317575178    -0.4242553215139111    -1.1977649285324077    0.76910712067324027    0.53362897354780614   0.039874316849264346 1.7093701565329411e-05,0.00018526770872995257
IIWA_7,1714565978.6805763,-0.48500110258828155    1.139571257667273  0.02049302459497743   -1.274729885463441  -1.9558239704970466  -1.8933205212171165 -0.90469746719153121, 3.6007875953822819e-05 -2.0648694649765499e-06 -0.00055520686619950376  8.8427443484716207e-05 -8.3198060850186867e-06 -2.7674336760020057e-05  5.4272613443940754e-06, 0.51484764480590817   65.309028656005864   -1.816213436126709  -16.201539440155027   -1.140085506439209   1.8826932182312011 -0.23262491989135742,  0.22547128142961728   -2.0416702082140135   0.24225672370909099  -0.64625593272100401 -0.010233127692464858  -0.37935668044100967   0.32657261449330227,  0.55559611320495605 -0.055522684007883072    0.2122313380241394,  -0.70126849412918091 -0.0096067218109965324  0.0049702450633049011    0.71281516551971436,-3.2249805371975526e-05  -0.0002162924938602373 -0.00010335128899896517, 0.012758433818817139     1.136996865272522 0.0068122111260890961,  0.24663296341896057  0.029791621491312981  0.065776795148849487  0.029791621491312981   0.22942705452442169 -0.023954272270202637  0.065776795148849487 -0.023954272270202637   0.18829783797264099,    -1.132001998131571   -0.42425818024849349    -1.1977727002667748    0.76910984187517073    0.53362959073144367    0.03987164263374865 1.7093114479393989e-05,0.0001680449495324865
IIWA_7,1714565978.6855328,-0.48500062316815268    1.139571257667273 0.020491406674760831  -1.2747295858122252  -1.9558239704970466  -1.8933207009860293 -0.90469746719153121,   4.79831059180106e-05   -1.65189557198124e-06 -0.00050888230162359242  8.2728003421389485e-05 -6.6558448680149497e-06 -2.9330225922690537e-05  4.3418090755152608e-06, 0.50409364700317383   65.310372905731199  -1.8109311866760254  -16.207702064514159  -1.1392051315307616    1.884695728302002 -0.23229116821289061,  34.278445452215557   2.9789052782825678   12.214849894277719  -7.6157484306462582   4.2119606874011737  -1.4226543705343002 -0.93592743578724691,  0.55559611320495605 -0.055523339658975601   0.21223096549510956,  -0.70126920938491821 -0.0096063166856765747  0.0049702445976436138    0.71281450986862183,-2.5988161723944359e-05 -0.00019920388876926154 -9.7574607934802771e-05, 0.012758686207234859    1.1369967460632324 0.0068125957623124123,  0.24663306772708893  0.029791723936796188  0.065776705741882324  0.029791723936796188   0.22942690551280975 -0.023954406380653381  0.065776705741882324 -0.023954406380653381   0.18829786777496338,   -1.1320073033518341   -0.42426087242564137    -1.1977799513109844    0.76911223309839016    0.53363006166051719   0.039868611131588239 1.7092421700226623e-05,0.00015516330313403159
IIWA_7,1714565978.6905756,-0.48497252020378628   1.1395819237015812 0.020521067672733848  -1.2747556515410221  -1.9558120821868465  -1.8933323856381221 -0.90471118907919346,  0.0011625050593901832  0.00042531985587103275  0.00077933407762182695 -0.00097644674914013855   0.0004702077321074988 -0.00049085026444937118 -0.00054540205922933103, 0.29170219039916995   65.174603683471673  -2.2792906379699707  -15.874039974212646  -1.3029548645019531   1.9427685203552245 -0.19924975204467774, 34.277965215075596  2.9792646897535149  12.214293943444003 -7.6158006972637464  4.2119515974113213 -1.4225937743364558  -0.935927609943497,  0.55559605360031128 -0.055523820221424103   0.21223074197769165,  -0.70126980543136597 -0.0096060549840331078  0.0049703116528689861    0.71281391382217407,-2.2742557121091522e-05 -0.00017858507635537535 -8.7163491116371006e-05, 0.012758824042975903    1.1369965076446533 0.0068129505962133408,   0.2466331273317337  0.029791828244924545  0.065776623785495758  0.029791828244924545    0.2294268012046814 -0.023954518139362335  0.065776623785495758 -0.023954518139362335   0.18829789757728577,   -1.1320123279423555   -0.42426295322339769    -1.1977863957479684    0.76911385138700439    0.53363076031054391   0.039866551412970352 1.7091909221278456e-05,0.00013896411110181361
IIWA_7,1714565978.6955781,-0.48454270593196236   1.1396643152414139 0.020961967294218745  -1.2749453618493969   -1.955670860092152  -1.8934447377180608 -0.90481197638934219,  0.018122574920469148   0.003635917478004568   0.018259452121493314 -0.0083695697343033008  0.0060250499734692759 -0.0048867634091054584 -0.0044678140533327085, -8.1152355918884282   62.080140815734865  -7.8238918113708493  -12.792727794647217  -1.4138821029663087   2.2678426551818847 -0.29570398712158202,  34.277422163396267   2.9795199303941553   12.213711779616684  -7.6157895678179672   4.2119430431343963  -1.4225066965115878 -0.93592932076531943,  0.55559605360031128 -0.055524136871099472   0.21223051846027374,  -0.70127028226852417 -0.0096058705821633339  0.0049704331904649734    0.71281343698501587,-2.0001321900053881e-05 -0.00015560418250970542 -7.8905024565756321e-05, 0.012759005650877953    1.1369965076446533 0.0068134190514683723,  0.24663320183753967  0.029791917651891708  0.065776556730270386  0.029791917651891708   0.22942671179771423 -0.023954607546329498  0.065776556730270386 -0.023954607546329498   0.18829789757728577,   -1.1320165339157029   -0.42426445455845396    -1.1977916242713604    0.76911497858489497    0.53363150937268955   0.039865224268353927 1.7091577042549488e-05,0.00012200597120681778
IIWA_7,1714565978.7005768,-0.48407639977072231   1.1396499940513198 0.021274336179014412  -1.2750802442755664  -1.9554081658740452  -1.8935899266407126 -0.90490329616096354,  0.033150306385977268  0.0023358863786422375    0.02710231708902136  -0.012090952834224518   0.015327808703045925  -0.009716967633356631 -0.0072270421075204278, -15.827196266174317   62.717315185546873   -10.46677728652954  -13.250522747039795  -1.4983980941772461   1.7965852851867676 -0.13149816131591796,  34.245172892907313   2.9708692847102114   12.188348493759587  -7.6013044751280932   4.2128557819946524  -1.4100421036403952 -0.93625092411695743,   0.5555921196937561 -0.055494368076324463   0.21223032474517822,  -0.70124965906143188 -0.0096187088638544083  0.0049851364456117153     0.7128334641456604,-0.00017133238725364208   0.0010662471177056432 -7.0698406489100307e-05, 0.012759228236973286    1.1369962692260742 0.0068137291818857193,   0.2466336190700531   0.02978995256125927   0.06577744334936142   0.02978995256125927   0.22943124175071716 -0.023951128125190735   0.06577744334936142 -0.023951128125190735   0.18829376995563507,   -1.1318971855569515   -0.42416386792876182    -1.1976098118067213    0.76900625439346726    0.53365144671690956   0.040003197303128957 1.7120201256659584e-05,0.00075188686605542898
IIWA_7,1714565978.7055774,-0.48372106753381033   1.1396495146311909 0.021592996648514284  -1.2753655287046972  -1.9549065542327648  -1.8938178066453302 -0.90508126193063554, 0.040733534585260855 0.0018495322977566172  0.034428272451211946 -0.021084139432610942  0.032326712613651741 -0.016888774291389214  -0.01290026447289614,  -18.624579944610595    62.502235229492186   -11.546997299194336   -13.188016128540038   -1.9060116767883299    2.2808589706420896 -0.015352577209472655,  33.79790330430901  2.9681939615878634  11.817673978066944 -7.4951265571385823   4.190577149150422 -1.2534042428993108 -0.9225476401716346,  0.55559855699539185 -0.055077027529478073   0.21228183805942535,  -0.70101392269134521 -0.0098547078669071198  0.0051585636101663113    0.71306085586547852,0.00011205851478734985   0.017545118927955627  0.0020057768560945988, 0.012759416364133358    1.1370030641555786 0.0068140518851578236,  0.24660727381706238   0.02977091446518898  0.065803080797195435   0.02977091446518898   0.22949044406414032 -0.023895593360066414  0.065803080797195435 -0.023895593360066414   0.18826703727245331,   -1.1305891570172477     -0.422622671124806    -1.1950967535607759    0.76758256677766923    0.53401186649715271   0.041839008224187069 1.7489329984243795e-05,0.012268196791410446
IIWA_7,1714565978.7105761, -0.4834696384560942   1.1396441816685783  0.02199992103628139  -1.2757859353246037  -1.9541771464063042  -1.8941023121121991 -0.90535929593480435,  0.04264399077685415 0.0012663073337002826  0.043819593471653803 -0.033683576342348726  0.055037683149344666 -0.024891238107870507 -0.021441571745069492, -18.104355300903322   62.433678493499755  -9.4569872665405263  -12.477553577423096   -1.312638988494873   1.8806907081604003 -0.13550318145751952,  33.465259300874465   3.0773426036143334   11.523093443638853  -7.4822300418350975   4.1138551641606886  -1.1104302102275168 -0.89011308707505221,  0.55563825368881226 -0.054695941507816315   0.21238996088504791, -0.70080560445785522 -0.010097093880176544 0.0052639013156294823   0.71326142549514771,0.0016637805383652449  0.029276920482516289 0.0059318710118532181,0.01276806928217411  1.1370924711227417 0.00681677320972085,  0.24657490849494934  0.029761932790279388  0.065830595791339874  0.029761932790279388   0.22953593730926514 -0.023847740143537521  0.065830595791339874 -0.023847740143537521   0.18825820088386536,  -1.1297988538565562   -0.4212406124857182   -1.1932034755082199   0.76635207358233259   0.53435336708496095  0.043410599847248932 1.780827663111495e-05,0.020782798528671265
IIWA_7,1714565978.7155762,-0.48323456791312475   1.1396416051262701  0.02261609000282698  -1.2763113238262669  -1.9532005758722177  -1.8945018661927013 -0.90580157382098292,  0.043518014340261361 0.00090998417463323731   0.059702433439146656  -0.047962401140405821    0.08309296788293602  -0.035895153706383798  -0.034844372843198232, -14.265178085327149   61.555883422851565  -10.352328548431396  -12.474912452697753  -1.7827591896057129   2.2017598228454589 -0.13750569152832032,  33.264348975753833   3.1688038236980507   11.271757258583925  -7.4563931532071326    3.996949898864254 -0.95607233961320204 -0.85819393358960261,  0.55565989017486572 -0.054352913051843643   0.21251629292964935, -0.70049506425857544 -0.010262536816298962 0.0052801063284277916   0.71356391906738281,0.0021777900401502848  0.037135262042284012 0.0098027884960174561, 0.012731153517961502    1.1371622085571289 0.0067492895759642124,  0.24657359719276428  0.029740156605839729  0.065852202475070953  0.029740156605839729    0.2295750230550766 -0.023811060935258865  0.065852202475070953 -0.023811060935258865   0.18823009729385376,   -1.1285874978126387    -0.4201703720205785    -1.1914618237627295    0.76526744054294937    0.53436354100178107   0.044756376595067593 1.8119367339863857e-05,0.026721347123384476
IIWA_7,1714565978.7205765,-0.48288936229469898   1.1396301601297001 0.023343232784617519   -1.276966261682404  -1.9520082892748356  -1.8949670938495466 -0.90644231036932887,  0.048622636209239893 0.00027018747690577818   0.076847658022938872  -0.064567435157809772    0.11416583820163405  -0.047325229238919554  -0.053504960208396776, -13.739576442718507   61.477916938781739  -10.226434936523438  -12.278588848114014  -1.9711594200134277    2.077270446777344 -0.11647933578491211,  33.146799019242863   3.2855042223068294   11.007290087620291  -7.4419421373474233   3.8322853905529093 -0.78462945503252257 -0.81687038276321866, 0.55567812919616699 -0.05401981994509697  0.21268235146999359,  -0.7000739574432373 -0.010389277711510658 0.0051924022845923901   0.71397590637207031,0.0024522934108972549   0.04301568865776062   0.01449112594127655, 0.012603252194821835    1.1372236013412476 0.0065955547615885735,  0.24659225344657898  0.029703302308917046  0.065874256193637848  0.029703302308917046   0.22961249947547913 -0.023778222501277924  0.065874256193637848 -0.023778222501277924   0.18818880617618561,   -1.1268215333739562   -0.41925892610272797     -1.189577254605112    0.76423524012447785    0.53404497606290846   0.045961457836973807 1.8438564453049366e-05,0.031573895364999771
