DesiredFlux,0.84,HitTime,1714566115.8851337,DesiredPos,0.56573581695556641 0.29571276903152466  0.2190767228603363
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714566115.3319435,-0.48490720616526889   1.1514076571937888 0.022405886692873758  -1.2590019085049595  -1.9579016516283909  -1.9056503112514538 -0.90183731204323481, 1.7640281953736646e-06  2.8117779708265796e-05 -0.00025504926320993316  5.5392622607025422e-06  5.0024843633827413e-06 -8.8834102808928447e-07  4.4958558217611075e-06, 0.56324063491821286   65.823876300811762  -1.9385855484008789   -16.19801794052124  -1.1620948791503907   1.8406405067443847 -0.24864500045776367,-0.0016903160623103139     -2.559695287387838  -0.071858538270698602   -0.55808795822518908    0.07693493759585833   -0.06074387115675968     0.3607003647991176,  0.55640959739685059 -0.056406561285257339   0.21085023880004883, -0.6982998251914978 -0.01336337998509407  0.00818673986941576   0.7156338095664978, -2.361964106967207e-05 -9.8082316981162876e-05 -6.7263477831147611e-05,0.0082207797095179558    1.2087488174438477 0.0072507737204432487,  0.24597401916980743  0.030550519004464149  0.066071614623069763  0.030550519004464149    0.2292667031288147 -0.024091925472021103  0.066071614623069763 -0.024091925472021103   0.18836754560470581,   -1.1624367046589867   -0.42714385854392134    -1.2073654805710987    0.79435886034140424    0.55191061245896123   0.065005420309738327 2.2396370091826157e-05,8.4259641880635172e-05
IIWA_7,1714566115.3369493,-0.48490702639635597   1.1514075373114858 0.022405287390441852  -1.2590019085049595  -1.9579018434400757  -1.9056503112514538 -0.90183731204323481, 8.6019790731938678e-06   1.769893164767061e-05 -0.00022801150784420015  4.4314098085620339e-06 -3.6704798996010536e-06 -7.1067282247142764e-07   3.596684657408886e-06,  0.5981911277770996   65.831941799163815  -1.9280210494995116  -16.200659065246583  -1.1629752540588378    1.838637996673584 -0.25131501388549804,-0.001804824880662699   -2.5597706541730845  -0.07189571898585348  -0.55799444587153946  0.076974721961825088 -0.060748785542955271   0.36067199244429515,  0.55640947818756104 -0.056406926363706589   0.21084992587566376, -0.69830012321472168 -0.013362985104322433 0.0081868050619959831   0.71563351154327393,-2.3267353753908537e-05 -9.3103568360675126e-05 -6.6251392127014697e-05, 0.008221091702580452    1.2087486982345581 0.0072513963095843792,  0.24597413837909698  0.030550550669431686  0.066071540117263794  0.030550550669431686   0.22926662862300873 -0.024092011153697968  0.066071540117263794 -0.024092011153697968   0.18836750090122223,   -1.1624386168032075   -0.42714559963563659    -1.2073691691831812    0.79435995238075208    0.55191056523984372   0.065003746382963357 2.2396011267744598e-05,8.1035854236688465e-05
IIWA_7,1714566115.3419471,-0.48490702639635597   1.1514076571937888  0.02240498784830898  -1.2590020882738724  -1.9579016516283909  -1.9056504311337568 -0.90183761158536768, 6.8815832585550949e-06  1.8954437437078519e-05 -0.00019439089159024254 -3.6456286678248629e-06  4.7360834706264036e-06 -5.3638303769191716e-06  -9.104337589094086e-06,  0.6250761222839355   65.814466552734373  -1.9183369255065919  -16.210343189239502  -1.1682575035095215   1.8373029899597169 -0.24897875213623047, 35.837673727237132  3.0826934442415812    12.6810305640383 -7.9440856071299182  4.2724379188979453 -0.6511310926631646 -0.8934563140746743,  0.55640941858291626 -0.056407127529382706   0.21084971725940704, -0.69830030202865601 -0.013362661935389042 0.0081868944689631462    0.7156333327293396, -2.082166975014843e-05 -8.2495076640043408e-05 -6.1669634305872023e-05, 0.008221479132771492    1.2087485790252686 0.0072520128451287746,  0.24597422778606415  0.030550571158528328  0.066071495413780212  0.030550571158528328   0.22926658391952515 -0.024092067033052444  0.066071495413780212 -0.024092067033052444   0.18836745619773865,   -1.1624398560732274   -0.42714668921028931    -1.2073716631579856    0.79436061091353594    0.55191050785108331    0.06500269774267764 2.2395788334961253e-05,7.3021670687012374e-05
IIWA_7,1714566115.346945,-0.48488012181868723   1.1514198211569275 0.022437165501980296  -1.2590289928515412  -1.9578898591367668  -1.9056564831720213   -0.901851333582113,  0.0010816883733564616  0.00050172207549945903   0.0011315934335804573  -0.0010790996096883183  0.00047548853173991088 -0.00024637259488300811 -0.00055616333988405475, 0.43688116073608396   65.580567100524902  -2.3875767517089845  -15.883724098205565  -1.3311268615722656   1.8670068893432616 -0.21660483932495117,  35.837360489785866   3.0830271555561839   12.680649126690991  -7.9441701274818097    4.272418411798248 -0.65104118498001018 -0.89343609405634861,  0.55640935897827148 -0.056407231837511063   0.21084964275360107, -0.69830054044723511 -0.013362613506615162 0.0081869987770915031   0.71563315391540527, -1.887777034426108e-05 -7.0231195422820747e-05 -5.2482770115602762e-05,0.0082218106836080551    1.2087483406066895 0.0072524887509644032,  0.24597424268722534  0.030550608411431313  0.066071458160877228  0.030550608411431313   0.22926655411720276 -0.024092096835374832  0.066071458160877228 -0.024092096835374832   0.18836745619773865,   -1.1624415334710037   -0.42714715173985951    -1.2073735672322172    0.79436077415806494    0.55191091853501462   0.065002334673991413 2.2395666654517754e-05,6.2321916630025953e-05
IIWA_7,1714566115.3519459,-0.48444755123564209   1.1515134179287243 0.022936548161456408   -1.259229728622967  -1.9577365569201874  -1.9056875822122148 -0.90196080946852741,  0.018168174020490497  0.0041452485322702364   0.020880581125908855 -0.0088927105447812165  0.0065124794885674233 -0.0014410596836461696 -0.0048239661284837183, -8.0775965995788575   62.107025810241701  -8.2156586456298832  -12.803292293548584  -1.5758710861206053    2.055910339355469 -0.28836145019531251,  35.837360489785866   3.0830271555561839   12.680649126690991  -7.9441701274818097    4.272418411798248 -0.65104118498001018 -0.89343609405634861,  0.55640935897827148 -0.056407231837511063   0.21084964275360107, -0.69830054044723511 -0.013362613506615162 0.0081869987770915031   0.71563315391540527, -1.887777034426108e-05 -7.0231195422820747e-05 -5.2482770115602762e-05,0.0082220025360584259    1.2087483406066895  0.007252795621752739,  0.24597424268722534  0.030550608411431313  0.066071458160877228  0.030550608411431313   0.22926655411720276 -0.024092096835374832  0.066071458160877228 -0.024092096835374832   0.18836745619773865,   -1.1624415334710037   -0.42714715173985951    -1.2073735672322172    0.79436077415806494    0.55191091853501462   0.065002334673991413 2.2395666654517754e-05,6.2321916630025953e-05
IIWA_7,1714566115.3569448,-0.48397836877179479   1.1515005948856267 0.023294157398543784  -1.2593808497015802  -1.9574604404220013  -1.9056930350571304 -0.90208197000703472,  0.033301837770284649   0.002803277101913141   0.031008834384222118  -0.013159011580350887   0.016254643518300017 -0.0013709615435408889 -0.0087055944430791087, -15.96430973815918  62.573480464935301  -10.37345754623413 -13.167767505645752 -1.3654614830017089  1.7441862716674805 -0.1385069465637207,  35.346875538960632   3.0616177459220579   12.272197241241692  -7.8294848094305793   4.2456752140675462 -0.50304502600754075 -0.87850926605962787,   0.5564274787902832 -0.055937886238098145   0.21089036762714386, -0.69804114103317261 -0.013603479601442814 0.0083536086603999138   0.71587967872619629,0.00073527969652786851   0.018497470766305923  0.0016194384079426527,0.0082221301272511482    1.2087483406066895  0.007252927403897047,  0.24594642221927643  0.030520275235176086  0.066101893782615662  0.030520275235176086   0.22933554649353027 -0.024026896804571152  0.066101893782615662 -0.024026896804571152   0.18833552300930023,   -1.1605876615252697   -0.42536928723979628    -1.2042683100830232    0.79267320549281095    0.55215203210945418   0.066878624695121403 2.2778912089904679e-05,0.012912082485854626
IIWA_7,1714566115.3619435,-0.48362585284179704   1.1514875919645333 0.023678132015644102  -1.2596822530099347  -1.9569281490340635   -1.905709153827271 -0.90230823209143551,  0.040742107416137444  0.0017225048377941948   0.040166052191390397  -0.022583341598464611   0.034295370332150237 -0.0017415200404578052  -0.016014958930495156,  -18.914937885284424    62.233385284423825   -11.642958164215088   -13.168647880554198    -2.061838035583496    1.9744749298095703 -0.030371402740478514,  35.346875538960632   3.0616177459220575   12.272197241241692  -7.8294848094305793   4.2456752140675462 -0.50304502600754075 -0.87850926605962787,   0.5564274787902832 -0.055937886238098145   0.21089036762714386, -0.69804114103317261 -0.013603479601442814 0.0083536086603999138   0.71587967872619629,0.00073527969652786851   0.018497470766305923  0.0016194384079426527,0.0082221301272511482    1.2087483406066895  0.007252927403897047,  0.24594642221927643  0.030520275235176086  0.066101893782615662  0.030520275235176086   0.22933554649353027 -0.024026896804571152  0.066101893782615662 -0.024026896804571152   0.18833552300930023,   -1.1605876615252697   -0.42536928723979628    -1.2042683100830232    0.79267320549281095    0.55215203210945418   0.066878624695121403 2.2778912089904679e-05,0.012912082485854626
IIWA_7,1714566115.3669486,-0.48339132149648334   1.1514679976984366  0.02414581633249473  -1.2601290847873809  -1.9561806210247759  -1.9057180221724497 -0.90260963539979011,  0.041974939745458129 0.00059423322636466009   0.050840214427137459  -0.035939944376619667   0.057337416637227356   -0.00174794983951259  -0.024868099478580027,-18.756316417694091  62.187680793762205 -9.2597832870483394 -12.388635711669922 -1.1744201278686524  1.7288336944580078 -0.1602008056640625,  35.013621043951616   3.1615475024360364    11.98001175257625  -7.8302210331870636   4.1643267356991824 -0.39440981058836622 -0.84162456975024535,  0.55648946762084961 -0.055537879467010498   0.21098078787326813, -0.69785094261169434 -0.013832219876348972 0.0084173409268260002   0.71605998277664185,0.0030501543078571558  0.030797576531767845 0.0049153603613376617,0.0082230241969227791    1.2088594436645508 0.0072537614032626152,  0.24591274559497833  0.030500087887048721  0.066132932901382446  0.030500087887048721   0.22938483953475952 -0.023972500115633011  0.066132932901382446 -0.023972500115633011   0.18832719326019287,  -1.1593205102347071  -0.42385028682190296   -1.2019531835374409   0.79126692535869125   0.55230448000287424  0.068228069660669632 2.305824065018669e-05,0.021772228181362152
IIWA_7,1714566115.3719475,-0.48319501995218839   1.1514579309665602 0.024846593843355406   -1.260688268753849  -1.9551704947904902  -1.9057187411390184 -0.90300811086681454,  0.041432013568164595 7.2717306039225132e-05   0.068703271976137015  -0.051119314160017151   0.086274982681207757 -0.0014271185343590566  -0.035833498263841163, -15.027367679595947   61.334082218170167  -10.474700660705567  -12.132446613311767  -1.9253799247741699   1.8710119094848632 -0.12148561096191406,  34.818898320644003   3.2603225599889036   11.726789039755186  -7.8363441861999972   4.0327079331089477 -0.28626656534620309 -0.79908931833272812,  0.55654937028884888 -0.055172953754663467   0.21109001338481903, -0.69757133722305298 -0.013981305062770844 0.0083558438345789909   0.71633017063140869,0.0048173395916819572  0.039231792092323303 0.0083069074898958206,0.0081763574853539467    1.2089393138885498 0.0071908184327185154,  0.24590861797332764  0.030462412163615227  0.066160626709461212  0.030462412163615227   0.22942744195461273 -0.023926619440317154  0.066160626709461212 -0.023926619440317154   0.18830285966396332,    -1.157458346853879   -0.42260319438902627    -1.1996535447913459    0.78995792191971503    0.55203352842880804   0.069197775410145823 2.3294173701060572e-05,0.028061147779226303
IIWA_7,1714566115.3769481,-0.48290416279583898   1.1514356403849353 0.025650375887013344  -1.2613748449569184   -1.953938804069119  -1.9057117903652723 -0.90357041068232957,   0.044779897108508125 -0.00083344942016665147    0.087113899327227129   -0.068358499450791504     0.11828761499981391 -0.00086366387764211369   -0.051158791231674244, -13.957344898223877    61.10287126541138  -10.416595916748047  -12.037366123199464  -1.7906825637817383    1.904387077331543 -0.10579928207397461,  34.723562260984217   3.3643798569494501   11.482868097624589  -7.8466879373196967   3.8628850685733309 -0.17522375162935377  -0.7541789628848069,  0.55660933256149292 -0.054825965315103531   0.21122434735298157, -0.69720155000686646 -0.014062591828405857 0.0081866951659321785   0.71669048070907593,0.0062311496585607529  0.045255590230226517   0.01202776376157999,0.0080415373668074608    1.2090096473693848 0.0070410240441560745,  0.24592708051204681  0.030406072735786438  0.066188044846057892  0.030406072735786438   0.22946768999099731 -0.023884391412138939  0.066188044846057892 -0.023884391412138939   0.18826504051685333,   -1.1549132573200893   -0.42152639895842725    -1.1971604105172062    0.78867452034803165    0.55136378038422862   0.069875686570242124 2.3498365919749631e-05,0.032818127423524857
