DesiredFlux,1,HitTime,1714566442.2201126,DesiredPos,0.55723410844802856 0.29447478055953979 0.21900743246078491
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714566441.7004566,-0.47914453170990851   1.1291210135770728 0.013837585320206217  -1.2651682117301268   -1.956278124716103  -1.9025257242134308 -0.89100375252497621, 8.7972928894388983e-05 -1.3881479240092146e-05  -0.0018902935127635037  -5.965158041685572e-05   -0.001000592500090324 -3.2882387822346209e-06  0.00020124593623693451, 0.12098247528076173   65.584599849700922   -1.637497329711914  -16.244677810668946 -0.97721614837646487    1.803927822113037 -0.23863245010375977,-0.15956855149430316  0.77149241502069354 -0.23949567487804779  -2.0620580992389321 -0.57569571779152251  0.26908037899743031  0.41918431426700253,  0.55766814947128296 -0.056461498141288757   0.21950647234916687, -0.70406770706176758 -0.013179370202124119 0.0079162772744894028   0.70996636152267456,-0.00033592456020414829 -0.00061286811251193285 -0.00050889048725366592,-2.1124118575244211e-05       1.438101053237915 -2.4344890334759839e-05,  0.24445648491382599  0.031614795327186584  0.066264592111110687  0.031614795327186584   0.22877301275730133 -0.024101432412862778  0.066264592111110687 -0.024101432412862778   0.19065371155738831,   -1.2080868419017676   -0.42452706452689171    -1.2484247963087114    0.78214477065952082    0.55574773256772403   0.051422947655588302 1.7275966435192913e-05,0.00060116517124697566
IIWA_7,1714566441.7054627, -0.4791438126342567   1.1291209536904629 0.013828537206114643  -1.2651685712679528  -1.9562825349885899  -1.9025258440957338 -0.89100291356702133, 9.9141369187531828e-05 -1.3500647787806179e-05  -0.0018741593738737662 -6.2102777371715335e-05 -0.00097688489955176589 -7.4258831447297258e-06  0.00019455506718495119, 0.12635947418212889   65.599386596679693  -1.6383777046203614  -16.240275936126707 -0.98073764801025387   1.8032603187561036 -0.23929995346069335,-0.15981386493360911  0.77077188961605947 -0.23875817131651517  -2.0615875794726866 -0.57511420926223478  0.26881165219112629  0.41896333971736333,   0.5576665997505188 -0.056464102119207382   0.21950407326221466,  -0.7040712833404541  -0.01317729614675045 0.0079187462106347084   0.70996290445327759,-0.00032969500171020627  -0.0005943995201960206    -0.00050303217722103,-2.0975847291992977e-05      1.4381003379821777 -2.4143177142832428e-05,  0.24445706605911255  0.031615298241376877   0.06626398116350174  0.031615298241376877   0.22877262532711029 -0.024101998656988144   0.06626398116350174 -0.024101998656988144   0.19065350294113159,   -1.2081101641161496   -0.42453786855833897     -1.248455005873339     0.7821498421627382    0.55575335153346117   0.051416129702275271 1.7273459995692519e-05,0.00058800302213057876
IIWA_7,1714566441.7104576, -0.4791430935586049   1.1291209536904629 0.013818889898674244  -1.2651688708100857  -1.9562863698260224  -1.9025255444445179 -0.89100189494923665, 0.00010807612142204611 -1.0800518230244943e-05  -0.0018852197967149853 -6.1663907212393474e-05 -0.00093490141694111588  6.0453421178327382e-06   0.0001963887651350028, 0.14517897033691407   65.615517593383785  -1.6313347053527831  -16.243797435760499 -0.97897689819335931    1.803927822113037 -0.23829869842529297,  42.310287102275637   4.0705567835392671   17.357625917619583  -9.8815995373202732   4.6988431084772895  -1.3679625169437954 -0.87100306563681151,  0.55766373872756958 -0.056469336152076721   0.21949946880340576,  -0.7040780782699585 -0.013172878883779049 0.0079231606796383858   0.70995616912841797,-0.00031447628862224519 -0.00056881603086367249 -0.00048767027328722179,-2.0975847291992977e-05      1.4381003379821777 -2.4143177142832428e-05,  0.24445825815200806  0.031616240739822388  0.066262774169445038  0.031616240739822388   0.22877180576324463 -0.024103142321109772  0.066262774169445038 -0.024103142321109772   0.19065308570861816,   -1.2081548064273306   -0.42455985317157996    -1.2485150262531164     0.7821601783577492    0.55576293178383196   0.051400616391639176 1.7268193985842117e-05,0.0005650307284668088
IIWA_7,1714566441.7154584,-0.47914207494082017   1.1291209536904629  0.01380870328449498  -1.2651692902345215  -1.9562903966496725  -1.9025257242134308 -0.89100123576019474, 0.00012720560852689917  -8.640414584195955e-06  -0.0019156404045425311 -6.6108103203878004e-05 -0.00090899407955620829 -2.3544828204082995e-06  0.00018347857378429042, 0.16803121566772461   65.623583091735838   -1.620770206451416  -16.261404933929445 -0.98425914764404299   1.8035940704345703 -0.23829869842529297,  42.310213238642838   4.0706569719965913   17.358239722812403  -9.8816821129682229   4.6991277137686973  -1.3686326390228858 -0.87133239234249471,  0.55766236782073975 -0.056472141295671463   0.21949703991413116, -0.70408171415328979 -0.013170275837182999 0.0079252282157540321   0.70995259284973145,-0.00030591434915550053 -0.00056721019791439176 -0.00048765662359073758,-2.0649606085498817e-05      1.4380980730056763  -2.371247137489263e-05,  0.24445892870426178  0.031616702675819397  0.066262140870094299  0.031616702675819397   0.22877134382724762 -0.024103755131363869  0.066262140870094299 -0.024103755131363869   0.19065286219120026,   -1.2081774247443278   -0.42457173094856415    -1.2485468612588591    0.78216581122525497    0.55576697195292013   0.051390794090444558 1.7265128882115732e-05,0.00056196370860561728
IIWA_7,1714566441.7204597,-0.47911265359837008    1.129127724695296 0.013830394781854155  -1.2651978726190167  -1.9562795628674068   -1.902544000101444 -0.89101339972333349,  0.0012786181848254295  0.00026392786165421863  -0.0006648524292670072   -0.001196181862371609 -0.00029384397301536447 -0.00073291910678332801 -0.00033977566652236384,-0.024196495056152345    65.520075862884525   -2.1049764060974119   -15.921580219268799    -1.186745376586914    1.8840282249450684  -0.20525728225708006,  42.310193752174591   4.0706485690185961   17.358230336416604  -9.8816734276951586   4.6991304211055249  -1.3686335591013785 -0.87133239234249471,  0.55766236782073975 -0.056472141295671463   0.21949703991413116, -0.70408171415328979 -0.013170275837182999 0.0079252282157540321   0.70995259284973145,-0.00030591434915550053 -0.00056721019791439176 -0.00048765662359073758,-2.0344941731309518e-05      1.4380971193313599 -2.3300153770833276e-05,  0.24445892870426178  0.031616702675819397  0.066262140870094299  0.031616702675819397   0.22877134382724762 -0.024103755131363869  0.066262140870094299 -0.024103755131363869   0.19065286219120026,   -1.2081774247443278   -0.42457173094856415    -1.2485468612588591    0.78216581122525497    0.55576697195292013   0.051390794090444558 1.7265128882115732e-05,0.00056196370860561728
IIWA_7,1714566441.7254591,-0.47865425705113396   1.1291587638488796 0.014322047596239342  -1.2654540354659967  -1.9560880070478808  -1.9026833167547443 -0.89109375402759683,  0.019358756437305037  0.0014527084326674054   0.019134230631993852  -0.011203459369094681  0.0074271576026282097 -0.0061590014174410105  -0.003485992703751549, -8.6556239814758307   63.289965568542478  -8.4771299934387212  -12.527734947204589  -1.5670673370361328    2.234801239013672 -0.31940035629272462,  42.309993757504984   4.0706019214137719   17.358958419889319  -9.8815723613474216    4.699575212443273   -1.369173060492709 -0.87165703488334945,  0.55766087770462036 -0.056474946439266205    0.2194945365190506, -0.70408535003662109  -0.01316783856600523 0.0079274913296103477   0.70994901657104492,-0.00030534851248376071 -0.00056596321519464254 -0.00049009016947820783,-2.0194540411466733e-05      1.4380971193313599 -2.3087406589183956e-05,  0.24445962905883789  0.031617220491170883  0.066261470317840576  0.031617220491170883   0.22877088189125061 -0.024104397743940353  0.066261470317840576 -0.024104397743940353   0.19065262377262115,   -1.2082021300416912   -0.42458388674670999    -1.2485806184736603    0.78217140035441446    0.55577198540657236   0.051382041169389936 1.7262259177641681e-05,0.0005622308817692101
IIWA_7,1714566441.730413,-0.47814816327343468   1.1291306009979034 0.014860378914219881  -1.2656982740053606  -1.9557508188611734  -1.9028104094492129 -0.89112796891683754,  0.035730756257815195 3.5652707086858198e-05    0.03684063722481664  -0.018732309069833752   0.019429253550396972  -0.010010908912694152 -0.0041573897326297789, -18.265665267944335   62.502235229492186  -12.658030433654785  -12.600806064605713  -1.6533440780639648   1.9017170639038086 -0.15519453048706056, 41.787313708910702  4.1089888142406172  16.900431029244054 -9.7652390408408376  4.6525515476872314 -1.1614573792543677 -0.8566026226379001,  0.55765914916992188 -0.055990330874919891   0.21958144009113312, -0.70379477739334106 -0.013431429862976074 0.0081297652795910835   0.71022981405258179,-0.00022517834440805018    0.018797473981976509    0.003158503444865346,-2.0194527678540908e-05       1.438096284866333 -2.3087392037268728e-05,  0.24442917108535767  0.031594209372997284   0.06629180908203125  0.031594209372997284   0.22884230315685272 -0.024042455479502678   0.06629180908203125 -0.024042455479502678    0.1906212717294693,   -1.2065679514536853   -0.42283802503551016    -1.2456762551087408    0.78048276966402597    0.55613065121562499   0.053534273507516161 1.7725093393039515e-05,0.013253984041512012
IIWA_7,1714566441.7354126,-0.47782662650132751   1.1291208936947699 0.015475948687416648  -1.2661256913947063  -1.9551461427350361  -1.9030297807555607 -0.89122180545324026,   0.041446075890538843 -0.00035976995967226274    0.054095300707723989   -0.032082542829695318    0.039730447885811537   -0.016783579384069713  -0.0070793732422123768,  -22.400577423095704     62.01964957809448   -14.514741115570068   -11.848965892791748   -1.9271406745910644    2.4063496017456054 -0.040717704772949219,  41.357567644548688   4.2377303137087319   16.477820955045758  -9.7309376690597684   4.5513139414691954 -0.97510063312850415   -0.829606317615737,  0.55770474672317505 -0.055495686829090118   0.21972720324993134, -0.70349502563476562 -0.013694733381271362 0.0082694217562675476   0.71052008867263794,0.0016210938338190317  0.034819375723600388 0.0083626853302121162,-2.0036759451613761e-05      1.4382330179214478 -2.2869473468745127e-05,  0.24438710510730743  0.031569249927997589  0.066331095993518829  0.031569249927997589   0.22890928387641907 -0.023976769298315048  0.066331095993518829 -0.023976769298315048   0.19060565531253815,    -1.204907728159732   -0.42103229468981596    -1.2427318638614793    0.77881793270684341    0.55636570396178087   0.055502986911371011 1.8156517178624654e-05,0.024921568110585213
IIWA_7,1714566441.7404137,-0.47773458765405441   1.1291066325003687 0.016229516735830084  -1.2667178318680243  -1.9542776220442819   -1.903321117222956 -0.89138023695250845,   0.036838414603355137 -0.00085826374378489962    0.073418962502716636   -0.049351653196476844    0.066525185938815623   -0.025080322203068571   -0.012000758564497772, -22.188185966491698   61.442966445922849  -11.324262447357178  -11.333066196441651    -1.46494384765625   1.9794812049865722 -0.16353832244873046,  41.357544375328821   4.2377280042207044   16.477806981037784  -9.7309320137379736   4.5513137794171428 -0.97510089643589692   -0.829606317615737,  0.55770474672317505 -0.055495686829090118   0.21972720324993134, -0.70349502563476562 -0.013694733381271362 0.0082694217562675476   0.71052008867263794,0.0016210938338190317  0.034819375723600388 0.0083626853302121162,-2.2029187675798312e-05      1.4383612871170044 -2.9749906389042735e-05,  0.24438710510730743  0.031569249927997589  0.066331095993518829  0.031569249927997589   0.22890928387641907 -0.023976769298315048  0.066331095993518829 -0.023976769298315048   0.19060565531253815,    -1.204907728159732   -0.42103229468981596    -1.2427318638614793    0.77881793270684341    0.55636570396178087   0.055502986911371011 1.8156517178624654e-05,0.024921568110585213
IIWA_7,1714566441.7454591,-0.47776484773629313   1.1290836827297019 0.017314508519313994   -1.267444794989985  -1.9531311632552011  -1.9037268431149423 -0.89165479546072124,   0.02826032839313531 -0.0016046018216977985    0.10213484134152973  -0.068559847435606808   0.099078500314285195  -0.036293293441906301   -0.02058294718010964, -17.296461215972901   59.996553741455081  -10.931615238189696  -11.423744812011719  -1.6436599540710448   1.9871574935913086 -0.16353832244873046,  41.108060561110918   4.3493062837935375   16.106756487545713  -9.6831408689761247   4.4018924162251443 -0.77301153260038546 -0.80706016843456374,  0.55772727727890015 -0.055051948875188828   0.21990214288234711, -0.70305842161178589  -0.01385506521910429 0.0083077810704708099   0.71094858646392822,0.0021685899700969458  0.045592281967401505  0.013697679154574871,-2.9423332307487726e-05      1.4383612871170044 -4.4998574594501406e-05,  0.24438087642192841  0.031525958329439163  0.066366478800773621  0.031525958329439163   0.22896988689899445 -0.023923138156533241  0.066366478800773621 -0.023923138156533241   0.19056741893291473,   -1.2026181681541459    -0.4196153349456111    -1.2398422800723452    0.77736930641059132    0.55617958015474755   0.057204442561520352 1.8585618377642277e-05,0.033128678798675537
