DesiredFlux,1,HitTime,1714566453.085161,DesiredPos,0.56075870990753174  0.2957959771156311 0.21910983324050903
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714566452.5719023,-0.48178267901385585   1.1432008000919907 0.020439275326249933  -1.2452562422588065  -1.9528672225229429  -1.8964732112195057 -0.88565309565538941,-9.8047328393047149e-05  2.2963284486210824e-05 -0.00027586145733043575   0.0020178214509599451  4.6035255152366445e-06  4.7599922362074155e-07  0.00022513733712779807, 0.50006089782714847   65.928727779388424   -1.912174301147461  -16.609153022766112  -1.1057508850097657   1.7922465133666992 -0.23829869842529297,-0.26195583786454391 -0.44479556510904827 -0.21705684610762749 -0.68832393349481225  0.23175171092280633  0.30643937502551616  0.57134651322907526,  0.56313246488571167 -0.057606067508459091   0.21600435674190521, -0.70411348342895508 -0.012229956686496735  0.004297355655580759     0.709969162940979,0.00055254728067666292 -0.0004145581042394042 0.00029662181623280048,-0.00069945567520335317      1.4374029636383057  0.00091659574536606669, 0.24355772137641907 0.030977707356214523 0.067131116986274719 0.030977707356214523  0.22840836644172668 -0.02371809259057045 0.067131116986274719 -0.02371809259057045  0.19126616418361664,   -1.1875265530099099   -0.42113659793940883    -1.2190828769602646    0.80516482274628487    0.54630488219231665   0.032758604246119205 1.4525926239628006e-05,0.00052300299284979701
IIWA_7,1714566452.576901,-0.48178267901385585   1.1432008000919907 0.020439275326249933  -1.2452562422588065  -1.9528672225229429  -1.8964732112195057 -0.88565309565538941,-9.8047328393047149e-05  2.2963284486210824e-05 -0.00027586145733043575   0.0020178214509599451  4.6035255152366445e-06  4.7599922362074155e-07  0.00022513733712779807, 0.50006089782714847   65.928727779388424   -1.912174301147461  -16.609153022766112  -1.1057508850097657   1.7922465133666992 -0.23829869842529297, 42.892766557773861  4.3707250915850624  17.284663042581698 -10.129456812561701  4.4021927217149353 -1.5926091234999082 -0.6501097895189214,  0.56313407421112061 -0.057608194649219513   0.21600522100925446, -0.70411527156829834 -0.012231010943651199 0.0042950822971761227   0.70996737480163574, 0.00050664524314925075 -0.00041680771391838789  0.00027215160662308335,-0.00069969671312719584      1.4374023675918579  0.00091660540783777833,  0.24355709552764893   0.03097807802259922  0.067131295800209045   0.03097807802259922   0.22840788960456848 -0.023718247190117836  0.067131295800209045 -0.023718247190117836    0.1912669837474823,   -1.1875457381771426   -0.42114178205387987    -1.2190985808855359    0.80517816391978414    0.54630656592813409    0.03274921740015202 1.4523934943611039e-05,0.00049413542728871107
IIWA_7,1714566452.5819256,-0.48175601409171009   1.1432104472903479 0.020465520823959877  -1.2452640319905073  -1.9528553342127428  -1.8964951423723879 -0.88566537950083113,  0.0010081610495698036  0.00040250255320981433  0.00089148457710933407  0.00089448905878248349  0.00047924660920202347 -0.00087694147578416066 -0.00034966313163455889, 0.27960394287109375   65.694828327178953  -2.3946197509765623  -16.214745063781738  -1.2615772438049315   1.8880332450866699 -0.20792729568481444,  42.893096877769501   4.3708356906922017    17.28507388997112  -10.129626050784184   4.4023655880022279  -1.5929167758809486 -0.64973837156021763,  0.56313633918762207 -0.057610396295785904   0.21600642800331116,  -0.7041172981262207  -0.01223296020179987 0.0042920387350022793    0.7099652886390686, 0.00049633602611720562 -0.00042148010106757283  0.00026569332112558186,-0.00070004642475396395      1.4374015331268311   0.0009166156523860991,  0.24355620145797729  0.030978536233305931  0.067131593823432922  0.030978536233305931   0.22840733826160431 -0.023718364536762238  0.067131593823432922 -0.023718364536762238   0.19126807153224945,   -1.1875457381771426   -0.42114178205387987    -1.2190985808855359    0.80517816391978414    0.54630656592813409    0.03274921740015202 1.4523934943611039e-05,0.00048926490126177669
IIWA_7,1714566452.5869291,-0.48133488850523487   1.1433036246377088 0.020960169714172267  -1.2455302615693635  -1.9527065380872262   -1.896683474525152 -0.88575621996140663,  0.017651552298664799  0.0040490959370045572   0.020499143270183075 -0.0099335919072239109  0.0063352423080279873 -0.0082348392911888047 -0.0039133489283277711, -8.0816293487548823   61.952437091827392  -8.5246702384948723  -11.790861148834228  -1.4746279716491699   2.3239129371643066 -0.34943800735473635,  42.893096877769501   4.3708356906922017    17.28507388997112  -10.129626050784184   4.4023655880022279  -1.5929167758809486 -0.64973837156021763,  0.56313633918762207 -0.057610396295785904   0.21600642800331116,  -0.7041172981262207  -0.01223296020179987 0.0042920387350022793    0.7099652886390686, 0.00049633602611720562 -0.00042148010106757283  0.00026569332112558186,-0.00070051802322268486      1.4374005794525146  0.00091645610518753529,  0.24355620145797729  0.030978536233305931  0.067131593823432922  0.030978536233305931   0.22840733826160431 -0.023718364536762238  0.067131593823432922 -0.023718364536762238   0.19126807153224945,   -1.1875690157365781    -0.4211462245660158    -1.2191153446750036    0.80519397417599947    0.54630914646480733    0.03273903663103539 1.4521820190793733e-05,0.00048926490126177669
IIWA_7,1714566452.5919006,-0.48091160569180424    1.143299070637358 0.021513421415595795  -1.2457159570750433  -1.9524277370981176  -1.8969062013360698 -0.88581602115931546,  0.031052554376156859  0.0030571167355708286   0.038529382673087587  -0.015374693752971812   0.016220233410766241  -0.015496943869664617 -0.0055227270590152743, -16.843449058532716   61.605620662689212  -12.369267463684082  -12.491639575958251  -1.6832768249511718   1.8543243255615234 -0.12382187271118164,   42.86079479411692    4.364129423824096   17.259284875168085  -10.115000731263043   4.4030850757715188  -1.5776461088651721 -0.64931075220757395,  0.56313556432723999 -0.057585082948207855   0.21601064503192902, -0.70409804582595825 -0.012252167798578739 0.0043030474334955215   0.70998400449752808,0.00026487003196962178 0.00076301867375150323 0.00032757056760601699,-0.00070104742189869285      1.4373996257781982  0.00091627222718670964,  0.2435547262430191 0.030977971851825714 0.067133121192455292 0.030977971851825714  0.22841089963912964 -0.02371542900800705 0.067133121192455292 -0.02371542900800705  0.19126605987548828,   -1.1875102747040955    -0.4210597857534637    -1.2189802005408978    0.80512083107908694    0.54634281274079655   0.032878670661595777 1.4552284710589447e-05,0.00060635758563876152
IIWA_7,1714566452.596911,-0.48064501657512221   1.1432912809056572 0.022182440806304105  -1.2461020289234059  -1.9519109773951933   -1.897279509918862 -0.88593682215999681, 0.035505608168206956 0.0021341041204250098  0.057584281766802442 -0.027742628936881057  0.033646574845585295 -0.027329898407418275 -0.009250221674466123,  -20.787477752685547    61.663423400878905   -14.090400409698486   -11.968696880340577    -1.912174301147461    2.5745604476928712 -0.015352577209472655,  42.380799443669382   4.3380425280348947   16.854311791954075  -9.9674335535486804   4.3853673433919935  -1.3821751748614388 -0.64598176285891895,  0.56311494112014771 -0.057141829282045364   0.21606692671775818, -0.70380955934524536   -0.0124879265204072 0.0045185978524386883   0.71026456356048584,-0.00061982602346688509    0.018337981775403023   0.0025159073993563652,-0.0007017979514785111     1.4374063014984131      0.000916023098398,  0.24353408813476562  0.030955219641327858  0.067157730460166931  0.030955219641327858   0.22847776114940643 -0.023659957572817802  0.067157730460166931 -0.023659957572817802   0.19122888147830963,   -1.1859425328548667    -0.4194963603252333    -1.2162735885175024    0.80358263106372618    0.54670470080786515   0.034994081290484758 1.4999461228626387e-05,0.012883261777460575
IIWA_7,1714566452.6019037,-0.48064501657512221   1.1432912809056572 0.022182440806304105  -1.2461020289234059  -1.9519109773951933   -1.897279509918862 -0.88593682215999681, 0.035505608168206956 0.0021341041204250098  0.057584281766802442 -0.027742628936881057  0.033646574845585295 -0.027329898407418275 -0.009250221674466123,  -20.787477752685547    61.663423400878905   -14.090400409698486   -11.968696880340577    -1.912174301147461    2.5745604476928712 -0.015352577209472655,  41.727275957593932   4.6483575083867246    16.02432694417206   -9.902559722779479   4.1360177098208188 -0.93334368157270742 -0.58470032067414612,  0.56314432621002197 -0.056269757449626923   0.21643120050430298,  -0.7030254602432251 -0.012999041937291622 0.0047126775607466698   0.71103024482727051,0.00048402027459815145   0.043016739189624786   0.014944645576179028,-0.00070091220550239086      1.4375343322753906  0.00091392174363136292,  0.24347725510597229  0.030902557075023651  0.067229703068733215  0.030902557075023651   0.22860012948513031 -0.023549493402242661  0.067229703068733215 -0.023549493402242661   0.19118273258209229,   -1.1826555627463264   -0.41655292169995306     -1.210973966849771     0.8008702458779382    0.54702246487536854   0.039094014598894944 1.5943026454579012e-05,0.031675022095441818
IIWA_7,1714566452.6069279,-0.48054488834493225   1.1432791169425185 0.023029965164340152  -1.2466572580828721  -1.9511564506156049  -1.8977467748112766 -0.88613042738876358, 0.032409615742163778 0.0012207247707902117  0.079968399734883858 -0.044403269528150963  0.057098331060000874 -0.040554514422521219 -0.015144386490243654, -20.768658256530763   60.886447059631351  -11.631513290405273  -11.357716693878174   -1.425326976776123   1.9397647552490234 -0.16587458419799805,  41.727275957593932   4.6483575083867246    16.02432694417206   -9.902559722779479   4.1360177098208188 -0.93334368157270742 -0.58470032067414612,  0.56314432621002197 -0.056269757449626923   0.21643120050430298,  -0.7030254602432251 -0.012999041937291622 0.0047126775607466698   0.71103024482727051,0.00048402027459815145   0.043016739189624786   0.014944645576179028,-0.00068421941250562668      1.4376521110534668  0.00088362110545858741,  0.24347725510597229  0.030902557075023651  0.067229703068733215  0.030902557075023651   0.22860012948513031 -0.023549493402242661  0.067229703068733215 -0.023549493402242661   0.19118273258209229,   -1.1826555627463264   -0.41655292169995306     -1.210973966849771     0.8008702458779382    0.54702246487536854   0.039094014598894944 1.5943026454579012e-05,0.031675022095441818
IIWA_7,1714566452.611902,-0.48045776303583576   1.1432661740171179 0.025583084390453467  -1.2481917181818034  -1.9488845291738124    -1.89900116367047 -0.88682119805435788,  0.024089587369897428 0.00035654408848312359    0.14408244414614138  -0.084227666556950326    0.11927051635811518  -0.071180958620195939  -0.035050545638062383, -15.413167350769044   60.601466117858884  -11.201009960174561  -11.824315395355224  -2.0195800399780275   2.0325477218627928 -0.11481057739257812,   41.73088311189457    4.648774486113151   16.026442537014162  -9.9034376909940107   4.1360271945284683 -0.93328154038172095 -0.58470032067414612,  0.56314432621002197 -0.056269757449626923   0.21643120050430298,  -0.7030254602432251 -0.012999041937291622 0.0047126775607466698   0.71103024482727051,0.00048402027459815145   0.043016739189624786   0.014944645576179028,-0.00067428458714857697       1.437768816947937  0.00081494561163708568,  0.24347725510597229  0.030902557075023651  0.067229703068733215  0.030902557075023651   0.22860012948513031 -0.023549493402242661  0.067229703068733215 -0.023549493402242661   0.19118273258209229,   -1.1826555627463264   -0.41655292169995306     -1.210973966849771     0.8008702458779382    0.54702246487536854   0.039094014598894944 1.5943026454579012e-05,0.031675022095441818
IIWA_7,1714566452.6169009,-0.48032803380336581   1.1432619795545931 0.027251348411159834   -1.249226256423603  -1.9473672303301837  -1.8997471217560955 -0.88736582117520879,  0.024460839194716144 0.00011745676979191239    0.18199651614516776   -0.10876366291754243    0.15610836683164106  -0.086783090321176662  -0.049825361344486174,  -15.387626605987549    60.456287147521969   -11.726593780517579   -12.002151126861571   -1.8214956855773925     2.201426071166992 -0.024697624206542968,  41.149600795753997   5.3463814397468665    14.37034699975413  -9.8242764469895132   3.3451442600356653 0.054206006562160791 -0.42313717273563034,  0.56312119960784912 -0.054753758013248444   0.21748670935630798, -0.70057308673858643 -0.013679610565304756 0.0043790368363261223   0.71343612670898438,-0.00045444993884302676    0.072649016976356506     0.04320155456662178,-0.00064358115196228027       1.437768816947937  0.00072262977482751012,  0.24350842833518982  0.030683591961860657  0.067382678389549255  0.030683591961860657   0.22883045673370361 -0.023368414491415024  0.067382678389549255 -0.023368414491415024   0.19099798798561096,   -1.1719137552068659   -0.41240178296853003    -1.1995122477932441    0.79649616338262064    0.54517045275925824    0.04620483007222731 1.7916222283531624e-05,0.058770891278982162
