DesiredFlux,1.09,HitTime,1714566666.0251265,DesiredPos, 0.5660090446472168 0.29703974723815918   0.219087153673172
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714566665.5260358,-0.47901474248174553   1.1330353011241825 0.014476943712941509  -1.2551834948389049  -1.9603014687033746  -1.9050198212038971 -0.88659355770526338, 8.1818950128631284e-05  3.8308014414236392e-05 -1.5070612914557311e-05 -7.8790607754737998e-05  -5.882113938262667e-06  -1.534372604946208e-06   2.554880643427393e-06, 0.14114622116088868   66.162627231597895  -1.7695535659790038   -16.42339391708374  -1.0943060111999512   1.6894509963989257 -0.23796494674682617,-0.20774605353181674  0.83501573277689645 -0.16521890464444822  -2.3782995379575929  -0.4455612898510356 0.082962660048329265  0.41114005710497142,  0.55885791778564453 -0.057351198047399521   0.21907319128513336, -0.70507317781448364 -0.014866679906845093 0.0096519812941551208   0.70891296863555908,-1.0574043699307367e-05 -1.9555503968149424e-05  1.3073605487079476e-06,  0.004387411754578352     1.5672097206115723 8.0912450357573107e-06,  0.24358327686786652  0.032097030431032181  0.066511638462543488  0.032097030431032181   0.22862289845943451 -0.024041540920734406  0.066511638462543488 -0.024041540920734406   0.19124804437160492,   -1.2281016860802296   -0.42388298549056458    -1.2532967193186195    0.79452653059330913    0.56519686014677717    0.05757713463339087 1.7931691687067541e-05,1.5488560165977105e-05
IIWA_7,1714566665.5310364,-0.47901312467061202   1.1330354208974025 0.014477123481854464  -1.2551849928768186  -1.9603017563336353  -1.9050197013215941 -0.88659379736078636, 0.00013016760544302546  3.5437340331735822e-05 -4.8657338134325242e-06 -0.00012295400275244594  -1.621090157941839e-05   3.567794034985063e-06 -7.5423164045468203e-06,0.20567020797729493  66.202954723358161 -1.7475441932678222 -16.482379035949705 -1.0995882606506346  1.6871147346496582 -0.2359624366760254,  45.759160634944003   4.4990686426810163   19.500452751144003  -10.737286180258764   5.0735705646407032  -1.2230537534189008 -0.87255392206825499,  0.5588575005531311 -0.05734943225979805  0.21907214820384979, -0.70507270097732544 -0.014866632409393787 0.0096538783982396126   0.70891344547271729,-2.2247937522479333e-05  5.3454561566468328e-05 -3.6092314985580742e-05, 0.0043875649571418762     1.5672097206115723 8.3748209362966008e-06,  0.24358347058296204  0.032096926122903824  0.066511578857898712  0.032096926122903824     0.228623166680336 -0.024041397497057915  0.066511578857898712 -0.024041397497057915   0.19124764204025269,   -1.2280949389138485   -0.42387728704174066     -1.253287678996351    0.79451883184677996    0.56519853520153873   0.057584202786564731 1.7933024842875511e-05,4.7452387661905959e-05
IIWA_7,1714566665.5360451, -0.4789842426349008   1.1330431507424934 0.014507862984222136  -1.2552153728413602    -1.96028603301147  -1.9050338427427753 -0.88660757924414157,  0.0012594155128032049  0.00033754367590130963   0.0012256875076561292  -0.0013135617838652583  0.00061596416535138437 -0.00056280261201875463 -0.00055730918733214944,0.033606243133544919   66.086004997253411  -2.1657222747802733  -16.138152446746826  -1.3170408630371093   1.7515288085937499 -0.20158601379394531,  45.759160634944003   4.4990686426810163   19.500452751144003  -10.737286180258764   5.0735705646407032  -1.2230537534189008 -0.87255392206825499,  0.5588575005531311 -0.05734943225979805  0.21907214820384979, -0.70507270097732544 -0.014866632409393787 0.0096538783982396126   0.70891344547271729,-2.2247937522479333e-05  5.3454561566468328e-05 -3.6092314985580742e-05, 0.0043875668197870255     1.5672104358673096 8.3748245742754079e-06,  0.24358347058296204  0.032096926122903824  0.066511578857898712  0.032096926122903824     0.228623166680336 -0.024041397497057915  0.066511578857898712 -0.024041397497057915   0.19124764204025269,   -1.2280949389138485   -0.42387728704174066     -1.253287678996351    0.79451883184677996    0.56519853520153873   0.057584202786564731 1.7933024842875511e-05,4.7452387661905959e-05
IIWA_7,1714566665.5410163,-0.47850289631699783   1.1330913273930854 0.015010421488438409   -1.255493646501052  -1.9600829723305808  -1.9051059877818188  -0.8867262231269506,  0.020261385126361577  0.0021971009644002502   0.021082890174775826  -0.012181795814764076  0.0086151985678473292 -0.0033360436513555679 -0.0051916026622265974, -8.8129011993408195    63.31012931442261  -8.4621636199951169  -12.429132957458496  -1.6190094566345214   1.8733481712341309 -0.30471528244018553,  45.759160634944003   4.4990686426810163   19.500452751144003  -10.737286180258764   5.0735705646407032  -1.2230537534189008 -0.87255392206825499,  0.5588575005531311 -0.05734943225979805  0.21907214820384979, -0.70507270097732544 -0.014866632409393787 0.0096538783982396126   0.70891344547271729,-2.2247937522479333e-05  5.3454561566468328e-05 -3.6092314985580742e-05, 0.0043883337639272213     1.5672105550765991 9.2076625151094049e-06,  0.24358347058296204  0.032096926122903824  0.066511578857898712  0.032096926122903824     0.228623166680336 -0.024041397497057915  0.066511578857898712 -0.024041397497057915   0.19124764204025269,   -1.2280949389138485   -0.42387728704174066     -1.253287678996351    0.79451883184677996    0.56519853520153873   0.057584202786564731 1.7933024842875511e-05,4.7452387661905959e-05
IIWA_7,1714566665.5460365,-0.47795893227610575   1.1330656212021144 0.015570624072691081  -1.2557635312356943  -1.9597048460500046  -1.9051229454008314 -0.88686841586469212,  0.037967669736772278 0.00072943313268118096   0.039274415509927524  -0.020540826037502839   0.022017210077326165 -0.0033471396815863566  -0.009840991639442076, -18.967363624572755   62.335548263549803  -12.734623050689697  -12.581437816619873  -1.6885590744018555   1.7418500099182128 -0.12181936264038086,  45.222728153359647   4.5041044600135729   19.048265611576245  -10.611875319215581    5.030752683972656  -1.0340440616128468 -0.85560240778902585,  0.55886387825012207 -0.056839477270841599     0.219138503074646, -0.70478445291519165 -0.015128155238926411 0.0098407631739974022   0.70919191837310791,0.00027414626674726605   0.020159360021352768  0.0026307809166610241, 0.0043883337639272213     1.5672105550765991 9.2076625151094049e-06,  0.24355532228946686  0.032066214829683304    0.0665430948138237  0.032066214829683304   0.22869886457920074 -0.023975618183612823    0.0665430948138237 -0.023975618183612823    0.1912122368812561,   -1.2261064731946547   -0.42202806058533326    -1.2500808313404832    0.79268064866866439    0.56545549606124013   0.059676595180135905 1.8400321266653918e-05,0.014139589853584766
IIWA_7,1714566665.5510364,-0.47763212253707904   1.1330537567811085 0.016215255541428959  -1.2562358895442816  -1.9590405365611825  -1.9051379256708842 -0.88709329990256547,  0.043446525350486306 0.00010896966591016977   0.057204791157457142  -0.035326993173493193   0.044186147614745874 -0.0032769225473837545  -0.016868154826487736,  -23.045817291259766    61.745422634124758   -14.625668354034424   -11.541715049743653   -1.9324229240417481    1.9564523391723632 -0.019023845672607422,  45.222728153359647   4.5041044600135729   19.048265611576245  -10.611875319215581    5.030752683972656  -1.0340440616128468 -0.85560240778902585,  0.55886387825012207 -0.056839477270841599     0.219138503074646, -0.70478445291519165 -0.015128155238926411 0.0098407631739974022   0.70919191837310791,0.00027414626674726605   0.020159360021352768  0.0026307809166610241, 0.0043883346952497959     1.5672107934951782 9.2076643340988085e-06,  0.24355532228946686  0.032066214829683304    0.0665430948138237  0.032066214829683304   0.22869886457920074 -0.023975618183612823    0.0665430948138237 -0.023975618183612823    0.1912122368812561,   -1.2261064731946547   -0.42202806058533326    -1.2500808313404832    0.79268064866866439    0.56545549606124013   0.059676595180135905 1.8400321266653918e-05,0.014139589853584766
IIWA_7,1714566665.556042,-0.47754661503911611   1.1330333236661401 0.017009869588692328  -1.2568748883991911   -1.958105862830323  -1.9051440975914515 -0.88738577487004844,   0.038177520198906377 -0.00073014886601048654    0.077548394816500499   -0.053821548735178124    0.072735867326178164  -0.0028684148605985366   -0.025193522560508975,-21.908582023620607  60.632383861541747 -11.531150550842286 -11.253832454681396 -1.4077194786071776  1.7124798622131348 -0.1388406982421875,  44.535742217130917   4.7364915467907149   18.252661541549852  -10.571766614546013   4.7520314289193539 -0.71622604917561095 -0.77426127808329637,  0.55898368358612061 -0.055847108364105225   0.21941523253917694, -0.70408469438552856 -0.015563102439045906 0.0098606664687395096   0.70987695455551147,0.0043883654288947582  0.048362255096435547  0.011725331656634808, 0.0043892362155020237     1.5673683881759644 9.4102870207279921e-06,  0.24351213872432709   0.03197113424539566  0.066623762249946594   0.03197113424539566   0.22883246839046478 -0.023844730108976364  0.066623762249946594 -0.023844730108976364   0.19115602970123291,  -1.2210425962395632  -0.41854477663694212   -1.2433987354398823   0.78916731700662268   0.56505325934974593  0.062806625551914408 1.920045633596601e-05,0.034735068678855896
IIWA_7,1714566665.5610375,-0.47756021715355845   1.1329998278525513 0.018123923067717353  -1.2576764532202005  -1.9568488615186721  -1.9051534452476759 -0.88781445064178466,  0.029997931581431266 -0.0019239516363604666    0.10660085501420138  -0.075119831828516448    0.10846874632697659 -0.0026686381374548709  -0.037301848917855984,-16.531583122253419  59.755933040618899 -11.366520442962646 -11.091843471527099  -1.968518295288086  1.6614158554077147 -0.1385069465637207,  44.535742217130917   4.7364915467907149   18.252661541549852  -10.571766614546013   4.7520314289193539 -0.71622604917561095 -0.77426127808329637,  0.55898368358612061 -0.055847108364105225   0.21941523253917694, -0.70408469438552856 -0.015563102439045906 0.0098606664687395096   0.70987695455551147,0.0043883654288947582  0.048362255096435547  0.011725331656634808,  0.0043814848177134991      1.5676474571228027 -3.1487947126151994e-05,  0.24351213872432709   0.03197113424539566  0.066623762249946594   0.03197113424539566   0.22883246839046478 -0.023844730108976364  0.066623762249946594 -0.023844730108976364   0.19115602970123291,  -1.2210425962395632  -0.41854477663694212   -1.2433987354398823   0.78916731700662268   0.56505325934974593  0.062806625551914408 1.920045633596601e-05,0.034735068678855896
IIWA_7,1714566665.566035, -0.4774977793085653   1.1329283418934664 0.019529253236610769  -1.2586607176892286  -1.9553144013761075  -1.9051321732838358 -0.88844452126490547,  0.026495859064871306 -0.0043985996724845676    0.14149389076709779  -0.099466444223937425    0.14815340276416694 -0.0012840319563573481  -0.055044304059117401,  -14.853959465026856    59.817768527984619    -11.32338207244873   -11.584853420257568   -1.9456285476684569    1.8373029899597169 -0.069086597442626949,  44.535742217130917   4.7364915467907149   18.252661541549852  -10.571766614546013   4.7520314289193539 -0.71622604917561095 -0.77426127808329637,  0.55898368358612061 -0.055847108364105225   0.21941523253917694, -0.70408469438552856 -0.015563102439045906 0.0098606664687395096   0.70987695455551147,0.0043883654288947582  0.048362255096435547  0.011725331656634808,  0.0042341672815382481      1.5676479339599609 -0.00019773229723796248,  0.24351213872432709   0.03197113424539566  0.066623762249946594   0.03197113424539566   0.22883246839046478 -0.023844730108976364  0.066623762249946594 -0.023844730108976364   0.19115602970123291,  -1.2210425962395632  -0.41854477663694212   -1.2433987354398823   0.78916731700662268   0.56505325934974593  0.062806625551914408 1.920045633596601e-05,0.034735068678855896
IIWA_7,1714566665.571156,-0.47736223780243697   1.1328306704323647 0.021188648912138515  -1.2598609977418684  -1.9534748707702636  -1.9051357086664018 -0.88928113993311042,  0.026618347497029956 -0.0074257381820525634    0.17957093963478807   -0.12758435748474334    0.19210394644508769 -0.0011686408677272131  -0.077500189975491796,  -15.329823867797852    60.083929973602295   -11.833119144439697   -11.710747032165527   -1.9834846687316894    1.8650043792724609 -0.028368892669677733,  44.472124978290829   4.8680374769951218    17.91291208663651   -10.57573732673054    4.526262293119367 -0.56500643389128857 -0.73199665126315827,  0.55903905630111694 -0.055444382131099701   0.21960347890853882, -0.70355278253555298 -0.015607724897563457 0.0096365902572870255   0.71040624380111694,0.0056955204345285892  0.054778821766376495  0.016931416466832161,  0.0042341672815382481      1.5676479339599609 -0.00019773229723796248,  0.24354003369808197  0.031885329633951187  0.066663868725299835  0.031885329633951187   0.22888796031475067 -0.023793475702404976  0.066663868725299835 -0.023793475702404976   0.19110234081745148,    -1.217176294888489    -0.4173817398109847    -1.2398652611800287    0.78773773728535446    0.56399307453869341   0.063599393198998655 1.9526511074730024e-05,0.040059208869934082
