DesiredFlux,0.56,HitTime,1714565355.7901089,DesiredPos,0.56046766042709351 0.29417794942855835 0.21929585933685303
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714565355.1138356,-0.48631906768347255   1.1460353089359261 0.022404628310483069  -1.2377320664396858  -1.9608675076031961  -1.9022742951357148 -0.88325469277706536,-2.2667752965789998e-05 -4.0212324613545354e-06 -0.00012058606707058056   0.0029323987195283381  8.3013108471239138e-06 -1.7615350236963827e-06   0.0077376193405018561, 0.33471818161010741   65.877646289825435  -1.8540695571899415  -16.727123260498047  -1.2739024925231934   1.7658801307678222 -0.29637149047851563,-0.11626150634948981 -0.49389289866219893 -0.19343690209681558 -0.66547632139785273  0.60414959797563228  0.38216846023780299  0.53047958795964112,  0.56245207786560059 -0.060430016368627548   0.21601793169975281,  -0.7044597864151001  -0.01429339312016964 0.0062644840218126774   0.70957231521606445, 0.00073409767355769873 -0.00046113479766063392  0.00043546076631173491,-0.00032010267022997141     0.80476123094558716  0.00053107307758182287,  0.24289631843566895  0.031617116183042526   0.06715875118970871  0.031617116183042526   0.22823648154735565 -0.023926006630063057   0.06715875118970871 -0.023926006630063057   0.19167265295982361,  -1.2138421712810654  -0.42913025904578461   -1.2336482032750951   0.82398316915721637   0.55837769803179782  0.042895537062825895 1.610978550559139e-05,0.00067508028587326407
IIWA_7,1714565355.1188333,-0.48631900779686255     1.14603500928471 0.022404388654960153  -1.2377162473207612  -1.9608675076031961  -1.9022742951357148 -0.88321604355161065,-1.5738737972458645e-05 -1.5203034611581931e-05 -0.00010605507457311641   0.0029786837326052661  6.6410486776991316e-06 -1.4092280189571063e-06   0.0077360644905899723, 0.36160317611694337   65.831941799163815  -1.8549499320983887  -16.690147514343263  -1.2703809928894043   1.7682163925170897 -0.29804024887084962, 24.809824011325766  2.5957303203179958   6.580192033209924 -5.8561060948662806   4.579367023403532 -1.5956523827917053 -0.6890615994913134,  0.56245982646942139 -0.060434486716985703   0.21602289378643036, -0.70446562767028809 -0.014278138056397438 0.0062791989184916019   0.70956671237945557, 0.00074960890924558043 -0.00045615650014951825  0.00045835951459594071,-0.00032057432690635324      0.8047606348991394  0.00053074199240654707,  0.24289283156394958  0.031618461012840271  0.067160017788410187  0.031618461012840271   0.22823509573936462 -0.023925887420773506  0.067160017788410187 -0.023925887420773506   0.19167628884315491,   -1.2139082015183433   -0.42913309043601799    -1.2336814279443331    0.82402653144164617    0.55838826189891222   0.042874496499756276 1.6099238386857451e-05,0.00068889663089066744
IIWA_7,1714565355.1238613,-0.48631888791455957    1.146035249049316 0.022404268772657158  -1.2376990499371427   -1.960867699414881  -1.9022742951357148 -0.88317439846849499,-7.7956982590248878e-06 -2.5718434513814865e-06 -8.9639351778267838e-05   0.0030708423308239991 -2.3596284570297254e-06 -1.1273824151656852e-06   0.0078546549170983807, 0.37907842254638674   65.826564800262446  -1.8391031837463379     -16.677822265625  -1.2747828674316406   1.7658801307678222 -0.29937525558471678,  24.809799662399747   2.5956412237983062   6.5806716437103274    -5.85574915799456   4.5797037702281207  -1.5959325941800242 -0.69012983820676788,  0.56246393918991089 -0.060436725616455078   0.21602557599544525, -0.70446866750717163 -0.014269415289163589 0.0062878304161131382   0.70956379175186157, 0.00076412659836933017 -0.00045445308205671608  0.00047426839591935277,-0.00032110008760355413      0.8047599196434021  0.00053040398051962256,  0.24289093911647797  0.031619161367416382  0.067160703241825104  0.031619161367416382   0.22823441028594971 -0.023925796151161194  0.067160703241825104 -0.023925796151161194   0.19167822599411011,   -1.2139424762018791   -0.42913396463450937    -1.2336976559632618    0.82404905125699202    0.55839400023405261   0.042864127001607244 1.6093615329282329e-05,0.00070118042640388012
IIWA_7,1714565355.1288314,-0.48629198333689083   1.1460417205120164 0.022429375770279408  -1.2377028848618417  -1.9608562903720936  -1.9022977243265105 -0.88314108231473598,  0.0010699465481423976  0.00025680103325433079  0.00093256842346735108   0.0023032768767028439   0.0004544740087304767 -0.00093806953775918422   0.0076163700840391445, 0.18012946319580078   65.766073562622068  -2.2115017700195314  -16.408427543640137  -1.4306092262268066   1.8663393859863282 -0.26933760452270505,  24.809799662399747   2.5956412237983062   6.5806716437103274    -5.85574915799456   4.5797037702281207  -1.5959325941800242 -0.69012983820676788,  0.56246393918991089 -0.060436725616455078   0.21602557599544525, -0.70446866750717163 -0.014269415289163589 0.0062878304161131382   0.70956379175186157, 0.00076412659836933017 -0.00045445308205671608  0.00047426839591935277,-0.00032171266502700746     0.80475908517837524  0.00053001288324594498,  0.24289093911647797  0.031619161367416382  0.067160703241825104  0.031619161367416382   0.22823441028594971 -0.023925796151161194  0.067160703241825104 -0.023925796151161194   0.19167822599411011,   -1.2139424762018791   -0.42913396463450937    -1.2336976559632618    0.82404905125699202    0.55839400023405261   0.042864127001607244 1.6093615329282329e-05,0.00070118042640388012
IIWA_7,1714565355.133832,-0.48585803459823507   1.1460928332427425 0.022640897349233281  -1.2378331534010505  -1.9606994409483425  -1.9024911496772812 -0.88320807405099688,  0.018213906784744518   0.002249950055647887  0.0092069178969288283 -0.0033681200669910521  0.0066375561570307705 -0.0084874696610359509  0.0034134266167952431, -7.2226537742614747   63.791370716094974  -6.0675438690185546  -14.037577915191649  -1.2166781234741211   2.0822767219543459 -0.37079811477661134,  24.779908725327211   2.5919125296105996    6.557660579951774  -5.8428351266371701   4.5797816218164424  -1.5818617594572086 -0.69298761872503656,  0.56246864795684814 -0.060414772480726242   0.21603472530841827, -0.70445400476455688 -0.014265571720898151 0.0063228425569832325   0.70957809686660767,0.00064155366271734238 0.00060582219157367945     0.0006480633164756,-0.00032233359524980187     0.80475836992263794  0.00052956765284761786,  0.24288661777973175  0.031619802117347717  0.067163199186325073  0.031619802117347717   0.22823703289031982 -0.023922793567180634  0.067163199186325073 -0.023922793567180634   0.19167912006378174,   -1.2139391153311863   -0.42904851607872274    -1.2335917772361427    0.82400598422616156    0.55843781743369902   0.042991986624052458 1.6114244161258284e-05,0.00076182914199307561
IIWA_7,1714565355.1388333,-0.48534277282414123    1.146091335204829 0.022705372429795829  -1.2378977483639162  -1.9603807563932989  -1.9027711012528825 -0.88323150324179256,  0.035181596391548962  0.0017400385279785361  0.0099445375400449652 -0.0052782945682210407   0.018057427127367826  -0.017988038752882556   0.001793573661609143, -13.982885643005371   64.056187911987308  -8.1029706573486333  -14.873934078216552  -1.8751985549926757   1.7515288085937499 -0.21360107421874999,  24.779908725327211   2.5919125296105996    6.557660579951774  -5.8428351266371701   4.5797816218164424  -1.5818617594572086 -0.69298761872503656,  0.56246864795684814 -0.060414772480726242   0.21603472530841827, -0.70445400476455688 -0.014265571720898151 0.0063228425569832325   0.70957809686660767,0.00064155366271734238 0.00060582219157367945     0.0006480633164756,-0.00032298549194820225     0.80475759506225586  0.00052911153761669993,  0.24288661777973175  0.031619802117347717  0.067163199186325073  0.031619802117347717   0.22823703289031982 -0.023922793567180634  0.067163199186325073 -0.023922793567180634   0.19167912006378174,   -1.2139391153311863   -0.42904851607872274    -1.2335917772361427    0.82400598422616156    0.55843781743369902   0.042991986624052458 1.6114244161258284e-05,0.00076182914199307561
IIWA_7,1714565355.143837,-0.48487514839390061   1.1461046975546652 0.022718255468586347   -1.238079309402764  -1.9598220038940386  -1.9032218279507209 -0.88324510535623491,     0.046850254322864  0.0019265248158299006  0.0084709515836566794  -0.011485077208489257    0.03679604167230608  -0.032419498915842469 0.00089077435159347698, -17.214461982727052   64.389561843872073   -9.169985046386719  -14.371240005493163  -1.6093253326416015   2.2972128028869627 -0.14484822845458983,  24.395342322755546   2.5968637467614775   6.2823311232757062  -5.7559951554314885   4.5532938382458408  -1.4397341204536789 -0.67816927456654297,  0.56246936321258545 -0.060080170631408691   0.21608325839042664,  -0.7042725682258606 -0.014469398185610771 0.0064945695921778679   0.70975250005722046,0.00053831603145226836   0.013867767527699471  0.0024604809004813433,-0.00032369280233979225     0.80476117134094238  0.00052869017235934734,  0.24286679923534393  0.031615749001502991  0.067180082201957703  0.031615749001502991    0.2282806783914566 -0.023885462433099747  0.067180082201957703 -0.023885462433099747    0.1916588693857193,    -1.213318242152539    -0.4278668340713665    -1.2320267818441977    0.82288638940575254    0.55885980194947393    0.04459875757412135 1.6449659412387518e-05,0.0098072998225688934
IIWA_7,1714565355.1488321, -0.4844790098136616   1.1461138055553668  0.02270531254318587  -1.2383553060622805  -1.9590027622256487  -1.9038291884586978 -0.88325187647015113,  0.053325746667851753   0.001905539880729555  0.0062590442509062681  -0.020227928147451307   0.062206500073439648  -0.050230019451747113 0.00044177492462572909, -17.261510723114014   63.706682983398437  -7.9726751708984374  -13.972430171966552  -1.6524637031555176   1.8436442718505859 -0.22962115478515624,  23.868655871019772   2.7597301316618341   5.8663364136127036  -5.6872996668209419   4.3640875168641218  -1.1247779588518396 -0.63843423111868913,  0.56250721216201782 -0.059468131512403488   0.21630419790744781, -0.70381122827529907 -0.014806473627686501 0.0067552882246673107   0.71020060777664185,0.0015893507516011596  0.030790483579039574  0.009637320414185524,-0.00032329405075870454     0.80480796098709106  0.00052689248695969582,  0.24285045266151428  0.031628429889678955  0.067209631204605103  0.031628429889678955   0.22833481431007385 -0.023838063701987267  0.067209631204605103 -0.023838063701987267   0.19162566959857941,   -1.2132280212275859   -0.42602575096939432    -1.2305435203057158    0.82117809984261214    0.55964990807666481   0.047572688766095439 1.7106842165048874e-05,0.022475104779005051
IIWA_7,1714565355.153836,-0.48409143992738524   1.1461114087819715 0.022720172930935818  -1.2387209447956748  -1.9579359745753289  -1.9046108594714777 -0.88325337450806474,  0.058163392785335888  0.0014285609687713296   0.005601650910722962  -0.030807891853734917   0.092436706071546401  -0.071450856072594798 0.00029349842315636867, -13.287908535003663   63.111180355072023  -8.4383934974670414  -13.677504577636718  -1.9112939262390136   2.2141086349487304 -0.26032630920410155,  23.868655871019772   2.7597301316618341   5.8663364136127036  -5.6872996668209419   4.3640875168641218  -1.1247779588518396 -0.63843423111868913,  0.56250721216201782 -0.059468131512403488   0.21630419790744781, -0.70381122827529907 -0.014806473627686501 0.0067552882246673107   0.71020060777664185,0.0015893507516011596  0.030790483579039574  0.009637320414185524,-0.0003197992336936295    0.80484110116958618 0.00051325670210644603,  0.24285045266151428  0.031628429889678955  0.067209631204605103  0.031628429889678955   0.22833481431007385 -0.023838063701987267  0.067209631204605103 -0.023838063701987267   0.19162566959857941,   -1.2132280212275859   -0.42602575096939432    -1.2305435203057158    0.82117809984261214    0.55964990807666481   0.047572688766095439 1.7106842165048874e-05,0.022475104779005051
IIWA_7,1714565355.1588323,-0.48357348172868014   1.1461106897063196 0.022722749582327152  -1.2391748473382531  -1.9566058214532722  -1.9055024259041908 -0.88325277520563283,  0.067249042176472429  0.0011140857489406021  0.0045843867842317258  -0.042802415186118575    0.12715548973950286  -0.092823342166601985 0.00025877083580120978, -11.563236137390136   62.986165130615234  -7.7103234481811525  -13.663418579101561  -1.7942040634155274   1.9651298828124999 -0.26600008773803713,  23.642823964097744   2.9969950653382833   5.4547559730545805  -5.5993802067997693   4.0037106114694705 -0.68168926356500092 -0.61069728412091773,  0.56249582767486572 -0.058940310031175613   0.21670711040496826, -0.70291107892990112 -0.014919639565050602 0.0068588824942708015   0.71108812093734741,0.00056428794050589204   0.038720402866601944   0.020920069888234138,-0.0003189201233908534    0.80486607551574707 0.00048884470015764236,  0.24292470514774323   0.03162829577922821  0.067229323089122772   0.03162829577922821    0.2283606231212616 -0.023833701387047768  0.067229323089122772 -0.023833701387047768   0.19154243171215057,   -1.2129496107933235   -0.42522343994644274    -1.2304135961853646    0.82016719172361974    0.55979061076882886   0.050476055490911165 1.7885299463671345e-05,0.030622512102127075
IIWA_7,1714565355.1639123,-0.48290530129592663   1.1461090118994932 0.022739407659206658  -1.2397240843460648  -1.9549921694393593  -1.9065270771830272 -0.88325409347463346,   0.08052645105131867 0.00082415632609803349  0.0043338325025656004  -0.056211412461364123     0.1662704723481202    -0.1152447248867348  0.0001542859086158686, -11.920806564331055   62.474005985260007  -7.8511834335327144  -13.945138549804687   -2.084727783203125   1.9317547149658203 -0.22094361114501954,  23.470915978008566    3.132354695393603    5.178017965295135  -5.5431707761906139   3.7718358089695716 -0.41618229876617541 -0.59310304554333093,  0.56249898672103882 -0.058587633073329926    0.2169785350561142, -0.70230084657669067  -0.01496686227619648 0.0069002206437289715   0.71168947219848633,0.00055651995353400707   0.045027602463960648   0.027589999139308929,-0.00031105612288229167     0.80488097667694092  0.00045626427163369954,  0.24297912418842316   0.03162277489900589  0.067243292927742004   0.03162277489900589   0.22837649285793304 -0.023830942809581757  0.067243292927742004 -0.023830942809581757   0.19148530066013336,   -1.2125702002601102   -0.42470002757166725    -1.2302620346247295    0.81946681977207447    0.55975931691687464   0.052261937505626577 1.8374743504523394e-05,0.036742158234119415
IIWA_7,1714565355.1688321,-0.48211578055575294   1.1461084127061443 0.022742583394863739  -1.2403660193901915  -1.9531413257838368  -1.9076369361995271 -0.88325487254597823,  0.096001990448002464 0.00063535732692090736    0.00359409542833574  -0.070646531734158691    0.20705012409939458    -0.1365901405693862 9.2265873101905565e-05,  -13.27177753829956   62.933739391326903  -7.5553774642944331   -13.73208782196045  -1.7906825637817383   1.9938325271606445 -0.21760609436035155,  23.223487231186976   3.2783903462478454   4.8341384232804483  -5.4753610825024515   3.5061164225658024 -0.11549661276952961 -0.57088618401395663,  0.5625147819519043 -0.05813366174697876  0.21730092167854309, -0.70157188177108765 -0.015030704438686371 0.0069497623480856419    0.7124062180519104,0.0010474351001903415   0.05409514531493187  0.034962847828865051,-0.00029791874112561345     0.80489373207092285  0.00041277101263403893,  0.24304156005382538  0.031612943857908249  0.067262522876262665  0.031612943857908249   0.22839896380901337 -0.023822719231247902  0.067262522876262665 -0.023822719231247902   0.19141705334186554,   -1.2119555751555211   -0.42393441681376487    -1.2298589410306704    0.81848584165467031    0.55969901814290068   0.054412888871979703 1.8955160108191649e-05,0.044816702604293823
