DesiredFlux,0.64,HitTime,1714565589.5101023,DesiredPos,  0.563404381275177 0.29699832201004028 0.21915191411972046
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714565588.8875082,-0.48137365739482635   1.1178992250925792 0.018476798644624086  -1.2823446619785313  -1.9479760289240144  -1.8625515630367417 -0.89428737014653314,-2.1939923047310086e-06  0.00012723429376850707  3.7471647375581538e-06   0.0027378637778145963  -1.909703294707893e-06 -2.3047026450349907e-05  5.9375537914366201e-05, 0.52963439178466798   65.132931941986087  -1.9148154258728027   -16.64172689437866  -1.0899041366577149   1.8236191711425782 -0.28602518844604491,  0.4317810988227303 0.072273602698195633  0.79774311272331599 -0.30736839416614087  0.46860749849205352 -0.47631941863858324  0.51965525526167078,  0.56182998418807983 -0.054309539496898651   0.21745604276657104,  -0.71107685565948486 -0.0030395237263292074 -0.0041032079607248306    0.70309573411941528, 0.00073233572766184807 -0.00038048214628361166  0.00040020316373556852,0.00017452547035645694    0.92080831527709961 0.00018738536164164543,  0.24516099691390991  0.028694931417703629  0.066595278680324554  0.028694931417703629    0.2291187047958374 -0.023112690076231956  0.066595278680324554 -0.023112690076231956   0.19077944755554199,   -1.0932673757828582   -0.40770499781395131    -1.1732104765815876    0.73829540998016085    0.49775308211152947  -0.030120159229873877 1.5783960805038078e-06,0.00063748820684850216
IIWA_7,1714565588.8925483,-0.48137371739051937   1.1178995846304052 0.018476798644624086  -1.2823327975575254  -1.9479760289240144  -1.8625515630367417  -0.8942869507220973,-4.1550215647739297e-06  0.00011616894805303643  2.9977317900465233e-06   0.0026648678624864521 -1.5277626357663144e-06 -1.8437621160279927e-05  6.4277407765456188e-05, 0.52425739288330075   65.127554943084718  -1.9236191749572753  -16.647009143829344  -1.0943060111999512   1.8216166610717774 -0.28669269180297852,  29.450457519374403   3.2844135132174177   10.309358752493829  -7.1605589032468862   4.0814715093727667  -3.5263671908287115 -0.70388953626716522,  0.56183320283889771 -0.054311305284500122   0.21745778620243073,  -0.71107864379882812  -0.003042970784008503 -0.0041069015860557556    0.70309388637542725,  0.0007127955905161798 -0.00037503731437027454  0.00039014758658595383, 0.0001732737582642585    0.92080831527709961 0.00018645294767338783,  0.24515967071056366  0.028695408254861832  0.066595815122127533  0.028695408254861832   0.22911824285984039 -0.023112645372748375  0.066595815122127533 -0.023112645372748375   0.19078081846237183,   -1.0932899146203212   -0.40770601503847814    -1.1732214975852528    0.73831132958268597    0.49775682585906367  -0.030127831935899962 1.5767280814316109e-06,0.00062203203560784459
IIWA_7,1714565588.8975224,-0.48137377727712932    1.117900004054841 0.018476678762321092  -1.2823216522121714  -1.9479762207356992  -1.8625517428056546  -0.8942869507220973,-5.7194816497720501e-06  0.00010971213587639237 -2.3971066877374778e-06   0.0025777081041474751 -8.8946774989202988e-06 -2.1940853442898434e-05   5.142192621236495e-05, 0.52022464370727539   65.103358448028558  -1.9165761756896973  -16.642607269287108  -1.0978275108337403   1.8229516677856445 -0.28602518844604491,  29.450466677512477   3.2843871244985876   10.309448450055687   -7.160482740516029   4.0817866542096777  -3.5264606748000942 -0.70353645348794436,  0.56183630228042603 -0.054312977939844131   0.21745955944061279,  -0.71108049154281616 -0.0030463407747447491 -0.0041104773990809917    0.70309203863143921, 0.00069510360481217504 -0.00036683780490420759  0.00038297739229165018,0.00017327367095276713    0.92080783843994141 0.00018645284580998123,  0.24515837430953979  0.028695881366729736  0.066596344113349915  0.028695881366729736   0.22911778092384338 -0.023112595081329346  0.066596344113349915 -0.023112595081329346   0.19078217446804047,   -1.0933122572263088   -0.40770674327994527    -1.1732323892852392    0.73832649139937701    0.49776057105610505  -0.030135415317822378 1.5750378778989216e-06,0.00060767983086407185
IIWA_7,1714565588.9025354,-0.48134621351041873    1.117907254479803 0.018504542071164556  -1.2823364528223944  -1.9479657705768028  -1.8625870364174562 -0.89430001352980071,  0.0010979750831038675  0.00037778670717986205   0.0011126146683883777   0.0014701420743993901  0.00041089061385873323  -0.0014292971548161453 -0.00048137476716659936, 0.30917743682861326   64.983720222473139  -2.3373953819274904  -16.314227428436279  -1.2474912452697753   1.9567860908508301 -0.25131501388549804,  29.450421925080882   3.2840450327981041    10.30962374171812  -7.1601440533281284   4.0822602118518034  -3.5264930778323258 -0.70320895151409746,  0.56183916330337524 -0.054314583539962769   0.21746116876602173,  -0.71108222007751465 -0.0030496544204652309 -0.0041138408705592155    0.70309025049209595, 0.00067029462661594152 -0.00035776392905972898  0.00037053297273814678,0.00017268046212848276    0.92080718278884888 0.00018600381736177951, 0.24515716731548309 0.028696341440081596 0.066596820950508118 0.028696341440081596  0.22911736369132996 -0.02311255969107151 0.066596820950508118 -0.02311255969107151  0.19078344106674194,   -1.0933339087451088   -0.40770763933029031    -1.1732432202045118    0.73834090373825489    0.49776446971172561  -0.030142135660327085 1.5735235336933329e-06,0.00058754149358719587
IIWA_7,1714565588.90751, -0.4809229306969881   1.1179679546313597 0.018840519806585795  -1.2825086062093249  -1.9478500508840726  -1.8629482409237195 -0.89439313099055162,  0.017809692603708113  0.0027302354280111193   0.014329201151560262 -0.0057100218177025428  0.0049575002002935917  -0.015591617974385432 -0.0041097982437698121, -7.4229469833374022   62.365121757507325  -7.0764535140991214  -13.143997383117675  -1.1990706253051757   2.6880360183715819 -0.37079811477661134,   29.41672609521116   3.2811886821120511   10.281061099468531  -7.1447904943497811   4.0828085644326437  -3.5063652280593729 -0.70285481658578408,  0.56183463335037231 -0.054286956787109375    0.2174680083990097,  -0.71105891466140747 -0.0030718049965798855 -0.0040974994190037251    0.70311379432678223,0.00035482298699207604 0.00081891845911741257 0.00057019450468942523,0.00017206162738148123    0.92080622911453247 0.00018552599067334086, 0.24515612423419952 0.028696414083242416 0.066597960889339447 0.028696414083242416  0.22912105917930603 -0.02310972660779953 0.066597960889339447 -0.02310972660779953   0.1907808929681778,   -1.0933012409708454   -0.40762341693501014    -1.1731253605127279    0.73826744418337142    0.49781678368443494  -0.029964719288955166 1.6110739409214148e-06,0.00073610193794593215
IIWA_7,1714565588.9125226,-0.48043001960929532   1.1179735272494951 0.019070856580291555  -1.2825989672497715  -1.9476427717423812  -1.8635727388196217 -0.89446365810937856,  0.033964197590677779  0.0024070930678243138   0.020676831869478621 -0.0081824590720249862   0.012257165827890295  -0.037453210215598061 -0.0061089233480932578, -15.108022663116454   62.366466007232667  -9.8091372299194326  -13.745293445587158  -1.6225309562683106   2.0972955474853516 -0.16620833587646483,  28.972846410186936   3.3068446906315749   9.9153363010944808  -7.0189312427506971   4.0665988275495755  -3.2834902219620274 -0.69137373362140497,  0.56179702281951904 -0.053905367851257324   0.21755266189575195,  -0.71080315113067627 -0.0033459272235631943 -0.0038668918423354626    0.70337241888046265,-0.0012264109682291746   0.015915203839540482  0.0038430476561188698,0.00017091092013288289    0.92081069946289062 0.00018461763102095574, 0.24513430893421173 0.028697066009044647 0.066615372896194458 0.028697066009044647  0.22917047142982483 -0.02306775189936161 0.066615372896194458 -0.02306775189936161  0.19075529277324677,    -1.092853403727112   -0.40638368620804499     -1.171465299713681    0.73716977119175908    0.49849708865412623  -0.027762033727007918 2.0553576618453917e-06,0.011410752311348915
IIWA_7,1714565588.9175234,-0.48001099114499945   1.1179859308681566 0.019277344847848828  -1.2828258885232142  -1.9472322401081161  -1.8645860649841912 -0.89460195603581116, 0.043932496644376928  0.002421819200719654  0.024800996197873803 -0.015622818195328148  0.026226998032915304 -0.070495614755258673 -0.010419055735778875,  -18.418909736633299    62.730757682800295   -11.176359462738038   -13.104380512237549   -1.7184918212890625    2.8926257972717284 -0.030705154418945311,  28.588671139427277   3.4464820603633681   9.5737400565700685   -6.955245252598794   4.0027284575199049  -3.0142731153020099 -0.66369335087544334, 0.56175994873046875 -0.05353502556681633  0.21771939098834991,  -0.71050733327865601 -0.0036911519709974527  -0.003622452262789011    0.70367079973220825,-0.0024780489038676023   0.027534967288374901  0.0097450781613588333,0.00017125802696682513    0.92081069946289062 0.00018371254554949701,  0.24510310590267181  0.028720542788505554  0.066633716225624084  0.028720542788505554   0.22921028733253479 -0.023034429177641869  0.066633716225624084 -0.023034429177641869   0.19074296951293945,   -1.0933656256080226   -0.40527774913190484    -1.1706075834787555    0.73634249378962124    0.49947432819230642  -0.025222982793948745 2.5663036140599615e-06,0.020371630787849426
IIWA_7,1714565588.9225216,-0.47970197787385693   1.1180057049031664 0.019498273969637107  -1.2831462867952337  -1.9466117448412374  -1.8659811486522953 -0.89480269180723693, 0.047506528161202426 0.0027284167609699754  0.028677961829830206    -0.025314185437041  0.045801409101479625  -0.11219983852836837 -0.016364675445653662, -18.166190788269041   62.323450016021731  -9.2157645416259761  -12.912458782196044  -1.3416913604736327   2.2611676216125489 -0.13917444992065431,  28.297755827001563   3.6008591652127846   9.2370151692236568  -6.8547050917632104   3.9026533619902684   -2.658831281117561 -0.63859232414419631,  0.56165754795074463 -0.053194381296634674   0.21795345842838287,  -0.71004563570022583 -0.0040365639142692089 -0.0033691739663481712    0.70413601398468018,-0.0060944482684135437   0.035624295473098755   0.017160624265670776,0.00017126927559729666    0.92087119817733765 0.00018372462363913655,  0.24509896337985992  0.028752559795975685  0.066643238067626953  0.028752559795975685   0.22924412786960602 -0.023018734529614449  0.066643238067626953 -0.023018734529614449   0.19071024656295776,   -1.0942601102597038   -0.40456220692774991     -1.170454182086722     0.7358224649101075    0.50052224504959497  -0.022231331773703289 3.2225475621316946e-06,0.027803285047411919
IIWA_7,1714565588.9275215,-0.47941938986933724   1.1180226625221787 0.019855164240155741   -1.283559562763398  -1.9457387180594203  -1.8678098215212293 -0.89508354211832009,  0.04930874270974956 0.0028610381692690009  0.037217980284609521 -0.036782387076205486  0.071562198553868112  -0.16290678558005739 -0.024325752799849266, -14.133441612243653   62.344958011627199  -9.6885258674621575  -12.879004535675049  -1.8479069328308104   2.3372630043029785 -0.20725979232788086,  28.099483814343181    3.796261646860783   8.8873679562405492  -6.7492226979196506   3.7556974287245759  -2.2340136544719149 -0.60923109947636089,   0.5615045428276062 -0.052897050976753235   0.21826867759227753,  -0.70941430330276489 -0.0043894248083233833  -0.003135692561045289    0.70477110147476196,-0.011013338342308998   0.04033362865447998  0.026340687647461891,0.00017266515351366252    0.92092007398605347 0.00017179436690639704,  0.2451162189245224 0.028792312368750572 0.066647447645664215 0.028792312368750572  0.22927053272724152 -0.02302001416683197 0.066647447645664215 -0.02302001416683197  0.19066283106803894,   -1.0955197222886071   -0.40425739162586183    -1.1709729399216329    0.73569370796278122    0.50160389669695604  -0.018852940865343726 4.0135885726044762e-06,0.034339148551225662
IIWA_7,1714565588.9325533,-0.47901887705766044   1.1180414778260137 0.020292049168028736  -1.2840877674628923  -1.9446425928206381  -1.8699955044339018 -0.89550856273427026, 0.055467506634871683 0.0030414426888137028  0.047249781342607447 -0.050554097640737511   0.10109476839438328  -0.21775274497094652 -0.036461426877886532, -12.778437889099122   62.222631286621095  -9.2870749092102045  -12.811215667724609  -1.7924433135986328   2.5732254409790039 -0.15586203384399414,  27.880597539716678   4.0831708500359465   8.4137986001344522   -6.650066535196312   3.5409753842320932  -1.7014430512723284 -0.56257324468039538,  0.56131517887115479 -0.052555695176124573   0.21870891749858856,  -0.70855659246444702 -0.0048303375951945782 -0.0029059299267828465    0.70563143491744995,-0.016405684873461723  0.045810360461473465  0.038687422871589661, 0.0001749955554259941    0.92096161842346191 0.00012005977623630315,  0.24514012038707733   0.02883869968354702  0.066655874252319336   0.02883869968354702   0.22930055856704712 -0.023025356233119965  0.066655874252319336 -0.023025356233119965   0.19060404598712921,  -1.0969962282612045   -0.4040335292971875   -1.1716759869901949   0.73572413834899208   0.50283194602762649 -0.014657810911700153 5.024165972145056e-06,0.043196626007556915
