RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714566282.5732589,0.56754982471466064 0.40872487425804138 0.31906074285507202, 0.49703314900398254 -0.50254964828491211 -0.49872583150863647  0.50167161226272583,0.56754982471466064 0.40872487425804138 0.31906074285507202, 0.49703314900398254 -0.50254964828491211 -0.49872583150863647  0.50167161226272583
1714566282.5782926,0.56754952669143677 0.40872344374656677 0.31908091902732849, 0.49705216288566589 -0.50256037712097168 -0.49870723485946655  0.50166052579879761,0.56754952669143677 0.40872344374656677 0.31908091902732849, 0.49705216288566589 -0.50256037712097168 -0.49870723485946655  0.50166052579879761
1714566282.5832744,0.56754356622695923 0.40872779488563538 0.31907200813293457,  0.4970436692237854  -0.5025784969329834 -0.49867868423461914   0.5016791820526123,0.56754356622695923 0.40872779488563538 0.31907200813293457,  0.4970436692237854  -0.5025784969329834 -0.49867868423461914   0.5016791820526123
1714566282.5882201,0.56754136085510254 0.40872576832771301 0.31908884644508362, 0.49703377485275269 -0.50255352258682251 -0.49873468279838562  0.50165832042694092,0.56754136085510254 0.40872576832771301 0.31908884644508362, 0.49703377485275269 -0.50255352258682251 -0.49873468279838562  0.50165832042694092
1714566282.5932744,0.56755447387695312 0.40873920917510986 0.31904000043869019, 0.49701803922653198 -0.50259780883789062 -0.49866634607315063  0.50169748067855835,0.56755447387695312 0.40873920917510986 0.31904000043869019, 0.49701803922653198 -0.50259780883789062 -0.49866634607315063  0.50169748067855835
1714566282.5982692,0.56755310297012329 0.40871825814247131 0.31906133890151978, 0.49709978699684143 -0.50258451700210571 -0.49869734048843384   0.5015990138053894,0.56755310297012329 0.40871825814247131 0.31906133890151978, 0.49709978699684143 -0.50258451700210571 -0.49869734048843384   0.5015990138053894
1714566282.60325,0.56753474473953247 0.40874400734901428 0.31907728314399719, 0.49706199765205383 -0.50257086753845215 -0.49868524074554443  0.50166213512420654,0.56753474473953247 0.40874400734901428 0.31907728314399719, 0.49706199765205383 -0.50257086753845215 -0.49868524074554443  0.50166213512420654
1714566282.6082675,0.56754404306411743  0.4087885320186615 0.31898298859596252, 0.49700906872749329 -0.50258398056030273 -0.49865785241127014  0.50172865390777588,0.56754404306411743  0.4087885320186615 0.31898298859596252, 0.49700906872749329 -0.50258398056030273 -0.49865785241127014  0.50172865390777588
1714566282.6132915,0.56749624013900757 0.40887042880058289 0.31901204586029053, 0.49704286456108093 -0.50254362821578979  -0.4986320436000824  0.50176131725311279,0.56749624013900757 0.40887042880058289 0.31901204586029053, 0.49704286456108093 -0.50254362821578979  -0.4986320436000824  0.50176131725311279
1714566282.6183054, 0.5674736499786377 0.40894630551338196 0.31901389360427856, 0.49709674715995789 -0.50252938270568848 -0.49862712621688843  0.50172704458236694, 0.5674736499786377 0.40894630551338196 0.31901389360427856, 0.49709674715995789 -0.50252938270568848 -0.49862712621688843  0.50172704458236694
1714566282.6232631,0.56747329235076904 0.40895536541938782 0.31904926896095276,  0.4970804750919342 -0.50253868103027344 -0.49858766794204712  0.50177305936813354,0.56747329235076904 0.40895536541938782 0.31904926896095276,  0.4970804750919342 -0.50253868103027344 -0.49858766794204712  0.50177305936813354
1714566282.6282687,0.56750226020812988 0.40896576642990112 0.31905144453048706, 0.49707764387130737 -0.50254571437835693 -0.49858620762825012   0.5017702579498291,0.56750226020812988 0.40896576642990112 0.31905144453048706, 0.49707764387130737 -0.50254571437835693 -0.49858620762825012   0.5017702579498291
1714566282.6332951,0.56756412982940674 0.40892884135246277  0.3190491795539856,   0.497028648853302 -0.50254952907562256 -0.49866437911987305  0.50173735618591309,0.56756412982940674 0.40892884135246277  0.3190491795539856,   0.497028648853302 -0.50254952907562256 -0.49866437911987305  0.50173735618591309
1714566282.638263,0.56759768724441528 0.40890607237815857 0.31905421614646912, 0.49702218174934387 -0.50253850221633911 -0.49872925877571106   0.5016903281211853,0.56759768724441528 0.40890607237815857 0.31905421614646912, 0.49702218174934387 -0.50253850221633911 -0.49872925877571106   0.5016903281211853
1714566282.6432989,0.56758475303649902 0.40891021490097046 0.31909111142158508, 0.49711593985557556 -0.50247842073440552 -0.49877777695655823  0.50160932540893555,0.56758475303649902 0.40891021490097046 0.31909111142158508, 0.49711593985557556 -0.50247842073440552 -0.49877777695655823  0.50160932540893555
