RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714566405.6421032,0.57831311225891113 0.70731437206268311 0.31691628694534302,-0.38690996170043945  0.58766663074493408  0.59178376197814941 -0.39337077736854553,0.57831311225891113 0.70731437206268311 0.31691628694534302,-0.38690996170043945  0.58766663074493408  0.59178376197814941 -0.39337077736854553
1714566405.6470749,0.57863527536392212 0.70230787992477417 0.31692472100257874,-0.39006060361862183  0.58565992116928101  0.58956712484359741 -0.39656746387481689,0.57863527536392212 0.70230787992477417 0.31692472100257874,-0.39006060361862183  0.58565992116928101  0.58956712484359741 -0.39656746387481689
1714566405.6570747,0.57914221286773682 0.69465857744216919 0.31697633862495422,-0.39499455690383911    0.582649827003479  0.58615213632583618 -0.40115350484848022,0.57914221286773682 0.69465857744216919 0.31697633862495422,-0.39499455690383911    0.582649827003479  0.58615213632583618 -0.40115350484848022
1714566405.6621037,0.57955044507980347  0.6895415186882019 0.31696006655693054,-0.39806169271469116  0.58051568269729614   0.5838778018951416 -0.40451842546463013,0.57955044507980347  0.6895415186882019 0.31696006655693054,-0.39806169271469116  0.58051568269729614   0.5838778018951416 -0.40451842546463013
1714566405.6671028,0.57992500066757202 0.68436700105667114 0.31698185205459595,-0.40135374665260315    0.578529953956604  0.58131802082061768 -0.40778380632400513,0.57992500066757202 0.68436700105667114 0.31698185205459595,-0.40135374665260315    0.578529953956604  0.58131802082061768 -0.40778380632400513
1714566405.6721098,0.58039462566375732 0.67918503284454346 0.31704801321029663,-0.40472504496574402  0.57647591829299927  0.57876074314117432 -0.41098561882972717,0.58039462566375732 0.67918503284454346 0.31704801321029663,-0.40472504496574402  0.57647591829299927  0.57876074314117432 -0.41098561882972717
1714566405.682075,0.58110636472702026 0.67135894298553467 0.31706410646438599,-0.40958771109580994  0.57285189628601074  0.57550209760665894 -0.41578361392021179,0.58110636472702026 0.67135894298553467 0.31706410646438599,-0.40958771109580994  0.57285189628601074  0.57550209760665894 -0.41578361392021179
1714566405.6871026,0.58158665895462036 0.66608524322509766 0.31716668605804443,-0.41313198208808899  0.57054615020751953  0.57298976182937622 -0.41890543699264526,0.58158665895462036 0.66608524322509766 0.31716668605804443,-0.41313198208808899  0.57054615020751953  0.57298976182937622 -0.41890543699264526
1714566405.6920748,0.58213114738464355 0.66078931093215942 0.31712794303894043,-0.41605600714683533  0.56846350431442261   0.5704687237739563 -0.42227008938789368,0.58213114738464355 0.66078931093215942 0.31712794303894043,-0.41605600714683533  0.56846350431442261   0.5704687237739563 -0.42227008938789368
1714566405.6971583,0.58267390727996826 0.65545076131820679  0.3171226978302002, -0.4189257025718689  0.56598585844039917  0.56816786527633667 -0.42584806680679321,0.58267390727996826 0.65545076131820679  0.3171226978302002, -0.4189257025718689  0.56598585844039917  0.56816786527633667 -0.42584806680679321
1714566405.7070756,0.58346885442733765 0.64755529165267944 0.31717672944068909,-0.42415806651115417  0.56243669986724854  0.56426173448562622 -0.43053868412971497,0.58346885442733765 0.64755529165267944 0.31717672944068909,-0.42415806651115417  0.56243669986724854  0.56426173448562622 -0.43053868412971497
1714566405.7121131,0.58402729034423828 0.64224684238433838 0.31720477342605591,-0.42740583419799805  0.56036138534545898  0.56138944625854492 -0.43377557396888733,0.58402729034423828 0.64224684238433838 0.31720477342605591,-0.42740583419799805  0.56036138534545898  0.56138944625854492 -0.43377557396888733
