DesiredFlux,0.74,HitTime,1714666048.6240525,DesiredPos, 0.5466577410697937 0.31120771169662476 0.21846663951873779
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714666048.0800402,-0.48206316978711311   1.0416920182815952 0.016559262664073999  -1.3923609251277345  -1.9539843440726266  -1.8192945033141472 -0.92780005670596066,-0.00027998764589790102 -1.8585603986760365e-05 -0.00037174109849152101  0.00020634010616973783 -0.00010704316921702713 -0.00023112046914297476  3.2221081736249952e-05,-0.20432595825195313    62.54390697097778  -1.8540695571899415  -15.850269851684571  -1.2254818725585936    1.874683177947998 -0.22795239639282228,-0.25917153054983699    3.909145882146706 -0.11782788913341898 -0.72849975411534806 0.063270519199501538  -0.2170028474984351   0.5525915993035706,  0.54463332891464233 -0.044033318758010864   0.22969518601894379, -0.71963900327682495 0.0042571397498250008 -0.011902214027941227   0.69423335790634155,-4.9532627599546686e-05 -0.00017166401084978133   1.708924537524581e-05, 0.0014266381040215492     1.0680190324783325 -0.0079166479408740997,  0.24827994406223297  0.025921175256371498  0.064625784754753113  0.025921175256371498   0.23149293661117554 -0.022314459085464478  0.064625784754753113 -0.022314459085464478   0.18849967420101166,    -0.9675028588480572    -0.38699161773347868     -1.1170030833040911     0.59222185350460421     0.44205287391818615   -0.075573869670719773 -9.1613925334854684e-06,0.00012435503595042974
IIWA_7,1714666048.0850539,-0.48206502736285262   1.0416920781682053 0.016554888432636188  -1.3923572699719484  -1.9539847276959963   -1.819295402049629 -0.92779975705474471, -0.0002982931462985458 -1.2473018784794047e-05  -0.0004723621363056697  0.00031127831637747149 -0.00010097947016311799 -0.00022084579458692052  3.7762914027057379e-05,-0.21911270523071288   62.550628219604491  -1.8690359306335449  -15.812413730621337  -1.2219603729248047   1.8790219497680665 -0.22962115478515624,-0.25536070125562138   3.9086296754109351 -0.11451659225182997 -0.72958633277987983 0.063214146849371392 -0.21809834949609652  0.55262246332065601,  0.54463320970535278 -0.044035915285348892   0.22969497740268707, -0.71963989734649658 0.0042582089081406593 -0.011903146281838417   0.69423234462738037, -4.489963612286374e-05 -0.00024105579359456897  5.3512221711571328e-06, 0.0014269152889028192     1.0680183172225952 -0.0079168705269694328,  0.24828013777732849  0.025921378284692764  0.064625613391399384  0.025921378284692764   0.23149257898330688 -0.022314861416816711  0.064625613391399384 -0.022314861416816711   0.18849979341030121,   -0.96751333225952862    -0.38700133853808438      -1.117021002475127     0.59223090019777658     0.44205165683131042   -0.075582410175911718 -9.1630854015534169e-06,0.00016992910241242498
IIWA_7,1714666048.0900505,-0.48206640551846325   1.0416924975926412 0.016550094776762506  -1.3923533751606396   -1.953985111144833  -1.8192957017008449 -0.92779963728152481,-0.00029376074146410925  6.7985624061279873e-06 -0.00056963594399178446  0.00040481510545406534 -9.6121529597803664e-05 -0.00018866268430315294  3.5001260017551719e-05,-0.19894895935058593   62.603053958892822  -1.8831219291687011  -15.797447357177735  -1.2228407478332519   1.8820257148742676 -0.22761864471435547,-0.25536070125562138   3.9086296754109351 -0.11451659225182997 -0.72958633277987983 0.063214146849371392 -0.21809834949609652  0.55262246332065601,  0.54463320970535278 -0.044035915285348892   0.22969497740268707, -0.71963989734649658 0.0042582089081406593 -0.011903146281838417   0.69423234462738037, -4.489963612286374e-05 -0.00024105579359456897  5.3512221711571328e-06,0.0014273400884121656    1.0680183172225952 -0.007916843518614769,  0.24828013777732849  0.025921378284692764  0.064625613391399384  0.025921378284692764   0.23149257898330688 -0.022314861416816711  0.064625613391399384 -0.022314861416816711   0.18849979341030121,   -0.96751333225952862    -0.38700133853808438      -1.117021002475127     0.59223090019777658     0.44205165683131042   -0.075582410175911718 -9.1630854015534169e-06,0.00016992910241242498
IIWA_7,1714666048.0950489,-0.48206640551846325   1.0416924975926412 0.016550094776762506  -1.3923533751606396   -1.953985111144833  -1.8192957017008449 -0.92779963728152481,-0.00029376074146410925  6.7985624061279873e-06 -0.00056963594399178446  0.00040481510545406534 -9.6121529597803664e-05 -0.00018866268430315294  3.5001260017551719e-05,-0.19894895935058593   62.603053958892822  -1.8831219291687011  -15.797447357177735  -1.2228407478332519   1.8820257148742676 -0.22761864471435547,  30.04042916252487  4.2365672730083617  20.795127125246101 -9.1483237643968387 0.14763137491262818 -2.4423514321181714 0.55321288825644199,  0.54463440179824829 -0.044045086950063705   0.22969430685043335, -0.71964448690414429 0.0042608394287526608 -0.011907735839486122   0.69422751665115356,1.8144641217077151e-05 -0.0004215599037706852 -2.237644002889283e-05, 0.0014273396227508783     1.0680179595947266 -0.0079168407246470451,  0.24828039109706879  0.025922235101461411  0.064625188708305359  0.025922235101461411   0.23149122297763824 -0.022316208109259605  0.064625188708305359 -0.022316208109259605   0.18850068747997284,   -0.96755673458392977    -0.38703317653698832     -1.1170868443306503     0.59226434688675056     0.44204819969984044   -0.075617312850440044 -9.1704119853375232e-06,0.00029276066925376654
IIWA_7,1714666048.1000369,-0.48206658528737617    1.041692557588334 0.016545720545324695  -1.3923497198957706  -1.9539854945936697  -1.8192964207764968 -0.92779933763030886,-0.00024219934968818234  7.8386776392301752e-06 -0.00063067801270588037  0.00047006267912352883 -9.2235177145552201e-05 -0.00017969317351898388  3.9987056652098792e-05,-0.17071971511840819   62.689085941314694  -1.8663948059082032  -15.795686607360839  -1.2193192481994628   1.8870319900512695 -0.22795239639282228, 30.040419422677743  4.2365662905827639  20.795120725009937 -9.1483211411090135 0.14763137585643432 -2.4423512856360627 0.55321288825644199,  0.54463440179824829 -0.044045086950063705   0.22969430685043335, -0.71964448690414429 0.0042608394287526608 -0.011907735839486122   0.69422751665115356,1.8144641217077151e-05 -0.0004215599037706852 -2.237644002889283e-05, 0.0014273962005972862     1.0680172443389893 -0.0079165417701005936,  0.24828039109706879  0.025922235101461411  0.064625188708305359  0.025922235101461411   0.23149122297763824 -0.022316208109259605  0.064625188708305359 -0.022316208109259605   0.18850068747997284,   -0.96755673458392977    -0.38703317653698832     -1.1170868443306503     0.59226434688675056     0.44204819969984044   -0.075617312850440044 -9.1704119853375232e-06,0.00029276066925376654
IIWA_7,1714666048.1050508, -0.4820383624407068   1.0416935762061188 0.016573583854168159  -1.3923744673555669  -1.9539854945936697  -1.8193223066272977 -0.92779921785708896, 0.00093515438702417085  4.7015653502866862e-05  0.00060998994357386327 -0.00061384824855332783 -7.3788141716441769e-05  -0.0011791885708502857   3.678057411758485e-05, -0.3051446876525879    62.80200291824341  -2.3127448844909666  -15.501641387939452  -1.2642183685302735   1.9868237419128418 -0.22995490646362304, 30.040317719805824  4.2369312123334506   20.79573852515027 -9.1489728989858232 0.14744445152829483 -2.4428392997542407   0.553409325269972,0.54463493824005127 -0.0440472811460495 0.22969412803649902, -0.71964609622955322 0.0042610717937350273 -0.011908716522157192   0.69422584772109985, 3.6444478610064834e-05 -0.00042495550587773323  -2.485783988959156e-05, 0.0014272555708885193     1.0680158138275146 -0.0079164197668433189,   0.2482803612947464  0.025922568514943123  0.064625099301338196  0.025922568514943123    0.2314908355474472 -0.022316550835967064  0.064625099301338196 -0.022316550835967064    0.1885010302066803,   -0.96757235222355575    -0.38704044383663927     -1.1171065633730493     0.59227284172802541     0.44204915042733717   -0.075625702605996992 -9.1724832174122639e-06,0.00029601447749882936
IIWA_7,1714666048.1100485,  -0.481586077818345   1.0416942952817707 0.017062060823813185  -1.3926057628604473  -1.9539845358843115  -1.8195735559361008 -0.92779670109230761,   0.018839508404091265  6.6375548878755029e-05    0.020027070740660114  -0.0097428987940600814 -2.0682139048227647e-05   -0.010993323208806575  0.00013009505054836055, -9.0777183952331537   61.089428768157958  -8.8028687095642084  -11.765330276489257 -0.97105352401733402   2.6970473136901854  -0.3440979804992676, 30.005214868520504  4.2343564602592441  20.765474589355183 -9.1320080859360768 0.15164233309134678 -2.4238664873981284 0.55156082270131368,  0.54462736845016479 -0.044017981737852097   0.22969955205917358, -0.71962767839431763 0.0042445436120033264 -0.011884027160704136   0.69424545764923096,-0.00027315359329804778  0.00083186093252152205  0.00019686280575115234, 0.0014264283236116171     1.0680153369903564 -0.0079153617843985558, 0.24827945232391357 0.025922518223524094   0.0646258145570755 0.025922518223524094  0.23149468004703522 -0.02231331542134285   0.0646258145570755 -0.02231331542134285  0.18849825859069824,   -0.96753827587203745    -0.38695155602752607     -1.1169846792373761     0.59218813608286069     0.44210896867991067   -0.075452428392352999 -9.1389473766412266e-06,0.00062177731888368726
IIWA_7,1714666048.1150491,-0.48111186204310108   1.0416717049398467 0.017578760749210665  -1.3927846873612941  -1.9539824266539103  -1.8199164246677413  -0.9277872935494732,  0.034040237733029999 -0.0008505132378561212   0.036689653608427283  -0.014951299069119173 6.7823504810458454e-05  -0.022509407832663926 0.00048037775381490322, -17.883898345947266   60.428057903289798  -13.677504577636718  -12.437936706542969 -0.91118803024291994   1.9908287620544434 -0.18356342315673829, 29.500540653931921  4.2705968072708664  20.307506079419095 -8.9764270011040477 0.18067196932256219 -2.1877597122689494 0.54834701902519034,  0.54457968473434448 -0.043560013175010681   0.22979854047298431, -0.71939361095428467 0.0039461739361286163 -0.011580955237150192   0.69449490308761597,-0.0021334332413971424   0.018980778753757477  0.0041188704781234264, 0.0014260110910981894     1.0680153369903564 -0.0079150190576910973,  0.24824264645576477  0.025918774306774139  0.064649403095245361  0.025918774306774139   0.23155371844768524 -0.022253822535276413  0.064649403095245361 -0.022253822535276413   0.18847754597663879,   -0.96690366375984382    -0.38540379778861933     -1.1147906316422151     0.59085221033239321     0.44294882158357751   -0.073037589324975727 -8.6814848643257392e-06,0.013536799699068069
IIWA_7,1714666048.1200378,-0.48081848823105333   1.0416748807845868 0.018141360106858635  -1.3931373830602047   -1.953987220375234  -1.8205058687164482 -0.92778441724686589,   0.038967142668333926 -0.00055337680068179328    0.051855697192660657   -0.026068867211719741 -0.00013749004909844912   -0.041585288214405797  0.00049935430734444604,-21.339964389801025  60.711694595336915 -14.657361850738525 -11.042542476654052 -1.2122762489318848  3.1499483413696288 -0.1705471076965332, 29.062982085003039  4.3598337159253413  19.882882487235584  -8.871959314046773  0.1878082883124825 -1.9505621906000792 0.55675604836342951,  0.54453867673873901 -0.043088078498840332   0.22993981838226318, -0.71913802623748779 0.0035909703001379967  -0.01127212680876255   0.69476652145385742,-0.003367547644302249  0.034052431583404541 0.0089509785175323486,0.0014260186580941081    1.0680209398269653 -0.007915060967206955,  0.24819451570510864  0.025922596454620361   0.06467745453119278  0.025922596454620361   0.23161305487155914 -0.022192619740962982   0.06467745453119278 -0.022192619740962982   0.18846602737903595,   -0.96654875424562192     -0.3838133062368243     -1.1127061415487915     0.58956388088926559     0.44393402956899308   -0.070394598661316365 -8.1808462226717893e-06,0.02450219914317131
IIWA_7,1714666048.1250725,-0.48070110273063504    1.041666551746147 0.018859634652553636  -1.3935948808719592  -1.9539802216049333  -1.8212765142661769 -0.92778267955342941,   0.035869134151398654 -0.00077586297813887512    0.070215539581928568   -0.039155006239552384  0.00016995877274671639   -0.064094052560673492  0.00046899118333461933, -20.702790019989013   59.315019130706787  -12.368387088775634  -11.427266311645507 -0.72630929946899414   2.1834034805297851 -0.18389717483520507, 28.765154238736219  4.3812024247609109  19.530910608824364  -8.689242995034494 0.22077480401252836 -1.6709856632784001 0.53722594751649411,  0.54440563917160034 -0.042669538408517838   0.23009330034255981,  -0.7187727689743042 0.0032915568444877863 -0.010906449519097805   0.69515174627304077,-0.0080421417951583862    0.04396023228764534   0.013309985399246216, 0.0014324304647743702     1.0681045055389404 -0.0079248342663049698,  0.24817320704460144  0.025927325710654259     0.064692422747612  0.025927325710654259    0.2316710501909256 -0.022145992144942284     0.064692422747612 -0.022145992144942284   0.18842926621437073,  -0.96623960141251075   -0.38261486662616306    -1.1109945228522378     0.5885320166392205     0.4449378074342647   -0.06743454795010706 -7.577987126694552e-06,0.032299898564815521
