DesiredFlux,1.05,HitTime,1714666645.7672858,DesiredPos,0.54287797212600708 0.32312357425689697 0.21932008862495422
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714666645.2524278,-0.45523594303825565   1.1296248903502899 0.014805730910010686  -1.3081429830994176  -1.9559977897571148  -1.8917445956948991 -0.91025293441276556, 6.5676629966630784e-06 -6.1471467226668579e-06  1.0716478456907344e-05 -9.8596655050322554e-05  1.1662775467474776e-06 -8.5103490667387436e-06 -5.5245893526939662e-07,-0.088720481872558599    64.697395030975343   -1.8285386848449707   -15.388953399658202   -1.1673771286010741    1.8156091308593749  -0.20425602722167968,-0.078399135179160417   -2.9522528220977562    1.1845550728530929 -0.092667560050808007   0.62168442318405548    0.6738270764605887    -0.456377985363835,  0.54893761873245239 -0.037009868770837784   0.21085795760154724, -0.69934451580047607 -0.012709682807326317  0.020808074623346329   0.71436876058578491,-2.7292791855870746e-05  1.8182443454861641e-05 -1.9531824364094064e-05,-0.0054619805887341499     1.5162838697433472  0.0076262974180281162,  0.24786573648452759  0.029544001445174217  0.064879991114139557  0.029544001445174217   0.23190996050834656 -0.022477133199572563  0.064879991114139557 -0.022477133199572563   0.18567806482315063,   -1.0986688577334647   -0.36769777663181458    -1.1409182582653443    0.67595174648360512    0.55423334804594049    0.10663385519826818 2.8550233288626714e-05,2.6431918740854599e-05
IIWA_7,1714666645.2573841,-0.45523594303825565   1.1296247704679869  0.01480561102770769  -1.3081431628683304  -1.9559976939385388   -1.891744535699206 -0.91025293441276556, 5.2541303973304634e-06 -9.7130094970755164e-06  3.7778906456817901e-06 -8.6068080554932533e-05  4.7657650758989897e-06 -4.4084515301814264e-06 -4.4196714821551733e-07,-0.071245235443115229    64.692018032073975   -1.8276583099365233   -15.383671150207519   -1.1753005027770995     1.810602855682373  -0.20826104736328124,-0.078635192303862067   -2.9516957827912802    1.1840824592440822 -0.092730933772129348    0.6215423154432872   0.67417094205307615  -0.45633491192221082,  0.54893749952316284 -0.037009734660387039   0.21085815131664276, -0.69934427738189697 -0.012709802016615868  0.020808205008506775   0.71436899900436401, -2.610877163533587e-05   1.993754631257616e-05 -7.8141474659787491e-06,-0.0054614818654954433     1.5162838697433472  0.0076268082484602928,  0.24786573648452759  0.029544008895754814  0.064879998564720154  0.029544008895754814   0.23190999031066895 -0.022477122023701668  0.064879998564720154 -0.022477122023701668   0.18567803502082825,   -1.0986688566827496   -0.36769752164111935    -1.1409178910337658    0.67595138346732142    0.55423371299578861    0.10663531550303418 2.8550549480144127e-05,2.3382855943054892e-05
IIWA_7,1714666645.2624266, -0.4552358831516457   1.1296247704679869  0.01480561102770769  -1.3081434025238534  -1.9559976939385388  -1.8917444159259862 -0.91025305418598546, 6.5987687158172779e-06 -7.7704075976604135e-06  3.0223125165454324e-06 -7.8440685363234767e-05  3.8126120607191918e-06  1.2641675673197798e-06 -5.1445025144782272e-06,-0.071245235443115229    64.698739280700678   -1.8267779350280762   -15.372226276397704    -1.173539752960205    1.8116041107177734   -0.2032547721862793,  39.313010713180809   3.1641157591790168   24.776539002919602  -9.1083795083944619   1.1390413137170496   3.0102280366092335 -0.45630427117301486, 0.54893749952316284 -0.03700975701212883  0.21085816621780396, -0.69934427738189697 -0.012709720060229301  0.020808175206184387   0.71436899900436401,-2.1604186258628033e-05   1.505437285231892e-05 -5.7154807109327521e-06,-0.0054612550884485245     1.5162838697433472  0.0076264929957687855,  0.24786575138568878  0.029544005170464516   0.06487998366355896  0.029544005170464516   0.23190997540950775 -0.022477131336927414   0.06487998366355896 -0.022477131336927414   0.18567803502082825,   -1.0986687882885704   -0.36769768042965723     -1.140918233462962    0.67595127457753534    0.55423352234651446    0.10663496827501007 2.8550475761335292e-05,1.8658693079487421e-05
IIWA_7,1714666645.2674289, -0.4552358831516457   1.1296248903502899 0.014805730910010686  -1.3081434025238534  -1.9559976939385388  -1.8917445956948991 -0.91025305418598546, 5.2790149726538225e-06  -1.421033959186302e-06  7.2131421330804316e-06 -6.2752548290587816e-05  3.0500896485753534e-06  -6.179422460818666e-06 -4.1156020115825823e-06,-0.079310733795166011     64.69067378234864   -1.8258975601196288     -15.3739870262146   -1.1673771286010741    1.8139403724670411   -0.2035885238647461,   39.31301471114557   3.1641059793896389   24.776566605723485  -9.1084317054014807   1.1390318799999304   3.0101690532593821 -0.45628622042421207,  0.54893743991851807 -0.037009693682193756   0.21085810661315918, -0.69934427738189697 -0.012709682807326317  0.020808203145861626   0.71436899900436401,-1.9132781744701788e-05  1.4685531823488418e-05 -6.8808949436061084e-06,-0.0054612550884485245     1.5162839889526367  0.0076264939270913601,  0.24786578118801117  0.029543990269303322  0.064879976212978363  0.029543990269303322   0.23190999031066895 -0.022477125748991966  0.064879976212978363 -0.022477125748991966   0.18567800521850586,   -1.0986681114832919   -0.36769750841170179    -1.1409177266257231    0.67595082024141107    0.55423338809479361    0.10663498846863462 2.8550484643119489e-05,1.7368072803947143e-05
IIWA_7,1714666645.2724273,-0.45520795995619229   1.1296374737378645 0.014835451794593663  -1.3081721047906516    -1.95599644759892  -1.8917185299661021 -0.91025293441276556, 0.0011211510301147823 0.00050219867581641035  0.0011946058970255344  -0.001198292710559919 5.2293656472594311e-05  0.0010376856139085952 1.4984471866397472e-06,-0.29976768875122073   64.487692073822018  -2.2784102630615233  -15.017435188293456  -1.2017117500305177   1.7081410903930665 -0.20258726882934569,  39.313016467469367   3.1641828562345808   24.776499839195328  -9.1085026164964855   1.1389899963812393   3.0101972748438759 -0.45626928139171741,  0.54893743991851807 -0.037009645253419876   0.21085810661315918, -0.69934415817260742 -0.012709718197584152  0.020808281376957893   0.71436911821365356,-1.6542689991183579e-05  1.3571727322414517e-05 -5.7221182032662909e-06,-0.0054610040970146656     1.5162839889526367  0.0076261050999164581,  0.24786578118801117  0.029543990269303322  0.064879976212978363  0.029543990269303322   0.23191000521183014 -0.022477120161056519  0.064879976212978363 -0.022477120161056519   0.18567799031734467,   -1.0986680032392115   -0.36769740625697267    -1.1409174099110686    0.67595081705196236    0.55423356148853742    0.10663557733181506 2.8550611652633506e-05,1.5337760487454943e-05
IIWA_7,1714666645.2774286,-0.45475207995557138   1.1297346058922271 0.015327583920024678  -1.3084844136797542  -1.9559865725260122  -1.8914864553898767 -0.91025293441276556,  0.019132120848928298  0.0042870451151562506   0.020640969734861049  -0.013450989732552265 0.00043683784149163368   0.010113131540143967 1.1987577493117979e-06, -9.2901098518371583   60.613564365386964  -8.2596773910522465  -10.832132873535157  -1.1277602577209473   1.7635438690185548 -0.21660483932495117, 39.284564827768314  3.1421686389853103  24.760835619027258 -9.0912971557153384  1.1467820787669574  3.0096935287606592 -0.4603532201910755,  0.54893505573272705 -0.036979414522647858   0.21084839105606079, -0.69933587312698364 -0.012709697708487511  0.020825376734137535   0.71437674760818481,-0.00010859344183700159   0.0012200695928186178 -0.00039327400736510754,-0.0054609593935310841     1.5162839889526367  0.0076261716894805431,  0.24786669015884399  0.029540084302425385  0.064880520105361938  0.029540084302425385   0.23191457986831665 -0.022472629323601723  0.064880520105361938 -0.022472629323601723   0.18567372858524323,   -1.0984793962700579   -0.36758892452937175    -1.1406753389406887    0.67582642343388954     0.5542234163362636    0.10670602372186977 2.8564943299613788e-05,0.00089084124192595482
IIWA_7,1714666645.2824299,-0.45426564033057881    1.129698054007118 0.015890902462407552  -1.3087234989163357  -1.9559710410155315  -1.8909977986513187 -0.91025359349272439,   0.034763281678845154   0.0019675606877612843     0.03904551748320377   -0.020324201249299768  0.00097073069241791874    0.027636774774436143 -2.5404192153802523e-05, -18.279107765197754    60.57189262390137  -12.757512798309326  -10.774908504486083 -0.77384954452514643   1.3937470092773439 -0.19023845672607423,  38.826451234846658   2.9845100227972776   24.433968971982328  -8.9117119733352226   1.2166549441302443   3.0704823110164874 -0.49052410334260577,0.54892265796661377 -0.0365125872194767 0.21080371737480164, -0.69918829202651978 -0.012837703339755535  0.021067012101411819   0.71451175212860107,-0.00059128302382305264     0.01964941993355751  -0.0020984001457691193,-0.0054609924554824829     1.5162932872772217  0.0076262182556092739,   0.2478497177362442  0.029498713091015816  0.064900830388069153  0.029498713091015816   0.23198330402374268 -0.022401850670576096  0.064900830388069153 -0.022401850670576096   0.18563468754291534,   -1.0962904640994253   -0.36588081992405819    -1.1372888160448014    0.67408389819156866    0.55433695780227055    0.10813357471928242 2.8858733180925356e-05,0.013688779436051846
IIWA_7,1714666645.2873859,-0.45396915056040088   1.1296495179277832 0.016544162511718058   -1.309089017767427  -1.9559704657550101  -1.8902851567194523 -0.91025401291716024,   0.039670216150193421 -0.00036739462318092879    0.057366815958983269   -0.030880115043094743  0.00079959497479195152    0.050615097094203948  -3.710033115700524e-05, -22.759492099761964   60.198191200256346  -14.115931282043457   -11.73891902923584  -1.3082371139526368   1.4624998550415038 -0.19624598693847656,  38.453529135036568   2.9866328354899987   24.125388358285324  -8.8813150967167562   1.2310293689960561    3.070783280830506 -0.48747885762653631,  0.54898786544799805 -0.036019328981637955   0.21080510318279266, -0.69912713766098022 -0.013008058071136475  0.021196777001023293   0.71456468105316162, 0.0021147320512682199   0.035453658550977707 -0.0016174030024558306,-0.0054632220417261124     1.5164313316345215  0.0076410975307226181,  0.24780379235744476  0.029449915513396263   0.06493726372718811  0.029449915513396263   0.23205104470252991 -0.022316344082355499   0.06493726372718811 -0.022316344082355499    0.1856268048286438,   -1.0938368745438964   -0.36391775240041113    -1.1334524980606275    0.67217274500830371    0.55425468356151697    0.10912195198198305 2.9058350392574539e-05,0.024615084752440453
IIWA_7,1714666645.2924294,-0.45390707225323362   1.1296027195418847 0.017358310829385139  -1.3096541338898562  -1.9559644256940678  -1.8891956708222275 -0.91025467210620203,   0.034219305206845019  -0.0021658511344845185    0.078459385473869853   -0.047308736931641976  0.00088127841752522933    0.084071513564354994 -5.6047826597451477e-05, -21.942188266754151   60.184748703002931  -11.782057399749755  -10.982676982879639 -0.73775417327880854   0.6858596992492676 -0.22828614807128905,  38.261130366013674   2.9333699410865024   23.924613939197933  -8.8480990877223871   1.2607325929259023   3.0069262068208529 -0.50158058082147228,  0.54904747009277344 -0.035581249743700027   0.21076770126819611, -0.69909012317657471 -0.013058382086455822  0.021252423524856567   0.71459835767745972, 0.0040473076514899731   0.045893531292676926 -0.0027793894987553358,-0.005469894502311945    1.5165671110153198 0.0077065466903150082,  0.24777580797672272  0.029378237202763557  0.064969815313816071  0.029378237202763557   0.23211637139320374 -0.022231295704841614  0.064969815313816071 -0.022231295704841614   0.18561007082462311,   -1.0905603145987541   -0.36211569703326063    -1.1292391011910041    0.67025488613037254    0.55374005513542102    0.10950029128764527 2.9134207046865868e-05,0.031952455639839172
IIWA_7,1714666645.2974298,-0.45395650717713326   1.1295424388147641 0.018484468494021977  -1.3103347779369645  -1.9559525373838678  -1.8878037031122537 -0.91025563083737682,   0.025398047209490484  -0.0041439099924119992     0.10781381496456939   -0.065072751429646594   0.0011805551420220944     0.12293591925043805 -8.3187508269270559e-05, -17.831472606658934   59.169840160369873  -11.009968605041504   -10.75025800704956 -0.94376190185546871    1.432795955657959 -0.23529493331909179,  38.235597180014921   2.7913231691672338   23.818268282839377  -8.8020166915151243   1.3085320906534244   2.8486323958801165 -0.53971860919357728, 0.54910802841186523 -0.03518638014793396  0.21066170930862427, -0.69908285140991211 -0.012931842356920242  0.021205032244324684   0.71460920572280884,0.0056277662515640259  0.052521992474794388 -0.006444247905164957,-0.0055514969862997532     1.5166980028152466   0.007736782543361187,  0.24777416884899139  0.029267610982060432  0.064998693764209747  0.029267610982060432   0.23218232393264771 -0.022141007706522942  0.064998693764209747 -0.022141007706522942   0.18557724356651306,   -1.0858375501614503   -0.36040374462054103    -1.1241697679782447     0.6681803845651757    0.55255182101188183    0.10901071780722305 2.9034572968100747e-05,0.036835946142673492
