DesiredFlux,0.59,HitTime,1714665732.1640513,DesiredPos,0.54547339677810669  0.3289831280708313  0.2190169095993042
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714665731.5630081,-0.44959544773918725   1.1110875714321051 0.027182319330246518  -1.3219131571498439  -1.9527282056517581  -1.8666417191222608 -0.91977350226061982,-0.00012023088716359529  0.00031302560660742345   0.0021914037592566868   -5.93373347603548e-06 -0.00029230450869398734  3.5849681473702086e-06  6.3036039438654742e-06,-0.14786746978759766   64.249759872436528   -2.681621971130371  -15.764873485565186 -0.94024040222167971   1.8346329765319824 -0.25665504074096679, -0.26906507169744104  0.087555649632049329 -0.043429479655708259   -1.8103892262696808 -0.029652298858282244   0.55191357057235546   0.48493606350207652,  0.55234634876251221 -0.028617402538657188   0.21641074120998383,  -0.7030264139175415 -0.017468461766839027  0.011463400907814503   0.71085673570632935,6.4170715631917119e-05 0.00082970509538426995 0.00027525686891749501,-0.0023656757548451424    0.85311388969421387 0.00089770992053672671,  0.24618464708328247  0.027993084862828255  0.066022232174873352  0.027993084862828255   0.23287899792194366 -0.020540265366435051  0.066022232174873352 -0.020540265366435051   0.18712697923183441,   -1.0323301151542452   -0.32965306637500191     -1.062210465478941    0.62707657770388892    0.53109319909871999   0.085095905586030085 2.4334358528221856e-05,0.00060618703719228506
IIWA_7,1714665731.5679495,-0.44959544773918725   1.1110875714321051 0.027182319330246518  -1.3219131571498439  -1.9527282056517581  -1.8666417191222608 -0.91977350226061982,-0.00012023088716359529  0.00031302560660742345   0.0021914037592566868   -5.93373347603548e-06 -0.00029230450869398734  3.5849681473702086e-06  6.3036039438654742e-06,-0.14786746978759766   64.249759872436528   -2.681621971130371  -15.764873485565186 -0.94024040222167971   1.8346329765319824 -0.25665504074096679, -0.26900377196432451  0.073783920893809654 -0.038269277776527943   -1.8039238734578931 -0.024786523966521951    0.5487488570258453   0.48486520507547481, 0.55234634876251221 -0.02861480601131916  0.21641142666339874, -0.70302385091781616 -0.017470536753535271  0.011464321985840797   0.71085917949676514,5.1051072659902275e-05 0.00076759431976824999 0.00024800081155262887, -0.002365682041272521     0.8531145453453064 0.00089725037105381489,  0.24618418514728546  0.027992703020572662  0.066022589802742004  0.027992703020572662   0.23287953436374664 -0.020539646968245506  0.066022589802742004 -0.020539646968245506   0.18712688982486725,    -1.032311206105696   -0.32964243717525932     -1.062179533176888    0.62707052032706656    0.53109429771502903   0.085110471687244171 2.4337694526366249e-05,0.00055898813297972083
IIWA_7,1714665731.5729842,-0.44959670612157798   1.1110898484322804 0.027198737751603107   -1.321912917385238  -1.9527308901426805  -1.8666417191222608 -0.91977350226061982,-0.00012296860950304265   0.0002823083945386338   0.0019902057429422139  4.8339363894329458e-06 -0.00028295070829755637  3.7325309190281883e-06  5.4724578278969801e-06,-0.19357196044921876   64.244382873535159  -2.7062724685668944  -15.755189361572265 -0.94024040222167971   1.8383042449951172 -0.25698879241943362, 21.662466038434083  2.4327465003693973  13.567955522952349  -5.810410351670714 0.92161453610490585  1.9260632317741204 0.48478461169578191,  0.55234640836715698 -0.028612527996301651   0.21641197800636292, -0.7030215859413147 -0.01747225783765316   0.0114651033654809  0.71086138486862183,4.2882977140834555e-05 0.00070520170265808702 0.00022006443759892136,-0.0023656536359339952    0.85311520099639893 0.00089703703997656703,  0.24618376791477203  0.027992334216833115  0.066022917628288269  0.027992334216833115   0.23288002610206604 -0.020539084449410439  0.066022917628288269 -0.020539084449410439   0.18712683022022247,   -1.0322933217858932   -0.32963289229037684    -1.0621510283446156    0.62706515794630491    0.53109484919922068   0.085122797619519019 2.4340533144595611e-05,0.00051175797125324607
IIWA_7,1714665731.5779734,-0.44956992142621222    1.111095540932719  0.02724062259932478  -1.3219287366132457  -1.9527294519913769  -1.8666272781589468  -0.9197736820295328, 0.00097301292702824138  0.00045354673317414903   0.0032675585032206945  -0.0006289019711985264 -0.00016883451449400383  0.00058062455729698641 -2.8127902567977981e-06,-0.41134041595458987   64.182547386169432  -3.1904786682128905  -15.540377883911132 -0.98954139709472655   1.7862389831542969 -0.25565378570556641, 21.663112040936863  2.4325843911733318  13.568271616339707 -5.8104922474945253 0.92168111995604551  1.9262748911838905 0.48488173294770509,  0.55234652757644653 -0.028609814122319221   0.21641290187835693, -0.70301920175552368 -0.017474671825766563  0.011465850286185741   0.71086364984512329,3.9881088014226407e-05 0.00067268224665895104 0.00021337837097235024,-0.0023655693512409925    0.85311567783355713 0.00089676899369806051,  0.24618323147296906  0.027991997078061104  0.066023305058479309  0.027991997078061104   0.23288054764270782 -0.020538456737995148  0.066023305058479309 -0.020538456737995148   0.18712683022022247,   -1.0322762361623106   -0.32962177090745115    -1.0621211300527733    0.62705881033497946    0.53109642015947145   0.085137379477018271 2.4343862925491067e-05,0.00048883550334721804
IIWA_7,1714665731.5829754,-0.44913393523382095   1.1111412607051396 0.027820539222894118  -1.3220479196937105  -1.9527187140276869  -1.8665155251632739  -0.9197736820295328,   0.018217858037273348   0.0021916282833644024    0.025810711745350087  -0.0052704447955495681   0.0002944509360047799   0.0049346194727535085 -2.2502322054382387e-06, -9.6960732688903803   62.006207080841065  -9.6665164947509759  -13.692470951080322  -1.2606968688964844   1.8733481712341309 -0.24263747024536134, 21.664044209014218  2.4321711329162623  13.568991900672971 -5.8105419314228408 0.92176321720112775  1.9262518038896763 0.48489317028101497,  0.55234670639038086 -0.028607485815882683   0.21641363203525543, -0.70301711559295654 -0.017476536333560944  0.011466499418020248   0.71086567640304565,3.8602494896622375e-05 0.00063127890462055802  0.0001999975647777319, -0.002365542110055685    0.85311633348464966 0.00089656125055626035,  0.24618276953697205  0.027991663664579391  0.066023647785186768  0.027991663664579391   0.23288100957870483 -0.020537897944450378  0.066023647785186768 -0.020537897944450378   0.18712683022022247,   -1.0322598825398543   -0.32961206068549131    -1.0620939125214335    0.62705329992329695    0.53109718132304806   0.085149377656357217 2.4346602955915841e-05,0.00045874252100475132
IIWA_7,1714665731.5879462,-0.44870759645795311   1.1111458147054905 0.028286725610914221   -1.322142415310072  -1.9527111399968649  -1.8663633255802661 -0.91977326249601388,    0.0316278374645323  0.0019354626407243392   0.039296024917084171 -0.0079961804909014604 0.00053852198168691614   0.010035678898515935  1.498115499264885e-05, -17.394591445922853    62.56272646713257  -12.462587203979492  -13.482061347961425 -0.59249231338500974   1.8359679832458495 -0.23629618835449218, 21.173234079775817  2.4461697241629445  13.128484769201796 -5.7244807893288323 0.93815896524049514  2.0328232227723375 0.48936402180027072,  0.55237460136413574 -0.028115684166550636   0.21646474301815033, -0.70283794403076172 -0.017738169059157372  0.011667021550238132   0.71103304624557495,0.0011263502528890967  0.019821908324956894 0.0021727664861828089,-0.0023655076511204243    0.85311633348464966 0.00089621456572785974, 0.24613206088542938   0.0279583390802145 0.066059231758117676   0.0279583390802145  0.23294727504253387  -0.0204574353992939 0.066059231758117676  -0.0204574353992939  0.18711695075035095,  -1.0304428531808796  -0.32782971435985075   -1.0586538392649558   0.62553704428403023   0.53141858457461666  0.086888162688758541 2.471342952503619e-05,0.013811287470161915
IIWA_7,1714665731.5929577,-0.44843831091665987   1.1111637311647606 0.028749136851762259   -1.322316246503829  -1.9527090307664638  -1.8661791878900267 -0.91977308283618397,  0.036073691623355456  0.0022650284833868372   0.049933269567588888  -0.013350192142997673 0.00051518680138969175   0.015394050728388521 1.9171317190198247e-05, -20.036042156219484   61.893290103912356  -12.241613101959228  -13.137834758758546  -1.3091174888610839   1.6153581237792969 -0.23262491989135742, 20.847485509334867  2.4728112810599274  12.850425021011546 -5.6879489480966559  0.9464467990935187  2.0953298034150141 0.49828500448154756,  0.55241090059280396 -0.027705367654561996   0.21651077270507812, -0.70272612571716309 -0.017962988466024399  0.011820943094789982    0.7111353874206543,0.0023372496943920851  0.032271165400743484  0.003584712278097868,-0.0023655088152736425    0.85311686992645264 0.00089621508959680796,  0.24608516693115234  0.027932999655604362  0.066089555621147156  0.027932999655604362   0.23300023376941681 -0.020390264689922333  0.066089555621147156 -0.020390264689922333   0.18711568415164948,   -1.0290396752772324   -0.32632446139224669    -1.0558818680195259    0.62424371397185041     0.5316883855233101   0.088222040507623944 2.4990487013099028e-05,0.022509865462779999
IIWA_7,1714665731.5979822, -0.4483043273350551    1.111165888282633 0.029351703703865511  -1.3225601255053672  -1.9527054835592921  -1.8658605873071368 -0.91977320260940387,  0.034218296562875103  0.0018983075016024956   0.064049289738201176  -0.020435313775926795 0.00055403772798264818   0.025059263898307024 1.0546124956252783e-05, -18.914937885284424    62.04250182342529   -9.543264007568359  -12.941511154174805 -0.44370895385742187   1.3536968078613281 -0.25532003402709963, 20.684098250103375  2.4435648393277019  12.685067371633227 -5.6338136812999062 0.96925215906084317    2.12729245712613 0.49094795510376482,0.55242264270782471 -0.0273716039955616 0.21653057634830475,-0.70261251926422119 -0.01809685118496418 0.011943766847252846   0.7112421989440918,0.0023191345389932394  0.039168309420347214 0.0036666621454060078,-0.0023659118451178074    0.85325163602828979 0.00089609302813187242,  0.24605780839920044  0.027900474146008492  0.066112078726291656  0.027900474146008492   0.23304703831672668 -0.020333314314484596  0.066112078726291656 -0.020333314314484596   0.18710355460643768,   -1.0274279354351989   -0.32510807969732269    -1.0532990702181166    0.62311274811843731    0.53175119216763989   0.089225556255456695 2.5203026332576428e-05,0.02724764496088028
IIWA_7,1714665731.602951,-0.44820114314242793   1.1111740375521597 0.030207437327121389  -1.3228802840127807  -1.9526948415887111   -1.865400632726294 -0.91977338237831685,  0.031502004955386895  0.0018446167823518806   0.085468776720796086  -0.029154591317282035  0.0008689090056254135    0.03844559435235774 1.2461434458868449e-06, -15.477691337585449   61.623095909118653  -9.9059784698486322  -12.958238277435303 -0.98073764801025387   1.4027583045959473 -0.25865755081176756, 20.684098250103375  2.4435648393277019  12.685067371633227 -5.6338136812999062 0.96925215906084317    2.12729245712613 0.49094795510376482,0.55242264270782471 -0.0273716039955616 0.21653057634830475,-0.70261251926422119 -0.01809685118496418 0.011943766847252846   0.7112421989440918,0.0023191345389932394  0.039168309420347214 0.0036666621454060078,-0.0023974364157766104    0.85325157642364502 0.00086606142576783895,  0.24605780839920044  0.027900474146008492  0.066112078726291656  0.027900474146008492   0.23304703831672668 -0.020333314314484596  0.066112078726291656 -0.020333314314484596   0.18710355460643768,   -1.0274279354351989   -0.32510807969732269    -1.0532990702181166    0.62311274811843731    0.53175119216763989   0.089225556255456695 2.5203026332576428e-05,0.02724764496088028
IIWA_7,1714665731.6079736,-0.44801640625883982   1.1111679256272855 0.031250484267190591   -1.323300990283903  -1.9527049082987706  -1.8646849948276834 -0.91977272329835813,  0.032591079307833927  0.0012312164309131813    0.11009689897940494  -0.040151923898719216 0.00029245880211865242   0.059381991426311051 2.7360113105520544e-05,   -14.3633083152771   60.624318363189694  -10.950983486175536  -12.954716777801513  -1.0916648864746095   1.2952902641296387 -0.24931250381469727, 20.610765503189207  2.4219490788348583  12.532908189122422 -5.5998958464581801 0.98538708770034955  2.1287441632776396 0.48003485799828144,  0.55244052410125732 -0.027054665610194206   0.21655039489269257, -0.70248949527740479 -0.018179817125201225  0.012008026242256165   0.71136051416397095,0.0025524143129587173  0.044014371931552887 0.0037369818892329931,-0.0023975849617272615    0.85330432653427124 0.00086611503502354026,  0.24603420495986938   0.02785114012658596  0.066137537360191345   0.02785114012658596   0.23309560120105743 -0.020271524786949158  0.066137537360191345 -0.020271524786949158   0.18708956241607666,   -1.0251834960248729   -0.32390340571186726    -1.0502534322176516    0.62194234490320355     0.5315353941668377   0.089941899222623078 2.5362500544190425e-05,0.030591178685426712
