RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714665609.9939783,0.47599223256111145   1.040068507194519 0.31646639108657837, 0.49917984008789062 -0.50141733884811401 -0.49620366096496582  0.50317198038101196,0.47599223256111145   1.040068507194519 0.31646639108657837, 0.49917984008789062 -0.50141733884811401 -0.49620366096496582  0.50317198038101196
1714665609.9989803,0.47491821646690369  1.0406481027603149 0.31650996208190918, 0.49953237175941467 -0.50143831968307495 -0.49570828676223755  0.50328952074050903,0.47491821646690369  1.0406481027603149 0.31650996208190918, 0.49953237175941467 -0.50143831968307495 -0.49570828676223755  0.50328952074050903
1714665610.003983,0.47581693530082703  1.0402200222015381 0.31605055928230286, 0.49904000759124756 -0.50159353017807007  -0.4959850013256073  0.50335067510604858,0.47581693530082703  1.0402200222015381 0.31605055928230286, 0.49904000759124756 -0.50159353017807007  -0.4959850013256073  0.50335067510604858
1714665610.0089915,0.47598955035209656  1.0400667190551758 0.31649351119995117,  0.4990476667881012 -0.50144612789154053 -0.49620369076728821  0.50327438116073608,0.47598955035209656  1.0400667190551758 0.31649351119995117,  0.4990476667881012 -0.50144612789154053 -0.49620369076728821  0.50327438116073608
1714665610.0139844,0.47584477066993713  1.0401651859283447 0.31621789932250977, 0.49915140867233276 -0.50152802467346191 -0.49603033065795898  0.50326079130172729,0.47584477066993713  1.0401651859283447 0.31621789932250977, 0.49915140867233276 -0.50152802467346191 -0.49603033065795898  0.50326079130172729
1714665610.0189817,0.47594219446182251   1.040062427520752 0.31653577089309692, 0.49918678402900696 -0.50143098831176758 -0.49616187810897827   0.5031927227973938,0.47594219446182251   1.040062427520752 0.31653577089309692, 0.49918678402900696 -0.50143098831176758 -0.49616187810897827   0.5031927227973938
1714665610.0239792,0.47594562172889709  1.0400605201721191 0.31653377413749695,  0.4992193877696991 -0.50141221284866333 -0.49619263410568237  0.50314879417419434,0.47594562172889709  1.0400605201721191 0.31653377413749695,  0.4992193877696991 -0.50141221284866333 -0.49619263410568237  0.50314879417419434
1714665610.0290074,0.47600066661834717  1.0400429964065552  0.3165031373500824, 0.49923732876777649 -0.50143128633499146 -0.49619960784912109   0.5031050443649292,0.47600066661834717  1.0400429964065552  0.3165031373500824, 0.49923732876777649 -0.50143128633499146 -0.49619960784912109   0.5031050443649292
1714665610.0339832, 0.4748065173625946  1.0407191514968872 0.31624037027359009, 0.49956434965133667 -0.50155395269393921 -0.49557694792747498  0.50327187776565552, 0.4748065173625946  1.0407191514968872 0.31624037027359009, 0.49956434965133667 -0.50155395269393921 -0.49557694792747498  0.50327187776565552
1714665610.0389819,0.47604855895042419  1.0400253534317017 0.31650295853614807,  0.4991934597492218 -0.50141787528991699 -0.49621942639350891  0.50314241647720337,0.47604855895042419  1.0400253534317017 0.31650295853614807,  0.4991934597492218 -0.50141787528991699 -0.49621942639350891  0.50314241647720337
1714665610.0439832, 0.4758586585521698  1.0401777029037476 0.31607452034950256, 0.49919423460960388  -0.5015684962272644 -0.49602079391479492  0.50318735837936401, 0.4758586585521698  1.0401777029037476 0.31607452034950256, 0.49919423460960388  -0.5015684962272644 -0.49602079391479492  0.50318735837936401
1714665610.0489399,0.47602024674415588  1.0400820970535278  0.3164401650428772, 0.49913156032562256  -0.5013999342918396 -0.49620905518531799  0.50323188304901123,0.47602024674415588  1.0400820970535278  0.3164401650428772, 0.49913156032562256  -0.5013999342918396 -0.49620905518531799  0.50323188304901123
1714665610.0539863,0.47491914033889771  1.0406733751296997 0.31655704975128174, 0.49947112798690796 -0.50146222114562988 -0.49568971991539001  0.50334471464157104,0.47491914033889771  1.0406733751296997 0.31655704975128174, 0.49947112798690796 -0.50146222114562988 -0.49568971991539001  0.50334471464157104
1714665610.0590162,0.47486889362335205  1.0407001972198486 0.31644800305366516, 0.49946486949920654 -0.50148880481719971 -0.49565806984901428  0.50335562229156494,0.47486889362335205  1.0407001972198486 0.31644800305366516, 0.49946486949920654 -0.50148880481719971 -0.49565806984901428  0.50335562229156494
1714665610.0639834,0.47591590881347656  1.0400952100753784 0.31644371151924133, 0.49917301535606384 -0.50143915414810181 -0.49614757299423218   0.5032123327255249,0.47591590881347656  1.0400952100753784 0.31644371151924133, 0.49917301535606384 -0.50143915414810181 -0.49614757299423218   0.5032123327255249
1714665610.0689852,0.47587034106254578   1.040128231048584 0.31644752621650696, 0.49918028712272644 -0.50146055221557617 -0.49613413214683533   0.5031970739364624,0.47587034106254578   1.040128231048584 0.31644752621650696, 0.49918028712272644 -0.50146055221557617 -0.49613413214683533   0.5031970739364624
1714665610.0739801,0.47592344880104065  1.0401057004928589 0.31643006205558777, 0.49917888641357422 -0.50148606300354004 -0.49611765146255493  0.50318926572799683,0.47592344880104065  1.0401057004928589 0.31643006205558777, 0.49917888641357422 -0.50148606300354004 -0.49611765146255493  0.50318926572799683
1714665610.0789831,0.47589477896690369  1.0401124954223633 0.31643980741500854, 0.49915629625320435 -0.50146311521530151 -0.49608999490737915  0.50326180458068848,0.47589477896690369  1.0401124954223633 0.31643980741500854, 0.49915629625320435 -0.50146311521530151 -0.49608999490737915  0.50326180458068848
1714665610.0839927,0.47590863704681396  1.0400679111480713     0.3165283203125, 0.49923709034919739 -0.50143861770629883 -0.49615961313247681  0.50313746929168701,0.47590863704681396  1.0400679111480713     0.3165283203125, 0.49923709034919739 -0.50143861770629883 -0.49615961313247681  0.50313746929168701
1714665610.0889976,0.47486025094985962  1.0406812429428101 0.31644859910011292, 0.49946463108062744 -0.50148618221282959 -0.49565580487251282  0.50336074829101562,0.47486025094985962  1.0406812429428101 0.31644859910011292, 0.49946463108062744 -0.50148618221282959 -0.49565580487251282  0.50336074829101562
1714665610.0939815,0.4759162962436676  1.040080189704895 0.3164638876914978, 0.49921274185180664 -0.50144326686859131 -0.49615564942359924  0.50316089391708374,0.4759162962436676  1.040080189704895 0.3164638876914978, 0.49921274185180664 -0.50144326686859131 -0.49615564942359924  0.50316089391708374
1714665610.0989859,0.47486335039138794  1.0406529903411865 0.31653964519500732, 0.49947980046272278 -0.50148993730545044 -0.49563559889793396  0.50336182117462158,0.47486335039138794  1.0406529903411865 0.31653964519500732, 0.49947980046272278 -0.50148993730545044 -0.49563559889793396  0.50336182117462158
1714665610.1039829,0.47574874758720398  1.0402055978775024 0.31609442830085754, 0.49920055270195007 -0.50157052278518677 -0.49595656991004944   0.5032423734664917,0.47574874758720398  1.0402055978775024 0.31609442830085754, 0.49920055270195007 -0.50157052278518677 -0.49595656991004944   0.5032423734664917
1714665610.108948,0.47590965032577515  1.0401003360748291 0.31644615530967712, 0.49914634227752686 -0.50138270854949951 -0.49615928530693054  0.50328344106674194,0.47590965032577515  1.0401003360748291 0.31644615530967712, 0.49914634227752686 -0.50138270854949951 -0.49615928530693054  0.50328344106674194
1714665610.1139798,0.47585964202880859  1.0401090383529663 0.31651079654693604, 0.49919271469116211 -0.50139498710632324 -0.49615246057510376  0.50323200225830078,0.47585964202880859  1.0401090383529663 0.31651079654693604, 0.49919271469116211 -0.50139498710632324 -0.49615246057510376  0.50323200225830078
1714665610.1189849,0.47476851940155029  1.0406876802444458 0.31657209992408752, 0.49950739741325378 -0.50144362449645996 -0.49561974406242371  0.50339615345001221,0.47476851940155029  1.0406876802444458 0.31657209992408752, 0.49950739741325378 -0.50144362449645996 -0.49561974406242371  0.50339615345001221
1714665610.1239798,0.47472858428955078  1.0406794548034668 0.31658557057380676, 0.49955293536186218 -0.50143164396286011 -0.49559831619262695  0.50338399410247803,0.47472858428955078  1.0406794548034668 0.31658557057380676, 0.49955293536186218 -0.50143164396286011 -0.49559831619262695  0.50338399410247803
1714665610.1290138,0.47569739818572998  1.0401840209960938 0.31607270240783691, 0.49923908710479736 -0.50160872936248779 -0.49590107798576355  0.50322073698043823,0.47569739818572998  1.0401840209960938 0.31607270240783691, 0.49923908710479736 -0.50160872936248779 -0.49590107798576355  0.50322073698043823
1714665610.1339834,0.47462922334671021  1.0407412052154541 0.31631693243980408, 0.49954614043235779 -0.50156557559967041 -0.49545121192932129  0.50340211391448975,0.47462922334671021  1.0407412052154541 0.31631693243980408, 0.49954614043235779 -0.50156557559967041 -0.49545121192932129  0.50340211391448975
1714665610.1389837,0.47467124462127686  1.0407141447067261 0.31624609231948853, 0.49956768751144409 -0.50149649381637573 -0.49554017186164856  0.50336205959320068,0.47467124462127686  1.0407141447067261 0.31624609231948853, 0.49956768751144409 -0.50149649381637573 -0.49554017186164856  0.50336205959320068
1714665610.1440094,0.47574883699417114   1.040130615234375  0.3161558210849762, 0.49923780560493469 -0.50149244070053101 -0.49601787328720093  0.50322282314300537,0.47574883699417114   1.040130615234375  0.3161558210849762, 0.49923780560493469 -0.50149244070053101 -0.49601787328720093  0.50322282314300537
1714665610.1490135,0.47578883171081543  1.0400925874710083 0.31622511148452759, 0.49929407238960266 -0.50148648023605347 -0.49607133865356445  0.50312024354934692,0.47578883171081543  1.0400925874710083 0.31622511148452759, 0.49929407238960266 -0.50148648023605347 -0.49607133865356445  0.50312024354934692
1714665610.154109,0.47577464580535889  1.0400872230529785 0.31621015071868896, 0.49931424856185913 -0.50148087739944458 -0.49604633450508118  0.50313043594360352,0.47577464580535889  1.0400872230529785 0.31621015071868896, 0.49931424856185913 -0.50148087739944458 -0.49604633450508118  0.50313043594360352
1714665610.1589816,0.47575154900550842  1.0401203632354736 0.31616681814193726, 0.49926331639289856 -0.50150531530380249 -0.49602964520454407  0.50317305326461792,0.47575154900550842  1.0401203632354736 0.31616681814193726, 0.49926331639289856 -0.50150531530380249 -0.49602964520454407  0.50317305326461792
1714665610.1639881,0.47575753927230835  1.0401177406311035 0.31620973348617554, 0.49929130077362061 -0.50148898363113403 -0.49602988362312317  0.50316137075424194,0.47575753927230835  1.0401177406311035 0.31620973348617554, 0.49929130077362061 -0.50148898363113403 -0.49602988362312317  0.50316137075424194
1714665610.1689806,0.47465863823890686  1.0407291650772095 0.31626251339912415, 0.49955645203590393 -0.50145566463470459 -0.49557638168334961  0.50337821245193481,0.47465863823890686  1.0407291650772095 0.31626251339912415, 0.49955645203590393 -0.50145566463470459 -0.49557638168334961  0.50337821245193481
1714665610.1739798,0.47574156522750854  1.0401394367218018 0.31617715954780579, 0.49926289916038513 -0.50143522024154663  -0.4960792064666748  0.50319445133209229,0.47574156522750854  1.0401394367218018 0.31617715954780579, 0.49926289916038513 -0.50143522024154663  -0.4960792064666748  0.50319445133209229
1714665610.1789775,0.47464725375175476  1.0407531261444092 0.31620270013809204, 0.49952831864356995 -0.50147837400436401 -0.49554407596588135  0.50341528654098511,0.47464725375175476  1.0407531261444092 0.31620270013809204, 0.49952831864356995 -0.50147837400436401 -0.49554407596588135  0.50341528654098511
1714665610.183953,0.47567972540855408  1.0401562452316284 0.31622010469436646, 0.49927008152008057 -0.50142073631286621 -0.49606075882911682  0.50321996212005615,0.47567972540855408  1.0401562452316284 0.31622010469436646, 0.49927008152008057 -0.50142073631286621 -0.49606075882911682  0.50321996212005615
1714665610.1889796,  0.474691241979599  1.0407421588897705 0.31623771786689758, 0.49951952695846558  -0.5015103816986084 -0.49554574489593506  0.50339049100875854,  0.474691241979599  1.0407421588897705 0.31623771786689758, 0.49951952695846558  -0.5015103816986084 -0.49554574489593506  0.50339049100875854
1714665610.1939802,0.47585925459861755  1.0400844812393188 0.31644976139068604, 0.49923783540725708 -0.50139957666397095    -0.49616739153862  0.50316792726516724,0.47585925459861755  1.0400844812393188 0.31644976139068604, 0.49923783540725708 -0.50139957666397095    -0.49616739153862  0.50316792726516724
1714665610.1989841,0.47465446591377258  1.0407478809356689 0.31628525257110596, 0.49953931570053101 -0.50154250860214233  -0.4954906702041626  0.50339305400848389,0.47465446591377258  1.0407478809356689 0.31628525257110596, 0.49953931570053101 -0.50154250860214233  -0.4954906702041626  0.50339305400848389
1714665610.2039881,0.47585019469261169  1.0400576591491699 0.31655272841453552, 0.49925747513771057  -0.5013548731803894 -0.49618950486183167  0.50317114591598511,0.47585019469261169  1.0400576591491699 0.31655272841453552, 0.49925747513771057  -0.5013548731803894 -0.49618950486183167  0.50317114591598511
1714665610.2090268,0.47479391098022461  1.0406842231750488 0.31655386090278625, 0.49951475858688354 -0.50144422054290771 -0.49564605951309204  0.50336235761642456,0.47479391098022461  1.0406842231750488 0.31655386090278625, 0.49951475858688354 -0.50144422054290771 -0.49564605951309204  0.50336235761642456
1714665610.2139826,0.47588086128234863  1.0400806665420532 0.31648498773574829, 0.49922072887420654 -0.50141745805740356 -0.49615281820297241  0.50318145751953125,0.47588086128234863  1.0400806665420532 0.31648498773574829, 0.49922072887420654 -0.50141745805740356 -0.49615281820297241  0.50318145751953125
1714665610.2189806,0.47588136792182922  1.0400797128677368 0.31656232476234436, 0.49918118119239807 -0.50140774250030518  -0.4961567223072052  0.50322651863098145,0.47588136792182922  1.0400797128677368 0.31656232476234436, 0.49918118119239807 -0.50140774250030518  -0.4961567223072052  0.50322651863098145
1714665610.2239833,0.47479742765426636  1.0406988859176636 0.31652370095252991,  0.4995042085647583 -0.50144386291503906 -0.49563470482826233  0.50338435173034668,0.47479742765426636  1.0406988859176636 0.31652370095252991,  0.4995042085647583 -0.50144386291503906 -0.49563470482826233  0.50338435173034668
1714665610.2289817,0.47585207223892212  1.0401040315628052  0.3164677619934082,  0.4992218017578125 -0.50141876935958862 -0.49613067507743835  0.50320088863372803,0.47585207223892212  1.0401040315628052  0.3164677619934082,  0.4992218017578125 -0.50141876935958862 -0.49613067507743835  0.50320088863372803
1714665610.2346411,0.47588416934013367  1.0400959253311157 0.31642165780067444, 0.49917817115783691 -0.50138586759567261 -0.49615886807441711  0.50324922800064087,0.47588416934013367  1.0400959253311157 0.31642165780067444, 0.49917817115783691 -0.50138586759567261 -0.49615886807441711  0.50324922800064087
1714665610.2389855,0.47587764263153076  1.0400923490524292 0.31649219989776611, 0.49916616082191467 -0.50140392780303955 -0.49614652991294861  0.50325530767440796,0.47587764263153076  1.0400923490524292 0.31649219989776611, 0.49916616082191467 -0.50140392780303955 -0.49614652991294861  0.50325530767440796
1714665610.2439771,0.47573632001876831  1.0401701927185059 0.31617823243141174, 0.49914959073066711 -0.50149804353713989 -0.49600133299827576  0.50332105159759521,0.47573632001876831  1.0401701927185059 0.31617823243141174, 0.49914959073066711 -0.50149804353713989 -0.49600133299827576  0.50332105159759521
1714665610.2489793,0.47574785351753235  1.0402023792266846 0.31601887941360474, 0.49918723106384277 -0.50157284736633301 -0.49595341086387634  0.50325638055801392,0.47574785351753235  1.0402023792266846 0.31601887941360474, 0.49918723106384277 -0.50157284736633301 -0.49595341086387634  0.50325638055801392
1714665610.2539804,0.47588324546813965  1.0400779247283936 0.31647214293479919, 0.49916559457778931 -0.50138640403747559 -0.49616354703903198  0.50325649976730347,0.47588324546813965  1.0400779247283936 0.31647214293479919, 0.49916559457778931 -0.50138640403747559 -0.49616354703903198  0.50325649976730347
1714665610.2589817,0.47573381662368774  1.0401719808578491 0.31618013978004456, 0.49916696548461914 -0.50149405002593994 -0.49600315093994141  0.50330603122711182,0.47573381662368774  1.0401719808578491 0.31618013978004456, 0.49916696548461914 -0.50149405002593994 -0.49600315093994141  0.50330603122711182
1714665610.2639849,0.47466364502906799  1.0407426357269287 0.31628084182739258, 0.49957749247550964 -0.50151050090789795   -0.495534747838974  0.50334370136260986,0.47466364502906799  1.0407426357269287 0.31628084182739258, 0.49957749247550964 -0.50151050090789795   -0.495534747838974  0.50334370136260986
1714665610.2690051,0.47574061155319214  1.0401419401168823 0.31621164083480835, 0.49926036596298218 -0.50154095888137817  -0.4959922730922699  0.50317734479904175,0.47574061155319214  1.0401419401168823 0.31621164083480835, 0.49926036596298218 -0.50154095888137817  -0.4959922730922699  0.50317734479904175
1714665610.2739797,0.47574228048324585   1.040169358253479 0.31617507338523865, 0.49919840693473816 -0.50147134065628052 -0.49603566527366638    0.503265380859375,0.47574228048324585   1.040169358253479 0.31617507338523865, 0.49919840693473816 -0.50147134065628052 -0.49603566527366638    0.503265380859375
1714665610.2789817,0.47572305798530579  1.0401433706283569 0.31623184680938721, 0.49926632642745972 -0.50153446197509766 -0.49596688151359558  0.50320285558700562,0.47572305798530579  1.0401433706283569 0.31623184680938721, 0.49926632642745972 -0.50153446197509766 -0.49596688151359558  0.50320285558700562
1714665610.2839937,0.47572514414787292   1.040149450302124 0.31621661782264709, 0.49928021430969238  -0.5014653205871582 -0.49603116512298584  0.50319468975067139,0.47572514414787292   1.040149450302124 0.31621661782264709, 0.49928021430969238  -0.5014653205871582 -0.49603116512298584  0.50319468975067139
1714665610.2889876,0.47571775317192078  1.0401241779327393 0.31624564528465271, 0.49930569529533386 -0.50151121616363525 -0.49601200222969055  0.50314247608184814,0.47571775317192078  1.0401241779327393 0.31624564528465271, 0.49930569529533386 -0.50151121616363525 -0.49601200222969055  0.50314247608184814
1714665610.2939816,0.47570645809173584  1.0401220321655273 0.31624132394790649, 0.49931898713111877 -0.50150376558303833 -0.49600279331207275  0.50314587354660034,0.47570645809173584  1.0401220321655273 0.31624132394790649, 0.49931898713111877 -0.50150376558303833 -0.49600279331207275  0.50314587354660034
1714665610.2989898,0.47572141885757446  1.0401161909103394 0.31622791290283203, 0.49933400750160217   -0.501503586769104 -0.49599990248680115  0.50313401222229004,0.47572141885757446  1.0401161909103394 0.31622791290283203, 0.49933400750160217   -0.501503586769104 -0.49599990248680115  0.50313401222229004
1714665610.3039832,0.47572758793830872  1.0401270389556885 0.31622794270515442, 0.49924004077911377  -0.5014796257019043 -0.49601882696151733  0.50323241949081421,0.47572758793830872  1.0401270389556885 0.31622794270515442, 0.49924004077911377  -0.5014796257019043 -0.49601882696151733  0.50323241949081421
1714665610.3089669,0.47573745250701904  1.0401391983032227 0.31619805097579956, 0.49926000833511353 -0.50151479244232178 -0.49602425098419189  0.50317227840423584,0.47573745250701904  1.0401391983032227 0.31619805097579956, 0.49926000833511353 -0.50151479244232178 -0.49602425098419189  0.50317227840423584
1714665610.314008,0.47571364045143127  1.0401456356048584 0.31619158387184143, 0.49926456809043884 -0.50144767761230469  -0.4960552453994751  0.50320404767990112,0.47571364045143127  1.0401456356048584 0.31619158387184143, 0.49926456809043884 -0.50144767761230469  -0.4960552453994751  0.50320404767990112
1714665610.3189826,0.47574236989021301  1.0401551723480225 0.31617611646652222, 0.49919906258583069 -0.50154697895050049 -0.49596124887466431  0.50326275825500488,0.47574236989021301  1.0401551723480225 0.31617611646652222, 0.49919906258583069 -0.50154697895050049 -0.49596124887466431  0.50326275825500488
1714665610.3240089,0.47466358542442322  1.0407429933547974 0.31626874208450317, 0.49954617023468018 -0.50157278776168823 -0.49545839428901672  0.50338786840438843,0.47466358542442322  1.0407429933547974 0.31626874208450317, 0.49954617023468018 -0.50157278776168823 -0.49545839428901672  0.50338786840438843
1714665610.3289843, 0.4758966863155365  1.0400446653366089 0.31654495000839233,  0.4992595911026001 -0.50140953063964844  -0.4961647093296051  0.50313907861709595, 0.4758966863155365  1.0400446653366089 0.31654495000839233,  0.4992595911026001 -0.50140953063964844  -0.4961647093296051  0.50313907861709595
1714665610.3339388,0.47575226426124573  1.0401723384857178 0.31615808606147766, 0.49925130605697632 -0.50153666734695435 -0.49596735835075378  0.50321519374847412,0.47575226426124573  1.0401723384857178 0.31615808606147766, 0.49925130605697632 -0.50153666734695435 -0.49596735835075378  0.50321519374847412
1714665610.3389807,0.47576731443405151  1.0401650667190552 0.31621751189231873, 0.49919658899307251 -0.50152099132537842 -0.49599391222000122  0.50325882434844971,0.47576731443405151  1.0401650667190552 0.31621751189231873, 0.49919658899307251 -0.50152099132537842 -0.49599391222000122  0.50325882434844971
1714665610.3439825,0.47574356198310852  1.0401923656463623 0.31621542572975159, 0.49917897582054138 -0.50149238109588623 -0.49600374698638916  0.50329512357711792,0.47574356198310852  1.0401923656463623 0.31621542572975159, 0.49917897582054138 -0.50149238109588623 -0.49600374698638916  0.50329512357711792
1714665610.3489809,0.47588938474655151  1.0400723218917847 0.31651178002357483, 0.49925288558006287 -0.50138968229293823 -0.49616557359695435  0.50316464900970459,0.47588938474655151  1.0400723218917847 0.31651178002357483, 0.49925288558006287 -0.50138968229293823 -0.49616557359695435  0.50316464900970459
1714665610.3539863, 0.4759024977684021  1.0400810241699219 0.31654968857765198, 0.49922049045562744  -0.5014413595199585 -0.49610337615013123  0.50320661067962646, 0.4759024977684021  1.0400810241699219 0.31654968857765198, 0.49922049045562744  -0.5014413595199585 -0.49610337615013123  0.50320661067962646
1714665610.3589797,0.47572913765907288  1.0401737689971924 0.31624996662139893, 0.49925637245178223 -0.50149309635162354  -0.4960043728351593  0.50321710109710693,0.47572913765907288  1.0401737689971924 0.31624996662139893, 0.49925637245178223 -0.50149309635162354  -0.4960043728351593  0.50321710109710693
1714665610.3639843,0.47569766640663147  1.0401664972305298 0.31622910499572754, 0.49928432703018188 -0.50148004293441772 -0.49595680832862854  0.50324922800064087,0.47569766640663147  1.0401664972305298 0.31622910499572754, 0.49928432703018188 -0.50148004293441772 -0.49595680832862854  0.50324922800064087
1714665610.3689451,0.47565606236457825   1.040162205696106 0.31625011563301086, 0.49923613667488098 -0.50150007009506226 -0.49597588181495667  0.50325822830200195,0.47565606236457825   1.040162205696106 0.31625011563301086, 0.49923613667488098 -0.50150007009506226 -0.49597588181495667  0.50325822830200195
