DesiredFlux,0.759,HitTime,1714991225.3762753,DesiredPos,0.53550946712493896 -0.2963329553604126  0.1979718804359436
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714991224.7954116, 0.56177120840812944   1.2273369497738238 -0.12076425539197216  -1.3254677980061307  -1.0587982169986614   1.8139675152908792 -0.57141940825719117, 1.3084464926298269e-06 -2.4589465096431508e-06  2.0416790380524747e-05   0.0011350055429887144 -7.0263471281590133e-06 -2.7386127769962455e-05 -8.9626871659931056e-07,-1.8878469696044924  69.940357826232912  5.0395922203063961 -15.091891666412353  1.6471814537048339 -2.0992980575561524 0.41585459136962888, 0.90376976392927788  -5.4905946267310393 -0.69861910366112445   1.2273755736257439  -1.8939519264242528  0.19698608792263597  0.25557614873035966, 0.53828966617584229 0.058193542063236237  0.17868615686893463,0.48364940285682678 -0.5004151463508606 0.49763458967208862 0.51771396398544312,0.00034401996526867151 0.00021848463802598417 0.00010740979632828385,-0.0038329360540956259    -1.1000044345855713   0.026633264496922493,   0.2507992684841156 -0.018439721316099167  0.063894420862197876 -0.018439721316099167   0.23483763635158539  0.031021172180771828  0.063894420862197876  0.031021172180771828   0.17655378580093384,    0.66854218853862335    -0.60195814684060878      1.1213727512711102     0.65710715268441078   -0.083411564300028829   -0.073479321277325482 -8.8817841970012523e-13,0.00029071417520754039
IIWA_14,1714991224.8004196, 0.56177108852582636   1.2273369497738238 -0.12076437527427517   -1.325462824581344  -1.0587981211800856   1.8139675152908792  -0.5714192883748882,-3.7485349292790598e-06 -1.9671572077145209e-06  1.1538140184367546e-05    0.001106941425857752 -1.7883346729079879e-06 -2.1908902215969964e-05  4.0782771456625805e-06,-1.9135669555664063   69.95064582061768  5.0382479705810548 -15.087858917236328  1.6463010787963868 -2.0972955474853516 0.41718959808349609, -39.76935532255235  5.6690024901867515 -23.537648038431431 -12.920878960678079 -1.4121074278712729 -2.4545013236282522 0.25539559360970215, 0.53829121589660645 0.058194540441036224  0.17868666350841522, 0.48364916443824768 -0.50041675567626953  0.49763524532318115  0.51771199703216553,0.00033807932049967349 0.00021462650329340249 0.00010572325118118897,-0.0038350059185177088    -1.1000041961669922   0.026632074266672134,  0.25079873204231262 -0.018439967185258865  0.063894703984260559 -0.018439967185258865   0.23483744263648987  0.031021300703287125  0.063894703984260559  0.031021300703287125   0.17655438184738159,  0.66855224705708594  -0.60196165824510928    1.1213812753299024   0.65711388620037781 -0.083412678265837314 -0.073474783832239154                     0,0.00028569321148097515
IIWA_14,1714991224.8053706, 0.56177108852582636   1.2273368898872139 -0.12076443516088511  -1.3254579709297774  -1.0587982169986614   1.8139672756353562 -0.57141958802610415,-2.9988279434232482e-06 -3.9691901619040775e-06  6.8350477495411305e-06   0.0010796992033526354 -5.2634107679456133e-06 -2.7113342692064707e-05 -8.7234269215273465e-06,-1.9135669555664063  69.968649810791021  5.0194284744262694 -15.081137668609619  1.6480618286132813 -2.1053055877685547  0.4178571014404297, -39.76909786457712  5.6691011268587594 -23.537371783760531  -12.92088293203075  -1.412167776490008 -2.4544554257343503 0.25521865473092786, 0.53829270601272583 0.058195345103740692  0.17868717014789581, 0.48364874720573425 -0.50041842460632324  0.49763581156730652  0.51771026849746704,0.00032931892201304436 0.00020391268481034786 0.00010509656567592174,-0.0038369211833924055    -1.1000039577484131    0.02663104422390461,  0.25079819560050964 -0.018440209329128265  0.063894994556903839 -0.018440209329128265   0.23483727872371674  0.031021390110254288  0.063894994556903839  0.031021390110254288   0.17655496299266815,   0.66856195096676174   -0.60196417067714947     1.1213884564709176    0.65711960101921818  -0.083414288222449784  -0.073470966661659531 3.5527136788005009e-12,0.00027684337692335248
IIWA_14,1714991224.8103914, 0.56176377821425438   1.2273421629632164 -0.12077941543093806   -1.325470854077651  -1.0587971622961945   1.8139542128276529 -0.57141940825719117,-0.00029481152523366013  0.00020774768797087373  -0.0005937427639183669  0.00034843344773725536  3.7977370062375518e-05 -0.00054420298228570214  2.1201498189350442e-07,-1.8029710159301759  69.809185897827149  5.2183774337768556 -14.837828468322753  1.6392580795288085 -2.0692604064941404 0.41618834304809571,-39.769058584023128  5.6691897962923781 -23.537271281317995 -12.920935930903434 -1.4121814680523233 -2.4543272525694135 0.25510092203954771, 0.53829419612884521 0.058196216821670532  0.17868766188621521, 0.48364859819412231 -0.50041991472244263  0.49763631820678711    0.517708420753479,0.00032335618743672967 0.00019793420506175607 0.00010380515595898032,-0.003838895121589303    -1.100003719329834  0.026629701256752014,  0.25079765915870667 -0.018440432846546173  0.063895270228385925 -0.018440432846546173   0.23483709990978241  0.031021486967802048  0.063895270228385925  0.031021486967802048   0.17655552923679352,   0.66857109642270984   -0.60196693468572704     1.1213956018281124    0.65712538349949057  -0.083415423776322939  -0.073466547224398937 8.8817841970012523e-13,0.00027114400290884078
IIWA_14,1714991224.8154116, 0.56160888209755222   1.2274309660791394  -0.1211550010139056  -1.3258171382004713  -1.0587918893074584    1.813624406903716 -0.57141958802610415, -0.0064316938882734648   0.0037183227872952624   -0.015498417529836018   -0.013572618154623775  0.00024130144549364477   -0.013627599343306294 -7.0211445336005786e-06, 6.9109602279663092  63.075693572998048  10.739211055755614 -7.7697634124755863  1.4887139701843262 -1.3660456199645996 0.42720214843749998, -39.75237025725864  5.6610145363192803 -23.526465010370011 -12.911339060361559 -1.4148220686440562 -2.4550538188273374 0.25717449436556417, 0.53829306364059448 0.058184400200843811  0.17868448793888092, 0.48364618420600891 -0.50041735172271729  0.49763482809066772  0.51771461963653564, 0.00021419726544991136 -0.00031420920277014375 -4.3897456635022536e-05,-0.0038409640546888113    -1.1000036001205444   0.026628509163856506,  0.25079822540283203 -0.018438819795846939  0.063895434141159058 -0.018438819795846939   0.23483888804912567  0.031018955633044243  0.063895434141159058  0.031018955633044243   0.17655357718467712,     0.6685024292716335    -0.60190169500273782      1.1212888110563313     0.65705745221311673    -0.08341641274878242   -0.073488493940843114 -1.7763568394002505e-12,0.00026405078824609518
IIWA_14,1714991224.8204119, 0.56154752286603682   1.2274256930031369 -0.12157912278529107  -1.3260767764343242  -1.0588032983502458   1.8130292103588777 -0.57142012733284309, -0.0075997243712348124   0.0027637351897358132   -0.029363604879287571   -0.021243623877814539 -0.00026332055510118468   -0.034709941268177259 -2.7189185184226609e-05, 11.967509468078614  62.957381637573249  12.633258918762207 -8.0614656028747564 0.86804965972900394 -2.1610421180725097 0.42286337661743162,-39.752357344285919  5.6610765499853697 -23.526427629357336 -12.911388667800525 -1.4147846140723155 -2.4550519927767924 0.25717449436556417, 0.53829306364059448 0.058184400200843811  0.17868448793888092, 0.48364618420600891 -0.50041735172271729  0.49763482809066772  0.51771461963653564, 0.00021419726544991136 -0.00031420920277014375 -4.3897456635022536e-05,-0.0038429484702646732    -1.1000032424926758   0.026627305895090103,  0.25079822540283203 -0.018438819795846939  0.063895434141159058 -0.018438819795846939   0.23483888804912567  0.031018955633044243  0.063895434141159058  0.031018955633044243   0.17655357718467712,     0.6685024292716335    -0.60190169500273782      1.1212888110563313     0.65705745221311673    -0.08341641274878242   -0.073488493940843114 -1.7763568394002505e-12,0.00026405078824609518
IIWA_14,1714991224.8254123, 0.56151522533006248   1.2274332430793149 -0.12218744202444273  -1.3265294804811218  -1.0588013807569965   1.8121398610397299 -0.57141892894614543,  -0.007371680935961248   0.0025129911989098972   -0.047823653469496727   -0.035103060974157524 -0.00013395271410890919   -0.063341925780451711  2.6184119758775927e-05, 14.470064102172852  62.332385978698731  13.887443912506104 -8.1716940803527827  1.6788749504089355 -1.3179853782653808 0.40684329605102537,-39.220493298058976  5.4714135085007598 -23.118078364827991 -12.684957704893392 -1.4658706545649347 -2.4019835339075941 0.30439852912972665,  0.5383179783821106 0.057678766548633575  0.17858301103115082, 0.48362457752227783 -0.50033265352249146  0.49762961268424988  0.51782166957855225, 0.0013290591305121779  -0.018180033192038536 -0.0036125634796917439,-0.003844947088509798   -1.1000059843063354  0.026626216247677803, 0.25080648064613342 -0.01835673488676548 0.063913822174072266 -0.01835673488676548   0.2349170446395874 0.030891994014382362 0.063913822174072266 0.030891994014382362  0.17648820579051971,   0.66508314582769401   -0.59883651193004539     1.1159978214339006    0.65382322982010521  -0.083223845334323698  -0.073854400696404809 6.2172489379008766e-12,0.012817096896469593
IIWA_14,1714991224.8304136, 0.56150342090474969   1.2274253334653109 -0.12298996568570998   -1.327184598215255  -1.0588070373691023   1.8109932104825976 -0.57141898883275533, -0.0063695217612805641   0.0016940083989684406   -0.070359869226287342   -0.054287158144653277 -0.00033342665552036797   -0.096539562909651613  1.8551831411288281e-05, 16.064703231811524  62.206358047485352  13.261023540496826 -7.9176308822631833  1.0687751388549804 -1.5686328887939454 0.42486588668823244,-39.220588565444729  5.4714902691480676 -23.118108554101337 -12.685041466991187 -1.4658358268988432 -2.4019830850088937 0.30439852912972665,  0.5383179783821106 0.057678766548633575  0.17858301103115082, 0.48362457752227783 -0.50033265352249146  0.49762961268424988  0.51782166957855225, 0.0013290591305121779  -0.018180033192038536 -0.0036125634796917439,-0.0038441251963376999    -1.1000057458877563    0.02663574181497097, 0.25080648064613342 -0.01835673488676548 0.063913822174072266 -0.01835673488676548   0.2349170446395874 0.030891994014382362 0.063913822174072266 0.030891994014382362  0.17648820579051971,   0.66508314582769401   -0.59883651193004539     1.1159978214339006    0.65382322982010521  -0.083223845334323698  -0.073854400696404809 6.2172489379008766e-12,0.012817096896469593
IIWA_14,1714991224.8354137, 0.56151294832988718   1.2274282096588351 -0.12401994981807571  -1.3280320626866811  -1.0588144195882394   1.8095009347735207 -0.57141898883275533,  -0.004714520403524854   0.0014702544601442398   -0.097487260675658965   -0.077328305372763806 -0.00056203008990019757    -0.13692267869079933  1.4841465129030625e-05, 14.981891822814942  61.908006210327152  13.269089038848877 -6.7266256256103514  1.0687751388549804 -1.4057620697021485 0.43120716857910157,-39.007521373111771  5.3810828838969753 -22.929872277152867 -12.601585376999742   -1.48805725078871 -2.3144895710602245 0.33208227789417272, 0.53836184740066528 0.057370167225599289  0.17849715054035187, 0.48370093107223511 -0.50027638673782349  0.49764984846115112  0.51778525114059448, 0.0028073696885257959  -0.026892110705375671 -0.0063136634416878223,-0.0038445219397544861    -1.1001193523406982   0.026638491079211235,  0.25081166625022888 -0.018290696665644646  0.063927017152309418 -0.018290696665644646   0.23496855795383453  0.030797230079770088  0.063927017152309418  0.030797230079770088   0.17644837498664856,   0.66239940830303823   -0.59670976927872488     1.1120012482486175    0.65151099447113836   -0.08291640484703322  -0.073621646365928939 1.7763568394002505e-12,0.019149163737893105
IIWA_14,1714991224.8404152, 0.56150809478740349   1.2274235957718744 -0.12526517078995741  -1.3290207012780639  -1.0588125979880991   1.8077048589826938 -0.57141880906384235, -0.0039657580221677223  0.00099164808968684229    -0.12779864741579539    -0.10140818795352598 -0.00037676006630880753    -0.18138117458571373  1.9063928622339883e-05, 14.120272293090821  61.524778419494631  13.422333507537841 -6.4967589225769045  1.2501323699951172  -1.610351848602295 0.42186212158203124, -38.45870268446928  5.1173365623278855 -22.424061300560901 -12.345454173613406 -1.5479529236777965 -2.0989060074018377 0.42419363253116626, 0.53844934701919556 0.056468963623046875  0.17824932932853699, 0.48394805192947388 -0.50004029273986816   0.4977295994758606  0.51770573854446411,0.0049283239059150219 -0.050086311995983124  -0.01306596677750349,-0.0039050902705639601    -1.1001113653182983   0.026959221810102463,  0.25084227323532104 -0.018085811287164688  0.063957259058952332 -0.018085811287164688     0.235123410820961  0.030516734346747398  0.063957259058952332  0.030516734346747398   0.17631685733795166,  0.65411479153087981  -0.59050122661030713    1.1000114145094386   0.64462155585598424 -0.081819970424668043 -0.072985626027310957                     0,0.035853266716003418
