DesiredFlux,1,HitTime,1714992284.8321157,DesiredPos, 0.54785174131393433 -0.26703459024429321  0.19781592488288879
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714992284.2976193, 0.61433815335757902   1.0859654601311961 -0.12750442320244454  -1.4651174541282375  -1.0721736665782422   1.7059082759783861  -0.5928802788998403,  0.0018486647403897613  3.2779685597292802e-07  -0.0022199931159808603  6.0971666908794048e-05  2.4968964750137675e-06 -4.2723414211206747e-05   1.095962582917696e-05,  -1.66408309173584  67.774735008239745  4.8863477516174321 -14.238293090820312 0.97897689819335931 -2.3693031654357912 0.21093106079101562,  -1.7864928505666298    2.6871949835242908   -1.8484323264048153    3.0264662291498485 -0.062556897053858626   0.53208247178662715    1.0235881106815596, 0.52894777059555054 0.070234321057796478  0.21371349692344666, 0.53500276803970337 -0.49101701378822327  0.49761959910392761  0.47439336776733398,8.2818049122579396e-05 0.00045293549192138016 0.00047803905908949673, 0.046716339886188507   -1.4461631774902344 -0.039257992058992386,   0.2514977753162384 -0.015520360320806503  0.063093699514865875 -0.015520360320806503   0.23365636169910431  0.029200933873653412  0.063093699514865875  0.029200933873653412   0.18013153970241547,    0.56830862943346716    -0.62105664916511927      1.0374799600425533     0.58034850350896505  -0.0021736670543504033     0.15695349932798308 -2.6645352591003757e-12,0.00045854708878323436
IIWA_14,1714992284.3026152, 0.61433827323988199    1.085965400244586 -0.12750921685831823  -1.4651173343550177  -1.0721735707596662   1.7059079164405602  -0.5928802788998403,  0.0014837270844307512 -2.1332269198359022e-06  -0.0019677407277323535  5.3568262318500159e-05  5.8302602185120215e-06 -4.8560244407196165e-05  8.7677006633415681e-06,-1.5046191787719727  67.761875015258795   5.066477214813232 -14.220817844390869 0.97721614837646487 -2.3716394271850585 0.21259981918334961,  -1.7792259335406355    2.6825031834181123   -1.8460883082871948    3.0163809574488467 -0.057299306711806511   0.54012308232507389    1.0229223632739937, 0.52894937992095947 0.070230491459369659   0.2137160450220108, 0.53499811887741089 -0.49101808667182922  0.49762201309204102  0.47439491748809814,0.00013184896670281887 0.00020901148673146963 0.00048440898535773158, 0.046712655574083328   -1.4461649656295776 -0.039270121604204178,  0.25149676203727722 -0.015520143322646618  0.063094466924667358 -0.015520143322646618   0.23365698754787445  0.029200071468949318  0.063094466924667358  0.029200071468949318   0.18013191223144531,    0.56829768936772496    -0.62103505481658772      1.0374482958432907     0.58033045564620522  -0.0021746082694562574     0.15693667894112195 -1.7763568394002505e-12,0.00037569663254544139
IIWA_14,1714992284.307615, 0.61433875255092785    1.085965400244586 -0.12750951650953418  -1.4651174541282375  -1.0721735707596662   1.7059080363228631  -0.5928802788998403,  0.0012061541093787377 -1.7065815358687218e-06  -0.0015861786308239403  3.8063681063335209e-05  4.6642081748096173e-06 -3.4052903406814904e-05  7.0141605306732551e-06,-1.2679953079223634  67.769591011047368  5.1350339508056644 -14.240981590270996 0.97017314910888675 -2.3696369171142577   0.211932315826416,-57.073871138769128  10.013076045459096 -39.362026035132047 -20.781745450556237  1.6628723624935799  4.8087769518022707  1.0227487752939404, 0.52894997596740723 0.070228897035121918  0.21371705830097198, 0.53499627113342285 -0.49101847410202026  0.49762299656867981  0.47439560294151306,0.00012852413055952638 0.00010362875036662444  0.0004279410932213068, 0.046709585934877396   -1.4461656808853149 -0.039281114935874939,  0.25149637460708618 -0.015520038083195686  0.063094764947891235 -0.015520038083195686   0.23365725576877594  0.029199706390500069  0.063094764947891235  0.029199706390500069   0.18013203144073486,    0.56829256453383437    -0.62102598000013387      1.0374345128338902     0.58032266320662274  -0.0021749296914563843     0.15692979591896972 -8.8817841970012523e-13,0.0003168902185279876
IIWA_14,1714992284.3126194,  0.6143390522021438   1.0859654601311961 -0.12750909697601523  -1.4651173343550177  -1.0721735707596662   1.7059082759783861 -0.59288015901753721, 0.00097690933614104749  1.0301991759192673e-06  -0.0012521615639010427  3.5241873642133094e-05  3.7313665398476939e-06 -1.7656101806163189e-05  1.0406620547921525e-05,-1.0930994033813477  67.772163009643563  5.1914924392700197  -14.27458783340454 0.97721614837646487 -2.3703044204711916 0.21293357086181641,-57.072360235165426  10.011978463386788 -39.364095153229094 -20.780988119114877  1.6626261205090387  4.8087683313518799  1.0228299330024579, 0.52894991636276245 0.070229023694992065  0.21371713280677795, 0.53499627113342285 -0.49101832509040833  0.49762314558029175  0.47439560294151306,0.00010070089047076181 8.7752152467146516e-05 0.00034535580198280513,   0.0467066690325737   -1.4461663961410522 -0.039288297295570374,  0.25149637460708618 -0.015520021319389343  0.063094764947891235 -0.015520021319389343   0.23365725576877594  0.029199715703725815  0.063094764947891235  0.029199715703725815   0.18013203144073486,    0.5682919070713055   -0.62102658013163392     1.0374341763661477     0.5803230625822664 -0.0021742528160118013    0.15692952398715931                      0,0.00025581888621672988
IIWA_14,1714992284.3176146, 0.61433312004618235   1.0859688756314592 -0.12752323839719643  -1.4651364492009855  -1.0721700233779614   1.7059288888622677 -0.59288015901753721, 0.00054424123045474816   0.0001374441698631279  -0.0015673860983686872 -0.00073640033979981666  0.00014488036142496001  0.00081039047381724816  8.3252964383372196e-06,-0.90791550445556646   67.658995071411141    5.440178638458252  -13.984229892730713   0.9481637763977051  -2.4207009239196777  0.21293357086181641, -57.07134042318323   10.01113328186975 -39.366080186137225 -20.780481090049836  1.6624418554250762   4.808821455290933  1.0228796847010315, 0.52894985675811768 0.070229344069957733  0.21371707320213318,  0.5349963903427124 -0.49101826548576355  0.49762320518493652  0.47439548373222351,7.7900222095195204e-05 8.3048893429804593e-05 0.00027388488524593413, 0.046705696731805801   -1.4461663961410522 -0.039291221648454666,  0.25149640440940857 -0.015520034357905388  0.063094727694988251 -0.015520034357905388   0.23365721106529236  0.029199777171015739  0.063094727694988251  0.029199777171015739   0.18013203144073486,    0.5682925595236199   -0.62102833853128203     1.0374361650589137     0.5803246296149922 -0.0021738353552791523    0.15693018398721392 1.7763568394002505e-12,0.00020491964824032038
IIWA_14,1714992284.3226171, 0.61420506862053903   1.0860238832825773 -0.12789391044198728  -1.4655426545131007   -1.072094283069742   1.7064410946739244 -0.59287997924862434,-0.0046866640413688529  0.0023102613806144897  -0.016080790670329109   -0.01683733275644847  0.0031455166179175991   0.021136544845320765 1.3850993665344266e-05,  6.2268086013793953   62.952237640380865   11.239271953582763  -6.0813857574462888 0.034334621429443359  -4.7649727134704589  0.32707664489746091,-57.050270546215138  10.003374058971268 -39.350354149619491 -20.765774046080718  1.6588580044636079  4.7987990132723812  1.0250773656936436,  0.5289422869682312 0.070216618478298187  0.21371990442276001, 0.53498339653015137 -0.49101376533508301  0.49762243032455444  0.47441565990447998, -0.0002397926728008315 -0.00044255051761865616  0.00033260814961977303, 0.046706061810255051   -1.4461661577224731 -0.039291590452194214,  0.25149738788604736 -0.015519457869231701  0.063094563782215118 -0.015519457869231701   0.23365874588489532  0.029198607429862022  0.063094563782215118  0.029198607429862022   0.18012964725494385,    0.5682640370494596   -0.62099010134009092     1.0373855703189605    0.58028580850510991 -0.0021845743525261696    0.15684367488599804                      0,0.00041680512367747724
IIWA_14,1714992284.3276191, 0.61415293716294506   1.0860163332063995 -0.12830754594797752   -1.465815115790051  -1.0720489347033861   1.7071204204520318 -0.59287608432823236,-0.0058345895368540242  0.0015462060573792271  -0.029410052775873097  -0.024368317283168461  0.0043303479485674867   0.044082267000555647 0.00016687761061184069,  10.437170303344727   62.743905754089361   14.125376113891601  -6.1512867431640625 0.078353366851806633   -3.288121536254883  0.18690093994140625, -56.59243717198526  9.8701026886935814 -38.933071109439858 -20.457086238666843  1.5898721481103639  4.5571596003333745  1.0648185429545713,  0.5287821888923645 0.069920644164085388  0.21381828188896179,0.53465080261230469 -0.4909248948097229  0.4976271390914917 0.47487738728523254,-0.0065973936580121517  -0.012187309563159943  0.0042047272436320782, 0.046706322580575943   -1.4461688995361328 -0.039291538298130035,  0.25151053071022034 -0.015508959069848061  0.063095875084400177 -0.015508959069848061   0.23369401693344116  0.029171580448746681  0.063095875084400177  0.029171580448746681   0.18008299171924591,   0.56770833157582246   -0.62011520555937949      1.036262383673936    0.57942275495648232 -0.0024389567663263279    0.15477653808027014                      0,0.010004849173128605
IIWA_14,1714992284.3326192, 0.61411626550461595   1.0860195689377494 -0.12886343429648545  -1.4662293505984731  -1.0719911229408419   1.7082956535027423 -0.59287069147900984,-0.0061345379626472829   0.001366394099902218  -0.045763576161015333  -0.036064046163421806  0.0057767488606247364   0.082275135628861865 0.00034921605739021624, 12.687669075012208  63.551513313293462  14.270555084228516 -8.1743825798034671 0.44194820404052731 -3.9426085777282713 0.19424347686767579,-56.291890777724419   9.845970777667759 -38.569802802389489  -20.27552147793519  1.5679642759583494  4.3230100555332367  1.0711275833524836, 0.52865463495254517 0.069679617881774902  0.21400724351406097, 0.53425008058547974 -0.49086189270019531  0.49770647287368774  0.47531011700630188,-0.010385004803538322 -0.019375542178750038  0.010928569361567497, 0.046746470034122467   -1.4462347030639648 -0.039316568523645401, 0.25150325894355774 -0.01550997793674469 0.063106179237365723 -0.01550997793674469  0.23372162878513336 0.029157361015677452 0.063106179237365723 0.029157361015677452  0.18006214499473572,   0.56761210737565904   -0.61961983031366685     1.0357048790980983    0.57898029607805768 -0.0026285613428100874    0.15261900461549516 8.8817841970012523e-13,0.01695924811065197
IIWA_14,1714992284.3376195, 0.61407773616146433   1.0860266395937985 -0.12960411930610835  -1.4668895016440029   -1.071887866818833   1.7098876379084902 -0.59287003228996793,-0.0064488040961829304   0.001375941521885848  -0.066238261313728453  -0.055257278751927222   0.008751643968855749    0.12949948473300654 0.00030574040758846117, 12.993736907958985  63.865297142028815  13.414268009185792 -8.3209057998657219 0.36975746154785155 -3.9903350677490232 0.23429367828369141,-55.898247155299934  9.7943484441806223 -38.076386255888735 -19.999340702043018  1.5358096281285576  3.9614940782176786  1.0884078291673527, 0.52843248844146729 0.069358199834823608  0.21430075168609619,  0.5336342453956604 -0.49073293805122375  0.49783697724342346  0.47599795460700989,-0.017204636707901955 -0.028314992785453796  0.020497651770710945, 0.047618921846151352   -1.4462417364120483 -0.039959773421287537,  0.25150090456008911 -0.015515233390033245  0.063114665448665619 -0.015515233390033245    0.2337576299905777  0.029149550944566727  0.063114665448665619  0.029149550944566727   0.18002715706825256,    0.56763041818896909    -0.61922746808651397      1.0353121317612235     0.57863346310238484  -0.0028457400542691857     0.14924661788473514 -8.8817841970012523e-13,0.026912752538919449
IIWA_14,1714992284.3426178, 0.61402380712382387   1.0860264598248857  -0.1305704073201733  -1.4677662075798832  -1.0717599711856418   1.7119555158963087 -0.59286949309231218,-0.0073162047825645216   0.001093562460994004  -0.091642129613580897  -0.079274060436753585   0.012117140502730807    0.18631470729914482 0.00026616023230063797,  13.585296585083009   63.484641349792483   13.425022006988526  -6.7427566223144533 -0.10564498901367188  -3.4456523284912111  0.26266257095336915,-55.371707912543393  9.6837055268145882 -37.445777802189795 -19.600763013303613  1.4753714848899346  3.4881838058949883  1.1275289656915324, 0.52809387445449829 0.068913675844669342  0.21468037366867065, 0.53281396627426147 -0.49052879214286804  0.49798953533172607  0.47696667909622192,-0.027323309332132339 -0.040341150015592575  0.031614687293767929, 0.048506554216146469   -1.4462544918060303 -0.040911637246608734,  0.25150889158248901 -0.015518569387495518  0.063120335340499878 -0.015518569387495518   0.23380890488624573  0.029137874022126198  0.063120335340499878  0.029137874022126198   0.17996706068515778,   0.56750430537544361   -0.61866913511376964     1.0346592874759253    0.57808901012990077 -0.0031359969501210117    0.14461265564147396                      0,0.040118623524904251
