DesiredFlux,0.557,HitTime,1714990537.2224245,DesiredPos,0.52430820465087891 -0.2782822847366333 0.19762152433395386
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714990536.608603,   0.5575529410103568    1.1935141714388591 -0.083641261245180856   -1.3590070896010942   -1.0717284287227353    1.8175370766396921  -0.58105089014276357, 3.0880750868829867e-06 -2.3651991719880138e-06   1.589763532259568e-06   0.0025431709398610839 -1.3264615852002231e-06  2.3290338080240861e-06  1.9086141099185677e-05,-2.2273507843017581  69.212482223510747   4.117436908721924  -15.17120240020752 0.94552265167236327 -2.3422692794799804 0.11080555725097656,  3.1687445938258461  -3.9709869257921753  -0.7395778858921056   1.1619647096997254 -0.24582168901146817  0.41048431177232836   1.2058230883172634, 0.53168123960494995 0.065262839198112488  0.18592938780784607, 0.49901098012924194 -0.49551790952682495  0.48973292112350464  0.51537525653839111,0.00075986218871548772 0.00046960610779933631 0.00026460748631507158,-0.0048917452804744244   -0.80506742000579834   0.007772018201649189,    0.253365159034729 -0.019543038681149483   0.06161145493388176 -0.019543038681149483   0.23261387646198273  0.033825784921646118   0.06161145493388176  0.033825784921646118   0.17701739072799683,  0.72209255369859449  -0.66482216882057799    1.2513229335509024   0.69326166282301926 -0.080971907965299295 -0.027965367060289736                     0,0.00064452458173036575
IIWA_14,1714990536.6136079,   0.5575530607835768    1.1935141714388591 -0.083641321131790819    -1.358996483562479   -1.0717284287227353    1.8175371964129119  -0.58105065048724069,  7.261388869853095e-06 -1.8921593375904112e-06 -1.1236535727003638e-06   0.0024587782964942753 -1.0611692681601786e-06  6.6541558378841901e-06  2.4855133794196386e-05,-2.2196347885131837  69.199622230529783  4.1255024070739745 -15.192710395812988 0.94464227676391599 -2.3432705345153808 0.11214056396484375, -28.336517173293291   3.5461195212024998  -19.592324553438822  -8.6485455447610207 -0.62201182532923271  -1.5616452702884112   1.2054138002035908,  0.5316847562789917 0.065264970064163208  0.18593060970306396, 0.49901029467582703 -0.49552178382873535  0.48973426222801208  0.51537096500396729,0.00074854219565168023 0.00046102143824100494   0.000260462227743119,-0.0048947897739708424   -0.80506682395935059  0.0077717085368931293,  0.2533639669418335 -0.01954362541437149 0.061612118035554886 -0.01954362541437149  0.23261342942714691 0.033825989812612534 0.061612118035554886 0.033825989812612534  0.17701877653598785,  0.72211707266855996  -0.66482876521689604    1.2513416033392843   0.69327528202656197  -0.08097546339058681 -0.027955161008286211                     0,0.00063432991737499833
IIWA_14,1714990536.6186049,  0.55755318066587978    1.1935142314345522 -0.083641321131790819   -1.3589864167215195   -1.0717284287227353    1.8175371964129119  -0.58105059049154761, 1.0604403214824506e-05  8.8610025313723971e-07 -8.9892285816029103e-07   0.0023696962755754003  -8.489354145281429e-07  5.3233246703073521e-06   2.228393475856668e-05,-2.2170627899169921  69.199622230529783  4.1308794059753415 -15.196743144989014 0.94552265167236327 -2.3426030311584474 0.11314181900024414, -28.336307520129409   3.5461064194019625  -19.592115220607688  -8.6484655726268613 -0.62215972124525643  -1.5614973413965452   1.2051126701186949, 0.53168785572052002 0.065266929566860199   0.1859317272901535, 0.49900951981544495 -0.49552524089813232  0.48973557353019714  0.51536715030670166,0.00072307902155444026 0.00044709455687552691 0.00025303507572971284,-0.0048977150581777096   -0.80506640672683716  0.0077714654617011547,  0.25336289405822754 -0.019544156268239021   0.06161271408200264 -0.019544156268239021   0.23261302709579468  0.033826183527708054   0.06161271408200264  0.033826183527708054   0.17701999843120575,   0.72213918874908245   -0.66483499489145004     1.2513585847271358    0.69328780797128786  -0.080978623367755631  -0.027946416993884782 1.7763568394002505e-12,0.00061364594148471951
IIWA_14,1714990536.6236053, 0.55754461197191707    1.193517886590338 -0.08365660105305972  -1.3589885739484751  -1.0717290998018325   1.8175285678323394 -0.58105047071832772,-0.00033426423593642873  0.00014691511163530922 -0.00061191598904258545   0.0018094679422398176 -2.7522312218858248e-05 -0.00034088456316333401  2.2618076602759159e-05,-2.0138749008178713  69.086454292297361  4.3620903587341306 -15.020646430969238 0.95784790039062495 -2.3192404136657716 0.11380932235717774, -28.336087905848789   3.5459661101678925  -19.591977930603562  -8.6482929089086973 -0.62233812818470335  -1.5613299364130628   1.2048854507929099, 0.53169077634811401 0.065268799662590027  0.18593272566795349, 0.49900892376899719 -0.49552848935127258  0.48973673582077026  0.51536351442337036,0.00069632224040105939 0.00043261999962851405 0.00024228623078670353,-0.0049004862084984779    -0.8050658106803894  0.0077711762860417366,  0.25336188077926636 -0.019544655457139015  0.061613269150257111 -0.019544655457139015   0.23261265456676483  0.033826366066932678  0.061613269150257111  0.033826366066932678   0.17702116072177887,    0.72215998072433507    -0.66484091144580759      1.2513746040880847     0.69329967109599266   -0.080981582002870311   -0.027937865804794626 -3.5527136788005009e-12,0.00059138954384252429
IIWA_14,1714990536.6286025,  0.55736802435785571    1.1935746318258096 -0.084039856485425141    -1.359207705490217   -1.0717316882996462    1.8173677395596757  -0.58105059049154761, -0.0073309159512036683   0.0023873415081727021   -0.015819750085850879  -0.0073176873158846507 -0.00012555776232105566  -0.0067058385570797343  1.3303532486301513e-05, 7.8548837127685553  64.747492660522468  10.427345119476318 -9.8721699829101563 0.97721614837646487 -1.9410997619628907 0.12515687942504883, -28.319498263896328   3.5403730509064779   -19.57973922682072  -8.6405262838462615 -0.62406892891436705  -1.5627759975789648   1.2058138266196536, 0.53169304132461548 0.065258383750915527  0.18593230843544006,  0.4990038275718689 -0.49552959203720093  0.48973706364631653  0.51536709070205688, 0.00064636836759746075 -7.0552050601691008e-05  0.00017768349789548665,-0.0049031740054488182    -0.8050653338432312    0.00777091970667243,   0.2533610463142395 -0.019543858245015144  0.061614252626895905 -0.019543858245015144   0.23261421918869019  0.033824257552623749  0.061614252626895905  0.033824257552623749   0.17702053487300873,  0.72212082388212195  -0.66478151919469042    1.2512902573327267   0.69324595930808641 -0.080986981858544027 -0.027960147200190022                     0,0.00046632217708975077
IIWA_14,1714990536.6336036,  0.55730139215942076    1.1935698980565459 -0.084452293604717746   -1.3593383335672515    -1.071741563372554    1.8170923419844252  -0.58104915244932709,-0.0085300206983607782  0.0017205224359906702  -0.029153284840384909  -0.011079272934090396 -0.0004954491261704027  -0.016380573855684765  6.816451481004627e-05, 12.535921157836915  64.953252548217776  12.480014450073242 -10.378952129364015 0.81082529067993159  -2.282193977355957 0.10546553039550781,  -27.96184673730415    3.447946746680397  -19.290171066792087  -8.4892900593087628 -0.65348281978772083  -1.6063159901097583   1.2226219022527109, 0.53169357776641846 0.064991272985935211  0.18593165278434753, 0.49887454509735107 -0.49550461769104004  0.48973754048347473  0.51551574468612671,0.00053772958926856518  -0.010741009376943111 0.00011692928819684312,-0.00490553118288517  -0.8050650954246521 0.007770647294819355,  0.25335413217544556 -0.019519086927175522   0.06163015216588974 -0.019519086927175522   0.23265701532363892  0.033773265779018402   0.06163015216588974  0.033773265779018402    0.1769903153181076,   0.72094051559368211   -0.66334968579617737     1.2491138560308812    0.69185043029218463  -0.081062026602296555  -0.028690336060677168 4.4408920985006262e-12,0.0074402019381523132
IIWA_14,1714990536.6386044,  0.55727263000601257    1.1935797851285923 -0.085028495185891131   -1.3595997094945411   -1.0717322635601676     1.816689552172573  -0.58104789406693635, -0.0079745026950162438   0.0017719008306489601   -0.046370691119243357   -0.019318455438855783 -2.4366805480380478e-05   -0.029216051558634035   0.0001048669074774038, 14.405764137268067  64.788644638061527  13.074172828674316 -10.573868339538574  1.1488892555236816 -1.8666731376647949 0.10045925521850586,  -27.79400711221265   3.4422931704826301  -19.102122803134201  -8.4524062107653517 -0.65364716533964129  -1.6036607770657205   1.2182187815662928,0.53174054622650146 0.06479392945766449 0.18595437705516815, 0.49878984689712524 -0.49551084637641907  0.48978260159492493   0.5155489444732666,0.0023039747029542923 -0.016487555578351021 0.0010058927582576871,-0.0049077821895480156   -0.80506658554077148  0.0077704736031591892,  0.25333458185195923 -0.019495904445648193  0.061652660369873047 -0.019495904445648193     0.232691690325737  0.033724658191204071  0.061652660369873047  0.033724658191204071   0.17697960138320923,    0.71987004575113644    -0.66212941591015095      1.2470637621664338      0.6906813317657523   -0.081010667748238063   -0.029020259177059415 -1.7763568394002505e-12,0.011537123471498489
IIWA_14,1714990536.6436319,  0.55725956719830905    1.1935785866328117 -0.085804833236058406   -1.3600095699624424   -1.0717409881120326     1.816171174549432  -0.58104759452480348, -0.006902114464153928  0.0013695808332944157  -0.068150074902085661  -0.031849183067134926 -0.0003684755189826296  -0.044107946172547131 9.5875211296944242e-05, 15.192795707702638  64.968684539794921   12.06732978439331 -10.045578197479248 0.74831867218017578 -2.0098526077270509 0.13149816131591796, -27.601292584450192   3.4001543830493133  -18.878749306611297  -8.3788123923331117 -0.66664645169908598  -1.5985388861423395   1.2278212446631978, 0.53177398443222046 0.064536638557910919  0.18596392869949341,  0.4986996054649353 -0.49547970294952393  0.48984134197235107  0.51561033725738525,0.0031736684031784534 -0.023483535274863243 0.0011953444918617606,-0.0049102227203547955   -0.80511230230331421  0.0077722305431962013,   0.2533193826675415 -0.019457554444670677  0.061676554381847382 -0.019457554444670677   0.23274116218090057  0.033657852560281754  0.061676554381847382  0.033657852560281754   0.17695331573486328,  0.71814877752629513  -0.66050939809958464    1.2440977958387833   0.68906013163960722 -0.080852469838355034 -0.029462317582940045                     0,0.016412226483225822
IIWA_14,1714990536.6486034,   0.5572515377020022    1.1935811632842028 -0.086822353863152554   -1.3605478413938128   -1.0717424262633362    1.8154872947709737  -0.58104705521806466,-0.0058428714235971213  0.0011987307222811169  -0.095220885005434464  -0.047010203708524684  -0.000352306467330145  -0.062641548076369555 9.8272438590460659e-05, 13.469556648254395  64.665188705444336  12.146640518188477 -9.2497823600769049 0.77737104415893554 -1.6363844795227052 0.12248686599731445,-27.357154166951069  3.3411032434937873 -18.588193168722146 -8.2720078060859414 -0.6797590285462205 -1.6045485827274955  1.2446806976657718, 0.53180348873138428 0.064194582402706146  0.18598549067974091, 0.4985792338848114 -0.4954095184803009 0.48993155360221863 0.51570850610733032,0.0037061215844005346 -0.032472625374794006 0.0018356515793129802,-0.0049111573025584221   -0.80514931678771973  0.0077735814265906811,  0.25330424308776855 -0.019403222948312759  0.061705391854047775 -0.019403222948312759   0.23280823230743408  0.033569950610399246  0.061705391854047775  0.033569950610399246   0.17691329121589661,    0.71573103120936565    -0.65839478000739859      1.2401146479819047     0.68689921946507582   -0.080563079940532134   -0.030107909887888695 -1.7763568394002505e-12,0.022640969604253769
IIWA_14,1714990536.6536009,  0.55722367439315879    1.1935791259395505 -0.088052354800375321    -1.361198704669728   -1.0717403170329352    1.8145949493759987  -0.58104693533576168, -0.0057888294926141835   0.0008774907917322146    -0.12537674549325822   -0.063642694003429215 -0.00019747595782395721   -0.085807054260093968  8.3413242991310567e-05, 13.212356788635255  64.590600746154792  13.019058589935304 -9.3398470916748053 0.96753202438354491 -2.0155263862609862 0.11481057739257812, -27.048688629167444   3.2641524713564518   -18.22391460038617  -8.1371143712524141 -0.69862969743896575  -1.6114005138936105   1.2662498639318738,0.53183901309967041 0.06375044584274292  0.1860099583864212, 0.49842536449432373 -0.49531665444374084  0.49004718661308289  0.51583647727966309,0.0043638772331178188 -0.043750520795583725 0.0024791681207716465,-0.0049452390521764755   -0.80520188808441162  0.0077629415318369865,  0.25328528881072998 -0.019331706687808037  0.061742484569549561 -0.019331706687808037   0.23289570212364197  0.033454693853855133  0.061742484569549561  0.033454693853855133   0.17686037719249725,    0.71255751331822381    -0.65563779303623448      1.2348930336676389     0.68407784157642482   -0.080185227595563902   -0.030940936906809213 -8.8817841970012523e-13,0.030454773455858231
