DesiredFlux,1.062,HitTime,1714992616.1521051,DesiredPos,0.54242020845413208  -0.285500168800354 0.19796299934387207
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714992615.5964885, 0.56314825573466043   1.2470043811636473 -0.11757693096682315  -1.2642686159101899  -1.0395073540521571   1.8335340394882509 -0.59104705192147233,-2.7481247017008662e-07 -2.1490976111209841e-06   0.0019747946385780249   0.0015167982261926186 -1.0342245064461396e-05  0.00038430555710936292  -7.557160732788152e-06, 1.0776674118041993  71.100329193115243  4.7384802818298342 -15.757295280456542  1.8258975601196288 -2.5201589241027831 0.37914190673828124,  1.6482177972634149  -5.3472948136865188 -0.85733181385093737  0.48587902532796129  -3.1025692682322052  0.81237677619626758  -0.1655718413845064, 0.54660242795944214 0.069514065980911255  0.17608155310153961, 0.48115718364715576 -0.51165622472763062  0.49114927649497986  0.51523590087890625, 0.00017665783525444567  0.00092640146613121033 -0.00018806010484695435,-0.0095645803958177567    -1.5352045297622681   0.050056878477334976,  0.24643599987030029 -0.021642941981554031  0.065902180969715118 -0.021642941981554031    0.2330920547246933  0.032707955688238144  0.065902180969715118  0.032707955688238144   0.18073014914989471,   0.79659540744536628    -0.6454549948786692     1.2177956289525227    0.74346103290245935    -0.1228456359294583  -0.067596828394300701 1.7763568394002505e-12,0.00066487921867519617
IIWA_14,1714992615.6014824, 0.56314807596574745   1.2470045009368671 -0.11756770308381861  -1.2642619645694937  -1.0395073540521571   1.8335362564927333 -0.59104681226594946,-7.4106064952514512e-06  3.0716507025681336e-06   0.0019489510310436659   0.0014794922088028008 -8.2737960515691168e-06   0.0003961246249851303  3.5404923286173205e-06, 1.0622354202270508  71.100329193115243  4.7357917823791507 -15.762672279357909  1.8250171852111816 -2.5278352127075197 0.37680564498901364, -56.284241480791465   8.8247900388116314  -33.250136710229114  -19.016665451288123  -3.3397409739530688  -2.0531760904988903 -0.16552835338298963, 0.54660296440124512 0.069518387317657471  0.17608043551445007,0.48116031289100647 -0.5116579532623291  0.4911477267742157 0.51523274183273315, 0.00016311359649989754  0.00091384217375889421 -0.00019498325127642602,-0.0095667829737067223    -1.5352022647857666   0.050063244998455048, 0.24643607437610626 -0.02164362370967865 0.065901905298233032 -0.02164362370967865  0.23309114575386047 0.032708864659070969 0.065901905298233032 0.032708864659070969  0.18073076009750366,  0.79662664254609439   -0.6454779111972897     1.217839568934842   0.74348661353162981  -0.12285050522287122 -0.067579887994106969                     0,0.0006558089517056942
IIWA_14,1714992615.606482, 0.56314813596144053   1.2470043811636473 -0.11755913438985595  -1.2642554931067933  -1.0395073540521571   1.8335381740641659 -0.59104669249272956,-3.5286574729915923e-06 -2.3336082294104142e-06   0.0019019085833415557   0.0014424522750576766 -6.6190368412552938e-06  0.00039360255728931832  7.6233226587996704e-06, 1.0390874328613282  71.090041198730475  4.7357917823791507 -15.759983779907227  1.8170938110351562 -2.5214939308166504 0.37713939666748048, -56.283534892672286   8.8246417205306855  -33.250291431346518  -19.016444365878517  -3.3398803664379768   -2.052739471163251 -0.16559907816057431,  0.5466035008430481 0.069522470235824585  0.17607948184013367,  0.4811629056930542 -0.51165986061096191  0.49114632606506348  0.51522982120513916, 0.00015307863941416144  0.00089447858044877648 -0.00019394645642023534,-0.0095690479502081871    -1.5352002382278442   0.050068885087966919,  0.24643607437610626 -0.021644318476319313  0.065901674330234528 -0.021644318476319313   0.23309029638767242  0.032709740102291107  0.065901674330234528  0.032709740102291107    0.1807313859462738,    0.79665810071549714    -0.64549980120176542      1.2178823916730863     0.74351161098817897    -0.12285581095294873   -0.067564813647891242 -8.8817841970012523e-13,0.00064159085741266608
IIWA_14,1714992615.6114593, 0.56314004657852368   1.2470108526263475 -0.11756542608364323  -1.2642651404142338  -1.0395080251312545   1.8335269687231188 -0.59104693214825244,-0.00032639824265254502  0.00025699162142302586   0.0012698591151819201  0.00076806952242760153  -3.213839336912175e-05 -0.00013333159605006834 -3.4875627878081059e-06, 1.1831193542480469  70.904857299804689  4.9575929870605471 -15.505920581817627  1.8276583099365233 -2.4937925415039062 0.37580438995361326, -56.282922901922277   8.8247024861827121  -33.250262883492837  -19.016365283725627  -3.3399474192572898  -2.0522821697300797 -0.16569326643499649, 0.54660415649414062 0.069526463747024536  0.17607872188091278, 0.48116537928581238 -0.51166170835494995  0.49114507436752319  0.51522678136825562, 0.00014838569040875882  0.00087527494179084897 -0.00018557866860646755,-0.0095707159489393234    -1.5351982116699219   0.050074160099029541,  0.24643602967262268 -0.021644987165927887  0.065901473164558411 -0.021644987165927887   0.23308946192264557  0.032710574567317963  0.065901473164558411  0.032710574567317963   0.18073202669620514,    0.79668833989199328    -0.64552086977265333      1.2179231949360769      0.7435357375245033    -0.12286063354416399   -0.067549891711315979 -2.6645352591003757e-12,0.00062705628806725144
IIWA_14,1714992615.6164584, 0.56296052288432819     1.24712781870233 -0.11793250285925805  -1.2645899728043011   -1.039514065192197   1.8332927970247141 -0.59104711191716541,  -0.007442066361941781   0.0048842363364404095   -0.013667183732447116   -0.012378839984750275 -0.00026731315239584728  -0.0094735332130269616 -9.9808067493618669e-06, 10.074518501281739  63.080837570190432  10.467672611236573 -8.5158220100402833  1.7554675674438476 -1.8086003456115722 0.37613814163208009, -56.265364795570704   8.8162331133384804  -33.239634896567836  -19.006886731363817  -3.3419742937182564   -2.052579626457268 -0.16368463510563899, 0.54660326242446899 0.069517515599727631  0.17607377469539642, 0.48116564750671387 -0.51165902614593506   0.4911426305770874  0.51523154973983765, 8.1533042248338461e-05  0.00034240746754221618 -0.00034644300467334688,-0.0095726056024432182    -1.5351961851119995   0.050080172717571259,  0.24643702805042267 -0.021643625572323799   0.06590135395526886 -0.021643625572323799   0.23309080302715302  0.032708905637264252   0.06590135395526886  0.032708905637264252   0.18073008954524994,    0.79662907441768738    -0.64547228213474028      1.2178465936809602     0.74348209766661455    -0.12286086247215167   -0.067561237974800292 -2.6645352591003757e-12,0.0003414590610191226
IIWA_14,1714992615.6214609,   0.562875734462017   1.2471292567445504 -0.11833816886463447  -1.2648217477293104  -1.0395440736852239   1.8329269186357968 -0.59104795076603711, -0.0093451899820009583    0.003964910757968892   -0.027160387201014512   -0.019174068988174815   -0.001414190242993593   -0.022213962127114725 -4.1538600267415941e-05, 15.023043800354005  63.860153144836431  12.318704483032226 -8.3787085380554203  1.1057508850097657 -2.2087686080932616 0.37113186645507812, -55.876617762532327   8.6578453834481675  -32.966892761304784  -18.809610141407568  -3.3789576425264984  -2.0866158816406317 -0.12733163119460772, 0.54657739400863647 0.069228611886501312  0.17601712048053741,  0.4810757040977478 -0.51157844066619873  0.49113234877586365  0.51540535688400269,-0.00097173708491027355   -0.011282416060566902  -0.0025416440330445766,-0.0095744021236896515    -1.5351943969726562   0.050085335969924927,  0.24645009636878967 -0.021602999418973923  0.065908230841159821 -0.021602999418973923   0.23313911259174347  0.032653693109750748  0.065908230841159821  0.032653693109750748   0.18068084120750427,   0.79480416042621016   -0.64393308758514678     1.2153112423884949    0.74180938679191399   -0.12278995084802347  -0.068250272330594441 1.7763568394002505e-12,0.0080236569046974182
IIWA_14,1714992615.6264873, 0.56285080734239079   1.2471360278584667 -0.11893408448512453  -1.2652351435797777   -1.039568905008091   1.8323603643620638 -0.59104723169038531,-0.0084732367706489981  0.0034427731630241663   -0.04556493458041419  -0.031875089209231482 -0.0021246051090754283  -0.040433340651010882 -4.467854141912116e-06, 15.882091331481934  62.859645690917972  13.322859027862549 -9.0535219001770013  2.0134174156188966 -1.5913280029296875 0.35144051742553711, -55.683394035143884    8.631608414816025  -32.776230392020281  -18.756041359907389   -3.374765627218951  -2.0747189123030472 -0.12353027685657134,0.54661566019058228 0.06900583952665329 0.17601475119590759,  0.4810270369052887 -0.51154875755310059  0.49117553234100342  0.51543909311294556,0.00074920913903042674  -0.017938368022441864 -0.0021241083741188049,-0.009576406329870224   -1.5351969003677368  0.050089705735445023,  0.24644209444522858 -0.021566970273852348  0.065924130380153656 -0.021566970273852348   0.23317734897136688  0.032600097358226776  0.065924130380153656  0.032600097358226776   0.18066045641899109,    0.79321860034209379    -0.64258061520749976      1.2129731499257446     0.74037527092851718    -0.12261961962956036   -0.068490016920996766 -8.8817841970012523e-13,0.012498298659920692
IIWA_14,1714992615.631465, 0.56284505484625935   1.2471330916692493 -0.11973780653308944   -1.265859941126896  -1.0395853952279297   1.8316533550440259 -0.59104657261042659,-0.0070086892617767689  0.0026367709617266363  -0.068600829582927458  -0.050491973252117406 -0.0023592928808098806  -0.060627045242325109 2.2788915035281374e-05, 15.817791366577149  63.335465431213379  12.289130989074707 -8.5561495018005367  1.3725044822692871 -1.9734736747741699 0.36445683288574221,  -55.47685750811921   8.5673344054342184  -32.552004193359366  -18.671030473038943  -3.3783681295115242  -2.0501349736861365 -0.10370797962414507, 0.54664331674575806 0.068719163537025452   0.1759931743144989, 0.48099479079246521 -0.51146435737609863  0.49124747514724731  0.51548439264297485, 0.0016971852164715528  -0.025821208953857422 -0.0025523735675960779,-0.0095775965601205826    -1.5352942943572998   0.050117969512939453,   0.2464432418346405 -0.021508501842617989  0.065940260887145996 -0.021508501842617989   0.23323221504688263  0.032524865120649338  0.065940260887145996  0.032524865120649338   0.18062150478363037,  0.79069585534163878  -0.64077250461291868    1.2095298612111449   0.73835109612119254   -0.1222420178406125 -0.068747006415570411                     0,0.017974412068724632
IIWA_14,1714992615.6364648,  0.5628453544974753   1.2471359079761637 -0.12078798412490073  -1.2666672584440368  -1.0396331404549473   1.8306521928425954 -0.59104723169038531, -0.0055949653607833584   0.0022220690459550641   -0.096887767338793729   -0.072686271287325438  -0.0037972433853502782   -0.088548124251081634 -8.1320663205859683e-06, 14.971603828430176  63.523221328735353  12.543194187164307 -7.6407154388427738  1.4702260971069336 -1.5392627410888673 0.37113186645507812,  -55.209056192859599    8.4684299935470584   -32.262739637052626   -18.537663293332276   -3.3909434409580781   -2.0402131626237243 -0.069682367715838106, 0.54665040969848633 0.068337313830852509  0.17597182095050812, 0.48094126582145691 -0.51132702827453613  0.49134135246276855  0.51558107137680054, 0.0016250166809186339   -0.03593786433339119 -0.0028748670592904091,-0.0095471274107694626    -1.5353630781173706   0.050399504601955414,  0.24645157158374786 -0.021428974345326424  0.065958157181739807 -0.021428974345326424   0.23330739140510559  0.032425832003355026  0.065958157181739807  0.032425832003355026   0.18056280910968781,  0.78726447099430885  -0.63840594099051629    1.2049309761010818   0.73564059948072469  -0.12171423629236955 -0.069212998421441796                     0,0.02494448609650135
IIWA_14,1714992615.6414626, 0.56284517472856233    1.247135069127292 -0.12207077559967625  -1.2676503244172843  -1.0396612313547251   1.8294013993616611 -0.59104753134160126, -0.0044831630451458021    0.001744101281896125    -0.12882187286205563   -0.097471655959759873  -0.0041614306993939809     -0.1208702386382359 -1.8491701694526187e-05, 16.298755104064941  63.155425529479984  12.567390682220459 -8.0775965995788575  1.6005215835571289 -1.5983367881774901 0.37013061141967774,  -54.882833196701057    8.3342864178441474    -31.91656406855973   -18.380037790209194   -3.4019826022477644   -2.0046990133944345 -0.028293658167556496, 0.54667526483535767 0.067842498421669006  0.17593058943748474, 0.48090079426765442 -0.51114475727081299  0.49147182703018188  0.51567518711090088, 0.0022651699837297201   -0.04855690523982048 -0.0039091939106583595,-0.0096410326659679413    -1.5354729890823364   0.050436470657587051,  0.24646325409412384 -0.021321665495634079  0.065981358289718628 -0.021321665495634079   0.23340429365634918  0.032294377684593201  0.065981358289718628  0.032294377684593201    0.1804867684841156,  0.78267137308785095  -0.63529285020180737    1.1988362099986105   0.73207058562907434  -0.12096867668009992 -0.069670789675235767                     0,0.033702615648508072
