DesiredFlux,1.066,HitTime,1714992632.8470941,DesiredPos, 0.56279265880584717 -0.29116666316986084       0.197998046875
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714992632.2922549,  0.51449841463923474    1.2741772329553664 -0.091649599689118649   -1.2216406079747655   -1.1303657072195377      1.82642541663747  -0.60283191929282609, 2.3435475048643084e-05 -6.7845126267729954e-06  7.2433558373453012e-06   3.226902694264769e-05  2.0100099910255539e-06  0.00027811360972911293 -2.7279371070446405e-05,0.47324774169921879  72.661532341003422  4.5045808296203615 -15.905162750244141  1.7545871925354004 -2.2077673530578612 0.14351322174072265, 2.4267953143974275 -6.3411781098353961 -1.2612906208108665 0.21281232812502177 0.40098063177807636   1.428157893483831  -1.075380441865297, 0.57228380441665649 0.055072642862796783  0.17172607779502869, 0.48457670211791992 -0.50022876262664795  0.50787198543548584  0.50697404146194458,-3.1011135433800519e-05  1.1125312084914185e-05  5.8008736232295632e-05,-0.029490340501070023   -1.5374521017074585  0.081629760563373566, 0.24527448415756226 -0.02012011781334877 0.067168653011322021 -0.02012011781334877  0.23214569687843323 0.033681940287351608 0.067168653011322021 0.033681940287351608  0.18137179315090179,   0.74657341351613837   -0.61761322899833715     1.2579815040059117    0.74502663713271744  -0.055935047100774682  -0.045618729347829401 2.6645352591003757e-12,4.618149614543654e-05
IIWA_14,1714992632.2972572,  0.51449865429475761    1.2741770531864534 -0.091649659575728598   -1.2216403084326326   -1.1303658030381136    1.8264263754777279  -0.60283233871726194, 2.8334600953762312e-05 -1.2618366624974671e-05  3.3992202719233345e-06  3.7796906869139349e-05 -2.2247350456805643e-06  0.00026084449809763593 -3.8600474290320346e-05,0.49896772766113284  72.661532341003422  4.5260888252258304 -15.903818500518799   1.756347942352295 -2.2124398765563966 0.14718449020385743, 2.4200080868919902 -6.3458575420483525  -1.267541462083362 0.21310240592638138 0.39913833130134019  1.4294549195461101 -1.0754339326649707,0.57228368520736694 0.05507277324795723 0.17172646522521973, 0.48457616567611694 -0.50022870302200317  0.50787216424942017  0.50697439908981323,-2.887889786507003e-05 1.4129018381936476e-05  6.192472210386768e-05,-0.029489491134881973   -1.5374519824981689  0.081628479063510895,  0.24527443945407867 -0.020120181143283844  0.067168660461902618 -0.020120181143283844   0.23214568197727203  0.033682014793157578  0.067168660461902618  0.033682014793157578   0.18137183785438538,   0.74657584029758084   -0.61761478140009984     1.2579845875020368    0.74502848614166339  -0.055935075384816457  -0.045620989570060999 1.7763568394002505e-12,4.8300651542376727e-05
IIWA_14,1714992632.3022568,  0.51449889395028059    1.2741770531864534 -0.091649599689118649   -1.2216396492435908   -1.1303658030381136    1.8264269146753835  -0.60283239871295502, 3.2253901682298587e-05 -1.0094693299979738e-05  5.1148406154915749e-06  5.6605087167158763e-05 -1.7797880365444515e-06   0.0002302435047035369  -3.328020715546585e-05,0.48610773468017582  72.682108329772959  4.5220560760498048 -15.917260997772217  1.7625105667114258 -2.2087686080932616 0.14451447677612306,-60.176244864245071  7.4131444044770172 -35.165926859231924 -17.605082215543959 0.83743786076198901 -1.5191781862899487 -1.0754079678748629,0.57228350639343262  0.0550730861723423 0.17172668874263763, 0.48457592725753784 -0.50022858381271362  0.50787222385406494  0.50697469711303711,-2.9347331292228773e-05  2.3822671209927648e-05  5.8137280575465411e-05,-0.029488565400242805    -1.537452220916748  0.081625841557979584, 0.24527442455291748 -0.02012023888528347 0.067168653011322021 -0.02012023888528347  0.23214565217494965 0.033682100474834442 0.067168653011322021 0.033682100474834442  0.18137185275554657,  0.74657820032886235  -0.61761694882278562    1.2579880554905998   0.74503082149579569 -0.055935061018530519 -0.045622376970477774                     0,4.8004269046941772e-05
IIWA_14,1714992632.3072579,  0.51449026536970799    1.2741834647625436 -0.091664579959171585   -1.2216551089337726   -1.1303650359659074    1.8264139717499832  -0.60283251848617492,-0.00031934010155818188  0.00024838728897083796 -0.00059511892962505147 -0.00057310353753811498  2.9259057818688194e-05 -0.00033352221225027882 -3.1415094520278496e-05,0.66871963500976561  72.494352432250977  4.7505785293579104 -15.663197799682617  1.7572283172607421 -2.1810672187805178 0.14418072509765625,-60.176372237614537  7.4132562374066513 -35.165900872636357 -17.605174200643003 0.83749841488337706  -1.519173514911496 -1.0754099876640257,0.57228350639343262 0.05507327988743782  0.1717270165681839, 0.48457568883895874 -0.50022852420806885  0.50787234306335449  0.50697487592697144,-2.3590910132043064e-05  2.6704527044785209e-05  6.0079190006945282e-05,-0.029487602412700653   -1.5374521017074585  0.081622987985610962,  0.2452743798494339 -0.02012028731405735 0.067168675363063812 -0.02012028731405735  0.23214562237262726 0.033682160079479218 0.067168675363063812 0.033682160079479218  0.18137191236019135,   0.74658014473083512   -0.61761838240048661     1.2579905262581903    0.74503253866264885  -0.055934879620522793  -0.045623534346006522 8.8817841970012523e-13,4.8354602768085897e-05
IIWA_14,1714992632.3122594,  0.51430403044820616    1.2743004907251361 -0.092049692967276525   -1.2219814992483633   -1.1303507507950457    1.8261284475562463  -0.60283293791061077, -0.0077048689413196109    0.004879748334874391   -0.015880615467897631   -0.013514095413658354  0.00059481408072582841   -0.011687785519278317 -4.1909053050186024e-05, 9.6887187118530278  64.719200675964359  10.073807441711425 -8.9580801696777339  1.4799102210998536 -1.3760581703186034 0.14685073852539063,-60.176635508514195   7.413422560851318 -35.166017257277787 -17.605403749605834 0.83755292586037755 -1.5190401180634698 -1.0754791369675214,0.57228362560272217 0.05507354810833931 0.17172719538211823,  0.4845755398273468 -0.50022858381271362  0.50787246227264404  0.50697475671768188,-1.4996087884355802e-05  3.2132229534909129e-05  5.4993415687931702e-05,-0.029487602412700653   -1.5374521017074585  0.081622987985610962,  0.24527430534362793 -0.020120337605476379  0.067168697714805603 -0.020120337605476379   0.23214559257030487  0.033682212233543396  0.067168697714805603  0.033682212233543396   0.18137198686599731,   0.74658226542467787   -0.61761981440344726     1.2579929709808368    0.74503448856333421  -0.055934868548490613  -0.045623618762924423 8.8817841970012523e-13,4.529703437583521e-05
IIWA_14,1714992632.3172555,  0.51421822340811041    1.2742959367247852 -0.092500180009591856   -1.2222273557079439   -1.1303675288196779    1.8256865892035867  -0.60283461571743735, -0.0095961767568858228   0.0037216386538666958   -0.030723974066931354   -0.020645534714152286 -0.00019526972071098837   -0.027024562521803852 -0.00010063951550347882, 14.850719894409181  65.367344322204588  12.244770748138428 -9.0454564018249517  1.1356836318969727 -2.4547435951232912 0.12649188613891602,-60.158409419907855  7.4045991298759448 -35.155357728080787 -17.596225506961655 0.83486425962263411 -1.5196167978317034 -1.0732216296363037,0.57228177785873413 0.05506051704287529 0.17172263562679291,  0.4845738410949707 -0.50022423267364502  0.50787049531936646  0.50698268413543701,-8.5468134784605354e-05 -0.00049554172437638044 -0.00013810883683618158,-0.029486203566193581   -1.5374524593353271  0.081618949770927429, 0.24527545273303986 -0.02011832594871521 0.067168712615966797 -0.02011832594871521  0.23214775323867798 0.033679734915494919 0.067168712615966797 0.033679734915494919    0.181369349360466,   0.74649368350954148   -0.61755342367408872     1.2578741955628914    0.74495759165138509  -0.055932572362138444  -0.045649752424381518 4.4408920985006262e-12,0.00036099439603276551
IIWA_14,1714992632.3222549,  0.51418814298570148    1.2742961164936983 -0.093120303783139388   -1.2226560313705972   -1.1303521889463493    1.8250444744996301   -0.6028350351418732, -0.0088801583018658196   0.0029845016796169132   -0.049384130195446352   -0.033663454277452029  0.00045737915657881908   -0.047304238175706545 -9.7288589836746293e-05, 15.192795707702638  64.590600746154792  12.746175895690918 -9.8022689971923835    1.69031982421875 -1.5659628753662109 0.10079300689697265, -59.75071722853675  7.2391845454056973 -34.888335753400185 -17.408757040591929 0.78432935042364649 -1.5413257236111502 -1.0318777137929056, 0.57225537300109863 0.054762359708547592  0.17164953052997589, 0.48451113700866699 -0.50013852119445801  0.50784754753112793  0.50715011358261108,-0.0011286804219707847  -0.012323195114731789 -0.0030324647668749094,-0.029486473649740219   -1.5374568700790405  0.081618107855319977,  0.24529221653938293 -0.020074132829904556  0.067174002528190613 -0.020074132829904556   0.23219761252403259  0.033621903508901596  0.067174002528190613  0.033621903508901596   0.18131697177886963,     0.7445338042355587    -0.61602618006606491       1.255145770235444     0.74322208739197038   -0.055868485762999853   -0.046275358729808147 -3.5527136788005009e-12,0.0088193267583847046
IIWA_14,1714992632.3272271,  0.51417040640442735    1.2742829338036918 -0.093948353757381683   -1.2233294249927433   -1.1303528600254467    1.8242810793748634  -0.60283659317547988, -0.0078135898924578708   0.0018602937434336565     -0.0726293031260489   -0.053866508307807009  0.00033906016136693779   -0.068379195531235337 -0.00014015221613682122,  14.61409602355957   64.76806864929199  11.819987834930419 -9.0145386581420901  1.3769063568115234 -1.7802314529418946 0.13583693313598633,-59.543439736440583   7.214601588999721 -34.690029177222364 -17.362895940826636 0.78327921732646621 -1.5183327481607747  -1.025326626060227,  0.5722997784614563 0.054523814469575882  0.17164003849029541,  0.4844842255115509 -0.50009608268737793  0.50788938999176025  0.50717580318450928,0.00086752290371805429  -0.019402287900447845 -0.0028012462425976992,-0.029488017782568932   -1.5375568866729736  0.081652447581291199,  0.24528521299362183 -0.020031891763210297  0.067189678549766541 -0.020031891763210297   0.23224002122879028  0.033563148230314255  0.067189678549766541  0.033563148230314255   0.18129366636276245,    0.74269593050413363    -0.61463364946590104      1.2524794719537269     0.74167289053406193   -0.055657284188548317   -0.046451669351910141 -2.6645352591003757e-12,0.013582135550677776
IIWA_14,1714992632.3322556,  0.51414703710024157    1.2742846116105184 -0.095028671658211827   -1.2241828816158238   -1.1303594753469106    1.8232923807877874  -0.60283701259991573, -0.0071856440813976158   0.0015553472678102552    -0.10131615853404488   -0.077231471569463639  6.6352705353838154e-06   -0.094251299908026415 -0.00012889875034342022, 14.382616149902345  64.626608726501473   11.64792387008667 -7.5856012001037598  1.1550518798828124 -1.6650871238708496 0.15619578552246094, -59.332014431039703   7.1436152867420599  -34.478118321660055  -17.283635581194268  0.76556599055713459  -1.4798638991510416 -0.99942070739984679, 0.57232660055160522 0.054229997098445892  0.17160071432590485, 0.48448881506919861 -0.49999871850013733  0.50794118642807007  0.50721555948257446, 0.0017572136130183935  -0.027279235422611237 -0.0038031972944736481,-0.029494725167751312   -1.5376183986663818  0.082126781344413757,  0.24529044330120087 -0.019967840984463692  0.067203029990196228 -0.019967840984463692    0.2322985827922821  0.033484280109405518  0.067203029990196228  0.033484280109405518      0.18125019967556,   0.73994766493079567   -0.61284953815121668     1.2487534739911155     0.7395655296349446   -0.05527332055077494  -0.046610368098498611 1.7763568394002505e-12,0.019101662561297417
IIWA_14,1714992632.3372557,  0.51412486629183662    1.2742767019965144 -0.096353407976402058   -1.2251679848246406   -1.1303546816255869     1.822119904157381  -0.60283785144878743, -0.0066353476013157782    0.000927893254088727    -0.13404237955484516    -0.10118930560824452  0.00019705706937512294    -0.12230010514267822 -0.00013667295514266262,  16.34762307739258  64.086489021301276    12.1345422706604 -8.1945463256835946  1.3839493560791016 -1.6243694190979003 0.13483567810058594, -59.047900261564884   7.0320149218770203   -34.19315210036352  -17.147620440453114  0.74228479040114403   -1.465146401082575 -0.95527946952512111, 0.57232546806335449 0.053835734724998474  0.17156292498111725, 0.48447465896606445 -0.49982333183288574  0.50801849365234375  0.50732451677322388, 0.0013429881073534489  -0.037603672593832016 -0.0045322366058826447,-0.029670517891645432   -1.5377274751663208  0.082260020077228546,  0.24530836939811707 -0.019879892468452454  0.067215107381343842 -0.019879892468452454   0.23237940669059753  0.033382788300514221  0.067215107381343842  0.033382788300514221   0.18118178844451904,   0.73617573426520977   -0.61055019156341928     1.2438401647951736     0.7367484306159966  -0.054686065399600636   -0.04703002670858325 8.8817841970012523e-13,0.026227990165352821
