DesiredFlux,1.112,HitTime,1714992775.4371004,DesiredPos, 0.53637629747390747 -0.28952169418334961   0.1978931725025177
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714992774.9042091, 0.56917140738182848   1.1061672081453882 -0.12736043266649039  -1.4554804596202227  -1.0783582936661604   1.7177830249700574 -0.59034124109921515, 0.00018535411282102267 -2.6513650552060769e-06  0.00044999364982990634 -5.5000384085821855e-06  5.4449428935212334e-05  8.1422458201804251e-06  2.3363842164544447e-06,-2.1913428039550782  68.425450653076169  4.9804452323913573 -13.857870418548584 0.86100666046142582 -2.2591651115417481  0.3113903160095215,  1.8868089913792634   1.6725620924214595 -0.18247624130816165   1.5120929633122255  0.29665542088416863 0.040172844901623206   1.0569546743420217, 0.53176361322402954 0.046390898525714874  0.20829007029533386, 0.52023351192474365 -0.49707204103469849  0.49022278189659119  0.49189233779907227, -6.221470539458096e-05  0.00023593223886564374 -9.9497563496697694e-05,0.0048941727727651596   -1.6130632162094116 -0.011034200899302959,  0.25126376748085022 -0.015651073306798935  0.063752613961696625 -0.015651073306798935    0.2353193610906601  0.026792680844664574  0.063752613961696625  0.026792680844664574   0.17854540050029755,    0.56506054475313761    -0.52548485801917622     0.98201436969613809     0.50930405428939451    -0.05052170053332361    0.079292646042006254 -8.8817841970012523e-13,0.00018164727953262627
IIWA_14,1714992774.9092021, 0.56917290541974208   1.1061671482587783 -0.12735779612848908  -1.4554802798513098  -1.0783582936661604   1.7177831448523606 -0.59034106133030217, 0.00020820480680103278 -4.5165564398973223e-06  0.00046545643991634402  2.7907257878087418e-06  4.3559543148169867e-05  1.1309088783968153e-05  9.0598638922789383e-06,-2.1656228179931643  68.420306655883792   5.000608978271484 -13.835018173217774 0.86188703536987299 -2.2588313598632812 0.31172406768798827,  1.8740766596225622   1.6841387925569147 -0.18659009755585276   1.4882912475399221  0.30828728954749013 0.046979634712701335    1.057049772445469, 0.53176325559616089 0.046392589807510376  0.20828945934772491, 0.52023500204086304 -0.49707165360450745  0.49022242426872253  0.49189150333404541,-6.3735831645317376e-05  0.00025630815071053803 -0.00010400453174952418,0.0048943194560706615   -1.6130626201629639  -0.01103296410292387,  0.25126397609710693 -0.015651145949959755  0.063752420246601105 -0.015651145949959755   0.23531916737556458  0.026792975142598152  0.063752420246601105  0.026792975142598152   0.17854535579681396,    0.56506407257028712    -0.52549258072875915     0.98202449232331901     0.50931047827695863   -0.050520346223770218    0.079298563475660444 -3.5527136788005009e-12,0.00019567550043575466
IIWA_14,1714992774.9142041, 0.56917470299978856   1.1061670883721682 -0.12735521958618082  -1.4554798603177908  -1.0783579102173237   1.7177831448523606 -0.59034112121691207, 0.00023846704730006205 -6.0087095565321028e-06   0.0004754268442633948  1.9013921391687325e-05  5.0185587985845154e-05  9.0472710271745225e-06  4.8524267180906902e-06,-2.1296148376464843  68.392014671325683  4.9992647285461427 -13.816198677062989 0.86012628555297854 -2.2615013732910154 0.31272532272338865,-60.726550141159549  9.4085322111410523 -42.576150604733158  -21.23789771035683 0.21864786169087932  2.4473435550208889  1.0570689257346351, 0.53176301717758179 0.046394351869821548  0.20828895270824432, 0.52023637294769287 -0.49707123637199402  0.49022233486175537  0.49189057946205139,-6.1712926253676414e-05  0.00027560387388803065 -0.00010367473441874608,0.0048944586887955666   -1.6130622625350952 -0.011032013222575188,  0.25126421451568604 -0.015651209279894829  0.063752233982086182 -0.015651209279894829   0.23531897366046906  0.026793288066983223  0.063752233982086182  0.026793288066983223   0.17854534089565277,   0.56506731195682391   -0.52550077221802383     0.9820348502129761    0.50931732680492559  -0.050518334998805869   0.079304413334035928 8.8817841970012523e-13,0.00020739607862196863
IIWA_14,1714992774.9191673, 0.56917674034444099   1.1061670883721682 -0.12735258304817954   -1.455479381006745  -1.0783579102173237   1.7177830249700574 -0.59034112121691207, 0.00027226742393716952 -4.8069676452256828e-06  0.00048580299546202457  3.4383578943045548e-05  4.0148470388676126e-05  2.4425246939158048e-06  3.8819413744725525e-06,-2.1218988418579103  68.381726676940929  5.0059859771728519  -13.80275617980957 0.85748516082763671 -2.2588313598632812 0.31072281265258789,-60.727458916092857  9.4087080330716333 -42.576869037261723 -21.238308575067929 0.21873806609468927  2.4477423724340914  1.0571158757812675, 0.53176271915435791 0.046396300196647644  0.20828840136528015, 0.52023786306381226 -0.49707090854644775  0.49022215604782104  0.49188953638076782,-5.9798207075800747e-05  0.00029843684751540422 -0.00010463000944582745,0.0048946314491331577   -1.6130619049072266 -0.011030897498130798,  0.25126442313194275 -0.015651287510991096  0.063752055168151855 -0.015651287510991096   0.23531876504421234  0.026793604716658592  0.063752055168151855  0.026793604716658592   0.17854534089565277,    0.56507116684301195    -0.52550937705309053     0.98204557212078214     0.50932464556918688   -0.050516556057367268    0.079310856116343587 -3.5527136788005009e-12,0.00022186870046425611
IIWA_14,1714992774.9242034, 0.56917032876835072   1.1061706236456512 -0.12736558596927305  -1.4554968779324962  -1.0783579102173237   1.7177938107775856 -0.59034112121691207,-3.8649104461086105e-05  0.00013756536520655863 -0.00013147444737113918 -0.00067237016689148917  3.2118776310940905e-05  0.00043338632088409709  3.1055530995780422e-06,-1.9650069274902344   68.27884673309326  5.2546721763610842 -13.505676990509032 0.86804965972900394 -2.2918727760314943 0.31372657775878904,-60.728515619007844  9.4089166493461871 -42.577634354415061 -21.238795282656376 0.21894592125971701  2.4481881325787791  1.0571522873044192, 0.53176259994506836 0.046398404985666275  0.20828785002231598, 0.52023947238922119 -0.49707037210464478  0.49022218585014343  0.49188831448554993,-5.4944597650319338e-05   0.0003229487338103354 -0.00010584969277260825,0.0048947031609714031   -1.6130614280700684 -0.011029952205717564,  0.25126463174819946 -0.015651345252990723  0.063751868903636932 -0.015651345252990723   0.23531854152679443  0.026793945580720901  0.063751868903636932  0.026793945580720901   0.17854534089565277,      0.565074304355484    -0.52551869023087505     0.98205656219363391     0.50933248949291965   -0.050513813899755178    0.079317913531440354 -3.5527136788005009e-12,0.00023732076806481928
IIWA_14,1714992774.9292054, 0.56901255645812432   1.1062258709522923 -0.12774404774576478  -1.4558976903953891  -1.0783581018544754   1.7180639951634435 -0.59034082156569612,-0.0063418116926248925  0.0023199445578085233  -0.015243650617566057  -0.016570394649229943 1.8029534980632493e-05   0.011154084491023591 1.4470491117719845e-05, 6.7463523178100591  63.968177085876469  11.658677867889404 -6.6325281448364262 0.73511304855346682 -3.5758154830932618 0.35778179931640625,-60.708570735672978  9.4024424858656275  -42.56108277577998 -21.226244583001801  0.2165415438987589  2.4405450191385811  1.0590852747744028, 0.53175681829452515 0.046386700123548508  0.20828922092914581, 0.52023023366928101 -0.49706548452377319  0.49022147059440613  0.49190381169319153,-0.00027311404119245708 -0.00020992801000829786 -2.9907332645962015e-05,0.0048948284238576889   -1.6130610704421997 -0.011028937064111233, 0.25126558542251587 -0.01565043069422245 0.063751690089702606 -0.01565043069422245  0.23532000184059143 0.026792533695697784 0.063751690089702606 0.026792533695697784  0.17854307591915131,    0.56503426879306318    -0.52547921696177724      0.9819944194893182     0.50929202439142784   -0.050518284810507907     0.07925359666405285 -1.7763568394002505e-12,0.00023835583124309778
IIWA_14,1714992774.9342029, 0.56895089757539297   1.1062164034137649 -0.12813173740526104  -1.4562096397466657  -1.0783669222249164   1.7183624023959712 -0.59033872433443368, -0.0075398046633540121   0.0014772541051518353   -0.027702506873903236   -0.025734289770450051 -0.00033839118965232022    0.020859556893923228  9.5465643391469111e-05, 11.388809783935548  63.145137535095216  13.793346431732179 -5.5934231071472169 0.39704908370971681  -3.015112663269043 0.32941290664672851,-60.259042983771096  9.2729312878336909 -42.166418304905847 -20.949075027888693 0.16500645716891482  2.2536806993215017  1.0972361935145392, 0.53163409233093262 0.046086274087429047  0.20835518836975098,0.51997184753417969 -0.4969671368598938 0.49022254347801208 0.49227511882781982,-0.0051314984448254108  -0.012181625701487064  0.0026177994441241026,0.0048947390168905258    -1.613064169883728  -0.01102786511182785,  0.25127822160720825 -0.015629563480615616  0.063753917813301086 -0.015629563480615616   0.23535716533660889  0.026754522696137428  0.063753917813301086  0.026754522696137428   0.17849640548229218,  0.56410256646977075  -0.52443949775238252   0.98039816028805404   0.50825955775746223 -0.050650509934691001  0.077620062686634128                     0,0.0092886006459593773
IIWA_14,1714992774.939203, 0.56891206869010846   1.1062139466446765 -0.12867372398811067  -1.4566386749471447  -1.0783615534176043   1.7188544147481821 -0.59033788548556199, -0.0075849991420633353   0.0010835325205859443   -0.043841468813107548    -0.03774883983551959 -5.5960659239610844e-05    0.036368139603577335  0.00010992646958110175, 14.094552307128907  63.363757415771488  14.226194843292236 -7.0290818138122555 0.76240467071533202 -3.1195769386291503 0.32140286636352539,-60.000630358663393  9.2336797026615294 -41.876171465685516 -20.797655129633807 0.14874642727955506   2.103173527109766  1.1111379707284461, 0.53154182434082031 0.045855727046728134  0.20847028493881226, 0.51971316337585449 -0.49688905477523804  0.49027222394943237  0.49257755279541016,-0.0077995662577450275  -0.018960012122988701  0.0067033763043582439,0.0049028950743377209   -1.6131430864334106 -0.011033870279788971,  0.25127720832824707 -0.015615019015967846  0.063761994242668152 -0.015615019015967846   0.23538729548454285  0.026726173236966133  0.063761994242668152  0.026726173236966133   0.17846924066543579,   0.56343362119903873   -0.52369980592370524    0.97918744510838707    0.50752835885958802  -0.050689996240471658   0.076156271094696137 3.5527136788005009e-12,0.014867771416902542
IIWA_14,1714992774.9442017, 0.56889409234422827   1.1062172422626366 -0.12940619984159682  -1.4572794116045737  -1.0783631832060598   1.7194926945274398 -0.59033728629221316, -0.0067870531488582082  0.00099865073487220585   -0.064372209189932167   -0.055828538165576903 -0.00010996006561273197    0.054625702853168978  0.00011190890961796002, 15.226231689453126  64.063341033935544  13.672363956451417 -7.3221282539367678 0.63298955917358402  -3.203682361602783 0.33308417510986327,-59.684933859291306  9.1756308790404688 -41.500034155640257 -20.593379402265079 0.12421584980132044  1.8905857928960155   1.133355348239508, 0.53139877319335938 0.045558612793684006  0.20863944292068481,0.51933789253234863 -0.4967656135559082 0.49035167694091797 0.49301856756210327,-0.011971325613558292 -0.027035344392061234  0.012140593491494656,0.0050895609892904758   -1.6132054328918457 -0.011228335089981556,  0.25127756595611572 -0.015596508979797363  0.063771516084671021 -0.015596508979797363   0.23542776703834534  0.026692099869251251  0.063771516084671021  0.026692099869251251   0.17843064665794373,  0.56257255626412928  -0.52282015990900987   0.97766563845347321   0.50664929079413668 -0.050714080516378601  0.074027385418062863                     0,0.022030441090464592
IIWA_14,1714992774.9492066, 0.56889055707074532    1.106215923993636 -0.13035924527904535  -1.4581082405410779  -1.0783648129945154   1.7203174488837218 -0.59033686675869423, -0.0055710534584048656  0.00074618982787266546   -0.089619584849887149   -0.077815987992627761 -0.00015315959071122889    0.076690736533816889  0.00010630846845136746, 14.629528015136719  63.026825599670417  13.482824745178222  -7.010262317657471 0.45251270294189455 -2.9466935691833496 0.33875795364379885, -59.287671229907659   9.0756239051272019  -41.027821520511225  -20.312769269530147 0.089484857311864618   1.6189389400920804   1.1726472504627521, 0.53118878602981567 0.045163989067077637  0.20885440707206726, 0.51885294914245605 -0.49656793475151062  0.49045971035957336  0.49362048506736755,-0.017990430817008018 -0.037379097193479538  0.018335139378905296,0.0052632931619882584   -1.6132888793945312 -0.011515309102833271,  0.25128602981567383 -0.015566745772957802  0.063780121505260468 -0.015566745772957802   0.23548336327075958  0.026645921170711517  0.063780121505260468  0.026645921170711517     0.178370401263237,   0.5612339954135237  -0.52165346892962816   0.97550614240571321   0.50543708169836776 -0.050664777956122009  0.071179244357288951                     0,0.031258467584848404
