DesiredFlux,1.179,HitTime,1714993083.9221113,DesiredPos,  0.4927862286567688 -0.25540435314178467  0.19759729504585266
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714993083.3560431,  0.64787510795667402     1.260373383213355 -0.068694176337217305   -1.3348411995823737    -1.036395290449649    1.9177414953602558  -0.48910719756594534,  -6.38878927386823e-06 -5.2066228248156479e-06 -2.4462264344624475e-05  -0.0014773926732213657   0.0021385398556459222 -1.6998840255590665e-06 -3.0055011972983194e-06,-0.49639572906494145   69.989225799560558   4.2626158790588375  -12.584865928649903   0.6294680595397949  -2.2234536819458008 0.065081577301025387, -3.3195761287913914  -7.5233962435043225 -0.37464763024293268  0.33094946813989984   1.0964989297141352 -0.11324811565651971 -0.52045531661304978,0.49994757771492004 0.11535269021987915 0.16912992298603058, 0.47199177742004395 -0.47978851199150085  0.52600330114364624  0.51994925737380981,-0.00081034476170316339 -0.00033587441430427134 -0.00032798841129988432,-0.026345781981945038   -1.6958054304122925   0.10454811155796051,  0.26146245002746582 -0.018560606986284256  0.054532818496227264 -0.018560606986284256    0.2304164320230484  0.042995888739824295  0.054532818496227264  0.042995888739824295   0.16983169317245483,    0.69871734436155464    -0.98013349239423064      1.4412394354854641     0.98519258576512669  -0.0045429529587082129    -0.13216827161421918 -5.3290705182007514e-12,0.00064978963928297162
IIWA_14,1714993083.3610749,  0.64787492818776105     1.260373383213355 -0.068694475988433257   -1.3348468921918952   -1.0363846484790677    1.9177414354736457  -0.48910707779272544,-1.2301787938209967e-05 -4.1652982598525186e-06 -3.1555860113756997e-05  -0.0014096185194389299   0.0021365107077649147 -3.7553716250614984e-06  2.3865278380671578e-06,-0.56841168975830081   70.004657791137703   4.2370751342773438  -12.596964176177979  0.62330543518066406  -2.2217849235534666 0.062745315551757816, -59.341441373702473   8.4863633579723192  -32.403836122927991  -21.598379643133203   2.4026511770205818  -4.1362114835428789 -0.52013179185893832,0.49994391202926636 0.11535131931304932 0.16912840306758881, 0.47199180722236633 -0.47978925704956055  0.52599853277206421  0.51995342969894409,-0.00079502660082653165  -0.0003234870673622936 -0.00032321101753041148,-0.026332592591643333   -1.6958056688308716   0.10455656796693802, 0.26146289706230164 -0.01856069453060627 0.054532475769519806 -0.01856069453060627  0.23041674494743347 0.042995531111955643 0.054532475769519806 0.042995531111955643  0.16983108222484589,   0.69871869609006154   -0.98012242942502326     1.4412263875991371    0.98517892618055214 -0.0045578700209603085      -0.13217606211402 2.6645352591003757e-12,0.00063636287814006209
IIWA_14,1714993083.3660727,  0.64787468853223817     1.260373503095658 -0.068695075181782084   -1.3348530640033796   -1.0363730477991286    1.9177414953602558  -0.48910701779703242,-1.9427651265415819e-05  1.4630535110600144e-06 -4.9212422044084206e-05  -0.0013745672749240817   0.0021732357637761525 -6.0883289543495396e-07  4.3090499914428487e-06,-0.59413167572021486   69.991797798156739   4.2128786392211914  -12.598308425903321   0.6294680595397949  -2.2234536819458008 0.064080322265625003, -59.340884106548323   8.4862412311845841  -32.404130348967286   -21.59837485487035   2.4017728858832199  -4.1363231638916016 -0.51988483343580416,  0.499940425157547  0.1153499111533165 0.16912692785263062, 0.47199168801307678 -0.47979003190994263  0.52599406242370605  0.51995730400085449,-0.00077482452616095543 -0.00031522780773229897 -0.00031755870440974832,-0.026319773867726326   -1.6958062648773193   0.10456521064043045,  0.26146328449249268 -0.018560778349637985  0.054532170295715332 -0.018560778349637985   0.23041707277297974  0.042995162308216095  0.054532170295715332  0.042995162308216095   0.16983048617839813,   0.69871985949987447   -0.98011100226447212     1.4412129481593539    0.98516516359747897 -0.0045723310186929211   -0.13218384070512457 2.6645352591003757e-12,0.00062081095529720187
IIWA_14,1714993083.3710756,   0.6478690559184096     1.260381053171836 -0.068712032909877541   -1.3348751749251746   -1.0363588584468428    1.9177219610898522  -0.48910683802811944,-0.00024084667415540128  0.00030317348993009449 -0.00071767906145354444  -0.0019840906917412181   0.0023061627024532991 -0.00078185788246383438  1.0637996512269661e-05,-0.52725971221923829   69.778321914672858   4.4346798439025878  -12.348277976989745  0.59601381301879885  -2.1720559234619139 0.062411563873291012, -59.339914452531509    8.485752778167921  -32.404270907922104  -21.597952547208564   2.4005681710602529  -4.1365512627128256 -0.51948181082339406,0.49993667006492615 0.11534826457500458 0.16912534832954407, 0.47199141979217529 -0.47979086637496948  0.52598917484283447  0.51996177434921265, -0.0007703155861236155 -0.00031801083241589367 -0.00031731143826618791,-0.026306945830583572    -1.695806622505188    0.1045738086104393,  0.26146373152732849 -0.018560865893959999  0.054531857371330261 -0.018560865893959999   0.23041746020317078  0.042994741350412369  0.054531857371330261  0.042994741350412369    0.1698298305273056,   0.69872083699795695   -0.98009782226160524     1.4411973889796315    0.98514954939332711 -0.0045881233168287849   -0.13219304334377568                      0,0.00061872834339737892
IIWA_14,1714993083.3760388,  0.64774645733768177    1.2605243245230553 -0.069154550342495957   -1.3352737702745019    -1.036269504046859    1.9172436107386932  -0.48910719756594534, -0.0050966205684374599   0.0059733928407151261   -0.018274840553899503   -0.017531086526484611   0.0054191061613150307   -0.019759500352329127 -5.8711158261945897e-06,  6.1187846603393554   61.329306526184084   9.7014502677917474  -5.5409973678588864  0.33454246520996095 -0.64781200790405269 0.034710174560546876, -59.325423102135865   8.4767815539364584  -32.395817837238411  -21.589289837188431   2.3964983365154007  -4.1354028937842564 -0.51676593828864203,0.49993222951889038 0.11533463001251221 0.16911818087100983,  0.4719909131526947 -0.47978779673576355   0.5259825587272644  0.51997172832489014,-0.00079442193964496255 -0.00079983903560787439 -0.00054054777137935162,-0.026294216513633728   -1.6958069801330566   0.10458233207464218,  0.26146483421325684 -0.018559172749519348  0.054531633853912354 -0.018559172749519348   0.23042038083076477  0.042991407215595245  0.054531633853912354  0.042991407215595245   0.16982652246952057,   0.69863935989111781   -0.97998969207502284     1.4410499507899743    0.98503469389132903 -0.0046027227815770289   -0.13221740272140181                      0,0.00086744962027296424
IIWA_14,1714993083.381027,  0.64769887998952169     1.260536608368497 -0.069688207886905815   -1.3355974042778715   -1.0361809165445484    1.9164256274963272  -0.48910683802811944,-0.0059803903811530557  0.0052700680902408393  -0.035966174219513897  -0.026970229355973888  0.0078787850214786792  -0.048526929976504832 9.6846203750546458e-06,  12.227281326293946   60.125611183166505    12.17890251159668  -4.7935945205688473 -0.25706947326660157  -2.2441462860107424 0.066750335693359378,-58.990851473407403  8.2908132220321296 -32.164818572003689 -21.397348468697523  2.3269751600556443 -4.1074120037026614 -0.4651184764327706,0.49991872906684875 0.11503583192825317 0.16900493204593658, 0.47196817398071289 -0.47970819473266602  0.52594220638275146  0.52010661363601685, -0.001178438775241375  -0.012592962011694908 -0.0049586771056056023,-0.026282148435711861   -1.6958075761795044   0.10459069907665253,  0.26147577166557312 -0.018518127501010895  0.054538708180189133 -0.018518127501010895   0.23048366606235504  0.042917706072330475  0.054538708180189133  0.042917706072330475   0.16976602375507355,    0.69671098571966183    -0.97761504732130078      1.4377715404796376     0.98256372748117826  -0.0046096721773025706    -0.13261923232210648 -2.6645352591003757e-12,0.0094252163544297218
IIWA_14,1714993083.3860717,  0.64769168945116962    1.2605230662497475 -0.070382214392933379   -1.3360492094801044   -1.0360615538260705    1.9150366557530973  -0.48910701779703242,-0.0050719338390054604  0.0036743697222131619  -0.056533199616713686  -0.039648391574093868   0.011077536756298946  -0.094380413710396974 5.5693978092833414e-07,  15.403699592590334   60.544846954345708   13.212630550384521  -6.8193788566589353  0.28700222015380861 -0.79432899475097651 0.059074047088623044, -58.802570810142939   8.2314888220014222  -32.002891730386438  -21.352876496527781   2.2956011255997359  -4.0007596325117669 -0.44784306633070781,0.49998754262924194 0.11477078497409821 0.16890843212604523,0.47203484177589417 -0.4797230064868927 0.52592182159423828 0.52005308866500854, 0.0018030140781775117  -0.020679991692304611 -0.0078201675787568092,-0.026269234716892242    -1.695813775062561   0.10460000485181808,  0.26146653294563293 -0.018477741628885269  0.054562676697969437 -0.018477741628885269   0.23053789138793945  0.042832266539335251  0.054562676697969437  0.042832266539335251   0.16973564028739929,    0.69486415175123994     -0.9751513410849455      1.4342445742290266     0.98003531057599957  -0.0045157058572442565    -0.13228399755327303 -1.7763568394002505e-12,0.015388768166303635
IIWA_14,1714993083.3910749,  0.64771344072605563    1.2605088049462634 -0.071259279866639449   -1.3367484890621346   -1.0358110355484245    1.9133250688424488  -0.48910773687268422, -0.0031874960757636833    0.002369043638404845   -0.080309178641613771   -0.059689896540483053    0.018882760510878942    -0.14396780739425935 -2.8317474247277971e-05,  16.483939002990724   61.005234703063969   11.939626060485839  -6.6083316497802738 -0.15846748352050782  -1.0900329818725585 0.045056476593017578, -58.635955024923675   8.1585529649509674  -31.878381365048988  -21.338844932170925   2.2571956406944191  -3.7938117954099351 -0.42257040640744015,0.50010228157043457 0.11444432288408279 0.16872872412204742, 0.47224971652030945 -0.47976481914520264  0.52587562799453735  0.51986610889434814,0.0060197459533810616 -0.029607443138957024 -0.013430273160338402,-0.02626248262822628  -1.6959531307220459  0.10466445982456207,  0.26145800948143005 -0.018414968624711037  0.054591439664363861 -0.018414968624711037   0.23060406744480133  0.042710442095994949  0.054591439664363861  0.042710442095994949   0.16970038414001465,   0.69210521379847734   -0.97181506677390672      1.429249263478205    0.97655833677645631 -0.0042648606468631556   -0.13121833280482775                      0,0.022935330867767334
IIWA_14,1714993083.396034,  0.64773824807246194    1.2605035318702609 -0.072366142916395482   -1.3376339434608904   -1.0355231265586142    1.9110407557374998  -0.48910587929694471,-0.0015577030043586225  0.0016843118706234791   -0.10852186490353231  -0.083170093182616783    0.02662256800111264   -0.20654677011336875 5.1649050182402565e-05,  15.005039810180666   61.326734527587895   11.243304702758788  -5.1148702049255368 -0.10916648864746094  -1.1444345054626466 0.035043926239013673, -58.422059179941456   8.0270126298454727  -31.735386392778206  -21.267663261366472   2.1755886643524058  -3.5764853951295237 -0.36913352609881561,0.50018495321273804 0.11402116715908051 0.16848975419998169, 0.47251713275909424 -0.47978541254997253  0.52578115463256836   0.5196995735168457,0.0080998344346880913 -0.040620647370815277 -0.020276909694075584,-0.026348324492573738   -1.6960150003433228   0.10562366992235184,   0.2614588737487793 -0.018332283943891525   0.05461835116147995 -0.018332283943891525   0.23069342970848083  0.042554635554552078   0.05461835116147995  0.042554635554552078    0.1696411669254303,    0.6884623898448794   -0.96755268504988834     1.4227540770725966     0.9720404583308806 -0.0040232622851021915   -0.13006156129957702 2.6645352591003757e-12,0.031986348330974579
IIWA_14,1714993083.4010725,  0.64773129729871592    1.2605007755590396 -0.073714308207215251   -1.3386534415460269   -1.0351563133277164    1.9082460943966337  -0.48910522021698594,-0.0015241933533275888  0.0012371970476482382   -0.14074410355561662   -0.10731599795155632      0.035970583636803   -0.27702386972533632 6.7682438496953571e-05,   13.49527663421631   60.771182830810552   11.971888053894043  -5.4764733810424806  0.13645811080932618 -0.99658251190185543 0.029370147705078124, -58.164843667784474   7.8374326895275246  -31.587539117268918  -21.189003181821331   2.0786240155231051  -3.2754464075495031 -0.30484554243643586, 0.5003056526184082  0.1134815439581871 0.16816040873527527, 0.47289830446243286 -0.47981339693069458  0.52565991878509521  0.51944965124130249, 0.011265479028224945  -0.05409279465675354 -0.029350053519010544,-0.026744812726974487   -1.6961007118225098   0.10654697567224503, 0.26146188378334045 -0.01822252944111824  0.05465133860707283 -0.01822252944111824  0.23080585896968842 0.042352601885795593  0.05465133860707283 0.042352601885795593  0.16956581175327301,     0.6836719671960978     -0.9620592780796855       1.414358721423703     0.96621458593482146  -0.0036537488909971216    -0.12839493941285696 -2.6645352591003757e-12,0.043387793004512787
