DesiredFlux,0.623,HitTime,1714990704.0874219,DesiredPos,  0.5289575457572937 -0.30277329683303833   0.1978360116481781
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714990703.4837494, 0.56155291571525934   1.1900477343960634  -0.1252826078290987  -1.3692291540354609  -1.0755652022489564   1.7835240486896136 -0.57532237069003389, 1.1125951164971018e-06  1.7303147962133223e-07  2.3450453901725424e-06 -3.3612687335434486e-06  1.8814960034499963e-05  1.0097557854188816e-05 -4.3661003632264121e-06,-1.6589390945434572  68.587486564636237  5.0328709716796878 -14.255768337249755 0.80730379104614258 -2.3666331520080566 0.41151581954956057, 0.12009377964498308   -1.910691295544908 -0.18950781449861459 -0.89304095703556152  0.51300065172602727  0.52503173841816997  0.37144290092619342, 0.53826063871383667 0.051784288138151169  0.18942813575267792, 0.49355164170265198 -0.49649301171302795  0.49963828921318054  0.51015985012054443,-3.6162466585665243e-06  1.8003481727646431e-06 -1.1375017265891074e-06,-0.0061905118636786938   -0.90365338325500488  0.0055948575027287006,  0.25120353698730469 -0.016930218786001205  0.063787661492824554 -0.016930218786001205    0.2352735698223114  0.029438735917210579  0.063787661492824554  0.029438735917210579   0.17691697180271149,   0.6115107854105517  -0.56939233809760736    1.0630703819991538   0.59889544506486203 -0.058387212220623042 -0.033416805489849821                     0,2.8931899578310549e-06
IIWA_14,1714990703.488723,0.56155297571095242  1.1900477343960634 -0.1252826078290987  -1.369229213922071 -1.0755651064303804  1.7835243483408296  -0.575322310803424, 3.2899038164072504e-06  1.3842518369706579e-07  1.8760363121380341e-06 -5.0844793914490034e-06  1.8884711066100976e-05  2.0064094925849356e-05 -1.0974158948486691e-06,-1.6615110931396486  68.584914566040041  5.0221169738769529   -14.2732435836792  0.8064234161376953 -2.3639631385803224 0.41051456451416013,-33.333840555371822  4.8267569205838621 -20.442693869871984 -10.881366618313205 -0.1136186472865458 -1.3469126337382258 0.37149946677906448, 0.53826051950454712 0.051784288138151169  0.18942812085151672, 0.49355164170265198 -0.49649295210838318  0.49963819980621338  0.51015996932983398,-5.3131539061723743e-06  3.1401202704728348e-06 -1.8739383449428715e-06,-0.0061905537731945515   -0.90365344285964966   0.005594820249825716,  0.25120353698730469 -0.016930215060710907  0.063787654042243958 -0.016930215060710907    0.2352735698223114  0.029438739642500877  0.063787654042243958  0.029438739642500877   0.17691695690155029,    0.61151064587328108    -0.56939250091847526      1.0630703481231407     0.59889550581537776   -0.058387167795714845   -0.033416790392593043 -2.6645352591003757e-12,4.4465446080721449e-06
IIWA_14,1714990703.493722, 0.56155291571525934   1.1900477343960634 -0.12528254783340567  -1.3692291540354609  -1.0755651064303804   1.7835241685719165   -0.575322310803424, 2.3209532991623148e-07  1.1074014695765264e-07  3.9006567706995504e-06  -1.672119108544958e-06  1.5107768852880782e-05  8.8605194171232108e-06 -8.7793271587893536e-07,  -1.66408309173584  68.579770568847664  5.0194284744262694 -14.266522335052491 0.80730379104614258 -2.3649643936157227 0.41184957122802734, -33.333848333135705    4.826770004975617  -20.442658906260377  -10.881348681408811 -0.11362000109824402   -1.346975721888114   0.3714954661651142,0.53826040029525757 0.05178431048989296 0.18942816555500031, 0.49355152249336243 -0.49649295210838318  0.49963819980621338  0.51016008853912354,-7.9990077210823074e-06  1.5634311694157077e-06  5.9616991165967193e-07,-0.0061905710026621819   -0.90365350246429443  0.0055948649533092976,  0.25120356678962708 -0.016930229961872101  0.063787646591663361 -0.016930229961872101    0.2352735698223114  0.029438748955726624  0.063787646591663361  0.029438748955726624    0.1769169420003891,  0.61151113143154134  -0.56939266883038187    1.0630707788754634   0.59889567184612247 -0.058387487511524228  -0.03341764681241699                     0,5.633824912365526e-06
IIWA_14,1714990703.4987233, 0.56154584505921024   1.1900508503541936 -0.12529770787237157  -1.3692410184564667  -1.0755660651397385   1.7835160193023898   -0.575322310803424,-0.00028264056570014072  0.00012472691732493739 -0.00060328103321944531 -0.00047591453552161097 -2.6262159242621145e-05 -0.00031888236553618562 -7.0234617270314833e-07,-1.5277671661376955  68.479462623596191  5.2560164260864255 -14.085048622131348 0.81610754013061526 -2.3426030311584474 0.41251707458496095, -33.333849787243203   4.8267803658989745  -20.442702410760273  -10.881399117191803 -0.11360172298059895  -1.3469085502889409  0.37148405609925977, 0.53826045989990234 0.051784306764602661  0.18942812085151672,  0.4935515820980072 -0.49649298191070557  0.49963817000389099  0.51015996932983398,-4.9107634367828723e-06  1.1615289849942201e-06 -1.2154403066233499e-06,-0.0061905165202915668   -0.90365344285964966  0.0055948710069060326,  0.25120356678962708 -0.016930229961872101  0.063787646591663361 -0.016930229961872101    0.2352735698223114  0.029438743367791176  0.063787646591663361  0.029438743367791176   0.17691695690155029,  0.61151115662827493  -0.56939253561694159    1.0630707007690532   0.59889557118353309 -0.058387569124462857 -0.033417255481893449                     0,3.5783505154540762e-06
IIWA_14,1714990703.5037234, 0.56139963751877375   1.1901040003204892  -0.1256815626071689  -1.3694947244252751  -1.0755711464913229   1.7833712498041738 -0.57532237069003389, -0.0060744140700194184   0.0022257801856873376   -0.015836814218468481   -0.010528970380751682 -0.00022426379076972104  -0.0060458858210672498 -2.9573413338949792e-06, 6.8106522827148437  64.467144813537601  11.104846981048585 -9.3344700927734383 0.95168527603149411 -2.0832779769897463 0.41952585983276369, -33.318621493271031   4.8218273787996129  -20.431068973592119  -10.874046273408648 -0.11505791797524922  -1.3485663467053852  0.37264404656355071,0.53825956583023071 0.05177292600274086 0.18942733108997345, 0.49354737997055054 -0.49649062752723694  0.49963784217834473   0.5101667046546936,-3.9301987271755934e-05 -0.00045427933218888938 -3.2573479984421283e-05,-0.0061904466710984707   -0.90365350246429443  0.0055948342196643353,  0.25120377540588379 -0.016928885132074356  0.063787974417209625 -0.016928885132074356   0.23527517914772034  0.029436497017741203  0.063787974417209625  0.029436497017741203   0.17691542208194733,  0.61145424170216955  -0.56933495961963843    1.0629779700508379   0.59883716419495414 -0.058388329833292119  -0.03344587286413514                     0,0.00031514780130237341
IIWA_14,1714990703.508755, 0.56134361124987087   1.1901065769718806 -0.12611071768995094  -1.3697160131939725   -1.075580542122285   1.7831251537981534 -0.57532261034555687, -0.0071005820121310056   0.0018836902042043361    -0.02983565468605661   -0.017274727052498356 -0.00055523627110133774   -0.014680548897671213 -1.1952093986404719e-05, 11.682017623901368  64.040193046569826  13.415612258911132 -8.9419491729736329  0.7474382972717285 -2.3502793197631835 0.41585459136962888, -32.972665390132526   4.7288124095380635  -20.145248731353455  -10.714744498128571 -0.14660980041032554  -1.3981572788683561  0.39366110393245723,0.53824186325073242 0.05151372030377388 0.18943430483341217, 0.49342173337936401 -0.49644654989242554  0.49964246153831482   0.5103265643119812,-0.00074156740447506309   -0.010731597431004047  0.00025489431573078036,-0.0061902995221316814   -0.90365344285964966  0.0055947438813745975,  0.25120231509208679 -0.016900554299354553  0.063799120485782623 -0.016900554299354553   0.23531244695186615  0.029385199770331383  0.063799120485782623  0.029385199770331383   0.17688553035259247,   0.6102376527268305  -0.56803196672028378    1.0608841934907076   0.59753500325676612 -0.058423382281347358 -0.034186366383082145                     0,0.007417644839733839
IIWA_14,1714990703.5137236, 0.56131203278954844   1.1901150857792333  -0.1267008809233926  -1.3700844681251978  -1.0755737349891366   1.7827683234142446 -0.57532237069003389, -0.0069436040226017407    0.001847304457471584   -0.047475053086511676   -0.028557978891009951 -0.00017190369094147835   -0.026017654474487704   2.454573016495968e-08, 14.259160217285157  63.561801307678223  14.275932083129883 -8.8344091949462893 0.93495815277099603 -1.9594561042785645 0.41251707458496095, -32.776894858681842   4.6983645335186957  -19.937632375992674   -10.64222873532964 -0.15560959565937563  -1.4124748613437597   0.4005635486866147,0.53824186325073242 0.05151372030377388 0.18943430483341217, 0.49342173337936401 -0.49644654989242554  0.49964246153831482   0.5103265643119812,-0.00074156740447506309   -0.010731597431004047  0.00025489431573078036,-0.006190392654389143  -0.90365535020828247 0.0055948225781321526,  0.25120231509208679 -0.016900554299354553  0.063799120485782623 -0.016900554299354553   0.23531244695186615  0.029385199770331383  0.063799120485782623  0.029385199770331383   0.17688553035259247,   0.6102376527268305  -0.56803196672028378    1.0608841934907076   0.59753500325676612 -0.058423382281347358 -0.034186366383082145                     0,0.007417644839733839
IIWA_14,1714990703.5187211, 0.56130154663323628   1.1901149658969301 -0.12748135354947476  -1.3706183054385206  -1.0755798708686548   1.7823052529843548 -0.57532165161438209, -0.0059743294705678594   0.0014730482738494434   -0.069198947512495848   -0.044199875645719706 -0.00038295813348335184   -0.039336940775182176  2.8782662656152603e-05, 15.210799697875977  63.672397247314457  13.305383781433106 -8.7134267196655273 0.65411855697631838 -1.9671323928833009 0.41118206787109374,-32.543726895611158  4.6346186014197883 -19.688350592388623 -10.530617284110795 -0.1771190260877599 -1.4300373928886891 0.42071603970243554, 0.53824812173843384 0.051013216376304626  0.18948084115982056, 0.49322345852851868 -0.49634736776351929  0.49973148107528687  0.51052749156951904,-0.00033835243084467947   -0.025163145735859871   0.0018303727265447378,-0.0061900252476334572   -0.90369969606399536  0.0055955532006919384,  0.25119206309318542 -0.016870755702257156   0.06381496787071228 -0.016870755702257156   0.23534639179706573  0.029333708807826042   0.06381496787071228  0.029333708807826042   0.17686757445335388,  0.60898612869753066  -0.56682405427466165    1.0587594773561193   0.59631398698734017 -0.058340470548756684 -0.034656625000017982                     0,0.017393052577972412
IIWA_14,1714990703.5237231,  0.5613007076752814   1.1901180218593674 -0.12849216294926269  -1.3713145289490305  -1.0755809255711217   1.7817026862413345 -0.57532183138329507, -0.0048130218946496918   0.0013006771165725982   -0.095791534001513745   -0.063208840936972086 -0.00034855460546341351   -0.055572222340957066  1.5835373605806702e-05, 13.816776458740236  63.286597457885748   13.15213931274414 -7.6353384399414059 0.65852043151855466 -1.7962515335083007 0.41652209472656249, -32.266399878047942   4.5506839787726339  -19.380934286114314   -10.38468989295578 -0.20092810416437124  -1.4587813023401126  0.45017307640909848,0.53822726011276245 0.05064605176448822 0.18951264023780823, 0.49309054017066956 -0.49623385071754456  0.49980619549751282  0.51069313287734985,-0.0011222326429560781  -0.034819647669792175    0.00275583122856915,-0.0061683058738708496   -0.90374058485031128  0.0055819172412157059,  0.25118666887283325 -0.016825977712869644   0.06383158266544342 -0.016825977712869644   0.23539373278617859  0.029263079166412354   0.06383158266544342  0.029263079166412354   0.17683495581150055,  0.60712547670505046  -0.56520505634427565    1.0557628208474057   0.59462324503378738 -0.058175189748155276 -0.035282430482119764                     0,0.024088133126497269
IIWA_14,1714990703.5286784, 0.56128267144279131   1.1901145464724943 -0.12972851557596576  -1.3721377253807892  -1.0755798708686548   1.7809089709295529 -0.57532165161438209, -0.0045718668153230252   0.0009015262183310719      -0.126087332269334   -0.083494930019923863 -0.00023665558569399878   -0.076206390344030803  1.9859055403760743e-05, 12.903716957092286  62.733617759704593  13.459972499847412 -7.6568464355468748 0.71926630020141602 -2.0065150909423828  0.4148533363342285, -31.925872986358854   4.4436613488193109  -19.002762567372805  -10.202497397448631 -0.23223771368383439  -1.4948419249350891  0.48801386635381705, 0.53819632530212402 0.050176121294498444  0.18955081701278687,  0.4929230809211731 -0.49608308076858521  0.49990186095237732  0.51090753078460693,-0.0021610020194202662  -0.046657733619213104  0.0037671346217393875,-0.006172581110149622  -0.90379709005355835 0.0055609839037060738,  0.25118246674537659 -0.016684304922819138  0.063874386250972748 -0.016684304922819138   0.23553667962551117  0.029052944853901863  0.063874386250972748  0.029052944853901863   0.17672672867774963,   0.60128248016955155   -0.56045936203474866     1.0466919586944456    0.58956003997057138  -0.057503915523504645  -0.037192290571752551 1.7763568394002505e-12,0.032293394207954407
