DesiredFlux,0.637,HitTime,1714990767.3842897,DesiredPos, 0.53501737117767334 -0.32879447937011719  0.19786030054092407
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714990766.720047, 0.58799089488009693   1.2413970222494248 -0.18769387451207517  -1.3363892619048305  -1.0373511523030949   1.7898692164199346 -0.58419501145119024,-2.4845532260567039e-07 -7.0307901145594458e-06  -0.0018987098918125389  -0.0013575971028075349 -5.5992272711180442e-06  -0.0005053560324946155  3.1807874440088239e-05, -0.55297969818115233    69.793753906250004    7.2320635223388674   -13.080894077301025     1.581153335571289   -1.7768939361572265 -0.096787986755371092, -4.2640094811195821  -5.5939011735150661 0.038752786101854397  0.62805288930612946  -2.5719235112269527 -0.31095904912639694    1.066261888865734, 0.5378689169883728  0.0470622219145298 0.17930246889591217,0.47488507628440857 -0.4918023943901062 0.50458145141601562 0.52726858854293823,-0.00016138971841428429 -0.00089968059910461307  0.00025094006559811532,-0.003170207841321826  -0.92764121294021606  0.020629804581403732,  0.24913491308689117 -0.014696341939270496  0.065840013325214386 -0.014696341939270496   0.23845177888870239  0.025524701923131943  0.065840013325214386  0.025524701923131943   0.17497782409191132,  0.51681300652539619  -0.49997477287622161   0.87504927365333884   0.55200387540033091 -0.055992063733967257  -0.12327654444366232                     0,0.00065072037978097796
IIWA_14,1714990766.7250752, 0.58799089488009693   1.2413971420226448 -0.18770328205490958  -1.3363941154473142    -1.03735096049141    1.789867418730805 -0.58419495156458034,-1.9876425808453633e-07 -8.3370329130085121e-07  -0.0018952696268262461  -0.0012802193815938665  3.1930855822945959e-06 -0.00047619239117796443  2.7841763947803055e-05, -0.55555169677734373    69.804041900634772    7.2374405212402344   -13.082238327026367    1.5864355850219727   -1.7822339630126953 -0.097121738433837895,  -4.280035951171687  -5.5672770675603314  0.04182127448370121   0.6037279746428128  -2.5586232836456526 -0.31185613998031281   1.0661019771777762, 0.53786885738372803 0.047058440744876862  0.17930367588996887,   0.474882572889328 -0.49180135130882263  0.50458270311355591  0.52727055549621582,-0.00013249859330244362  -0.0008710648980922997  0.00024934255634434521,-0.0031694222707301378   -0.92764192819595337   0.020626846700906754,  0.24913473427295685 -0.014695740304887295  0.065840274095535278 -0.014695740304887295   0.23845236003398895   0.02552374079823494  0.065840274095535278   0.02552374079823494   0.17497757077217102,    0.51678937060462005     -0.4999535462379967     0.87501190093153269     0.55198136817047327     -0.0559890579650002    -0.12328782783388448 -2.6645352591003757e-12,0.00062863080529496074
IIWA_14,1714990766.7300839, 0.58799089488009693   1.2413970222494248 -0.18771286947574001   -1.336399148867794  -1.0373511523030949   1.7898654413818456 -0.58419495156458034,-1.5901140646762906e-07 -5.4578914333873867e-06  -0.0018997125346782531  -0.0012255123244650833 -5.1179989333533544e-06 -0.00046004787132072276  2.2273411158242444e-05, -0.56069569396972663    69.806613899230967    7.2280307731628417   -13.078205577850342    1.5837944602966307   -1.7752251777648926 -0.097121738433837895,-34.357344073485194  3.7258123215465377 -15.732330042115684 -10.421193551968999  -1.813756772130829 -3.1168409253799974  1.0660013116494129, 0.53786861896514893 0.047054484486579895  0.17930512130260468, 0.47487947344779968 -0.49180018901824951  0.50458413362503052  0.52727311849594116,-0.00011593780800467357 -0.00085511337965726852  0.00025711662601679564,-0.0031690727919340134   -0.92764264345169067   0.020624293014407158,  0.24913452565670013 -0.014695147983729839  0.065840557217597961 -0.014695147983729839    0.2384529709815979  0.025522774085402489  0.065840557217597961  0.025522774085402489   0.17497728765010834,   0.51676592313487646   -0.49993203991505197    0.87497415710213744    0.55195882794212281  -0.055986273596708713   -0.12330206357002993 5.3290705182007514e-12,0.00061815476510673761
IIWA_14,1714990766.7350309, 0.58799101465331682   1.2413971420226448 -0.18772263666548339  -1.3364037627547547    -1.03735096049141   1.7898626849615413 -0.58419483168227737, 4.6637196707317097e-06  4.2461565363679604e-07  -0.0019104576174778639  -0.0011649653380006164   3.578068252506348e-06 -0.00047829510922571875  2.2614021045535984e-05, -0.56326769256591802    69.783465911865235    7.2266865234375004   -13.074172828674316     1.581153335571289   -1.7748914260864257 -0.096120483398437498,-34.357655936619288  3.7261105545473683 -15.731634220208523 -10.421473619030918  -1.813560837836079 -3.1172882650793188  1.0659034208358829,  0.5378684401512146 0.047050457447767258  0.17930671572685242, 0.47487634420394897 -0.49179896712303162  0.50458568334579468  0.52727556228637695,-9.8813747172243893e-05 -0.00084517401410266757  0.00026949436869472265,-0.0031687554437667131   -0.92764359712600708   0.020621320232748985,  0.24913430213928223 -0.014694537036120892  0.065840847790241241 -0.014694537036120892   0.23845358192920685  0.025521796196699142  0.065840847790241241  0.025521796196699142   0.17497703433036804,   0.51674174878257872   -0.49991026448825693     0.8749358581603417    0.55193586661950178  -0.055982926108200104   -0.12331617412009166 8.8817841970012523e-13,0.00061277137137949467
IIWA_14,1714990766.740042, 0.58798580157300728   1.2414014563674727 -0.18774774355402257  -1.3364222185207637  -1.0373496181586823   1.7898467459603138 -0.58419471190905736,-0.00020479223664504292  0.00017291348563643793  -0.0025326416355496368  -0.0016702029107607645  5.6555763707545341e-05  -0.0010201961364821126  2.2882145636775492e-05, -0.46553174591064456    69.657437980651864    7.4229469833374022   -12.856404373168946    1.5714692115783691   -1.7468562850952147 -0.096120483398437498,-34.358045045885106  3.7262999528695944 -15.731076234358007 -10.421832617857529 -1.8134713231340607 -3.1174877108901118  1.0658025530716695, 0.5378684401512146  0.0470464788377285 0.17930808663368225, 0.47487342357635498 -0.49179795384407043  0.50458717346191406  0.52727770805358887,-7.9928424383979291e-05 -0.00083519576583057642  0.00027024163864552975,-0.0031681838445365429   -0.92764431238174438   0.020617716014385223,  0.24913404881954193 -0.014693913049995899  0.065841160714626312 -0.014693913049995899    0.2384541928768158  0.025520779192447662  0.065841160714626312  0.025520779192447662   0.17497679591178894,   0.51671717653167804   -0.49988785233612276    0.87489628559911381    0.55191245606422967  -0.055979831627972487   -0.12332897683275945 8.8817841970012523e-13,0.0006051321979612112
IIWA_14,1714990766.7450893, 0.58787638557320288   1.2414732418686902 -0.18816485455596893  -1.3367483691798316  -1.0373301558176604   1.7894914736100116 -0.58419441225784141,-0.0045404737814923359  0.0030097508372114836  -0.018710553386294012  -0.014382188691326066 0.00082373825184215745   -0.01502705092127344 3.0291765147477805e-05,   6.275676574707032   64.521156784057624   12.392638217926025  -7.5950109481811525   1.5212878417968749 -0.85674055862426757 -0.10212801361083984,-34.344207035687006  3.7203098150608782 -15.720586866625959 -10.414316793589563 -1.8154910224039762 -3.1179474540164724  1.0673868777835329, 0.53786700963973999 0.047031458467245102  0.17930728197097778, 0.47486823797225952 -0.49179407954216003  0.50458759069442749  0.52728563547134399,-0.00012087664799764752  -0.0012690856819972396  0.00018441399151924998,-0.0031676485668867826   -0.92764508724212646   0.020613754168152809,  0.24913440644741058 -0.014691615477204323  0.065841510891914368 -0.014691615477204323   0.23845618963241577  0.025517139583826065  0.065841510891914368  0.025517139583826065    0.1749749630689621,  0.5166277358918947 -0.49980420707473883  0.87475689993254946  0.55182402614573078 -0.05597634260734452 -0.12336139669066881                    0,0.00088429223978891969
IIWA_14,1714990766.7500699, 0.58784187103274621   1.2414650925991635 -0.18866351813979323  -1.3370310770666542  -1.0373397432603075   1.7888753646391591 -0.58419363329557972,-0.0050129606434604658  0.0020818298886993028  -0.034914986062007401  -0.022814066425965195 0.00027549289558897604  -0.036665999571119295 5.5391902585735344e-05,   11.586853675842287    63.919309112548831    14.706091995239257   -7.2710467643737795   0.95784790039062495   -1.8159428825378419 -0.086107933044433593,-34.017338499038566  3.5977518626633871 -15.471172806895698 -10.248876930874255 -1.8563040593881392 -3.1178211858822613  1.1000075301207475,0.53785043954849243 0.04676421731710434 0.17927521467208862, 0.47481009364128113 -0.49173551797866821  0.50458043813705444  0.52739942073822021,-0.00076254288433119655   -0.011705286800861359  -0.0011327319080010056,-0.0031673712655901909   -0.92764765024185181   0.020610425621271133,  0.24914233386516571 -0.014650017023086548  0.065846644341945648 -0.014650017023086548   0.23848991096019745  0.025451034307479858  0.065846644341945648  0.025451034307479858   0.17494311928749084,    0.51501898698447235     -0.4982856399609048     0.87225368253474045     0.55021601642479823   -0.055929313287350624    -0.12378819782288275 -8.8817841970012523e-13,0.0080899270251393318
IIWA_14,1714990766.7550993, 0.58783749680130837   1.2414669501749029 -0.18929143164504164  -1.3374267961133743  -1.0373436740908488   1.7878640159326322 -0.58419309398884078, -0.004185337772282075  0.0017397669405374468  -0.053048529059542174  -0.034080015009575707 6.3161094819671511e-05  -0.069786747917969835 6.5885791625934425e-05,   14.109984298706056    63.865297142028815     15.44811784362793   -7.9028441352844236    1.5019195938110352   -0.9368409614562988 -0.086775436401367187,-33.830360273075449  3.5617540342019507 -15.285025822768862 -10.199773197972196 -1.8623852608458427 -3.0586066468821604  1.1086072684387671,  0.5379025936126709 0.046523261815309525   0.1792583167552948,0.47482270002365112 -0.4917151927947998 0.50461745262145996 0.52737158536911011, 0.0014717507874593139   -0.01900407113134861 -0.0015761880204081535,-0.0031660438980907202    -0.9276888370513916    0.02061302587389946,  0.24913427233695984 -0.014602400362491608  0.065860949456691742 -0.014602400362491608   0.23851983249187469  0.025376949459314346  0.065860949456691742  0.025376949459314346   0.17493139207363129,   0.51321604778564733    -0.4966849620364755    0.86947401347270414    0.54850408636486492  -0.055734171486854223   -0.12371521025311694 1.7763568394002505e-12,0.013129108585417271
IIWA_14,1714990766.7600353,  0.5878459456129681   1.2414658116748154 -0.19008388846534954  -1.3379899348868443  -1.0373308268967578   1.7865393994967451 -0.58419261456871185, -0.003010317751436314  0.0013462735489284145  -0.074137096059949809  -0.049789562946457283 0.00056441663949587898   -0.10881405576986006 7.1885438457920328e-05,   15.210799697875977     64.13021299743653    14.231571842193604   -8.3141845512390145    1.1418462562561036   -1.3650443649291992 -0.078765396118164063,-33.654135634052359    3.49496353965975 -15.123972406918062 -10.155064831963035 -1.8767506805444176 -2.9364126695169919  1.1277786344005105, 0.53798073530197144 0.046227794140577316  0.17918144166469574, 0.47493433952331543 -0.49168512225151062  0.50465047359466553   0.5272674560546875, 0.0042936578392982483  -0.027025185525417328 -0.0043239654041826725,-0.0031538887415081263   -0.92772364616394043    0.02068968303501606,  0.24913199245929718 -0.014532832428812981  0.065874740481376648 -0.014532832428812981   0.23855620622634888  0.025275213643908501  0.065874740481376648  0.025275213643908501   0.17491239309310913,     0.5106147931188687    -0.49454012178173912     0.86562078509988538     0.54615362676457835   -0.055408281919966385    -0.12323364649269308 -1.7763568394002505e-12,0.019016331061720848
IIWA_14,1714990766.765075, 0.58785163811340646   1.2414678490194677 -0.19109308005400397  -1.3387187554754614  -1.0373495223401064   1.7848119334714787 -0.58419039756422952, -0.0021805541836146911   0.0011585126252354105   -0.099677340394136782   -0.068984473901850557 -0.00029628442234479944    -0.15614988562654447   0.0001461885300595353,  13.965952377319336   63.896161125183106   13.609184219360351  -7.2011457786560058  0.97721614837646487 -0.84505924987792969 -0.09244921493530274, -33.44087192051407   3.397109849415505  -14.94059358023455 -10.082482001859541 -1.9038365427383628 -2.7921178657490939   1.159581918843229, 0.53806263208389282 0.045849543064832687  0.17906908690929413, 0.47509777545928955 -0.49163475632667542  0.50467777252197266   0.5271410346031189, 0.0066927340812981129  -0.036755222827196121 -0.0079320464283227921,-0.003217372577637434  -0.92776656150817871  0.020743465051054955,  0.24913598597049713 -0.014441533945500851  0.065888330340385437 -0.014441533945500851   0.23860307037830353  0.025143483653664589  0.065888330340385437  0.025143483653664589   0.17488236725330353,     0.5072068981952782    -0.49177618894713504     0.86061697727490838     0.54308923892598671   -0.054991076612331824    -0.12258556998201442 -1.7763568394002505e-12,0.026214364916086197
