DesiredFlux,0.646,HitTime,1714990817.6861572,DesiredPos,0.53609859943389893 0.32946681976318359  0.2196592390537262
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714990817.1142344,-0.46046663775603275   1.1076875269322215 0.036968996874653909  -1.3540267452384724   -1.962796296790448  -1.8596672597310808 -0.92768482843249789, -0.0016147358256475126 -7.2906953606969595e-06   0.0024586683322769844  -0.0032752602916846733  7.3755362762410826e-08   0.0017062063757114542 -3.9375159290101166e-06, 0.19626045989990235   63.831698207855226   -2.863859577178955  -14.781494712829589   -1.203472499847412    1.638053237915039 -0.18823594665527343,-0.17164453553210396  -2.2810171045770935 -0.08603510920906704 -0.48354013352121128  0.46833675220168569 0.084293206538479146  -0.4336503196405152,  0.54330092668533325 -0.027011198922991753   0.21260406076908112,  -0.6997600793838501 -0.010865894146263599  0.016448723152279854   0.71410590410232544,-0.00061737402575090528  0.00046942033804953098 -0.00029777811141684651,-0.0038670762442052364    0.93559157848358154  0.0037831109948456287,  0.24887573719024658  0.026385240256786346  0.064714878797531128  0.026385240256786346   0.23410406708717346 -0.020311858505010605  0.064714878797531128 -0.020311858505010605   0.18405571579933167,   -0.9629339238372836   -0.33002195163422954    -1.0168730037403151    0.59551078210606789    0.51709318463544207   0.093101920995763976 2.6104961747819289e-05,0.00057361333165317774
IIWA_7,1714990817.1192565, -0.4604743077145137   1.1076872872766985 0.036983138295835119  -1.3540431636598289   -1.962796296790448  -1.8596550957679421 -0.92768506808802076, -0.0015985869997559782 -1.5418777207846302e-05   0.0025325915130699956  -0.0032769450876064493  5.9004290209928662e-08   0.0018515236261189595 -1.2736233658055936e-05, 0.15862146759033202   63.752387474060058  -2.8753044509887693  -14.774451713562012  -1.2025921249389648    1.633380714416504 -0.18756844329833985,   23.89817093059979   1.7429674941849014   14.594943429206914  -5.6476190937707793    1.076878331674977   2.0589923559231109 -0.43534584905494661,  0.54329288005828857 -0.027005402371287346   0.21259932219982147,  -0.6997496485710144 -0.010847064666450024   0.01644911989569664   0.71411639451980591,  -0.000574174162466079  0.00044007826363667846 -0.00030834053177386522,-0.0038651709910482168     0.9355921745300293  0.0037837789859622717,  0.24887961149215698  0.026379909366369247  0.064714141190052032  0.026379909366369247   0.23410628736019135 -0.020309813320636749  0.064714141190052032 -0.020309813320636749   0.18405112624168396,  -0.96272126378948997   -0.33000133858340774    -1.0166989309938756     0.5954500848606159    0.51702791537344694   0.093081056790289551 2.6101504069231396e-05,0.00054297363385558128
IIWA_7,1714990817.1242356,-0.46045363494402231   1.1076954365462255 0.037032393450821807  -1.3540807342718058  -1.9627947628205684  -1.8596192029627918 -0.92768494820571779,-0.00045195878014909195  0.00031363575931248896   0.0039962794099235241   -0.004124380549158954  6.1405998614710223e-05   0.0029169311069056321   -5.39369480750272e-06,-0.069900985717773437    63.568225261688234   -3.3832807731628418   -14.498894367218018   -1.2325248718261719    1.5402639961242677  -0.18823594665527343,  23.898189672751876   1.7429416422766091   14.594966160063837  -5.6475916597383122   1.0768998235542944    2.058999460777156 -0.43534584905494661,  0.54329288005828857 -0.027005402371287346   0.21259932219982147,  -0.6997496485710144 -0.010847064666450024   0.01644911989569664   0.71411639451980591,  -0.000574174162466079  0.00044007826363667846 -0.00030834053177386522,-0.0038633458316326141    0.93559402227401733  0.0037844148464500904,  0.24887961149215698  0.026379909366369247  0.064714141190052032  0.026379909366369247   0.23410628736019135 -0.020309813320636749  0.064714141190052032 -0.020309813320636749   0.18405112624168396,  -0.96272126378948997   -0.33000133858340774    -1.0166989309938756     0.5954500848606159    0.51702791537344694   0.093081056790289551 2.6101504069231396e-05,0.00054297363385558128
IIWA_7,1714990817.1292353,-0.45992195474857189   1.1077478675459522 0.037609074343041025  -1.3542886604725006  -1.9627837372266177  -1.8593726275366425 -0.92768512797463076,   0.020905640793897225   0.0023481485965195126    0.026264259216707546   -0.011616552467122145   0.0004901485569205594    0.012196561931499093 -1.1505712365117559e-05, -10.564458591461182   60.979200290679934  -10.197382564544677  -11.908831386566161  -1.2633379936218261   1.3920782508850098 -0.19390972518920899,  23.898165505188501   1.7424194125282928   14.593855355544996  -5.6475921785095071   1.0766001137484031   2.0582305004505526 -0.43581147057975511,  0.54329061508178711 -0.027002317830920219    0.2125975489616394, -0.69974654912948608 -0.010841283947229385  0.016449185088276863   0.71411949396133423,-0.00054876651847735047  0.00047545283450745046 -0.00031715069781057537,-0.0038594598881900311    0.93559503555297852  0.0037851727101951838,  0.24888074398040771  0.026378003880381584  0.064713999629020691  0.026378003880381584   0.23410713672637939 -0.020308902487158775  0.064713999629020691 -0.020308902487158775   0.18404966592788696,  -0.96264478137264575   -0.32998944225859361    -1.0166316840374279    0.59542533658163421    0.51700555290778993   0.093074052577080124 2.6100329897360552e-05,0.00054706918308511376
IIWA_7,1714990817.1342344,-0.45938619997289959   1.1077137124342384 0.038107618153645398  -1.3544393621266779  -1.9627686851580828  -1.8588781584153429 -0.92768512797463076,   0.038154703662009924   0.0005123144086642082    0.040953159797540939   -0.015321308140789667  0.00099420158693306216    0.029536014397182432 -9.2045698920940482e-06, -20.136860885620116   61.437589447021487  -14.384445629119872  -12.246895351409911 -0.80906454086303714   1.4337972106933594 -0.18556593322753906,  23.868825591813984     1.72917939269737   14.571746274617993   -5.634934026012953   1.0816473034386913   2.0590400396038633 -0.43869850286183859,  0.54328799247741699 -0.026968095451593399   0.21259117126464844, -0.69973510503768921 -0.010841649025678635  0.016463905572891235   0.71413034200668335, -0.0005447457660920918   0.0017492952756583691 -0.00050892640138044953,-0.0038579863030463457     0.9355960488319397    0.00378593266941607, 0.24888116121292114 0.026372680440545082 0.064715079963207245 0.026372680440545082  0.23411211371421814 -0.02030283585190773 0.064715079963207245 -0.02030283585190773  0.18404556810855865, -0.96240955379567339   -0.3298639625013422   -1.0163257384210311   0.59528681923470828   0.51698403959576922     0.093145558372143 2.611505589555918e-05,0.001312911743298173
IIWA_7,1714990817.1392338, -0.4590888713538499   1.1077020877778385 0.038556487275744136  -1.3546650251268131  -1.9627582348246535  -1.8582065624823263 -0.92768536763015363,   0.042416907691595382 -5.5134729065524346e-05    0.050717292721982291   -0.021283566518038005   0.0012133746067176246    0.050492648838409052 -1.6949876828523081e-05, -22.541723644256592   61.178149250030515  -13.858861808776854  -12.691484680175781   -1.418283977508545   1.1724696464538573 -0.17855714797973632,  23.352035796072222   1.6824386595945355    14.15770358614027  -5.5146011008554856   1.1232588471502325   2.1378919006177188 -0.44445441825324339, 0.54330962896347046 -0.02644626796245575  0.21260279417037964, -0.69959497451782227 -0.011069899424910545  0.016690107062458992   0.71425890922546387,0.00041859812336042523   0.022272991016507149 6.1112368712201715e-05,-0.0038566093426197767     0.9355960488319397  0.0037867242936044931,  0.24884012341499329  0.026334986090660095  0.064746350049972534  0.026334986090660095   0.23417839407920837 -0.020216979086399078  0.064746350049972534 -0.020216979086399078   0.18402837216854095,   -0.9604888844325643   -0.32794346458953072    -1.0127547267915205    0.59355170982744454    0.51727522293898431   0.094742058228014514 2.6438350175794767e-05,0.015379876829683781
IIWA_7,1714990817.1442335,-0.45897364308038707   1.1076901634702228 0.039132988399050397  -1.3550005834377983  -1.9627490310053759  -1.8572835374715937 -0.92768602681919554,   0.038542657091789535 -0.00052108008788292689    0.063633879109836283    -0.03044918565383823   0.0013388524564782352    0.077315119500031365 -3.9927463139106641e-05, -19.502375015258789   61.382475208282472   -10.58298677444458  -11.962534255981446 -0.65587930679321294   1.2609138412475587  -0.2012522621154785, 22.987626250108551  1.6864333654795083  13.883974183041769 -5.4989999592551309  1.1389190705155783  2.1252198229809451 -0.4344723006595449,  0.54338663816452026 -0.025959625840187073   0.21260520815849304, -0.69957184791564941 -0.011268460191786289    0.0168165173381567   0.71427547931671143, 0.0033918616827577353    0.03728855773806572 0.00015099806478247046,-0.0038566344883292913    0.93560218811035156  0.0037867492064833641,  0.24879023432731628  0.026292538270354271  0.064781948924064636  0.026292538270354271   0.23423552513122559 -0.020130833610892296  0.064781948924064636 -0.020130833610892296   0.18403078615665436,  -0.95847191400988407   -0.32604514892131675     -1.009229633019082    0.59180303613093344    0.51732982847862985   0.095668041001140125 2.6621325588394029e-05,0.025848280638456345
IIWA_7,1714990817.1492629,-0.45886728304301977   1.1076841114319584 0.040013828910845456  -1.3553781463697252  -1.9627302397434514  -1.8561128584212339 -0.92768614659241544,   0.035088527168123773 -0.00065894560087893252     0.08614072375967137   -0.039461865800147489   0.0018227324421625918      0.1086792576144185 -3.6732899307191127e-05, -15.082481918334961   60.313796676635739  -10.381380920410155  -12.296196346282958  -1.1612145042419433   1.0409714851379395 -0.19491098022460937,  22.872181151460033    1.605411874295305     13.8023290573084  -5.4820761108629146   1.1711187890806478   2.0298241961434145 -0.44536918377201462,   0.5434538722038269 -0.025606304407119751   0.21254245936870575,  -0.6996009349822998 -0.011302500031888485  0.016852093860507011   0.71424561738967896, 0.0053792926482856274   0.043969947844743729 -0.0023820095229893923,-0.0038569821044802666    0.93575489521026611   0.003791893133893609,  0.24876813590526581  0.026235006749629974  0.064805999398231506  0.026235006749629974   0.23427924513816833 -0.020059769973158836  0.064805999398231506 -0.020059769973158836   0.18402257561683655, -0.95601759558316957  -0.32458652202738136   -1.0059349632376424   0.59029640861396615   0.51693636141170174   0.09576093314933587 2.663722842299876e-05,0.030622947961091995
IIWA_7,1714990817.1542335,-0.45865612100189185   1.1076560683542021 0.041119733229426761  -1.3558458307956591  -1.9627336911320472  -1.8546514422059106 -0.92768644624363139,   0.036517303379615874  -0.0016488795909587474      0.1131487517509893   -0.050276869677474911   0.0013201304098976797      0.1454000547044649 -4.1372368083810315e-05, -13.931804153442382   60.203568199157715  -11.473045806884766  -12.209919605255127  -1.2650987434387206   1.3663793716430663 -0.20158601379394531,  22.874559515468395   1.4925152458259809   13.767661784396976  -5.4688710311536468   1.2085005004887026   1.8806347046264902 -0.46892153172602347,  0.54352742433547974 -0.025290314108133316   0.21244208514690399,  -0.6996503472328186 -0.011226310394704342  0.016806967556476593   0.71419942378997803, 0.0072243884205818176   0.047823186963796616 -0.0059090740978717804,-0.0039368304423987865    0.93580847978591919  0.0038104248233139515,  0.24875925481319427  0.026152225211262703  0.064829222857952118  0.026152225211262703   0.23432259261608124 -0.019984256476163864  0.064829222857952118 -0.019984256476163864   0.18400703370571136,  -0.95264898555491584   -0.32317886317567712    -1.0020520013229728     0.5887054546116488    0.51609086539983196   0.095272771134524703 2.6539135333791819e-05,0.033633247017860413
IIWA_7,1714990817.159235,-0.45835375907144554   1.1076332983524482 0.042368908899227321  -1.3563887761096833  -1.9627265965431708  -1.8528907798001053 -0.92768692566376032,   0.041308319921544878  -0.0022299037429222021     0.14048602819281386   -0.061939308302948429   0.0013398878829732387       0.186746539995784 -5.2274699624221046e-05, -14.555536026000977   59.679310806274415  -12.069059619903564  -12.195833606719971  -1.0432442665100097   1.1884897270202637 -0.19023845672607423,  22.820315024392379   1.4201297030698115   13.617326652044698  -5.4785920293584276   1.2319790490643152   1.7264143410417581 -0.48586622422764791,  0.54364252090454102 -0.024865534156560898   0.21234756708145142, -0.69967538118362427 -0.011171675287187099  0.016722965985536575   0.71417778730392456,  0.010350230149924755   0.055261902511119843 -0.0084854187443852425,-0.0040142028592526913    0.93586158752441406  0.0038840430788695812,   0.2487352192401886  0.026042116805911064   0.06486821174621582  0.026042116805911064   0.23438194394111633 -0.019879139959812164   0.06486821174621582 -0.019879139959812164   0.18399471044540405,  -0.94815828135619284   -0.32125995393350593   -0.99672156255969924    0.58667478529894623    0.51499878926009046    0.09477748302977318 2.6446284273617948e-05,0.039244834333658218
