DesiredFlux,0.727,HitTime,1714991106.1812994,DesiredPos,0.54152476787567139  0.3262673020362854  0.2188403308391571
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714991105.6151772,-0.45937823047228576   1.1082712185938799 0.031092112763615388  -1.3476076947756712  -1.9521983111244818  -1.8679114476802499 -0.92185486248057757,-1.5255214701158203e-05 -3.5922802591587043e-06   0.0023950748592809056  -0.0012496647709275969  1.5597989695197111e-06    0.001294737569821527  -1.631620498953412e-05,-0.25675169754028321    63.89622219467163  -2.7168369674682618  -14.962851943969726 -0.95432640075683595   1.7174861373901367 -0.18489842987060548,-0.26322392600787425  -1.6751625226154963 -0.39412057439772297  0.13393232440929337  0.20223144768398976    1.044719881064337 -0.39202166537693511, 0.54542934894561768 -0.02933889627456665  0.21502777934074402,  -0.69786703586578369 -0.0090444404631853104   0.014795315451920033    0.71601736545562744,-1.5325398635468446e-05  0.00099226390011608601 -1.4359598026203457e-05,-0.0012014171807095408     1.0518959760665894  0.0011732899583876133,  0.24890121817588806  0.026916611939668655  0.064858362078666687  0.026916611939668655   0.23337063193321228 -0.020969975739717484  0.064858362078666687 -0.020969975739717484    0.1845623254776001,  -0.98851393488530448   -0.34202417455464484    -1.0513669795733094    0.61306435243135837    0.51651885085579607    0.08749394490425999 2.5047116380960688e-05,0.00068593746982514858
IIWA_7,1714991105.6201744,-0.45937835035458874   1.1082713983627928 0.031104995802405909  -1.3476130278473668  -1.9521984069430578  -1.8679081520622898 -0.92185498236288066, -1.699946387986859e-05  4.3169323073475263e-06   0.0024313814390455697  -0.0012130546845656842 -2.5849038628852386e-06    0.001167614774260672 -1.7848256115010218e-05,-0.26347294616699218   63.897566444396972   -2.715076217651367  -14.961091194152832 -0.95168527603149411   1.7178198890686036 -0.18389717483520507,  27.223329851675992   1.9545976475957481    16.59971911075565  -6.2445314384035129  0.55864977096337798   2.3790695314853068 -0.39199872378284711,  0.54542922973632812 -0.029333937913179398   0.21502833068370819,   -0.6978641152381897 -0.0090452609583735466   0.014796219766139984    0.71602022647857666,-1.6078292901511304e-05  0.00099214853253215551  1.0408246453152969e-05,-0.0012012079823762178     1.0518972873687744  0.0011730467667803168,  0.24890094995498657  0.026915660127997398  0.064858786761760712  0.026915660127997398   0.23337148129940033 -0.020968910306692123  0.064858786761760712 -0.020968910306692123   0.18456193804740906,  -0.98847168786786455   -0.34200452061128317    -1.0513121287880622      0.613044627701953    0.51651333661428822   0.087506108669366256 2.5049700980162015e-05,0.00068583112442865968
IIWA_7,1714991105.6251771,-0.45937841024119874   1.1082713384761829 0.031117399530150597  -1.3476176417343275  -1.9521985987547426  -1.8679050960998527 -0.92185510213610056,-1.5995035504068224e-05  1.0580814501455604e-06    0.002441254261023997  -0.0011549992260810971 -9.7403904806154373e-06   0.0010563303168926994 -1.9069533687913988e-05, -0.2554074478149414   63.898910694122314  -2.7036313438415527  -14.969894943237305 -0.94464227676391599   1.7164848823547363 -0.18556593322753906,  27.223118033503532   1.9554556862903161   16.598225222709591  -6.2446399218395632  0.55838063803560067   2.3801290170027611 -0.39193687065647126,  0.54542917013168335 -0.029328834265470505   0.21502913534641266,   -0.6978609561920166 -0.0090464372187852859   0.014797204174101353    0.71602320671081543,-1.7624948668526486e-05  0.00099783332552760839  4.0934188291430473e-05,-0.0012009895872324705     1.0518984794616699  0.0011727765668183565,  0.24890062212944031  0.026914741843938828  0.064859233796596527  0.026914741843938828   0.23337236046791077 -0.020967826247215271  0.064859233796596527 -0.020967826247215271   0.18456158041954041,  -0.98843054126618313   -0.34198444226696267    -1.0512572795713382    0.61302486928660471    0.51650866162322728   0.087520051961220702 2.5052662167013295e-05,0.00069031899329274893
IIWA_7,1714991105.6301768,-0.45935120601231405   1.1082788885523609 0.031161501491437694  -1.3476486210013012  -1.9521974482336997  -1.8678868201027565 -0.92185510213610056,  0.0010753731269844203  0.00030284951228136295   0.0037170818603030503   -0.002163170059813176  3.8228529330740671e-05   0.0015761041373597564 -1.5255626950331191e-05,-0.44494665908813474    63.78868221664429   -3.157904796600342  -14.660002975463867 -0.98601989746093743   1.6630846138000488 -0.18423092651367187, 27.222830633217075  1.9562291519908519  16.596547976033627 -6.2445798536602624 0.55815916440854463  2.3814313736945802 -0.3918813386235302,  0.54542887210845947 -0.029323702678084373   0.21503013372421265,  -0.69785737991333008 -0.0090479617938399315   0.014798452146351337    0.71602672338485718,-2.4410890546278097e-05   0.0010035745799541473  7.2332411946263164e-05,-0.0012007505865767598     1.0518996715545654  0.0011724495561793447,  0.24890026450157166  0.026913877576589584  0.064859688282012939  0.026913877576589584   0.23337326943874359 -0.020966751500964165  0.064859688282012939 -0.020966751500964165   0.18456120789051056,  -0.98839116280746708   -0.34196454123058828    -1.0512031777869524    0.61300595665336743    0.51650532694047513    0.08753685913998055 2.5056206887086319e-05,0.00069560244446620345
IIWA_7,1714991105.635175, -0.4588982023143004   1.1083273047493927 0.031708581272293854  -1.3478883653178415  -1.9521946679242013   -1.867741032095839 -0.92185564144283938,   0.018980446422133708   0.0021789274910961045    0.024856856722488836   -0.011320308709461747  0.00014179520340086885   0.0070924035865901121 -3.3776771113170208e-05, -9.7888264999389651   61.237296237945557  -9.6154547500610352  -11.674651660919189 -0.97457502365112303   1.7388462448120117  -0.2035885238647461,  27.222773892582691   1.9572328224387692    16.59516704368216  -6.2448591260475634  0.55784830197363766   2.3825500758384432 -0.39173785955229967,  0.54542875289916992 -0.029318815097212791   0.21503128111362457,  -0.69785398244857788 -0.0090497285127639771   0.014799492433667183    0.71602994203567505,-2.3922231775941327e-05  0.00099831679835915565  0.00010405623470433056,-0.0012006047181785107     1.0519007444381714  0.0011721731862053275,  0.24889983236789703   0.02691308781504631  0.064860157668590546   0.02691308781504631   0.23337411880493164 -0.020965714007616043  0.064860157668590546 -0.020965714007616043   0.18456093966960907,  -0.98835490588555786    -0.3419453390876015    -1.0511519748162002    0.61298828114608739    0.51650256952040507   0.087553090308389869 2.5059629926715843e-05,0.000693898880854249
IIWA_7,1714991105.6401742,-0.45843087753527567   1.1082980033983287 0.032321993818535157  -1.3480541671243746  -1.9521869020816947  -1.8674484372460529 -0.92185600098066534,   0.033877348298695958  0.00057108795031939269    0.044421987227643185   -0.015688319228894958   0.0004240698629852127    0.017377716860714258 -4.1402929928766933e-05, -19.245623317718508   61.288377727508546  -14.444311122894288  -11.961653881072998 -0.64795593261718754   1.6350494728088378 -0.18690093994140625,  27.193538799883871   1.9440978182037869   16.573627258375549  -6.2297947233035638  0.56373848955097727   2.3876236988067951 -0.39471908143922191,  0.54542559385299683 -0.029283987358212471   0.21502822637557983,-0.69784009456634521 -0.00905656348913908 0.014818013645708561  0.71604305505752563,-0.00014531360648106784   0.0021918043494224548 -3.9092989027267322e-05,-0.0012004458112642169      1.051902174949646  0.0011717885499820113,  0.24889938533306122  0.026909306645393372  0.064861379563808441  0.026909306645393372   0.23337915539741516 -0.020960127934813499  0.064861379563808441 -0.020960127934813499   0.18455733358860016, -0.98817329278944044  -0.34182146282457637   -1.0508838789666797   0.61285920611986455   0.51650662115676482   0.08766056514364351 2.508078722485152e-05,0.0015183717478066683
IIWA_7,1714991105.6451771,-0.45817357618820814   1.1082916517088484 0.032948708937085923  -1.3482991246303075  -1.9521892031237804  -1.8670297683195831 -0.92185642040510118,    0.03739393252165793  0.00020280278104042491    0.060606194524145202   -0.022348955620431838  0.00024721420695770417    0.030648930547363437 -4.9899321376976773e-05, -22.334709186553955   61.223853740692135  -14.508578491210937  -12.493400325775147  -1.0819807624816895   1.5339227142333984 -0.18456467819213868,  26.726276483073221   1.8922664023487761   16.186494600459703  -6.0932805012239282  0.61037023469410756   2.4874890487322978 -0.40765984914837655,  0.54542165994644165 -0.028812026605010033   0.21504771709442139,  -0.69767642021179199 -0.0092600509524345398   0.015049871057271957    0.71619504690170288,-0.00028414512053132057    0.020631551742553711  0.00075160647975280881,-0.0012001406867057085     1.0519033670425415  0.0011712731793522835,  0.24886614084243774  0.026876665651798248  0.064887791872024536  0.026876665651798248   0.23344294726848602 -0.020884793251752853  0.064887791872024536 -0.020884793251752853   0.18453453481197357,  -0.98643423317845702    -0.3401060368171116    -1.0476668213454943    0.61127144748596152    0.51681708540662896   0.089291506997213332 2.5400424874533201e-05,0.014268538914620876
IIWA_7,1714991105.6501644,-0.45811533291482293    1.108285419901671 0.033750693182531231  -1.3486721935575767  -1.9521823959906317  -1.8663851368508451 -0.92185731924966596,   0.032244876952735015 -8.7030062263807295e-05    0.080564325437128506   -0.032801921587112759    0.000470056691514637    0.050304403187412951  -7.587323969271744e-05, -19.662340732574464   61.147231506347659  -11.407898063659667  -12.150054111480713 -0.70165880203247066   1.1334207000732421 -0.18756844329833985,  26.345080594757746   1.9441238046731151   15.830188757916751  -6.0645572684193061  0.61673325876208862   2.5454224907019167 -0.39672136677686315,  0.54547220468521118 -0.028322439640760422   0.21510349214076996,  -0.69755995273590088 -0.0095044104382395744   0.015206856653094292    0.71630197763442993,  0.00177132582757622  0.036090672016143799 0.0028387564234435558,-0.0011999036651104689     1.0519102811813354  0.0011707248631864786,  0.24881121516227722   0.02683987095952034  0.064926557242870331   0.02683987095952034   0.23350638151168823 -0.020799469202756882  0.064926557242870331 -0.020799469202756882   0.18453389406204224,   -0.9845472325631377   -0.33822429875129956    -1.0441425725975506    0.60960537521381752    0.51702228836258968   0.090687305312364686 2.5674313341994548e-05,0.025045836344361305
IIWA_7,1714991105.6552067, -0.4580914842995914   1.1082788885523609 0.034905852656099225   -1.349123100024328  -1.9521823959906317  -1.8654920124936085 -0.92185791844301479,   0.026749846171449029 -0.00033087802221333246     0.11065783929242254   -0.044277795939741307  0.00037604535321170965    0.075968496839391997  -8.466632570725257e-05, -16.020768226623535   60.311108177185062  -10.567140026092529  -11.864812641143798 -0.82491128921508783   1.2235336532592773 -0.19924975204467774,  26.173817518996316   1.9188124486825127   15.626010674224414  -6.0278794938538516  0.63941049161885677   2.5386148567940734 -0.40442853253231853,  0.54550832509994507 -0.027929490432143211   0.21511417627334595,  -0.69746267795562744 -0.0096229612827301025   0.015298293903470039    0.71639317274093628,0.0028374688699841499  0.044594269245862961  0.002709295367822051,-0.0011990043567493558     1.0519989728927612  0.0011717337183654308,  0.24877814948558807  0.026788568124175072   0.06495705246925354  0.026788568124175072   0.23356184363365173 -0.020723776891827583   0.06495705246925354 -0.020723776891827583   0.18452270328998566,  -0.98219813949640411   -0.33666837025236873    -1.0406614078277698    0.60811666432414313    0.51686600384392989   0.091503686878269264 2.5837584516352763e-05,0.03093167208135128
IIWA_7,1714991105.6601748,-0.45800124303236472   1.1082588149752182 0.036354625597237872  -1.3496571171065637  -1.9521817249115343  -1.8642603337495591 -0.92185833786745064,   0.025009527626226269  -0.0010676455034799395     0.14647718907948393   -0.056782920041219466  0.00032767944646548523     0.11004194723348926 -8.4510037999765283e-05, -14.988384437561034   59.699474552154541  -11.207172584533691  -12.026801624298095 -0.92087215423583979   1.2081810760498046 -0.20292102050781249,  26.126907384789654   1.8594240010991114   15.462430700902464  -5.9935760332795294   0.6641813470782223     2.47948708458709 -0.42533656951212007,  0.54554671049118042 -0.027565062046051025   0.21509949862957001, -0.69735920429229736 -0.009636598639190197  0.015311157330870628   0.71649348735809326,0.0037787253968417645   0.05025951936841011 0.0015997735317796469,-0.0011940378462895751     1.0520874261856079  0.0011620861478149891,  0.24875785410404205  0.026710029691457748  0.064988031983375549  0.026710029691457748   0.23361927270889282 -0.020642003044486046  0.064988031983375549 -0.020642003044486046   0.18450263142585754,  -0.97883726292558038   -0.33514701968151428    -1.0364811860457124    0.60653676202360174    0.51624697453878099   0.091821463358066069 2.5908425627108045e-05,0.034839998930692673
