DesiredFlux,0.777,HitTime,1714991317.6862652,DesiredPos, 0.5479888916015625 0.31501603126525879  0.2190222442150116
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714991317.1389005,-0.46165217719414253   1.1318663597672594 0.018341676453848547  -1.2864816164499486  -1.9497487355851884  -1.8882286038459009 -0.91007514841200654, -0.0012287662363098617 -7.1653247124442066e-07 -4.0539229536118505e-05 -1.2759595748567043e-05 -6.7141390462139848e-05  1.3561691479561679e-06  9.9871198232059256e-06,-0.26078444671630857   65.076473453521729  -1.8787200546264649   -15.96912046432495 -0.86100666046142582   1.8449792785644532 -0.29436898040771486,-0.26211495525935419 -0.73073804094665185 0.047082649570107382   -1.697539889699236 -0.38055464451783722  0.19572212074133549  0.52565224066243921,  0.55609697103500366 -0.042033631354570389   0.21387982368469238, -0.70124709606170654 -0.015768030658364296  0.009353363886475563   0.71268248558044434, 5.4603833632427268e-06  0.00031873045372776687 -1.8934564650407992e-05,-0.0049298135563731194     1.1203913688659668  0.0031261024996638298,  0.24602308869361877   0.02965700626373291  0.066082768142223358   0.02965700626373291   0.23079097270965576 -0.022497666999697685  0.066082768142223358 -0.022497666999697685   0.18804101645946503,    -1.113574496194758   -0.37633015038895934    -1.1509623283032511     0.7100989041317618    0.54386016729246478   0.073484650561006504 2.2866059268267236e-05,0.00022146108676679432
IIWA_7,1714991317.1438999,-0.46168255726776736   1.1318664796495623 0.018341856222761504  -1.2864817962188617  -1.9497489272223403  -1.8882287236191206 -0.91007514841200654, -0.0021982159340408888  4.2220661419464929e-06 -2.5240627110612092e-05 -1.7398433122409911e-05 -6.1378598446713904e-05 -3.7059934730999868e-06  7.9896958585647405e-06,0.029573493957519532   65.111423946380611  -1.7809984397888183  -15.967359714508056 -0.86012628555297854   1.8489842987060547 -0.29537023544311525,-0.24085907102943552 -0.73182568187461727 0.058793527469573337   -1.702726009909608 -0.38172751788788239  0.19135272165552841   0.5253544027087188,  0.55609613656997681 -0.042042728513479233   0.21387964487075806, -0.70124739408493042 -0.015762215480208397 0.0093478132039308548   0.71268248558044434,-2.9239115974633023e-05 -0.00010892772115767002 -2.2251857444643974e-05,-0.0049289395101368427     1.1203914880752563  0.0031261015683412552,  0.24602410197257996  0.029656769707798958  0.066082365810871124  0.029656769707798958   0.23079000413417816 -0.022498760372400284  0.066082365810871124 -0.022498760372400284   0.18804097175598145,   -1.1135749602768641   -0.37636378765970591    -1.1509958739832626    0.71012924475866157    0.54384412299679497   0.073450767294147568 2.2859931725349725e-05,7.9723205999471247e-05
IIWA_7,1714991317.1488986,-0.46170784392521946   1.1318665995318653 0.018342695071633244  -1.2864818561054716   -1.949749214852601  -1.8882288435014238 -0.91007514841200654, -0.0027700390453169518  8.1729450324992234e-06  1.3361453181102111e-05 -1.6314210893660391e-05 -6.0608089186179383e-05 -7.7600869063038038e-06  6.3917566868517926e-06, 0.23389945220947267   65.138308940887455  -1.7316974449157714  -15.973522338867188 -0.86364778518676755   1.8506530570983886 -0.29336772537231443, 29.480181078052105  3.1435297005580343  17.827469955386341 -7.5596810721234879 0.49503146461089065  2.0938545352834699 0.52500229337053339,  0.55609500408172607 -0.042057938873767853   0.21387961506843567,  -0.7012476921081543 -0.015752678737044334 0.0093381777405738831   0.71268248558044434,-6.9157416874077171e-05 -0.00069562304997816682 -1.8725404515862465e-05,-0.0049289325252175331     1.1203898191452026  0.0031260971445590258,   0.2460256814956665  0.029656361788511276  0.066081754863262177  0.029656361788511276   0.23078839480876923 -0.022500555962324142  0.066081754863262177 -0.022500555962324142   0.18804098665714264,    -1.113575264349187   -0.37641964314527598    -1.1510507186907049    0.71018059143224121    0.54381688629412395   0.073393693045709085 2.2849640402000659e-05,0.00048496716772206128
IIWA_7,1714991317.1539304,-0.46169178515077186   1.1318748685746121 0.018373554456303912   -1.286506124145139  -1.9497472016153088  -1.8882079310754094 -0.91007514841200654, -0.0015736802583494569  0.00033730006589623027   0.0012450645493716011 -0.00098377295540990652  3.2043020339409042e-05  0.00083028897105215686  5.1134053494814347e-06,0.073933734893798828   65.061686706542972  -2.1894923973083498   -15.70852949142456 -0.91030765533447267   1.7688838958740234 -0.29537023544311525, 29.496900548346808   3.144579334308276  17.834398942995755 -7.5622113488710507 0.49377438404692614  2.0910669383471987 0.52464090654032713,  0.55609363317489624 -0.042074743658304214   0.21387955546379089, -0.70124781131744385 -0.015742043033242226 0.0093275448307394981   0.71268272399902344, -0.0001104515977203846  -0.0012286667479202151 -1.7390562788932584e-05,-0.0049280649982392788     1.1203874349594116   0.003125977236777544,  0.24602749943733215   0.02965589240193367  0.066081061959266663   0.02965589240193367   0.23078662157058716 -0.022502552717924118  0.066081061959266663 -0.022502552717924118   0.18804095685482025,   -1.1135748406365664   -0.37648168431214657     -1.151111276925576    0.71023726979912993    0.54378656123343916   0.073330969528662138 2.2838379187817281e-05,0.00085560412844642997
IIWA_7,1714991317.1589057,-0.46112888603282487   1.1319421600711719 0.018878749498521478  -1.2866934974576454  -1.9497401068518996  -1.8880646596151072 -0.91007430945405177,  0.021257020511200077    0.00296149991510971   0.021203853328199927 -0.0082819508645839389 0.00030942495263992738  0.0063950895889313712 3.7649042470547815e-05, -10.822554538726807   61.844897113800052  -8.9745418167114259  -12.944152278900146 -0.92791515350341791   1.8626681175231934 -0.29470273208618164, 29.477203471232286  3.1305619185320923  17.818607563600963 -7.5505268832768042  0.4976916014071866  2.0903954713681401 0.52164128902312801,  0.55609118938446045 -0.042065247893333435   0.21387392282485962, -0.70123898983001709 -0.015733199194073677 0.0093294605612754822   0.71269160509109497,-0.00015796974184922874 -0.00029639300191774964  -0.0002370515139773488,-0.0049268323928117752     1.1203875541687012  0.0031256501097232103,  0.24602946639060974  0.029651915654540062  0.066081330180168152  0.029651915654540062   0.23078897595405579 -0.022500528022646904  0.066081330180168152 -0.022500528022646904   0.18803773820400238,   -1.1134028416908137   -0.37644737320885469    -1.1509535021989592    0.71018502907627123    0.54374521812849963   0.073334623168719304 2.2840505486954044e-05,0.00028509236290119588
IIWA_7,1714991317.1638994,-0.46053482798807432   1.1319241237295987 0.019401381579880327  -1.2868367689179478  -1.9497296566930031  -1.8878512205738038 -0.91007371026070294,  0.040767938198981862  0.0016477462691614603   0.037868365916913893  -0.012356419103765679 0.00066554631796981144   0.013653633323278361 5.4086967929516862e-05,  -21.34265288925171   62.273712776184084   -14.10536678314209  -12.746948299407959  -0.6849316787719727   1.6076818351745605 -0.26833634948730467, 28.933126401657997   3.069629312824341  17.416961729478952 -7.4238235252707989 0.53701282418015439  2.1850496071553347 0.51436303638282133,  0.55611330270767212 -0.041551191359758377   0.21388104557991028, -0.70108610391616821 -0.015968209132552147 0.0095783080905675888    0.7128334641456604,0.00074835499981418252   0.020325364544987679 9.7559350251685828e-05,-0.0049268207512795925     1.1203849315643311  0.0031256428919732571,  0.24598687887191772  0.029622018337249756  0.066111981868743896  0.029622018337249756   0.23086096346378326 -0.022423917427659035  0.066111981868743896 -0.022423917427659035   0.18801677227020264,    -1.111585185189945   -0.37451492397178043    -1.1475696305689453     0.7083741102862362    0.54409782727482536   0.075135715489338395 2.3195246612317533e-05,0.014104006811976433
IIWA_7,1714991317.1688991,-0.46021502901848677   1.1319192101914219 0.019937016473249615  -1.2870935309582765  -1.9497371347307162  -1.8875871482219031 -0.91007299118505114,  0.045406309342687856  0.0011216554882581204   0.051720088468302651  -0.020155616896158576 0.00023331554585344502   0.021485800734652082 7.2032600415634126e-05,  -24.67908070755005   61.487326686859134  -14.608060855865478  -12.844669914245605 -0.95168527603149411   1.6647533721923828 -0.25431877899169919, 28.481307857866444  3.1108196388280036  17.056875824869788 -7.3827321991662114 0.54355193190802298  2.2621797016426619 0.52611674578718182,  0.55616950988769531 -0.041023958474397659   0.21393029391765594, -0.70096796751022339 -0.016244526952505112 0.0097810765728354454   0.71294063329696655, 0.002822094364091754  0.037351924926042557 0.0020531471818685532,-0.0049253539182245731     1.1203885078430176  0.0031252771150320768,  0.24592649936676025  0.029593693092465401  0.066150262951850891  0.029593693092465401   0.23093196749687195 -0.022341459989547729  0.066150262951850891 -0.022341459989547729   0.18801406025886536,   -1.1098375615583578   -0.37247029288778322     -1.144114179062683    0.70651119643283522      0.544434346107181   0.076824823133314624 2.3524525438745059e-05,0.026011444628238678
IIWA_7,1714991317.1739235,-0.46015432886693014   1.1319042299213691   0.0206518155229885  -1.2874721725036811  -1.9497257258624618  -1.8871665018373907 -0.91007269164291826,  0.038753053536415297 0.00029811358849182723   0.069968032764197524  -0.031270155333109576 0.00064300716685666945   0.034014495968219524 6.9607765647528491e-05,  -21.11144193649292   61.664767650604247  -11.683455410003662   -12.19935510635376 -0.62330543518066406   1.3703843917846679  -0.2770138931274414, 28.290076256378608  3.0798253419752868  16.857470645336686  -7.321535223035502 0.57065190170039526  2.2943317420888723 0.51502696248945479,   0.5561872124671936 -0.040628585964441299   0.21394602954387665, -0.70084607601165771  -0.01638089120388031 0.0099218329414725304   0.71305543184280396, 0.002939615398645401  0.045698978006839752 0.0022797586861997843,-0.0049248910509049892     1.1204955577850342   0.003129349322989583,  0.24589554965496063  0.029553201049566269  0.066177025437355042  0.029553201049566269   0.23099225759506226 -0.022275501862168312  0.066177025437355042 -0.022275501862168312   0.18799695372581482,   -1.1077397123067101   -0.37094457806752246    -1.1409730586668942    0.70497858911000577    0.54442344559024747   0.077948597033028477 2.3749409550077871e-05,0.03178849071264267
IIWA_7,1714991317.1789012,-0.46014300375266315   1.1319011140723219 0.021709663073280767  -1.2879449502367044  -1.9497290814324817  -1.8865408654414006 -0.91007233210509231,  0.031455447399811889 0.00011385690890468585   0.098288328223048713  -0.043927233587421427 0.00038018293269144281   0.052237052614175758 7.0067725556253552e-05, -16.039587722778322   60.914676303863523  -10.917529239654542  -12.208158855438231 -0.86276741027832027   1.3436842575073242 -0.28001765823364255, 28.265876513337027  3.0434289057617976  16.697481619789698 -7.2769929741448518 0.58790996528509765  2.2849469618614391 0.49409610905948365,  0.55620038509368896 -0.040299516171216965   0.21395647525787354, -0.70069694519042969 -0.016408147290349007 0.0099648907780647278   0.71320074796676636,0.0028565123211592436  0.049726173281669617 0.0022567783016711473,-0.0049473983235657215     1.1206011772155762  0.0031307570170611143,  0.24588000774383545  0.029488023370504379  0.066203996539115906  0.029488023370504379   0.23105117678642273 -0.022210359573364258  0.066203996539115906 -0.022210359573364258   0.18797208368778229,   -1.1047329436113529    -0.3696334738867435    -1.1373980241522474    0.70353934976274957    0.54393888597648044   0.078541626369776907 2.3881784549928398e-05,0.034565359354019165
IIWA_7,1714991317.1839018,-0.46004521251834163    1.131881999226354 0.023084852933155337  -1.2885486554798122  -1.9497293690627424  -1.8855966882400477 -0.91007233210509231,   0.029076007292710329 -0.00067350831158977445     0.13363825697342177   -0.059289996594250008  0.00029264113572434599    0.079556730145459831  5.6054180445002841e-05, -14.712813243865966   60.219699195861814  -11.076877098083497  -12.309401969909668 -0.91206840515136722   1.0132700958251952 -0.27634638977050779, 28.188975947940875  3.0135300046267752    16.4271109026907 -7.2342328937818108 0.60450149298194322  2.2647815360325936 0.47234191643166173, 0.55623483657836914 -0.03986676037311554   0.2139727920293808, -0.70049285888671875 -0.016444943845272064 0.0099856443703174591   0.71340006589889526,0.0036295275203883648  0.057100273668766022 0.0024884112644940615,-0.0049945199862122536     1.1206907033920288  0.0031087927054613829,  0.24585345387458801  0.029393421486020088  0.066245175898075104  0.029393421486020088   0.23113115131855011 -0.022118529304862022  0.066245175898075104 -0.022118529304862022   0.18794305622577667,   -1.1004268353831392   -0.36785256252347409    -1.1323147915822673     0.7016539169271141    0.54318338265968436   0.079226030972101569 2.4041630020121829e-05,0.039698433130979538
