DesiredFlux,0.819,HitTime,1714991536.1262927,DesiredPos,0.54468673467636108  0.3360666036605835   0.219869464635849
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714991535.575752, -0.4445512874850448   1.1135333718896765 0.029029747507322481  -1.3323460839741228   -1.948664498656606  -1.8735653054382377 -0.91779280946850783,-8.8993731800443031e-05 -1.0399958476884683e-05   0.0012052521670209366  -0.0024557794232181905  3.3928356890124303e-07  3.6103674223542146e-05   1.209901517296445e-07,-0.38445542144775391   64.092482654571526    -2.72387996673584  -15.165338172912598 -0.81874866485595699   1.7758926811218261 -0.22695114135742187,-0.024877823912448943   -1.4278736396085909   0.15118392537015468  -0.38130874633640605   0.36100174279849206    1.4999373892076533  -0.08882482176006759,  0.54917991161346436 -0.023737655952572823   0.21575723588466644, -0.69761383533477783 -0.015833722427487373   0.01815284788608551   0.71606892347335815,-0.00056371360551565886  0.00074454507557675242 -9.0806614025495946e-05,-0.0017573920777067542     1.1853384971618652  0.0016038630856201053,  0.24727776646614075  0.027731120586395264  0.065633490681648254  0.027731120586395264   0.23357975482940674 -0.020303374156355858  0.065633490681648254 -0.020303374156355858   0.18554504215717316,   -1.0165549617573433   -0.32060627864982649    -1.0444560880928933    0.61052031610397961     0.5363037368013579    0.11432363950625302 3.0317427679449338e-05,0.00064829335315153003
IIWA_7,1714991535.5807974, -0.4445511677118249   1.1135332521164565 0.029034301507673246  -1.3323592067775192    -1.94866440283803  -1.8735653054382377 -0.91779292935081092,-6.6404056644448609e-05 -1.3110895581854451e-05   0.0011463617476473462  -0.0024895356744298125  4.1041698936220021e-06  2.8882939378833718e-05 -4.6985000019992061e-06,-0.37504567337036132   64.045433914184571  -2.7344444656372069  -15.160936298370361 -0.82315053939819338   1.7742239227294923 -0.22695114135742187,   30.312273117574239    2.4149764010185946    18.765048504433182   -7.0477512315750417    0.9078380752403401    3.0950762513923769 -0.089515877294728333,  0.54917651414871216 -0.023734692484140396   0.21575617790222168, -0.69761049747467041 -0.015830738469958305  0.018156919628381729   0.71607214212417603,-0.00058606750098988414  0.00071420235326513648 -0.00011530726624187082,-0.0017557096434757113     1.1853395700454712  0.0016036912566050887, 0.24727889895439148 0.027730444446206093 0.065633058547973633 0.027730444446206093  0.23358041048049927 -0.02030310221016407 0.065633058547973633 -0.02030310221016407  0.18554358184337616,   -1.0165244534503515   -0.32060065516059666    -1.0444310078643326    0.61050316498167945    0.53630025006601301    0.11433660708881632 3.0319965205194421e-05,0.00064329913584515452
IIWA_7,1714991535.5857987,-0.44455110771613188   1.1135329524652406 0.029038675739111057  -1.3323718500517037  -1.9486646904682907  -1.8735653054382377 -0.91779292935081092,-5.0723417594569766e-05 -2.2474765099100081e-05   0.0010920586556303299  -0.0024973595069233421 -8.2218745139106529e-06  2.3106351503066974e-05  -3.758800001599365e-06,-0.35622617721557615   64.010483421325688  -2.7106743431091309  -15.165338172912598 -0.82050941467285154   1.7735564193725586 -0.22661738967895509,    30.31267914621564    2.4133995735446967    18.765860151740394   -7.0465829271642626    0.9081696007623421    3.0954092328409031 -0.090178659220375448, 0.54917311668395996 -0.02373177744448185  0.21575506031513214, -0.69760721921920776 -0.015827756375074387  0.018161024898290634   0.71607530117034912,-0.00060457823565229774   0.0006879564025439322 -0.00013693315850105137,-0.0017538735410198569     1.1853405237197876  0.0016035424778237939,  0.24728004634380341  0.027729777619242668  0.065632611513137817  0.027729777619242668    0.2335810661315918 -0.020302837714552879  0.065632611513137817 -0.020302837714552879   0.18554213643074036,   -1.0164943467811938   -0.32059514203641726    -1.0444063159695816    0.61048609721670033    0.53629689679279835    0.11434943668842124 3.0322469868337976e-05,0.00063983607105910778
IIWA_7,1714991535.5907767,-0.44452354405850436   1.1135409818524644 0.029075167737610225  -1.3324115178949432  -1.9486630606798352  -1.8735466100167057 -0.91779280946850783, 0.0010619675710249932  0.0003031956768716621  0.0023333268644709988 -0.0035846013351186431 5.8614038609914763e-05 0.00076630194248201349 1.7882521221034296e-06,-0.51215914535522467   63.874714199066162  -3.1561440467834472  -14.826393833160401 -0.84868141174316403   1.7141486206054688 -0.22594988632202148,  30.312466906547339   2.4121524309784399   18.766059659852999  -7.0455267632670902  0.90837042962071168   3.0959199980459351 -0.09075936999347195,  0.54916977882385254 -0.023728426545858383   0.21575403213500977, -0.69760382175445557 -0.015825128182768822  0.018165264278650284   0.71607857942581177,-0.00061686575645580888  0.00068439432652667165 -0.00015012414951343089,-0.0017519983230158687     1.1853415966033936  0.0016034572618082166,  0.24728111922740936  0.027729112654924393  0.065632201731204987  0.027729112654924393   0.23358176648616791 -0.020302513614296913  0.065632201731204987 -0.020302513614296913   0.18554069101810455,   -1.0164639365477512   -0.32058815649360639    -1.0443797347754469    0.61046791980512438    0.53629416317146905    0.11436394829900109 3.0325325361957312e-05,0.00064500264124944806
IIWA_7,1714991535.5957985,-0.44407994790332511   1.1135953903102338 0.029622307514159424  -1.3326607298590938  -1.9486565411769474  -1.8733745765120782 -0.91779292935081092,   0.018593420263989951   0.0024188948522726795    0.023752252553544739   -0.012836159634119701  0.00030767134639871541   0.0074943817390887239 -3.3646904257001778e-06, -9.2067663688659671   60.950971046447755  -9.2641851615905768  -11.512662677764892 -0.82403091430664066   1.7261636810302734  -0.2549862823486328,   30.312383732371821    2.4112584775427108    18.766251965529559   -7.0447643727080136   0.90852802300292113    3.0963764700950893 -0.091281050683886353,  0.54916656017303467 -0.023725245147943497   0.21575310826301575, -0.69760066270828247 -0.015822658315300941  0.018169453367590904   0.71608155965805054,-0.00062375300331041217  0.00067477824632078409 -0.00015759386587888002,-0.0017501192633062601     1.1853426694869995  0.0016033620340749621,  0.24728213250637054  0.027728494256734848   0.06563180685043335  0.027728494256734848   0.23358243703842163 -0.020302204415202141   0.06563180685043335 -0.020302204415202141   0.18553933501243591,   -1.0164353788919556   -0.32058147275293436    -1.0443545642804253    0.61045042468244048    0.53629188710768716    0.11437812678671833 3.0328088485020999e-05,0.00064417743124067783
IIWA_7,1714991535.6007967,-0.44360920762403733    1.113560456236258 0.030275987096988876  -1.3328491817850778  -1.9486496382252227  -1.8730323070828696 -0.91779262969959496,  0.033704347382703344 0.00053775292278566609   0.045148985356013874  -0.017807004746657584 0.00052225514610594701   0.019686282559613529  9.294296297497269e-06, -18.632645442962648   61.120346511840822  -14.120333156585692   -11.94140525817871 -0.58368856430053706    1.597001781463623 -0.24063496017456054,   29.81982520263292   2.3335658028719988    18.36605425423085  -6.8922526001727125  0.96208924032068377   3.1900177747003244 -0.10955236938939143,  0.54915273189544678 -0.023222638294100761   0.21575680375099182,-0.69742542505264282 -0.01601012609899044 0.018416250124573708  0.71624177694320679,-0.00091113185044378042    0.020267447456717491  9.9877652246505022e-05,-0.0017482549883425236     1.1853437423706055  0.0016033026622608304,  0.24725314974784851  0.027687469497323036  0.065657168626785278  0.027687469497323036    0.2336510568857193 -0.020222265273332596  0.065657168626785278 -0.020222265273332596   0.18550992012023926,   -1.0143344796817999   -0.31882724903198323    -1.0408013247769077    0.60877306540518816    0.53651914238095344     0.1160153348225279 3.0666364558840087e-05,0.01401656586676836
IIWA_7,1714991535.6057987, -0.4433219457368639   1.1135462549284669 0.030973109452063566  -1.3331481282152611  -1.9486527063395149  -1.8724590415818305 -0.91779262969959496,    0.03845395339309983 -0.00013784997341394228    0.064004082487798694   -0.026203461004655849  0.00029507954519748607    0.038679646089254366  7.4354370379978154e-06, -22.864343578338623    60.86762756347656  -14.954928569793701  -12.517170448303222 -0.93407777786254886   1.3460205192565917 -0.21493608093261718,   29.423162693946502     2.388049776614185    17.990824477958395   -6.8648550039510043   0.96835262775849806    3.2429555409852395 -0.098997095736463689,  0.54920214414596558 -0.022712850943207741   0.21581043303012848, -0.69730567932128906 -0.016249068081378937  0.018568966537714005   0.71634900569915771,0.0012246962869539857  0.036607515066862106 0.0022325096651911736,-0.0017464105039834976     1.1853446960449219  0.0016032041748985648,   0.2471974790096283  0.027643440291285515  0.065696559846401215  0.027643440291285515   0.23371748626232147 -0.020132478326559067  0.065696559846401215 -0.020132478326559067   0.18550869822502136,   -1.0121444469550767     -0.316929406135813    -1.0369896187070182    0.60707104033941306    0.53663827594085944    0.11737088865615419 3.0948106299888423e-05,0.025350065901875496
IIWA_7,1714991535.6107945,-0.44324362877725304   1.1135297766205003 0.031810207540397435  -1.3335947803328774  -1.9486444610550626  -1.8715826352971663 -0.91779394796859559,   0.033895841098914178 -0.00076941229739447854    0.084687189523593734   -0.038828853508376573  0.00056587501425050374    0.065999968257972802 -4.6782410394700991e-05, -20.938033721923826   60.875693061828613  -12.259220600128174  -11.543475799560547 -0.52118194580078125    1.202841049194336 -0.22327987289428711,  29.220522159827027   2.3419668607180832   17.766763157269772  -6.8239992217853054  0.99836643221691712   3.2082569951538873 -0.11010172829395462,  0.54924708604812622 -0.022270528599619865   0.21580180525779724,  -0.6972230076789856 -0.016349175944924355  0.018652115017175674   0.71642506122589111,0.0027479871641844511  0.046984471380710602 0.0014537235256284475,-0.0017447753343731165     1.1854524612426758   0.001603213488124311,  0.24716463685035706  0.027577545493841171  0.065729193389415741  0.027577545493841171   0.23377886414527893 -0.020046191290020943  0.065729193389415741 -0.020046191290020943   0.18549537658691406,   -1.0092011723763505   -0.31522610545309249     -1.032911607338427    0.60538665934384284    0.53632115556201398    0.11805570786282971 3.1092276309152567e-05,0.032525829970836639
IIWA_7,1714991535.6157494,-0.44323919465920525    1.113509043963399 0.032984421864240228  -1.3340959006857902  -1.9486434065271285  -1.8704027283638018 -0.91779454716194442,      0.027294037601043  -0.0014448361219692265      0.1147183245725867   -0.051107896923214526  0.00049488112876382986    0.099996251940956238 -6.1393662268839405e-05, -16.929481040954588   59.975045745849613  -10.812764625549317  -11.979261379241944  -0.7395149230957031  0.87576440429687497 -0.23429367828369141,  29.223483583673747   2.3422443555964043   17.768617073258167   -6.824684502030423  0.99840840215575632   3.2083328479816786 -0.11010172829395462,  0.54924708604812622 -0.022270528599619865   0.21580180525779724,  -0.6972230076789856 -0.016349175944924355  0.018652115017175674   0.71642506122589111,0.0027479871641844511  0.046984471380710602 0.0014537235256284475,-0.001735635451041162    1.1855566501617432 0.0015983171761035919,  0.24716463685035706  0.027577545493841171  0.065729193389415741  0.027577545493841171   0.23377886414527893 -0.020046191290020943  0.065729193389415741 -0.020046191290020943   0.18549537658691406,   -1.0092011723763505   -0.31522610545309249     -1.032911607338427    0.60538665934384284    0.53632115556201398    0.11805570786282971 3.1092276309152567e-05,0.032525829970836639
IIWA_7,1714991535.620795,-0.44317867427656155   1.1134562534258463 0.034495332999156088  -1.3347220763885188  -1.9486432147154438   -1.868792468070041 -0.91779454716194442,   0.024256045386582516  -0.0032674903996831334     0.15221110505470375   -0.065933345647715788  0.00040357737040137116     0.14440741330320017 -4.9114929815071527e-05,  -15.16448115158081   60.358156917572025  -11.305774574279784   -12.17998685836792 -0.80026079177856446   1.1888234786987304 -0.24397247695922852,  29.112959409657861   2.1753100142371098   17.395220434648788  -6.7842328560960379    1.058262961382249   2.9558970996331033 -0.15941192058149145,  0.54939424991607666 -0.021387392655014992   0.21569174528121948, -0.69708967208862305 -0.016263103112578392  0.018559101969003677   0.71655917167663574, 0.0071670850738883018   0.062231432646512985 -0.0029636567924171686,-0.0017551227938383818     1.1856527328491211  0.0015777305234223604,  0.24712437391281128  0.027350921183824539  0.065806120634078979  0.027350921183824539   0.23391357064247131 -0.019836874678730965  0.065806120634078979 -0.019836874678730965   0.18545190989971161, -0.99975629191195736  -0.31154810813571743   -1.0219097421542145   0.60144122564498304   0.53422074691678034   0.11779820043766875 3.105630952404681e-05,0.04331163689494133
