DesiredFlux,0.837,HitTime,1714991616.7312758,DesiredPos,0.54935699701309204 0.32060432434082031 0.21895268559455872
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714991616.1916909,-0.45556958388689156   1.1169505537774853 0.018793002345035621  -1.3056543988404767  -1.9515674615172827  -1.8742586527552234 -0.91764792019707198, 0.00050458016334824468  1.0267856208020894e-06 -1.8133517578757831e-05 -1.8717952403149503e-05  -5.953421754807318e-05  -9.100720333433685e-06  2.3588939614673413e-05,-0.28363669204711917   64.557593059539798  -2.1305072784423826  -16.004335460662841 -0.76416542053222658   1.8456467819213866  -0.2900302085876465, -0.1374967455978785 0.034926815794771943  0.40242737685869506  -1.6435568020873983 0.045016706533930584  0.39779267565814924  0.71248487505517499,  0.55454325675964355 -0.036699086427688599   0.21587592363357544, -0.70471006631851196 -0.016739996150135994 0.0078596547245979309   0.70925432443618774, 1.7253409168915823e-05  0.00057383067905902863 -2.2159667423693463e-05, -0.00203938246704638    1.2081953287124634 0.0012098031584173441,  0.24604007601737976  0.028969487175345421  0.065961211919784546  0.028969487175345421   0.23158518970012665 -0.021720927208662033  0.065961211919784546 -0.021720927208662033   0.18800465762615204,   -1.0803105999670493    -0.3566291605663352    -1.1202870113153907    0.66749623398187907    0.53451738335663634   0.066426238785055602 2.0759183705365558e-05,0.00039800710510462523
IIWA_7,1714991616.1966891,-0.45557006330702049   1.1169504938908754 0.018793122227338619  -1.3056543988404767  -1.9515677491475434  -1.8742586527552234 -0.91764786031046208, 0.00038448732552142295 -1.5740358990907892e-06 -9.7115219430927914e-06 -1.4974361922519604e-05 -5.9132584467266803e-05 -7.2805762667469487e-06  2.1266616087471193e-05,-0.25675169754028321   64.519954067230231  -2.1243446540832518  -16.002574710845948 -0.76240467071533202   1.8456467819213866 -0.28969645690917967,-0.13293411510922845 0.031742964051403123  0.40580999181356897  -1.6433074594908275 0.045611708311740884  0.39583118531446615  0.71238401549458485,  0.55454307794570923 -0.036700524389743805   0.21587586402893066, -0.70471012592315674 -0.016739040613174438 0.0078589357435703278   0.70925426483154297, 6.3543116084474605e-06  0.00040153873851522803 -2.0420691726030782e-05,-0.0020391219295561314     1.2081952095031738  0.0012097143335267901,  0.24604025483131409  0.028969474136829376   0.06596112996339798  0.028969474136829376   0.23158502578735352 -0.021721117198467255   0.06596112996339798 -0.021721117198467255   0.18800464272499084,   -1.0803115759019377   -0.35663446532208098    -1.1202932166014534    0.66750079373179005    0.53451520314062861   0.066421256071258483 2.0758251118024873e-05,0.0002785673423204571
IIWA_7,1714991616.2017145,-0.45556940411797858   1.1169505537774853 0.018793122227338619  -1.3056543988404767   -1.951568228414956  -1.8742586527552234  -0.9176476805415491, 0.00033395742209342658  1.1362356764598293e-06 -7.7692175544742334e-06 -1.1979489538015683e-05 -6.6476764079623714e-05  -5.824461013397559e-06  2.4204049389092338e-05, -0.2164242057800293   64.506511569976809   -2.098813781738281  -15.999053211212159 -0.76944766998291014   1.8459805335998536  -0.2900302085876465, 31.790946235214651   3.704661070167568  19.973435527622676 -8.4802880912096779 0.78689671411592188   1.680928442814932 0.71231948595109029,  0.55454295873641968 -0.036701660603284836   0.21587593853473663, -0.70471024513244629 -0.016738342121243477 0.0078583480790257454   0.70925420522689819,  5.168236612007604e-07  0.00027577532455325127 -1.3346842024475336e-05,-0.0020391214638948441     1.2081949710845947  0.0012097141006961465,  0.24604034423828125   0.02896946482360363  0.065961085259914398   0.02896946482360363   0.23158492147922516 -0.021721247583627701  0.065961085259914398 -0.021721247583627701   0.18800465762615204,   -1.0803122393427955   -0.35663843319966304     -1.120297573629081    0.66750431722528702    0.53451347884170275   0.066417300452314976 2.0757487284583931e-05,0.0001912722218548879
IIWA_7,1714991616.2067273,-0.45554076184687337   1.1169582237359663 0.018824520918748151  -1.3056810038760125  -1.9515663109962398  -1.8742443915608222 -0.91764762054585602, 0.0014128567818834212 0.00030770732778135637  0.0012497322823377104 -0.0010737850130605679 2.3515337386152566e-05  0.0005657882072363713 2.1763067234483441e-05,-0.35219342803955078   64.397627342224126  -2.5055469894409179  -15.660989246368407 -0.80906454086303714   1.7945827751159669 -0.28936270523071289, 31.792804030557033  3.7049258230684305  19.974197099936003 -8.4806571871944492  0.7868058773376263  1.6807153643428001 0.71230386865722806,  0.5545428991317749 -0.03670189157128334  0.21587595343589783, -0.70471030473709106 -0.016738254576921463 0.0078582875430583954   0.70925414562225342,-1.7044178548530908e-06  0.00021144158381503075 -1.0103020940732677e-05,-0.0020390055142343044     1.2081948518753052  0.0012097104918211699,  0.24604034423828125   0.02896946482360363  0.065961077809333801   0.02896946482360363   0.23158490657806396 -0.021721268072724342  0.065961077809333801 -0.021721268072724342   0.18800467252731323,   -1.0803124096643302   -0.35663915237105215    -1.1202982120508409    0.66750499888623693    0.53451330879550341   0.066416780653888452 2.0757378038638308e-05,0.00014665178605355322
IIWA_7,1714991616.2117529,-0.45509470903168886   1.1170238973123097 0.019328757120707904  -1.3058842563031365  -1.9515580658863205  -1.8741380914100649 -0.91764678169698433,  0.018972398032886958  0.0028731089159590951   0.021169233904260273 -0.0089891250954102723 0.00034861666667924994  0.0047046365960810629 5.0964408655513205e-05, -9.1677831268310541   61.069265022277833  -8.6681713485717768  -12.513648948669433 -0.79233741760253906   1.9350922317504882 -0.30605028915405275, 31.793529731925343  3.7048849536938309  19.974594527165085 -8.4807166130462441 0.78688977409537153  1.6806267759936273 0.71225936536583667,  0.55454283952713013 -0.036701526492834091   0.21587584912776947, -0.70471036434173584 -0.016738483682274818  0.007858780212700367   0.70925408601760864,-3.9849237509770319e-06  0.00018380646361038089 -1.1924410500796512e-05,-0.0020389079581946135     1.2081947326660156  0.0012096510035917163,  0.24604029953479767   0.02896948903799057  0.065961077809333801   0.02896948903799057   0.23158496618270874 -0.021721221506595612  0.065961077809333801 -0.021721221506595612   0.18800465762615204,   -1.0803127689280601   -0.35663774921257385     -1.120296846583102    0.66750367463175309    0.53451444633267897   0.066418668177803397 2.0757673802052068e-05,0.00012763272388838232
IIWA_7,1714991616.2166924,-0.45462049325644499   1.1170135309292173 0.019911070626755623  -1.3060519155763264  -1.9515526969044754  -1.8739842739068404 -0.91764450469680892,  0.034146549436064336  0.0018838318090722748   0.040227927365316968  -0.013897671003922071 0.00049365260714783236  0.0099164094058455769 0.00013185153394081918, -18.332877754211427   61.414737201690677  -13.348244361877441  -12.415927333831787 -0.65764005661010738   1.8179453926086426 -0.26466508102416991, 31.303819872706406  3.6342452400340042  19.583009483154807 -8.3385414209741047 0.83045408796990894  1.7840328427767147 0.69884108663874756,  0.55454319715499878 -0.036218941211700439   0.21588334441184998, -0.70453625917434692 -0.016942707821726799 0.0080986646935343742   0.70941948890686035,2.5529447157168761e-05    0.01917496882379055 0.00033008860191330314,-0.002038862556219101    1.2081949710845947 0.0012096321443095803,  0.24600696563720703  0.028936106711626053  0.065988123416900635  0.028936106711626053   0.23165352642536163 -0.021648472175002098  0.065988123416900635 -0.021648472175002098   0.18797823786735535,   -1.0784280543560953   -0.35489736196936406    -1.1169996834414775    0.66586293004444741    0.53480767637203996   0.068150173246017687 2.1113187642640696e-05,0.013284571468830109
IIWA_7,1714991616.221693,-0.45432664002426831   1.1170173059673063 0.020568705016587016  -1.3063563748471181  -1.9515553813953979  -1.8738243444787417 -0.91764372573454711,  0.039071368835918566  0.0016580669708184431   0.058487717485509315  -0.023296507634805719  0.0002875424488204906   0.014330304648625511 0.00013663971762484933, -22.100809734344484   60.674055603027341  -14.377402629852295  -12.119240989685059 -0.77384954452514643   1.8342992248535157 -0.24931250381469727, 31.303816745601537  3.6342459093251227  19.583007186510894 -8.3385397551721248  0.8304545012324076  1.7840340528033685 0.69884108663874756,  0.55454319715499878 -0.036218941211700439   0.21588334441184998, -0.70453625917434692 -0.016942707821726799 0.0080986646935343742   0.70941948890686035,2.5529447157168761e-05    0.01917496882379055 0.00033008860191330314,-0.0020390255376696587      1.208304762840271  0.0012097838334739208,  0.24600696563720703  0.028936106711626053  0.065988123416900635  0.028936106711626053   0.23165352642536163 -0.021648472175002098  0.065988123416900635 -0.021648472175002098   0.18797823786735535,   -1.0784280543560953   -0.35489736196936406    -1.1169996834414775    0.66586293004444741    0.53480767637203996   0.068150173246017687 2.1113187642640696e-05,0.013284571468830109
IIWA_7,1714991616.2266908,-0.45422938798760254   1.1170034641973412 0.021385729527778306  -1.3067843914298125  -1.9515509712974439  -1.8735291729775645 -0.91764354596563424,  0.035147176535365802 0.00077278277805051016   0.079471154436059066  -0.035757869415621528  0.0004064378772137121   0.023271103765988163 0.00011650253061455397, -20.608692539215088    60.47510664367676  -11.714268531799316  -11.898266887664795 -0.53790906906127933   1.4558248214721681 -0.26666759109497068, 30.900518128214006  3.6831268186469375  19.213103840689886 -8.2894602996671942 0.83616645273661783  1.8798120180834248 0.70737888579316177,   0.5545763373374939 -0.035733267664909363   0.21594586968421936, -0.70438218116760254 -0.017199775204062462 0.0082877585664391518   0.70956408977508545,0.0013253029901534319  0.034767284989356995 0.0027708127163350582,-0.0020378867629915476      1.208304762840271  0.0012060794979333878,   0.2459532767534256  0.028905604034662247  0.066024117171764374  0.028905604034662247   0.23172092437744141 -0.021570488810539246  0.066024117171764374 -0.021570488810539246   0.18797188997268677,  -1.0766630259304577  -0.35308002777423297   -1.1136600306400624   0.66424052195657168   0.53510746106510965  0.069823593294771058 2.145577226997375e-05,0.024175098165869713
IIWA_7,1714991616.2316909,-0.45420583902358697   1.1170030446638222  0.02252770631133983  -1.3073264378992719  -1.9515482868065215  -1.8731184736607913 -0.91764342608333116,  0.029059699788915601 0.00060144488167896781    0.10925599489130822  -0.050288154310874585 0.00043252993866874502   0.035044855683717638 9.7997316615026098e-05, -16.687516090393068   60.090651222229006  -10.824209499359132  -11.591016044616699 -0.68141017913818358   1.5322539558410644 -0.27901640319824217, 30.900518128214006  3.6831268186469375  19.213103840689886 -8.2894602996671942 0.83616645273661783  1.8798120180834248 0.70737888579316177,   0.5545763373374939 -0.035733267664909363   0.21594586968421936, -0.70438218116760254 -0.017199775204062462 0.0082877585664391518   0.70956408977508545,0.0013253029901534319  0.034767284989356995 0.0027708127163350582,-0.0020380690693855286      1.208412766456604  0.0012061872985213995,   0.2459532767534256  0.028905604034662247  0.066024117171764374  0.028905604034662247   0.23172092437744141 -0.021570488810539246  0.066024117171764374 -0.021570488810539246   0.18797188997268677,  -1.0766630259304577  -0.35308002777423297   -1.1136600306400624   0.66424052195657168   0.53510746106510965  0.069823593294771058 2.145577226997375e-05,0.024175098165869713
IIWA_7,1714991616.2366908,-0.45412961940432156   1.1169914200074222 0.023990321022443736  -1.3080013295593318  -1.9515526010858995  -1.8724558658461734 -0.91764270700767936,  0.026296544601748691 1.6169649346283355e-05     0.1459093843572028  -0.067226189851093715 0.00017345277581617746   0.054540197131690532 0.00010716087936404151, -15.519363079071045   59.128168418884279  -11.095364971160889  -11.701943283081054 -0.69549617767333982    1.266587619781494 -0.28302142333984376,  30.42023749249654  3.6218959086350315  18.360711556555781  -8.044156863780918 0.90250761891118125   2.063047114835558 0.64624605577738115,  0.55453723669052124 -0.034430116415023804   0.21609397232532501, -0.70367014408111572 -0.017545906826853752 0.0086733875796198845   0.71025717258453369,-0.00071930798003450036    0.060589827597141266   0.0063951159827411175,-0.0020500242244452238      1.208412766456604  0.0011810008436441422,  0.24587473273277283  0.028712257742881775  0.066122382879257202  0.028712257742881775   0.23194238543510437 -0.021331401541829109  0.066122382879257202 -0.021331401541829109   0.18787951767444611,   -1.0674182452357073   -0.34823753775281574    -1.1013206287424637    0.65933012646901545    0.53441862502445758   0.073785766815603893 2.2333963123344347e-05,0.042190771549940109
