DesiredFlux,0.948,HitTime,1714992059.1671083,DesiredPos, 0.5553126335144043 0.31674772500991821 0.21915706992149353
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714992058.6422641,-0.45833224734299932   1.1259135555790882 0.018417356875458132  -1.2883597242427824  -1.9529284860231486   -1.881867557000962 -0.91011697337311825, 0.00018929604876915577  7.8291695426141474e-07  1.6118681363922637e-07  0.00015145154459059374 -4.5912305113406364e-06  5.7750042038729901e-06   4.808679117780357e-05,0.063179737091064447   65.015982215881351  -1.9060116767883299  -16.266687183380128  -1.0590910148620605   1.7972527885437011 -0.24530748367309571,-0.14831776496572863 -0.68853466849335687  0.56592067114785283 -0.64649758625681553  0.73029217420703796  0.80696214979702696  0.66890339916225794, 0.55676722526550293 -0.04023592546582222  0.21509101986885071, -0.70432281494140625 -0.017400862649083138 0.0090083591639995575   0.70960938930511475,4.5492659410228953e-05 3.9805690903449431e-05 2.7178512027603574e-05,-0.00045337784104049206      1.3673795461654663   0.0012677697231993079,  0.24527031183242798  0.029667865484952927  0.066280044615268707  0.029667865484952927    0.2310100793838501 -0.022071857005357742  0.066280044615268707 -0.022071857005357742   0.18870364129543304,    -1.11185200067343  -0.36612786239587081   -1.1411642758396567   0.69712074013583702   0.54428913789905664  0.069958200185737951 2.140408827955298e-05,4.5950164349051192e-05
IIWA_7,1714992058.6472635,-0.45832955091838806   1.1259134956924783 0.018417416762068092  -1.2883593047092634  -1.9529282942114639   -1.881867676883265 -0.91011697337311825, 0.00025929382346569647 -1.7691308323233287e-06  2.5244138492806212e-06  0.00013794257643391533  3.9994829812347378e-06 -1.7528875584363699e-07  3.8469432942242861e-05, 0.11694972610473633   65.024047714233404   -1.882241554260254  -16.257883434295653  -1.0511676406860351   1.7989215469360351 -0.24630873870849609,-0.15080209524022772 -0.67653350962167103  0.56010003422931498 -0.65288009277974224  0.72528255937327291  0.80892613663301716  0.66890871300986521,  0.55676746368408203 -0.040234979242086411   0.21509109437465668,  -0.7043229341506958 -0.017401531338691711 0.0090088546276092529   0.70960921049118042, 4.507630001171492e-05 6.9764595536980778e-05 2.4755989215918817e-05,-0.00045345016405917704      1.3673796653747559   0.0012677316553890705,  0.24527014791965485  0.029667899012565613  0.066280104219913483  0.029667899012565613   0.23101016879081726 -0.022071730345487595  0.066280104219913483 -0.022071730345487595   0.18870371580123901,   -1.1118523378241818   -0.36612413607794991    -1.1411607178519745    0.69711770364566661    0.54429080010809372   0.069961213071678685 2.1404605199393245e-05,6.0088572354288772e-05
IIWA_7,1714992058.652261,-0.45832637507364793   1.1259136155747813 0.018417416762068092  -1.2883588253982177  -1.9529283900300398   -1.881867557000962 -0.91011673360851231, 0.00033446884837788138  3.3799874530833666e-06   2.019531079424497e-06  0.00012952650297682797 -6.3315665351321718e-07  4.6550611142671202e-06  4.0366130591678347e-05,0.13980197143554687  65.020014965057371 -1.8734378051757812 -16.262285308837889 -1.0555695152282714  1.7965852851867676 -0.2466424903869629, 36.285530875506332    4.11978586667703  22.425131361942849 -9.4469805375332783 0.93104414247661171  1.8710607176281124 0.66898698267146295, 0.55676800012588501 -0.04023277759552002  0.21509130299091339, -0.70432311296463013 -0.017403328791260719 0.0090100737288594246   0.70960897207260132,4.8620637244312093e-05 0.00012677974882535636 2.3724714992567897e-05,-0.00045350013533607125      1.3673797845840454   0.0012676782207563519,  0.24526973068714142  0.029668010771274567  0.066280268132686615  0.029668010771274567   0.23101036250591278 -0.022071436047554016  0.066280268132686615 -0.022071436047554016   0.18870387971401215,   -1.1118545878803232   -0.36611547522635846    -1.1411529863281089     0.6971114987646132    0.54429543878597997   0.069969359024923961 2.1406046712968418e-05,9.5564129878766835e-05
IIWA_7,1714992058.6572647,-0.45829539580667422   1.1259241017310935 0.018448096377825806  -1.2883862692826251  -1.9529276231323665   -1.881856172000085 -0.91011673360851231,  0.0015067457576506032  0.00042215024244893288   0.0012288002551721149 -0.00099413417391661942  3.0169381611807952e-05  0.00045912408396901587   3.229290447334268e-05,-0.053769989013671873    64.885589992523194    -2.313625259399414   -15.888125972747803   -1.0802200126647949    1.7511950569152832  -0.24831124877929686, 36.285530875506332    4.11978586667703  22.425131361942849 -9.4469805375332783 0.93104414247661171  1.8710607176281124 0.66898698267146295, 0.55676800012588501 -0.04023277759552002  0.21509130299091339, -0.70432311296463013 -0.017403328791260719 0.0090100737288594246   0.70960897207260132,4.8620637244312093e-05 0.00012677974882535636 2.3724714992567897e-05,-0.00045357574708759785      1.3673802614212036   0.0012676585465669632,  0.24526973068714142  0.029668010771274567  0.066280268132686615  0.029668010771274567   0.23101036250591278 -0.022071436047554016  0.066280268132686615 -0.022071436047554016   0.18870387971401215,   -1.1118545878803232   -0.36611547522635846    -1.1411529863281089     0.6971114987646132    0.54429543878597997   0.069969359024923961 2.1406046712968418e-05,9.5564129878766835e-05
IIWA_7,1714992058.6622624,  -0.457800147723113   1.1260138036915812 0.018951313962000862  -1.2886314065574709  -1.9529273355021057  -1.8817661704974644 -0.91011481614616285,  0.021015319948569169  0.0039257986134688455   0.021111743571139922  -0.010600798332963842 3.5640715718254619e-05  0.0039673593719999328   0.000102532817556852,  -9.803613246917724   61.053134025573733  -8.8504089546203613  -11.881539764404296 -0.93407777786254886   1.9220759162902832 -0.28335517501831053, 36.284175997584164  4.1194427184985631  22.424671724168252 -9.4466023921960343 0.93129145614720832  1.8712664875732072  0.6689808430016998,  0.55676823854446411 -0.040231067687273026    0.2150912880897522,  -0.7043231725692749  -0.01740446500480175 0.0090111782774329185   0.70960885286331177,4.8664889618521556e-05 0.00016987543494906276 1.8131713659386151e-05,-0.00045374123146757483      1.3673801422119141   0.0012675885809585452,  0.24526950716972351  0.029668066650629044  0.066280357539653778  0.029668066650629044   0.23101054131984711 -0.022071219980716705  0.066280357539653778 -0.022071219980716705   0.18870390951633453,   -1.1118549523168042   -0.36610900103983823     -1.141146574497931    0.69710608947204378    0.54429867677807664    0.06997560647281631 2.1407151606922525e-05,0.0001231546193594113
IIWA_7,1714992058.6672606,-0.45728218952440797   1.1260013999638365 0.019484731850887803  -1.2888106905961436  -1.9529193780224472    -1.88160096788428 -0.91011104110807384,  0.037530583907056839  0.0026444897809873961   0.038226110412389581  -0.015652000213280413 0.00034681175891612334  0.0097819920249768693 0.00023302777760610485, -19.709389472961426   61.221165241241458  -13.748814945220946   -12.06729887008667 -0.69461580276489254   1.6937897682189942 -0.21360107421874999, 35.339589753628445  4.0396898971406685  21.676835129429865 -9.2141335550242971 0.99941623433662075  2.0744616340869726 0.65409168531511419, 0.55678939819335938 -0.03921918198466301   0.2151305079460144, -0.70399308204650879 -0.017859840765595436 0.0094980886206030846   0.70991873741149902,0.00096881180070340633   0.036218293011188507  0.0017156540416181087,-0.00045374128967523575      1.3673804998397827   0.0012675888137891889,  0.24518805742263794  0.029603783041238785  0.066340014338493347  0.029603783041238785   0.23115454614162445 -0.021919641643762589  0.066340014338493347 -0.021919641643762589   0.18866030871868134,   -1.1080610828040349   -0.36238918675568499    -1.1343689171727789    0.69357157652039092    0.54493087372353699   0.073566245567313615 2.2140036470830182e-05,0.025142321363091469
IIWA_7,1714992058.6722617,-0.45699804359536472     1.12599648642566 0.020058117016063866   -1.289153139794265  -1.9529239799320859  -1.8814298931108273 -0.91010948318355023,  0.041390304287375258  0.0019190502977277507   0.053516294936954187  -0.026219568095481555 9.3373021585271821e-05   0.014668584558088858 0.00024873920302927188, -23.186963512420654   60.602810367584226  -14.260312767028809  -11.888582763671875  -1.1339228820800782   1.8126053657531738 -0.20792729568481444, 35.339589753628445  4.0396898971406685  21.676835129429865 -9.2141335550242971 0.99941623433662075  2.0744616340869726 0.65409168531511419, 0.55678939819335938 -0.03921918198466301   0.2151305079460144, -0.70399308204650879 -0.017859840765595436 0.0094980886206030846   0.70991873741149902,0.00096881180070340633   0.036218293011188507  0.0017156540416181087,-0.00045391306048259139      1.3676420450210571   0.0012678655330091715,  0.24518805742263794  0.029603783041238785  0.066340014338493347  0.029603783041238785   0.23115454614162445 -0.021919641643762589  0.066340014338493347 -0.021919641643762589   0.18866030871868134,   -1.1080610828040349   -0.36238918675568499    -1.1343689171727789    0.69357157652039092    0.54493087372353699   0.073566245567313615 2.2140036470830182e-05,0.025142321363091469
IIWA_7,1714992058.6772618,-0.45693710378828517   1.1259768322729531 0.020821632023133654  -1.2896501855669558  -1.9529136255917656  -1.8811151873392462 -0.91010774549011375,  0.035549835713082283 0.00074907412990689055   0.073353636232354885  -0.040857485384013986 0.00048887203007870418   0.024323098509715209 0.00026849909988247995, -21.255276657104492   60.098716720581052  -11.440471935272218  -11.083920097351074 -0.52118194580078125   1.3133128547668458 -0.24263747024536134, 35.339589753628445  4.0396898971406676  21.676835129429865 -9.2141335550242971 0.99941623433662097   2.074461634086973 0.65409168531511419, 0.55678939819335938 -0.03921918198466301   0.2151305079460144, -0.70399308204650879 -0.017859840765595436 0.0094980886206030846   0.70991873741149902,0.00096881180070340633   0.036218293011188507  0.0017156540416181087,-0.00045717548346146941      1.3676419258117676   0.0012465394102036953,  0.24518805742263794  0.029603783041238785  0.066340014338493347  0.029603783041238785   0.23115454614162445 -0.021919641643762589  0.066340014338493347 -0.021919641643762589   0.18866030871868134,   -1.1080610828040349   -0.36238918675568499    -1.1343689171727789    0.69357157652039092    0.54493087372353699   0.073566245567313615 2.2140036470830182e-05,0.025142321363091469
IIWA_7,1714992058.682317,-0.45694920786481391   1.1259622715364193 0.021924899803713666  -1.2902540106923666  -1.9529113245496796  -1.8806375560637394 -0.91010762560781078,  0.027955705509316205 1.6829842572283643e-05    0.10281362020908438  -0.056838993323642999 0.00048313930750231121   0.038563729828044888   0.000219594572024926, -16.976529781341554   59.782818035125736  -10.965069484710693  -10.859424495697022 -0.83459541320800779   1.4438097610473632 -0.25198251724243165, 35.072480246133097  3.9507945316651893  21.251335904780738 -9.0331376594468118  1.0575740648821965  2.1808236898750559 0.60450163121820288,  0.55673879384994507 -0.038457788527011871   0.21517851948738098,-0.70361030101776123 -0.01801830530166626 0.009779081679880619  0.71029025316238403,-0.0013022416969761252   0.050436809659004211  0.0028347272891551256,-0.00045717548346146941      1.3676419258117676   0.0012465394102036953,  0.24515904486179352  0.029496729373931885  0.066386312246322632  0.029496729373931885   0.23128433525562286 -0.021790262311697006  0.066386312246322632 -0.021790262311697006    0.1885940283536911,   -1.1028145928175803   -0.35961047109989153    -1.1275698488431019    0.69051637102290897     0.5445634340004446   0.075863891352057067 2.2640287866693143e-05,0.035021733492612839
IIWA_7,1714992058.6872623,-0.45690240947891558   1.1259429169258452 0.023338918439789667  -1.2909959540843803  -1.9529146801196995  -1.8798677493628821 -0.91010618756559025,   0.024236499843386078 -0.00076072054890246211     0.13881164161030751    -0.07514893033946328  0.00025228864520795616    0.061643251896725718  0.00023319734644094587, -15.489789585113526   58.879482219696044   -11.32338207244873  -11.515303802490234  -1.0018666458129883   1.1447682571411133 -0.24597498703002929, 34.968910851456108  3.9154228675881093  20.943695891869975 -8.9505278706373907  1.0779671000097593  2.2134533062807722 0.57351302019941452,  0.55671894550323486 -0.038005620241165161   0.21521551907062531, -0.70333248376846313 -0.018055502325296402 0.0098621612414717674   0.71056324243545532,-0.0018706913106143475   0.058441869914531708  0.0037821228615939617,-0.00045725423842668533      1.3678774833679199    0.001246754196472466,  0.24514365196228027  0.029403159394860268  0.066422402858734131  0.029403159394860268   0.23137007653713226 -0.021700795739889145  0.066422402858734131 -0.021700795739889145   0.18855015933513641,   -1.0985014414561789   -0.35788926182700465      -1.12251729181434    0.68860251160796082    0.54391493930339152   0.076939761180838673 2.2895866536032372e-05,0.040603604167699814
