DesiredFlux,1.005,HitTime,1714992297.8421092,DesiredPos,0.55177628993988037   0.319144606590271 0.21906775236129761
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714992297.3237925,-0.45653311558973531   1.1267317186994503 0.018291402681077165  -1.2881704333588435  -1.9531890710108544  -1.8821651852712278 -0.91013752626130673,-0.00025863070196076597 -4.2946654112463709e-05 -3.5088736479655866e-05  6.7268773100032932e-05  9.5813730876467467e-07  1.6012925590601331e-05  2.2164482146842497e-05,-0.4825856513977051  64.669165786743164 -2.1111390304565427 -16.045713081359864 -1.0185937690734863  1.8212829093933105 -0.2466424903869629,-0.022968043080799194  -0.48187824480234809   0.61991606253587372   -1.4220982672871583    0.3263264449812126    0.4450944579889361   0.64112195775826208,  0.55670231580734253 -0.039255186915397644    0.2146921306848526, -0.70421081781387329 -0.017913717776536942 0.0099996449425816536     0.709694504737854, 1.0392755939392373e-05 -1.9340084691066295e-05  2.9352515412028879e-05,-0.0025577559135854244     1.4498186111450195  0.0022724992595613003,  0.24523963034152985  0.029691575095057487  0.066283531486988068  0.029691575095057487   0.23112745583057404 -0.021971657872200012  0.066283531486988068 -0.021971657872200012   0.18860548734664917,   -1.1116074951420529   -0.36276482709229896     -1.137390906460034    0.69419091085443085    0.54653330530740618   0.074592588998889653 2.2284586620457958e-05,2.5409102818230167e-05
IIWA_7,1714992297.3288732,-0.45654438070830922   1.1267316587037572 0.018289365336424696  -1.2881676770476223  -1.9531890710108544  -1.8821651852712278 -0.91013752626130673,-0.00065750930452505244 -3.6757151013180538e-05 -0.00010956477528250991  0.00016406746733057154   7.665098470117398e-07  1.2810340472481066e-05     1.7731585717474e-05,-0.61969912338256838   64.697395030975343  -2.1516362762451173  -16.077406578063965  -1.0194741439819335   1.8152753791809082 -0.24597498703002929, 38.474508933078546  4.2967822243244953  23.830041764456222 -9.9478502394518973  1.0164268284901636  1.9785507558297479 0.64115455453293646,  0.55670243501663208 -0.039258979260921478    0.2146921306848526, -0.70421135425567627 -0.017911672592163086 0.0099969776347279549    0.7096940279006958, 1.2941147360834293e-05 -0.00016711816715542227  2.3369273549178615e-05,-0.0025576385669410229       1.44981849193573  0.0022721781861037016,  0.24523989856243134  0.029691539704799652  0.066283427178859711  0.029691539704799652   0.23112699389457703 -0.021972095593810081  0.066283427178859711 -0.021972095593810081   0.18860562145709991,   -1.1116105631474582   -0.36277794187267176    -1.1374060943936115    0.69420400945219285    0.54652718500047826   0.074577268777353822 2.2281675171598181e-05,0.00011731508857337758
IIWA_7,1714992297.3338146,-0.45656493370558071   1.1267317785860602 0.018289365336424696   -1.288168396014191  -1.9531890710108544  -1.8821656046956636 -0.91013734649239375, -0.0013481273344798268 -2.4610428691602402e-05 -8.7651820226007941e-05  0.00010249531111547282  6.1320787760939192e-07 -6.5287050559783723e-06  2.1376025093094581e-05,-0.54845388793945316   64.702772029876712  -2.1754063987731933  -16.076526203155517  -1.0221152687072754   1.8186128959655761  -0.2466424903869629, 38.482192041780102  4.2977993198664315   23.83393996228779 -9.9498934953943383  1.0156454986006611  1.9768508109744058 0.64126791900209912, 0.55670261383056641 -0.03926631435751915  0.21469220519065857,   -0.704212486743927 -0.017907978966832161 0.0099920714274048805   0.70969307422637939, 1.7220938389073126e-05 -0.00042708063847385347  2.1824851501150988e-05,-0.0025576627813279629     1.4498180150985718  0.0022721257992088795,  0.24524040520191193  0.029691573232412338  0.066283203661441803  0.029691573232412338    0.2311260998249054 -0.021972978487610817  0.066283203661441803 -0.021972978487610817   0.18860591948032379,   -1.1116204297758614   -0.36280356376483525    -1.1374386184508367    0.69422982353284368    0.54651683187412203   0.074549028241222004 2.2276289257661119e-05,0.00029667446506209671
IIWA_7,1714992297.3387992, -0.4565623570541894   1.1267425045069783 0.018320104838792366  -1.2881972780499023  -1.9531874410478658  -1.8821487668498711 -0.91013734649239375,-0.00097543581193161588  0.00040934849377106833   0.0011594586385259996  -0.0010732851795586266  6.5689085845317821e-05   0.0006682908676567727  1.7100820074475665e-05,-0.54979813766479491   64.627494045257563  -2.6085508537292479  -15.682118244171143  -1.0582106399536133   1.7675488891601563 -0.24630873870849609,  38.49376263059002   4.297836404720865  23.838848498815533 -9.9510472464858406   1.015048094533159  1.9750341376431135 0.64080179789207636,  0.55670154094696045 -0.039277654141187668   0.21469211578369141, -0.70421242713928223 -0.017900506034493446 0.0099852029234170914   0.70969337224960327,-2.9226117476355284e-05 -0.00079537613783031702  1.3486380339600146e-05, -0.00255766068585217    1.4498171806335449 0.0022718831896781921,  0.24524171650409698  0.029691271483898163  0.066282704472541809  0.029691271483898163   0.23112490773200989 -0.021974354982376099  0.066282704472541809 -0.021974354982376099   0.18860581517219543,   -1.1116206643615456   -0.36284510768069822    -1.1374804415291706    0.69426712587095096    0.54649677732143687   0.074507573675219874 2.2268662469571154e-05,0.00055179873015731573
IIWA_7,1714992297.3437681,-0.45604481838900324   1.1268316071650344  0.01882464069196807  -1.2884373820133515  -1.9531761279981874  -1.8820147232725732 -0.91013602822339312,  0.019921197957901426  0.0038915851172593211   0.021109001037848962  -0.010462786681614935 0.00050507325581166675  0.0058963757860393687 6.6411416084679784e-05, -10.857505031585694   60.871660312652587  -9.2333720397949222   -11.79350227355957 -0.91470952987670895   1.7748914260864257 -0.27801514816284179,  38.49376263059002   4.297836404720865  23.838848498815533 -9.9510472464858406   1.015048094533159  1.9750341376431135 0.64080179789207636,  0.55670154094696045 -0.039277654141187668   0.21469211578369141, -0.70421242713928223 -0.017900506034493446 0.0099852029234170914   0.70969337224960327,-2.9226117476355284e-05 -0.00079537613783031702  1.3486380339600146e-05,-0.0025577573105692863     1.4498153924942017  0.0022719139233231544,  0.24524171650409698  0.029691271483898163  0.066282704472541809  0.029691271483898163   0.23112490773200989 -0.021974354982376099  0.066282704472541809 -0.021974354982376099   0.18860581517219543,   -1.1116206643615456   -0.36284510768069822    -1.1374804415291706    0.69426712587095096    0.54649677732143687   0.074507573675219874 2.2268662469571154e-05,0.00055179873015731573
IIWA_7,1714992297.3487704,-0.45551110084890034   1.1268237575467235 0.019344336584109674  -1.2886291295572956  -1.9531648149485088  -1.8818004453823982 -0.91013285237865293,   0.03728565997043698  0.0027992833613711895   0.037675036515943339  -0.016040131103057222 0.00085658059179362768   0.013288216235832685 0.00018016292247528847, -20.740429012298584   61.260148483276367  -14.049903163909912  -11.760048027038573 -0.75360092163085934   1.7915790100097657  -0.2122660675048828, 37.957010899500439  4.1769662042368436  23.443294781449026 -9.7766535483052941  1.0727124208409633  2.0745137789737678 0.61975915112048729,  0.55669760704040527 -0.038763374090194702   0.21467430889606476, -0.70403414964675903 -0.018092121928930283  0.010251566767692566   0.70986157655715942,-0.00015146691293921322    0.019930377602577209 -0.00064419565023854375,-0.0025578814093023539     1.4498131275177002  0.0022719032131135464,  0.24521297216415405  0.029653234407305717  0.066308639943599701  0.029653234407305717   0.23119920492172241 -0.021898878738284111  0.066308639943599701 -0.021898878738284111   0.18857145309448242,   -1.1094820331765121    -0.3609917333253776    -1.1339455600234416    0.69244879326380016    0.54675649133972826    0.07629830668864912 2.2638857899437426e-05,0.013821806758642197
IIWA_7,1714992297.353852, -0.4552258763063794   1.1268261543201188 0.019892135549700735  -1.2889841622520746  -1.9531674034463224  -1.8815179771510984 -0.91013177387425825,  0.041237509677187402  0.0023352976249092663   0.052051987836397098  -0.027033412673605359 0.00058172456088893311    0.02192930224066008 0.00018727051376744597,  -23.62653317260742   60.561138626098632  -14.178437900543212  -11.701062908172608 -0.97193389892578119   1.6237019157409669 -0.18256216812133788,  37.53831350116738  4.1939681420716015  23.103824117553774 -9.7177174950417626  1.0862534449236421  2.1512740284376832 0.62438107730923553,  0.55673450231552124 -0.038262549787759781   0.21470978856086731, -0.70390808582305908 -0.018328038975596428  0.010451648384332657   0.70997768640518188,0.0013319000136107206  0.035978503525257111 0.0009090666426345706,-0.002557022962719202    1.4498192071914673 0.0022716817911714315, 0.24516339600086212 0.029620673507452011  0.06634211540222168 0.029620673507452011  0.23126806318759918 -0.02182086743414402  0.06634211540222168 -0.02182086743414402  0.18856161832809448, -1.1076024685019448 -0.35910848549125518  -1.1305566060935135  0.69068047275244737  0.54700865046442004 0.077881074104446668 2.29604699697461e-05,0.024960264563560486
IIWA_7,1714992297.3587954, -0.4551589444567285   1.1268058410874533 0.020643726249154743  -1.2895106891447425  -1.9531567614757415   -1.881086964492577 -0.91012973652960583,   0.03566728172778582  0.0010557087933077327   0.071705218247278019  -0.042687805845602958 0.00089105847195044153   0.034783948133384562 0.00023131019711107668, -20.611381038665773   60.261370937347415  -11.385888690948486  -10.726487884521484 -0.66820455551147462   1.3987532844543458 -0.23429367828369141, 37.348073872823285  4.1240834828979249  22.910002954794329 -9.6227691406513749  1.1258105910028053  2.1866436110211609 0.60187646481954105,  0.55672556161880493 -0.037867836654186249   0.21470551192760468, -0.70377075672149658 -0.018419092521071434  0.010608308017253876   0.71010911464691162,0.00068274588556960225   0.044572904706001282 0.00056517391931265593,-0.0025557647459208965     1.4499560594558716  0.0022761651780456305,  0.24514621496200562  0.029573138803243637  0.066363677382469177  0.029573138803243637   0.23133009672164917 -0.021756503731012344  0.066363677382469177 -0.021756503731012344   0.18853235244750977,   -1.1052314504258476   -0.35765641940965764    -1.1273212842661806    0.68910828882717823    0.54690969323356597   0.078966610066899534 2.3188380993133251e-05,0.03089522011578083
IIWA_7,1714992297.3638003,-0.45513791214841121   1.1267946358554892 0.021746514609605846  -1.2901484896129543  -1.9531542687965038  -1.8804769075599888  -0.9101298564119088,  0.029375117714920358 0.00039635775608325846    0.10147570901586656  -0.059662263404950899 0.00081255394706782134   0.052229435810235605 0.00018025286556991934, -16.367584655761718   59.555639831542969  -10.867347869873047  -10.772267379760741 -0.81082529067993159   1.4020908012390136 -0.25131501388549804, 37.284019679588056  4.0487351759660992  22.728250129259788 -9.5307446794186621  1.1598138342427395  2.1969977299056578 0.56680491061190663, 0.55670136213302612 -0.03750249370932579  0.21469992399215698, -0.70359230041503906 -0.018413301557302475  0.010698791593313217   0.71028470993041992,-0.00044742354657500982    0.050276137888431549  0.00024591427063569427,-0.0025592013262212276     1.4500887393951416    0.00228469492867589,  0.24514418840408325  0.029500056058168411  0.066385723650455475  0.029500056058168411   0.23139622807502747 -0.021688766777515411  0.066385723650455475 -0.021688766777515411   0.18849150836467743,   -1.1018702036187378    -0.3562992617389682    -1.1234796316266227    0.68747873323005138    0.54638976033061226   0.079694597219237551 2.3356389711182146e-05,0.034840207546949387
IIWA_7,1714992297.368773,-0.45505072684362169   1.1267723451647813 0.023154601089720474  -1.2909421449290428  -1.9531566656571655  -1.8795683235125702 -0.91012799883616935,   0.026987506363516951 -0.00057454142345002008     0.13750402641727838    -0.07947602336750266  0.00055416873118529011    0.078126910544930844  0.00021850532203393998, -15.481724086761474   58.698008506774904  -11.391170940399169  -11.259995079040527 -0.96401052474975579   1.2569088211059569 -0.24831124877929686, 37.166021113888341   3.988483006561911  22.428970880474541  -9.441641984058073  1.1888392707280662  2.2072218597354625 0.53183734912017377,  0.55669152736663818 -0.037026356905698776    0.2147059440612793, -0.70334583520889282 -0.018421841785311699  0.010775894857943058   0.71052736043930054,-0.00079191697295755148      0.0592760369181633  0.00047197935055010021,-0.0025803348980844021     1.4502080678939819  0.0022679558023810387,  0.24513225257396698  0.029397843405604362  0.066421560943126678  0.029397843405604362   0.23148426413536072 -0.021594174206256866  0.066421560943126678 -0.021594174206256866   0.18844471871852875,  -1.0972174205443608  -0.35447227313056828   -1.1181267483229007   0.68539903890130205   0.54562485137221728  0.080589372893236089 2.357113970674618e-05,0.041074980050325394
