DesiredFlux,1.084,HitTime,1714992726.202107,DesiredPos,0.55134719610214233  0.3316504955291748 0.21960586309432983
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714992725.6963568, -0.4459001719605995   1.1249306693747538 0.028740927695625505  -1.2942336122779936  -1.9530650102150957   -1.881923763038778 -0.91290342544876457,-2.5969291985201176e-05 -1.7264215047607166e-05  0.00087240703444130512  3.3061630252337309e-06  -4.043114636724616e-06  8.4837723696182409e-06   0.0003159638940513322,-0.52560164260864262   64.670510036468499  -2.7863865852355958  -15.983206462860107  -1.0943060111999512   1.7555338287353515 -0.27200761795043943,-0.021435728407375954 -0.024190990414935477 -0.068902656720941369   -1.6074275406673111   0.40315104260074269    1.3705090134358398   0.78395358827908601,   0.5563470721244812 -0.029078263789415359    0.2166418582201004, -0.70040619373321533 -0.024323144927620888  0.014145576395094395   0.71318966150283813,8.6790656496305019e-05 0.00054694112623110414 0.00022448437812272459,-0.0024503620807081461     1.5667563676834106  0.0014539912808686495,  0.24428816139698029  0.029243111610412598  0.066864676773548126  0.029243111610412598   0.23255850374698639 -0.020490536466240883  0.066864676773548126 -0.020490536466240883   0.18833126127719879,   -1.0813510430649487   -0.32709022961974199    -1.0762047182639733    0.65931368789406974    0.55545701621539934     0.1147504949265965 3.0864731215274332e-05,0.0004134319897275418
IIWA_7,1714992725.7013555, -0.4458997525361636   1.1249306693747538 0.028744822616017483  -1.2942344511268655  -1.9530649143965197   -1.881923643156475 -0.91290144809980511,-3.9984561519772725e-06 -1.3811372038085733e-05  0.00085372244323219304 -3.0909024456621249e-05  5.9825132912131439e-07  1.1582310014636623e-05  0.00033186507361941697,-0.55517513656616213   64.702772029876712  -2.8330464553833008  -15.973522338867188  -1.0969471359252929   1.7562013320922851  -0.2746776313781738,0.0091172571153600723  0.016757527679926748 -0.064348149160883605   -1.6402088659769201    0.3847351276195089     1.372993645202909   0.78379130850386258, 0.55634719133377075 -0.02907995693385601  0.21664212644100189, -0.70040595531463623 -0.024321764707565308  0.014144583605229855   0.71318995952606201,7.2847447881940752e-05 0.00036981419543735683 0.00019032301497645676,-0.0024501734878867865     1.5667563676834106  0.0014528360916301608,  0.24428823590278625  0.029243001714348793   0.06686469167470932  0.029243001714348793   0.23255835473537445 -0.020490672439336777   0.06686469167470932 -0.020490672439336777   0.18833133578300476,  -1.0813483803229218   -0.3270955025804767   -1.0762073400680805   0.65931942371033614   0.55545323954309112   0.11474419903478861 3.086340605307214e-05,0.00029214151436462998
IIWA_7,1714992725.7063532,-0.44589999219168652   1.1249309091393598 0.028746979733889871  -1.2942348106646913  -1.9530650102150957  -1.8819238229253878 -0.91289893133502376,-1.2784985838650107e-05 -1.4585133925845281e-06  0.00076926266948127819 -3.9108732594645977e-05 -3.3541419752039559e-06  2.0750914970348086e-06  0.00036616265014982624, -0.5108148956298828   64.779394264221196  -2.8127978324890135  -15.987608337402344  -1.0916648864746095    1.761541358947754 -0.27501138305664063, 41.128541687808578  4.4128465431783832  24.915661748564681 -10.437512056136145   1.334961658426878  3.0777505458384078 0.78367733817072871,  0.55634713172912598 -0.029080323874950409   0.21664270758628845, -0.70040512084960938 -0.024321362376213074  0.014144511893391609   0.71319079399108887,5.5402957514161244e-05 0.00028117824695073068 0.00017551862401887774,-0.0024503178428858519     1.5667562484741211  0.0014525868464261293,  0.24428819119930267  0.029242910444736481  0.066864758729934692  0.029242910444736481   0.23255838453769684 -0.020490648224949837  0.066864758729934692 -0.020490648224949837   0.18833135068416595,  -1.0813447764439488  -0.32709651972595566   -1.0762043259235909   0.65932129851997701   0.55545194557193867   0.11474484653462014 3.086355526704665e-05,0.00023251246602740139
IIWA_7,1714992725.7113545,-0.44587134992058131   1.1249404365644973 0.028781913698782399  -1.2942642320071414   -1.953062613354434    -1.88190470807942 -0.91289683410376132, 0.0011354628555377598 0.00037993019478553005  0.0020127687312861374 -0.0012081406840796268 9.3191112888803878e-05 0.00076625391191115103 0.00037681937061715423,-0.65868236541748049   64.700083530426028  -3.2274544143676756  -15.654826622009278  -1.1304013824462891   1.6887834930419923 -0.27501138305664063, 41.128231085144947  4.4121322024370624  24.915518773833295  -10.43692060311732  1.3351912680153915  3.0779838268851711 0.78347876392605798,  0.55634719133377075 -0.029078654944896698    0.2166433185338974, -0.70040386915206909 -0.024321665987372398  0.014145604334771633    0.7131919264793396,4.6472592657664791e-05 0.00029174776864238083 0.00016487315588165075,-0.0024503609165549278     1.5667558908462524  0.0014524462167173624, 0.24428796768188477 0.029242713004350662 0.066864944994449615 0.029242713004350662  0.23255865275859833 -0.02049032598733902 0.066864944994449615 -0.02049032598733902  0.18833133578300476,   -1.0813348712126469   -0.32709035480937843    -1.0761890089936443    0.65931644126582256    0.55545202733497945    0.11475175636910251 3.0864964806198714e-05,0.00023407400294672698
IIWA_7,1714992725.7163532,-0.44542535699200675   1.1250251051045053 0.029327136012982126  -1.2945333377795218  -1.9530440139041942  -1.8817351313438808 -0.91289257975462657,  0.018748087427412477  0.0036906857561481332    0.02341910755301798  -0.011730743442483087 0.00081853089990073947  0.0073960725510965096 0.00047162946188404235, -9.7740397529602046    60.90257805633545  -9.3839161491394041  -11.629752540588379  -1.0881433868408203   1.7985877952575684 -0.28001765823364255,  41.12893833127854   4.411013284099913  24.916588240508595 -10.436355689275654  1.3355313133263473  3.0778721151290105 0.78317333474912276,  0.55634713172912598 -0.029077997431159019    0.2166435718536377, -0.70040315389633179 -0.024321204051375389  0.014146697707474232    0.7131926417350769, 3.545707295415923e-05 0.00025970712886191905 0.00014212884707376361,-0.0024503618478775024     1.5667566061019897  0.0014524467987939715,   0.2442878782749176  0.029242608696222305  0.066865026950836182  0.029242608696222305   0.23255878686904907 -0.020490186288952827  0.066865026950836182 -0.020490186288952827   0.18833129107952118,  -1.0813298028722329  -0.32708791376023783   -1.0761816373783262   0.65931478946179567    0.5554520043302702   0.11475529026672149 3.086556876752411e-05,0.00020629634673241526
IIWA_7,1714992725.72138,-0.44498116164347867   1.1250179145661532 0.029971168288371181  -1.2947630753598787  -1.9530323172311461  -1.8813912439944558  -0.9128883852921017,  0.032766283883053013  0.0026649270708354912   0.044496577057976563  -0.018574097968259502  0.0011226916418455002   0.019672352017878474 0.00054508207050182043, -19.108509845733643   60.926774551391603  -14.010286293029784  -11.428146686553955 -0.78617479324340822   1.4107683448791504 -0.24730999374389648, 41.098520417854459  4.3929446006257136   24.89739188728884 -10.419352781869369  1.3422492398716652  3.0809874524598753 0.77949230496490274,  0.55634415149688721 -0.029045606032013893   0.21663768589496613, -0.70039147138595581 -0.024324165657162666  0.014165201224386692   0.71320366859436035,-8.9707449660636485e-05   0.0015033604577183723 -0.00012168288230895996,-0.0024500861763954163     1.5667566061019897  0.0014516992960125208,  0.24428825080394745  0.029238773509860039  0.066865913569927216  0.029238773509860039   0.23256352543830872 -0.020485414192080498  0.066865913569927216 -0.020485414192080498   0.18832740187644958,    -1.081143947039287   -0.32697941707038325    -1.0759348318565287     0.6591924209056188     0.5554483818679401    0.11484600261102429 3.0884695689792352e-05,0.0010453751310706139
IIWA_7,1714992725.7263565,-0.44475112452098892    1.125018813410718 0.030678956677754041  -1.2951629289825137  -1.9530295369216477  -1.8808650166439209 -0.91288473002723258,  0.035414512006032683  0.0021678954392595289   0.063908797221695651   -0.03085342328001001  0.0010093656934126766    0.03678697563569755 0.00058227625116617386, -22.185497467041017   59.898423511505129  -14.485688743591309   -11.70018253326416   -1.149769630432129   1.5876567344665526 -0.23295867156982422,  40.62526873951424   4.292014699366705  24.524501624480902 -10.260384506325998  1.3936687081123686  3.1708666492605846 0.75872173701715473,  0.55633491277694702 -0.028570380061864853   0.21662920713424683, -0.70021551847457886 -0.024490058422088623  0.014398152008652687   0.71336609125137329, -0.0004500102368183434     0.02021154947578907 -0.00043328254832886159,-0.0024500864092260599     1.5667568445205688  0.0014516994124278426,   0.2442631870508194  0.029197020456194878  0.066889919340610504  0.029197020456194878   0.23263075947761536 -0.020412357524037361  0.066889919340610504 -0.020412357524037361   0.18829637765884399,  -1.0789751151998317  -0.32532976333143893   -1.0725209036097638   0.65757739016891747   0.55560609073346257   0.11640452028238713 3.121903269232007e-05,0.01398918591439724
IIWA_7,1714992725.7313547,-0.44470959910201008   1.1249924481397882 0.031558239155942455  -1.2957553691070476  -1.9530215794419892  -1.8799918460906067 -0.91288113475805654,  0.029992626363979681 0.00067970551421535179   0.086298336904893108  -0.048380343605362211   0.001125791741071661   0.064356402641128518 0.00060963176797444697, -19.811552452087401   59.613442569732669   -11.55227954864502   -10.78283187866211  -0.7712084197998047   1.0289564247131349 -0.26800259780883789, 40.240150258898439  4.3068774642499772  24.169404865808094  -10.20920385851732   1.407010588050819  3.2198377783678289 0.76049075505349661, 0.55637598037719727 -0.02807060070335865  0.21666090190410614, -0.70008283853530884 -0.024690141901373863  0.014553635381162167   0.71348625421524048, 0.0012583425268530846   0.036162495613098145 0.00092877453425899148,-0.0024499914143234491     1.5667668581008911  0.0014515363145619631,    0.244216188788414  0.029147276654839516  0.066925503313541412  0.029147276654839516   0.23269955813884735 -0.020326985046267509  0.066925503313541412 -0.020326985046267509   0.18828676640987396,   -1.0764988614182514   -0.32348609085541824    -1.0686597473412718    0.65583840552640993     0.5556209918662347    0.11771512547387175 3.1500509756199335e-05,0.025038605555891991
IIWA_7,1714992725.7363558,-0.44470408637048453   1.1249724344492555 0.032799625094042134  -1.2964874255360979  -1.9530149641205252  -1.8788200285401593 -0.91288023602257484,  0.024214610352205651 -0.0002567832099323777    0.11869410704790165  -0.067986532046300813  0.0011652462514154952   0.098357824130797772 0.00052365483364765733,  -16.22643843460083   58.419748813629148   -10.56361852645874   -10.80220012664795 -0.91118803024291994     1.01694136428833 -0.26833634948730467,  40.05374549532111  4.2263625050227942  23.951143423821186 -10.129679430826712  1.4461050682125554  3.2046139722699705 0.73633327409152882,  0.55639189481735229 -0.027643643319606781   0.21664021909236908, -0.69996035099029541 -0.024741478264331818  0.014652962796390057   0.71360260248184204,  0.0016167158028110862    0.046013027429580688 -7.0623573265038431e-05,-0.0024489476345479488      1.566906213760376  0.0014546677703037858,  0.24419838190078735  0.029075521975755692  0.066952653229236603  0.029075521975755692   0.23276461660861969 -0.020247699692845345  0.066952653229236603 -0.020247699692845345   0.18825942277908325,   -1.0732482493667206   -0.32189844955698987    -1.0645999170080245    0.65411814011540059    0.55520980969170353    0.11843372303665944 3.1657545029872836e-05,0.031846210360527039
IIWA_7,1714992725.7413547,-0.44463739417635656   1.1249293511057532  0.03437447211186475  -1.2973775538175074  -1.9530154435624709  -1.8771967652162216 -0.91287735971996764,  0.022039376046883354 -0.0019287603080393823    0.15794916635122597   -0.08999435689342275 0.00091301932330439893    0.14361679226214608 0.00053397597120620846, -15.629591556549073   57.646805221557621   -11.09800609588623  -10.608517646789551  -1.0071488952636718   1.1377594718933106 -0.28035140991210938, 39.995387475838157  4.0955624392783578  23.794057007168981  -10.05465792581262  1.4930564634429457  3.1084371649782008 0.69555185782069096,  0.55641388893127441 -0.027235476300120354   0.21657498180866241, -0.69986265897750854 -0.024651769548654556  0.014660725370049477   0.71370130777359009, 0.0021406672894954681   0.053148150444030762 -0.0026429109275341034,-0.0024432276841253042     1.5671842098236084  0.0014581115683540702, 0.24419985711574554 0.028968704864382744 0.066979296505451202 0.028968704864382744  0.23283232748508453 -0.02016075886785984 0.066979296505451202 -0.02016075886785984  0.18822076916694641,   -1.0686841680760395   -0.32031265850740454    -1.0596948311230037    0.65216942609946926    0.55421941490774174    0.11843728367644246 3.1664042943191362e-05,0.036833681166172028
