DesiredFlux,0.619,HitTime,1714990653.5024581,DesiredPos,0.55057477951049805 0.32480370998382568   0.219084233045578
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714990652.9212012, -0.4560506306626616    1.073889555943663 0.027087404289449172  -1.3603335036170279  -1.9497899613093181  -1.8428227725244859 -0.92550741456257202, 0.00060503278672548839  2.3070030873953995e-05  0.00039149723697451644  -5.062806421740823e-06 -6.1983744403746861e-06  0.00015914043074998166  0.00016857434993695122,-0.34547217941284181   63.464718032836913  -2.6499284744262694   -15.89516897201538  -1.0951863861083984   1.7718876609802245 -0.28202016830444337,-0.059169935896055958    2.7996955581988416  -0.37191314153653371   -1.3208237840792514  0.071793633943223967    1.2251481373002659   0.74414668841783538,  0.54937094449996948 -0.028836309909820557   0.22536547482013702, -0.70917534828186035 -0.011519070714712143  0.001646020682528615   0.70493614673614502,6.7049644712824374e-05 0.00059933075681328773 4.9468308134237304e-05,0.00037373986560851336    0.89514195919036865 -0.0019498257897794247,  0.24652835726737976  0.026782840490341187  0.065791577100753784  0.026782840490341187   0.23295721411705017 -0.020402124151587486  0.065791577100753784 -0.020402124151587486   0.18793995678424835,  -0.98706133443915434   -0.33193580005885792    -1.0561808087743429    0.58479917814047155    0.49443447196573231   0.030499511724180195 1.2321185849373251e-05,0.00041842862265184522
IIWA_7,1714990652.9262247, -0.4560506306626616    1.073889795599186 0.027087883600495001  -1.3603336233902477  -1.9497900571278941  -1.8428219935622241 -0.92550663560031021, 0.00048402622938039074  2.8042245618451932e-05  0.00033237023141277828  -8.841173928857579e-06 -8.7914425908007578e-06  0.00015847083507217931  0.00016601797042175496,-0.31321018600463868    63.52655352020264  -2.6481677246093751   -15.89516897201538  -1.0907845115661621   1.7768939361572265 -0.28202016830444337,-0.05190542781869889   2.7990900587952683 -0.36694301317374944  -1.3191931921616162 0.073552171771067321   1.2262509947618687  0.74399604530695573,  0.54937106370925903 -0.028836486861109734    0.2253652811050415, -0.70917534828186035 -0.011518430896103382  0.001645965501666069   0.70493614673614502,5.7843015383696184e-05 0.00047240653657354414 3.1985706300474703e-05,0.00037367569166235626    0.89514189958572388 -0.0019497481407597661, 0.24652840197086334 0.026782752946019173 0.065791584551334381 0.026782752946019173  0.23295721411705017 -0.02040211483836174 0.065791584551334381 -0.02040211483836174  0.18793994188308716,  -0.98705816757682641   -0.33193610350679137    -1.0561786957099528    0.58479942585343281    0.49443287061201602    0.03049743810024097 1.2320768405515992e-05,0.00032985539291985333
IIWA_7,1714990652.931154,-0.45605051088944171   1.0738898554857959 0.027088962213972733  -1.3603336233902477  -1.9497899613093181  -1.8428212145999623 -0.92550573675574543, 0.00039201191230021844  2.4829260890494008e-05  0.00030904072423950258 -7.0729391430860635e-06 -3.2004110341395994e-06  0.00015793515852993744     0.00016876815892854,-0.27288269424438477   63.592421756744386  -2.6235172271728517   -15.89516897201538  -1.0969471359252929   1.7765601844787597 -0.28268767166137693, 23.658134176115531  3.0689300515808573  15.557111443298204 -6.8557535316556892 0.62466015030469235 0.43138262713821807 0.74386054726447315,  0.54937112331390381 -0.028836287558078766   0.22536507248878479, -0.70917540788650513 -0.011518040671944618   0.00164623255841434   0.70493608713150024,4.8800979129737243e-05 0.00038584988215006888  1.741594314808026e-05,0.00037367103504948318     0.8951418399810791 -0.0019497009925544262,  0.24652840197086334  0.026782678440213203  0.065791592001914978  0.026782678440213203   0.23295724391937256 -0.020402060821652412  0.065791592001914978 -0.020402060821652412   0.18793991208076477,  -0.98705514658803395    -0.3319351192132558    -1.0561753617492897    0.58479840756575641    0.49443215279865171   0.030496944692259831 1.2320608533400446e-05,0.00026921372045762837
IIWA_7,1714990652.9361577,-0.45602156896712048   1.0738910539815767 0.027125094674645987  -1.3603553148876069  -1.9497885231580145  -1.8428279257181854 -0.92550393917569895,  0.0014028119115062495  6.0474290051262424e-05   0.0016282238845273505 -0.00087218657541956427  5.7010886295815979e-05 -0.00017359879822484081  0.00017176588129609306,-0.32127568435668946   63.709371482849122  -3.0276093101501464  -15.630176124572754  -1.1330425071716308   1.8149416275024415 -0.28335517501831053, 23.659775916758317  3.0689440848890825  15.558037436086792 -6.8559955656421314  0.6246048994717821 0.43115252185067354 0.74379659314912494,  0.54937130212783813 -0.028835836797952652   0.22536511719226837, -0.70917528867721558 -0.011517894454300404 0.0016464341897517443   0.70493620634078979,4.6522247430402786e-05 0.00032669820939190686 1.5748100850032642e-05,0.00037362062721513212    0.89514189958572388 -0.0019495708402246237,  0.24652832746505737   0.02678259089589119   0.06579165905714035   0.02678259089589119   0.23295731842517853 -0.020401950925588608   0.06579165905714035 -0.020401950925588608   0.18793992698192596,  -0.98705134696963626   -0.33193310754686678    -1.0561700796172246    0.58479685408485693    0.49443151143968578   0.030497333904477841 1.2320652054143011e-05,0.00022845344210509211
IIWA_7,1714990652.9411979,-0.45557773315641836   1.0738912337504896 0.027638438877307273  -1.3605180606226199  -1.9497847841391578  -1.8428528529468948  -0.9255014224109176,  0.018875681957289801 5.5570188555684431e-05   0.021836347214073321 -0.0072075786608584557 0.00019516946330673665 -0.0011359681869555797 0.00023808329629116713, -9.2013893699646001     62.1392878036499  -9.4164900207519526  -13.082371139526368  -1.0634928894042968   2.0879505004882812 -0.31873285293579101, 23.660415431689998   3.068718421168156   15.55826753415608 -6.8559175928065264 0.62472463029385872 0.43109972233459548 0.74369740367350468,  0.54937142133712769 -0.028834765776991844   0.22536508738994598,  -0.7091749906539917 -0.011518093757331371  0.001647127908654511   0.70493650436401367,4.3699499656213447e-05 0.00030420464463531971 1.1485883078421466e-05,0.00037358852569013834    0.89514201879501343 -0.0019494350999593735,  0.24652819335460663  0.026782475411891937   0.06579175591468811  0.026782475411891937   0.23295746743679047 -0.020401744171977043   0.06579175591468811 -0.020401744171977043   0.18793991208076477,  -0.98704574255581434   -0.33192881701182841    -1.0561605497807491    0.58479356015173067    0.49443184921660333   0.030500639717878641 1.2321249798219469e-05,0.00021266790281515568
IIWA_7,1714990652.9461973,-0.45510082095656323   1.0738722386777417 0.028168501152541096  -1.3606482692752189  -1.9497815243877139  -1.8428435051815872 -0.92549483117499742,   0.034177033560036978 -0.00071534675906862887    0.038671568780611579    -0.01097440903264436   0.0002865256284007811 -0.00053486393726094529   0.0004541160738398346, -17.930947086334228   62.004862831115723  -13.539285717010499  -13.487343597412108 -0.91823102951049806   1.8736819229125976 -0.24697624206542967, 23.629313405959724  3.0671354287769179  15.530778874383767  -6.843828584351078 0.62761577243592437 0.44402929314815132 0.74243789052738418,  0.54936736822128296 -0.028804190456867218   0.22536939382553101, -0.70915931463241577  -0.01153265219181776 0.0016666079172864556    0.7049519419670105,-0.00012886896729469299   0.0014663919573649764   0.0001811807305784896,0.00037353383959271014    0.89514213800430298 -0.0019494530279189348,  0.24652655422687531  0.026781072840094566  0.065793074667453766  0.026781072840094566   0.23296162486076355 -0.020397517830133438  0.065793074667453766 -0.020397517830133438   0.18793782591819763,  -0.98695884288879654   -0.33183002308412313    -1.0559829570011559    0.58469989552278889    0.49446727201019058   0.030639742949034598 1.2349644862297282e-05,0.0010256065288558602
IIWA_7,1714990652.9511974,-0.45478881160959345   1.0738798487496126 0.028724149736443005  -1.3609094654335951  -1.9497835377995389  -1.8428448234505879 -0.92549153544795426,   0.039822000726821113 -0.00026787453241932887    0.053163198380565602   -0.019227373561166515  0.00014868402971896712 -0.00048062190983385548  0.00049512194079835443, -21.093966690063478   61.945715843200681  -13.747054195404052  -12.477553577423096  -1.0573302650451659   2.1153181381225585 -0.25331752395629881, 23.159945225201376  3.1092496551515478  15.108380128489658 -6.7447407703062305 0.64611875776821415  0.5983669100519321 0.74643120052730438,  0.54936152696609497 -0.028357315808534622   0.22544635832309723, -0.70898008346557617 -0.011800436303019524 0.0018946570344269276   0.70512717962265015,-0.00034394240356050432    0.019046952947974205   0.0032254266552627087,0.00037349344347603619    0.89514213800430298 -0.0019494262523949146,  0.24648155272006989  0.026762895286083221  0.065821520984172821  0.026762895286083221   0.23301991820335388 -0.020329967141151428  0.065821520984172821 -0.020329967141151428   0.18792806565761566,  -0.98579391797581906   -0.33027895877513203    -1.0532983155853159    0.58337398764951587    0.49499305901612445   0.032514854410692351 1.2727321418992688e-05,0.013359659351408482
IIWA_7,1714990652.9561958,-0.45463846949324205   1.0738681640975198 0.029422650356211374  -1.3612493379803254  -1.9497777853688574  -1.8428521338712429 -0.92548937833008194,   0.037871285235512829 -0.00068168570964668182    0.070470583495187283   -0.028976800718144853  0.00034904445103803354 -0.00067691435406904213  0.00048238226753170925, -19.447260776519776   61.003396785736086  -11.089202346801757  -12.477553577423096  -0.6849316787719727   1.8476492919921874 -0.27067261123657227,  22.75953980483002  3.1694573651765356  14.742775565657032 -6.6856069904877407 0.65448236942365978 0.72646149994056675 0.75721008006901647,  0.54937303066253662 -0.027891762554645538    0.2255350649356842, -0.70881360769271851 -0.012092535383999348 0.0021123872138559818   0.70528900623321533,0.00016505375970155001   0.033857803791761398  0.0061334050260484219, 0.0003735243808478117    0.89521616697311401 -0.0019495874876156449,  0.24642787873744965   0.02674468606710434  0.065854035317897797   0.02674468606710434    0.2330794483423233 -0.020257897675037384  0.065854035317897797 -0.020257897675037384   0.18792545795440674, -0.98461842364816476  -0.32863289263485029   -1.0504927209149528   0.58199585087681527   0.49553201615193387  0.034388928385808981 1.310210517857513e-05,0.023790454491972923
IIWA_7,1714990652.9611952,-0.45452755556460706   1.0738585766766893 0.030417340985858663  -1.3616744783694956  -1.9497784564479548  -1.8428493774509387 -0.92548692156099355,   0.034733585333809963 -0.00092884540094015269    0.096164091982041372   -0.040187056141323348  0.00025239239693430931 -0.00043127467108609321  0.00048417657756089143, -16.133685203552247   60.733202590942383  -10.644613018035889  -12.384233837127685 -0.95872827529907223   1.8329642181396484 -0.28435643005371092, 22.519777805572936  3.1457084070654751  14.489432224387892   -6.58115428387047 0.68715405466785606  0.8325442436111149 0.74395750654268333,   0.5493394136428833 -0.027488697320222855   0.22559596598148346, -0.70861482620239258 -0.012289377860724926 0.0023269937373697758   0.70548468828201294,-0.0012390137417241931    0.04320429265499115  0.0073507023043930531,0.00038183591095730662    0.89528661966323853 -0.0020022939424961805,  0.24639831483364105  0.026717809960246086  0.065877050161361694  0.026717809960246086   0.23313629627227783 -0.020195461809635162  0.065877050161361694 -0.020195461809635162   0.18790411949157715,  -0.98314828486856243    -0.3272638328821742    -1.0477779707107615    0.58074185613499196    0.49587931829542242   0.036083199843162106 1.3453539615682075e-05,0.030310401692986488
IIWA_7,1714990652.9661992,-0.45435300529519818   1.0738493489027678 0.031646982385255512  -1.3621959719507668  -1.9497800862364103  -1.8428345769497987 -0.92548386559855633,  0.034768879043403159 -0.0011121872776092216    0.12611692956150705  -0.053009388163905956 0.00013672237932640417 0.00024700030873112008 0.00050957975953731577, -15.200775894165039   59.746523292541504   -11.47832805633545  -12.466108703613282 -0.99658439636230467   1.9184046478271484 -0.29537023544311525, 22.384714024580749  3.1518510254262626  14.243987159059028 -6.4944395190432553 0.70541813531652531 0.94168701912465702 0.72773683238738329,   0.5492897629737854 -0.027114437893033028    0.2256837785243988, -0.70836454629898071 -0.012454709969460964 0.0025061636697500944   0.70573246479034424,-0.0030035756062716246   0.049526792019605637  0.0094069438055157661,0.00038359998143278062     0.8952864408493042 -0.0020591150969266891,  0.24637302756309509  0.026681341230869293  0.065901480615139008  0.026681341230869293   0.23319448530673981 -0.020132988691329956  0.065901480615139008 -0.020132988691329956   0.18787886202335358,  -0.98131556759639693   -0.32600178469799346    -1.0448467969501607    0.57956100869382965    0.49605943286668008    0.03772473780649932 1.3810890209242643e-05,0.034911360591650009
