DesiredFlux,0.506,HitTime,1714990369.60271,DesiredPos,  0.553905189037323  0.3227272629737854 0.21924006938934326
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714990368.9435463,-0.48450076119763069   1.0883513396176385 0.022787704083018608  -1.3550093917872839  -1.9450871595970476  -1.8469079550761354 -0.93726100301573612,-5.7555425695909574e-05 -1.7472826324327789e-06 -9.4957440176285377e-06 -1.5922916100445923e-06  1.1741307778992632e-06 -8.5118047619572254e-06  4.1764671862335142e-06, 0.23121095275878906   63.693240486145022  -1.7686731910705566  -15.763993110656738   -1.110152759552002   1.9721386680603028 -0.26833634948730467, -0.28373191894586264    0.3076420241897575  -0.66532187480337157 -0.057353023199129063  -0.30800000125797722  -0.21735968162781522   0.83339264987598394,  0.54824191331863403 -0.045930895954370499   0.21944145858287811,  -0.70685279369354248 -0.0014175467658787966  -0.010676247999072075    0.70727866888046265,2.2673629018754582e-07 1.7178198277179035e-06 1.0689731197999208e-06,  0.0012584351934492588     0.73001837730407715 -4.4747805077349767e-05,  0.24958342313766479  0.026040704920887947  0.064644895493984222  0.026040704920887947   0.23118861019611359 -0.022752707824110985  0.064644895493984222 -0.022752707824110985   0.18650941550731659, -0.97455210414754134  -0.39703566726245754   -1.1117856360245426   0.64667356331327142   0.45955654032781013 -0.029482290337945471 4.877555248583576e-06,1.4111698192209587e-06
IIWA_7,1714990368.9485486,-0.48450201947093829   1.0883513396176385 0.022787404431802657  -1.3550093917872839  -1.9450872555901564  -1.8469080749584383 -0.93726088324251622,-9.6375272860837791e-05 -1.3978261059462232e-06 -1.9582643852160243e-05 -1.2738332880356739e-06 -2.9004197294868289e-06  -1.160473592850781e-05   8.132102544892624e-06, 0.22717820358276367   63.695928985595707  -1.7730750656127929  -15.763993110656738  -1.1083920097351074   1.9728061714172362 -0.26833634948730467,     20.629685142006   2.7854905869921462   12.516101900443168  -6.0129180180482722 -0.68987983897761174 -0.40600278340996776  0.83335012020182508,  0.54824179410934448 -0.045931797474622726   0.21944144368171692,  -0.70685279369354248 -0.0014169295318424702  -0.010676790028810501    0.70727866888046265,-4.5526126086770091e-06 -3.4723496355582029e-05  5.5565692491654772e-07,  0.0012584620853886008     0.73001837730407715 -4.4748292566509917e-05,  0.24958352744579315  0.026040671393275261  0.064644850790500641  0.026040671393275261   0.23118853569030762 -0.022752817720174789  0.064644850790500641 -0.022752817720174789    0.1865094006061554,  -0.97455159925718959   -0.39703912705046918    -1.1117885128264504    0.64667648628802255    0.45955461717728241  -0.029485587591970841 4.8770969485190108e-06,2.4277014745166525e-05
IIWA_7,1714990368.9535482,-0.48447373673765898   1.0883564328156452 0.022821619430126443  -1.3550326412091667  -1.9450883101180905  -1.8469101721897008 -0.93726088324251622,  0.0010542091128839994  0.00020260965938237018   0.0013529338178697083 -0.00093099594194280566 -4.4501453147016241e-05 -9.3173039240099475e-05  6.5056820359140997e-06,0.0013442497253417969    63.630060749053953   -2.2977785110473632   -15.484914264678954   -1.1189565086364746    1.9821512184143066  -0.26933760452270505,     20.629685142006   2.7854905869921462   12.516101900443168  -6.0129180180482722 -0.68987983897761174 -0.40600278340996776  0.83335012020182508,  0.54824179410934448 -0.045931797474622726   0.21944144368171692,  -0.70685279369354248 -0.0014169295318424702  -0.010676790028810501    0.70727866888046265,-4.5526126086770091e-06 -3.4723496355582029e-05  5.5565692491654772e-07, 0.0012584620853886008    0.73001831769943237 -4.474828892853111e-05,  0.24958352744579315  0.026040671393275261  0.064644850790500641  0.026040671393275261   0.23118853569030762 -0.022752817720174789  0.064644850790500641 -0.022752817720174789    0.1865094006061554,  -0.97455159925718959   -0.39703912705046918    -1.1117885128264504    0.64667648628802255    0.45955461717728241  -0.029485587591970841 4.8770969485190108e-06,2.4277014745166525e-05
IIWA_7,1714990368.9585478,-0.48388615015560871   1.0884017332727129 0.023514127898240405  -1.3551959861375285  -1.9451021160215396  -1.8469188607659663 -0.93725962486012548,   0.024346830572318005   0.0019741060102156116    0.028782685778854254  -0.0072785938880256867 -0.00058783730048268053 -0.00042208148201486903  5.5539841258098066e-05,-12.121099773406982  61.231919239044188 -11.419342937469482 -12.796249294281006 -1.0511676406860351  2.2434787826538085 -0.2746776313781738,  20.630415507406493   2.7854336462549081   12.516549632995462  -6.0129659904841688 -0.68988267406270665 -0.40614100161712546   0.8333038448082718,  0.54824167490005493 -0.045932590961456299   0.21944139897823334,  -0.70685285329818726 -0.0014163932064548135  -0.010677137412130833    0.70727860927581787,-8.1554653661441989e-06 -5.9536363551160321e-05 -1.4707128457303043e-06, 0.0012585173826664686    0.73001831769943237 -4.474931483855471e-05,  0.24958360195159912  0.026040669530630112  0.064644806087017059  0.026040669530630112   0.23118844628334045 -0.022752923890948296  0.064644806087017059 -0.022752923890948296    0.1865093857049942,  -0.97455216699326996    -0.3970421915928668    -1.1117919068057702    0.64667909735227624    0.45955334354452759    -0.0294883626681397 4.8766741755912335e-06,4.1664425225462765e-05
IIWA_7,1714990368.963547, -0.4833045557252128   1.0883972391589722 0.024102433446859452  -1.3552854484424934  -1.9451124703618599  -1.8469237743041431 -0.93725698832212423,   0.042741241673690575   0.0013995202585442863    0.046558370567845273  -0.0094013673090198417 -0.00088444345319663121 -0.00053420671268294322  0.00014989339305667695, -23.302568988800047   61.714504890441894  -15.956795215606689  -13.468855724334716 -0.50621557235717773   1.9464397888183593  -0.2249486312866211,  19.976021465486408   2.8147637067036215   11.936752704533932  -5.8788165509039736 -0.65723665973509937 -0.21584356350633838  0.83663216580592636,  0.54826045036315918 -0.045311618596315384   0.21952535212039948,  -0.70661169290542603 -0.0017868945142254233  -0.010362504981458187    0.70752334594726562,0.0007631408516317606   0.02455085888504982 0.0033562751486897469,   0.001258517149835825     0.73001819849014282 -4.4749311200575903e-05,  0.24952083826065063  0.026019249111413956  0.064687930047512054  0.026019249111413956   0.23127155005931854 -0.022658707574009895  0.064687930047512054 -0.022658707574009895   0.18649348616600037,  -0.97304862284897098   -0.39466600409721053    -1.1080435195847116    0.64464549310816466    0.46035545547074008  -0.026823468508574422 5.3368598429415215e-06,0.017181521281599998
IIWA_7,1714990368.9685462, -0.4830422809533586   1.0884150956225493 0.024525296835854239  -1.3554707245237374  -1.9451088271615793  -1.8469403124987196 -0.93725656889768827,   0.044683984213120399   0.0018338747499195855    0.054161232014067688   -0.014932137096974593 -0.00056182675133460399  -0.0010888931532054117   0.0001366916918837457,  -23.17620951461792   61.714504890441894  -13.911684303283691  -13.085892639160155  -1.0617321395874024   2.1770621986389158 -0.23195741653442384,  19.976021594062697   2.8147634324775539   11.936752894398625  -5.8788157838725299 -0.65723616803892804 -0.21584315921926428  0.83663216580592636,  0.54826045036315918 -0.045311618596315384   0.21952535212039948,  -0.70661169290542603 -0.0017868945142254233  -0.010362504981458187    0.70752334594726562,0.0007631408516317606   0.02455085888504982 0.0033562751486897469,  0.0012587106321007013      0.7300986647605896 -4.4745309423888102e-05,  0.24952083826065063  0.026019249111413956  0.064687930047512054  0.026019249111413956   0.23127155005931854 -0.022658707574009895  0.064687930047512054 -0.022658707574009895   0.18649348616600037,  -0.97304862284897098   -0.39466600409721053    -1.1080435195847116    0.64464549310816466    0.46035545547074008  -0.026823468508574422 5.3368598429415215e-06,0.017181521281599998
IIWA_7,1714990368.9735451,-0.48293717929838204   1.0884249226989027  0.02507788945731898  -1.3557352762957668  -1.9451202362043667  -1.8469636218072123 -0.93725614947325242,   0.039951253569559093   0.0018601828540688826    0.065432690469843818   -0.022527780558757361 -0.00090582311256378364  -0.0018034868622724392  0.00012613033094095979, -17.964553329467773   61.402638954162597  -8.6426404762268056  -12.675637931823731 -0.35567146301269531   1.8272904396057128 -0.24163621520996093,   19.518007211753339    2.8939557423626145    11.529072357815441   -5.8318378066996379  -0.65187336168841437 -0.076785516607867754   0.85429591158808837,  0.54830151796340942 -0.044774863868951797   0.21962541341781616,  -0.70643383264541626 -0.0021477658301591873  -0.010113080032169819    0.70770353078842163,0.0022226690780371428  0.041109662503004074 0.0066937836818397045,   0.001250941539183259     0.73009872436523438 -6.3222061726264656e-05,  0.24945411086082458  0.026007732376456261  0.064729735255241394  0.026007732376456261   0.23133993148803711 -0.022576719522476196  0.064729735255241394 -0.022576719522476196   0.18649409711360931,  -0.97204089168734242   -0.39258294761701507     -1.104986558671861    0.64292539098165236    0.46112045073432029  -0.024563733419746825 5.7198832337235217e-06,0.02890496514737606
IIWA_7,1714990368.9785466,-0.48277395414324009   1.0884335513885584 0.025952258506413795  -1.3560776057206685  -1.9451074848288517  -1.8469851335356586 -0.93725614947325242,   0.038490009061325034   0.0018332938694821631    0.087320914339667655   -0.031715401443071653 -0.00021460346944938622  -0.0023032586276712664  0.00010090426475276784, -13.466693748474121   61.184870498657226  -8.3019353866577141  -12.619293937683105 -0.72718967437744142   1.9317547149658203 -0.24897875213623047,  19.361412224476439   2.8507810749979932   11.255650572945633  -5.6952171733895796 -0.60751028984037347 0.063806502169448623  0.82740408607628402,   0.5482526421546936 -0.044166851788759232   0.21973437070846558,  -0.70607560873031616 -0.0024370490573346615 -0.0098006473854184151    0.70806437730789185,-0.00046520621981471777    0.048070825636386871   0.0082860235124826431,  0.0012510551605373621     0.73016506433486938 -6.3227802456822246e-05,  0.24941064417362213  0.025965193286538124  0.064768761396408081  0.025965193286538124   0.23143287003040314 -0.022480638697743416  0.064768761396408081 -0.022480638697743416   0.18645472824573517,  -0.96967010807080811    -0.3903419812747444    -1.1006519147480631    0.64083296278649726    0.46162939218952204  -0.021801287116929302 6.2301097614181344e-06,0.033801384270191193
IIWA_7,1714990368.9835708,-0.48245996755639398   1.0884324128884708 0.027035512596461187  -1.3565251565737666  -1.9451193733135845  -1.8469862720357462 -0.93725584982203647,   0.043351470722904656   0.0014210950920841875     0.11318689507362981   -0.043274355278381763 -0.00064722216487472502  -0.0018881469056385562  9.2709460440271695e-05, -13.379317516326905   60.327239173889161  -10.742334632873535  -12.803292293548584  -1.0353208923339843    2.030545211791992 -0.24630873870849609,  19.183671800593629   2.8858560217339768   10.933243768368651  -5.6183133647033623 -0.60090835541949972  0.19126269450954847  0.81660624788223346,   0.5482250452041626 -0.043722759932279587   0.21984994411468506,  -0.70576661825180054 -0.0026554618962109089 -0.0096143549308180809    0.70837420225143433,-0.0015132587868720293   0.056211043149232864   0.011273479089140892, 0.0012338529340922832    0.73025506734848022 -8.484756835969165e-05,  0.24937254190444946   0.02592569962143898  0.064804144203662872   0.02592569962143898   0.23150447010993958 -0.022404856979846954  0.064804144203662872 -0.022404856979846954   0.18642917275428772,  -0.96759533338275361   -0.38867842657275276    -1.0971131297221604    0.63932100558439231    0.46187453832136072  -0.019767643536283686 6.6207679338958769e-06,0.039734717458486557
IIWA_7,1714990368.9885461,-0.48206550678298155   1.0884224659298143 0.028146689881962002  -1.3570776893086214  -1.9451180309808569  -1.8469851335356586 -0.93725584982203647,   0.050459607514820946  0.00073899772740631197     0.13499660747893646   -0.056720793616896713 -0.00046408442279423975   -0.001464977521009302  7.4167568352217364e-05, -15.050219924926758    59.87019426727295  -11.796143398284912  -12.340215091705321 -0.55727731704711914   2.0332152252197266 -0.24864500045776367,  18.864898338504283   2.9085922678569234   10.506561187901957  -5.5015688017033337 -0.57492962834368222  0.35597440849321582  0.80323255640037095,  0.54818862676620483 -0.043108690530061722   0.21998746693134308,  -0.70539456605911255  -0.002961297519505024 -0.0093348827213048935    0.70874720811843872,-0.0027263404335826635    0.06951739639043808   0.014554664492607117,  0.0012583322823047638     0.73032432794570923 -0.00011003806866938248,  0.24932008981704712  0.025877887383103371  0.064849406480789185  0.025877887383103371   0.23160000145435333 -0.022302765399217606  0.064849406480789185 -0.022302765399217606   0.18639659881591797,  -0.96501265325521501   -0.38637504108329779    -1.0924934965537147    0.63720446062909275    0.46230828408777569  -0.017030083888869285 7.1309331772795304e-06,0.049238868057727814
