RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714990680.5503366,  0.547496497631073 0.43860858678817749 0.31883201003074646,-0.49108296632766724  0.50938159227371216  0.50423508882522583 -0.49509081244468689,  0.547496497631073 0.43860858678817749 0.31883201003074646,-0.49108296632766724  0.50938159227371216  0.50423508882522583 -0.49509081244468689
1714990680.555362,0.54750573635101318 0.43859830498695374 0.31884235143661499,-0.49107253551483154  0.50939798355102539   0.5042455792427063 -0.49507361650466919,0.54750573635101318 0.43859830498695374 0.31884235143661499,-0.49107253551483154  0.50939798355102539   0.5042455792427063 -0.49507361650466919
1714990680.5603366,0.54749327898025513 0.43862202763557434 0.31885340809822083,-0.49107185006141663  0.50942748785018921  0.50419658422470093 -0.49509382247924805,0.54749327898025513 0.43862202763557434 0.31885340809822083,-0.49107185006141663  0.50942748785018921  0.50419658422470093 -0.49509382247924805
1714990680.5653374,0.54750806093215942 0.43860775232315063  0.3188621997833252,-0.49111592769622803  0.50938326120376587  0.50424033403396606  -0.4950510561466217,0.54750806093215942 0.43860775232315063  0.3188621997833252,-0.49111592769622803  0.50938326120376587  0.50424033403396606  -0.4950510561466217
1714990680.5703485,0.54748618602752686 0.43864285945892334 0.31883090734481812, -0.4910702109336853  0.50940340757369995  0.50422734022140503 -0.49508887529373169,0.54748618602752686 0.43864285945892334 0.31883090734481812, -0.4910702109336853  0.50940340757369995  0.50422734022140503 -0.49508887529373169
1714990680.575299,0.54750043153762817 0.43863251805305481 0.31881800293922424,-0.49103939533233643  0.50942718982696533  0.50420784950256348 -0.49511486291885376,0.54750043153762817 0.43863251805305481 0.31881800293922424,-0.49103939533233643  0.50942718982696533  0.50420784950256348 -0.49511486291885376
1714990680.5802956,0.54745703935623169  0.4386962354183197 0.31879764795303345,-0.49107375741004944  0.50940883159637451  0.50418347120285034  -0.4951244592666626,0.54745703935623169  0.4386962354183197 0.31879764795303345,-0.49107375741004944  0.50940883159637451  0.50418347120285034  -0.4951244592666626
1714990680.5853441, 0.5474323034286499 0.43878817558288574 0.31876221299171448,-0.49109125137329102   0.5094066858291626   0.5041462779045105 -0.49514716863632202, 0.5474323034286499 0.43878817558288574 0.31876221299171448,-0.49109125137329102   0.5094066858291626   0.5041462779045105 -0.49514716863632202
1714990680.5903406,0.54742622375488281 0.43886783719062805 0.31873401999473572,-0.49103900790214539  0.50939291715621948  0.50413459539413452 -0.49522510170936584,0.54742622375488281 0.43886783719062805 0.31873401999473572,-0.49103900790214539  0.50939291715621948  0.50413459539413452 -0.49522510170936584
1714990680.5953958,0.54723674058914185  0.4387093186378479  0.3194466233253479,-0.49141797423362732  0.50942844152450562  0.50412583351135254 -0.49482139945030212,0.54723674058914185  0.4387093186378479  0.3194466233253479,-0.49141797423362732  0.50942844152450562  0.50412583351135254 -0.49482139945030212
1714990680.6003687,0.54717546701431274 0.43879348039627075  0.3194139301776886,-0.49143391847610474  0.50953316688537598  0.50400090217590332 -0.49482494592666626,0.54717546701431274 0.43879348039627075  0.3194139301776886,-0.49143391847610474  0.50953316688537598  0.50400090217590332 -0.49482494592666626
1714990680.6053443,0.54751938581466675 0.43887180089950562 0.31874698400497437,-0.49099960923194885  0.50971287488937378  0.50391870737075806 -0.49515461921691895,0.54751938581466675 0.43887180089950562 0.31874698400497437,-0.49099960923194885  0.50971287488937378  0.50391870737075806 -0.49515461921691895
1714990680.6103697,0.54744654893875122 0.43896743655204773 0.31861090660095215,-0.49094977974891663  0.50967788696289062   0.5039713978767395   -0.495186448097229,0.54744654893875122 0.43896743655204773 0.31861090660095215,-0.49094977974891663  0.50967788696289062   0.5039713978767395   -0.495186448097229
1714990680.6153221,0.54746133089065552 0.43896102905273438 0.31858691573143005,-0.49093374609947205   0.5097307562828064  0.50396132469177246 -0.49515813589096069,0.54746133089065552 0.43896102905273438 0.31858691573143005,-0.49093374609947205   0.5097307562828064  0.50396132469177246 -0.49515813589096069
1714990680.6203401,0.54719942808151245 0.43877679109573364  0.3194250762462616,-0.49141749739646912   0.5097198486328125  0.50394541025161743 -0.49470549821853638,0.54719942808151245 0.43877679109573364  0.3194250762462616,-0.49141749739646912   0.5097198486328125  0.50394541025161743 -0.49470549821853638
1714990680.6253362,0.54716503620147705 0.43881583213806152 0.31941744685173035,-0.49142038822174072  0.50973391532897949  0.50389009714126587 -0.49474447965621948,0.54716503620147705 0.43881583213806152 0.31941744685173035,-0.49142038822174072  0.50973391532897949  0.50389009714126587 -0.49474447965621948
1714990680.6303589, 0.5474708080291748 0.43845072388648987 0.31920740008354187,-0.49125707149505615  0.50955653190612793  0.50429803133010864 -0.49467375874519348, 0.5474708080291748 0.43845072388648987 0.31920740008354187,-0.49125707149505615  0.50955653190612793  0.50429803133010864 -0.49467375874519348
