RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714992384.1354487,0.57289820909500122   0.777657151222229  0.3173881471157074,-0.24178396165370941  0.66676938533782959   0.6608089804649353 -0.24554149806499481,0.57289820909500122   0.777657151222229  0.3173881471157074,-0.24178396165370941  0.66676938533782959   0.6608089804649353 -0.24554149806499481
1714992384.1504459,0.57108396291732788 0.79018580913543701  0.3172624409198761,-0.26049351692199707  0.65901142358779907    0.653739333152771 -0.26546549797058105,0.57108396291732788 0.79018580913543701  0.3172624409198761,-0.26049351692199707  0.65901142358779907    0.653739333152771 -0.26546549797058105
1714992384.1554461, 0.5703890323638916 0.79531538486480713 0.31729352474212646,-0.26851668953895569  0.65575122833251953  0.65043026208877563 -0.27354991436004639, 0.5703890323638916 0.79531538486480713 0.31729352474212646,-0.26851668953895569  0.65575122833251953  0.65043026208877563 -0.27354991436004639
1714992384.1604471,0.56969475746154785 0.80055391788482666 0.31728732585906982,-0.27655673027038574  0.65237587690353394  0.64692991971969604 -0.28178673982620239,0.56969475746154785 0.80055391788482666 0.31728732585906982,-0.27655673027038574  0.65237587690353394  0.64692991971969604 -0.28178673982620239
1714992384.1654451,0.56896895170211792 0.80585980415344238 0.31723856925964355, -0.2849191427230835  0.64863312244415283  0.64350605010986328 -0.28982079029083252,0.56896895170211792 0.80585980415344238 0.31723856925964355, -0.2849191427230835  0.64863312244415283  0.64350605010986328 -0.28982079029083252
1714992384.1754451,0.56809103488922119 0.81383055448532104 0.31703081727027893,-0.29659685492515564  0.64320957660675049  0.63782840967178345 -0.30246761441230774,0.56809103488922119 0.81383055448532104 0.31703081727027893,-0.29659685492515564  0.64320957660675049  0.63782840967178345 -0.30246761441230774
1714992384.1804492,0.56761234998703003  0.8190339207649231 0.31717544794082642,-0.30461648106575012  0.63913130760192871   0.6340373158454895  -0.3109930157661438,0.56761234998703003  0.8190339207649231 0.31717544794082642,-0.30461648106575012  0.63913130760192871   0.6340373158454895  -0.3109930157661438
1714992384.1854458,0.56705915927886963 0.82439279556274414 0.31715905666351318, -0.3128400444984436  0.63520866632461548  0.62998813390731812 -0.31899213790893555,0.56705915927886963 0.82439279556274414 0.31715905666351318, -0.3128400444984436  0.63520866632461548  0.62998813390731812 -0.31899213790893555
1714992384.1904464,0.56653505563735962 0.82970976829528809 0.31717768311500549,-0.32080662250518799  0.63131201267242432  0.62565964460372925 -0.32722824811935425,0.56653505563735962 0.82970976829528809 0.31717768311500549,-0.32080662250518799  0.63131201267242432  0.62565964460372925 -0.32722824811935425
1714992384.2004461,0.56570726633071899 0.83766639232635498 0.31714236736297607,-0.33327808976173401  0.62514132261276245  0.61902272701263428 -0.33902055025100708,0.56570726633071899 0.83766639232635498 0.31714236736297607,-0.33327808976173401  0.62514132261276245  0.61902272701263428 -0.33902055025100708
1714992384.2054472,0.56522881984710693 0.84295010566711426 0.31715470552444458,-0.34181290864944458  0.62069809436798096  0.61455607414245605 -0.34672558307647705,0.56522881984710693 0.84295010566711426 0.31715470552444458,-0.34181290864944458  0.62069809436798096  0.61455607414245605 -0.34672558307647705
1714992384.2104452,0.56477540731430054 0.84807956218719482 0.31717440485954285,-0.34952220320701599  0.61594283580780029   0.6105455756187439 -0.35451763868331909,0.56477540731430054 0.84807956218719482 0.31717440485954285,-0.34952220320701599  0.61594283580780029   0.6105455756187439 -0.35451763868331909
1714992384.2154424,0.56436365842819214 0.85316681861877441 0.31714749336242676, -0.3577277660369873  0.61118650436401367  0.60610389709472656 -0.36210492253303528,0.56436365842819214 0.85316681861877441 0.31714749336242676, -0.3577277660369873  0.61118650436401367  0.60610389709472656 -0.36210492253303528
1714992384.2254012,0.56369209289550781 0.86081069707870483 0.31710752844810486, -0.3693082332611084  0.60428535938262939  0.59920573234558105 -0.37336724996566772,0.56369209289550781 0.86081069707870483 0.31710752844810486, -0.3693082332611084  0.60428535938262939  0.59920573234558105 -0.37336724996566772
1714992384.2354467,0.56286150217056274 0.87077623605728149 0.31715574860572815,-0.38411670923233032  0.59516441822052002  0.58974981307983398 -0.38785159587860107,0.56286150217056274 0.87077623605728149 0.31715574860572815,-0.38411670923233032  0.59516441822052002  0.58974981307983398 -0.38785159587860107
