DesiredFlux,1,HitTime,1714995716.2483368,DesiredPos,  0.5267520546913147 -0.31563419103622437  0.19804039597511292
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714995715.695508, 0.57153907075778487   1.0776862183348315 -0.14288413847098011  -1.5183056014647123  -1.0557561412736911   1.6839601268618729 -0.54708549953653829, 8.4159919191411085e-06 -3.4529043692321189e-06 -1.4267131216376643e-06 -6.6967452927310311e-06 -9.9034453857670223e-07 -0.00010032689798978296 -2.1586419692175241e-06,-1.9495749359130861  66.190383872985848  5.3958183975219729 -13.019058589935304  1.1893865013122558 -1.9477747955322267 0.24764374542236328,  0.1944550453996608   2.6685527606225965  -1.7933069386499105    1.017821227394387  -1.1818107597380858 -0.29086557969072141  0.17664077030177219,0.51638323068618774 0.03281281515955925 0.20897816121578217, 0.51589673757553101 -0.50865811109542847  0.48709890246391296  0.48770081996917725, 1.4530834960169159e-05    7.79121728555765e-06 -1.9389237422728911e-05, 0.013797194696962833   -1.4539271593093872 -0.014554263092577457,  0.25342744588851929 -0.014014435932040215  0.062941551208496094 -0.014014435932040215    0.2371099442243576  0.023051902651786804  0.062941551208496094  0.023051902651786804   0.17525124549865723,    0.4983152908009103   -0.44758751971851751     0.8444863573311423    0.41250176251050874  -0.077551408596221449   0.081992156012233863 2.6645352591003757e-12,1.7503842173027806e-05
IIWA_14,1714995715.700506, 0.57153913064439488   1.0776863381080515 -0.14288431823989306  -1.5183054815824093  -1.0557561412736911    1.683959647441744 -0.54708549953653829, 9.1282579354862409e-06  2.0286053049610102e-06 -8.3321270153152907e-06 -5.6210411524279594e-07 -7.9227563086136181e-07 -9.9438323548999163e-05 -1.7269135753740194e-06,-1.9521469345092775  66.216103858947761  5.4011953964233399 -13.037878086090087   1.186745376586914 -1.9461060371398926 0.24897875213623047, 0.19448162690788673   2.6685401999256708  -1.7933101466245134   1.0178329225939733  -1.1818174317534151 -0.29085555709000244  0.17664036910551673, 0.51638329029083252 0.032812818884849548    0.208978071808815, 0.51589691638946533 -0.50865817070007324  0.48709887266159058  0.48770067095756531, 1.3898673387302551e-05  6.4368032326456159e-06 -1.9307552065583877e-05, 0.013796963728964329   -1.4539271593093872 -0.014553924091160297, 0.25342744588851929 -0.01401442289352417 0.062941551208496094 -0.01401442289352417   0.2371099442243576 0.023051882162690163 0.062941551208496094 0.023051882162690163  0.17525124549865723,   0.49831479994111305   -0.44758713375081527    0.84448559662497757     0.4125013580180692  -0.077551351931326451   0.081992973774980271 4.4408920985006262e-12,1.6949185010162182e-05
IIWA_14,1714995715.7055309, 0.57153913064439488   1.0776862782214414 -0.14288401869776018  -1.5183054815824093  -1.0557559496365394   1.6839593478996111 -0.54708531976762531,  7.302606348388993e-06 -7.7258016064543662e-07  5.3159837027689627e-06  -4.496832921942368e-07  7.0316655634311411e-06 -9.1532344154220534e-05   5.809225658816167e-06,-1.9495749359130861  66.221247856140138  5.4025396461486812 -13.051320583343506  1.1885061264038086 -1.9464397888183593 0.24964625549316405,-52.450184473641883  9.5928279316520779 -38.809101799603049 -20.223803110154108 -1.0440283436071827  2.4689838311348979 0.17666276073482623, 0.51638323068618774 0.032812789082527161  0.20897798240184784, 0.51589703559875488 -0.50865817070007324   0.4870988130569458  0.48770061135292053, 1.0202881639997941e-05  3.8874286474310793e-06 -1.8524249753681943e-05, 0.013796838000416756   -1.4539270401000977 -0.014553875662386417,  0.25342747569084167 -0.014014407061040401  0.062941543757915497 -0.014014407061040401    0.2371099442243576   0.02305186539888382  0.062941543757915497   0.02305186539888382   0.17525123059749603,   0.4983142176717692  -0.44758679753975628   0.84448486463539751    0.4125009429918336 -0.077551280599941208  0.081993333052921002                     0,1.4787867257837206e-05
IIWA_14,1714995715.7105083, 0.57153217987064875   1.0776895139527916 -0.14289851954768423  -1.5183226190794179  -1.0557558536434304   1.6839712122115338 -0.54708549953653829,-0.00027218886476642045  0.00012881118987920163 -0.00057578120999972207 -0.00068585962697780911  9.4650568114329367e-06  0.00040134660158392142 -2.5433759920624486e-06,-1.8235470046997071  66.149231895446775  5.6068656044006344 -12.798601634979248  1.1911472511291503 -1.9818174667358399 0.24931250381469727,-52.450170794372688  9.5928333029149702 -38.809049681660575 -20.223828899623953 -1.0440202643063148  2.4690206134630888 0.17665431094561929, 0.51638334989547729 0.032812774181365967  0.20897789299488068, 0.51589709520339966 -0.50865817070007324  0.48709884285926819  0.48770046234130859, 1.1936676855839323e-05  2.5236347482859856e-06 -1.8715849364525639e-05, 0.013796644285321236   -1.4539271593093872 -0.014553636312484741,  0.25342747569084167 -0.014014385640621185  0.062941551208496094 -0.014014385640621185    0.2371099591255188  0.023051835596561432  0.062941551208496094  0.023051835596561432   0.17525123059749603,    0.4983134303113701    -0.4475862143866749    0.84448360835764902    0.41250041874985044  -0.077551128882191733    0.08199393171892666 8.8817841970012523e-13,1.5364748833235353e-05
IIWA_14,1714995715.7155359, 0.57139376206191317   1.0777398477212561 -0.14326284001207784  -1.5187243302777922  -1.0557571001575823   1.6842047248299796 -0.54708603884327722, -0.0057544634412363483   0.0021163996904844714   -0.015033443543744106   -0.016617135636553777 -4.2288520626774696e-05   0.0096615820191007923 -2.3606970350996105e-05,  6.165080635070801  62.352961967468268  11.250025951385497 -6.1660734901428222 0.89093940734863275 -2.9733937034606934  0.2960377388000488,-52.450262143741227  9.5928644269684185 -38.809227574535143 -20.223873169643976 -1.0440620608360316  2.4690511142691083 0.17663389689537021, 0.51638334989547729 0.032812889665365219  0.20897777378559113, 0.51589727401733398 -0.50865828990936279  0.48709872364997864  0.48770025372505188,8.7162552517838776e-06 6.6465904637880158e-06 -1.982097455766052e-05, 0.013796698302030563   -1.4539272785186768 -0.014553490094840527,  0.25342747569084167 -0.014014396816492081    0.0629415363073349 -0.014014396816492081    0.2371099442243576  0.023051844909787178    0.0629415363073349  0.023051844909787178   0.17525123059749603,  0.49831386220322571  -0.44758645224529658   0.84448413085436158   0.41250058678343748 -0.077551393895980425  0.081994943276875176                     0,1.5576997611788101e-05
IIWA_14,1714995715.7205069, 0.57134199014214515   1.0777301405272057 -0.14368911890133571  -1.5190386166249374  -1.0557714811470198     1.68444416971347 -0.54708759676780072,  -0.006674447543709789   0.0013048319903733051   -0.029077910405309843   -0.025865162395053182 -0.00060907039400191678    0.017307060954895415 -8.1202557220743965e-05, 10.385730331420898  61.108114646911623   13.96675464630127 -5.1592304458618168 0.58456893920898434 -2.7481113204956054 0.20992980575561523,-52.431685537799979  9.5867662559766433 -38.793027956850075 -20.211260198491264 -1.0465123645269567  2.4610431754348081 0.17844433622854061, 0.51637738943099976 0.032800432294607162  0.20898017287254333, 0.51588684320449829 -0.50865375995635986  0.48709830641746521   0.4877164363861084,-0.00022940980852581561 -0.00049297238001599908  8.0413432442583144e-05, 0.013796377927064896   -1.4539271593093872 -0.014553200453519821,  0.25342822074890137 -0.014013585634529591  0.062941402196884155 -0.014013585634529591   0.23711125552654266  0.023050246760249138  0.062941402196884155  0.023050246760249138   0.17524920403957367,   0.4982795258552386  -0.44754566272509066   0.84442216866964515   0.41246204974321188 -0.077558953779366391  0.081927519954838601                     0,0.00037800957215949893
IIWA_14,1714995715.7255077, 0.57130028506333641   1.0777269047958555 -0.14426238429329186  -1.5194754415571174  -1.0557714811470198   1.6848495360676305 -0.54708466057858351,  -0.007007761187317444  0.00091443633829092611   -0.046192944002493935   -0.038165127203242638 -0.00048725631520153342    0.030060302930338428  5.2485522911660719e-05, 13.611016571044923  61.895146217346195  14.941335697174072 -5.8743712997436521 0.91647027969360351 -2.9710574417114257 0.21860734939575197,-52.018384965084699  9.4599151628885814 -38.420165713778268 -19.936663917820642  -1.098061272993597  2.2862524245541906 0.21637989815804173, 0.51624935865402222 0.032515004277229309  0.20904518663883209, 0.51565062999725342 -0.50855505466461182  0.48709931969642639  0.48806807398796082,-0.0053072418086230755  -0.011808433569967747  0.0026676917914301157,  0.01379630621522665   -1.4539295434951782 -0.014552966691553593,  0.25344198942184448 -0.013993474654853344  0.062940716743469238 -0.013993474654853344   0.23714186251163483  0.023011097684502602  0.062940716743469238  0.023011097684502602   0.17520561814308167,  0.49743578422045687  -0.44657519822965952   0.84290105300066642   0.41153831426399279 -0.077704359687125191  0.080430789419771997                     0,0.0090901739895343781
IIWA_14,1714995715.7305348, 0.57127433921684245   1.0777320579895551 -0.14501145822796449  -1.5201108451428507   -1.055775699607822   1.6854271158044145  -0.5470863383854101, -0.0066440428096122637  0.00093767681861419588   -0.066917312588900504   -0.055948245191922853  -0.0005585434842504261    0.047151431815629224 -2.5123854734001428e-05, 14.848147895812989  61.655950347900394  14.279964832305907 -6.4053499412536619 0.76504579544067386 -2.8982995758056642 0.26099381256103515,-51.756755168372266  9.4199851585169512 -38.115673056589948 -19.780665182927041 -1.1146344963395214  2.1435771352926531 0.22919327787229618, 0.51616173982620239 0.032274030148983002  0.20916247367858887, 0.51539963483810425 -0.50847887992858887  0.48715505003929138  0.48835685849189758,-0.0077556939795613289  -0.019078755751252174  0.0068311602808535099,   0.0138106569647789   -1.4539293050765991 -0.014562929980456829,  0.25343871116638184 -0.013976622372865677  0.062949918210506439 -0.013976622372865677   0.23716934025287628  0.022976132109761238  0.062949918210506439  0.022976132109761238   0.17518164217472076,  0.49672174981818529  -0.44575847100158938     0.841539392837376    0.4107774157171562 -0.077757870725392308  0.079038431934463915                     0,0.014921310357749462
IIWA_14,1714995715.7355297, 0.57126073710240011    1.077728522606989 -0.14596720019910733  -1.5209423706130492   -1.055775699607822   1.6862595401191778 -0.54708663803662605, -0.0058593188253836491  0.00060872615225002224   -0.091763528916834119   -0.078019614961477912  -0.0004468347874003409    0.071018118043034151 -3.2085132425258559e-05, 13.757620491027833  61.414182479858404  13.813510177612304 -6.0450910148620602 0.70606067657470706  -2.904640857696533 0.27100636291503905,-51.432956917042638  9.3575727201977266 -37.730323739437729 -19.567941353361839 -1.1420834914146814   1.943211481693305 0.25000044136686372, 0.51602333784103394 0.031960293650627136  0.20932877063751221, 0.51504033803939819 -0.50836199522018433  0.48723524808883667  0.48877736926078796,-0.011750798672437668 -0.027796411886811256  0.012128478847444057, 0.013811714947223663   -1.4540407657623291 -0.014564043842256069,  0.25343728065490723 -0.013955515809357166  0.062959983944892883 -0.013955515809357166   0.23720575869083405  0.022933294996619225  0.062959983944892883  0.022933294996619225   0.17514662444591522,  0.49581949684629478  -0.44476221103106894   0.83983711452262355   0.40984562634882593 -0.077824629260980771  0.077030931059596242                     0,0.022364925593137741
IIWA_14,1714995715.7405314, 0.57123161541116596   1.0777287023759019 -0.14714524955673217  -1.5219340052802592  -1.0557754119775613   1.6872961155965467 -0.54708573919206127,  -0.005852322709672772  0.00049417167831469224    -0.12053279743846061     -0.1020810786575857 -0.00034596261949146448    0.098277513529183569   1.028567665092917e-05, 13.238076774597168  61.663666343688966  14.327013572692872 -5.6821435890197751 0.84956178665161131  -3.032801502227783 0.24096871185302735,-51.029723047206367  9.2546929247292073 -37.251314652046389 -19.275028527298598 -1.1810236273113623    1.67798684422146 0.28760125674958958, 0.51581436395645142 0.031551755964756012   0.2095457911491394, 0.51456820964813232 -0.50817281007766724  0.48734173178672791   0.4893648624420166,-0.017778215929865837 -0.038545288145542145  0.018408013507723808, 0.014415550976991653   -1.4540988206863403 -0.015139386989176273,  0.25344347953796387 -0.013925553299486637  0.062968306243419647 -0.013925553299486637   0.23725402355194092  0.022879414260387421  0.062968306243419647  0.022879414260387421   0.17509226500988007,      0.49455370107232    -0.4435182624202838    0.83761291286688078     0.4086499740978411  -0.077855497147893971   0.074295037967964106 1.7763568394002505e-12,0.031813200563192368
