DesiredFlux,1,HitTime,1714995724.6783359,DesiredPos, 0.52203363180160522 -0.28895455598831177  0.19817242026329041
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714995724.1378648, 0.55781060178616715   1.1880300104077963 -0.10033828252894862  -1.3653175030263525  -1.0632513631495353   1.8030205849658141 -0.58115916764248032, 0.00012225232883039482  -5.864435858935683e-06  1.6587049289452794e-05 -1.7484944223800897e-06  8.7569025205580564e-06 -3.4765322984434266e-06  2.0749233717955305e-05,-1.8158310089111329  68.494894615173337  4.5435640716552737 -14.534028030395508  1.1576930046081544 -2.2141086349487304 0.24497373199462891,  2.4962729319080919  -2.8878881744420313 -0.52019768473067252  -0.0832945682381286 -0.24172770567860435  0.65449927883532533   1.0224386134909975, 0.53256106376647949 0.059148058295249939  0.18764080107212067, 0.49701747298240662 -0.49926051497459412  0.48882210254669189   0.5145537257194519,-1.1299378456897102e-05  6.1433194787241518e-05 -6.2235635596152861e-06,-0.013746803626418114   -1.4475175142288208  0.013751803897321224,  0.25219547748565674 -0.019038544967770576  0.062627539038658142 -0.019038544967770576   0.23375876247882843  0.031761325895786285  0.062627539038658142  0.031761325895786285   0.17725874483585358,    0.69660739223209589    -0.61856923344905113      1.1744871509238308     0.64874183614627157   -0.090172031541158049   -0.029940425370078572 -8.8817841970012523e-13,4.336204074206762e-05
IIWA_14,1714995724.1428609,  0.5578116803996449   1.1880300702944064  -0.1003380428734257  -1.3653176229086554  -1.0632513631495353   1.8030204650835111 -0.58115898787356735, 0.00014094640217456728 -2.2960842825343019e-06  2.2855860348630524e-05  -6.194087656846101e-06  7.0055220164464451e-06  -7.576517957696771e-06  2.3790143493479629e-05,-1.8184030075073243  68.530902595520018  4.5502853202819828 -14.542093528747559  1.1541715049743653 -2.2124398765563966 0.24363872528076172,-52.196354390568537  7.7841604333136019 -34.298607895330626 -17.299200057700851 -1.2906013573920747 -1.4886636962414375  1.0224298369949145, 0.53256106376647949 0.059148602187633514  0.18764086067676544, 0.49701771140098572 -0.49926039576530457    0.488822340965271  0.51455336809158325,-9.9099397630197927e-06  7.0895359385758638e-05 -2.6331626941100694e-06,-0.013746608980000019   -1.4475173950195312  0.013751570135354996,  0.25219547748565674 -0.019038544967770576  0.062627516686916351 -0.019038544967770576   0.23375871777534485  0.031761389225721359  0.062627516686916351  0.031761389225721359   0.17725877463817596,  0.69660761803014282  -0.61857161742651101    1.1744888350975202   0.64874391234859274 -0.090170963280122862   -0.0299392256080111                     0,4.94823616463691e-05
IIWA_14,1714995724.1478643, 0.55781239947529671   1.1880301301810163 -0.10033798298681575  -1.3653176827952656  -1.0632513631495353   1.8030205849658141 -0.58115898787356735, 0.00014152014781167448  5.5859696970501893e-07  2.0680152676857327e-05 -7.3507345300911258e-06  5.6044176131571563e-06 -1.2659222472153877e-06  1.9032114794783705e-05,-1.8518389892578127  68.559194580078128  4.5381870727539066 -14.563601524353027  1.1612145042419433 -2.2171124000549316 0.24564123535156249,  -52.1968295577147  7.7841527173038605 -34.298900670351962 -17.299309153673757 -1.2905488433418604 -1.4885426262974442  1.0224578444111427, 0.53256094455718994 0.059149231761693954  0.18764074146747589, 0.49701806902885437 -0.49926009774208069   0.4888225793838501  0.51455307006835938,-1.2696958037849981e-05  8.1787249655462801e-05  -6.752077752025798e-06,-0.013746391981840134   -1.4475173950195312  0.013751568272709846,   0.2521955668926239 -0.019038518890738487  0.062627457082271576 -0.019038518890738487   0.23375865817070007  0.031761467456817627  0.062627457082271576  0.031761467456817627   0.17725874483585358,  0.69660694683548741  -0.61857446087110191     1.174490572981135   0.64874615346699471 -0.090169455136290821 -0.029937643464705843                     0,5.7363333326065913e-05
IIWA_14,1714995724.1528676, 0.55780472951681581   1.1880351636014961 -0.10035356245021751  -1.3653332622586674  -1.0632533765613605   1.8030111174272867 -0.58115898787356735,-0.00019358222098640802  0.00020178369676575404 -0.00060663441392903741 -0.00062905912369626152 -7.6052938920013837e-05 -0.00037971427889275575  1.5225691835826965e-05,-1.7232390594482423   68.44345464324951  4.7532670288085939 -14.327013572692872  1.1805827522277832  -2.192081024169922 0.24564123535156249,-52.196831559380286  7.7841219097036385 -34.298860020634542 -17.299273580571668 -1.2905197231270327 -1.4885482927131317  1.0224855304209894, 0.53256082534790039 0.059149619191884995   0.1876407116651535,  0.4970182478427887 -0.49925988912582397  0.48882275819778442  0.51455295085906982,-1.3764860341325402e-05  8.0918747698888183e-05 -6.3778184085094836e-06,-0.013746223412454128   -1.4475172758102417  0.013751690275967121,  0.25219562649726868 -0.019038503989577293  0.062627427279949188 -0.019038503989577293   0.23375862836837769  0.031761519610881805  0.062627427279949188  0.031761519610881805   0.17725872993469238,  0.69660656869885429  -0.61857633104800414    1.1744917178733161   0.64874767237199649 -0.090168456651440465 -0.029937096203802582                     0,5.6870572734624147e-05
IIWA_14,1714995724.1578631, 0.55763491312575375   1.1881265432597272 -0.10074388864771508  -1.3656622892203425  -1.0632789749564335   1.8027823385781045 -0.58115886799126437,-0.0069475214192715636  0.0038166132866581555  -0.016098355431046041  -0.013664325765962547 -0.0010847781540556066 -0.0094549253904003677 1.6975845587603602e-05,  7.577107864379883  62.316953987121586  10.520098350524902 -8.0238266105651856  1.2580557441711426 -1.7902440032958984  0.2663338394165039,-52.179603572420049  7.7769810306092158  -34.28643838385895 -17.289938866189061  -1.292183992569885 -1.4904931927200795  1.0242458416322771,  0.5325590968132019 0.059136975556612015  0.18763843178749084, 0.49701446294784546 -0.49925565719604492  0.48882216215133667   0.5145612359046936,-7.9951860243454576e-05 -0.00044094974873587489 -9.6452065918128937e-05,-0.013746176846325397   -1.4475171566009521  0.013751566410064697,  0.25219631195068359 -0.019036822021007538  0.062627553939819336 -0.019036822021007538   0.23376062512397766  0.031759139150381088  0.062627553939819336  0.031759139150381088   0.17725642025470734,  0.69653320151630282  -0.61851193659379078    1.1743839408158152   0.64868064631706801  -0.09016581585363781 -0.029969402151941438                     0,0.00031665185815654695
IIWA_14,1714995724.1628623, 0.55756983874275923   1.1881368497562095 -0.10118317034898337   -1.365926601227766  -1.0633003547161717   1.8023824849554695 -0.58115754972226374,-0.0081609924551981836  0.0034655504886169117  -0.030449952395568559  -0.021503940909709841 -0.0017230129127704581    -0.0235580852177227 6.6311436495182131e-05, 12.551353149414064  61.617370368957523  12.742143146514893 -7.8154679031372067 0.86188703536987299  -2.367634407043457 0.26333007431030275,-51.801532565280581  7.6375992181602586 -33.997633094279145 -17.097261998256037 -1.3285578657398966 -1.5320603815373288  1.0573962058621582, 0.53253215551376343 0.058846600353717804  0.18760296702384949, 0.49691581726074219 -0.49918261170387268  0.48881417512893677  0.51473498344421387,-0.0011465671705082059  -0.011967926286160946 -0.0014932159101590514,-0.013746021315455437   -1.4475171566009521  0.013751721940934658,   0.2522047758102417 -0.019000541418790817  0.062635138630867004 -0.019000541418790817     0.233806312084198  0.031702358275651932  0.062635138630867004  0.031702358275651932    0.1772104948759079,  0.69493383528840269  -0.61699867285369692    1.1718823637947295   0.64713489665635393 -0.090141659810250019 -0.030694255523044944                     0,0.0083682872354984283
IIWA_14,1714995724.1678622,  0.5575382602824368   1.1881445196056075 -0.10178957223486865  -1.3663627670799872  -1.0632973825949885   1.8017545115636111 -0.58115617156665311,-0.0077919323770554829  0.0030792343668151227  -0.048616037351865822  -0.034649786816614708 -0.0012595254828897829  -0.043965403848513482  0.0001081753736214183,  14.46749210357666   61.40903848266602  13.306728031158448 -7.9606468734741211  1.3099978637695313 -1.6821084594726563 0.26199506759643554,-51.607105578398503  7.5938362056070776 -33.805047071321823 -17.028427363162237  -1.336286665402747 -1.5181205788172774  1.0674573956340121, 0.53255534172058105 0.058613929897546768  0.18758983910083771, 0.49687200784683228 -0.49914905428886414  0.48884433507919312  0.51478117704391479,5.3847716117161326e-06  -0.018882391974329948 -0.0017150727799162269,-0.01374583225697279  -1.4475210905075073 0.013751729391515255,  0.25219911336898804 -0.018964184448122978  0.062650509178638458 -0.018964184448122978    0.2338457852602005   0.03164365142583847  0.062650509178638458   0.03164365142583847   0.17718450725078583,    0.69336996277247209    -0.61558662950567111      1.1693488363748727     0.64569577915030152   -0.090009147882597063   -0.030964390630217054 -1.7763568394002505e-12,0.013095682486891747
IIWA_14,1714995724.1728878,  0.5575218419701633   1.1881406846809084 -0.10259850736314309  -1.3670163867762066  -1.0633089834494607   1.8009670281680898 -0.58115575214221726,-0.0068902783925845019  0.0023099905054868607  -0.071250235012470395  -0.053864617302070372 -0.0014716545651982341  -0.066671658899661201 0.00010331727633109787, 14.822427909851076  60.897210762023931   12.32139298248291 -7.6299614410400389 0.98425914764404299 -1.8676743927001953 0.26900385284423828,-51.386242610684057  7.5134628017809391 -33.587850424485019 -16.928201536578836 -1.3583655708538229 -1.4856516926728094  1.0929094496928249,  0.5325666069984436 0.058311127126216888  0.18754902482032776, 0.49685558676719666 -0.49908289313316345  0.48887479305267334  0.51483219861984253,0.00044386176159605384  -0.027221620082855225 -0.0029937385115772486,-0.013744838535785675   -1.4476085901260376  0.013755968771874905,  0.25220027565956116 -0.018908876925706863  0.062666259706020355 -0.018908876925706863   0.23390024900436401  0.031561177223920822  0.062666259706020355  0.031561177223920822   0.17714163661003113,  0.69102545040955476  -0.61366863144485251    1.1657116383272381    0.6436757148389205 -0.089771010025607723 -0.031199406596016388                     0,0.018916349858045578
IIWA_14,1714995724.177891,  0.5575093783558086   1.1881439804079517  -0.1036532989509982  -1.3678531253267145  -1.0633152151475549   1.7999580163483484 -0.58115455364643653,-0.0060107672882554553  0.0019798214861204162  -0.099191851524180766  -0.076561235861973123 -0.0014265915759272575  -0.093697799909386786 0.00013059365229407173, 13.577580589294435  60.647726898193362  12.607718173980713 -6.2561382217407226 0.94992452621459955 -1.8366354866027832  0.2656663360595703,-51.104804802327557  7.4009474163279867 -33.305058483339415 -16.779038065251097 -1.3851508192058393 -1.4669826688696754  1.1326575119428377, 0.53255730867385864 0.057909205555915833   0.1875060647726059, 0.49682673811912537 -0.49896150827407837  0.48892399668693542  0.51493096351623535,-3.5471566661726683e-05   -0.037861417979001999  -0.0040913429111242294,-0.013717108406126499   -1.4476838111877441  0.013809783384203911, 0.25220850110054016 -0.01883288286626339 0.062683172523975372 -0.01883288286626339  0.23397375643253326 0.031453859061002731 0.062683172523975372 0.031453859061002731  0.17707809805870056,    0.68781528883565812    -0.61118578710139815      1.1608933898852314     0.64100694825253157   -0.089387052632616815   -0.031621557095462549 -2.6645352591003757e-12,0.026298535987734795
IIWA_14,1714995724.1828647, 0.55748421147157645   1.1881402652564725 -0.10492889977833858  -1.3688194733364727  -1.0633145440684575   1.7987067433382025 -0.58115383467986781,-0.0058152891998904787  0.0014352511297314422   -0.13037751431295974   -0.09990290907990429 -0.0011144300968456886   -0.12500916033334691 0.00013323358458424182, 14.603808029174806  60.369951049804691  12.880600868225098 -6.8005593605041508  1.0520480155944825  -1.868341896057129 0.26199506759643554,-50.754114825218601  7.2591602237777488 -32.951722005012897 -16.593205858967789 -1.4200058807122431 -1.4467018814352517   1.181564729127131, 0.53254389762878418 0.057391922920942307  0.18745054304599762, 0.49678444862365723 -0.49880453944206238  0.48898908495903015  0.51506209373474121,-0.00060164451133459806   -0.050993926823139191  -0.0054534110240638256,-0.013776750303804874   -1.4477871656417847  0.013856452889740467, 0.25221875309944153 -0.01873474195599556 0.062705166637897491 -0.01873474195599556  0.23406864702701569 0.031314980238676071 0.062705166637897491 0.031314980238676071   0.1769961416721344,  0.68367547270042905  -0.60798689713781329    1.1546646028266494   0.63757331688840679 -0.088893155521851952 -0.032188182364834006                     0,0.035414144396781921
