DesiredFlux,1,HitTime,1714995711.7433317,DesiredPos,0.55629980564117432 0.31770545244216919 0.21910998225212097
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714995711.2203417,-0.45804738233830428   1.1263327039256872 0.016760298086715732  -1.2862355203348452  -1.9541196220994879  -1.8821773492343663 -0.90980070967701376, 0.00022515874947184978  1.2314037223456379e-06  2.6669989637752145e-06   0.0025243009273934582  -5.078315729609762e-06 -2.6539210560032753e-06  0.00071714004264384094,-0.16803121566772461   65.073784954071044  -1.8910453033447265  -16.219146938323973  -1.2518931198120118   1.7929140167236328 -0.26032630920410155, 0.20366209510679348 -0.76415313536716056   1.0091241718635062  -0.5953862131787977  0.94288138824854473  0.80032684956170408  0.68874311270707578,  0.55694043636322021 -0.040908154100179672   0.21478655934333801, -0.70522838830947876  -0.01768404059112072 0.0091773942112922668   0.70870018005371094, 0.00071107904659584165 -0.00023888408031780273  0.00041432873695157468,-0.00021025993919465691       1.442156195640564   0.0014431378804147243,  0.24515652656555176  0.029857685789465904  0.066252343356609344  0.029857685789465904   0.23089110851287842 -0.022165905684232712  0.066252343356609344 -0.022165905684232712   0.18885579705238342,   -1.1201155721138889   -0.36783084683644773    -1.1481016963656998    0.70036179336163684    0.54657765763987953   0.068764230936046999 2.0966537839228749e-05,0.00059421593323349953
IIWA_7,1714995711.2253425,-0.45804570453147775   1.1263327039256872 0.016760298086715732  -1.2862249142962301  -1.9541195261063788  -1.8821773492343663 -0.90979747394566357, 0.00024723927263858939  9.8512297787651025e-07  2.1335991710201715e-06   0.0024436822865201747 -2.2292822299978614e-07 -2.1231368448026203e-06  0.00070314128812279072,-0.14517897033691407   65.102014198303223  -1.8848826789855957   -16.23411331176758  -1.2518931198120118   1.7962515335083007 -0.26132756423950193, 0.20204240121120173  -0.7637529086230973    1.008250585035793 -0.59554241003632225  0.94282228857686412  0.80029875547607765  0.68894086877817773,  0.55694341659545898 -0.040908612310886383   0.21478824317455292,  -0.7052302360534668 -0.017686989158391953 0.0091757494956254959    0.7086983323097229, 0.00068772200029343367 -0.00020942193805240095  0.00039842398837208748,-0.00021243604714982212      1.4421557188034058   0.0014408134156838059,  0.24515518546104431  0.029858158901333809  0.066252894699573517  0.029858158901333809   0.23089081048965454 -0.022165726870298386  0.066252894699573517 -0.022165726870298386   0.18885707855224609,   -1.1201361998391945   -0.36782740327812036     -1.148107581023794    0.70037152057356167    0.54658295397036483   0.068761731700561768 2.0965674529804801e-05,0.00056992797181010246
IIWA_7,1714995711.2303398,-0.45804336764469239   1.1263327039256872  0.01676041785993565  -1.2862148475643538  -1.9541192384761181  -1.8821772293520633 -0.90979411833201052,0.00029126688952523308 7.8809838230120828e-07 6.4978081335546181e-06  0.0023576151042686427 1.1326867850408426e-05 3.0967826430999333e-06  0.0006967375766204517,-0.14383472061157226   65.097981449127204  -1.8831219291687011  -16.242036685943603  -1.2589361190795898   1.7929140167236328 -0.26299632263183592, 38.334923188221154  4.4157382293675678   23.83906703292562 -10.015757755200539  1.0426360972283741  1.8007272034801276  0.6891234492452657,  0.55694639682769775 -0.040909085422754288   0.21478992700576782, -0.70523190498352051 -0.017689729109406471  0.009174073114991188   0.70869660377502441, 0.00066781608620658517 -0.00018656134488992393  0.00038629243499599397,-0.00021334203484002501      1.4421552419662476   0.0014397806953638792,  0.24515387415885925  0.029858604073524475  0.066253438591957092  0.029858604073524475   0.23089051246643066 -0.022165555506944656  0.066253438591957092 -0.022165555506944656   0.18885833024978638,   -1.1201557506401727   -0.36782421002179433    -1.1481131491475338    0.70038120661841674    0.54658769881310576    0.06875891564028791 2.0964774805065645e-05,0.00055037671700119972
IIWA_7,1714995711.235342,-0.45804151006895288    1.126332823698907  0.01676041785993565  -1.2862050803746103  -1.9541194302878029  -1.8821773492343663 -0.90979076271835735, 0.00030731654120041139   5.421407497305888e-06  5.1982465068436952e-06   0.0022767796731523963  1.3890268900194941e-06 -2.3178660044620825e-06   0.0006916146074230214,-0.14383472061157226   65.107391197204592  -1.8910453033447265  -16.242036685943603  -1.2615772438049315   1.7919127616882324 -0.26366382598876953, 38.334108182706643  4.4152363953274794  23.838816119747278   -10.0151887305974  1.0430860970110809  1.8007855702117346 0.68926625812392894,  0.55694925785064697 -0.040909081697463989   0.21479155123233795, -0.70523345470428467 -0.017692470923066139 0.0091727487742900848   0.70869505405426025,0.00064949179068207741 -0.0001490111171733588  0.0003742714470718056,-0.00021427079627756029      1.4421546459197998   0.0014387923292815685,  0.24515259265899658  0.029859019443392754  0.066253982484340668  0.029859019443392754   0.23089027404785156 -0.022165331989526749  0.066253982484340668 -0.022165331989526749   0.18885953724384308, -1.1201735839048155 -0.36781949520392487  -1.1481162987712068  0.70038890050838631  0.54659261756118127 0.068757535297336858 2.09641370929603e-05,0.00052995653823018074
IIWA_7,1714995711.2403421,-0.45801214872219581   1.1263437293887382  0.01679073793786745   -1.286224374989491  -1.9541192384761181  -1.8821663836579254 -0.90978620871800664, 0.0014203071032432501 0.00044056471924575123  0.0012169617144774849  0.0010496391432937196 8.7836889023228424e-06 0.00043676876483118751 0.00073545169996679343,-0.33202968215942386   64.921884735107426  -2.3347542572021482  -15.866116600036621  -1.2800651168823243   1.7451875267028809  -0.2656663360595703, 38.333743321657728  4.4145237081007274  23.838912967558699 -10.014512027095918  1.0437069513097259  1.8008069124897201 0.68934809202674829,  0.55695188045501709 -0.040909338742494583   0.21479302644729614, -0.70523500442504883 -0.017695004120469093 0.0091716162860393524   0.70869344472885132, 0.00062528450507670641 -0.00012959656305611134  0.00035847886465489864,-0.00021519928122870624      1.4421541690826416   0.0014378062915056944,  0.24515137076377869  0.029859442263841629  0.066254474222660065  0.029859442263841629   0.23089003562927246 -0.022165155038237572  0.066254474222660065 -0.022165155038237572   0.18886066973209381,    -1.120191856643693   -0.36781591268386649    -1.1481208145820432    0.70039722246573177    0.54659767793641123   0.068756176344386688 2.0963494939962857e-05,0.00050779135199263692
IIWA_7,1714995711.2453423,-0.45754752025869927   1.1264393635051873 0.017287963479471178   -1.286491862950738  -1.9541177045062386  -1.8820796777732647 -0.90978063609987114,  0.019721384222456256  0.0041778164333599495   0.020862591035731091 -0.0098598071352442879 6.8385746304400552e-05  0.0038176503982951019 0.00081126608539329383, -9.5455172996520989   60.765464584350589  -8.5141057395935054   -11.35859706878662  -1.0951863861083984    1.981483715057373 -0.30237902069091799,  38.30316326959219  4.3952432377573292  23.819995536740233 -9.9957777004182375  1.0514600438509361  1.8057163541244861 0.68550610905460041,  0.55695033073425293 -0.040879413485527039   0.21478812396526337, -0.70522427558898926 -0.017700918018817902 0.0091908061876893044   0.70870369672775269,0.00043779943371191621  0.0010934637393802404 9.0382018242962658e-05,-0.00021608968381769955      1.4421541690826416   0.0014368545962497592,  0.24515081942081451  0.029856756329536438  0.066255584359169006  0.029856756329536438     0.230894535779953 -0.022160911932587624  0.066255584359169006 -0.022160911932587624   0.18885752558708191,   -1.1200473832086999    -0.3677097164391796    -1.1479057923384772    0.70028698728386019    0.54660786616356205   0.068857879864658855 2.0984205484353424e-05,0.00081912579480558634
IIWA_7,1714995711.2503414,-0.45704813759922314   1.1264214470459171 0.017851761332899879   -1.286672764800544  -1.9541050492983654  -1.8819112395378133 -0.90977476383051969,  0.035752413757010326  0.0026255947758805939   0.039241986965732896  -0.015123919700436007 0.00056091691197116792  0.0097916497366932458 0.00088390364237255154,-18.709267677307128  60.885102809906009 -13.083251514434814 -11.775014400482178 -0.8381169128417969  1.7041360702514647  -0.211932315826416, 37.819903994908238  4.2745804911427596  23.457931164418273 -9.8180277857867679   1.111129351048165  1.9136101461404842  0.6616496483060762,  0.55693268775939941 -0.040409736335277557   0.21477507054805756, -0.70504283905029297 -0.017877990379929543 0.0094549087807536125   0.70887625217437744,-0.00036334159085527062    0.019661271944642067 -0.00044746143976226449,-0.00021609090617857873      1.4421622753143311   0.0014368627453222871,  0.24512666463851929  0.029823791235685349  0.066277988255023956  0.029823791235685349   0.23096416890621185 -0.022093554958701134  0.066277988255023956 -0.022093554958701134   0.18882232904434204,   -1.1181351016071872   -0.36603299390591815    -1.1447195780585062    0.69862712492163581    0.54689062992796522   0.070619711168617982 2.1349841894391375e-05,0.013637779280543327
IIWA_7,1714995711.2553411,-0.45675176771134818   1.1264150954655199 0.018497770957248364  -1.2870309133443703  -1.9541061996448752   -1.881745917151409  -0.9097694307588241,  0.040456726520606612  0.0018464126048168632   0.057233974546525741  -0.026425077513397163 0.00040271966918388837   0.014446215245522986  0.0009204457817216478, -22.342774684906004   60.285567432403568  -14.304331512451173  -11.865693016052246  -1.2078743743896485   1.8650043792724609 -0.21827359771728516, 37.408193624012767  4.3254893931737053  23.091297010700671 -9.7724243898134091  1.1128078216683865   2.006730974200118 0.67066878710387723,  0.55697029829025269 -0.039915207773447037   0.21483393013477325, -0.70489460229873657 -0.018130471929907799 0.0096464119851589203    0.7090146541595459,  0.00119149184320122  0.035510867834091187 0.0020020930096507072,-0.00021665368694812059      1.4422957897186279   0.0014393703313544393,  0.24507272243499756  0.029792658984661102  0.066313996911048889  0.029792658984661102   0.23103374242782593 -0.022015675902366638  0.066313996911048889 -0.022015675902366638   0.18881528079509735,     -1.11629365678656   -0.36416153752405478    -1.1413363881711547    0.69691215145795127    0.54716202181648299   0.072287277413707329 2.1693296936575734e-05,0.024671716615557671
IIWA_7,1714995711.2603428,-0.45664858362780414   1.1263937036193765 0.019303949774301606  -1.2875738586583947  -1.9540992008745748  -1.8814291141485655 -0.90976289940951394,  0.036492744558246852   0.000621456238119118    0.07803433231935028  -0.042857874571695112 0.00060212654736370463   0.024229092310159801 0.00099761059778404569, -20.592561542510985     59.6080655708313  -11.888582763671875  -11.110331344604493 -0.82667203903198239   1.3834007072448731 -0.27834889984130862, 37.168571367688315  4.2976818163710622  22.818585144613543 -9.6729930956349559  1.1419774886584508  2.0935319286514855 0.65282129314746762,   0.5569530725479126 -0.039481639862060547   0.21487320959568024, -0.70469635725021362 -0.018279977142810822 0.0098322397097945213   0.70920532941818237,0.00023542680719401687   0.045750945806503296  0.0031841446179896593,-0.00021132300025783479      1.4424287080764771   0.0014474522322416306,  0.24504570662975311  0.029748408123850822  0.066340848803520203  0.029748408123850822      0.23110331594944 -0.021946152672171593  0.066340848803520203 -0.021946152672171593   0.18878708779811859,   -1.1139637388044576   -0.36258292693691629    -1.1379216001996539    0.69529165115689295    0.54719843797279566   0.073786805770303943 2.2014155831584503e-05,0.031792182475328445
IIWA_7,1714995711.265342,-0.45660585982212765   1.1263732705044081 0.020416565211106064  -1.2882452748224982  -1.9540937360741539  -1.8809781477952043 -0.90976098194716448,   0.030903147873657173 -0.00032015960824332797     0.10693208332765855   -0.061142946221495645  0.00070029325472501533    0.037421927982574668  0.00087478697220541449, -16.749351577758787   59.086496677398685  -10.867347869873047  -10.628766269683839 -0.86628890991210938   1.6083493385314942 -0.28168641662597654, 37.057900990539217   4.227731054528455  22.592521499152582 -9.5609134266141904  1.1781694715325757  2.1426210184526817  0.6174099019720618,  0.55691361427307129 -0.039076261222362518   0.21489548683166504, -0.70446789264678955 -0.018322033807635307 0.0099684102460741997   0.70942932367324829,-0.0014195969561114907   0.052817143499851227  0.0034584673121571541,-0.00022106750111561269      1.4425623416900635   0.0014098532265052199,  0.24503806233406067  0.029679717496037483  0.066365376114845276  0.029679717496037483   0.23117667436599731 -0.021874960511922836  0.066365376114845276 -0.021874960511922836   0.18874387443065643,    -1.110686054918375   -0.36111114305903413    -1.1339740589066949    0.69358704231792245    0.54683198347049711   0.074921402823058258 2.2271150257324734e-05,0.03670143336057663
