DesiredFlux,0.59,HitTime,1714994832.0863426,DesiredPos,0.55466336011886597  0.3181036114692688 0.21900403499603271
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714994831.4731884,-0.45736973436702333   1.1404040415198622 0.018812836266655284  -1.2701369912138758   -1.959096910346956  -1.8957562550518945 -0.90471502400389237, 0.00080208297931316688 -4.0078277091651744e-06   1.315408617111917e-05  0.00067587481991533975  1.5570150716603835e-05  1.3726629986171341e-07  0.00014744042651538503,0.022852245330810546   65.370864143371577  -1.7369796943664551  -16.243797435760499  -1.2835866165161132   1.7832352180480957 -0.23429367828369141,-0.11983836921566635  -1.7790379288761522  0.82022669699126205 -0.45737212305240876   1.1587393938786088  0.93755042216370876  0.47491736274149149,  0.55702638626098633 -0.041323497891426086   0.21218836307525635, -0.70214629173278809 -0.021007467061281204  0.015365025959908962   0.71155691146850586,0.00023502693511545658 0.00046301670954562724  0.0001183463609777391,-0.00079398602247238159      0.8509179949760437   0.0022930323611944914, 0.24456506967544556 0.030677931383252144 0.066422417759895325 0.030677931383252144  0.23093448579311371 -0.02226671576499939 0.066422417759895325 -0.02226671576499939  0.18864493072032928,   -1.1504275875884318   -0.36877065445306556    -1.1541726388371032    0.72328631753038053    0.56840536620406112    0.10169256250058822 2.7987276496332925e-05,0.00036926416214555502
IIWA_7,1714994831.4781671,-0.45736949460241738   1.1404039216375592 0.018812956148958282  -1.2701342347935713   -1.959097102158641  -1.8957562550518945  -0.9047148442349795, 0.00065125696768841758 -8.0015542862741686e-06  1.5318561056808812e-05  0.00065095666811029415   4.783653174094037e-06  1.0981303988937074e-07  0.00012514309772698252,0.020163745880126954   65.346667648315432  -1.7352189445495605  -16.260524559020997   -1.282706241607666   1.7819002113342286 -0.23329242324829103,-0.11407883435288982  -1.7796688498108666  0.82369789881739708 -0.45837050595011558   1.1588607263061226  0.93671488804260683  0.47489189583389824,  0.55702716112136841 -0.041323710232973099   0.21218881011009216,-0.70214664936065674 -0.02100813016295433 0.015364415943622589  0.71155649423599243,0.00021793147607240826 0.00036188823287375271 0.00011219025327591226,-0.00079451844794675708     0.85091781616210938   0.0022925452794879675,  0.24456475675106049  0.030678033828735352  0.066422551870346069  0.030678033828735352   0.23093439638614655 -0.022266684100031853  0.066422551870346069 -0.022266684100031853   0.18864524364471436,   -1.1504323523183757   -0.36877025904669125     -1.154174348808823    0.72328921993669582    0.56840620756659632     0.1016913295268651 2.7987007378271755e-05,0.00030306039843708277
IIWA_7,1714994831.4831669, -0.4573693148335044   1.1404038017552562 0.018813016035568241  -1.2701309391756113  -1.9590968145283802  -1.8957561351695915 -0.90471400538610769, 0.00052819633066984945 -1.1196535547961364e-05  1.4650313243816291e-05  0.00065259005289168581  1.5332132968083486e-05  4.8831425508535257e-06  0.00013366843305395336,0.026884994506835937   65.345323398590082  -1.7378600692749022  -16.269328308105468  -1.2871081161499023   1.7798977012634278 -0.23496118164062499, 21.337861333369457   2.420405230214723  13.044503718314918 -5.6465339937069308  1.1852197142419967  2.4055057707561134 0.47496869038312134,  0.55702787637710571 -0.041323907673358917   0.21218928694725037, -0.70214712619781494 -0.021009111776947975  0.015363723039627075   0.71155601739883423,0.00020379442139528692 0.00028159082285128534  0.0001093111204681918,-0.00079475349048152566     0.85091769695281982    0.002292306162416935, 0.24456439912319183 0.030678154900670052 0.066422700881958008 0.030678154900670052  0.23093430697917938 -0.02226664125919342 0.066422700881958008 -0.02226664125919342  0.18864558637142181,   -1.1504376964488472   -0.36876960589982133    -1.1541759109672256    0.72329205713028699    0.56840748156439247    0.10169057048603491 2.7986849282513049e-05,0.00025265043950639665
IIWA_7,1714994831.4881659,-0.45734121186913801   1.1404125503272149 0.018844414726977773  -1.2701456197944483  -1.9590966227166953  -1.8957394770927121 -0.90471298665923994,  0.0014602469821010646  0.00034181803717151535   0.0012653238568573323 -0.00019257666782427111  1.6717087626624858e-05  0.00067040734483433386  0.00012294147637781556,   -0.17206396484375    65.20955417633057  -2.2044587707519532  -15.973522338867188  -1.3055959892272948   1.7191548957824707 -0.23329242324829103, 21.339884110321563  2.4207692028631969  13.045386071872651 -5.6470274050999834  1.1851060007396423  2.4052146307973929 0.47504680014422662,  0.55702883005142212 -0.041324228048324585   0.21218989789485931, -0.70214766263961792 -0.021009890362620354  0.015362868085503578   0.71155548095703125,0.00020195556862745434 0.00021254316379781812 0.00011167567572556436,-0.00079499371349811554      0.8509175181388855   0.0022920968476682901,   0.2445639967918396  0.030678277835249901  0.066422872245311737  0.030678277835249901   0.23093418776988983 -0.022266604006290436  0.066422872245311737 -0.022266604006290436   0.18864598870277405,   -1.1504434892577464   -0.36876922850304084    -1.1541780763311138    0.72329580839447516    0.56840827352822032    0.10168853604763939 2.7986387429734805e-05,0.00021753599867224693
IIWA_7,1714994831.4932125,-0.45688605105325203   1.1404756472521669 0.019312099043828402  -1.2702852360989647  -1.9590972937957927  -1.8955950671323218  -0.9047108894279775,  0.019374630221120046  0.0027973314278167561   0.019719631759511008 -0.0057387135149162627 -1.346949379481763e-05   0.006312724291476419  0.0001822424315995457, -9.0790626449584959   62.456530738830565  -8.0950472831726081   -13.52872121810913  -1.2686202430725098   1.7431850166320801 -0.23729744338989259,  21.34140237106045  2.4206857719361987  13.046160999849153 -5.6471338193392961  1.1851957492092249  2.4050377792306561  0.4750984405821076,   0.5570296049118042 -0.041324466466903687   0.21219031512737274, -0.70214807987213135 -0.021010695025324821  0.015362218022346497    0.7115551233291626,0.00019214284839108586 0.00016044083167798817 0.00010620772081892937,-0.00079520832514390349     0.85091745853424072   0.0022918616887181997,  0.24456366896629333  0.030678393319249153  0.066423013806343079  0.030678393319249153   0.23093408346176147 -0.022266574203968048  0.066423013806343079 -0.022266574203968048   0.18864631652832031,   -1.1504488005940061   -0.36876887048631346    -1.1541800004861713    0.72329904863810413    0.56840938122348916    0.10168754981432215 2.7986179595984595e-05,0.00018853986694011837
IIWA_7,1714994831.4981656,-0.45639242078082431   1.1404523978302841 0.019666772200781613  -1.2703720617568453  -1.9590870352740484  -1.8953347099319002 -0.90470933150345401,  0.035244915074004603   0.001307888266941028   0.029962631685737231 -0.0080639971271546269 0.00039956527473613158   0.015464467450045639 0.00020811092621958365, -17.330067459106445   63.327604560852052  -11.253832454681396  -13.836852436065673 -0.82843278884887694   1.5262464256286621 -0.21093106079101562, 21.313656061618865   2.407472953899561  13.027221030317609  -5.634815416691354  1.1902927964448617  2.4071970860455782 0.47280592383258657,  0.55702966451644897 -0.041295409202575684    0.2121860533952713, -0.70213913917541504 -0.021017758175730705  0.015376754105091095   0.71156340837478638, 0.00015564945351798087   0.0012907304335385561 -8.5561339801643044e-05,-0.00079549703514203429     0.85091739892959595   0.0022915638983249664,  0.24456267058849335   0.03067544661462307  0.066424377262592316   0.03067544661462307   0.23093847930431366 -0.022262193262577057  0.066424377262592316 -0.022262193262577057   0.18864379823207855,   -1.1502944694168349   -0.36866178618044643    -1.1539587342612734    0.72318826780826129    0.56841099889393121    0.10177260848731606 2.8004182972551916e-05,0.00090337765868753195
IIWA_7,1714994831.5031664,-0.45604110323752423   1.1404510196746735 0.020029834282784532   -1.270557877144828  -1.9590852136739081  -1.8949658354671559 -0.90470813311675635,  0.042248633791207253 0.00099118438913199072   0.038492588628706553  -0.013883813221035327 0.00039251622540025584   0.027126552549809217 0.00021442420888182414, -20.424530326843261   62.768396675109862  -11.708986282348633  -13.990037670135498  -1.4288484764099121   1.4798549423217773 -0.19758099365234374, 20.868488213467689  2.3646794222245764  12.682133732869877 -5.5401628714462605  1.2177697630178714  2.4766168819628387 0.46929593601481595,  0.55705642700195312 -0.040861029177904129   0.21219426393508911, -0.70200634002685547 -0.021220870316028595  0.015570664778351784   0.71168416738510132, 0.0011883487459272146   0.018408101052045822 0.00026186223840340972,-0.00079574529081583023     0.85092228651046753   0.0022913883440196514,  0.24452270567417145  0.030646240338683128  0.066452905535697937  0.030646240338683128   0.23100103437900543 -0.022195300087332726  0.066452905535697937 -0.022195300087332726   0.18862846493721008,   -1.1485757301361588   -0.36702108606689876    -1.1509348441443024    0.72167839789472055    0.56863643063831404    0.10324326537158868 2.8316337719047624e-05,0.012790280394256115
IIWA_7,1714994831.508209,-0.45604110323752423   1.1404510196746735 0.020029834282784532   -1.270557877144828  -1.9590852136739081  -1.8949658354671559 -0.90470813311675635,  0.042248633791207253 0.00099118438913199072   0.038492588628706553  -0.013883813221035327 0.00039251622540025584   0.027126552549809217 0.00021442420888182414, -20.424530326843261   62.768396675109862  -11.708986282348633  -13.990037670135498  -1.4288484764099121   1.4798549423217773 -0.19758099365234374, 20.534891578910514  2.3872408143764998  12.445602777986865 -5.5270191438464158  1.2208384146799245  2.4987768173415263 0.48083358411892879,  0.55711936950683594 -0.040453825145959854   0.21221460402011871, -0.70195943117141724 -0.021421430632472038   0.01570451445877552   0.71172147989273071,0.0034508188255131245  0.031017445027828217 0.0010259918635711074,-0.00079631945118308067     0.85099297761917114   0.0022944179363548756,  0.24447397887706757  0.030621342360973358  0.066482633352279663  0.030621342360973358   0.23105418682098389 -0.022130599245429039  0.066482633352279663 -0.022130599245429039   0.18863095343112946,   -1.1471131971543258   -0.36542064743549929    -1.1482179547250837    0.72019785547094983    0.56879838827050833    0.10431365314733654 2.8534419271863953e-05,0.021647382527589798
IIWA_7,1714994831.5131669,-0.45584522111766518   1.1404349607911428 0.020524423286386966  -1.2708497529189622   -1.959079844866596  -1.8943672234220545 -0.90470675496114572,  0.041634191827327714 0.00015059217007623116   0.050577631047062623  -0.022782081542193969 0.00052876527280245006   0.045645723843901989 0.00022666559153073192, -18.814119155883787   62.783183422088626  -9.9737673377990728   -13.40018648147583 -0.80026079177856446   1.2021735458374023  -0.2336261749267578, 20.358090954772269  2.3270455647597768  12.321716813103549  -5.484154421806946  1.2492289500178611  2.4767368104754435 0.47216378221362254,  0.55716198682785034 -0.040107723325490952   0.21218907833099365, -0.70192468166351318 -0.021515073254704475  0.015804557129740715   0.71175074577331543,   0.004447584506124258    0.038662023842334747 -0.00019588683790061623,-0.0008055131183937192    0.85105305910110474  0.0022921883501112461, 0.24444785714149475 0.030583217740058899 0.066504731774330139 0.030583217740058899  0.23110292851924896 -0.02207297645509243 0.066504731774330139 -0.02207297645509243  0.18862020969390869,   -1.1452011656878369   -0.36405951350282351    -1.1454923197398159    0.71879124728724264    0.56868637689966306    0.10495559678158628 2.8664032925007632e-05,0.026978040114045143
IIWA_7,1714994831.518168,-0.45541360915671164   1.1404079962177811 0.022080754651590567  -1.2716235144268211  -1.9590796530549111  -1.8923478216269611 -0.90470477750310319,   0.042547035659679079 -0.00093043224401828737    0.089034934392781775    -0.04273531188821153  0.00029162517680306232     0.10314873959012212  0.00022272614897723281, -14.187211601257324   61.514211681365964  -10.222913436889648  -13.578902587890624  -1.3381698608398438   1.1477720222473144 -0.22161111450195312,  20.29555659396652  2.2478112752976953  12.233864709350911 -5.4533964755175077  1.2788984247542026  2.4012675424546082 0.45441024640442529,  0.55721408128738403 -0.039788387715816498   0.21213874220848083, -0.70190316438674927 -0.021514942869544029  0.015825437381863594   0.71177148818969727, 0.0056219436228275299   0.043709088116884232 -0.0021625005174428225,-0.00082700134953483939      0.8511081337928772   0.0022861752659082413,  0.24443311989307404  0.030521057546138763  0.066527962684631348  0.030521057546138763    0.2311524897813797 -0.022011188790202141  0.066527962684631348 -0.022011188790202141   0.18860425055027008,   -1.1423835341224375   -0.36274513968059807    -1.1422159352179051     0.7173045745636486    0.56815659401898699    0.10506397579401749 2.8685466446631835e-05,0.030583973973989487
