DesiredFlux,0.65,HitTime,1714994964.7263117,DesiredPos,0.54667782783508301   0.323661208152771 0.21909695863723755
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714994964.1484234,-0.45279631439216866   1.0811178411859546 0.017105204053925547  -1.3514452832833868  -1.9507082404643821   -1.848656633287715  -0.9258402164532531, 0.00038196130237715966   0.0012532185979675264  8.3483490741644092e-06 -6.8103131210986027e-05 -0.00073874198756742249 -2.6199332777702655e-07  0.00011174430170491552,0.0067212486267089842     63.58838900756836   -2.0407090377807617   -15.812413730621337   -1.0467657661437988     1.861666862487793  -0.22661738967895509,-0.10094121477290158   2.0672027518450093  0.50410829497228904  -1.9645346367661958 -0.12978083560378206  0.38867061046639417  0.67674789209750363,  0.54961466789245605 -0.031414657831192017   0.22216065227985382, -0.71073031425476074 -0.011614013463258743 0.0034262116532772779   0.70336037874221802,-0.00028108395054005086   0.0003949307429138571 -0.00079028290929272771,-0.00061835348606109619     0.93932199478149414 -0.00064549286616966128,  0.24695268273353577  0.027551539242267609  0.065386325120925903  0.027551539242267609   0.23243415355682373 -0.021082483232021332  0.065386325120925903 -0.021082483232021332   0.18776360154151917,   -1.0199694328614228   -0.34206636329070506    -1.0914377931685593    0.59996915867355227    0.50430083385588631   0.030789579096079933 1.2011462047212262e-05,0.00064154638675972819
IIWA_7,1714994964.1534226,-0.45279595485434276   1.0811234138040899 0.017105204053925547  -1.3514452832833868  -1.9507117878460867  -1.8486568130566279 -0.92583979702881725, 0.00031995055493773807   0.0012254796037894393  6.6786792593315274e-06 -5.4482504968788827e-05 -0.00073288885823813812 -7.4003511768961111e-06  0.00010617241879789564,0.010753997802734375   63.592421756744386  -2.0275034141540527  -15.810652980804443  -1.0450050163269042   1.8626681175231934 -0.22628363800048829,-0.09499560163950449   2.0682814086296935  0.50738234689194206  -1.9663209985043222 -0.12999458327330626  0.38830155916506759  0.67630168395586643,  0.54961210489273071 -0.031413804739713669    0.2221539169549942, -0.71073007583618164 -0.011611629277467728 0.0034330820199102163   0.70336055755615234,-0.00026922402321361005  0.00028286865563131869 -0.00074579770443961024,-0.00061756023205816746     0.93932193517684937 -0.00064423505682498217,  0.24695378541946411  0.027551274746656418  0.065385721623897552  0.027551274746656418   0.23243460059165955 -0.021082451567053795  0.065385721623897552 -0.021082451567053795   0.18776202201843262,   -1.0199556879131322   -0.34206411607051734    -1.0914219664170943    0.59996601369061153     0.5043070413099926   0.030802859519063475 1.2013722461290399e-05,0.00058254948817193508
IIWA_7,1714994964.1584272,-0.45279535566099394   1.0811288666490055 0.017105263940535506  -1.3514454031656897  -1.9507147599672698   -1.848656633287715 -0.92583907795316533, 0.00027992817790326908   0.0011984974796555047  7.7384078058344635e-06 -4.8381296093973094e-05 -0.00070519593391709409  1.2704755731576008e-06  0.00011370096111477804,-0.0040327491760253908     63.612585502624512    -2.0169389152526853    -15.806251106262208    -1.0458853912353516     1.8609993591308593   -0.22594988632202148, 24.607381059608269  3.1616615478514341  16.780154454878904 -7.0748618067187099  0.7701214708446642 0.41490115935640148 0.67607037129269942,  0.54961091279983521 -0.031413339078426361   0.22215063869953156, -0.71072989702224731 -0.011610504239797592 0.0034364608582109213   0.70336079597473145,-0.00026452721795067191  0.00024495195248164237 -0.00072778394678607583,-0.00061756058130413294     0.93932247161865234 -0.00064423546427860856,  0.24695433676242828   0.02755114808678627  0.065385423600673676   0.02755114808678627   0.23243480920791626 -0.021082436665892601  0.065385423600673676 -0.021082436665892601   0.18776123225688934,   -1.0199490952720325   -0.34206293536875876    -1.0914142380533676    0.59996451652644112    0.50431019789165532   0.030809743547521862 1.2014928607584352e-05,0.00056202238192781806
IIWA_7,1714994964.1634488,-0.45279511600547101   1.0811344393762241  0.01710544370944846  -1.3514452832833868   -1.950717827907029   -1.848656633287715 -0.92583895817994544, 0.00023352876323968358   0.0011817070724672992  1.3381482762811507e-05 -3.3909744756236448e-05 -0.00068687433749875981  1.0163804585260807e-06  9.5751697687728254e-05,-0.012098247528076173    63.631404998779296   -2.0204604148864744   -15.802729606628418   -1.0388423919677734    1.8609993591308593  -0.22561613464355468, 24.607932858973772   3.162180173459042  16.780273490586044 -7.0751280084060575 0.76994491205333571 0.41499831166408407 0.67580688106495201,  0.54960983991622925 -0.031412705779075623   0.22214743494987488, -0.71072965860366821  -0.01160920038819313 0.0034397423733025789   0.70336103439331055,-0.00025507525424472988  0.00022126588737592101 -0.00071075413143262267,-0.00061600503977388144     0.93932247161865234 -0.00064176000887528062,  0.24695487320423126  0.027550984174013138  0.065385155379772186  0.027550984174013138   0.23243503272533417 -0.021082397550344467  0.065385155379772186 -0.021082397550344467   0.18776047229766846,   -1.0199410970317402   -0.34206118408253161    -1.0914052542254638    0.59996237711601452    0.50431263173589258   0.030815925447846837 1.2016011297077966e-05,0.00054451689356938004
IIWA_7,1714994964.1684248,-0.45276779200336642   1.0811425886457509 0.017136962283160993  -1.3514665553563099  -1.9507183073489744  -1.8486562737498891 -0.92583805933538066,  0.0012797830947753276   0.0012713364390437238   0.0012714481347115914  -0.0008780107127301333 -0.00056867714781812337  1.5194617405051628e-05  0.00011255514074131863,-0.22717820358276367    63.61124125289917  -2.4941021156311036  -15.526291885375976  -1.0925452613830566   1.8640031242370605 -0.22661738967895509, 24.608530205011139  3.1627083971830241  16.780356633738013 -7.0754439204469657 0.76978505197468494 0.41509663853153783 0.67563209347061148,  0.54960876703262329 -0.031412255018949509    0.2221442312002182, -0.71072942018508911  -0.01160811074078083 0.0034427244681864977   0.70336127281188965, -0.0002472065098118037  0.00019502497161738575 -0.00069636915577575564,-0.00061600538901984692      0.9393230676651001 -0.00064176041632890701,  0.24695540964603424  0.027550827711820602  0.065384887158870697  0.027550827711820602   0.23243524134159088 -0.021082373335957527  0.065384887158870697 -0.021082373335957527   0.18775971233844757,   -1.0199334993625797   -0.34206000908465484    -1.0913968739618696    0.59996107773763185    0.50431503149361845      0.030821935024683 1.2017130401886789e-05,0.00052885024342685938
IIWA_7,1714994964.1734238,-0.45231598669205042   1.0811668566854182 0.017648568792385758   -1.351628582015671   -1.950707090117872  -1.8486522590562773 -0.92583584222181525,   0.019096038928460277   0.0019877907379299573    0.021481418876759844   -0.007183474944630449 -6.2524741575872649e-06  0.00017274343839507149  0.00017872865520929016, -9.3022080993652345   61.858339611053466  -8.9181978225708001  -13.201221752166747  -1.0714162635803222   2.0872829971313478 -0.26366382598876953, 24.608532611481003  3.1626372697219436  16.780384479445182 -7.0754028912321481  0.7698155153212094  0.4150849531466777 0.67563209347061148,  0.54960876703262329 -0.031412255018949509    0.2221442312002182, -0.71072942018508911  -0.01160811074078083 0.0034427244681864977   0.70336127281188965, -0.0002472065098118037  0.00019502497161738575 -0.00069636915577575564,-0.00061457447009161115     0.93932324647903442 -0.00063940562540665269,  0.24695540964603424  0.027550827711820602  0.065384887158870697  0.027550827711820602   0.23243524134159088 -0.021082373335957527  0.065384887158870697 -0.021082373335957527   0.18775971233844757,   -1.0199334993625797   -0.34206000908465484    -1.0913968739618696    0.59996107773763185    0.50431503149361845      0.030821935024683 1.2017130401886789e-05,0.00052885024342685938
IIWA_7,1714994964.1784253,-0.45182888787801601   1.0811605649916309 0.018207692872243778  -1.3517665205133609  -1.9507021045848636  -1.8486447688667091 -0.92583086879702858,  0.034760783704144801  0.0013385648388520863   0.039550098295728697  -0.011264319863297876 0.00019441934101105331 0.00043780233344157122 0.00034191991563421259, -18.369172496795656   61.924207847595213  -13.772585067749024  -13.147518882751465 -0.91735065460205079    1.940432258605957 -0.19157346343994142, 24.107646205995358  3.1800706354917496  16.340645392068964 -6.9623685260585191 0.79214437442012398 0.56670826910462813 0.67596463359676628,  0.54960441589355469 -0.030931252986192703   0.22220146656036377, -0.71053987741470337  -0.01187241543084383 0.0036899007391184568   0.70354712009429932,-0.00030622543999925256    0.019128721207380295   0.0018594510620459914,-0.00061388261383399367      0.9393233060836792 -0.00063824851531535387,   0.2469119131565094  0.027528516948223114  0.065414480865001678  0.027528516948223114   0.23249989748001099 -0.021010424941778183  0.065414480865001678 -0.021010424941778183   0.18774320185184479,   -1.0185392505883684   -0.34037946304188438    -1.0884111651305872    0.59849695366143152    0.50481838594151895   0.032782280983134626 1.2420548145541943e-05,0.013299770653247833
IIWA_7,1714994964.1834245,-0.45153221833892515   1.0811700325301585 0.018805046534954399  -1.3520133954816431  -1.9507054601548834  -1.8486445292111862 -0.92582853191024328,  0.039675408526950035  0.0014495534121855343   0.055534225145007797  -0.018886454621927909 2.1312672014949847e-05 0.00035982808767254573 0.00036701140391951116, -21.997302505493163   61.683587146759031  -14.639754352569581  -12.384233837127685  -1.0450050163269042   2.1043043327331543 -0.19390972518920899, 24.107653430763921  3.1800029043865745  16.340675265881508 -6.9623309455321527 0.79217331674232194 0.56669668279489738 0.67596463359676628,  0.54960441589355469 -0.030931252986192703   0.22220146656036377, -0.71053987741470337  -0.01187241543084383 0.0036899007391184568   0.70354712009429932,-0.00030622543999925256    0.019128721207380295   0.0018594510620459914,-0.00061393517535179853     0.93940377235412598 -0.00063830323051661253,   0.2469119131565094  0.027528516948223114  0.065414480865001678  0.027528516948223114   0.23249989748001099 -0.021010424941778183  0.065414480865001678 -0.021010424941778183   0.18774320185184479,   -1.0185392505883684   -0.34037946304188438    -1.0884111651305872    0.59849695366143152    0.50481838594151895   0.032782280983134626 1.2420548145541943e-05,0.013299770653247833
IIWA_7,1714994964.188432,-0.45143173067999232   1.0811636808406782 0.019535784585920968  -1.3523502121750193  -1.9506975026752249  -1.8486507010226705 -0.92582709375893968,  0.035759833178873435 0.00090557515053333822   0.073656902154669024  -0.028581831432588401 0.00033534932395347952 4.0990010765098908e-05  0.0003511351752796502, -19.909682682037353   61.109592514038084  -11.887702388763428  -12.333172092437744  -0.7712084197998047   1.9230771713256836 -0.22761864471435547, 23.454877529156395  3.2417037732665785  15.683239739828363 -6.8115463022450813 0.82278981655628414 0.81241812183966244 0.67755426311055278,  0.54959136247634888 -0.030041391029953957   0.22235539555549622, -0.71015220880508423   -0.0123772993683815 0.0041191140189766884   0.70392733812332153,-0.00086286966688930988    0.043968301266431808    0.006674319040030241,-0.00061890110373497009     0.93940377235412598 -0.00065652665216475725,  0.24682356417179108  0.027481459081172943  0.065474860370159149  0.027481459081172943   0.23262344300746918 -0.020872026681900024  0.065474860370159149 -0.020872026681900024   0.18771767616271973,   -1.0157155920582639   -0.33725734384670858    -1.0826011651605683    0.59579433264378423    0.50567947319724027   0.036467502193993084 1.3190270209406663e-05,0.030772166326642036
IIWA_7,1714994964.1934354,-0.45137726233561298   1.0811630217607193 0.020573438785850738  -1.3527963848725066  -1.9506971192263882    -1.84864920309384 -0.92582649456559085,  0.030786600318272052 0.00069809692207341864      0.100431689720926   -0.04071237304556545 0.00028361741263009291 9.2709161833257539e-05 0.00030487587417679879, -15.976407985687256   60.592056369781496  -10.694794387817383  -12.283871097564697 -0.92967590332031247   1.8823594665527343 -0.22828614807128905, 23.346739496484997  3.2568649399324401  15.438762023524044 -6.7336330966101245  0.8350738258444087 0.91942853713768968 0.66201273131216398,  0.54954516887664795 -0.029683949425816536   0.22244544327259064, -0.70989197492599487 -0.012531837448477745 0.0042780512012541294    0.7041860818862915,-0.0025639906525611877   0.049465343356132507  0.0089567191898822784,-0.00061900238506495953     0.93955755233764648 -0.00065663416171446443,  0.24679882824420929  0.027443161234259605  0.065500564873218536  0.027443161234259605   0.23268230259418488 -0.020811021327972412  0.065500564873218536 -0.020811021327972412   0.18769165873527527,    -1.013786128305938   -0.33604412195753497    -1.0796262017986891    0.59467220212283678    0.50579413466422807   0.038058822531716885 1.3550849331522841e-05,0.034819807857275009
