DesiredFlux,1.066,HitTime,1715021134.9115107,DesiredPos, 0.5599706768989563 -0.3130958080291748 0.21797770261764526
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715021134.3738961, 0.58118727060684672   1.0698200726286353 -0.21096448283752026  -1.4836603457736408  -1.0901575779371011   1.6438484467210128   -0.603320576031384, 0.00055240091694746813  8.6987262137515659e-06 -0.00036344333365357783 -1.8342416052113597e-05  0.00061055950991541891 -3.0883503235646441e-05  -0.0029515163993118097,-2.3559507141113283  66.964555450439462  7.0465570602416996 -14.383472061157226  1.3011941146850585 -1.9591223526000976 0.57438663864135742,  0.75045127103895004    2.5275255213164405   0.73387627396036603    1.9758484996121088 -0.077926426070595453  -0.06149054668294901  -0.48303676760469283, 0.54545795917510986 0.021351257339119911  0.22897852957248688, 0.51641941070556641 -0.49996280670166016  0.50436639785766602  0.47850048542022705,-0.00010193790512857959  0.00021532626124098897  4.1157522900903132e-06, 0.025993702933192253   -1.5534459352493286 -0.019707994535565376,  0.24413107335567474 -0.010908608324825764  0.068698950111865997 -0.010908608324825764   0.23894922435283661  0.018409768119454384  0.068698950111865997  0.018409768119454384   0.18253456056118011,    0.38205361435483809     -0.3576074396658413     0.65832366381446406      0.3389390018231353   -0.018447363067330969     0.09272458378273285 -1.7763568394002505e-12,0.00016347027849406004
IIWA_14,1715021134.3788941, 0.58118757025806267   1.0698200127420252 -0.21096478248873621  -1.4836606454248567  -1.0901541265485053   1.6438483268387099 -0.60333771352839249, 0.00045390678219603192  4.5635165663870083e-06 -0.00030274071556091967 -2.6659981475307395e-05  0.00062650315176472897 -2.9502094707459184e-05  -0.0030467129997890606,-2.3739547042846683  66.956839454650876   7.070753555297852 -14.403635807037354  1.3170408630371093 -1.9681336479187013 0.57705665206909185, -61.413351094303884   9.4943532662586261  -40.719838134752322  -22.187653700343542   1.2063157297473583   3.1886396636216596 -0.48204904232788215, 0.54545742273330688 0.021351080387830734  0.22897835075855255, 0.51642310619354248 -0.49995926022529602  0.50436186790466309  0.47850501537322998,-0.00010295694664819166  0.00016517601034138352 -3.3529317988723051e-06, 0.025995645672082901   -1.5534459352493286 -0.019707906991243362,  0.24413105845451355 -0.010908658616244793  0.068698957562446594 -0.010908658616244793     0.238949254155159  0.018409661948680878  0.068698957562446594  0.018409661948680878   0.18253454566001892,   0.38205525465695445   -0.35760546677909844    0.65832148027133996      0.338937727889288  -0.018450735107755634   0.092722887777618723 8.8817841970012523e-13,0.00013355289411265403
IIWA_14,1715021134.3838956, 0.58118775002697565   1.0698200726286353 -0.21096490237103921  -1.4836608850803796  -1.0901512502458979   1.6438485666033158 -0.60335646883653438, 0.00037031618227594096  6.0462776577238521e-06 -0.00024698786456878803 -3.0914206099534651e-05  0.00061625462570874751 -1.4011091528083288e-05  -0.0031875827255065411,-2.4151066818237306   66.94140746307373  7.0801633033752438 -14.411701305389405  1.3152801132202148 -1.9664648895263672 0.57705665206909185, -61.411720906695052   9.4930447760841385  -40.720064740136124  -22.186055250091425   1.2057047996977954   3.1885290172123621 -0.48092282674628684, 0.54545670747756958 0.021351071074604988  0.22897794842720032, 0.51642727851867676 -0.49995583295822144  0.50435656309127808  0.47850969433784485,-0.00011073154746554792  0.00013179257803130895 -1.9308767150505446e-05, 0.025997141376137733   -1.5534459352493286 -0.019707538187503815,  0.24413107335567474 -0.010908764787018299  0.068698950111865997 -0.010908764787018299   0.23894926905632019  0.018409563228487968  0.068698950111865997  0.018409563228487968   0.18253453075885773,  0.38205893693010751  -0.35760369267023862   0.65832058925963111   0.33893686389774302 -0.018455708326925446  0.092722336346717782                     0,0.00011883705155923963
IIWA_14,1715021134.3888955, 0.58118049949293049   1.0698231885867655 -0.21098215964126754  -1.4836786816573468  -1.0901456896269011   1.6438640860710245 -0.60337492449346042, 6.2315840145274817e-06  0.00012947534733355037 -0.00088788110078832862 -0.00073659444356805168  0.00071542846043955069  0.00060956983512651245  -0.0032882924574469089,-2.2685027618408204  66.799947540283213  7.2992760086059567 -14.129408863067628  1.2915099906921386 -2.0088513526916505 0.57805790710449223, -61.410409751214182   9.4916375265467181  -40.720403807953559  -22.184402964475314   1.2052524624160557   3.1883801791341906 -0.47959771616482422, 0.54545605182647705 0.021351063624024391  0.22897757589817047, 0.51643174886703491 -0.49995177984237671  0.50435101985931396  0.47851485013961792,-0.00011469816672615707  0.00010507732076803222 -3.0024200896150433e-05, 0.025998720899224281   -1.5534461736679077 -0.019707364961504936,  0.24413110315799713 -0.010908863507211208  0.068698935210704803 -0.010908863507211208   0.23894926905632019  0.018409498035907745  0.068698935210704803  0.018409498035907745   0.18253448605537415,  0.38206238186866415  -0.35760250161676055   0.65832047441638508   0.33893645989468979 -0.018459935185788368  0.092721356521607845                     0,0.00010868960089283064
IIWA_14,1715021134.3938951, 0.58102710141414193   1.0698736421284498 -0.21144511018885442  -1.4840643939678837  -1.0900750306702658   1.6442106099584508 -0.60339847356655907,-0.0061309378843307002  0.0021217219452394154  -0.019228326784105954  -0.016017767976328701  0.0033987010337625293   0.014348611365152674  -0.003572596889903521, 6.5997483978271489  62.481561897277835  13.731510944366455 -6.5532174110412598 0.59865493774414058 -3.5194114494323729 0.64847951126098635, -61.386761069226118   9.4845942208995915  -40.701613244873194  -22.168998956554113   1.2015034364749815    3.178790828916366 -0.47656737726992265,0.54544824361801147 0.02133704349398613 0.22898034751415253, 0.51642328500747681 -0.49994483590126038  0.50434422492980957  0.47853845357894897,-0.00040312556666322052 -0.00047673832159489393  8.6694439232815057e-05, 0.026000248268246651   -1.5534461736679077 -0.019707474857568741,  0.24413192272186279 -0.010908082127571106  0.068698890507221222 -0.010908082127571106   0.23895041644573212  0.018407557159662247  0.068698890507221222  0.018407557159662247   0.18253260850906372,    0.38203137597836445    -0.35755747971677465     0.65825407976305428     0.33889497647887623   -0.018476267697131732    0.092642800835207595 -1.7763568394002505e-12,0.00043244106927886605
IIWA_14,1715021134.3988934,0.58097125491415202  1.0698643543588353 -0.2119637275766014 -1.4843389524760964 -1.0900209577520452   1.644635870229924 -0.6034239998795341, -0.007138610307060915  0.0013258667716112235  -0.036127356937163659  -0.023796554709569942  0.0048818775558328743   0.028489299951048548 -0.0038791300309241258, 12.018949440002443  62.193498054504396  17.109610504150389 -6.5774139060974122  0.6611615562438965  -2.696046058654785 0.49128247070312497, -60.861635510440735   9.3719213080816299  -40.230526159882018  -21.860959174741975   1.1300096224921041   2.9566335375300072 -0.44053575354648172, 0.5452958345413208 0.02100478857755661 0.22907888889312744, 0.51610559225082397 -0.49988430738449097    0.504325270652771  0.47896414995193481,-0.0064234179444611073  -0.013666682876646519  0.0040147481486201286, 0.026002109050750732   -1.5534460544586182 -0.019707193598151207,  0.24414095282554626 -0.010887020267546177  0.068702809512615204 -0.010887020267546177   0.23897780478000641  0.018360700458288193  0.068702809512615204  0.018360700458288193    0.1824977844953537,   0.38120638058813938   -0.35648259077358802    0.65660925430321981    0.33790095729191449  -0.018757703184490992   0.090809096820798629 8.8817841970012523e-13,0.010719716548919678
IIWA_14,1715021134.4038925, 0.58094926387465995   1.0698695675482279 -0.21258774616145781  -1.4847740398239229  -1.0899557635958308   1.6453528863932283 -0.60345156364624475,-0.0065905298253317425  0.0012692209929936434   -0.05386262894398762  -0.036440737680715575  0.0065132682932431372   0.051472086493012006  -0.004205854693165206, 14.518932075500489   63.35346942138672  17.429541938781739 -7.4216027336120609 0.92351327896118163 -3.2470700798034668 0.48694369888305666, -60.526337411918512   9.3537211120906001  -39.841296494532564  -21.686979403437572   1.1028357479507642   2.7594848813769266 -0.43300979788492766, 0.54518043994903564 0.020731048658490181   0.2292502224445343,  0.5157509446144104 -0.49984225630760193  0.50437349081039429  0.47933915257453918,-0.0097609031945466995  -0.021870959550142288   0.010071434080600739,  0.02600385993719101   -1.5534484386444092 -0.019706960767507553, 0.24412891268730164 -0.01087254099547863  0.06871485710144043 -0.01087254099547863  0.23900136351585388 0.018323851749300957  0.06871485710144043 0.018323851749300957  0.18248651921749115,    0.38062480765610474    -0.35566622741090015     0.65532600654627515     0.33717457210524771   -0.018938038037319416    0.089005764742466909 -8.8817841970012523e-13,0.017823902890086174
IIWA_14,1715021134.4088938, 0.58094680710557167   1.0698764584353639 -0.21336612155627754  -1.4854119600653546  -1.0898506858736816   1.6462850194046625 -0.60347972660630411,-0.0053706946237964777  0.0012910122798354322  -0.074225118947979313  -0.054669399801841337  0.0094137235205618217   0.078462989651779363 -0.0044912021569067078, 14.608952026367188  63.831861160278322  15.608083560943603 -7.7415341682434082 0.51678007125854486 -3.0334690055847169 0.63112442398071289, -60.146363563698628   9.2969275546275796  -39.392091296117293  -21.438226266232483   1.0635392002343758   2.4851560580366745 -0.40771133092219491, 0.54497760534286499 0.020402839407324791  0.22947455942630768, 0.51527214050292969 -0.49973517656326294  0.50443953275680542  0.47989597916603088,-0.015934692695736885 -0.030596623197197914  0.017044343054294586, 0.026032811030745506   -1.5535035133361816 -0.019723262637853622,   0.2441287636756897 -0.010856396518647671  0.068722397089004517 -0.010856396518647671   0.23903003334999084  0.018287386745214462  0.068722397089004517  0.018287386745214462   0.18245846033096313,    0.37996876581392058    -0.35485836662996206     0.65398986699083395     0.33642501657205059   -0.019097446518401284    0.086442797970320839 -2.6645352591003757e-12,0.02639579214155674
IIWA_14,1715021134.4138932, 0.58094201344969798   1.0698780163598876 -0.21438436125902352  -1.4862404894597259  -1.0897468546656841   1.6475581635719978 -0.60350669107058286, -0.004488301933984847  0.0010951268048127337   -0.10010968326822252  -0.076876695616324278   0.011684227136349729    0.11369615841483392 -0.0046715402966751567, 13.626448562622071  63.500073341369635  15.091891666412353 -7.2912105102539062 0.48508657455444337 -2.8742694549560546 0.65415328979492182, -59.686892586807353   9.1983550310768472   -38.86434711202206  -21.109943203706951    1.002582409355093   2.1470699184414701 -0.36511078409229697, 0.54468351602554321 0.019988741725683212  0.22974663972854614, 0.51467150449752808 -0.49957573413848877  0.50450783967971802  0.48063415288925171,-0.024529986083507538 -0.040986388921737671  0.024546589702367783, 0.026632651686668396   -1.5535359382629395 -0.020146999508142471,  0.24413947761058807 -0.010834561660885811  0.068727016448974609 -0.010834561660885811   0.23906698822975159  0.018241904675960541  0.068727016448974609  0.018241904675960541   0.18241201341152191,  0.37908753967030862  -0.35386061952102921   0.65228215863832872   0.33546162542741342 -0.019291946061983367  0.083128358010498005                     0,0.036838866770267487
IIWA_14,1715021134.4188948, 0.58092577479725438   1.0698790350867553 -0.21562748489055972  -1.4872308658536284   -1.089624423832914   1.6491273179802988 -0.60353599253072987,-0.0042401876449319137 0.00091685051856026502    -0.1298126918760259    -0.1011164122491609   0.014244615019883056    0.15372310306390577 -0.0049092906432206523, 13.531284614562988  63.677541244506841  16.212995937347412 -6.3408259544372561 0.76504579544067386 -3.4272959861755372 0.57905916213989261, -59.094541057187463   9.0912384106974784  -38.171494691084909  -20.688589225938191  0.93277757839566544   1.6940520131473824 -0.31586428119980076, 0.54430049657821655 0.019448619335889816  0.23012198507785797, 0.51386380195617676 -0.49935990571975708  0.50461602210998535   0.4816080629825592,-0.034978445619344711 -0.054290767759084702  0.034701861441135406, 0.027199488133192062   -1.5535770654678345 -0.020730346441268921,  0.24415184557437897 -0.010807034559547901  0.068733640015125275 -0.010807034559547901   0.23911494016647339  0.018185438588261604  0.068733640015125275  0.018185438588261604   0.18235296010971069,   0.37797305481657162   -0.35261494762028889    0.65014785761974281    0.33425934231345877  -0.019508569452320046   0.078716442351023375 2.6645352591003757e-12,0.05028841644525528
