DesiredFlux,0.994,HitTime,1715020988.1615324,DesiredPos,0.53686344623565674 0.32011252641677856   0.219066321849823
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715020987.644712,-0.46332373694189205   1.1307429585229267 0.014734364833228953  -1.3247506620696066  -1.9646234596441465  -1.8930824545983196 -0.94271807980930011, 0.00020212681067401865 -0.00011205159575780674  1.4887108656529971e-05   -0.003280395827666825 -8.5708658507270244e-06  0.00059576497472140595  0.00013927252006528491,0.061835487365722655    64.47424957656861  -1.8540695571899415  -15.084343681335449  -1.2096351242065428   1.7201561508178711 -0.17188211441040038,-0.19887398903854558  -3.6372864675348233  0.93375646128109147 -0.13269366670634147  0.73501743683914045  0.40349994988179905  0.22951262542179235,  0.54227054119110107 -0.039205119013786316   0.20698767900466919, -0.69759291410446167 -0.017372868955135345  0.015390980988740921   0.71611833572387695, -0.0007491095457226038  0.00051515287486836314 -0.00047110207378864288,-0.0061005470342934132     1.4361428022384644   0.013592981733381748,  0.24999269843101501  0.029064958915114403  0.063592143356800079  0.029064958915114403   0.23231954872608185 -0.023056769743561745  0.063592143356800079 -0.023056769743561745   0.18355394899845123,    -1.077088090529088   -0.38207419852387403    -1.1431304498490391     0.6701609993635671    0.55148166363228057     0.1120559367659979 3.1794936461437828e-05,0.00070867280010133982
IIWA_7,1715020987.6497052,-0.46332265832841429   1.1307430185186198 0.014734304946618993  -1.3247694772643583  -1.9646234596441465  -1.8930797581737084 -0.94271724085134523, 0.00020484598764946633 -8.7241448883035831e-05  9.5142225268547368e-06  -0.0033769244522044851 -6.8566926805816199e-06  0.00058446896422305566  0.00014497633424763147,0.087376232147216792   64.472905326843261  -1.8514284324645995  -15.088745555877685  -1.2140369987487794   1.7204899024963378 -0.17021335601806639,  36.73470658328349  3.4730257286810096  22.856869099248385 -9.3008387310387395 0.86510203209299341   3.038107281058565 0.22852306195911318,  0.54226624965667725 -0.039201945066452026   0.20698465406894684, -0.69759082794189453 -0.017367241904139519  0.015396560542285442   0.71612036228179932,-0.00077052984852343798  0.00053906312678009272 -0.00049768213648349047,-0.0060975584201514721     1.4361439943313599   0.013596467673778534,  0.24999444186687469  0.029064135625958443  0.063591279089450836  0.029064135625958443   0.23232024908065796 -0.023056654259562492  0.063591279089450836 -0.023056654259562492   0.18355199694633484,   -1.0770510870852235   -0.38206903459325758     -1.143107272808308    0.67013732308485174    0.55147565567370549    0.11206367304428255 3.1795976518367297e-05,0.00073635304579511285
IIWA_7,1715020987.6547048,-0.46332211902167542   1.1307429585229267  0.01473442471983891  -1.3247886519969361  -1.9646234596441465  -1.8930766422155783 -0.94271712107812533, 0.00018544905967469877 -7.2192986829638231e-05  1.2402306818152882e-05  -0.0034685288648728437 -5.4853541444652961e-06  0.00059221349658581583    0.000120771996194011,0.10619572830200195  64.456774330139154 -1.8452658081054687 -15.072018432617186 -1.2096351242065428  1.7201561508178711 -0.1712146110534668, 36.733865777900299  3.4707887650357887   22.85716283753559 -9.2988034393379397  0.8656796974803016  3.0385933427398673 0.22743730028116271,  0.54226177930831909 -0.039198640733957291   0.20698164403438568,-0.69758862257003784  -0.0173612330108881  0.01540245208889246  0.71612250804901123,-0.0007966264383867383  0.0005633615655824542 -0.0005188770592212677,-0.0060940985567867756     1.4361454248428345   0.013600489124655724,  0.24999628961086273  0.029063286259770393  0.063590362668037415  0.029063286259770393   0.23232097923755646 -0.023056549951434135  0.063590362668037415 -0.023056549951434135   0.18354997038841248,   -1.0770130264718958   -0.38206393631146085    -1.1430841102795242    0.67011259738958273    0.55146937264893836    0.11207181290373569 3.1797049437898295e-05,0.00076482375152409077
IIWA_7,1715020987.6597102,-0.46329401605730902   1.1307576991374568 0.014765344100202617  -1.3248367087652251  -1.9646230761953098  -1.8930411689439468 -0.94271622223356055, 0.0012724778223955338 0.00053187019174055165  0.0012466970600027859 -0.0046970938234585351 1.0949670151737024e-05  0.0018927016625265585 0.00013257137954634482,-0.10485147857666016   64.213465129852295  -2.3048215103149414  -14.696978721618652  -1.2298837471008301    1.610018096923828 -0.17154836273193361, 36.733089389576378  3.4663646094757388  22.858172694510866 -9.2948925330865837 0.86679476249341525  3.0393544769654732 0.22526393708326095,  0.54225218296051025 -0.039192482829093933   0.20697517693042755, -0.69758403301239014 -0.017348393797874451  0.015414067544043064   0.71612703800201416,-0.00085368729196488857  0.00058156438171863556 -0.00056499679340049624,-0.0060902298428118229     1.4361464977264404   0.013604666106402874,  0.25000026822090149   0.02906147763133049  0.063588410615921021   0.02906147763133049   0.23232240974903107 -0.023056423291563988  0.063588410615921021 -0.023056423291563988   0.18354567885398865,   -1.0769327332456058   -0.38205604150309824    -1.1430379075862973    0.67006314075257478    0.55145480958884718    0.11208594990730347 3.1798787603065648e-05,0.0008148527704179287
IIWA_7,1715020987.6647351,-0.46283316274098457   1.1308755640580039 0.015263827915113952   -1.325185569539437  -1.9646218296811579  -1.8926851775179929 -0.94271388534677525,  0.019452114910894425  0.0051400929752766838   0.020936710244455651  -0.017712106027243754 5.8620302197310664e-05   0.015753818368176575 0.00019953257504921694, -9.0683086471557619   59.852719020843509  -8.1012099075317376   -10.03539358139038  -1.0784592628479004   1.1761409149169921 -0.17822339630126954,  36.70499005009551  3.4395978643922036  22.844294103772551  -9.275362514533521 0.87601971358983177  3.0368071978763136 0.21970869747466715, 0.54224544763565063 -0.03915892168879509  0.20696017146110535, -0.69757479429244995 -0.017340116202831268  0.015436556190252304   0.71613574028015137,-0.00095286895520985126   0.0018076333217322826  -0.0010517711052671075,-0.0060859452933073044      1.436147928237915   0.013609300367534161, 0.25000330805778503 0.029056284576654434 0.063587896525859833 0.029056284576654434  0.23232775926589966 -0.02305157296359539 0.063587896525859833 -0.02305157296359539  0.18353906273841858,   -1.0766907319341712   -0.38193712590128825    -1.1427576826239516    0.66990844946612782    0.55143175250105259     0.1121531810408527 3.1811435263762178e-05,0.0015905509935691953
IIWA_7,1715020987.6697063,-0.46233815431294628   1.1308461427155538 0.015845002921073978  -1.3254643226192577  -1.9646041889402763   -1.891978407855478 -0.94271316627112334,  0.035362029050247157  0.0029352206822174367   0.039996368433965548  -0.025319808014624044 0.00075252587702261912   0.040873841195138372  0.0001883890861158351, -17.994126823425294   59.340559875488282   -12.55678731918335  -10.009862709045411 -0.62594655990600589   1.2929540023803712 -0.15652953720092774, 36.705037127392671  3.4394600480755595  22.844376860942358 -9.2752806281816227 0.87608794902875187  3.0367939250055609 0.21970869747466715, 0.54224544763565063 -0.03915892168879509  0.20696017146110535, -0.69757479429244995 -0.017340116202831268  0.015436556190252304   0.71613574028015137,-0.00095286895520985126   0.0018076333217322826  -0.0010517711052671075,-0.0060814209282398224     1.4361505508422852   0.013613834977149963, 0.25000330805778503 0.029056284576654434 0.063587896525859833 0.029056284576654434  0.23232775926589966 -0.02305157296359539 0.063587896525859833 -0.02305157296359539  0.18353906273841858,   -1.0766907319341712   -0.38193712590128825    -1.1427576826239516    0.66990844946612782    0.55143175250105259     0.1121531810408527 3.1811435263762178e-05,0.0015905509935691953
IIWA_7,1715020987.6747036,-0.46202740334836723   1.1307790310969901  0.01652726477931564  -1.3258752018140267  -1.9645957520186723  -1.8909917466130544 -0.94271160834659984,   0.040719661823359884 -0.00033628819677662463    0.059287569076838909   -0.036691014202459613  0.00093949756577873047    0.072165522653056161  0.00021302824983261519, -22.114252231597899   59.328461627960202  -13.919607677459716  -11.069834098815917  -1.2351659965515136   1.2755989151000977 -0.15385952377319337, 35.892830172752809  3.1993974712844535  22.262229971204398 -9.0631150578539224  0.9844528501056985    2.99548852728645 0.18077296296319145,   0.5423235297203064 -0.038171697407960892   0.20683369040489197, -0.69744372367858887 -0.017551107332110405  0.015776926651597023   0.71625083684921265, 0.0025436703581362963   0.036831941455602646 -0.0050723198801279068,-0.0060717281885445118     1.4361605644226074   0.013623626902699471,  0.24995054304599762  0.028946667909622192   0.06364421546459198  0.028946667909622192   0.23246704041957855 -0.022882778197526932   0.06364421546459198 -0.022882778197526932   0.18348430097103119,   -1.0713428455622065   -0.37797872109823771    -1.1348699524997841    0.66588339103734739    0.55114028327007958    0.11400818835483051 3.2179995557157781e-05,0.025786841288208961
IIWA_7,1715020987.679704, -0.4619230207690424   1.1307053880200328 0.017371014208345779  -1.3264712970943466  -1.9645893285088931  -1.8895698782495844 -0.94271118881308091,  0.036751032631680884 -0.0032147536357105193   0.081180032422676685  -0.053196622574763576  0.0010085384437908437    0.11460715266124147 0.00018720394062309161, -20.666495277404785   59.411805110931397  -12.111317615509034  -10.943060111999511 -0.75976354598999019  0.89245198822021488 -0.16587458419799805, 35.893120168749427  3.1991188040877572  22.262527273525269 -9.0629778898674243 0.98460664224824124  2.9954684505405345 0.18077296296319145,   0.5423235297203064 -0.038171697407960892   0.20683369040489197, -0.69744372367858887 -0.017551107332110405  0.015776926651597023   0.71625083684921265, 0.0025436703581362963   0.036831941455602646 -0.0050723198801279068,-0.0060700406320393085     1.4361604452133179   0.013653811067342758,  0.24995054304599762  0.028946667909622192   0.06364421546459198  0.028946667909622192   0.23246704041957855 -0.022882778197526932   0.06364421546459198 -0.022882778197526932   0.18348430097103119,   -1.0713428455622065   -0.37797872109823771    -1.1348699524997841    0.66588339103734739    0.55114028327007958    0.11400818835483051 3.2179995557157781e-05,0.025786841288208961
IIWA_7,1715020987.684705,-0.46189869273368195   1.1306207194800248  0.01850508137790342   -1.327202514565442  -1.9645809875803979  -1.8878032238012077 -0.94271118881308091,  0.030373947519762898 -0.0059585445088881249    0.11030671272044699  -0.071805996903626518  0.0011404678948415039    0.16235190006406353 0.00014976315249847329,  -16.69692583847046   59.380887367248533  -11.164034214019775  -10.731770133972168 -0.99218252182006839   1.3974182777404784 -0.16520708084106445, 35.706990868681515  3.1321141323633048  22.079907574608008 -9.0510416300712624  1.0162224555607076  2.8697504143362176 0.16548947630993241,  0.54241383075714111 -0.037708528339862823   0.20675458014011383,  -0.6974751353263855 -0.017553109675645828  0.015788204967975616   0.71621996164321899, 0.0056160725653171539   0.048002086579799652 -0.0072104618884623051,-0.0060711605474352837     1.4364255666732788   0.013656331226229668,  0.24992385506629944  0.028860200196504593  0.063679963350296021  0.028860200196504593   0.23253384232521057 -0.022786438465118408  0.063679963350296021 -0.022786438465118408   0.18346866965293884,   -1.0675290913360058   -0.37594613304747782    -1.1301167336776885    0.66368051516185744    0.55035941349323991    0.11393101934942251 3.2159075402660164e-05,0.033809132874011993
IIWA_7,1715020987.6897075,-0.46182163415646177   1.1305009970928213 0.019941330818077467  -1.3280828757661913  -1.9645813710292346  -1.8855618740483751 -0.94271130869538389,  0.027381501104617491 -0.0095557310952541531     0.1456953477833195  -0.092659245552873304 0.00089703636240589385    0.21953551016455616 0.00011501522987983661, -15.711590789794922   59.831211025238041  -11.304894199371338  -10.878792743682862   -1.213156623840332  0.76963137054443365 -0.16353832244873046, 35.669449563298812  2.9826795550153218  21.987082077546393 -9.0329448645862982  1.0670194618884554  2.6436727956507622 0.12886227325051669, 0.54251605272293091 -0.03727257251739502  0.20660169422626495, -0.69756060838699341 -0.017387578263878822  0.015690987929701805   0.71614289283752441,0.0085425479337573051   0.05585324764251709 -0.011864063329994678,-0.0062398239970207214     1.4364218711853027   0.013979542069137096,  0.24991868436336517  0.028733368963003159  0.063713766634464264  0.028733368963003159   0.23260222375392914 -0.022680340334773064  0.063713766634464264 -0.022680340334773064   0.18344059586524963,   -1.0622140672182923   -0.37390747944243685    -1.1243585498608155     0.6612410194959395    0.54888747311121477    0.11293685214841531 3.1950272649794442e-05,0.03994295746088028
