DesiredFlux,0.727,HitTime,1715020466.91044,DesiredPos,  0.539642333984375 0.32790672779083252 0.21886813640594482
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715020466.3491549,    -0.4595255166262   1.1036225977266276 0.038503397196058504  -1.3537891580398045  -1.9573503773413767  -1.8542874812793431 -0.92202288129159327, 7.1033463242124402e-06  1.0744073976340125e-07   0.0019524728205129072  -0.0014459657563920798  3.4158887613847427e-06  0.00038172736965783521 -8.5053174231772026e-06,0.0013442497253417969    63.724158229827879   -2.7626164627075194   -15.036803436279296   -1.1814631271362304    1.6627508621215821  -0.18055965805053711,-0.46893747935775421  -1.4842325691376883 -0.56638972104204888  -0.4060050055092268  0.25365655675043214  0.31211345889736297 -0.42005670783070698,  0.54564952850341797 -0.026161679998040199   0.21468488872051239,  -0.70050925016403198 -0.0089231347665190697   0.014338168315589428    0.71344345808029175,-0.00023599987616762519  0.00089530320838093758  9.9736404081340879e-05,-0.002542608417570591     1.052742600440979 0.0017701219767332077,  0.24839836359024048  0.026051368564367294  0.065151982009410858  0.026051368564367294    0.2339806854724884 -0.020029459148645401  0.065151982009410858 -0.020029459148645401   0.18474204838275909,   -0.9517830740604083   -0.32523362670300315    -1.0067776275750617    0.59117113258277953    0.50782245872849074   0.079477304326225351 2.3086700551289141e-05,0.000643090286757797
IIWA_7,1715020466.3541489,    -0.4595255166262   1.1036225977266276 0.038512505196760034  -1.3537957493848078  -1.9573503773413767  -1.8542854439346905 -0.92202282140498326, 5.6826770593699524e-06  8.5952591810721003e-08   0.0019262982844715194   -0.001420426405248042  2.7327110091077944e-06  0.00038687568182782896 -4.4087895383684093e-06,0.0067212486267089842    63.732223728179932   -2.7643772125244142   -15.040324935913086   -1.1788220024108886    1.6620833587646484  -0.18256216812133788,  27.431854359111519   2.1387654500660713   16.821803911606604  -6.5103016208213784  0.91732165847038183   1.8618097298206133 -0.42015032351217868,  0.54564845561981201 -0.026157520711421967   0.21468533575534821, -0.70050603151321411 -0.008923552930355072  0.014340094290673733   0.71344655752182007,-0.0002321804640814662 0.00088262133067473769 9.7937052487395704e-05,-0.0025417653378099203     1.0527435541152954  0.0017696380382403731,  0.24839842319488525  0.026050671935081482   0.06515214592218399  0.026050671935081482   0.23398140072822571 -0.020028697326779366   0.06515214592218399 -0.020028697326779366   0.18474145233631134, -0.95172047363067946  -0.32520506645816738   -1.0066979202054682   0.59113812640188002   0.50781770587882136   0.07950644033005716 2.309289470758813e-05,0.00063386856345459819
IIWA_7,1715020466.3591247,-0.45952539674389703   1.1036226576132375  0.03852149331515857   -1.353802340729811  -1.9573503773413767   -1.854283945896777 -0.92202288129159327, 9.3414337664379913e-06  2.4642264691810375e-06   0.0019005633635186345  -0.0013999949243239298  2.1861688072862357e-06  0.00036942206200203692 -5.9224960308680799e-06,0.0053769989013671875    63.729535228729247   -2.7626164627075194   -15.048248310089111    -1.179702377319336    1.6620833587646484  -0.18322967147827149,  27.432123767219299   2.1385253773829929   16.821532691223201  -6.5102554811465705  0.91724965609909015   1.8620734727158725 -0.42027864525568481,  0.54564744234085083 -0.026153439655900002   0.21468576788902283,  -0.70050299167633057 -0.0089238556101918221   0.014341998845338821    0.71344953775405884,-0.00022607627033721656  0.00086929218377918005  9.5563802460674196e-05,-0.0025408642832189798     1.0527445077896118  0.0017692055553197861, 0.24839845299720764  0.02604997344315052  0.06515231728553772  0.02604997344315052  0.23398210108280182 -0.02002793550491333  0.06515231728553772 -0.02002793550491333  0.18474088609218597,  -0.95168921682731167   -0.32519087544358172    -1.0066580436607353    0.59112190905352691    0.50781522178944272   0.079520713631708873 2.3095933165961924e-05,0.00062377844005823135
IIWA_7,1715020466.3641181,-0.45949753343505356   1.1036303274626353 0.038560382087053036  -1.3538343385054863  -1.9573487475529212   -1.854265370357548 -0.92202288129159327,  0.0011220055007518568  0.00030876535708805624   0.0030760015665935404  -0.0023999069664714474  6.6940473266872272e-05   0.0010385592187622476 -4.7379968246944642e-06,-0.19894895935058593    63.62333950042725  -3.2151291656494139  -14.740117092132568  -1.2149173736572265   1.6066805801391602 -0.18122716140747069,  27.432237248051415   2.1382851440684338   16.821139104473605  -6.5100818870389174  0.91720304488107152    1.862529337641504 -0.42040188223432295,  0.54564636945724487 -0.026149338111281395   0.21468624472618103,   -0.7004997730255127 -0.0089243007823824883   0.014344035647809505    0.71345263719558716,-0.00022460956824943423  0.00085954758105799556  9.5523653726559132e-05,-0.0025400111917406321     1.0527454614639282  0.0017687949584797025,  0.24839849770069122  0.026049308478832245  0.065152473747730255  0.026049308478832245   0.23398281633853912 -0.020027186721563339  0.065152473747730255 -0.020027186721563339   0.18474030494689941,  -0.95165914683370545   -0.32517683558186405    -1.0066191170157168    0.59110592121403016    0.50781339668759529   0.079536111070588333 2.3099191004405384e-05,0.00061704602558165789
IIWA_7,1715020466.3691654,-0.45903931665673037   1.1036830581135781 0.039104286132252114  -1.3540655741237568  -1.9573395435591108   -1.854080094276304 -0.92202264163607028,  0.019226275533529284   0.002356238323382465   0.024216963061237971  -0.011169350303998845 0.00042171213103093852  0.0082418906247685182 5.7958234595331633e-06, -9.3331258430480961    60.94156129837036  -9.4649106407165533  -11.673771286010743  -1.1717790031433106   1.4902012443542481 -0.20592478561401367,  27.403483715596245   2.1238803196556577   16.801423624497069  -6.4948691468952653  0.92327737005016608   1.8663651199124303 -0.42352682993672686,  0.54564249515533447 -0.026115670800209045   0.21468205749988556,  -0.70048725605010986 -0.0089294658973813057   0.014362945221364498    0.71346443891525269,-0.00033444329164922237   0.0020343235228210688 -9.0782668848987669e-05,-0.0025391285307705402     1.0527465343475342  0.0017683070618659258,  0.24839860200881958  0.026045627892017365  0.065153308212757111  0.026045627892017365   0.23398745059967041 -0.020021906122565269  0.065153308212757111 -0.020021906122565269   0.18473653495311737,  -0.95148689844037904   -0.32506073170246452    -1.0063681307324046    0.59098149547587298     0.5078175348494085   0.079636423810924839 2.3119274494831643e-05,0.0014250738313421607
IIWA_7,1715020466.3741262,-0.45855437496056833   1.1036560936492996 0.039736274326805474  -1.3542327540859007  -1.9573311066375065  -1.8537281175439622 -0.92202288129159327,  0.034778688273304763 0.00080641208756506311    0.04465309823112476  -0.015622678728954351 0.00067484656899426771   0.020672581793490231 -4.949562151662204e-06, -18.834282901763917   61.026249031066897  -14.440789623260498  -12.052332496643066 -0.89974315643310543   1.6854459762573242 -0.17655463790893555,  27.403483715596245   2.1238803196556577   16.801423624497069  -6.4948691468952653  0.92327737005016608   1.8663651199124303 -0.42352682993672686,  0.54564249515533447 -0.026115670800209045   0.21468205749988556,  -0.70048725605010986 -0.0089294658973813057   0.014362945221364498    0.71346443891525269,-0.00033444329164922237   0.0020343235228210688 -9.0782668848987669e-05,-0.0025382940657436848     1.0527476072311401  0.0017678418662399054,  0.24839860200881958  0.026045627892017365  0.065153308212757111  0.026045627892017365   0.23398745059967041 -0.020021906122565269  0.065153308212757111 -0.020021906122565269   0.18473653495311737,  -0.95148689844037904   -0.32506073170246452    -1.0063681307324046    0.59098149547587298     0.5078175348494085   0.079636423810924839 2.3119274494831643e-05,0.0014250738313421607
IIWA_7,1715020466.3791268,-0.45826777226243676    1.103650520922081 0.040412843684608672  -1.3544889768194905  -1.9573277510674867  -1.8532119570343866 -0.92202401979168092,   0.039287058543906905  0.00042222058130915528    0.062785252897027757   -0.022747052326756608  0.00067410005598930701    0.037184485817815853 -4.9499653227313625e-05, -22.576674137115479   60.920053302764892  -15.418005771636963  -12.392157211303712  -1.2835866165161132   1.2695913848876954 -0.16353832244873046,  26.541550722190109   2.1132234076464624   16.052789039270429  -6.3329116527889449  0.97735107566707102   2.0022616238156141 -0.42401975891604515,  0.54570108652114868 -0.025133190676569939   0.21474318206310272,  -0.70023202896118164 -0.0093716401606798172   0.014737418852746487    0.71370166540145874,0.0020866224076598883  0.036806393414735794 0.0022944649681448936,-0.0025374176912009716     1.0527538061141968   0.001767345704138279, 0.24831093847751617 0.025968657806515694 0.065218359231948853 0.025968657806515694  0.23411162197589874 -0.01985519751906395 0.065218359231948853 -0.01985519751906395  0.18471607565879822,  -0.94766663599354928   -0.32142305898652523   -0.99942681523490506    0.58769788755785868    0.50827249099683058   0.082526766517432293 2.3695517548105727e-05,0.025503156706690788
IIWA_7,1715020466.3841259,-0.45819604664782915   1.1036414129213794 0.041212071618832773  -1.3548763069411609  -1.9573223822601746  -1.8524647405663703 -0.92202485874963569,   0.034298671419429903 -2.6543563018310216e-05    0.082197319686586223   -0.033690846728219669  0.00075403233727369104     0.05963624737490196 -7.3158040772813572e-05,  -20.37882583618164   60.784284080505373  -12.345497341156006  -12.008313751220703 -0.91294878005981439   1.1350894584655762 -0.18222841644287111,    26.3455378361706   2.0834377980980259   15.827622565273938  -6.2979753673037653   1.0012668796105189   1.9816772182678017 -0.43122530994358349,  0.54574984312057495 -0.024703275412321091   0.21474559605121613,  -0.70014649629592896 -0.0094927046447992325   0.014821646735072136    0.71378225088119507,0.0035903600510209799  0.046646863222122192  0.001944433432072401,-0.0025356882251799107     1.0528390407562256  0.0017690509557723999,  0.24827535450458527  0.025909362360835075  0.065251275897026062  0.025909362360835075   0.23416922986507416 -0.019770840182900429  0.065251275897026062 -0.019770840182900429   0.18470631539821625,  -0.94503714245508519   -0.31972640108435257   -0.99558435214852636    0.58607238383601157    0.50805845531787241   0.083293871361078686 2.3852889441400293e-05,0.032328169792890549
IIWA_7,1715020466.3891249,-0.45818364292008446   1.1036361398453769 0.042339907090296162  -1.3553418941358322   -1.957314424605983  -1.8514957560186112 -0.92202503851854867,   0.027935086245331604 -0.00023215789051504515     0.11087127460780458   -0.045576165169426482  0.00092153203748265953    0.086468379810288667 -6.5717189137366245e-05, -16.174012695312499   60.337993171691892  -10.652536392211914  -11.663206787109376 -0.98425914764404299   1.3693831367492675 -0.20025100708007812,  26.304323766243442   2.0077127454082797   15.683741347184419  -6.2642259887567597   1.0319528763611356   1.9003654004035331 -0.45438802536233558,  0.54579621553421021 -0.024328246712684631    0.2147122323513031,  -0.70007312297821045 -0.0094878645613789558   0.014823061414062977    0.71385425329208374, 0.0047001694329082966   0.052326839417219162 0.00024051251239143312,-0.0025343254674226046      1.052926778793335  0.0017622588202357292,  0.24825675785541534  0.025824882090091705  0.065281420946121216  0.025824882090091705   0.23422521352767944 -0.019685273990035057  0.065281420946121216 -0.019685273990035057   0.18468689918518066,   -0.9415056803883104   -0.31815651307187665   -0.99125047143910905    0.58440811610438459     0.5073672771054305   0.083453727762083929 2.3894856759909544e-05,0.036269634962081909
IIWA_7,1715020466.3941271,-0.45810161091807761   1.1036233766888894 0.043802461914790113  -1.3558832215296399  -1.9573166298294931  -1.8502158408464429 -0.92202467898072271,   0.025629349076539236 -0.00069625257191047001     0.14719921266600167   -0.058114027887850965  0.00064901668958528089     0.12037131073496293 -3.8192238271662237e-05, -15.180612148284911   59.673933807373047  -11.348912944793701  -11.975739879608154  -1.1832238769531249   1.1197368812561035 -0.19891600036621093,  26.229725355992411   1.9604496955618282   15.436284048108257  -6.2435662202530233   1.0529989799484747   1.8148830879579001 -0.47555144134206706,  0.54586941003799438 -0.023858839645981789   0.21468953788280487,  -0.69995695352554321 -0.0094899274408817291   0.014788058586418629    0.71396887302398682,  0.0066484310664236546    0.060651455074548721 -0.00067884946474805474,-0.0025660512037575245     1.0530070066452026  0.0017470334423705935,  0.24822698533535004  0.025711666792631149  0.065325304865837097  0.025711666792631149   0.23429721593856812 -0.019572246819734573  0.065325304865837097 -0.019572246819734573   0.18466714024543762,  -0.93680232413095865   -0.31614360476428516   -0.98549470388409333      0.582338575385144    0.50640556544490067   0.083625142058174617 2.3947728244877453e-05,0.042120113968849182
