DesiredFlux,0.682,HitTime,1715080155.7546198,DesiredPos,0.53781324625015259  -0.288860023021698 0.21800687909126282
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715080155.1999815, 0.60688222776619305   1.0840719526438736 -0.15672250275344812  -1.4555216852789026   -1.063739744322421   1.7297170959576749 -0.59676035144862616, 2.1715380205897252e-06 -1.9747156050072335e-05  0.00036975421669263619   0.0019407213512028069    0.001017303587792575   0.0030336427173102468 -1.1875252737949246e-05,-1.1136753921508791  68.232550758361825   5.577292110443115 -15.059629673004151  1.0256367683410645 -2.4667586555480958 0.46691859817504883, -1.0365896731993227   1.8820681708845239 -0.48401562280800509  0.51719064495572487  0.16370017231685854   0.2423140789980395 0.080122560657178599, 0.53088456392288208 0.057800646871328354  0.22572274506092072,  0.5129619836807251 -0.49843364953994751  0.50071007013320923  0.48756885528564453,-2.772385960270185e-05 0.00052681914530694485 0.00061217689653858542, 0.0040539712645113468   -0.98893910646438599 -0.0045116213150322437, 0.24777118861675262 -0.01651427149772644 0.065452523529529572 -0.01651427149772644  0.23503066599369049 0.027478257194161415 0.065452523529529572 0.027478257194161415   0.1822359561920166,    0.59776916704734617     -0.5716613368971224      1.0019421301894482     0.55055164287143299   -0.033707244507574785    0.069610781302742453 -2.6645352591003757e-12,0.00055729609448462725
IIWA_14,1715080155.2049794, 0.60688234764849602   1.0840719526438736 -0.15672070517340164  -1.4555134162361558  -1.0637361011221405   1.7297300388830754 -0.59676023156632318, 6.5325225354138093e-06  -1.579772484005787e-05  0.00036770657521334482   0.0018833387908324766  0.00095957088145676118   0.0029446311898701878 -4.7049100714173681e-06,-1.1368233795166016  68.242838752746579   5.582669109344482 -15.103989913940429  1.0300386428833008 -2.4594161186218262 0.46524983978271484, -1.0364330404563267   1.8828596948866958 -0.48338565744738315  0.51667175877901605  0.16389200069238388  0.24186272304664944 0.079843994350534478, 0.53088462352752686 0.057802870869636536   0.2257256805896759, 0.51295721530914307 -0.49843671917915344  0.50071030855178833  0.48757043480873108,-1.8613351130625233e-05  0.00051039690151810646  0.00060725584626197815, 0.0040550827980041504   -0.98893833160400391 -0.0045141722075641155, 0.24777033925056458 -0.01651533879339695 0.065452784299850464 -0.01651533879339695  0.23503024876117706   0.0274790208786726 0.065452784299850464   0.0274790208786726  0.18223705887794495,    0.59780991776658965    -0.57167914996814062      1.0019837018013789     0.55057536948588393   -0.033717932137911077     0.06959676991336039 -4.4408920985006262e-12,0.00054719654144719243
IIWA_14,1715080155.2099802, 0.60688234764849602   1.0840718327615706 -0.15671860794213921  -1.4555062256978037  -1.0637325537404358   1.7297428021486461 -0.59676011179310318, 5.2260180283310478e-06 -1.7433471990988327e-05  0.00037805451066796913    0.001794292566748997  0.00090955197334960901   0.0028662355747220616  1.0270007432128106e-06,-1.1291073837280274  68.237694755554202  5.5961116065979004 -15.117432411193848  1.0379620170593262   -2.46942866897583 0.46358108139038084, -38.184290509182489   5.9648209686217433  -25.293864179881606  -14.296662599232175  0.66128714661748778   2.1053435083207561 0.079705477172543629,  0.5308842658996582 0.057804848998785019  0.22572851181030273, 0.51295226812362671 -0.49843940138816833  0.50071048736572266  0.48757266998291016,-2.9035871193627827e-05  0.00048751349095255136  0.00059927836991846561, 0.0040559195913374424    -0.9889378547668457 -0.0045167217031121254,  0.24776962399482727 -0.016516359522938728  0.065452985465526581 -0.016516359522938728   0.23502987623214722  0.027479780837893486  0.065452985465526581  0.027479780837893486   0.18223798274993896,  0.59784883677771461  -0.57169670684498186    1.0020240976578165   0.55059832182013935 -0.033728329671411927   0.06958054532635316                     0,0.00053312588715925813
IIWA_14,1715080155.2149804, 0.60687581619010267   1.0840737502239199  -0.1567317905230626   -1.455516232433987  -1.0637279518307969   1.7297640741124862 -0.59676035144862616,-0.00025707752131153981    6.27517163809463e-05 -0.00022485962840135243   0.0010351646060699042  0.00091171796423619592   0.0031438670133841981 -8.7646203247184867e-06,-1.0159394454956054  68.206830772399911  5.8313553085327152 -14.882188709259033  1.0370816421508788 -2.4834462394714354 0.46625109481811522, -38.183781213736218    5.964574343494272  -25.293353195979851  -14.296510213063936  0.66113088643707307   2.1051113105530028 0.079502617334620024,  0.5308842658996582 0.057807058095932007  0.22573107481002808, 0.51294803619384766 -0.49844208359718323  0.50071078538894653  0.48757413029670715,-2.4521048544556834e-05  0.00047832264681346714  0.00058164435904473066, 0.0040568346157670021    -0.9889373779296875 -0.0045194984413683414,  0.24776892364025116 -0.016517326235771179  0.065453186631202698 -0.016517326235771179   0.23502947390079498   0.02748052217066288  0.065453186631202698   0.02748052217066288   0.18223892152309418,      0.597885853342639    -0.57171412079437545      1.0020631264788804     0.55062083944790174   -0.033737557290081099    0.069567942507120506 -4.4408920985006262e-12,0.00051959935808554292
IIWA_14,1715080155.2199807, 0.60674297110858566   1.0840981980325004 -0.15711486629559815  -1.4558499931649258  -1.0637025452474087   1.7299938116928433 -0.59676119029749786,  -0.005519465277729548   0.0010281137163232915   -0.015502918604142924   -0.012522297552697107    0.001745637706918245    0.011704596824989272 -4.0565651127701238e-05, 6.6794803543090824  65.339052337646493  11.994740299224853  -8.048023105621338 0.69901767730712894 -3.5594616508483887 0.48627619552612306,  -38.18307136290796   5.9641046597889895  -25.292887354442261  -14.296039902666877  0.66087105879847119   2.1047716435027626 0.079412645613238519, 0.53088390827178955 0.057809103280305862  0.22573347389698029, 0.51294404268264771 -0.49844443798065186  0.50071084499359131  0.48757582902908325,-3.2670748623786494e-05  0.00046447661588899791      0.0005612259847112, 0.0040580830536782742   -0.98893684148788452 -0.0045223142951726913,  0.24776832759380341 -0.016518250107765198  0.065453328192234039 -0.016518250107765198   0.23502910137176514  0.027481254190206528  0.065453328192234039  0.027481254190206528   0.18223975598812103,    0.59792125211988179    -0.57173114676611902      1.0021011179048855     0.55064239695301609   -0.033746561734382396    0.069555137659271793 -2.6645352591003757e-12,0.00050289119826629758
IIWA_14,1715080155.2249813, 0.60669054010885881   1.0840793828377486 -0.15752826214606547  -1.4561005233980773  -1.0636955464771083   1.7302089884275831 -0.59676406649102209, -0.0065128122112576006  6.9883182987608324e-05    -0.02893816890200708   -0.020039047368216455     0.00167646097755119    0.017970746849583746 -0.00014750026187164821, 10.961858016967774  64.878664588928231   14.18452310180664  -7.992908866882324 0.43578557968139647 -2.8986333274841307 0.40917955780029297, -38.164135659144137   5.9583932689737447  -25.277132588009984  -14.284188510966246  0.65820902593649544   2.0976463663795206 0.080998620349106196, 0.53087866306304932 0.057798773050308228  0.22573786973953247, 0.51293021440505981 -0.49844330549240112    0.500710129737854  0.48759227991104126,-0.00023585755843669176 -4.1627299651736394e-05  0.00062494457233697176, 0.0040589277632534504   -0.98893624544143677 -0.0045247566886246204, 0.24776825308799744 -0.01651822030544281 0.065453670918941498 -0.01651822030544281  0.23503032326698303 0.027480307966470718 0.065453670918941498 0.027480307966470718  0.18223860859870911,   0.59791395727692986    -0.5717000318234966     1.0020688747394146     0.5506158959986962  -0.033762375379886578   0.069478683967894028 3.5527136788005009e-12,0.00046153651783242822
IIWA_14,1715080155.2299812, 0.60664889491666008   1.0840798022621845  -0.1581030854625452  -1.4565368690192113  -1.0636847128693752   1.7306297545853153 -0.59676364706658624,   -0.00687605745695552  7.2683523824049886e-05   -0.046143467780795006   -0.033485062739934679   0.0017745130913661309     0.03120724378895632 -0.00010122323206335535, 13.883648422241212  65.092140472412112  14.976286190032958 -7.9498928756713871 0.86100666046142582 -3.3819057579040526 0.42486588668823244,-37.761375366247925   5.868866591172246 -24.913980626709836 -14.050647485470924 0.61367924801888196  1.9403622964923273 0.10752026580062853,0.53078413009643555  0.0575261190533638 0.22581508755683899, 0.51267737150192261 -0.49838605523109436  0.50071537494659424  0.48791122436523438,-0.003973761573433876  -0.01093648187816143  0.003590576583519578,0.0040600434876978397  -0.98893803358078003 -0.004527172539383173,  0.24776901304721832 -0.016500523313879967  0.065463230013847351 -0.016500523313879967   0.23506595194339752  0.027443345636129379  0.065463230013847351  0.027443345636129379   0.18220464885234833,    0.59709266184171383    -0.57064986183075206      1.0005759717524043     0.54960173679230451    -0.03392829537673947    0.067999192441270395 -8.8817841970012523e-13,0.0083973482251167297
IIWA_14,1715080155.2349808, 0.60662246975912026    1.084078064568748 -0.15887043539431392   -1.457175148798469  -1.0636733038265878   1.7311498100152829  -0.5967639467178022, -0.0065578522671568612 -1.1360918399822554e-05   -0.067608771495384745   -0.052319241362254854   0.0018759721845890054    0.045768012229868288 -9.2964634288741701e-05, 15.367691612243654  64.701196685791018  14.473536792755127 -7.5345197105407715 0.42169958114624023 -3.1779834823608399 0.44956351089477536,-37.519267019185179  5.8484943083304763 -24.638696748302575 -13.925627648886147 0.60055882666282789  1.8213387925366455 0.11391258199216878, 0.53072303533554077 0.057305686175823212   0.2259286642074585, 0.51243007183074951 -0.49834457039833069  0.50076514482498169  0.48816224932670593,-0.0056259701959788799  -0.017560986801981926  0.0074194939807057381, 0.0040663182735443115   -0.98898428678512573 -0.0045333178713917732,  0.24775685369968414 -0.016486268490552902  0.065477959811687469 -0.016486268490552902   0.23509669303894043  0.027411598712205887  0.065477959811687469  0.027411598712205887    0.1821875274181366,  0.59642127674841561  -0.56979854638772309   0.99928422837347597    0.5487924703801994 -0.033995610478676497  0.066701168298877178                     0,0.013706178404390812
IIWA_14,1715080155.2399814, 0.60661647760746584   1.0840731510305712 -0.15985086482956007  -1.4579813875021321   -1.063671002784502   1.7318558007155362 -0.59676430625562804, -0.0054859678799023476 -0.00020563026179090603   -0.093304194606153773   -0.074104941236329575   0.0015928194311016705     0.06485403779402843 -8.8753220464783238e-05, 14.724691963195802  63.420341384887699  14.310882575988769 -7.0505898094177244 0.37856121063232423 -2.8001765823364257 0.46224607467651369,-37.186927005970325  5.7840153507389145 -24.262826794281381 -13.710527259910167 0.57239957114568152  1.6281797164240979 0.13768863267835693, 0.53059065341949463 0.056995615363121033  0.22608725726604462,  0.5120576024055481 -0.49823743104934692  0.50083816051483154  0.48858734965324402,-0.0098059419542551041  -0.026436461135745049   0.012289498001337051, 0.0041763545013964176   -0.98902350664138794 -0.0046392530202865601,  0.24775268137454987 -0.016464130952954292  0.065492160618305206 -0.016464130952954292   0.23514144122600555   0.02737194299697876  0.065492160618305206   0.02737194299697876   0.18214941024780273,    0.59539417896647961    -0.56872309432787205     0.99753234882982156     0.54772483792397963    -0.03402973776456264     0.06461998345752562 -1.7763568394002505e-12,0.021208310499787331
IIWA_14,1715080155.2449808, 0.60660557191763476   1.0840618859119973 -0.16103370784305859  -1.4589425823181905  -1.0636660174260266   1.7327217208438883 -0.59676442602884805, -0.0048250018971653435   -0.000615108952391385      -0.121957076224864   -0.097731745631399108   0.0014736698838962725    0.086520035369305595 -7.5793505172173296e-05, 14.058544326782227  63.667253250122073  14.427832302093506 -7.3853079910278323 0.60305681228637698 -3.2530776100158691 0.45790730285644532,-36.779826138476452  5.6864966772442562 -23.802275986280794 -13.430554084680825 0.53390932802387081  1.3899718260636038 0.17521576568601541, 0.53040134906768799 0.056587032973766327  0.22628635168075562, 0.51158499717712402 -0.49807235598564148  0.50093334913253784  0.48915281891822815,-0.015435258857905865 -0.037462916225194931  0.017817605286836624, 0.0042701335623860359   -0.98908096551895142 -0.0047709550708532333,   0.2477535605430603 -0.016430357471108437  0.065508142113685608 -0.016430357471108437   0.23520193994045258  0.027318134903907776  0.065508142113685608  0.027318134903907776   0.18209213018417358,   0.59386759891477681   -0.56729063683480518    0.99508094025591021    0.54625929120533101   -0.03401379915590752   0.061901365824290622 1.7763568394002505e-12,0.030517315492033958
