DesiredFlux,0.531,HitTime,1715083623.0270846,DesiredPos,  0.5336570143699646 -0.26271450519561768    0.218036949634552
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715083622.4078672, 0.62404675370698148   1.0894879234428945 -0.12570912637387946  -1.4323137544539735  -1.0521092937785403   1.7684231463875086 -0.58934289520469874, 1.1063938947808428e-06  2.3356224410895181e-07 -5.1733486474599542e-07   0.0010321771937443136   0.0020068505899446601  3.6181358862848666e-06  3.3923828789541367e-06,-1.2577073135375978   68.12452681732178  4.9374292411804204 -15.497855083465577  1.1198368835449219 -2.2831952323913574 0.47893365859985354,  -0.89198252097560393     1.8937157071942305   -0.56791678889906316    0.57616418095498023 -0.0047668038198274698    0.53709583405508621    -0.1471592349740492, 0.52566975355148315 0.081350132822990417  0.22495858371257782, 0.51399201154708862 -0.50019675493240356  0.50124353170394897  0.48411810398101807,   7.90476121892425e-07  0.00025674852076917887 -0.00010577954526524991, 0.0037035972345620394   -0.76670867204666138 -0.0032106081489473581,  0.24916277825832367 -0.019419427961111069  0.063633047044277191 -0.019419427961111069   0.23181459307670593  0.032533612102270126  0.063633047044277191  0.032533612102270126   0.18359158933162689,    0.72254234463375866    -0.71217277795021516      1.2040311955372474      0.6899155899695586   -0.036499219140395667    0.086001223627008017 -4.4408920985006262e-12,0.00019231360056437552
IIWA_14,1715083622.4128227, 0.62404675370698148   1.0894879234428945 -0.12570912637387946   -1.432311896878234  -1.0521003774149906   1.7684231463875086 -0.58934307497361171, 8.8511511582467434e-07  1.8684979528716146e-07 -4.1386789179679634e-07  0.00090004478457345537   0.0019621350139443607  2.8945087090278933e-06 -4.4768502159520724e-06,-1.2448473205566406  68.139958808898925  4.9360849914550782 -15.509953330993651  1.1233583831787108 -2.2825277290344239  0.4802686653137207, -0.90271528765272468    1.9045970549929894  -0.57091463367589057   0.55497736669524955 0.0051657197801509014   0.54253966463935921  -0.14689155226812339, 0.52566879987716675 0.081350751221179962    0.224957674741745, 0.51399171352386475 -0.50020062923431396  0.50123989582061768  0.48411813378334045, -3.796520468313247e-05  0.00022997480118647218 -0.00012096988211851567, 0.0037037068977952003   -0.76670855283737183 -0.0032102689146995544,   0.2491624504327774 -0.019419969990849495  0.063633158802986145 -0.019419969990849495   0.23181448876857758  0.032533437013626099  0.063633158802986145  0.032533437013626099   0.18359196186065674,   0.72256316114316377   -0.71216958835140787     1.2040368421271097    0.68991605482260354  -0.036516198830938151   0.086002881775293361 8.8817841970012523e-13,0.00018187165551353246
IIWA_14,1715083622.417834, 0.62404675370698148   1.0894878036696747 -0.12570912637387946  -1.4323102190714074  -1.0520916530376587   1.7684231463875086 -0.58934319474683161, 7.0809209265973951e-07 -4.6414489552351922e-06  -3.310943134374371e-07  0.00078714810072209439   0.0019186831044316268  2.3156069672223147e-06 -8.3724089686674713e-06,-1.2551353149414064  68.129670814514171   4.934740741729736 -15.532805576324463  1.1207172584533691 -2.2848639907836912  0.4802686653137207, -29.816868672943148   5.2044216631128846  -19.768835513448703  -11.708231514407361  0.64160785630369921   2.4026546993123565 -0.14662347246337715, 0.52566766738891602 0.081351220607757568  0.22495672106742859, 0.51399141550064087 -0.50020426511764526  0.50123637914657593  0.48411843180656433,-7.6533338869921863e-05  0.00020276654686313123 -0.00013454224972520024, 0.0037040244787931442   -0.76670843362808228 -0.0032098491210490465,  0.24916219711303711 -0.019420472905039787  0.063633240759372711 -0.019420472905039787   0.23181441426277161  0.032533258199691772  0.063633240759372711  0.032533258199691772   0.18359225988388062,  0.72258232045463444  -0.71216617233726964    1.2040414595464455   0.68991587166866708 -0.036532664529076442  0.086003671453838137                     0,0.00017666751227807254
IIWA_14,1715083622.4228146, 0.62404034223997429   1.0894895413631112 -0.12572476572389121  -1.4323240009547629  -1.0520807234368168   1.7684317150814715 -0.58934343451143756,-0.00025589220661365774  6.5794578294874309e-05 -0.00062583887592089146  7.8443146360281839e-05   0.0019721305172222866  0.00034460024408650706 -1.6288511412818036e-05,-1.1471113739013672  68.098806831359866  5.1605746955871581 -15.292184875488282  1.1198368835449219 -2.3102291183471682 0.47960116195678709, -29.815769908938812   5.2038084263376509  -19.768515350916463  -11.707313388943925  0.64091587535428207   2.4024523984009036 -0.14631325012849139, 0.52566653490066528 0.081351570785045624  0.22495581209659576, 0.51399123668670654 -0.50020730495452881  0.50123304128646851  0.48411884903907776,-0.00010655502410372719   0.0001763277396094054 -0.00014422222739085555, 0.0037045159842818975   -0.76670831441879272 -0.0032094703055918217, 0.24916200339794159 -0.01942090317606926 0.063633300364017487 -0.01942090317606926  0.23181436955928802 0.032533086836338043 0.063633300364017487 0.032533086836338043  0.18359246850013733,  0.72259872616253773  -0.71216277668195715    1.2040448404224691   0.68991519173344784 -0.036547404003606232  0.086004237053849408                     0,0.00017416878836229444
IIWA_14,1715083622.4278371, 0.62390725739385122   1.0895118919404292 -0.12612815472909222  -1.4326158168422869  -1.0520364295983951    1.768632990159636 -0.58934433324691926,  -0.005528107610213568  0.00094665875535714062   -0.016636231308777123   -0.011609880983872868   0.0033494579506478093   0.0083266833218526726 -4.8980228398354234e-05, 6.7257763290405279  65.580820205688482  11.409991668701172 -9.2390283622741691 0.81346641540527342 -3.4483223419189453 0.48660994720458983, -29.814795828311969    5.203370965121124  -19.768226671854841  -11.706585958839408  0.64028999164920009   2.4022746300642854 -0.14606676970471955, 0.52566540241241455 0.081351898610591888  0.22495496273040771, 0.51399105787277222 -0.50021034479141235  0.50122976303100586  0.48411929607391357,-0.00013070154818706214  0.00015413145592901856 -0.00014954997459426522, 0.0037051339168101549   -0.76670825481414795 -0.0032091082539409399,  0.24916182458400726 -0.019421327859163284  0.063633352518081665 -0.019421327859163284   0.23181430995464325  0.032532919198274612  0.063633352518081665  0.032532919198274612   0.18359267711639404,   0.72261479393009864   -0.71215943408908799     1.2040481513873047    0.68991443797994378  -0.036561842795101995   0.086004764402680678 8.8817841970012523e-13,0.00017411245789844543
IIWA_14,1715083622.4328356, 0.62386207681908634   1.0895010461372081 -0.12656971353961899  -1.4328293756568102  -1.0520016275585775   1.7688533200880754 -0.58934643058726477, -0.0062297090787660691  0.00032349487544242029   -0.030971337468092316   -0.017830257368031906   0.0040716479532197916    0.015474543795055919 -0.00012307779653901284, 11.095601943969728   65.39049230957032  13.833673923492432 -9.4393215713500975 0.62242506027221678 -2.6726834411621092 0.42486588668823244, -29.796457838960645   5.1982134100316717  -19.753121084760846  -11.695495111590201  0.63737440921160238   2.3957659955837078 -0.14445937075210735, 0.52566021680831909 0.081340201199054718  0.22495615482330322, 0.51398074626922607 -0.50021070241928101  0.50122606754302979  0.48413375020027161,-0.00031104334630072117  -0.0003446256450843066 -7.1993585152085871e-05, 0.0037057625595480204   -0.76670825481414795 -0.0032087764702737331,  0.24916177988052368 -0.019420981407165527  0.063633844256401062 -0.019420981407165527    0.2318161278963089  0.032531198114156723  0.063633844256401062  0.032531198114156723   0.18359103798866272,  0.72259063864432704  -0.71210431004509189    1.2039817154034793   0.68986217347344336 -0.036584475857637244  0.085940467538847543                     0,0.00032535206992179155
IIWA_14,1715083622.4378138, 0.62383577143476654   1.0895058997887748  -0.1271623334330659  -1.4332200015055236  -1.0519687427629432   1.7692683937453693 -0.58934643058726477, -0.0060359826358049535  0.00045294196302036999   -0.048481865712350504   -0.029889239842961952   0.0045727101879497129    0.028982581327799697 -9.8462237231210269e-05,  13.13005283355713  65.670840156555172  13.990951141357423 -9.3613550872802733  1.0106703948974609 -3.2133611602783203  0.4392172088623047, -29.40852421318208  5.1227893091362846 -19.395294155200229 -11.485860486875612 0.59809027293853978   2.250656831048921 -0.1252880196643491, 0.52559256553649902 0.081070713698863983  0.22503118216991425, 0.51372581720352173 -0.50017309188842773  0.50123900175094604  0.48442965745925903,-0.0029565214645117521  -0.011052941903471947  0.0029458070639520884, 0.0037064158823341131   -0.76671004295349121 -0.0032084931153804064,  0.24915358424186707 -0.019406581297516823  0.063649661839008331 -0.019406581297516823   0.23185816407203674  0.032494749873876572  0.063649661839008331  0.032494749873876572   0.18355989456176758,    0.72179363902868943    -0.71091938785983189      1.2024202649474347     0.68872537496122987   -0.036774717997900552    0.084467264097831674 -8.8817841970012523e-13,0.0081818532198667526
IIWA_14,1715083622.4428139, 0.62381467923983924   1.0895033232464664 -0.12795383163128213  -1.4337952442464392  -1.0519322149415611   1.7697898872175575 -0.58934696978492063, -0.0056724739057358378   0.0002592918780804253    -0.07044542049852931   -0.046921101510992866   0.0051192810056430458    0.044045803949768439 -0.00010033769601927815, 14.022536346435547  65.364772323608406  13.157516311645507 -8.9190969276428227 0.68229055404663086 -3.1566233749389649 0.46324732971191407, -29.173811198582676   5.1100997393966869  -19.117355618731349  -11.370961409386121  0.58509473455496008   2.1340139702964414 -0.12315896857100832,0.52554762363433838 0.08085266500711441 0.22514404356479645, 0.51346439123153687 -0.50014668703079224   0.5012962818145752  0.48467478156089783,-0.0041692242957651615  -0.017559295520186424  0.0068746907636523247, 0.0037109048571437597   -0.76675277948379517 -0.0032108493614941835, 0.24913443624973297 -0.01939617283642292 0.063669644296169281 -0.01939617283642292  0.23189495503902435 0.032463755458593369 0.063669644296169281 0.032463755458593369  0.18354366719722748,    0.72117838581053917      -0.709973256050489      1.2010776450406269     0.68784137576738402   -0.036872111923713646    0.083105650868553482 -8.8817841970012523e-13,0.01337357796728611
IIWA_14,1715083622.4478111, 0.62379382670043482   1.0895020049774657 -0.12896727756907136  -1.4345316150203173  -1.0519111226375506   1.7705183483774316 -0.58934720954952657, -0.0053720807007656968    0.000154702742439241   -0.096894173910392928   -0.066991712163918873   0.0049391169649337886    0.064375089554779857 -8.9860741053306593e-05, 13.868216430664063  64.598316741943364  12.972009849548339 -8.0695311012268061 0.41817808151245117 -2.8338855018615723 0.47058986663818358,   -28.8685072949099   5.0559273025251859  -18.755666084887615  -11.175564466848495   0.5608386811299515   1.9512991628647525 -0.10458905742667181,0.52543908357620239 0.08055482804775238 0.22529910504817963, 0.51308733224868774 -0.50005292892456055  0.50138366222381592  0.48508036136627197,-0.0076857185922563076  -0.025947267189621925   0.011712194420397282, 0.0037829077336937189   -0.76678955554962158 -0.0032808857504278421,   0.2491222470998764 -0.019378188997507095  0.063689731061458588 -0.019378188997507095   0.23194701969623566  0.032427310943603516  0.063689731061458588  0.032427310943603516   0.18350653350353241,    0.72018709703058903    -0.70883284363265631      1.1992941673781843     0.68671504872774847   -0.036906921399015857    0.080992522055289839 -1.7763568394002505e-12,0.020418107509613037
IIWA_14,1715083622.4528108, 0.62376722166489906   1.0894999676328134 -0.13020476869586214  -1.4354113170320248  -1.0518951116851245   1.7714534774646931 -0.58934720954952657, -0.0053618659820427132  4.2268407858713826e-05    -0.12701498419994553   -0.088781450199435341   0.0045917316689907586    0.088905235134282085 -7.1888592842645282e-05, 13.973668373107911   64.23566493988038  13.618593967437745 -7.9135981330871585  0.7201466751098633 -3.2440663146972657 0.46524983978271484,  -28.481273266767776    4.9741352886676644   -18.302605954263193   -10.918484319711007   0.52762666489639409    1.7228133027746646 -0.075616002781007288,  0.5252838134765625 0.080155089497566223  0.22549927234649658, 0.51260066032409668 -0.49991041421890259  0.50149834156036377  0.48562285304069519,-0.012377746403217316 -0.036720119416713715  0.017397364601492882, 0.0038481778465211391   -0.76684176921844482 -0.0033725542016327381,  0.24911084771156311 -0.019350465387105942  0.063714399933815002 -0.019350465387105942   0.23201772570610046  0.032377518713474274  0.063714399933815002  0.032377518713474274   0.18345174193382263,    0.71871934490008726    -0.70729332552854629      1.1968018488071053     0.68515673220037598     -0.0369064926575291    0.078206141226999648 -3.5527136788005009e-12,0.029409389942884445
