DesiredFlux,0.823,HitTime,1715079170.5224338,DesiredPos, 0.5461689829826355 0.32084167003631592   0.218955397605896
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715079169.980397,-0.45818046718442734   1.1152967307200932 0.016708646049250663  -1.3258167187760355  -1.9617250028745326  -1.8678933515611498 -0.91414073680664243, 0.00045614778955659497  2.5363474431472411e-05  0.00016407128111227604 -0.00016484556775182079  4.9970799361139358e-05  0.00011210543511715899 -4.0104963750845043e-06,-0.40730766677856445   64.599264801025384  -2.2713672637939455  -15.500761013031006  -1.3408109855651855   1.6997972984313965  -0.2146023292541504, -0.10320099896499396   -2.9023390952680108    1.7715055941396547   0.53155019958296479    1.4628278623751827 -0.015961199029997264  -0.47938932768703424,  0.54808801412582397 -0.036250978708267212     0.210707888007164,  -0.70627820491790771 -0.0085701849311590195   0.016441117972135544    0.70769155025482178,6.2759645516052842e-05 0.00053796189604327083 1.2067162060702685e-06,-0.0010760660516098142     1.1890383958816528  0.0046233292669057846,  0.24812042713165283  0.028289021924138069  0.064702510833740234  0.028289021924138069   0.23225709795951843 -0.021910473704338074  0.064702510833740234 -0.021910473704338074   0.18585379421710968,   -1.0488795590362088   -0.35962907270103983    -1.1084694378933335    0.64463195382558069    0.53011067059838268    0.06695516327415163 1.9400658857193775e-05,0.00037487686495296657
IIWA_7,1715079169.9853981,-0.45818040718873432   1.1152967307200932 0.016708885704773576  -1.3258181568182561  -1.9617248112373806  -1.8678932316788468 -0.91414073680664243,  0.0003673180593662651  2.0290779545177932e-05  0.00014084324580633401  -0.0001893981430269026  4.7642125565913504e-05  9.4479640212669229e-05 -3.2083971000676035e-06,-0.34278367996215819   64.588510803222661  -2.2502382659912108  -15.535976009368897  -1.3513754844665526   1.7001310501098632  -0.2142685775756836, -0.10351761948495219   -2.8987431402284773    1.7694413526017918   0.53177216017447382    1.4620437225194751 -0.014199096467170436  -0.47974047415875287,  0.54808729887008667 -0.036251049488782883   0.21070753037929535,  -0.70627778768539429 -0.0085692368447780609   0.016441512852907181    0.70769202709197998, 2.1110976376803592e-05  0.00042754656169563532 -1.3617883269034792e-05,-0.0010761979501694441     1.1890382766723633  0.0046238596551120281,   0.2481207400560379  0.028288893401622772   0.06470237672328949  0.028288893401622772   0.23225714266300201 -0.021910520270466805   0.06470237672328949 -0.021910520270466805    0.1858534961938858,   -1.0488742437662069   -0.35963035344632743    -1.1084678118580271    0.64463043052498392    0.53010901470251781    0.06695508734377853 1.9400721029683154e-05,0.00029643700690940022
IIWA_7,1715079169.9903948,-0.45817902903312369   1.1152965510602633 0.016709425011512444  -1.3258191755451239  -1.9617247152442718  -1.8678929321367139 -0.91414067681094935, 0.00034898067191828472  9.0462304400631812e-06  0.00013424686619977659 -0.00019226758913160015  4.1953424804537043e-05  8.7565397485156585e-05 -1.6688995684451433e-07,-0.24734194946289062   64.529363815307619  -2.1982961463928223  -15.527172260284424  -1.3504951095581055   1.6987960433959961 -0.21526983261108398,   30.87545911349623   2.7466429395491607   20.386862371441083  -7.5189536985532772   1.3799200954011426   1.4325616072404865 -0.47991966247026652,  0.54808694124221802 -0.036251313984394073   0.21070729196071625,  -0.70627748966217041 -0.0085684861987829208   0.016441574320197105    0.70769226551055908, 3.4273177789145848e-06  0.00033147857175208628 -2.0698867956525646e-05,-0.0010759683791548014     1.1890382766723633  0.0046242396347224712,  0.24812094867229462  0.028288811445236206  0.064702294766902924  0.028288811445236206   0.23225714266300201 -0.021910574287176132  0.064702294766902924 -0.021910574287176132   0.18585333228111267,   -1.0488712942793299   -0.35963188055632145    -1.1084677876365134    0.64463053643581958    0.53010756331151043    0.06695394486300188 1.9400542505820795e-05,0.00022989217541180551
IIWA_7,1715079169.9954205,-0.45814918826623774   1.1153084153721859 0.016741422896270803  -1.3258463796649254  -1.9617247152442718  -1.8678762140641414 -0.91414067681094935,  0.0014728152129725011  0.00048180946125934841   0.0013873128832941899   -0.001241978863365478  3.3562739843629633e-05  0.00073877522088933395 -1.3351196547561148e-07,-0.31589868545532229   64.248415622711178  -2.6138331031799318   -15.14508955001831  -1.3584184837341309   1.6360507278442382 -0.21693859100341797,  30.876909437575108   2.7464201377299688   20.387743173090822  -7.5188204111958479   1.3800084942696134   1.4325541651623501 -0.48006216066841079,  0.54808664321899414 -0.036251001060009003   0.21070711314678192,-0.70627719163894653 -0.00856807641685009 0.016441963613033295  0.70769256353378296,-1.0417092198622413e-05  0.00027772350586019456 -2.3240332666318864e-05,-0.0010755939874798059     1.1890381574630737  0.0046245544217526913, 0.24812108278274536 0.028288735076785088 0.064702242612838745 0.028288735076785088  0.23225720226764679 -0.02191055566072464 0.064702242612838745 -0.02191055566072464  0.18585316836833954,   -1.0488678813969088    -0.3596313520581873    -1.1084653978352677    0.64462860958691692    0.53010694443056394   0.066954861336121496 1.9400757444998362e-05,0.00019303303270135075
IIWA_7,1715079170.0003953,-0.45767718960455928   1.1153987165260226 0.017246677825098328  -1.3260964305870309  -1.9617248112373806  -1.8677282688302683 -0.91414067681094935,   0.020058198637516532   0.0039974937224746977    0.021320047459736369   -0.010995619974912571  2.3010467523097467e-05   0.0065088295316342764 -1.0680957238048918e-07, -9.1624061279296871   60.385041912078854   -8.413743000030518  -11.292568950653076  -1.2122762489318848   1.7488587951660157 -0.24831124877929686,  30.877162391051691    2.746539659346757   20.387865342006485  -7.5188312703628091   1.3800361507123069   1.4326829919667736 -0.48009065965813624,  0.54808652400970459 -0.036249928176403046   0.21070711314678192,  -0.70627695322036743 -0.0085683669894933701   0.016442647203803062    0.70769280195236206,-1.2979377061128616e-05  0.00026507329312153161 -1.8686470866668969e-05,-0.0010754147078841925     1.1890382766723633  0.0046247793361544609,  0.24812105298042297  0.028288686648011208  0.064702264964580536  0.028288686648011208   0.23225733637809753 -0.021910421550273895  0.064702264964580536 -0.021910421550273895   0.18585309386253357,    -1.048864822334572   -0.35962773578823715    -1.1084598207355967    0.64462444263835295    0.53010773927830712   0.066958346007339742 1.9401420914277878e-05,0.00018414515943732113
IIWA_7,1715079170.0053968,-0.45716630206190323   1.1153594682163022 0.017816707485704353  -1.3262631311290458  -1.9617134980131692   -1.867440707400962 -0.91414001773099052,  0.036482060616255092  0.0016280625891612294   0.039857224392030072  -0.015464517660528159 0.00047093734247607749     0.0167095207975596 2.6277750695347569e-05, -18.054618061065675   60.859562065124514  -13.158083381652832  -11.737158279418946 -0.84075803756713863   1.5285826873779296 -0.21593733596801759,  30.847137584554634   2.7277212341828632   20.368903862185682  -7.5014629508153527     1.38748549998355   1.4358795398580919 -0.48368666848998809,  0.54808312654495239 -0.036218047142028809   0.21069996058940887,  -0.70626622438430786 -0.0085729388520121574   0.016462404280900955    0.70770299434661865, -0.0001441697240807116   0.0014872520696371794 -0.00030102528398856521,-0.0010752627858892083     1.1890386343002319  0.0046249451115727425,  0.24812136590480804   0.02828543446958065   0.06470295786857605   0.02828543446958065   0.23226206004619598 -0.021905791014432907   0.06470295786857605 -0.021905791014432907   0.18584902584552765,  -1.0487016656046677  -0.35951593254512915   -1.1082255412304676   0.64450379782510225   0.53011381028067461  0.067056967700374059 1.942194050030821e-05,0.0010549994185566902
IIWA_7,1715079170.0103946,-0.45684039105835827   1.1153227964488901 0.018458043227399079  -1.3265470374025661  -1.9617089919221065  -1.8670676983603027 -0.91414145577321115,   0.042222088634802243 -0.00016442062515367468    0.057539209181413108   -0.023727865069233023  0.00055699351648998792    0.028287978264419242 -3.6499488269167893e-05, -21.842713787078857   60.722448593139646  -14.402053127288818   -12.85259328842163  -1.4358914756774903    1.610351848602295 -0.20625853729248048, 30.371703387142169   2.617382085382868  20.006451104523784 -7.3389083208992867  1.4457873214760033  1.5255023978527482 -0.5031746885993198,  0.54807496070861816 -0.035744868218898773   0.21068465709686279,  -0.70610785484313965 -0.0087557230144739151   0.016711914911866188    0.70785290002822876,-0.00045233641867525876    0.020116645842790604  -0.0008507081656716764,-0.0010751988738775253     1.1890460252761841  0.0046249576844274998,    0.248094841837883  0.028252197429537773  0.064726382493972778  0.028252197429537773   0.23232884705066681 -0.021834211423993111  0.064726382493972778 -0.021834211423993111    0.1858176589012146,   -1.0468662461216027   -0.35780123129658392    -1.1050030789245824     0.6428710029240392    0.53039811153166028   0.068702238717577302 1.9763802150407628e-05,0.013938382267951965
IIWA_7,1715079170.0153959, -0.4567026923252745   1.1152847465258673 0.019250440270180101  -1.3270107670214979   -1.961700938623872  -1.8664747788156399 -0.91414115623107828,   0.039285620231192989  -0.0016535334210353116    0.077727249056371378   -0.037531476812659156  0.00076772674257201108    0.046347164398046772 -1.7217905300313119e-05, -20.446038322448729   60.512745635986327  -12.097231616973877  -12.032083873748778 -0.95520677566528323   1.1424319953918456 -0.22127736282348634,  29.970830501896828   2.6763040824833726   19.648123939558797  -7.3157903930436756   1.4458054130041897   1.5871694713241007 -0.48913379075658237, 0.54813152551651001 -0.03524591401219368  0.21073564887046814,  -0.70600312948226929 -0.0090068178251385689   0.016873959451913834    0.70795035362243652,0.0018794743809849024  0.036053817719221115  0.001365303760394454,-0.0010742607992142439     1.1891511678695679  0.0046331384219229221,  0.24803830683231354  0.028218446299433708  0.064765401184558868  0.028218446299433708   0.23239530622959137 -0.021750828251242638  0.064765401184558868 -0.021750828251242638    0.1858161985874176,   -1.0450161351363008   -0.35587141405457601    -1.1015181821694142    0.64113623114270268    0.53061745220084333   0.070137845727735737 2.0057013827567971e-05,0.025001838803291321
IIWA_7,1715079170.0203962,-0.45662503455470543    1.115241483522535  0.02033836813379818  -1.3275676139920976  -1.9616883790600417  -1.8657167166534856 -0.91414139588660115,   0.034534807007716863  -0.0030533468701178087     0.10569891378982026    -0.05229906027411356   0.0011165639472689424    0.067400218004611392 -2.3360545155098337e-05, -16.772203823089601    60.05166798019409  -11.137622966766358  -11.461600933074951  -1.0890237617492675   1.4778524322509765 -0.22127736282348634, 29.744340478346714  2.6778366593642686  19.392150833017993 -7.2721492008735655  1.4622262278732727  1.6149750426527625 -0.4938468826622458,  0.54816395044326782 -0.034807119518518448   0.21076472103595734,  -0.70588535070419312 -0.0091610681265592575    0.01699305884540081    0.70806300640106201,0.0027698839548975229  0.046398580074310303 0.0022652009502053261,-0.0010716035030782223      1.189255952835083  0.0046500829048454762,  0.24800017476081848  0.028169902041554451  0.064798757433891296  0.028169902041554451   0.23245938122272491 -0.021672220900654793  0.064798757433891296 -0.021672220900654793   0.18580290675163269,   -1.0426424573433124   -0.35416501533980238     -1.097898594085045    0.63948588165096965     0.5305435514628698   0.071218664425387601 2.0286900159760535e-05,0.032201524823904037
IIWA_7,1715079170.0253956,-0.45650075816715102   1.1151747913284071 0.021739923264602612  -1.3282146423433137  -1.9616860781924887  -1.8647108806784845 -0.91414139588660115,   0.032598901108349961   -0.005110365261210858      0.1406213362640335   -0.067720382267935086  0.00098528585993231483    0.094153613403734959 -1.8688436124078672e-05,  -15.87424500656128   60.139044212341311   -11.19132583618164  -11.644718914031982  -1.2342856216430664   1.2976265258789061 -0.23128991317749023,  29.647160462985244   2.6089994678764508   19.200257543012714  -7.2043707054528001   1.4960006261773366   1.5886346432065379 -0.52041976083640307,  0.54818099737167358 -0.034393575042486191   0.21075619757175446,  -0.70575886964797974 -0.0091921053826808929   0.017056118696928024    0.70818716287612915, 0.002866529393941164  0.053667489439249039 0.0014898789813742042,-0.0010982028907164931     1.1893570423126221  0.0045996210537850857,   0.2479819655418396  0.028093596920371056   0.06482909619808197  0.028093596920371056   0.23252683877944946 -0.021589465439319611   0.06482909619808197 -0.021589465439319611   0.18577393889427185,   -1.0392148790394629   -0.35252002834518237    -1.0936147155424791    0.63770933589957224    0.53001573851307882   0.071822691630529789 2.0428704061714598e-05,0.037199921905994415
