DesiredFlux,0.894,HitTime,1715787471.6869681,DesiredPos, 0.52390283346176147 -0.30176848173141479  0.19856014847755432
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715787471.0976009, 0.54712360934617099   1.2779515447692169  -0.1036559354889995  -1.2745761278468266  -1.0882598519453432   1.8679460222163995 -0.58854372715708458, -3.359816508365804e-05 -3.9097066779979558e-05 -4.7380072072365278e-06  -0.0021490032061752839 -1.6968072655210879e-06 -6.0001951348994222e-05  0.00011327247696765993,  1.1959793472290039   71.465552993774423   4.6242190551757814  -13.469382247924806   1.3513754844665526  -2.0288764533996582 -0.11981685256958008,0.72671098797784905 -8.0154056459896932 -0.3771254248135143 0.18280948746814352 0.26950503356928551 0.16675128763601724  1.0907047156002736, 0.54285901784896851 0.060676604509353638  0.16912558674812317, 0.47340524196624756 -0.48564976453781128  0.50240820646286011  0.53630012273788452,-0.00059901352506130934  -0.0003620904462877661 -0.00020898526418022811,-0.068415604531764984   -1.2889391183853149   0.10619297623634338,  0.25153863430023193 -0.019098300486803055  0.063551433384418488 -0.019098300486803055   0.23429490625858307  0.034532520920038223  0.063551433384418488  0.034532520920038223    0.1745322048664093,   0.69562207928353104   -0.65684800826115719     1.2290858452654874     0.7404428854389522  -0.061482393310718919   -0.14995360028358107 4.4408920985006262e-12,0.00050424039363861084
IIWA_14,1715787471.102706, 0.54712301015282216   1.2779515447692169 -0.10365659456895827  -1.2745861945787029  -1.0882597561267673   1.8679457225651837 -0.58854342750586863,-5.0846266020005036e-05 -3.1277653423983648e-05 -3.0153604116820737e-05  -0.0021218718399927299  2.4752972260841372e-06 -5.9987609712811902e-05  0.00010260403021218536,   1.057091423034668   71.478412986755373   4.5610393180847169   -13.47341499710083   1.3478539848327638  -2.0352177352905274 -0.11848184585571289, 0.72457486064818877  -8.0224142206812061 -0.38145299907152769  0.18610548360918963  0.26668793743544505  0.16756738303839958   1.0911781077621765, 0.54285597801208496 0.060674507170915604  0.16912448406219482, 0.47340574860572815 -0.48564636707305908   0.5024070143699646   0.5363038182258606,-0.00060068833408877254 -0.00037356474786065519 -0.00021119005396030843,-0.068402111530303955   -1.2889405488967896   0.10619309544563293,  0.25153976678848267 -0.019097745418548584  0.063550792634487152 -0.019097745418548584   0.23429536819458008  0.034532245248556137  0.063550792634487152  0.034532245248556137   0.17453095316886902,    0.6955991868045075   -0.65683976574071323     1.2290672990324936    0.74042704180055097  -0.061479843274980794   -0.14996217303320236 8.8817841970012523e-13,0.00050958717474713922
IIWA_14,1715787471.1076303, 0.54712253073269324   1.2779514248869139 -0.10365743352691309  -1.2745958418861432  -1.0882598519453432   1.8679458424474866 -0.58854306796804279,-5.9853817973176827e-05 -2.9817414858128949e-05  -5.768120148608459e-05  -0.0020833897696038422 -1.8525052576336975e-06 -4.3194795651307494e-05  9.6464737203538168e-05, 0.94135148620605469     71.4706969909668   4.5234003257751461  -13.461316749572754       1.352255859375  -2.0385552520751955 -0.11581183242797852, -46.339808062294793   3.2571020630263949  -26.308202890261466  -13.314327083148774 -0.10950484547759834  -4.1686433390176783   1.0915548506428085, 0.54285311698913574 0.060672242194414139  0.16912358999252319, 0.47340589761734009 -0.48564311861991882  0.50240600109100342  0.53630757331848145,-0.00059512775624170899 -0.00038952945033088326 -0.00020473705080803484,-0.068389177322387695   -1.2889418601989746   0.10619255155324936,  0.25154083967208862 -0.019097207114100456  0.063550218939781189 -0.019097207114100456   0.23429584503173828  0.034531939774751663  0.063550218939781189  0.034531939774751663   0.17452976107597351,    0.69557666271347074    -0.65683068108857157      1.2290479629273321     0.74041083200615532   -0.061477407523824468    -0.14997167768893149 -4.4408920985006262e-12,0.00051091716159135103
IIWA_14,1715787471.1126027, 0.54712217119486739   1.2779514248869139 -0.10365785295134897  -1.2746050697691478  -1.0882597561267673   1.8679457225651837 -0.58854252877038693,-6.2264567412331339e-05 -2.3853931886503162e-05  -6.292193862394112e-05  -0.0020358271358676501  2.3507388323940495e-06 -3.9351128639988029e-05  9.8739695997140473e-05, 0.85133153533935546   71.488700981140141   4.4897940826416018  -13.470726497650146   1.3504951095581055  -2.0378877487182616 -0.11614558410644531, -46.339128565576544   3.2566283513588612  -26.307894353639025  -13.313629315416255 -0.10967608751495106  -4.1691107127084317   1.0919340057748599, 0.54285037517547607 0.060669958591461182  0.16912266612052917,  0.4734061062335968 -0.48564004898071289  0.50240492820739746  0.53631120920181274,-0.00058555242139846087 -0.00040292105404660106 -0.00020078479428775609,-0.068376190960407257   -1.2889435291290283   0.10619338601827621,  0.25154182314872742 -0.019096679985523224  0.063549675047397614 -0.019096679985523224   0.23429632186889648  0.034531611949205399  0.063549675047397614  0.034531611949205399   0.17452859878540039,   0.69555462473491758    -0.6568211310833405     1.2290281729656627    0.74039446271179088  -0.061475355690454592   -0.14998053904502484 8.8817841970012523e-13,0.00050984509289264679
IIWA_14,1715787471.1176326, 0.54711426168994659   1.2779566979629164 -0.10367367207027366  -1.2746302965399898  -1.0882604272058647   1.8679252295636051   -0.588542049350258,-0.00036619185076186523  0.00019183989459119443 -0.00068310230788674452  -0.0026377325423759665 -2.4962572830202278e-05 -0.00085120096605522712  9.8168561954885172e-05, 0.94135148620605469   71.311233078002928   4.6820217933654789  -13.211286300659181   1.3654614830017089  -1.9821512184143066 -0.11647933578491211, -46.338681257841252   3.2564346804173434  -26.307517800043673  -13.313133608208119 -0.10971685465559596  -4.1696614162008219   1.0922230048632817, 0.54284775257110596 0.060667779296636581  0.16912198066711426,  0.4734061062335968 -0.48563703894615173  0.50240403413772583  0.53631472587585449,-0.00057245994685217738 -0.00040953612187877297 -0.00018782605184242129,-0.068363606929779053   -1.2889448404312134   0.10619310289621353,  0.25154277682304382 -0.019096178933978081   0.06354917585849762 -0.019096178933978081   0.23429678380489349  0.034531310200691223   0.06354917585849762  0.034531310200691223   0.17452751100063324,  0.69553363295593584  -0.65681226006031324    1.2290095109683818   0.74037908562551991 -0.061473032990200238  -0.14998981624714247                     0,0.0005028705345466733
IIWA_14,1715787471.122601, 0.54693899234488585   1.2780507741548421 -0.10407454441977639  -1.2750356630032336  -1.0882624406176897   1.8674238096685596 -0.58854109061908333,-0.0073037272830389181  0.0039165195927007975  -0.016581375826418551  -0.018324844563650345 -0.0001005065312658196  -0.020737756574663587 0.00011688409655077662,  9.8276066360473635   64.688336692810068   10.302329895019531  -6.9417055816650395   1.3188016128540039 -0.56904661178588867 -0.12215311431884765, -46.338657555308565   3.2561624729989749  -26.307629364268742  -13.312788413725047 -0.10981592179452829  -4.1700138813486625   1.0924935777546823, 0.54284518957138062 0.060665849596261978  0.16912113130092621, 0.47340631484985352 -0.48563423752784729   0.5024031400680542  0.53631794452667236,-0.00056041550124064088 -0.00040475666173733771 -0.00018463893502485007,-0.068351738154888153   -1.2889463901519775   0.10619335621595383,  0.25154370069503784 -0.019095702096819878  0.063548654317855835 -0.019095702096819878   0.23429720103740692  0.034531041979789734  0.063548654317855835  0.034531041979789734   0.17452645301818848,  0.69551379756838116  -0.65680442288851282     1.228992468921497   0.74036489645834536 -0.061470984212164126  -0.14999775255208903                     0,0.00049391982611268759
IIWA_14,1715787471.1276023, 0.54685564207387838   1.2780333370066177 -0.10454726215710669  -1.2754002830097599  -1.0882902440617399   1.8665307451979329 -0.58853929303903685,-0.0091769926667301868   0.002435729745182968   -0.03217381015434706  -0.029244675911975188 -0.0011925429870197927  -0.052312784084796782 0.00016541047909985712,  15.449995567321778   63.644105262756348    12.25418049621582  -6.1566637420654295  0.55815769195556642  -2.0796067085266112 -0.10546553039550781, -46.323123631207153    3.248186770180578    -26.2983846119673  -13.304513513559943 -0.11199354349435239  -4.1690954875086543   1.0948236438008923, 0.54284209012985229 0.060651279985904694  0.16911560297012329, 0.47340700030326843 -0.48562741279602051  0.50240069627761841  0.53632581233978271, -0.0005733062862418592 -0.00090665259631350636 -0.00036862230626866221,-0.06833987683057785  -1.2889479398727417  0.10619209706783295,  0.25154560804367065 -0.019093126058578491  0.063548095524311066 -0.019093126058578491   0.23429961502552032  0.034527890384197235  0.063548095524311066  0.034527890384197235   0.17452307045459747,    0.69540559654601708    -0.65672243611469838       1.228849969285406     0.74026893205392241   -0.061464256976506704    -0.15001597734443095 -3.5527136788005009e-12,0.00078296981519088149
IIWA_14,1715787471.1326015, 0.54684359788395964   1.2780120650427775 -0.10520315885350157  -1.2759003247491949  -1.0882908193222613   1.8650806539877935 -0.58853833419877899, -0.0078233617301336003   0.0010977052425398257   -0.051974915979272659   -0.043397410306978725 -0.00097704481047345077   -0.099853875673413139  0.00017068199359423128,  16.720562873840333   63.402337394714358   13.075517078399658  -7.5936666984558103   1.3760259819030762 -0.67451214218139643 -0.10045925521850586,-45.947892209185817  3.0795687161918304 -26.060109190319967 -13.121854795715555 -0.1615315950513706 -4.1410090805577395  1.1404732906053165, 0.54282933473587036 0.060340497642755508  0.16902023553848267, 0.47340941429138184 -0.48554065823554993  0.50236690044403076   0.5364338755607605,-0.00097272387938573956    -0.01315756980329752  -0.0041070524603128433,-0.068328917026519775   -1.2889525890350342   0.10619249194860458,  0.25156572461128235 -0.019042892381548882  0.063549354672431946 -0.019042892381548882   0.23434898257255554  0.034455832093954086  0.063549354672431946  0.034455832093954086   0.17447002232074738,    0.69328313176608702      -0.654887906213375      1.2257493187082247     0.73824707036340698   -0.061366471229007402    -0.15027520605759292 -2.6645352591003757e-12,0.0095376558601856232
IIWA_14,1715787471.1376028, 0.54685725999409496   1.2779885759653717 -0.10607321355776853  -1.2766301640646798  -1.0882824782192333    1.863242933004768 -0.58853761523221026, -0.0057122049786942743 -6.1398902199805258e-05   -0.076382120954096494   -0.063911500864977794 -0.00044799172725662646    -0.15339193985975422  0.00016530425762436944,  16.504514991760256   62.977957626342778   11.938281810760499  -8.4432325248718261  0.98425914764404299  -1.0603290824890137 -0.10012550354003906, -45.754145476419794   3.0184973796481027  -25.915459813606699  -13.079738868595964 -0.17124535159401669   -4.023362289751832   1.1575958054401534, 0.54290193319320679 0.060066942125558853   0.1689271479845047, 0.47353366017341614 -0.48551148176193237  0.50237393379211426  0.53634399175643921, 0.0021184610668569803  -0.021470952779054642 -0.0070035560056567192,-0.068330757319927216   -1.2890338897705078   0.10623268783092499,   0.2515701949596405 -0.018985472619533539  0.063560046255588531 -0.018985472619533539   0.23439061641693115  0.034371703863143921  0.063560046255588531  0.034371703863143921   0.17444179952144623,    0.69094657244583857    -0.65296969966777141      1.2222774187966579     0.73613448465437159   -0.061093169076542608    -0.14975221751711842 -1.7763568394002505e-12,0.015656096860766411
IIWA_14,1715787471.1426322, 0.54686912430601775   1.2779738353508419 -0.10718738691909654  -1.2775744610392525  -1.0882946541596938   1.8608649032457192 -0.58853581754308071, -0.0040951915060436807 -0.00063874370295522462    -0.10567263121639797   -0.088901079674892913 -0.00084543100022713841    -0.21783474224975424  0.00020415097128176761,  15.064195777893067   62.502137886047365   12.266278743743896  -6.6661343879699704  0.96841239929199219 -0.95185978698730467 -0.10780179214477539, -45.602481313271255   2.9322941531641038  -25.804986925696745  -13.059352435675246 -0.18928087689669965  -3.8120851271038809    1.185445989643366, 0.54301649332046509 0.059739831835031509  0.16875185072422028, 0.47380653023719788 -0.48547503352165222  0.50238311290740967  0.53612738847732544,0.0062623615376651287 -0.030263897031545639 -0.012603026814758778,-0.068500012159347534   -1.2890404462814331    0.1069127544760704,  0.25158104300498962 -0.018899295479059219  0.063571110367774963 -0.018899295479059219   0.23444256186485291  0.034252427518367767  0.063571110367774963  0.034252427518367767   0.17440509796142578,    0.68750433673869793     -0.6504055057341418      1.2173127346866153     0.73325271839230766   -0.060606037108001942    -0.14856027369791747 -8.8817841970012523e-13,0.023034488782286644
