DesiredFlux,0.698,HitTime,1715787898.1982775,DesiredPos,   0.528839111328125 -0.28805756568908691  0.19852355122566223
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715787897.6548867, 0.58684304582718405   1.0744302242575119 -0.12713608804443902  -1.4814050344776231  -1.0561335006565942   1.7038938476080792 -0.59297117924702569,  0.0016798311249262869 -1.5572225264712829e-06  -4.362772967340159e-06 -2.2611569615291608e-05  4.4525135214941391e-06 -2.7339750602639593e-07  1.8230294280911508e-05,-2.1939148025512698   66.85138751220704  5.0180842247009281 -13.594397472381592   1.226362247467041  -2.256161346435547 0.19390972518920899,0.46666031437878863  3.9433771504231721 -1.2931118719959556 0.21265977771296452 0.11449252253864145  0.6310669114621501  1.1982425284160187,0.52411973476409912 0.05357123538851738 0.21484217047691345, 0.52875757217407227 -0.50219810009002686  0.48347014188766479  0.48422008752822876,-0.00010561007366050035  0.00095276633510366082  -5.197049972593959e-07,0.0050505748949944973   -1.0115288496017456 -0.017467398196458817,  0.25105789303779602 -0.016492936760187149  0.063604898750782013 -0.016492936760187149   0.23468159139156342  0.026927031576633453  0.063604898750782013  0.026927031576633453   0.17971409857273102,  0.59870794465322064  -0.54594768700777507    1.0008881221859056   0.51422974183168435 -0.066998187902456152   0.12374150701344178                     0,0.00066137145040556788
IIWA_14,1715787897.6598647, 0.58685011648323304    1.074430284144122 -0.12713608804443902   -1.481405154359926  -1.0561336922937459   1.7038937877214693 -0.59297117924702569,  0.0016266911419006624  1.1496863834372185e-06 -3.4902183738721273e-06 -2.2884547811175318e-05 -4.1034752509249189e-06 -2.6141824005535775e-06  1.4584235424729207e-05,-2.2016307983398438  66.848815513610845  5.0127072257995602 -13.591708972930908  1.2272426223754882 -2.2581638565063478 0.19390972518920899,0.46621588392037855  3.9457226868837831 -1.2923731674957359 0.21384677780778891 0.11424617594404968 0.62909051740356825  1.1982339810983194, 0.52411931753158569 0.053574930876493454  0.21484217047691345, 0.52875936031341553 -0.50219625234603882  0.48347184062004089  0.48421838879585266,-0.00010183988342760131  0.00091008242452517152 -6.1402454321068944e-07,0.005051217507570982   -1.011528491973877 -0.01746767945587635,  0.25105816125869751 -0.016492819413542747  0.063604697585105896 -0.016492819413542747   0.23468135297298431  0.026927484199404716  0.063604697585105896  0.026927484199404716   0.17971408367156982,  0.59870480780155333  -0.54596363387116043    1.0008965902565947    0.5142422411745784 -0.066988331722583894    0.1237492475567592                     0,0.00063181563746184111
IIWA_14,1715787897.6649814, 0.58685712725267214    1.074430284144122 -0.12713596816213604  -1.4814052741331458  -1.0561335006565942   1.7038938476080792 -0.59297117924702569,  0.0015817836910844304  9.1974910674977482e-07  2.0031174198443276e-06 -2.3098567040405175e-05  4.3827058673802955e-06  3.0411847528959842e-07  1.1667388339783367e-05,-2.2222067871093749  66.833383522033699  5.0113629760742189 -13.594397472381592  1.2272426223754882 -2.2568288497924804 0.19491098022460937,-38.073440381446893  6.7047488556406449 -28.921777944467454 -14.331015505645862 -0.4854735373920388  3.5879026355156483   1.198222821858917, 0.52411890029907227 0.053578596562147141  0.21484214067459106, 0.52876108884811401 -0.50219440460205078  0.48347359895706177  0.48421663045883179,-9.7310250566806644e-05  0.00087458069901913404 -1.4372296845976962e-06,0.0050516780465841293   -1.0115281343460083 -0.017467649653553963, 0.25105839967727661  -0.0164926927536726 0.063604511320590973  -0.0164926927536726  0.23468112945556641 0.026927921921014786 0.063604511320590973 0.026927921921014786  0.17971406877040863,    0.59870136718309652     -0.5459792622657389      1.0009044897838493     0.51425448084696512   -0.066978455705246631      0.1237570030081514 -8.8817841970012523e-13,0.00060712714912369847
IIWA_14,1715787897.6698639, 0.58685658794593332   1.0744316024131226 -0.12715094843218896  -1.4814219322100253  -1.0561344593659523   1.7039078691469576 -0.59297099947811271,  0.0012438546833146392  5.3466559310499065e-05 -0.00059760830818101414 -0.00068480192881032332 -3.4842209631021536e-05  0.00056110484991691418  1.6524667190942074e-05,-2.0730308685302736  66.820523529052736  5.2170331840515134 -13.334957275390625  1.2422089958190918 -2.2978803062438966 0.19390972518920899,  -38.07278734784736   6.7046618844430865  -28.921217076370269  -14.330887253030163 -0.48515136003842119   3.5880940481633541   1.1982544077696065, 0.52411854267120361 0.053582273423671722  0.21484211087226868, 0.52876293659210205 -0.50219243764877319  0.48347535729408264  0.48421496152877808,-9.3022215878590941e-05  0.00084677845006808639 -2.3238519588630879e-06,0.0050521665252745152   -1.0115278959274292 -0.017467793077230453,  0.25105863809585571 -0.016492558643221855  0.063604310154914856 -0.016492558643221855    0.2346809059381485   0.02692837081849575  0.063604310154914856   0.02692837081849575   0.17971405386924744,    0.59869766240261413    -0.54599510848341026      1.0009125426924115     0.51426688308087165   -0.066968253841004355     0.12376472561115293 -1.7763568394002505e-12,0.00058773806085810065
IIWA_14,1715787897.6748557, 0.58671541382597647   1.0744437064896513 -0.12752779239754719   -1.481804708440428   -1.056143183917817   1.7041917155338677 -0.59297081970919974, -0.0046518810516220453  0.00052693630859358123   -0.015551845260873836     -0.0158588907591573 -0.00037685584229426065    0.011802739356339414  2.0410490271869044e-05, 6.5611684188842778  64.840084609985354  11.500056400299073 -6.8825585937499998  1.0432442665100097 -3.6205382080078126 0.26900385284423828,  -38.07229978453752   6.7045774488432999  -28.920816786030791  -14.330785513905242 -0.48492484635802635   3.5882950568432244   1.1982963132402844, 0.52411806583404541 0.053585965186357498   0.2148420661687851, 0.52876472473144531 -0.50219058990478516  0.48347693681716919  0.48421332240104675,-9.3190923507791013e-05  0.00082515232497826219 -3.8996427065285388e-06,0.0050526419654488564   -1.0115275382995605 -0.017467860132455826,  0.2510589063167572  -0.0164924506098032 0.063604108989238739  -0.0164924506098032   0.2346806675195694 0.026928821578621864 0.063604108989238739 0.026928821578621864  0.17971402406692505,    0.59869492605102437    -0.54601099427031841      1.0009212043629034     0.51427939610348972   -0.066958775320813402     0.12377237348903947 -3.5527136788005009e-12,0.000572926364839077
IIWA_14,1715787897.6798193, 0.58667263013369009    1.074426748761556 -0.12792165397761082  -1.4821133021780517  -1.0561540175255502   1.7045510025777817  -0.5929672244400237, -0.0054328525327530588 -0.00025676007693675067   -0.028195939411244327   -0.025030862112274163 -0.00073482898316058732    0.023813673241630313   0.0001601391592590031, 10.684082168579103  62.893081672668458  13.648167461395264 -6.2440399742126464 0.81698791503906254 -3.2026811065673826 0.17989215469360351, -38.052820450848714   6.6996594770368807  -28.903450632474474  -14.318980742690682 -0.48642990618727272     3.58013701161945   1.1996386694467596,0.52411258220672607  0.0535767562687397  0.2148456871509552,0.52875471115112305 -0.5021851658821106 0.48347902297973633 0.48422780632972717,-0.00029290703241713345  0.00029166851891204715  0.00014167600602377206,0.0050530494190752506   -1.0115270614624023 -0.017467914149165154,  0.25105950236320496 -0.016491631045937538  0.063604094088077545 -0.016491631045937538   0.23468191921710968  0.026927860453724861  0.063604094088077545  0.026927860453724861   0.17971225082874298,    0.59865875231412957    -0.54598519837512072      1.0008715658837986      0.5142516982621359   -0.066955625417364217     0.12370752614021541 -8.8817841970012523e-13,0.0003014756366610527
IIWA_14,1715787897.6848674, 0.58664248982467115   1.0744208764922045 -0.12846477906054812   -1.482552164454884  -1.0561495116090203   1.7051913198107749 -0.59296374894406767, -0.0055518943869597827 -0.00044029883560731706   -0.044281754846487512   -0.037579180763112098 -0.00040762652533264925    0.044663627913031523  0.00026713116564836361, 12.852276985168459  63.885873130798345  14.052786628723144 -6.7320026245117184   1.060851764678955 -3.5354315299987791 0.19157346343994142, -37.627248433750907   6.5980447124928796  -28.513575862665114  -14.061032011143883 -0.52677007317482993   3.3966190582576221   1.2279435658892843, 0.52400147914886475 0.053288161754608154  0.21493534743785858,  0.5284913182258606 -0.50210779905319214  0.48349460959434509  0.48457989096641541,-0.0046806135214865208  -0.011307209730148315  0.0037025387864559889,0.0050536016933619976   -1.0115288496017456 -0.017468011006712914,  0.25106462836265564 -0.016474515199661255  0.063610248267650604 -0.016474515199661255   0.23471653461456299  0.026893509551882744  0.063610248267650604  0.026893509551882744   0.17967437207698822,  0.59786128685423989  -0.54501419271080209   0.99945245058652432   0.51330994577991618 -0.067089012079968313   0.12210342559448861                     0,0.008820761926472187
IIWA_14,1715787897.6898351, 0.58661378755787286   1.0744197979878098 -0.12920324695660562  -1.4831927213434002  -1.0561525795487794   1.7060661681709155 -0.59296338940624171, -0.0055896061814997159 -0.00039537924427306885   -0.064964119719489954   -0.055685620151136234 -0.00044881881063120401    0.070724836736050151  0.00022808644555692166, 13.765336486816407  63.042257591247562  13.434431755065917  -7.460585975646973 0.94728340148925783 -3.6412308120727537 0.22394737625122071, -37.371820018070892   6.5614804380453196  -28.217706443672196  -13.903251932287548 -0.54146942812948318   3.2387471192743602   1.2401266501222143, 0.52390456199645996 0.053060960024595261  0.21506547927856445, 0.52821296453475952 -0.50203275680541992  0.48355671763420105  0.48489898443222046,-0.0076273051090538502   -0.01812596432864666  0.0081722699105739594,0.0050615305081009865   -1.0115748643875122 -0.017478996887803078,  0.25106114149093628 -0.016462482511997223  0.063619479537010193 -0.016462482511997223    0.2347453236579895  0.026869038119912148  0.063619479537010193  0.026869038119912148   0.17964987456798553,    0.59727831205869109    -0.54435027603272346     0.99838834662335785     0.51267075035976717   -0.067125460724959396     0.12053924236443692 -5.3290705182007514e-12,0.014691466465592384
IIWA_14,1715787897.694891, 0.58658400678667999     1.07441158872259 -0.13016540050383876  -1.4840320964319094  -1.0561521959254099   1.7072612350341627 -0.59296267043967299, -0.0056629157929144365 -0.00064467400421154889   -0.090457437664917609   -0.078123499661276019 -0.00034371011372434873     0.10438254391872887  0.00021122781919452176, 13.731900505065919  62.103478103637698  13.402169761657715 -6.8301328544616702 0.83459541320800779 -3.2357225227355957 0.22461487960815429,  -37.03966179127363   6.5004571974336702  -27.820948431215118  -13.673834558561884 -0.56736535672586186    3.000439389034772   1.2621154580846419, 0.52374124526977539 0.052756916731595993  0.21526126563549042, 0.52778929471969604 -0.50190752744674683  0.48364955186843872  0.48539713025093079,-0.012642416171729565 -0.026641568168997765  0.014380763284862041,0.0052246078848838806   -1.0116082429885864 -0.017724622040987015,  0.25106027722358704 -0.016448793932795525  0.063629217445850372 -0.016448793932795525   0.23478412628173828  0.026841906830668449  0.063629217445850372  0.026841906830668449   0.17961251735687256,    0.59658483974978083     -0.5435956100727779     0.99713938788070777     0.51194102203933056   -0.067172940288351413     0.11813514415237591 -8.8817841970012523e-13,0.022632746025919914
IIWA_14,1715787897.6999528, 0.58654679571252899   1.0744015819864068  -0.1313381766763779  -1.4850157615985056  -1.0561508537672151   1.7088208022397995 -0.59296123228836939, -0.0060187756003715542 -0.00091600865069853255    -0.11927699703349953    -0.10184540639286896 -0.00022128176318724396     0.14588872336045389   0.0002265083074996587, 14.336320175170899  62.131770088195807  14.195277099609376  -6.098861003875732 0.95520677566528323 -3.5020563621520995  0.2032547721862793, -36.603886274659509   6.4014650263905093  -27.306343237257931  -13.358265828001583 -0.60350937815628702   2.6869605394863716   1.2984714028192892, 0.52350503206253052 0.052341300994157791   0.2155216783285141, 0.52721887826919556 -0.50171416997909546  0.48377493023872375  0.48609158396720886,-0.019577464088797569 -0.037892803549766541   0.02194645069539547,0.0053879381157457829   -1.0116534233093262 -0.018061809241771698,  0.25106459856033325 -0.016427379101514816  0.063639722764492035 -0.016427379101514816   0.23483791947364807  0.026805145666003227  0.063639722764492035  0.026805145666003227   0.17955555021762848,    0.59553562005998373     -0.5425776852936437     0.99538231214246764     0.51093102548538383   -0.067192743647304098      0.1148304007880796 -1.7763568394002505e-12,0.033086881041526794
